"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"flung","fling","vrhnul","vrhnout","pf"," But when the Kid laughed harshly and turned on his heel, Davy flung himself upon the piles and began frantically to toss the cordwood back from the bank."," Když se ale Kid jen nevybíravě zasmál a otočil se na podpatku, vrhnul se Davy na srovnané dřevo a začal ho zuřivě odhazovat od břehu."
"toss","toss","vrhnul","vrhnout","pf"," But when the Kid laughed harshly and turned on his heel, Davy flung himself upon the piles and began frantically to toss the cordwood back from the bank."," Když se ale Kid jen nevybíravě zasmál a otočil se na podpatku, vrhnul se Davy na srovnané dřevo a začal ho zuřivě odhazovat od břehu."
"began","begin","začal","začít","pf"," But when the Kid laughed harshly and turned on his heel, Davy flung himself upon the piles and began frantically to toss the cordwood back from the bank."," Když se ale Kid jen nevybíravě zasmál a otočil se na podpatku, vrhnul se Davy na srovnané dřevo a začal ho zuřivě odhazovat od břehu."
"cried","cry","vykřikl","vykřiknout","pf"," “ Lend a hand, Donald! ” he cried."," "" Pomoz mi, Donalde! "" vykřikl."
"caught","catch","chytil","chytit","pf"," Donald caught him by the arm and shook him, but he tore free."," Donald ho chytil za paži a zatřásl jím, ale Davy se mu vytrhl."
"tore","tear","vytrhl","vytrhnout","pf"," Donald caught him by the arm and shook him, but he tore free."," Donald ho chytil za paži a zatřásl jím, ale Davy se mu vytrhl."
"hear","hear","neslyšel","slyšet","impf"," “ Did ye no hear, man?"," "" Copak jsi neslyšel?"
"waved","wave","zamával","zamávat","pf"," From his eyrie he waved his hand to Captain Lynch, and that doughty patriarch waved back."," Ze svého orlího hnízda pak Raoul zamával kapitánu Lynchovi a srdnatý patriarcha jeho pozdrav opětoval."
"waved","wave","zamával","zamávat","pf"," From his eyrie he waved his hand to Captain Lynch, and that doughty patriarch waved back."," Ze svého orlího hnízda pak Raoul zamával kapitánu Lynchovi a srdnatý patriarcha jeho pozdrav opětoval."
"seemed","seem","zdála","zdát","impf"," It had approached much nearer - in fact, it seemed just over his head; and it had turned from lead to black."," Byla teď mnohem níže - vlastně se zdála být těsně nad jeho hlavou - a její barva se proměnila z olověné na černou."
"praying","pray","modlilo","modlit","impf"," Several such clusters were praying, and in one the Mormon missionary was exhorting."," Několik těchto skupinek se modlilo a v jedné z nich řečnil mormonský misionář."
"tells","tell","vyprávěl","vyprávět","impf"," Daw tells me that last year you went over, down to the middle fork, and back again, in three days."," Daw mi vyprávěl, že jste vloni přešel přes vrchol k prostřednímu rameni a zase zpátky za tři dny."
"said","say","Říkal","říkat","impf"," He said you nearly killed him, too."," Říkal taky, že jste ho při tom div neuštval."
"wait","wait","počkáte","počkat","pf"," You are to wait here and camp tonight."," Teď počkáte tady a večer rozbijete tábor."
"send","send","Pošlu","poslat","pf"," I ’ ll send Daw along with the camp outfit."," Pošlu za vámi Dawa s tábornickou výbavou."
"saw","see","uviděl","uvidět","pf"," He glanced about him and saw, at the base of another tree, a large cluster of people holding on by ropes and by one another."," Raoul se rozhlédl a u paty jednoho ze stromů uviděl početný chumel lidí přidržujících se provazů i jeden druhého."
"singing","sing","pějí","pět","impf"," No sound came to him, but he knew that they were singing hymns."," I když k němu nedoléhal žádný zvuk, poznal, že pějí chvalozpěvy."
"conceded","concede","připustil","připustit","pf"," “ A good way of looking at it, ” Linday conceded."," "" Zajímavý úhel pohledu, "" připustil Linday."
"see","see","vidím","vidět","impf"," “ I see you are as keen a thinker as ever, Madge."," "" Jak vidím, tvé myšlení neztratilo nic ze své pronikavosti, Madge."
"bothered","bother","trápit","trápit","impf"," That must have bothered him. ”"," To ho muselo jistě trápit. """
"talking","talk","mluví","mluvit","impf"," “ That ’ s the devil of it, talking with clever women."," "" V tom je právě ta potíž, mluví - li člověk s chytrými ženami."
"forgets","forget","zapomene","zapomenout","pf"," A man always forgets and traps himself."," Vždycky se zapomene a chytí se do pasti."
"traps","trap","chytí","chytit","pf"," A man always forgets and traps himself."," Vždycky se zapomene a chytí se do pasti."
"pointed","point","ukázal","ukázat","pf"," One of the sailors from the boat pointed at the mouth of the passage and shook his head."," Jeden z námořníků na člunu ukázal na vjezd do kanálu a zavrtěl hlavou."
"looked","look","podíval","podívat","pf"," Raoul looked and saw a white anarchy of foam and surge."," Raoul se podíval stejným směrem a spatřil divokou bílou změť zpěněných vln."
"saw","see","podíval","podívat","pf"," Raoul looked and saw a white anarchy of foam and surge."," Raoul se podíval stejným směrem a spatřil divokou bílou změť zpěněných vln."
"saw","see","spatřil","spatřit","pf"," Raoul looked and saw a white anarchy of foam and surge."," Raoul se podíval stejným směrem a spatřil divokou bílou změť zpěněných vln."
"go","go","půjdeš","jít","impf"," When I go I ’ m going down river, and I guess the chances are you ’ ll go along. ”"," Až se já vydám na cestu, bude to po proudu, a není vyloučený, že ty půjdeš se mnou. """
"going","go","půjdeš","jít","impf"," When I go I ’ m going down river, and I guess the chances are you ’ ll go along. ”"," Až se já vydám na cestu, bude to po proudu, a není vyloučený, že ty půjdeš se mnou. """
"go","go","půjdeš","jít","impf"," When I go I ’ m going down river, and I guess the chances are you ’ ll go along. ”"," Až se já vydám na cestu, bude to po proudu, a není vyloučený, že ty půjdeš se mnou. """
"Come","come","pojď","jít","impf"," “ Come on outside, and I ’ ll show you, then."," "" Tak pojď se mnou ven, něco ti ukážu."
"show","show","ukážu","ukázat","pf"," “ Come on outside, and I ’ ll show you, then."," "" Tak pojď se mnou ven, něco ti ukážu."
"located","locate","usadili","usadit","pf"," These damn fools, ” thrusting a thumb over his shoulder at the two Scots, “ played smash when they located here."," Tihle zatracení blázni, "" řekl a namířil palcem přes rameno na oba Skoty, "" se pěkně vyznamenali, když se tady usadili."
"enjoy","enjoy","užívej","užívat","impf"," Fill your pipe, first - this is pretty good plug - and enjoy yourself while you can."," Nejdřív si nacpi fajfku - tohle je slušnej tabák - a užívej si, dokud můžeš."
"swam","swim","plavala","plavat","impf"," She kept her eyes on the fin and swam on."," Nauri plavala dál, s pohledem upřeným na ploutev."
"disappeared","disappear","zmizela","zmizet","pf"," When the fin disappeared, she lay face downward on the water and watched."," Když ploutev zmizela, zůstala žena ležet tváří dolů na hladině a pozorovala."
"lay","lie","ležet","ležet","impf"," When the fin disappeared, she lay face downward on the water and watched."," Když ploutev zmizela, zůstala žena ležet tváří dolů na hladině a pozorovala."
"watched","watch","pozorovala","pozorovat","impf"," When the fin disappeared, she lay face downward on the water and watched."," Když ploutev zmizela, zůstala žena ležet tváří dolů na hladině a pozorovala."
"resumed","resume","pokračovala","pokračovat","impf"," When the fin reappeared she resumed her swimming."," Sotva se ploutev znovu vynořila, pokračovala Nauri v plavání."
"forgetting","forget","nezapomeňte","zapomenout","pf"," “ Not forgetting the octagon-drop-clock, ” added Nauri, Mapuhi ’ s mother."," "" A nezapomeňte na ty osmihranné kyvadlové hodiny, "" dodala Nauri, Mapuhiho matka."
"added","add","dodala","dodat","pf"," “ Not forgetting the octagon-drop-clock, ” added Nauri, Mapuhi ’ s mother."," "" A nezapomeňte na ty osmihranné kyvadlové hodiny, "" dodala Nauri, Mapuhiho matka."
"said","say","řekl","říci","pf"," “ Yes, that is all, ” said Mapuhi."," "" Ano, je to všechno, "" řekl Mapuhi."
"laughed","laugh","Smál","smát","impf"," He laughed long and heartily."," Smál se dlouho a srdečně."
"laughed","laugh","smál","smát","impf"," But while he laughed he secretly performed problems in mental arithmetic."," Zatímco se smál, prováděl však v duchu aritmetická cvičení."
"performed","perform","prováděl","provádět","impf"," But while he laughed he secretly performed problems in mental arithmetic."," Zatímco se smál, prováděl však v duchu aritmetická cvičení."
"found","find","našel","najít","pf"," It was the one Mapuhi had found and been robbed of by Toriki."," Byla to ona, perla, kterou Mapuhi našel a o kterou ho Toriki oloupil."
"robbed","rob","oloupil","oloupit","pf"," It was the one Mapuhi had found and been robbed of by Toriki."," Byla to ona, perla, kterou Mapuhi našel a o kterou ho Toriki oloupil."
"looked","look","podívala","podívat","pf"," Each time she looked at the pearl she saw the house in all its details, including the octagon-drop-clock on the wall."," Kdykoliv se na perlu podívala, uviděla dům do nejmenších podrobností, včetně osmihranných kyvadlových hodin na stěně."
"saw","see","podívala","podívat","pf"," Each time she looked at the pearl she saw the house in all its details, including the octagon-drop-clock on the wall."," Kdykoliv se na perlu podívala, uviděla dům do nejmenších podrobností, včetně osmihranných kyvadlových hodin na stěně."
"saw","see","uviděla","uvidět","pf"," Each time she looked at the pearl she saw the house in all its details, including the octagon-drop-clock on the wall."," Kdykoliv se na perlu podívala, uviděla dům do nejmenších podrobností, včetně osmihranných kyvadlových hodin na stěně."
"nodded","nod","přikývl","přikývnout","pf"," Daw nodded concurrence."," Daw souhlasně přikývl."
"said","say","Říkala","říkat","impf"," “ That ’ s what she said."," "" Říkala to."
"told","tell","Říkala","říkat","impf"," She told me sure not to whisper how it happened. ”"," Říkala, abych o tom, jak se to stalo, držel jazyk za zuby. """
"practising","practise","neprovozuji","provozovat","impf"," “ Well, I ’ m not practising."," "" V každém případě medicínu už neprovozuji."
"travelling","travel","cestuji","cestovat","impf"," Nor can I see myself travelling a hundred miles at fifty below for a dead man. ”"," Taky si dost dobře nedokážu představit, že cestuji sto mil při mínus padesáti kvůli mrtvole. """
"stop","stop","zůstanete","zůstat","pf"," Better stop over for the night. ”"," Bude lepší, když zůstanete přes noc. """
"played","play","hráli","hrát","impf"," They played a momentous rubber of whist, for the pair that lost was to dig a fishing hole through the seven feet of ice and snow that covered the Yukon."," Partie whistu, kterou muži zrovna hráli, byla velmi významná, neboť dvojice poražených měla za úkol vykopat díru na chytání ryb skrz sedm stop sněhu a ledu, kterými byl Yukon pokrytý."
"remarked","remark","poznamenal","poznamenat","pf"," “ It ’ s mighty unusual, a cold snap like this in March, ” remarked the man who shuffled."," "" Je to stejně zvláštní - březen, a takový ochlazení, "" poznamenal muž míchající karty."
"seemed","seem","zdálo","zdát","impf"," It seemed barely to graze the corner of the cabin, but the cribbed logs tilted up like matches, and the structure, like a toy house, fell backward in ruin."," Ačkoliv se zdálo, že o roh chaty jen lehce zavadila, sroubené klády se naklonily, jako by to byly sirky, a celá stavba, připomínající teď domeček pro panenky, se převrátila a rozpadla se na kusy."
"tilted","tilt","naklonily","naklonit","pf"," It seemed barely to graze the corner of the cabin, but the cribbed logs tilted up like matches, and the structure, like a toy house, fell backward in ruin."," Ačkoliv se zdálo, že o roh chaty jen lehce zavadila, sroubené klády se naklonily, jako by to byly sirky, a celá stavba, připomínající teď domeček pro panenky, se převrátila a rozpadla se na kusy."
"shone","shine","svítit","svítit","impf"," And still the sun shone brightly and the dead calm continued."," Slunce nepřestávalo svítit a stále trvalo úplné bezvětří."
"continued","continue","trvalo","trvat","impf"," And still the sun shone brightly and the dead calm continued."," Slunce nepřestávalo svítit a stále trvalo úplné bezvětří."
"sat","sit","seděli","sedět","impf"," They sat and watched the seas and the insane pitching of the Aorai."," Muži seděli, pozorovali vlny a zběsilé zmítání Aorai."
"watched","watch","pozorovali","pozorovat","impf"," They sat and watched the seas and the insane pitching of the Aorai."," Muži seděli, pozorovali vlny a zběsilé zmítání Aorai."
"covered","cover","zakryl","zakrýt","pf"," He covered his face with his hands to shut out the sight; then went into the house."," Pak si zakryl výhled rukama a nakonec odešel dovnitř."
"went","go","odešel","odejít","pf"," He covered his face with his hands to shut out the sight; then went into the house."," Pak si zakryl výhled rukama a nakonec odešel dovnitř."
"said","say","řekl","říci","pf"," “ Twenty-eight-sixty, ” he said quietly when he returned."," "" Dvacet osm šedesát, "" řekl klidně, když se vrátil."
"returned","return","vrátil","vrátit","pf"," “ Twenty-eight-sixty, ” he said quietly when he returned."," "" Dvacet osm šedesát, "" řekl klidně, když se vrátil."
"said","say","řekl","říci","pf"," “ Not on Fakarava, ” said Mapuhi."," "" Ne na Fakaravě, "" řekl Mapuhi."
"Coming","come","vstoupil","vstoupit","pf"," Coming in from the bright sunshine to the dark cabin, Linday observed little of its occupants."," Když Linday vstoupil z jasného slunce do příšeří srubu, rozeznával z jeho obyvatel jen málo."
"lying","lie","ležel","ležet","impf"," The latter was lying on his back, with eyes closed, and Linday noted the slender stencilling of the brows and the kinky silkiness of the brown hair."," Muž ležel na zádech, oči měl zavřené, a Linday si všiml tenké kresby obočí a jemných, kučeravě hnědých vlasů."
"noted","note","všiml","všimnout","pf"," The latter was lying on his back, with eyes closed, and Linday noted the slender stencilling of the brows and the kinky silkiness of the brown hair."," Muž ležel na zádech, oči měl zavřené, a Linday si všiml tenké kresby obočí a jemných, kučeravě hnědých vlasů."
"said","say","řekla","říci","pf"," “ In the morning, ” said Tefara, “ you will sell the pearl to Raoul for five thousand French. ”"," "" Až bude ráno, "" řekla Tefara, "" prodáš tu perlu Raoulovi za pět tisíc francouzských. """
"sell","sell","prodáš","prodat","pf"," “ In the morning, ” said Tefara, “ you will sell the pearl to Raoul for five thousand French. ”"," "" Až bude ráno, "" řekla Tefara, "" prodáš tu perlu Raoulovi za pět tisíc francouzských. """
"build","build","postaví","postavit","pf"," “ He will build the house, ” Tefara answered."," "" Dům postaví, "" odpověděla Tefara."
"answered","answer","odpověděla","odpovědět","pf"," “ He will build the house, ” Tefara answered."," "" Dům postaví, "" odpověděla Tefara."
"says","say","Říká","říkat","impf"," “ He says it will cost four thousand French."," "" Říká, že to bude stát čtyři tisíce francouzských."
"give","give","dá","dát","pf"," Also will he give one thousand French in credit, which is two thousand Chili. ”"," K tomu dá tisíc francouzských ve zboží, což je dva tisíce chilských. """
"answered","answer","odpověděl","odpovědět","pf"," “ Ay, ” answered Mapuhi, “ six fathoms. ”"," "" Jistě, "" odpověděl Mapuhi, "" šest sáhů. """
"watch","watch","Dívej","dívat","impf"," You watch me, and next time you can do it yourself. ”"," Dívej se a příště si to můžeš udělat sám. """
"do","do","udělat","udělat","pf"," You watch me, and next time you can do it yourself. ”"," Dívej se a příště si to můžeš udělat sám. """
"yelled","yell","vykřikl","vykřiknout","pf"," The man yelled with consternation and agony."," Muž bolestí a leknutím vykřikl."
"placated","placate","uklidnil","uklidnit","pf"," “ That ’ s all right, ” the doctor placated sharply and authoritatively."," "" Všechno v pořádku, "" uklidnil ho příkře a rozkazovačně doktor."
"did","do","udělala","udělat","pf"," Thus, with unconscious foresight, did mature society make room for its adolescent members."," S nevědomou prozíravostí tak dospělá společnost udělala místo pro své dospívající členy."
"make","make","udělala","udělat","pf"," Thus, with unconscious foresight, did mature society make room for its adolescent members."," S nevědomou prozíravostí tak dospělá společnost udělala místo pro své dospívající členy."
"Do","do","udělal","udělat","pf"," “ Do you fancy I ’ d have moved a step had I known he was my wife ’ s lover? ”"," "" Myslíš si snad, že bych udělal jen jediný krok, kdybych věděl, že jde o milence mé ženy? """
"Do","do","jde","jít","impf"," “ Do you fancy I ’ d have moved a step had I known he was my wife ’ s lover? ”"," "" Myslíš si snad, že bych udělal jen jediný krok, kdybych věděl, že jde o milence mé ženy? """
"lies","lie","leží","ležet","impf"," And there he lies."," A on tamhle leží."
"do","do","uděláš","udělat","pf"," What are you going to do? ”"," Co uděláš? """
"going","go","Postupovali","postupovat","impf"," The going was slow, not more than two miles an hour, and the animals took every opportunity to lie down in the wet snow."," Postupovali pomalu, sotva dvě míle za hodinu, a zvířata využila každé příležitosti k odpočinku na mokrém sněhu."
"encouraged","encourage","povzbuzoval","povzbuzovat","impf"," “ Twenty miles of it, and we ’ ll be through the gorge, ” Daw encouraged."," "" Ještě dvacet mil tohohle a budeme z rokliny venku, "" povzbuzoval Daw."
"fixed","fix","spravíte","spravit","pf"," And when you get Rocky fixed up, you can come down in a canoe in one day. ”"," A až Rockyho spravíte, můžete být na kánoi dole za den. """
"grew","grow","stoupat","stoupat","impf"," But the ice grew more uneasy under them, breaking loose from the shore-line and rising steadily inch by inch."," Led pod nimi byl však čím dál nejistější, odlamoval se od břehů a nepřestával stoupat."
"rising","rise","stoupat","stoupat","impf"," But the ice grew more uneasy under them, breaking loose from the shore-line and rising steadily inch by inch."," Led pod nimi byl však čím dál nejistější, odlamoval se od břehů a nepřestával stoupat."
"held","hold","držel","držet","impf"," In places where it still held to the shore, the water overran and they waded and slushed across."," V místech, kde se led břehu ještě držel, vytékala na povrch voda, a jim nezbývalo, než se jí s obtížemi brodit."
"battled","battle","bojovali","bojovat","impf"," Cracks and fissures were forming everywhere as they battled on for the miles that each one of which meant ten along the tops."," Zatímco bojovali o míle, z nichž každá představovala deset mil vrchem, všude kolem nich se objevovaly nové praskliny a trhliny."
"shot","shoot","vystřelovaly","vystřelovat","impf"," Under pressure, the mighty cakes, weighing hundreds of tons, were shot into the air like peas."," Obrovské kry vážící stovky tun vystřelovaly pod tlakem do vzduchu jako kuličky hrášku."
"shout","shout","křičet","křičet","impf"," The frigid anarchy increased its riot, and the men had to shout into one another ’ s ears to be heard."," Ledový chaos znásobil svůj hřmot a muži museli jeden druhému křičet do ucha, aby se slyšeli."
"heard","hear","slyšeli","slyšet","impf"," The frigid anarchy increased its riot, and the men had to shout into one another ’ s ears to be heard."," Ledový chaos znásobil svůj hřmot a muži museli jeden druhému křičet do ucha, aby se slyšeli."
"killed","kill","zabily","zabít","pf"," Here, tossing tree-trunks, timbers, wrecks of cutters, and wreckage of houses, killed nine out of ten of the miserable beings who survived the passage of the lagoon."," Tady změť kmenů, trámů, vraky kutrů a trosky domů zabily devět z deseti nebožáků, kteří přežili cestu přes lagunu."
"survived","survive","přežili","přežít","pf"," Here, tossing tree-trunks, timbers, wrecks of cutters, and wreckage of houses, killed nine out of ten of the miserable beings who survived the passage of the lagoon."," Tady změť kmenů, trámů, vraky kutrů a trosky domů zabily devět z deseti nebožáků, kteří přežili cestu přes lagunu."
"hurled","hurl","vrženi","vrhnout","pf"," Half-drowned, exhausted, they were hurled into this mad mortar of the elements and battered into formless flesh."," Napůl utopení, byli tu vrženi do zběsilého hmoždíře živlů a rozdrceni na beztvaré kusy masa."
"battered","batter","rozdrceni","rozdrtit","pf"," Half-drowned, exhausted, they were hurled into this mad mortar of the elements and battered into formless flesh."," Napůl utopení, byli tu vrženi do zběsilého hmoždíře živlů a rozdrceni na beztvaré kusy masa."
"yielded","yield","skýtalo","skýtat","impf"," He was his mother ’ s supercargo, and his business was to comb all the Paumotus for the wealth of copra, shell, and pearls that they yielded up."," Byl matčiným lodním komisionářem a jeho prací bylo pročesávat celé Paumoty a hledat bohatství kopry, lastur a perel, které souostroví skýtalo."
"exposed","expose","ukázal","ukázat","pf"," But when Mapuhi exposed the pearl to his sight he managed to suppress the startle it gave him, and to maintain a careless, commercial expression on his face."," Když mu však Mapuhi ukázal svou perlu, dokázal Raoul přemoci údiv, který v něm vzbudila, a zachoval si lhostejný, obchodnický výraz."
"maintain","maintain","zachoval","zachovat","pf"," But when Mapuhi exposed the pearl to his sight he managed to suppress the startle it gave him, and to maintain a careless, commercial expression on his face."," Když mu však Mapuhi ukázal svou perlu, dokázal Raoul přemoci údiv, který v něm vzbudila, a zachoval si lhostejný, obchodnický výraz."
"ask","ask","zeptali","zeptat","pf"," Men shouldered in to ask after friends and partners, and in turn were shouldered out, too stunned for blasphemy."," Muži se tlačili kolem Montany Kida, aby se zeptali na své přátele a společníky, a vzápětí byli zas vytlačeni ven a v ohromení se nezmohli na jedinou kletbu."
"surrounded","surround","obklopen","obklopit","pf"," By the time Montana Kid gained the bank he was surrounded by several hundred fur-clad miners."," Než došel Montana Kid k bance, byl obklopen několika stovkami kožešinami oděných zlatokopů."
"passed","pass","míjel","míjet","impf"," When he passed the Barracks he was the center of a procession."," Když míjel policejní služebnu, byl středem procesí."
"struggling","struggle","bojoval","bojovat","impf"," At the Opera House he was the nucleus of an excited mob, each member struggling for a chance to ask after some absent comrade."," U Opery byl jádrem vzrušeného davu, v němž každý bojoval o příležitost zeptat se na některého z nepřítomných druhů."
"ask","ask","zeptat","zeptat","pf"," At the Opera House he was the nucleus of an excited mob, each member struggling for a chance to ask after some absent comrade."," U Opery byl jádrem vzrušeného davu, v němž každý bojoval o příležitost zeptat se na některého z nepřítomných druhů."
"kill","kill","Zabijete","zabít","pf"," “ You will kill him, ” his brother complained."," "" Zabijete ho, "" stěžoval si jeho bratr."
"complained","complain","stěžoval","stěžovat","impf"," “ You will kill him, ” his brother complained."," "" Zabijete ho, "" stěžoval si jeho bratr."
"Let","let","Nechte","nechat","pf"," “ Let him be."," "" Nechte ho být."
"let","let","nechte","nechat","pf"," For God ’ s sake, let him be."," Pro Kristovy rány, nechte ho už být."
"passed","pass","Uplynul","uplynout","pf"," July passed, and August neared its end, when he ordered Strang out on trail to get a moose."," Uplynul červenec a srpen se chýlil ke konci, když Linday poručil Strangovi, aby se vydal na lov losa."
"ordered","order","poručil","poručit","pf"," July passed, and August neared its end, when he ordered Strang out on trail to get a moose."," Uplynul červenec a srpen se chýlil ke konci, když Linday poručil Strangovi, aby se vydal na lov losa."
"watching","watch","pozoroval","pozorovat","impf"," Linday kept at his heels, watching him, studying him."," Celou dobu mu byl v patách, pozoroval ho a studoval."
"studying","study","pozoroval","pozorovat","impf"," Linday kept at his heels, watching him, studying him."," Celou dobu mu byl v patách, pozoroval ho a studoval."
"studying","study","studoval","studovat","impf"," Linday kept at his heels, watching him, studying him."," Celou dobu mu byl v patách, pozoroval ho a studoval."
"passed","pass","minuly","minout","pf"," As their two boats swept out the entrance, they passed the boat of the Aorai coming in."," Na svém úprku se pak jejich dva čluny u vjezdu do laguny minuly s člunem Aorai, připlouvajícím v opačném směru."
"played","play","hrál","hrát","impf"," Sutherland, this is Greenwich, - played quarter two seasons back. ”"," Sutherlande, tohle je Greenwhich - dvě sezony zpátky hrál quarter - backa. """
"read","read","četl","číst","impf"," “ Yes, I read of the game, ” Sutherland said, shaking hands."," "" Vím, o tom zápase jsem četl, "" řekl Sutherland, zatímco si podávali ruce."
"said","say","řekl","říci","pf"," “ Yes, I read of the game, ” Sutherland said, shaking hands."," "" Vím, o tom zápase jsem četl, "" řekl Sutherland, zatímco si podávali ruce."
"remember","remember","vzpomínám","vzpomínat","impf"," “ And I remember that big run of yours for the first touchdown. ”"," "" A vzpomínám si na tvůj slavný běh pro první touchdown. """
"made","make","udělal","udělat","pf"," Greenwich flushed darkly under his tanned skin and awkwardly made room for another."," Greenwhich se pod svou opálenou kůží hluboce zarděl a nemotorně udělal místo dalšímu."
"see","see","spatřili","spatřit","pf"," Between them they got the sled ashore and up into a crevice in time to see the ice-cake up-edge, sink, and down-shelve from view."," Muži společnými silami vytáhli saně na břeh a vzhůru do rozsedliny právě včas, aby spatřili, jak se ledová kra vzpřímila, klesla a sklouzla pod hladinu pryč z jejich dohledu."
"sink","sink","klesla","klesnout","pf"," Between them they got the sled ashore and up into a crevice in time to see the ice-cake up-edge, sink, and down-shelve from view."," Muži společnými silami vytáhli saně na břeh a vzhůru do rozsedliny právě včas, aby spatřili, jak se ledová kra vzpřímila, klesla a sklouzla pod hladinu pryč z jejich dohledu."
"abandoned","abandon","opuštěny","opustit","pf"," Meat and sleeping-furs were made into packs, and the sled was abandoned."," Maso a spací kožešiny byly sbaleny do ranců a saně opuštěny."
"passed","pass","podala","podat","pf"," Her hesitation was momentary, then she passed it over."," Zaváhala jen na okamžik, pak mu dopis podala."
"said","say","řekl","říci","pf"," “ Pretty straight, ” he said, when he had finished it."," "" Dost přímočarý, "" řekl, když dočetl."
"finished","finish","dočetl","dočíst","pf"," “ Pretty straight, ” he said, when he had finished it."," "" Dost přímočarý, "" řekl, když dočetl."
"extended","extend","natáhl","natáhnout","pf"," He carried her pack down to the bank, and, kneeling, steadied the canoe with one hand while he extended the other to help her in."," Linday odnesl její zavazadlo na břeh, pokleknul, jednou rukou přidržel kanoi a druhou natáhl k ní, aby jí pomohl do lodi."
"help","help","pomohl","pomoci","pf"," He carried her pack down to the bank, and, kneeling, steadied the canoe with one hand while he extended the other to help her in."," Linday odnesl její zavazadlo na břeh, pokleknul, jednou rukou přidržel kanoi a druhou natáhl k ní, aby jí pomohl do lodi."
"said","say","řekl","říci","pf"," “ Wait, ” he said."," "" Počkej, "" řekl."
"jumps","jump","Vyskočí","vyskočit","pf"," He jumps on top log, grabs bear by the slack of the rump, an ’ heaves over back ’ ard right over top of that log."," Vyskočí teda na kládu, popadne medvědici za volnou kůži na zadku, a přehodí jí pozadu přes tu kládu."
"said","say","řekl","říci","pf"," “ Twenty-nine-ten, ” said Raoul."," "" Dvacet devět deset, "" řekl Raoul."
"seen","see","neviděl","vidět","impf"," “ I have never seen it so low before. ”"," "" Takhle nízko jsem ho ještě neviděl. """
"say","say","řekl","říci","pf"," “ I should say not! ” snorted the captain."," "" To bych řekl! "" zasupěl kapitán."
"seen","see","neviděl","vidět","impf"," “ Fifty years boy and man on all the seas, and I ’ ve never seen it go down to that."," "" Padesát let jsem se jako kluk a chlap plavil po všech možných mořích a ještě nikdy jsem neviděl, aby tlak klesnul tak nízko."
"Listen","listen","Poslouchejte","poslouchat","impf"," Listen! ”"," Poslouchejte! """
"added","add","dodal","dodat","pf"," “ And the gamble is, which jam will break first, ” Sutherland added."," "" A teď se hraje o to, která hráz povolí jako první, "" dodal Sutherland."
"touched","touch","Dotkl","dotknout","pf"," He touched the native and made signs to descend to the ground."," Dotkl se domorodce a gesty mu naznačil, aby slezli na zem."
"remain","remain","zůstat","zůstat","pf"," The man was willing, but his women were paralyzed from terror, and he elected to remain with them."," Muž by býval uposlechl, ale ženy byly strnulé hrůzou a muž se rozhodl zůstat s nimi."
"held","hold","Zadržel","zadržet","pf"," He held his breath and clung desperately to the rope."," Zadržel dech a křečovitě se chytil provazu."
"breathed","breathe","nadechl","nadechnout","pf"," The water subsided, and in the shelter of the trunk he breathed once more."," Voda ustoupila a Raoul se v zákrytu kmene znovu nadechl."
"thank","thank","poděkovat","poděkovat","pf"," I don ’ t know how to thank you."," Nevím, jak vám poděkovat."
"left","leave","nechal","nechat","pf"," Some trapper had left the trap in an old cache an ’ Rocky ’ d fixed it up."," Nějakej traper nechal tu past ve starý zásobárně a Rocky jí dal dohromady."
"hear","hear","slyším","slyšet","impf"," First, I ’ d hear one yell and laugh, an ’ then the other, like it was some game."," Nejdřív slyším křičet a smát se jednoho, pak zase druhýho, jako by hráli nějakou hru."
"yell","yell","křičet","křičet","impf"," First, I ’ d hear one yell and laugh, an ’ then the other, like it was some game."," Nejdřív slyším křičet a smát se jednoho, pak zase druhýho, jako by hráli nějakou hru."
"laugh","laugh","smát","smát","impf"," First, I ’ d hear one yell and laugh, an ’ then the other, like it was some game."," Nejdřív slyším křičet a smát se jednoho, pak zase druhýho, jako by hráli nějakou hru."
"saw","see","viděl","vidět","impf"," I ’ ve saw some pretty nervy cusses down in Curry County, but they beat all."," Dole v Curry County jsem viděl pár dost otrlejch chlapů, ale tyhle dva by je všechny strčili do kapsy."
"tied","tie","zavázali","zavázat","pf"," We sewed up two or three bad places temporary, and tied arteries with twine. ”"," Dvě tři nejhorší místa jsme dočasně sešili, tepny zavázali nití. """
"added","add","dodal","dodat","pf"," He paused, then added drily,"," Odmlčel se a suše dodal :"
"remain","remain","nezůstane","zůstat","pf"," I fancy Rex Strang ’ s arms won ’ t remain long empty."," Řekl bych, že náruč Rexe Stranga nezůstane dlouho prázdná."
"said","say","řekla","říci","pf"," “ Grant ... ” she said, almost whispered, and in her voice was all the speech that needs not words for understanding."," "" Grante ... "" řekla téměř šeptem a v jejím hlase byla obsažena všechna řeč, které lze rozumět i beze slov."
"wanted","want","Chtěl","chtít","impf"," “ I just wanted to show you I wasn ’ t such a bad sort."," "" Chtěl jsem ti jen ukázat, že nejsem zas takový lump."
"show","show","ukázat","ukázat","pf"," “ I just wanted to show you I wasn ’ t such a bad sort."," "" Chtěl jsem ti jen ukázat, že nejsem zas takový lump."
