"says","say","říkají","říkat","impf"," some says gal, some says girl – both 's right, like enough."," Někteří říkají holka a jiní děvče, ale myslím, že to vyjde na stejno."
"go","go","odjet","odjet","pf"," The master 's wife would go on a visit to the country in a few days, and there would be nothing to interfere with the plan;"," Učitelova žena měla za několik dní odjet na venkov, takže se plánu nestavěla do cesty žádná překážka."
"went","go","nešel","jít","impf"," nobody went to bed again;"," Nikdo už nešel spát."
"say","say","řekla","říci","pf"," She say she spec ' Mars Tom gwine to ax me to whitewash, an ' so she tole me go ' long an ' ' tend to my own business - she ' lowed SHE'D ' tend to de whitewashin '. """," A ještě řekla, že pan Tom asi bude po mně chtít, abych bílil, a tak mi zvlášť nakázala, abych si hleděl svého, a řekla, že se SAMA postará, aby se bílilo. """
"say","say","řekla","říci","pf"," She say she spec ' Mars Tom gwine to ax me to whitewash, an ' so she tole me go ' long an ' ' tend to my own business - she ' lowed SHE'D ' tend to de whitewashin '. """," A ještě řekla, že pan Tom asi bude po mně chtít, abych bílil, a tak mi zvlášť nakázala, abych si hleděl svého, a řekla, že se SAMA postará, aby se bílilo. """
"let","let","Necháš","nechat","pf"," "" Tom, you let him alone. """," "" Necháš toho, Tome! """
"want","want","chci","chtít","impf"," "" I only just want to stir him up a little, Joe. """," "" Já ho chci jenom trošinku popíchnout, Joe. """
"let","let","nech","nechat","pf"," you just let him alone. """," Jen ho pěkně nech. """
"going","go","Jdi","jít","impf"," "" Blame it, I ai n't going to stir him much. """," "" Jdi do háje, já ho budu honit jen trošinku. """
"tell","tell","Říkám","říkat","impf"," "" Let him alone, I tell you. """," "" Říkám ti, nech ho! """
"Let","let","nech","nechat","pf"," "" Let him alone, I tell you. """," "" Říkám ti, nech ho! """
"listened","listen","naslouchala","naslouchat","impf"," Have listened to Tallassee 's warring floods,"," Já naslouchala, mocná Tallassee mi pěla"
"tried","try","zkusil","zkusit","pf"," so he tried twice more."," Tak to zkusil ještě dvakrát."
"lay","lie","ležely","ležet","impf"," The two marbles lay within a foot of each other."," Obě kuličky ležely tři decimetry od sebe."
"borrowed","borrow","vypůjčili","vypůjčit","pf"," A trifle after noon the boys borrowed a small skiff from a citizen who was absent, and got under way at once."," Chvilku po poledni si hoši vypůjčili loďku od občana, jenž tam zrovna nebyl, a ihned se vydali na cestu."
"said","say","řekl","říci","pf"," When they were several miles below "" Cave Hollow, "" Tom said :"," Když byli několik kilometrů po proudu pod jeskynní roklinou, Tom řekl :"
"see","see","vidíš","vidět","impf"," "" Now you see this bluff here looks all alike all the way down from the cave hollow – no houses, no woodyards, bushes all alike."," "" Tady vidíš, že srázný břeh vypadá od jeskynní rokle všude stejně - nikde žádný dům, žádná dřevařská ohrada, všude stejné křoví."
"see","see","vidíš","vidět","impf"," But do you see that white place up yonder where there 's been a landslide?"," Ale vidíš tam nahoře to bílé místo, kde se sesula zem?"
"seen","see","viděl","vidět","impf"," There was one very strong argument in favor of this idea – namely, that the quantity of coin he had seen was too vast to be real."," Pro tento výklad mluvil pádný argument, že totiž množství mincí, které viděl, bylo příliš veliké, než aby mohlo být skutečné."
"seen","see","neviděl","vidět","impf"," He had never seen as much as fifty dollars in one mass before, and he was like all boys of his age and station in life, in that he imagined that all references to "" hundreds "" and "" thousands "" were mere fanciful forms of speech, and that no such sums really existed in the world."," Nikdy předtím neviděl pohromadě ani padesát dolarů a podobal se ostatním hochům téhož věku a téže společenské vrstvy tím, že považoval všechny zmínky o "" snech "" a "" tisících "" za pouhé ozdobné řečnické obraty a nevěřil, že takové částky vůbec existují."
"seen","see","považoval","považovat","impf"," He had never seen as much as fifty dollars in one mass before, and he was like all boys of his age and station in life, in that he imagined that all references to "" hundreds "" and "" thousands "" were mere fanciful forms of speech, and that no such sums really existed in the world."," Nikdy předtím neviděl pohromadě ani padesát dolarů a podobal se ostatním hochům téhož věku a téže společenské vrstvy tím, že považoval všechny zmínky o "" snech "" a "" tisících "" za pouhé ozdobné řečnické obraty a nevěřil, že takové částky vůbec existují."
"existed","exist","existují","existovat","impf"," He had never seen as much as fifty dollars in one mass before, and he was like all boys of his age and station in life, in that he imagined that all references to "" hundreds "" and "" thousands "" were mere fanciful forms of speech, and that no such sums really existed in the world."," Nikdy předtím neviděl pohromadě ani padesát dolarů a podobal se ostatním hochům téhož věku a téže společenské vrstvy tím, že považoval všechny zmínky o "" snech "" a "" tisících "" za pouhé ozdobné řečnické obraty a nevěřil, že takové částky vůbec existují."
"falls","fall","padá","padat","impf"," It 's hid in mighty particular places, Huck – sometimes on islands, sometimes in rotten chests under the end of a limb of an old dead tree, just where the shadow falls at midnight;"," Ale jsou ukryté na moc zvláštních místech, Hucku, někdy na ostrovech, jindy ve ztrouchnivělých truhlách pod větví starého uschlého stromu - zrovna tam, kam o půlnoci padá stín."
"hides","hide","schovává","schovávat","impf"," "" Who hides it? """," "" Kdo tam ty peníze schovává? """
"hide","hide","neschovával","schovávat","impf"," If ' twas mine I would n't hide it;"," Ale kdyby byly moje, neschovával bych je."
"spend","spend","Utratil","utratit","pf"," I 'd spend it and have a good time. """," Utratil bych je a dobře bych se poměl. """
"meant","mean","Nechtěl","chtít","impf"," But I never meant any harm."," "" Nechtěl jsem ho urazit."
"calls","call","říká","říkat","impf"," Everybody calls him Hoss. """," Ale každý mu říká Koňský. """
"talk","talk","mluví","mluvit","impf"," "" A body ca n't be too partic'lar how they talk ' bout these-yer dead people, Tom. """," "" Člověk si nemůže dát dost dobrý pozor, jak mluví o mrtvých, Tome. """
"sprang","spring","vyskočil","vyskočit","pf"," The strangling hero sprang up with a relieving snort."," Topený rek vyskočil a ulevil si zafuněním a odfrknutím."
"relieving","relieve","ulevil","ulevit","pf"," The strangling hero sprang up with a relieving snort."," Topený rek vyskočil a ulevil si zafuněním a odfrknutím."
"shot","shoot","vystřelí","vystřelit","pf"," There was a whiz as of a missile in the air, mingled with the murmur of a curse, a sound as of shivering glass followed, and a small, vague form went over the fence and shot away in the gloom."," Vzduchem jako by zasvištěl nějaký letící předmět, provázený bručivým zaklením, potom to cinklo, jako by se tříštilo sklo, a matná postavička se přehoupla přes plot a zmizela ve tmě, jako když ji vystřelí."
"comes","come","nastane","nastat","pf"," THERE comes a time in every rightlyconstructed boy 's life when he has a raging desire to go somewhere and dig for hidden treasure."," V ŽIVOTĚ KAŽDÉHO SPRÁVNÉHO chlapce nastane jednou okamžik, kdy ho uchvátí plamenná touha jít a vykopávat poklady."
"comes","come","jít","jít","impf"," THERE comes a time in every rightlyconstructed boy 's life when he has a raging desire to go somewhere and dig for hidden treasure."," V ŽIVOTĚ KAŽDÉHO SPRÁVNÉHO chlapce nastane jednou okamžik, kdy ho uchvátí plamenná touha jít a vykopávat poklady."
"go","go","jít","jít","impf"," THERE comes a time in every rightlyconstructed boy 's life when he has a raging desire to go somewhere and dig for hidden treasure."," V ŽIVOTĚ KAŽDÉHO SPRÁVNÉHO chlapce nastane jednou okamžik, kdy ho uchvátí plamenná touha jít a vykopávat poklady."
"answer","answer","vyhovoval","vyhovovat","impf"," Huck would answer."," Huck vyhovoval požadavkům."
"visited","visit","navštěvovaly","navštěvovat","impf"," Many women visited Aunt Polly and Mrs. Thatcher and tried to comfort them."," Ženy navštěvovaly tetu Polly a paní Thatcherovou a snažily se je utěšovat."
"tried","try","snažily","snažit","impf"," Many women visited Aunt Polly and Mrs. Thatcher and tried to comfort them."," Ženy navštěvovaly tetu Polly a paní Thatcherovou a snažily se je utěšovat."
"comfort","comfort","utěšovat","utěšovat","impf"," Many women visited Aunt Polly and Mrs. Thatcher and tried to comfort them."," Ženy navštěvovaly tetu Polly a paní Thatcherovou a snažily se je utěšovat."
"cried","cry","plakaly","plakat","impf"," They cried with them, too, and that was still better than words."," Také s nimi plakaly, což bylo ještě lepší než slova."
"waited","wait","čekalo","čekat","impf"," All the tedious night the town waited for news;"," Celou nekonečnou noc městečko čekalo na zprávy."
"sent","send","posílal","posílat","impf"," Judge Thatcher sent messages of hope and encouragement from the cave, but they conveyed no real cheer."," Soudce Thatcher posílal z jeskyně vzkazy naděje a povzbuzení, ale ani vzkazy nezněly nadějně."
"come","come","přišel","přijít","pf"," And Sid would have come and DONE it, too."," A Sid by také přišel a dal mi vědět."
"cared","care","nezáleželo","záležet","impf"," Tom, you 'll look back, some day, when it 's too late, and wish you 'd cared a little more for me when it would have cost you so little. """," Však počkej, Tome, jednoho dne, až bude pozdě, si to všechno uvědomíš a budeš litovat, že ti na mně víc nezáleželo, ačkoliv by tě to nic nestálo. """
"said","say","řekl","říci","pf"," "" Now, auntie, you know I do care for you, "" said Tom."," "" Ale, tetinečko, sama víte, že mi na vás záleží, "" řekl Tom."
"thought","think","nevzpomněl","vzpomenout","pf"," "" I wish now I 'd thought, "" said Tom, with a repentant tone;"," "" Je mi líto, že jsem si na to nevzpomněl, "" řekl Tom kajícným hlasem."
"said","say","řekl","říci","pf"," "" I wish now I 'd thought, "" said Tom, with a repentant tone;"," "" Je mi líto, že jsem si na to nevzpomněl, "" řekl Tom kajícným hlasem."
"speak","speak","říci","říci","pf"," Then Tom girded up his loins, so to speak, and went to work to "" get his verses. """," Potom Tom opásal bedra svá, jestli se to tak dá říci, a dal se do "" svých "" veršů."
"went","go","začalo","začít","pf"," As twilight drew on, the ferryboat went back to her accustomed business and the skiffs disappeared."," Když se začalo smrákat, vrátil se převozní parník k obvyklé práci a čluny zmizely."
"disappeared","disappear","zmizely","zmizet","pf"," As twilight drew on, the ferryboat went back to her accustomed business and the skiffs disappeared."," Když se začalo smrákat, vrátil se převozní parník k obvyklé práci a čluny zmizely."
"getting","get","pošlou","poslat","pf"," His soul was at peace, now that he had settled with Sid for calling attention to his black thread and getting him into trouble."," Teď, když si se Sidem vyrovnal účet za žalobníčkování o černé niti a za mrzutost z toho pošlou, rozhostil se v Tomově duši hluboký mír."
"escaped","escape","unikali","unikat","impf"," Only the biggest boys, and young ladies of eighteen and twenty, escaped lashing."," Jen největší hoši a mladé dámy unikali výpraskům."
"carried","carry","měl","mít","impf"," for although he carried, under his wig, a perfectly bald and shiny head, he had only reached middle age, and there was no sign of feebleness in his muscle."," Přestože měl pod parukou dokonale lysou hlavu, dosáhl teprve středních let a jeho svaly nevykazovaly žádné příznaky ochabnutí."
"reached","reach","dosáhl","dosáhnout","pf"," for although he carried, under his wig, a perfectly bald and shiny head, he had only reached middle age, and there was no sign of feebleness in his muscle."," Přestože měl pod parukou dokonale lysou hlavu, dosáhl teprve středních let a jeho svaly nevykazovaly žádné příznaky ochabnutí."
"approached","approach","blížil","blížit","impf"," As the great day approached, all the tyranny that was in him came to the surface;"," Čím víc se blížil velký den, tím ostřeji vystupovala na povrch jeho tyranská povaha."
"turned","turn","Odvrátil","odvrátit","pf"," He turned his face away."," Odvrátil tvář."
"dying","die","zemřou","zemřít","pf"," Joe was for being a hermit, and living on crusts in a remote cave, and dying, some time, of cold and want and grief;"," Joe navrhoval, aby se stali poustevníky a žili o suchém chlebě v nějaké vzdálené jeskyni, kde jednoho dne zemřou zimou, strádáním a žalem."
"conceded","concede","uznal","uznat","pf"," but after listening to Tom, he conceded that there were some conspicuous advantages about a life of crime, and so he consented to be a pirate."," Když však vyslechl Toma, uznal, že život zločince má řadu předností, a tak svolil, že bude pirátem."
"talked","talk","hovořit","hovořit","impf"," "" Dares to hold such language, "" said Tom, prompting – for they talked "" by the book, "" from memory."," ... se odvažuješ tak troufale se mnou hovořit? "" napovídal Tom, neboť mluvili, "" jak to stojí v knize ""."
"said","say","mluvili","mluvit","impf"," "" Dares to hold such language, "" said Tom, prompting – for they talked "" by the book, "" from memory."," ... se odvažuješ tak troufale se mnou hovořit? "" napovídal Tom, neboť mluvili, "" jak to stojí v knize ""."
"talked","talk","mluvili","mluvit","impf"," "" Dares to hold such language, "" said Tom, prompting – for they talked "" by the book, "" from memory."," ... se odvažuješ tak troufale se mnou hovořit? "" napovídal Tom, neboť mluvili, "" jak to stojí v knize ""."
"wanted","want","Chtěl","chtít","impf"," He wanted to explore its borders, but concluded that it would be best to sit down and rest awhile, first."," Chtěl prozkoumat jeho břehy, ale řekl si, že bude lépe, když si napřed sednou a odpočinou."
"explore","explore","prozkoumat","prozkoumat","pf"," He wanted to explore its borders, but concluded that it would be best to sit down and rest awhile, first."," Chtěl prozkoumat jeho břehy, ale řekl si, že bude lépe, když si napřed sednou a odpočinou."
"sit","sit","sednou","sednout","pf"," He wanted to explore its borders, but concluded that it would be best to sit down and rest awhile, first."," Chtěl prozkoumat jeho břehy, ale řekl si, že bude lépe, když si napřed sednou a odpočinou."
"rest","rest","odpočinou","odpočinout","pf"," He wanted to explore its borders, but concluded that it would be best to sit down and rest awhile, first."," Chtěl prozkoumat jeho břehy, ale řekl si, že bude lépe, když si napřed sednou a odpočinou."
"sat","sit","seděl","sedět","impf"," He sat long with his elbows on his knees and his chin in his hands, meditating."," Dlouho seděl s lokty opřenými o kolena, s bradou v dlaních, a dumal."
"seemed","seem","Zdálo","zdát","impf"," It seemed to him that life was but a trouble, at best, and he more than half envied Jimmy Hodges, so lately released;"," Zdálo se mu, že i v nejlepším případě život není nic než samé trápení, a záviděl - víc než jen trochu - Jimmymu Hodgesovi, který byl toho všeho nedávno zproštěn."
"envied","envy","záviděl","závidět","impf"," It seemed to him that life was but a trouble, at best, and he more than half envied Jimmy Hodges, so lately released;"," Zdálo se mu, že i v nejlepším případě život není nic než samé trápení, a záviděl - víc než jen trochu - Jimmymu Hodgesovi, který byl toho všeho nedávno zproštěn."
"released","release","zproštěn","zprostit","pf"," It seemed to him that life was but a trouble, at best, and he more than half envied Jimmy Hodges, so lately released;"," Zdálo se mu, že i v nejlepším případě život není nic než samé trápení, a záviděl - víc než jen trochu - Jimmymu Hodgesovi, který byl toho všeho nedávno zproštěn."
"said","say","řekli","říci","pf"," They all said they had not noticed whether Tom and Becky were on board the ferryboat on the homeward trip;"," Všichni řekli, že si nevšimli, zda při zpáteční cestě byli Tom a Becky na parníku."
"noticed","notice","nevšimli","všimnout","pf"," They all said they had not noticed whether Tom and Becky were on board the ferryboat on the homeward trip;"," Všichni řekli, že si nevšimli, zda při zpáteční cestě byli Tom a Becky na parníku."
"divided","divide","Rozdělili","rozdělit","pf"," they divided and ate it."," Rozdělili se a snědli ji."
"ate","eat","snědli","sníst","pf"," they divided and ate it."," Rozdělili se a snědli ji."
"seemed","seem","zdálo","zdát","impf"," But they seemed hungrier than before."," Ale zdálo se jim, že mají větší hlad než předtím."
"listened","listen","naslouchali","naslouchat","impf"," Both held their breath and listened."," Zatajili dech a naslouchali."
"answered","answer","odpověděl","odpovědět","pf"," Instantly Tom answered it, and leading Becky by the hand, started groping down the corridor in its direction."," Tom okamžitě odpověděl, chytil Becky za ruku a začal tápat chodbou ve směru zvuku."
"started","start","začal","začít","pf"," Instantly Tom answered it, and leading Becky by the hand, started groping down the corridor in its direction."," Tom okamžitě odpověděl, chytil Becky za ruku a začal tápat chodbou ve směru zvuku."
"passed","pass","podal","podat","pf"," He subtracted from it twenty or thirty dollars for himself and as much for Injun Joe, and passed the bag to the latter, who was on his knees in the corner, now, digging with his bowie-knife."," Vzal z něho několik dolarů pro sebe a stejně tolik pro Indiána Joea a potom podal vak Joeovi, který klečel v koutě a dlabal tesákem díru."
"forgot","forget","zapomněli","zapomenout","pf"," The boys forgot all their fears, all their miseries in an instant."," Hoši rázem zapomněli na všechen strach a utrpení."
"watched","watch","sledovali","sledovat","impf"," With gloating eyes they watched every movement."," S očima navrch hlavy sledovali každý pohyb."
"let","let","Nechte","nechat","pf"," "" Just let me study a moment – just a moment."," "" Nechte mě chviličku přemýšlet - jenom chviličku ..."
"study","study","přemýšlet","přemýšlet","impf"," "" Just let me study a moment – just a moment."," "" Nechte mě chviličku přemýšlet - jenom chviličku ..."
"spoke","speak","nepromluvil","promluvit","pf"," All gazed, nobody spoke for a moment."," Nikdo nepromluvil, jen civěl."
"said","say","řekl","říci","pf"," Tom said he could furnish it, and he did."," Tom řekl, že je může poskytnout, a poskytl je."
"furnish","furnish","poskytnout","poskytnout","pf"," Tom said he could furnish it, and he did."," Tom řekl, že je může poskytnout, a poskytl je."
"furnish","furnish","poskytl","poskytnout","pf"," Tom said he could furnish it, and he did."," Tom řekl, že je může poskytnout, a poskytl je."
"break","break","porušil","porušit","pf"," There was scarcely an interruption from any one to break the charm of its flow."," Skoro nikdo Tomovi neskákal do řeči a vypravování plynulo, aniž kdo porušil zakletí, v němž příběh udržoval shromážděné."
"lifted","lift","zvedal","zvedat","impf"," Away off in the flaming sunshine, Cardiff Hill lifted its soft green sides through a shimmering veil of heat, tinted with the purple of distance;"," V dáli, pod plamennou záplavou slunce zvedal vrch Cardiff Hill své něžně zelené stráně do tetelícího se oparu vedra."
"talk","talk","mluví","mluvit","impf"," Dead people might talk, maybe, but they do n't come sliding around in a shroud, when you ai n't noticing, and peep over your shoulder all of a sudden and grit their teeth, the way a ghost does."," Umrlci třebas mluví, ale neplíží se za tebou v rubáši, když o tom nevíš, a nejukají ti znenadání přes rameno a neskřípají zubama, jak to dělají strašidla."
"do","do","dělají","dělat","impf"," Dead people might talk, maybe, but they do n't come sliding around in a shroud, when you ai n't noticing, and peep over your shoulder all of a sudden and grit their teeth, the way a ghost does."," Umrlci třebas mluví, ale neplíží se za tebou v rubáši, když o tom nevíš, a nejukají ti znenadání přes rameno a neskřípají zubama, jak to dělají strašidla."
"does","do","dělají","dělat","impf"," Dead people might talk, maybe, but they do n't come sliding around in a shroud, when you ai n't noticing, and peep over your shoulder all of a sudden and grit their teeth, the way a ghost does."," Umrlci třebas mluví, ale neplíží se za tebou v rubáši, když o tom nevíš, a nejukají ti znenadání přes rameno a neskřípají zubama, jak to dělají strašidla."
"want","want","Nechtělo","chtít","impf"," "" Did n't you want to go in a-swimming, Tom? """," "" Nechtělo se ti jít koupat, Tome? """
"Did","do","jít","jít","impf"," "" Did n't you want to go in a-swimming, Tom? """," "" Nechtělo se ti jít koupat, Tome? """
"go","go","jít","jít","impf"," "" Did n't you want to go in a-swimming, Tom? """," "" Nechtělo se ti jít koupat, Tome? """
"told","tell","neprozradila","prozradit","pf"," He searched Aunt Polly 's face, but it told him nothing."," Podíval se pátravě na tetu Polly, ale její tvář mu nic neprozradila."
"reached","reach","sáhla","sáhnout","pf"," The old lady reached out her hand and felt Tom 's shirt, and said :"," Stará paní vztáhla ruku, sáhla si na Tomovu košili a řekla :"
"said","say","řekla","říci","pf"," The old lady reached out her hand and felt Tom 's shirt, and said :"," Stará paní vztáhla ruku, sáhla si na Tomovu košili a řekla :"
"kissed","kiss","políbil","políbit","pf"," Tom kissed the red lips and said :"," Tom políbil rudé rty a řekl :"
"said","say","řekl","říci","pf"," Tom kissed the red lips and said :"," Tom políbil rudé rty a řekl :"
"escaped","escape","uteklo","utéci","pf"," The tick escaped from Tom, presently, and crossed the equator."," Klíště za chvilku Tomovi uteklo a překročilo rovník."
"crossed","cross","překročilo","překročit","pf"," The tick escaped from Tom, presently, and crossed the equator."," Klíště za chvilku Tomovi uteklo a překročilo rovník."
"crossed","cross","překročilo","překročit","pf"," Joe harassed him awhile, and then he got away and crossed back again."," Joe je chvíli popoháněl, až mu uniklo a překročilo zase hraniční čáru opačným směrem."
"did","do","udělala","udělat","pf"," "" Susan Harper, did you do this? """," Zuzano Harperová, udělala jsi to ty? """
"do","do","udělala","udělat","pf"," "" Susan Harper, did you do this? """," Zuzano Harperová, udělala jsi to ty? """
"came","come","vstoupili","vstoupit","pf"," When they came in, "" t'other "" was talking in a low voice;"," Když vstoupili, "" ten druhý "" tiše mluvil."
"talking","talk","mluvil","mluvit","impf"," When they came in, "" t'other "" was talking in a low voice;"," Když vstoupili, "" ten druhý "" tiše mluvil."
"helped","help","pomohl","pomoci","pf"," how he pushed his way out at the hole and then helped her out;"," Pak se prosoukal otvorem a pomohl Becky ven."
"sat","sit","Seděli","sedět","impf"," how they sat there and cried for gladness;"," Seděli a radostí plakali."
"cried","cry","plakali","plakat","impf"," how they sat there and cried for gladness;"," Seděli a radostí plakali."
"saw","see","spatřil","spatřit","pf"," But when he saw this small new-comer his soul was all ablaze with bliss in a moment."," Když však spatřil maličkou příchozí, jeho duše v mžiku vzplanula veškerým blahem světa."
"showing","show","PŘEDVÁDĚL","předvádět","impf"," The next moment he was "" showing off "" with all his might - cuffing boys, pulling hair, making faces - in a word, using every art that seemed likely to fascinate a girl and win her applause."," V příští vteřině už SE PŘEDVÁDĚL, seč mohl - dloubal chlapce do žeber, tahal je za vlasy, šklebil se - zkrátka, používal všech svých dovedností a prostředků, o nichž se domníval, že mohou ohromit dívku a získat její přízeň."
"pulling","pull","tahal","tahat","impf"," The next moment he was "" showing off "" with all his might - cuffing boys, pulling hair, making faces - in a word, using every art that seemed likely to fascinate a girl and win her applause."," V příští vteřině už SE PŘEDVÁDĚL, seč mohl - dloubal chlapce do žeber, tahal je za vlasy, šklebil se - zkrátka, používal všech svých dovedností a prostředků, o nichž se domníval, že mohou ohromit dívku a získat její přízeň."
"using","use","používal","používat","impf"," The next moment he was "" showing off "" with all his might - cuffing boys, pulling hair, making faces - in a word, using every art that seemed likely to fascinate a girl and win her applause."," V příští vteřině už SE PŘEDVÁDĚL, seč mohl - dloubal chlapce do žeber, tahal je za vlasy, šklebil se - zkrátka, používal všech svých dovedností a prostředků, o nichž se domníval, že mohou ohromit dívku a získat její přízeň."
"making","make","získat","získat","pf"," The next moment he was "" showing off "" with all his might - cuffing boys, pulling hair, making faces - in a word, using every art that seemed likely to fascinate a girl and win her applause."," V příští vteřině už SE PŘEDVÁDĚL, seč mohl - dloubal chlapce do žeber, tahal je za vlasy, šklebil se - zkrátka, používal všech svých dovedností a prostředků, o nichž se domníval, že mohou ohromit dívku a získat její přízeň."
"win","win","získat","získat","pf"," The next moment he was "" showing off "" with all his might - cuffing boys, pulling hair, making faces - in a word, using every art that seemed likely to fascinate a girl and win her applause."," V příští vteřině už SE PŘEDVÁDĚL, seč mohl - dloubal chlapce do žeber, tahal je za vlasy, šklebil se - zkrátka, používal všech svých dovedností a prostředků, o nichž se domníval, že mohou ohromit dívku a získat její přízeň."
"returned","return","vrátil","vrátit","pf"," He returned, now, and hung about the fence till nightfall, "" showing off, "" as before;"," Pak se hned zase vrátil a lelkoval kolem plotu až do setmění, předváděje se jako předtím."
"showing","show","předváděje","předvádět","impf"," He returned, now, and hung about the fence till nightfall, "" showing off, "" as before;"," Pak se hned zase vrátil a lelkoval kolem plotu až do setmění, předváděje se jako předtím."
"exhibited","exhibit","neukázala","ukázat","pf"," but the girl never exhibited herself again, though Tom comforted himself a little with the hope that she had been near some window, meantime, and been aware of his attentions."," Dívka se už neukázala, ale Tom se utěšoval nadějí, že stojí za nějakým oknem a že si je vědoma jeho pozornosti."
"comforted","comfort","utěšoval","utěšovat","impf"," but the girl never exhibited herself again, though Tom comforted himself a little with the hope that she had been near some window, meantime, and been aware of his attentions."," Dívka se už neukázala, ale Tom se utěšoval nadějí, že stojí za nějakým oknem a že si je vědoma jeho pozornosti."
"wondered","wonder","divila","divit","impf"," All through supper his spirits were so high that his aunt wondered "" what had got into the child. """," Při večeři byl po celou dobu tak bujný, že se teta hlasitě divila, "" co do toho dítěte zase vjelo ""."
"glowing","glow","zářila","zářit","impf"," NOW his future lay plain before him, and glowing with unimaginable splendor."," Teď se budoucnost před ním rýsovala naprosto jasně a zářila nepředstavitelnou nádherou."
"come","come","přijdou","přijít","pf"," I reckon they 'll come after old Hoss Williams to-night. """," Myslím, že si dnes přijdou pro starého Koňského Williamse. """
"thought","think","nevzpomněl","vzpomenout","pf"," "" I never thought of that."," "" Na to jsem nevzpomněl."
"go","go","jít","jít","impf"," Lemme go with you? """," Můžu jít s tebou? """
"want","want","Chce","chtít","impf"," If they want to jump down, now, and get into trouble, who objects?"," Chce - li teď skočit dolů a něco si s námi začít, ať skočí."
"jump","jump","skočit","skočit","pf"," If they want to jump down, now, and get into trouble, who objects?"," Chce - li teď skočit dolů a něco si s námi začít, ať skočí."
"jump","jump","skočí","skočit","pf"," If they want to jump down, now, and get into trouble, who objects?"," Chce - li teď skočit dolů a něco si s námi začít, ať skočí."
"took","take","přinesli","přinést","pf"," In my opinion, whoever hove those things in here caught a sight of us and took us for ghosts or devils or something."," Podle mého názoru nás ti, co sem přinesli tyhle věci, zmerčili a považovali nás za duchy nebo ďábly."
"bet","bet","Vsadil","vsadit","pf"," I 'll bet they 're running yet. """," Vsadil bych se, že v tuhle chvíli ještě utíkají. """
"running","run","utíkají","utíkat","impf"," I 'll bet they 're running yet. """," Vsadil bych se, že v tuhle chvíli ještě utíkají. """
"pray","pray","modlit","modlit","impf"," Can you pray? """," Umíš se modlit? """
"try","try","Zkusím","zkusit","pf"," "" I 'll try, but do n't you be afeard."," "" Zkusím to, ale neboj se."
"miss","miss","postrádala","postrádat","impf"," But anyway, your mother would miss you as soon as they got home. """," Ale určitě by tě postrádala maminka, jakmile se parník vrátil. """
"saw","see","spatřil","spatřit","pf"," A frightened look in Becky 's face brought Tom to his senses and he saw that he had made a blunder."," Tom se vzpamatoval, když spatřil ulekaný výraz v dívčině tváři, a viděl, že se dopustil velké chyby."
"saw","see","viděl","vidět","impf"," A frightened look in Becky 's face brought Tom to his senses and he saw that he had made a blunder."," Tom se vzpamatoval, když spatřil ulekaný výraz v dívčině tváři, a viděl, že se dopustil velké chyby."
"gone","go","jít","jít","impf"," Becky was not to have gone home that night!"," Becky přece neměla jít domů."
"got","get","dostat","dostat","pf"," We might ' a ' got into an awful scrape, tackling such a thing on a Friday. """," Kdybychom se do takové věci pouštěli v pátek, mohli jsme se dostat do pěkné kaše. """
"said","say","řekl","říci","pf"," "" Well, I never said I was, did I?"," "" Copak jsem řekl, že jsem to objevil?"
"thought","think","pomyslel","pomyslet","pf"," Very well, he thought, let them bury it there;"," "" Sláva, "" pomyslel si, "" jen ať to tu zakopou!"
"find","find","najdeme","najít","pf"," it wo n't be hard to find."," Tady to snadno najdeme! """
"think","think","vzpomněl","vzpomenout","pf"," He called himself a fool, and all the hard names he could think of."," Spílal si do hlupáků a dával si všechna zlá jména, na která si vzpomněl."
"hear","hear","Neslyšel","slyšet","impf"," He did not hear what Amy was saying, and whenever she paused expectantly he could only stammer an awkward assent, which was as often misplaced as otherwise."," Neslyšel, co Amy říká, a kdykoliv se odmlčela a očekávala odpověď, nezmohl se na víc než na koktavý projev nemotorného souhlasu."
"saying","say","říká","říkat","impf"," He did not hear what Amy was saying, and whenever she paused expectantly he could only stammer an awkward assent, which was as often misplaced as otherwise."," Neslyšel, co Amy říká, a kdykoliv se odmlčela a očekávala odpověď, nezmohl se na víc než na koktavý projev nemotorného souhlasu."
"wanted","want","chtěl","chtít","impf"," I could have a thousand of ' em if I wanted to. """," Mohl bych jich mít tisíc, kdybych chtěl. """
"seen","see","viděl","vidět","impf"," It 's the first one I 've seen this year. """," Je to první, které jsem letos viděl. """
"give","give","dám","dát","pf"," "" Say, Huck – I 'll give you my tooth for him. """," "" Poslyš, Hucku - dám ti za ně zub. """
"wanted","want","chtěl","chtít","impf"," Moreover, he wanted to assure himself that Huck had remained discreet."," A především se chtěl ujistit, že Huck zachoval mlčení."
"assure","assure","ujistit","ujistit","pf"," Moreover, he wanted to assure himself that Huck had remained discreet."," A především se chtěl ujistit, že Huck zachoval mlčení."
"told","tell","řekl","říci","pf"," "" Huck, have you ever told anybody about – that? """," "" Hucku, řekl jsi někomu - o tom? """
"ask","ask","ptáš","ptát","impf"," What makes you ask? """," A proč se ptáš? """
"make","make","činí","činit","impf"," In a word, everything that goes to make life precious that boy had."," Zkrátka - všecko, co činí život vábným, ten kluk měl, směl a mohl."
