"convinced","convince","přesvědčit","přesvědčit","pf"," You 've known me for long enough, Mr. K., I 'm sure you 're convinced of that."," Znáte mě přece už dost dlouho, pane K., abyste se mohl o tom přesvědčit."
"listened","listen","poslouchal","poslouchat","impf"," Block listened closely with his head lowered, as if by listening he were breaking an order."," Block poslouchal se sklopenou hlavou, jako by tím, že poslouchá, přestupoval nějaký příkaz."
"listening","listen","poslouchal","poslouchat","impf"," Block listened closely with his head lowered, as if by listening he were breaking an order."," Block poslouchal se sklopenou hlavou, jako by tím, že poslouchá, přestupoval nějaký příkaz."
"listened","listen","poslouchá","poslouchat","impf"," Block listened closely with his head lowered, as if by listening he were breaking an order."," Block poslouchal se sklopenou hlavou, jako by tím, že poslouchá, přestupoval nějaký příkaz."
"listening","listen","poslouchá","poslouchat","impf"," Block listened closely with his head lowered, as if by listening he were breaking an order."," Block poslouchal se sklopenou hlavou, jako by tím, že poslouchá, přestupoval nějaký příkaz."
"asked","ask","zeptala","zeptat","pf"," "" What makes you so wary about it? "" asked Leni."," "" Proč váháš? "" zeptala se Lenka."
"appeared","appear","objevily","objevit","pf"," Two large, black eyes appeared in the spy-hatch in the door, they stared at the two visitors for a while and then disappeared;"," Ve špehýrce na dveřích se objevily dvě velké černé oči, dívaly se chvilku na oba hosty a zmizely."
"disappeared","disappear","zmizely","zmizet","pf"," Two large, black eyes appeared in the spy-hatch in the door, they stared at the two visitors for a while and then disappeared;"," Ve špehýrce na dveřích se objevily dvě velké černé oči, dívaly se chvilku na oba hosty a zmizely."
"open","open","neotevřely","otevřít","pf"," the door, however, did not open."," Dveře se však neotevřely."
"keep","keep","měl","mít","impf"," It might have been his duty to keep everyone else away, but this man is who the door was intended for and he ought to have let him in. """," Jeho povinností bylo snad, aby nevpustil nikoho cizího, tohoto muže však, pro něhož byl vchod určen, vpustit měl. """
"written","write","psáno","psát","impf"," "" You 're not paying enough attention to what was written and you 're changing the story, "" said the priest."," "" Nemáš dost úcty k tomu, co je psáno, a pozměňuješ příběh, "" řekl duchovní."
"said","say","řekl","říci","pf"," "" You 're not paying enough attention to what was written and you 're changing the story, "" said the priest."," "" Nemáš dost úcty k tomu, co je psáno, a pozměňuješ příběh, "" řekl duchovní."
"sit","sit","sedět","sedět","impf"," He would have liked just to sit quietly where he was until he had enough strength to leave, and the less fuss people made about him the sooner that would be."," Byl by tu rád zůstal klidně sedět, až by se zotavil natolik, aby mohl odejít, to by se mu ale docela jistě podařilo tím dřív, čím méně by se o něho starali."
"leave","leave","odejít","odejít","pf"," He would have liked just to sit quietly where he was until he had enough strength to leave, and the less fuss people made about him the sooner that would be."," Byl by tu rád zůstal klidně sedět, až by se zotavil natolik, aby mohl odejít, to by se mu ale docela jistě podařilo tím dřív, čím méně by se o něho starali."
"walk","walk","jít","jít","impf"," So he said, "" I am able to walk now, "" and stood up, shaking after becoming used to sitting so comfortably."," "" Už mohu jít, "" řekl proto, vstal a chvěl se, jak byl zhýčkán tím, že tak pohodlně seděl."
"said","say","řekl","říci","pf"," So he said, "" I am able to walk now, "" and stood up, shaking after becoming used to sitting so comfortably."," "" Už mohu jít, "" řekl proto, vstal a chvěl se, jak byl zhýčkán tím, že tak pohodlně seděl."
"shaking","shake","chvěl","chvět","impf"," So he said, "" I am able to walk now, "" and stood up, shaking after becoming used to sitting so comfortably."," "" Už mohu jít, "" řekl proto, vstal a chvěl se, jak byl zhýčkán tím, že tak pohodlně seděl."
"sitting","sit","seděl","sedět","impf"," So he said, "" I am able to walk now, "" and stood up, shaking after becoming used to sitting so comfortably."," "" Už mohu jít, "" řekl proto, vstal a chvěl se, jak byl zhýčkán tím, že tak pohodlně seděl."
"said","say","řekl","říci","pf"," "" I ca n't manage it, "" he said shaking his head, and sat down again with a sigh."," "" Přece jen to nejde, "" řekl, zavrtěl hlavou a s povzdechem se zase posadil."
"sat","sit","posadil","posadit","pf"," "" I ca n't manage it, "" he said shaking his head, and sat down again with a sigh."," "" Přece jen to nejde, "" řekl, zavrtěl hlavou a s povzdechem se zase posadil."
"heard","hear","slyšet","slyšet","impf"," The girls could once more be heard from behind the door."," Za dveřmi bylo teď zase slyšet dívky."
"see","see","vidět","vidět","impf"," They were probably pressed around the keyhole, perhaps they could even see into the room through the gaps in the planks."," Shlukly se asi kolem klíčové dírky, snad bylo do pokoje také vidět škvírami."
"said","say","řekl","říci","pf"," "" I do n't really know, exactly, "" said the man, once more totally unsure of himself;"," "" Ani nevím, "" řekl muž zas už docela nejistě;"
"said","say","řekli","říci","pf"," "" It 's got to be a black coat, "" they said."," "" Musí to být černý kabát, "" řekli."
"said","say","řekl","říci","pf"," At that, K. threw the coat to the floor and said – without knowing even himself what he meant by it –"," K. po těch slovech hodil kabát na zem a řekl - sám nevěděl, v jakém smyslu to říká :"
"said","say","říká","říkat","impf"," At that, K. threw the coat to the floor and said – without knowing even himself what he meant by it –"," K. po těch slovech hodil kabát na zem a řekl - sám nevěděl, v jakém smyslu to říká :"
"exclaimed","exclaim","zvolal","zvolat","pf"," "" Five! "" exclaimed K., astonished at this number, "" Five lawyers besides this one? """," "" Pět! "" zvolal K., už ten počet vzbudil jeho údiv, "" pět advokátů kromě toho zde? """
"nodded","nod","přikývl","přikývnout","pf"," The businessman nodded."," Obchodník přikývl :"
"negotiating","negotiate","vyjednávám","vyjednávat","impf"," "" I 'm even negotiating with a sixth one. """," "" Právě vyjednávám ještě se šestým. """
"need","need","potřebujete","potřebovat","impf"," "" But why do you need so many lawyers? "" asked K."," "" A načpak potřebujete tolik advokátů? "" ptal se K."
"asked","ask","ptal","ptát","impf"," "" But why do you need so many lawyers? "" asked K."," "" A načpak potřebujete tolik advokátů? "" ptal se K."
"need","need","Potřebuji","potřebovat","impf"," "" I need all of them, "" said the businessman."," "" Potřebuji je všechny, "" řekl obchodník."
"said","say","řekl","říci","pf"," "" I need all of them, "" said the businessman."," "" Potřebuji je všechny, "" řekl obchodník."
"explaining","explain","vysvětlit","vysvětlit","pf"," "" Would you mind explaining that to me? "" asked K."," "" Nechtěl byste mi to vysvětlit? "" ptal se K."
"asked","ask","ptal","ptát","impf"," "" Would you mind explaining that to me? "" asked K."," "" Nechtěl byste mi to vysvětlit? "" ptal se K."
"said","say","řekl","říci","pf"," "" I 'd be glad to, "" said the businessman."," "" Rád vám to vysvětlím, "" řekl obchodník."
"walking","walk","Šli","jít","impf"," In silence, they carried on walking for some time, K. stayed close beside the priest without knowing where he was."," Šli chvíli mlčky dál, K. kráčel docela blízko duchovního v té tmě, ani nevěděl, kde je."
"walking","walk","kráčel","kráčet","impf"," In silence, they carried on walking for some time, K. stayed close beside the priest without knowing where he was."," Šli chvíli mlčky dál, K. kráčel docela blízko duchovního v té tmě, ani nevěděl, kde je."
"invited","invite","pozval","pozvat","pf"," There were, however, also exceptions to this habit, times, for instance, when K. was invited by the bank 's manager ( whom he greatly respected for his industry and trustworthiness ) to go with him for a ride in his car or to eat dinner with him at his large house."," Z tohoto rozvrhu byly však také výjimky, když například ředitel banky, který si velmi vážil jeho práce a spolehlivosti, pozval K. na projížďku autem nebo na večeři do své vily."
"think","think","Myslím","myslet","impf"," I do n't think there 's anyone at all who could do anything to get an absolute acquittal."," Myslím, že není vůbec nikdo, kdo by měl jako jedinec vliv na skutečné osvobození."
"think","think","měl","mít","impf"," I do n't think there 's anyone at all who could do anything to get an absolute acquittal."," Myslím, že není vůbec nikdo, kdo by měl jako jedinec vliv na skutečné osvobození."
"depend","depend","spoléhal","spoléhat","impf"," As you are innocent it could actually be possible and you could depend on your innocence alone."," Protože jste nevinen, bylo by opravdu možné, abyste spoléhal jen na svou nevinu."
"need","need","nepotřeboval","potřebovat","impf"," In that case you wo n't need me or any other kind of help. """," Pak byste však nepotřeboval ani mne, ani žádnou jinou pomoc. """
"said","say","řekla","říci","pf"," "" That 's not it, "" said Leni, laying one arm on the armrest and looking at K., "" you did n't like me, and I do n't suppose you like me now, either. """," "" V tom to není, "" řekla Lenka, položila ruku na opěradlo a dívala se na K., "" ale nelíbila jsem se vám a asi se vám nelíbím ani teď. """
"laying","lay","položila","položit","pf"," "" That 's not it, "" said Leni, laying one arm on the armrest and looking at K., "" you did n't like me, and I do n't suppose you like me now, either. """," "" V tom to není, "" řekla Lenka, položila ruku na opěradlo a dívala se na K., "" ale nelíbila jsem se vám a asi se vám nelíbím ani teď. """
"looking","look","dívala","dívat","impf"," "" That 's not it, "" said Leni, laying one arm on the armrest and looking at K., "" you did n't like me, and I do n't suppose you like me now, either. """," "" V tom to není, "" řekla Lenka, položila ruku na opěradlo a dívala se na K., "" ale nelíbila jsem se vám a asi se vám nelíbím ani teď. """
"like","like","nelíbila","líbit","impf"," "" That 's not it, "" said Leni, laying one arm on the armrest and looking at K., "" you did n't like me, and I do n't suppose you like me now, either. """," "" V tom to není, "" řekla Lenka, položila ruku na opěradlo a dívala se na K., "" ale nelíbila jsem se vám a asi se vám nelíbím ani teď. """
"like","like","nelíbím","líbit","impf"," "" That 's not it, "" said Leni, laying one arm on the armrest and looking at K., "" you did n't like me, and I do n't suppose you like me now, either. """," "" V tom to není, "" řekla Lenka, položila ruku na opěradlo a dívala se na K., "" ale nelíbila jsem se vám a asi se vám nelíbím ani teď. """
"said","say","řekl","říci","pf"," "" Liking would n't be very much, "" said K., evasively."," "" Líbit se, to by přece nebylo mnoho, "" řekl K. vyhýbavě."
"making","make","získala","získat","pf"," "" Oh! "" she exclaimed with a smile, thus making use of K. ' s comment to gain an advantage over him."," "" Ó! "" řekla s úsměvem a získala poznámkou K. a tím nepatrným zvoláním jakousi převahu."
"gain","gain","získala","získat","pf"," "" Oh! "" she exclaimed with a smile, thus making use of K. ' s comment to gain an advantage over him."," "" Ó! "" řekla s úsměvem a získala poznámkou K. a tím nepatrným zvoláním jakousi převahu."
"recognised","recognise","rozpoznal","rozpoznat","pf"," It was the washerwoman whom K. had recognised as a likely source of disturbance as soon as she had entered."," Byla to ta pradlena, v níž K. rozpoznal opravdu rušivý živel, hned jak vešla."
"entered","enter","vešla","vejít","pf"," It was the washerwoman whom K. had recognised as a likely source of disturbance as soon as she had entered."," Byla to ta pradlena, v níž K. rozpoznal opravdu rušivý živel, hned jak vešla."
"see","see","viděl","vidět","impf"," K. could only see that a man had pulled her into a corner by the door and was pressing himself against her."," K. jen viděl, že ji nějaký muž zatáhl do kouta u dveří a že ji tam tiskne k sobě."
"pulled","pull","zatáhl","zatáhnout","pf"," K. could only see that a man had pulled her into a corner by the door and was pressing himself against her."," K. jen viděl, že ji nějaký muž zatáhl do kouta u dveří a že ji tam tiskne k sobě."
"pressing","press","tiskne","tisknout","impf"," K. could only see that a man had pulled her into a corner by the door and was pressing himself against her."," K. jen viděl, že ji nějaký muž zatáhl do kouta u dveří a že ji tam tiskne k sobě."
"opened","open","otvíral","otvírat","impf"," But it was not her who was screaming, but the man, he had opened his mouth wide and looked up at the ceiling."," Nezaječela však ona, nýbrž ten muž, otvíral zeširoka ústa a díval se ke stropu."
"looked","look","díval","dívat","impf"," But it was not her who was screaming, but the man, he had opened his mouth wide and looked up at the ceiling."," Nezaječela však ona, nýbrž ten muž, otvíral zeširoka ústa a díval se ke stropu."
"said","say","řekl","říci","pf"," "" Maybe, "" said the lawyer quietly, "" but it 's just as much trouble as it 's ever been."," "" Možná, "" řekl advokát potichu, "" ale je to horší než kdy předtím."
"breathe","breathe","dýchá","dýchat","impf"," I can hardly breathe, I ca n't sleep at all and I 'm getting weaker by the day. """," Těžko se mi dýchá, vůbec nespím a slábnu den ze dne. """
"sleep","sleep","nespím","spát","impf"," I can hardly breathe, I ca n't sleep at all and I 'm getting weaker by the day. """," Těžko se mi dýchá, vůbec nespím a slábnu den ze dne. """
"said","say","řekl","říci","pf"," "" I see, "" said K. ' s uncle, pressing his panama hat firmly against his knee with his big hand."," "" Tak, "" řekl strýček a přitiskl si panamský klobouk svou velkou rukou pevně na koleno."
"pressing","press","přitiskl","přitisknout","pf"," "" I see, "" said K. ' s uncle, pressing his panama hat firmly against his knee with his big hand."," "" Tak, "" řekl strýček a přitiskl si panamský klobouk svou velkou rukou pevně na koleno."
"shocked","shock","polekala","polekat","pf"," I was quite shocked and nearly screamed, but the judge was very friendly, warned me I should be careful, he whispered to me he 's been writing all this time, and now he 's brought me the lamp back, and he 'll never forget how I looked when he found me there asleep."," Já jsem se tak polekala, že jsem se málem dala do křiku, ale vyšetřující soudce byl velmi milý, napomenul mě, abych byla opatrná, pošeptal mi, že až dosud psal, že mi teď přináší lampu a že nikdy nezapomene, jak mě viděl, když jsem spala."
"writing","write","psal","psát","impf"," I was quite shocked and nearly screamed, but the judge was very friendly, warned me I should be careful, he whispered to me he 's been writing all this time, and now he 's brought me the lamp back, and he 'll never forget how I looked when he found me there asleep."," Já jsem se tak polekala, že jsem se málem dala do křiku, ale vyšetřující soudce byl velmi milý, napomenul mě, abych byla opatrná, pošeptal mi, že až dosud psal, že mi teď přináší lampu a že nikdy nezapomene, jak mě viděl, když jsem spala."
"brought","bring","přináší","přinášet","impf"," I was quite shocked and nearly screamed, but the judge was very friendly, warned me I should be careful, he whispered to me he 's been writing all this time, and now he 's brought me the lamp back, and he 'll never forget how I looked when he found me there asleep."," Já jsem se tak polekala, že jsem se málem dala do křiku, ale vyšetřující soudce byl velmi milý, napomenul mě, abych byla opatrná, pošeptal mi, že až dosud psal, že mi teď přináší lampu a že nikdy nezapomene, jak mě viděl, když jsem spala."
"forget","forget","nezapomene","zapomenout","pf"," I was quite shocked and nearly screamed, but the judge was very friendly, warned me I should be careful, he whispered to me he 's been writing all this time, and now he 's brought me the lamp back, and he 'll never forget how I looked when he found me there asleep."," Já jsem se tak polekala, že jsem se málem dala do křiku, ale vyšetřující soudce byl velmi milý, napomenul mě, abych byla opatrná, pošeptal mi, že až dosud psal, že mi teď přináší lampu a že nikdy nezapomene, jak mě viděl, když jsem spala."
"heard","hear","slyšel","slyšet","impf"," This one and his colleagues are only minor lawyers, and the difference in rank between them and the great lawyers, who I 've only ever heard about and never seen, is incomparably greater than between the minor lawyers and the despised petty lawyers. """," Tento advokát a jeho kolegové jsou však jen advokáti malí, kdežto velcí advokáti, o kterých jsem jen slyšel a jež jsem nikdy neviděl, jsou hodností nesrovnatelně výš nad malými advokáty, než jsou malí advokáti nad pokoutními advokáty, kterými tolik opovrhují. """
"seen","see","neviděl","vidět","impf"," This one and his colleagues are only minor lawyers, and the difference in rank between them and the great lawyers, who I 've only ever heard about and never seen, is incomparably greater than between the minor lawyers and the despised petty lawyers. """," Tento advokát a jeho kolegové jsou však jen advokáti malí, kdežto velcí advokáti, o kterých jsem jen slyšel a jež jsem nikdy neviděl, jsou hodností nesrovnatelně výš nad malými advokáty, než jsou malí advokáti nad pokoutními advokáty, kterými tolik opovrhují. """
"asked","ask","zeptal","zeptat","pf"," "" The great lawyers? "" asked K."," "" Velcí advokáti? "" zeptal se K."
"heard","hear","neslyšel","slyšet","impf"," "" You 've never heard about them, then? "" said the businessman."," "" Vy jste tedy o nich ještě nikdy neslyšel, "" řekl obchodník."
"said","say","řekl","říci","pf"," "" You 've never heard about them, then? "" said the businessman."," "" Vy jste tedy o nich ještě nikdy neslyšel, "" řekl obchodník."
"sitting","sit","sedět","sedět","impf"," But sitting in front of him and taken by surprise by his dismissal, K. would be able easily to infer everything he wanted from the lawyer 's face and behaviour, even if he could not be induced to say very much."," Bude - li však advokát sedět K. tváří v tvář a překvapí - li ho K. výpovědí, snadno vyzví z jeho tváře a chování všechno, oč mu jde, i kdyby advokát nechtěl mnoho prozradit."
"wanted","want","nechtěl","chtít","impf"," But sitting in front of him and taken by surprise by his dismissal, K. would be able easily to infer everything he wanted from the lawyer 's face and behaviour, even if he could not be induced to say very much."," Bude - li však advokát sedět K. tváří v tvář a překvapí - li ho K. výpovědí, snadno vyzví z jeho tváře a chování všechno, oč mu jde, i kdyby advokát nechtěl mnoho prozradit."
"persuaded","persuade","přesvědčí","přesvědčit","pf"," It was not even out of the question that K. might, after all, be persuaded that it would be best to leave his defence to the lawyer and withdraw his dismissal."," Není dokonce vyloučeno, že ho advokát přesvědčí, že by přece jen bylo dobře, kdyby mu obhajobu ponechal, a že pak svou výpověď odvolá."
"withdraw","withdraw","odvolá","odvolat","pf"," It was not even out of the question that K. might, after all, be persuaded that it would be best to leave his defence to the lawyer and withdraw his dismissal."," Není dokonce vyloučeno, že ho advokát přesvědčí, že by přece jen bylo dobře, kdyby mu obhajobu ponechal, a že pak svou výpověď odvolá."
"thinking","think","myslet","myslet","impf"," But do you have to be always thinking about your trial? "" she added slowly."," Copak musíte pořád myslet na svůj proces? "" dodala zvolna."
"added","add","dodala","dodat","pf"," But do you have to be always thinking about your trial? "" she added slowly."," Copak musíte pořád myslet na svůj proces? "" dodala zvolna."
"said","say","řekl","říci","pf"," "" No, not at all, "" said K., "" I probably even think too little about it. """," "" Ne, vůbec ne, "" řekl K., "" spíš na něj myslím dokonce příliš málo. """
"think","think","myslím","myslet","impf"," "" No, not at all, "" said K., "" I probably even think too little about it. """," "" Ne, vůbec ne, "" řekl K., "" spíš na něj myslím dokonce příliš málo. """
"said","say","řekla","říci","pf"," "" That 's not the mistake you 're making, "" said Leni, "" you 're too unyielding, that 's what I 've heard. """," "" To není to, v čem chybujete, "" řekla Lenka, "" jste příliš neústupný, jak jsem slyšela. """
"heard","hear","slyšela","slyšet","impf"," "" That 's not the mistake you 're making, "" said Leni, "" you 're too unyielding, that 's what I 've heard. """," "" To není to, v čem chybujete, "" řekla Lenka, "" jste příliš neústupný, jak jsem slyšela. """
"said","say","řekl","říci","pf"," "" Who said that? "" asked K., he felt her body against his chest and looked down on her rich, dark, tightly-bound hair."," "" Kdo to řekl? "" zeptal se K., cítil její tělo na své hrudi a díval se na její husté, tmavé, pevně stočené vlasy."
"asked","ask","zeptal","zeptat","pf"," "" Who said that? "" asked K., he felt her body against his chest and looked down on her rich, dark, tightly-bound hair."," "" Kdo to řekl? "" zeptal se K., cítil její tělo na své hrudi a díval se na její husté, tmavé, pevně stočené vlasy."
"felt","feel","cítil","cítit","impf"," "" Who said that? "" asked K., he felt her body against his chest and looked down on her rich, dark, tightly-bound hair."," "" Kdo to řekl? "" zeptal se K., cítil její tělo na své hrudi a díval se na její husté, tmavé, pevně stočené vlasy."
"looked","look","díval","dívat","impf"," "" Who said that? "" asked K., he felt her body against his chest and looked down on her rich, dark, tightly-bound hair."," "" Kdo to řekl? "" zeptal se K., cítil její tělo na své hrudi a díval se na její husté, tmavé, pevně stočené vlasy."
"thought","think","Myslel","myslet","impf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"thought","think","Myslel","myslet","impf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"needed","need","musí","muset","impf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"told","tell","řekl","říci","pf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"thought","think","měl","mít","impf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"standing","stand","měl","mít","impf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"thought","think","měl","mít","impf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"gave","give","neuvedl","uvést","pf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"decided","decide","rozhodl","rozhodnout","pf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"send","send","pošle","poslat","pf"," He thought he needed to apologise to K. for something and told him – they were standing intimately close together – he had thought at first he would accompany the Italian himself, but then – he gave no more precise reason than this – then he decided it would be better to send K. with him."," Myslel, že se musí K. nějak omluvit, a řekl - stáli důvěrně blízko u sebe -, že měl zprvu v úmyslu jít s Italem sám, potom však - neuvedl bližší důvod - se prý rozhodl, že pošle raději K."
"acknowledge","acknowledge","uznávám","uznávat","impf"," But, for the moment, I do acknowledge it, out of pity for yourselves to a large extent."," Ale já je tedy teď na okamžik uznávám, jaksi ze soucitu."
"say","say","Neříkám","říkat","impf"," I do n't say things are being done without due care but I would like to make it clear that it is I who make the acknowledgement. """," Neříkám, že to je řízení lajdácké, ale rád bych vám nabídl toto označení, abyste to nahlédli sami. """
"stopped","stop","přerušil","přerušit","pf"," K. stopped speaking and looked down into the hall."," K. se přerušil a zadíval se dolů do síně."
"spoken","speak","řekl","říci","pf"," He had spoken sharply, more sharply than he had intended, but he had been quite right."," Co řekl, bylo ostré, ostřejší, než měl v úmyslu, ale přece správné."
"exclaimed","exclaim","zvolal","zvolat","pf"," "" He sleeps here? "" exclaimed K., he had thought the businessman would just wait there for him while he quickly settled his business with the lawyer, and then they would leave together to discuss everything thoroughly and undisturbed."," "" On zde přespává? "" zvolal K., až dosud myslel, že obchodník tu na něho počká, jen co si rychle vyřídí rozmluvu s advokátem, potom že však spolu odejdou a pohovoří si o všem důkladně a nerušeně."
"thought","think","myslel","myslet","impf"," "" He sleeps here? "" exclaimed K., he had thought the businessman would just wait there for him while he quickly settled his business with the lawyer, and then they would leave together to discuss everything thoroughly and undisturbed."," "" On zde přespává? "" zvolal K., až dosud myslel, že obchodník tu na něho počká, jen co si rychle vyřídí rozmluvu s advokátem, potom že však spolu odejdou a pohovoří si o všem důkladně a nerušeně."
"wait","wait","počká","počkat","pf"," "" He sleeps here? "" exclaimed K., he had thought the businessman would just wait there for him while he quickly settled his business with the lawyer, and then they would leave together to discuss everything thoroughly and undisturbed."," "" On zde přespává? "" zvolal K., až dosud myslel, že obchodník tu na něho počká, jen co si rychle vyřídí rozmluvu s advokátem, potom že však spolu odejdou a pohovoří si o všem důkladně a nerušeně."
"leave","leave","odejdou","odejít","pf"," "" He sleeps here? "" exclaimed K., he had thought the businessman would just wait there for him while he quickly settled his business with the lawyer, and then they would leave together to discuss everything thoroughly and undisturbed."," "" On zde přespává? "" zvolal K., až dosud myslel, že obchodník tu na něho počká, jen co si rychle vyřídí rozmluvu s advokátem, potom že však spolu odejdou a pohovoří si o všem důkladně a nerušeně."
"said","say","řekla","říci","pf"," "" Yes, "" said Leni, "" not everyone 's like you, Josef, allowed to see the lawyer at any time you like."," "" Ano, "" řekla Lenka, "" ne každý smí k advokátovi, jak si zamane, jako ty, Josefe."
"allowed","allow","smí","smět","impf"," "" Yes, "" said Leni, "" not everyone 's like you, Josef, allowed to see the lawyer at any time you like."," "" Ano, "" řekla Lenka, "" ne každý smí k advokátovi, jak si zamane, jako ty, Josefe."
"seem","seem","Zdá","zdát","impf"," Do do n't even seem surprised that the lawyer, despite being ill, still receives you at eleven o'clock at night."," Zdá se, že se vůbec nedivíš, že tě advokát přijímá ještě v jedenáct hodin v noci, i když je nemocen."
"receives","receive","přijímá","přijímat","impf"," Do do n't even seem surprised that the lawyer, despite being ill, still receives you at eleven o'clock at night."," Zdá se, že se vůbec nedivíš, že tě advokát přijímá ještě v jedenáct hodin v noci, i když je nemocen."
"asked","ask","zeptal","zeptat","pf"," "" Is Leni your lover? "" asked K. curtly."," "" Lenka je vaše milá? "" zeptal se K. stroze."
"held","hold","držel","držet","impf"," He had set his legs slightly apart, his hands, in which he held his hat, were behind his back."," Stál trochu rozkročen, ruce, v nichž držel klobouk, svíral za zády."
"held","hold","svíral","svírat","impf"," He had set his legs slightly apart, his hands, in which he held his hat, were behind his back."," Stál trochu rozkročen, ruce, v nichž držel klobouk, svíral za zády."
"call","call","říkat","říkat","impf"," That 's wrong, anyone can call himself ' great ' if he wants to, of course, but in this case only the usage of the court can make that distinction."," To je nesprávné, rozumí se, že každý si může říkat, velký ', je - li mu libo, v tomto případě však rozhoduje přece jen soudní praxe."
"asked","ask","ptala","ptát","impf"," "" To the cathedral? "" asked Leni."," "" Do chrámu? "" ptala se Lenka."
"said","say","řekla","říci","pf"," "" What do you have to go to the cathedral for? "" said Leni."," "" Pročpak do chrámu? "" řekla Lenka."
"dropped","drop","Sklonila","sklonit","pf"," She dropped her head down low as if listening to him carefully, as she did so he kissed her right on the neck, hardly even interrupting what he was saying."," Sklonila hluboko hlavu, jako by ho pozorně poslouchala, a když se sehnula, políbil ji zvučně na krk a skoro přitom ani nepřestával mluvit."
"listening","listen","poslouchala","poslouchat","impf"," She dropped her head down low as if listening to him carefully, as she did so he kissed her right on the neck, hardly even interrupting what he was saying."," Sklonila hluboko hlavu, jako by ho pozorně poslouchala, a když se sehnula, políbil ji zvučně na krk a skoro přitom ani nepřestával mluvit."
"kissed","kiss","políbil","políbit","pf"," She dropped her head down low as if listening to him carefully, as she did so he kissed her right on the neck, hardly even interrupting what he was saying."," Sklonila hluboko hlavu, jako by ho pozorně poslouchala, a když se sehnula, políbil ji zvučně na krk a skoro přitom ani nepřestával mluvit."
"saying","say","mluvit","mluvit","impf"," She dropped her head down low as if listening to him carefully, as she did so he kissed her right on the neck, hardly even interrupting what he was saying."," Sklonila hluboko hlavu, jako by ho pozorně poslouchala, a když se sehnula, políbil ji zvučně na krk a skoro přitom ani nepřestával mluvit."
"walked","walk","procházel","procházet","impf"," K. saw this as confirmation of the tyranny the student held over the woman and which she had already complained about, he stood up and walked up and down the room."," K. v tom spatřoval důkaz tyranské moci, kterou student, jak si žena stěžovala, nad ní uplatňuje, vstal a procházel se po místnosti."
