"thought","think","pomyslel","pomyslet","pf"," At the sight of that bag, Pinocchio felt slightly happier and thought to himself :"," Když Pinocchio čepici uviděl, skoro ho to potěšilo a hned si v duchu pomyslel :"
"began","begin","začal","začít","pf"," As knocking was of no use, Pinocchio, in despair, began to kick and bang against the door, as if he wanted to break it."," Když viděl, že klepání k ničemu nevede, začal ze zoufalství do dveří kopat a tlouci hlavou."
"kick","kick","kopat","kopat","impf"," As knocking was of no use, Pinocchio, in despair, began to kick and bang against the door, as if he wanted to break it."," Když viděl, že klepání k ničemu nevede, začal ze zoufalství do dveří kopat a tlouci hlavou."
"knocking","knock","tlouci","tlouci","impf"," As knocking was of no use, Pinocchio, in despair, began to kick and bang against the door, as if he wanted to break it."," Když viděl, že klepání k ničemu nevede, začal ze zoufalství do dveří kopat a tlouci hlavou."
"bang","bang","tlouci","tlouci","impf"," As knocking was of no use, Pinocchio, in despair, began to kick and bang against the door, as if he wanted to break it."," Když viděl, že klepání k ničemu nevede, začal ze zoufalství do dveří kopat a tlouci hlavou."
"said","say","řekl","říci","pf"," "" Out with that money or you 're a dead man, "" said the taller of the two Assassins."," "" Dej sem peníze, jinak zemřeš, "" řekl vyšší z loupežníků."
"repeated","repeat","opakoval","opakovat","impf"," "" Dead man, "" repeated the other."," "" Zemřeš! "" opakoval ten druhý."
"killed","kill","zabijeme","zabít","pf"," "" And after having killed you, we will kill your father also. """," "" A až zabijeme tebe, zabijeme i tvého otce! """
"kill","kill","zabijeme","zabít","pf"," "" And after having killed you, we will kill your father also. """," "" A až zabijeme tebe, zabijeme i tvého otce! """
"killed","kill","zabijeme","zabít","pf"," "" And after having killed you, we will kill your father also. """," "" A až zabijeme tebe, zabijeme i tvého otce! """
"kill","kill","zabijeme","zabít","pf"," "" And after having killed you, we will kill your father also. """," "" A až zabijeme tebe, zabijeme i tvého otce! """
"imagine","imagine","představit","představit","pf"," That night, as you can well imagine, the theater was filled to overflowing one hour before the show was scheduled to start."," Jak si dokážete představit, toho večera byl cirkus už hodinu před začátkem představení nabitý k prasknutí."
"answered","answer","odpověděl","odpovědět","pf"," "" Drown! "" answered Pinocchio from afar, happy at his escape."," "" Zdechni! "" odpověděl mu Pinocchio z dálky, protože už si byl jist, že je ze všech nebezpečí venku."
"Help","help","pomoz","pomoci","pf"," "" Help, Pinocchio, dear little Pinocchio!"," "" Pinocchio, prosím tě, pomoz mi!"
"find","find","nenajdu","najít","pf"," "" What if, instead of a thousand, I should find two thousand?"," "" A co když na tom stromě nenajdu tisíc mincí, ale dva tisíce?"
"closed","close","zavřel","zavřít","pf"," At the cheerful tinkle of the gold, the Fox unconsciously held out his paw that was supposed to be lame, and the Cat opened wide his two eyes till they looked like live coals, but he closed them again so quickly that Pinocchio did not notice."," Při milém zacinkání zlaťáků lišák bezděčně natáhl nohu, která vypadala jako ochrnutá, a kocour vykulil obě oči, takže připomínaly dvě zelené lucerničky, ale pak je hned zase zavřel, a tak si Pinocchio ničeho nevšiml."
"notice","notice","nevšiml","všimnout","pf"," At the cheerful tinkle of the gold, the Fox unconsciously held out his paw that was supposed to be lame, and the Cat opened wide his two eyes till they looked like live coals, but he closed them again so quickly that Pinocchio did not notice."," Při milém zacinkání zlaťáků lišák bezděčně natáhl nohu, která vypadala jako ochrnutá, a kocour vykulil obě oči, takže připomínaly dvě zelené lucerničky, ale pak je hned zase zavřel, a tak si Pinocchio ničeho nevšiml."
"going","go","dělat","dělat","impf"," "" And may I ask, "" inquired the Fox, "" what you are going to do with all that money? """," "" A co chceš teď s těmi zlaťáky dělat? "" zeptal se ho lišák."
"do","do","dělat","dělat","impf"," "" And may I ask, "" inquired the Fox, "" what you are going to do with all that money? """," "" A co chceš teď s těmi zlaťáky dělat? "" zeptal se ho lišák."
"ask","ask","zeptal","zeptat","pf"," "" And may I ask, "" inquired the Fox, "" what you are going to do with all that money? """," "" A co chceš teď s těmi zlaťáky dělat? "" zeptal se ho lišák."
"inquired","inquire","zeptal","zeptat","pf"," "" And may I ask, "" inquired the Fox, "" what you are going to do with all that money? """," "" A co chceš teď s těmi zlaťáky dělat? "" zeptal se ho lišák."
"think","think","pomyslím","pomyslit","pf"," And to think that Melampo, my faithful Melampo, never saw them in all these years! """," Když si pomyslím, že Melampus, můj věrný Melampus si nikdy ničeho nevšiml! """
"accusing","accuse","obviňovat","obviňovat","impf"," What is the use of accusing him?"," "" Jaký smysl má obviňovat mrtvé?"
"eat","eat","jez","jíst","impf"," "" Then eat the hay! "" answered his master, who understood the Donkey perfectly."," "" Tak jez seno! "" odpověděl majitel, který oslímu nářečí moc dobře rozuměl."
"answered","answer","odpověděl","odpovědět","pf"," "" Then eat the hay! "" answered his master, who understood the Donkey perfectly."," "" Tak jez seno! "" odpověděl majitel, který oslímu nářečí moc dobře rozuměl."
"understood","understand","rozuměl","rozumět","impf"," "" Then eat the hay! "" answered his master, who understood the Donkey perfectly."," "" Tak jez seno! "" odpověděl majitel, který oslímu nářečí moc dobře rozuměl."
"sold","sell","Prodal","prodat","pf"," "" I have sold it. """," "" Prodal jsem ji. """
"sell","sell","prodal","prodat","pf"," "" Why did you sell your coat? """," "" A proč jste ji prodal? """
"understood","understand","pochopil","pochopit","pf"," Pinocchio understood the answer in a twinkling, and, unable to restrain his tears, he jumped on his father 's neck and kissed him over and over."," Pinocchio tu odpověď okamžitě pochopil a nedokázal se ubránit dojetí : vrhl se Geppettovi kolem krku a zulíbal mu celou tvář."
"sells","sell","prodá","prodat","pf"," Pinocchio sells his A-B-C book to pay his way into the Marionette Theater"," Pinocchio prodá slabikář, aby se mohl jít podívat do loutkového divadla"
"repeated","repeat","opakoval","opakovat","impf"," "" You 'll be sorry, "" repeated the Cat."," "" Tvoje smůla! "" opakoval kocour."
"Bring","bring","Přineste","přinést","pf"," "" Bring that Marionette to me!"," "" Přineste mi sem toho panáčka, kterého najdete pověšeného na hřebíku."
"lay","lie","leží","ležet","impf"," An immense Serpent lay stretched across the road - a Serpent with a bright green skin, fiery eyes which glowed and burned, and a pointed tail that smoked like a chimney."," Vidí, jak přes cestu leží mohutný had, má zelenou kůži, ohnivé oči a špičatý ocas, ze kterého se kouří jako z komína."
"smoked","smoke","kouří","kouřit","impf"," An immense Serpent lay stretched across the road - a Serpent with a bright green skin, fiery eyes which glowed and burned, and a pointed tail that smoked like a chimney."," Vidí, jak přes cestu leží mohutný had, má zelenou kůži, ohnivé oči a špičatý ocas, ze kterého se kouří jako z komína."
"die","die","umřu","umřít","pf"," I 'd rather die than drink that awful medicine. """," Radši umřu, než abych vypil ten ošklivý lék. """
"carrying","carry","nesli","nést","impf"," At that moment, the door of the room flew open and in came four Rabbits as black as ink, carrying a small black coffin on their shoulders."," V té chvíli se dveře pokojíku rozlétly a dovnitř vešli čtyři králíci černí jako inkoust a nesli na ramenou malou rakvičku."
"want","want","chcete","chtít","impf"," "" What do you want from me? "" asked Pinocchio."," "" Co ode mě chcete? "" vykřikl Pinocchio a celý vyděšený se posadil na lůžku."
"say","say","řekne","říci","pf"," What will she say when she sees me?"," Co řekne, až mě uvidí?"
"sees","see","uvidí","uvidět","pf"," What will she say when she sees me?"," Co řekne, až mě uvidí?"
"reminded","remind","vzpomněl","vzpomenout","pf"," For, as night came on, a queer, empty feeling at the pit of his stomach reminded the Marionette that he had eaten nothing as yet."," Mezitím se začalo stmívat a Pinocchio si vzpomněl, že nic nejedl, a pocítil šimrání v břiše, které velmi připomínalo chuť k jídlu."
"eaten","eat","nejedl","jíst","impf"," For, as night came on, a queer, empty feeling at the pit of his stomach reminded the Marionette that he had eaten nothing as yet."," Mezitím se začalo stmívat a Pinocchio si vzpomněl, že nic nejedl, a pocítil šimrání v břiše, které velmi připomínalo chuť k jídlu."
"reminded","remind","připomínalo","připomínat","impf"," For, as night came on, a queer, empty feeling at the pit of his stomach reminded the Marionette that he had eaten nothing as yet."," Mezitím se začalo stmívat a Pinocchio si vzpomněl, že nic nejedl, a pocítil šimrání v břiše, které velmi připomínalo chuť k jídlu."
"grows","grow","roste","růst","impf"," A boy 's appetite grows very fast, and in a few moments the queer, empty feeling had become hunger, and the hunger grew bigger and bigger, until soon he was as ravenous as a bear."," Jenže chuť k jídlu u kluků rychle roste, a tak se z chuti po pár minutách stal hlad, a hlad se vmžiku změnil v hlad přímo vlčí, takový, že by se dal krájet."
"grew","grow","roste","růst","impf"," A boy 's appetite grows very fast, and in a few moments the queer, empty feeling had become hunger, and the hunger grew bigger and bigger, until soon he was as ravenous as a bear."," Jenže chuť k jídlu u kluků rychle roste, a tak se z chuti po pár minutách stal hlad, a hlad se vmžiku změnil v hlad přímo vlčí, takový, že by se dal krájet."
"open","open","otevřeme","otevřít","pf"," Very well, this time you shall open it. """," Jak chceš : tentokrát ti ji otevřeme my! """
"broke","break","zlomila","zlomit","pf"," Happily for him, Pinocchio was made of very hard wood and the knives broke into a thousand pieces."," Ke svému štěstí byl panáček z hodně tvrdého dřeva, a tak se ostří zlomila a roztříštila se na tisíc kousků."
"Tell","tell","Řekněte","říci","pf"," Tell me that it is you!"," Řekněte mi, že jste to opravdu vy!"
"cry","cry","plakat","plakat","impf"," Do n't make me cry any longer!"," Už mě nenechte plakat!"
"said","say","řekl","říci","pf"," Some said one thing, some another."," Jeden řekl tohle a druhý zas ono."
"leave","leave","nechají","nechat","pf"," If we leave that poor Marionette in his hands he may tear him to pieces! """," Když mu toho ubohého panáčka nechají v rukou, je schopný ho roztrhat na kousky! """
"tear","tear","roztrhat","roztrhat","pf"," If we leave that poor Marionette in his hands he may tear him to pieces! """," Když mu toho ubohého panáčka nechají v rukou, je schopný ho roztrhat na kousky! """
"obey","obey","neposlouchám","poslouchat","impf"," "" And I never obey. """," "" A já nikdy neposlouchám. """
"tell","tell","říkají","říkat","impf"," "" Good boys always tell the truth. """," "" Hodní chlapci říkají vždycky pravdu ... """
"go","go","chodí","chodit","impf"," "" Good boys go gladly to school. """," "" Hodní chlapci rádi chodí do školy ... """
"said","say","řekl","říci","pf"," "" Another day will be too late, "" said the Fox."," "" Jindy už bude pozdě, "" řekl lišák."
"bought","buy","koupil","koupit","pf"," "" Because that field has been bought by a very rich man, and today is the last day that it will be open to the public. """," "" Protože to pole koupil jeden velký pán a od zítřka už tam nikdo nebude smět peníze zasévat. """
"come","come","Půjdeš","jít","impf"," Will you come with us?"," Půjdeš s námi?"
"answered","answer","odpověděla","odpovědět","pf"," "" I love you, too, "" answered the Fairy, "" and if you wish to stay with me, you may be my little brother and I 'll be your good little sister. """," "" Já tě mám také ráda, "" odpověděla víla, "" a jestli u mě chceš zůstat, budeš můj bratříček a já budu tvoje sestřička ... """
"wish","wish","chceš","chtít","impf"," "" I love you, too, "" answered the Fairy, "" and if you wish to stay with me, you may be my little brother and I 'll be your good little sister. """," "" Já tě mám také ráda, "" odpověděla víla, "" a jestli u mě chceš zůstat, budeš můj bratříček a já budu tvoje sestřička ... """
"stay","stay","zůstat","zůstat","pf"," "" I love you, too, "" answered the Fairy, "" and if you wish to stay with me, you may be my little brother and I 'll be your good little sister. """," "" Já tě mám také ráda, "" odpověděla víla, "" a jestli u mě chceš zůstat, budeš můj bratříček a já budu tvoje sestřička ... """
"stay","stay","zůstal","zůstat","pf"," "" I should like to stay - but what about my poor father? """," "" Já bych tu zůstal rád, ale co můj nešťastný tatínek? """
"thought","think","myslela","myslet","impf"," "" I have thought of everything."," "" Už jsem myslela na všechno."
"cried","cry","vykřikl","vykřiknout","pf"," "" Really? "" cried Pinocchio joyfully."," "" Opravdu? "" vykřikl Pinocchio a začal skákat radostí."
"Tell","tell","Pověz","povědět","pf"," "" Tell me, little boy, what are you doing there? """," "" Pověz mi, chlapče, co to tam dole děláš? """
"doing","do","děláš","dělat","impf"," "" Tell me, little boy, what are you doing there? """," "" Pověz mi, chlapče, co to tam dole děláš? """
"see","see","nevidíš","vidět","impf"," "" Ca n't you see?"," "" Copak nevidíš?"
"crying","cry","Pláču","plakat","impf"," I 'm crying, "" cried Pinocchio, lifting his head toward the voice and rubbing his eyes with his sleeve."," Pláču! "" řekl Pinocchio, zvedl hlavu, podíval se za tím hlasem a rukávem kabátku si otřel oči."
"cried","cry","Pláču","plakat","impf"," I 'm crying, "" cried Pinocchio, lifting his head toward the voice and rubbing his eyes with his sleeve."," Pláču! "" řekl Pinocchio, zvedl hlavu, podíval se za tím hlasem a rukávem kabátku si otřel oči."
"lifting","lift","zvedl","zvednout","pf"," I 'm crying, "" cried Pinocchio, lifting his head toward the voice and rubbing his eyes with his sleeve."," Pláču! "" řekl Pinocchio, zvedl hlavu, podíval se za tím hlasem a rukávem kabátku si otřel oči."
"rubbing","rub","otřel","otřít","pf"," I 'm crying, "" cried Pinocchio, lifting his head toward the voice and rubbing his eyes with his sleeve."," Pláču! "" řekl Pinocchio, zvedl hlavu, podíval se za tím hlasem a rukávem kabátku si otřel oči."
"heard","hear","slyšel","slyšet","impf"," I leave it to you, my dear children, to picture to yourself the great pleasure with which Pinocchio heard that he was to become a drumhead!"," Samy si, děti, nejlíp dokážete představit, jakou radost asi ubohý Pinocchio měl, když slyšel, že z něho chtějí udělat buben!"
"see","see","viděl","vidět","impf"," "" To see you all set out together. """," "" Abych viděl, jak všichni společně odjíždíte. """
"Stay","stay","Zůstaň","zůstat","pf"," "" Stay here a while longer and you will see us! """," "" Zůstaň tu ještě chvilku a uvidíš nás. """
"see","see","uvidíš","uvidět","pf"," "" Stay here a while longer and you will see us! """," "" Zůstaň tu ještě chvilku a uvidíš nás. """
"Wait","wait","Počkej","počkat","pf"," "" Wait two more minutes. """," "" Počkej ještě pár minut. """
"cried","cry","vykřikl","vykřiknout","pf"," "" There it is! "" cried Lamp-Wick, jumping to his feet."," "" Už je tady! "" vykřikl Knůtek a vyskočil na nohy."
"jumping","jump","vyskočil","vyskočit","pf"," "" There it is! "" cried Lamp-Wick, jumping to his feet."," "" Už je tady! "" vykřikl Knůtek a vyskočil na nohy."
"study","study","učit","učit","impf"," "" But is it really true that in that country boys never have to study? """," "" A je vážně pravda, "" zeptal se panáček, "" že se v té zemi chlapci nikdy nemusí učit? """
"saw","see","uviděl","uvidět","pf"," A little because of the sharp pain in his legs, a little because of fright at finding himself alone in the darkness of the field, the Marionette was about to faint, when he saw a tiny Glowworm flickering by."," Panáček už - trochu proto, že mu past drtila holeně a trochu strachem, že zůstane sám a potmě mezi poli - pomalu omdléval, když tu najednou uviděl, jak mu nad hlavou prolétla světluška."
"called","call","Zavolal","zavolat","pf"," He called to her and said :"," Zavolal na ni a řekl jí :"
"said","say","řekl","říci","pf"," He called to her and said :"," Zavolal na ni a řekl jí :"
"replied","reply","odpověděla","odpovědět","pf"," "" Poor little fellow! "" replied the Glowworm, stopping to look at him with pity."," "" Ubohý chlapče! "" odpověděla světluška a soucitně si ho prohlédla."
"look","look","prohlédla","prohlédnout","pf"," "" Poor little fellow! "" replied the Glowworm, stopping to look at him with pity."," "" Ubohý chlapče! "" odpověděla světluška a soucitně si ho prohlédla."
"walked","walk","šel","jít","impf"," On and on he walked till finally he found - I give you a thousand guesses, my dear children!"," A tak šel a šel, až nakonec došel k cíli, a když tam došel ... co nevidí?"
"walked","walk","šel","jít","impf"," On and on he walked till finally he found - I give you a thousand guesses, my dear children!"," A tak šel a šel, až nakonec došel k cíli, a když tam došel ... co nevidí?"
"repeated","repeat","opakoval","opakovat","impf"," "" What a great country! "" repeated Pinocchio, puzzled as to what to do."," "" To je ale krásná země! "" opakoval Pinocchio a navýsost spokojeně si odplivl."
"wait","wait","počkat","počkat","pf"," If it were only one hour, I might wait for you. """," Kdyby do odjezdu zbývala už jen hodina, skoro bych byl ochoten počkat. """
"go","go","pojedu","jet","impf"," "" And if I go with you, what will my good Fairy say? "" asked the Marionette, who was beginning to waver and weaken in his good resolutions."," "" A když s vámi pojedu, co tomu řekne moje dobrá víla? "" namítl panáček, který už zdaleka nebyl tak neústupný a začínal váhat."
"say","say","řekne","říci","pf"," "" And if I go with you, what will my good Fairy say? "" asked the Marionette, who was beginning to waver and weaken in his good resolutions."," "" A když s vámi pojedu, co tomu řekne moje dobrá víla? "" namítl panáček, který už zdaleka nebyl tak neústupný a začínal váhat."
"beginning","begin","začínal","začínat","impf"," "" And if I go with you, what will my good Fairy say? "" asked the Marionette, who was beginning to waver and weaken in his good resolutions."," "" A když s vámi pojedu, co tomu řekne moje dobrá víla? "" namítl panáček, který už zdaleka nebyl tak neústupný a začínal váhat."
"waver","waver","váhat","váhat","impf"," "" And if I go with you, what will my good Fairy say? "" asked the Marionette, who was beginning to waver and weaken in his good resolutions."," "" A když s vámi pojedu, co tomu řekne moje dobrá víla? "" namítl panáček, který už zdaleka nebyl tak neústupný a začínal váhat."
"going","go","jedeme","jet","impf"," Only think that we are going to a land where we shall be allowed to make all the racket we like from morning till night. """," Mysli na to, že jedeme do země, kde budeme moct od rána až do večera dovádět, jak se nám zachce. """
"answer","answer","neodpověděl","odpovědět","pf"," Pinocchio did not answer, but sighed deeply once - twice - a third time."," Pinocchio neodpověděl a jen vzdychl, pak vzdychl znovu a potom vzdychl potřetí."
"sighed","sigh","vzdychl","vzdychnout","pf"," Pinocchio did not answer, but sighed deeply once - twice - a third time."," Pinocchio neodpověděl a jen vzdychl, pak vzdychl znovu a potom vzdychl potřetí."
"sighed","sigh","vzdychl","vzdychnout","pf"," Pinocchio did not answer, but sighed deeply once - twice - a third time."," Pinocchio neodpověděl a jen vzdychl, pak vzdychl znovu a potom vzdychl potřetí."
"sighed","sigh","vzdychl","vzdychnout","pf"," Pinocchio did not answer, but sighed deeply once - twice - a third time."," Pinocchio neodpověděl a jen vzdychl, pak vzdychl znovu a potom vzdychl potřetí."
"said","say","řekl","říci","pf"," Finally, he said :"," Nakonec řekl :"
"stand","stand","postavit","postavit","pf"," The poor Dog was so weak he could not stand."," Ubohý pes se nedokázal ani postavit na nohy."
"come","come","přišli","přijít","pf"," And if, by any chance, any thieves should come, be sure to bark! """," A kdyby, nedej bože, přišli zloději, nezapomeň nastražit uši a štěkat. """
"Tell","tell","Povězte","povědět","pf"," "" Tell me, good man, have you heard anything of a poor boy with a wounded head, whose name was Eugene? """," "" Povězte mi, milostpane, nevíte něco o ubohém chlapci se zraněnou hlavou, který se jmenuje Eugenio? """
"brought","bring","přinesli","přinést","pf"," "" The boy was brought to this hut and now - """," "" Rybáři toho chlapce přinesli sem do chatrče a teď už ... """
"returned","return","vrátil","vrátit","pf"," "" No, he is now alive and he has already returned home. """," "" Ale ne, je živý a už se vrátil domů. """
"cried","cry","volal","volat","impf"," Really? "" cried the Marionette, jumping around with joy."," Opravdu? "" volal panáček a skákal radostí."
"jumping","jump","skákal","skákat","impf"," Really? "" cried the Marionette, jumping around with joy."," Opravdu? "" volal panáček a skákal radostí."
"said","say","řekl","říci","pf"," "" Good day, Mastro Antonio, "" said Geppetto."," "" Dobrý den, mistře Antonio, "" řekl Geppetto."
"doing","do","děláte","dělat","impf"," "" What are you doing on the floor? """," "" Co děláte tam na podlaze? """
"wanted","want","Chtěl","chtít","impf"," I have only wanted to remind you of the trick you long ago played upon me, to teach you that in this world of ours we must be kind and courteous to others, if we want to find kindness and courtesy in our own days of trouble. """," Chtěl jsem ti však připomenout, jak jsi byl ke mně nezdvořilý, aby sis zapamatoval, že jak jen to jde, musíme se na tomhle světě chovat slušně ke všem, chceme - li, aby nám v nouzi oplatili stejnou mincí. """
"want","want","Chtěl","chtít","impf"," I have only wanted to remind you of the trick you long ago played upon me, to teach you that in this world of ours we must be kind and courteous to others, if we want to find kindness and courtesy in our own days of trouble. """," Chtěl jsem ti však připomenout, jak jsi byl ke mně nezdvořilý, aby sis zapamatoval, že jak jen to jde, musíme se na tomhle světě chovat slušně ke všem, chceme - li, aby nám v nouzi oplatili stejnou mincí. """
"remind","remind","připomenout","připomenout","pf"," I have only wanted to remind you of the trick you long ago played upon me, to teach you that in this world of ours we must be kind and courteous to others, if we want to find kindness and courtesy in our own days of trouble. """," Chtěl jsem ti však připomenout, jak jsi byl ke mně nezdvořilý, aby sis zapamatoval, že jak jen to jde, musíme se na tomhle světě chovat slušně ke všem, chceme - li, aby nám v nouzi oplatili stejnou mincí. """
"wanted","want","chceme","chtít","impf"," I have only wanted to remind you of the trick you long ago played upon me, to teach you that in this world of ours we must be kind and courteous to others, if we want to find kindness and courtesy in our own days of trouble. """," Chtěl jsem ti však připomenout, jak jsi byl ke mně nezdvořilý, aby sis zapamatoval, že jak jen to jde, musíme se na tomhle světě chovat slušně ke všem, chceme - li, aby nám v nouzi oplatili stejnou mincí. """
"want","want","chceme","chtít","impf"," I have only wanted to remind you of the trick you long ago played upon me, to teach you that in this world of ours we must be kind and courteous to others, if we want to find kindness and courtesy in our own days of trouble. """," Chtěl jsem ti však připomenout, jak jsi byl ke mně nezdvořilý, aby sis zapamatoval, že jak jen to jde, musíme se na tomhle světě chovat slušně ke všem, chceme - li, aby nám v nouzi oplatili stejnou mincí. """
"tell","tell","pověz","povědět","pf"," But will you tell how you succeeded in buying this pretty little cottage? """," Ale pověz mi, jak se ti podařilo koupit tuhle krásnou chaloupku? """
"succeeded","succeed","podařilo","podařit","pf"," But will you tell how you succeeded in buying this pretty little cottage? """," Ale pověz mi, jak se ti podařilo koupit tuhle krásnou chaloupku? """
"buying","buy","koupit","koupit","pf"," But will you tell how you succeeded in buying this pretty little cottage? """," Ale pověz mi, jak se ti podařilo koupit tuhle krásnou chaloupku? """
"make","make","uvaří","uvařit","pf"," In the morning you may come with me to the inn and there you 'll make a fine dinner for some hungry mortal."," Spokojím se s tím, že vás zítra odnesu hospodskému do blízké vsi a ten vás stáhne z kůže a uvaří vás na způsob zajíce na rozinkách."
"went","go","začal","začít","pf"," Then he went up to Pinocchio and began to pet and caress him."," Pak přistoupil k Pinocchiovi, začal ho laskat a mezi jiným se ho zeptal :"
"began","begin","začal","začít","pf"," Then he went up to Pinocchio and began to pet and caress him."," Pak přistoupil k Pinocchiovi, začal ho laskat a mezi jiným se ho zeptal :"
"squirmed","squirm","kroutil","kroutit","impf"," And as he struggled and squirmed like an eel to escape from him, the Green Fisherman took a stout cord and tied him hand and foot, and threw him into the bottom of the tub with the others."," A protože se kroutil jako úhoř a ze všech sil se snažil vymanit se ze spárů zeleného rybáře, rybář vzal pořádné rákosové stéblo a svázal mu ruce i nohy, takže vypadal jako salám, a hodil ho do škopku k ostatním."
"took","take","vzal","vzít","pf"," And as he struggled and squirmed like an eel to escape from him, the Green Fisherman took a stout cord and tied him hand and foot, and threw him into the bottom of the tub with the others."," A protože se kroutil jako úhoř a ze všech sil se snažil vymanit se ze spárů zeleného rybáře, rybář vzal pořádné rákosové stéblo a svázal mu ruce i nohy, takže vypadal jako salám, a hodil ho do škopku k ostatním."
"tied","tie","svázal","svázat","pf"," And as he struggled and squirmed like an eel to escape from him, the Green Fisherman took a stout cord and tied him hand and foot, and threw him into the bottom of the tub with the others."," A protože se kroutil jako úhoř a ze všech sil se snažil vymanit se ze spárů zeleného rybáře, rybář vzal pořádné rákosové stéblo a svázal mu ruce i nohy, takže vypadal jako salám, a hodil ho do škopku k ostatním."
"stretched","stretch","natahoval","natahovat","impf"," Just as Pinocchio stretched out his hand to take a handful of them, he was awakened by three loud knocks at the door."," Ale když byl Pinocchio v nejlepším, když už natahoval ruku, aby si plnými hrstmi natrhal všechny ty krásné mince a strčil si je do kapsy, náhle ho probudilo trojí rázné zabušení na dveře pokoje."
"awakened","awaken","probudilo","probudit","pf"," Just as Pinocchio stretched out his hand to take a handful of them, he was awakened by three loud knocks at the door."," Ale když byl Pinocchio v nejlepším, když už natahoval ruku, aby si plnými hrstmi natrhal všechny ty krásné mince a strčil si je do kapsy, náhle ho probudilo trojí rázné zabušení na dveře pokoje."
"fell","fall","spadl","spadnout","pf"," He fell so awkwardly that his head stuck in the mud, and there he stood with his legs straight up in the air."," A spadl zrovna tak nešťastně, že si hlavu zabořil do bahna a nohy mu trčely ve vzduchu."
"stuck","stick","trčely","trčet","impf"," He fell so awkwardly that his head stuck in the mud, and there he stood with his legs straight up in the air."," A spadl zrovna tak nešťastně, že si hlavu zabořil do bahna a nohy mu trčely ve vzduchu."
"laughed","laugh","smál","smát","impf"," At the sight of the Marionette kicking and squirming like a young whirlwind, the Serpent laughed so heartily and so long that at last he burst an artery and died on the spot."," Když had viděl panáčka hlavou dolů, jak neuvěřitelně rychle mrská nohama, dostal takový záchvat smíchu, že se smál a smál, až mu z toho praskla žíla v hrudi : a tentokrát umřel doopravdy."
"laughed","laugh","smál","smát","impf"," At the sight of the Marionette kicking and squirming like a young whirlwind, the Serpent laughed so heartily and so long that at last he burst an artery and died on the spot."," Když had viděl panáčka hlavou dolů, jak neuvěřitelně rychle mrská nohama, dostal takový záchvat smíchu, že se smál a smál, až mu z toho praskla žíla v hrudi : a tentokrát umřel doopravdy."
"burst","burst","praskla","prasknout","pf"," At the sight of the Marionette kicking and squirming like a young whirlwind, the Serpent laughed so heartily and so long that at last he burst an artery and died on the spot."," Když had viděl panáčka hlavou dolů, jak neuvěřitelně rychle mrská nohama, dostal takový záchvat smíchu, že se smál a smál, až mu z toho praskla žíla v hrudi : a tentokrát umřel doopravdy."
"kicking","kick","umřel","umřít","pf"," At the sight of the Marionette kicking and squirming like a young whirlwind, the Serpent laughed so heartily and so long that at last he burst an artery and died on the spot."," Když had viděl panáčka hlavou dolů, jak neuvěřitelně rychle mrská nohama, dostal takový záchvat smíchu, že se smál a smál, až mu z toho praskla žíla v hrudi : a tentokrát umřel doopravdy."
"died","die","umřel","umřít","pf"," At the sight of the Marionette kicking and squirming like a young whirlwind, the Serpent laughed so heartily and so long that at last he burst an artery and died on the spot."," Když had viděl panáčka hlavou dolů, jak neuvěřitelně rychle mrská nohama, dostal takový záchvat smíchu, že se smál a smál, až mu z toho praskla žíla v hrudi : a tentokrát umřel doopravdy."
"reach","reach","dorazil","dorazit","pf"," Pinocchio freed himself from his awkward position and once more began to run in order to reach the Fairy 's house before dark."," A Pinocchio se znovu rozběhl, aby dorazil k víle do domečku ještě před setměním."
"say","say","Říkám","říkat","impf"," "" Get out, I say! "" repeated the Fisherman."," "" Říkám ti, mazej pryč! "" opakoval rybář a natáhl nohu, aby mu uštědřil kopanec."
"repeated","repeat","opakoval","opakovat","impf"," "" Get out, I say! "" repeated the Fisherman."," "" Říkám ti, mazej pryč! "" opakoval rybář a natáhl nohu, aby mu uštědřil kopanec."
"turned","turn","obrátil","obrátit","pf"," Then the Dog, who, being really hungry, would take no refusal, turned in a rage toward the Fisherman and bared his terrible fangs."," Se zavrčením se obrátil k rybáři a vycenil hrozivé tesáky."
"Save","save","Zachraň","zachránit","pf"," "" Save me, Alidoro;"," "" Zachraň mě, Alidoro!"
"saved","save","ušetřil","ušetřit","pf"," "" Many, many thanks, indeed, Mr. Pinocchio, for having saved me the trouble of breaking my shell!"," "" Tisíckrát děkuji, pane Pinocchio, že jste mi ušetřil námahu rozbíjet skořápku!"
"breaking","break","rozbíjet","rozbíjet","impf"," "" Many, many thanks, indeed, Mr. Pinocchio, for having saved me the trouble of breaking my shell!"," "" Tisíckrát děkuji, pane Pinocchio, že jste mi ušetřil námahu rozbíjet skořápku!"
"repeated","repeat","opakoval","opakovat","impf"," "" Sick! "" repeated the Cat."," "" Mrzákům! "" opakoval kocour."
"answered","answer","odpověděl","odpovědět","pf"," "" Addio, false friends! "" answered the Marionette."," "" Sbohem, vy komedianti! "" odpověděl panáček."
"repeated","repeat","opakoval","opakovat","impf"," "" Starving! "" repeated the Cat."," "" Ubožáci! "" opakoval kocour."
"talked","talk","mluvil","mluvit","impf"," He might as well have talked to a wall."," Bylo to, jako by mluvil do zdi."
"moved","move","nepohnulo","pohnout","pf"," The Serpent never moved."," Nic se nepohnulo."
