"nodded","nod","Přikývla","přikývnout","pf"," She nodded."," Přikývla."
"interpreted","interpret","přeložila","přeložit","pf"," She merrily interpreted for Steve."," Vesele to Stevovi přeložila."
"published","publish","vyšla","vyjít","pf"," The story was published in April of the following year."," Povídka vyšla v dubnu příštího roku."
"said","say","řekl","říci","pf"," "" I 'll run and fetch Netejkal, "" he said obligingly."," "" Skočím pro Netejkala, "" řekl ochotně."
"conceal","conceal","neskrýval","skrývat","impf"," A moment later Netejkal arrived in person and did nothing to conceal his satisfaction that, as he put it, the healthy core of the school had gained a new member as of that morning."," Netejkal se po chvíli dostavil osobně a nijak neskrýval své uspokojení nad skutečností, že - jak se vyjádřil - zdravé jádro školy je od dnešního rána početnější o jednoho člena."
"put","put","vyjádřil","vyjádřit","pf"," A moment later Netejkal arrived in person and did nothing to conceal his satisfaction that, as he put it, the healthy core of the school had gained a new member as of that morning."," Netejkal se po chvíli dostavil osobně a nijak neskrýval své uspokojení nad skutečností, že - jak se vyjádřil - zdravé jádro školy je od dnešního rána početnější o jednoho člena."
"began","begin","začínal","začínat","impf"," To crown it all, I began to feel that a hornet had stung me in the tongue on my way to school."," Ke všemu jsem začínal mít dojem, že mě cestou do školy píchl do jazyku sršeň."
"stung","sting","píchl","píchnout","pf"," To crown it all, I began to feel that a hornet had stung me in the tongue on my way to school."," Ke všemu jsem začínal mít dojem, že mě cestou do školy píchl do jazyku sršeň."
"recall","recall","nevzpomněl","vzpomenout","pf"," As far as I recall, Macha did n't come to my mind."," Na Máchu jsem si pokud vím nevzpomněl."
"pondered","ponder","Přemýšlel","přemýšlet","impf"," I pondered on all those girls I had suddenly been surrounded with, and from time to time I picked up my sleeping daughter 's blanket when it fell on the floor."," Přemýšlel jsem o všech těch dívkách, jimiž jsem byl tak znenadání obklopen, a čas od času jsem své spící dceři zdvihl spadlou přikrývku."
"surrounded","surround","obklopen","obklopit","pf"," I pondered on all those girls I had suddenly been surrounded with, and from time to time I picked up my sleeping daughter 's blanket when it fell on the floor."," Přemýšlel jsem o všech těch dívkách, jimiž jsem byl tak znenadání obklopen, a čas od času jsem své spící dceři zdvihl spadlou přikrývku."
"said","say","pravila","pravit","pf"," "" Hello, sea, "" said my wife."," "" Ahoj, moře, "" pravila má žena."
"remember","remember","pamatuješ","pamatovat","impf"," "" I do n't know whether you remember me. It 's nine years since we last saw each other. """," "" Nevím, jestli se na mě pamatuješ - devět let jsme se neviděly. """
"saw","see","neviděly","vidět","impf"," "" I do n't know whether you remember me. It 's nine years since we last saw each other. """," "" Nevím, jestli se na mě pamatuješ - devět let jsme se neviděly. """
"said","say","řekla","říci","pf"," "" Hello, sea, "" said my daughter."," "" Ahoj, moře, "" řekla dcera."
"gazed","gaze","Dívala","dívat","impf"," She gazed at me with mute superiority."," Dívala se na mě s nevyslovenou převahou."
"did","do","dělala","dělat","impf"," What did you do in Spain? "" I asked."," Co ty jsi dělala ve Španělsku? "" zeptal jsem se."
"do","do","dělala","dělat","impf"," What did you do in Spain? "" I asked."," Co ty jsi dělala ve Španělsku? "" zeptal jsem se."
"assume","assume","Předpokládám","předpokládat","impf"," "" I assume that you founded an Anti-Cancer League at the very least ... """," "" Předpokládám, žes tam přinejmenším založila Ligu proti rakovině ... """
"founded","found","založila","založit","pf"," "" I assume that you founded an Anti-Cancer League at the very least ... """," "" Předpokládám, žes tam přinejmenším založila Ligu proti rakovině ... """
"went","go","Chodila","chodit","impf"," "" She went to the bullfight, "" Agata said accusingly."," "" Chodila na koridu, "" žalovala Agáta."
"doing","do","nedělám","dělat","impf"," Michael Hruska, Windows 3.1 ) - could it be that I am doing the same thing when I arrange all the chaos in my head into clear chapters?"," Michael Hruška, Windows 3. 1 ) - nedělám náhodou totéž, když všechen ten chaos v její hlavě třídím do přehledných kapitol?"
"raise","raise","vznesou","vznést","pf"," Others also raise their doubts on occasions. When I was telling Beata 's story just recently to my friend the Brno publisher Martin Pluhacek, he was less than convinced, to judge from his expression :"," Pochybnosti občas vznesou i ostatní : když jsem před časem vyprávěl Beátin příběh brněnskému nakladateli a svému příteli Martinu Pluháčkovi, netvářil se zcela přesvědčeně :"
"telling","tell","vyprávěl","vyprávět","impf"," Others also raise their doubts on occasions. When I was telling Beata 's story just recently to my friend the Brno publisher Martin Pluhacek, he was less than convinced, to judge from his expression :"," Pochybnosti občas vznesou i ostatní : když jsem před časem vyprávěl Beátin příběh brněnskému nakladateli a svému příteli Martinu Pluháčkovi, netvářil se zcela přesvědčeně :"
"reflected","reflect","přemítal","přemítat","impf"," "" That 's not the problem - it 's a great story, "" he reflected."," "" Což o to, story je to jak hrom, "" přemítal."
"suffocate","suffocate","dusím","dusit","impf"," so I suffocate"," takže se dusím"
"go","go","začalo","začít","pf"," Even though I apologised to Beata for my inadvertent delay and even though the old ( green! ) couch looked more than a little odd in the newly furnished room, she had no wish to go into town - she told me she was beginning to be embarrassed about looking for a bed."," Třebaže jsem se Beátě za nezaviněné zpoždění omluvil a třebaže starý ( zelený! ) gauč se v nově zařízeném pokoji vyjímal více než prapodivně, vyjet do města pro nový nechtěla - tvrdila, že jí to shánění postele začalo připadat trapné."
"beginning","begin","začalo","začít","pf"," Even though I apologised to Beata for my inadvertent delay and even though the old ( green! ) couch looked more than a little odd in the newly furnished room, she had no wish to go into town - she told me she was beginning to be embarrassed about looking for a bed."," Třebaže jsem se Beátě za nezaviněné zpoždění omluvil a třebaže starý ( zelený! ) gauč se v nově zařízeném pokoji vyjímal více než prapodivně, vyjet do města pro nový nechtěla - tvrdila, že jí to shánění postele začalo připadat trapné."
"forgot","forget","zapomněl","zapomenout","pf"," For a moment I forgot my pupils and mused privately on what might happen if at that moment some elegant man in a white rococo wig were to approach my colleague and whisper to her the word Bertramka, for instance."," Na okamžik jsem zapomněl na své žáky a docela soukromě se v duchu chvíli zaobíral představou, co by se stalo, kdyby v daném okamžiku nějaký elegantní muž v bílé rokokové paruce přistoupil k mé kolegyni a pošeptal jí kupříkladu slovo Bertramka."
"approach","approach","přistoupil","přistoupit","pf"," For a moment I forgot my pupils and mused privately on what might happen if at that moment some elegant man in a white rococo wig were to approach my colleague and whisper to her the word Bertramka, for instance."," Na okamžik jsem zapomněl na své žáky a docela soukromě se v duchu chvíli zaobíral představou, co by se stalo, kdyby v daném okamžiku nějaký elegantní muž v bílé rokokové paruce přistoupil k mé kolegyni a pošeptal jí kupříkladu slovo Bertramka."
"said","say","řekl","říci","pf"," "" All right, then, "" I said, "" which other Praguers do not understand the Master? """," "" Takže, "" řekl jsem, "" kteří další Pražané Mistrovi nerozumějí? """
"understand","understand","nerozumějí","rozumět","impf"," "" All right, then, "" I said, "" which other Praguers do not understand the Master? """," "" Takže, "" řekl jsem, "" kteří další Pražané Mistrovi nerozumějí? """
"reminding","remind","připomenout","připomenout","pf"," I took the liberty of reminding her reproachfully of certain key principles of my aesthetic that I had explained to her during our first lesson, and after going over that old ground I went on to acquaint her with my favourite parallel, one that I had not yet used, in which my writing is compared to a frontline soldier 's letters to his mother :"," Dovolil jsem si jí vyčítavě připomenout některé klíčové principy své poetiky, s nimiž jsem ji seznámil již během první lekce, a tuto již probranou látku jsem pak doplnil o svou oblíbenou a dosud nepoužitou paralelu, jež přirovnává mé psaní k dopisům frontového vojáka jeho vlastní matce :"
"acquaint","acquaint","seznámil","seznámit","pf"," I took the liberty of reminding her reproachfully of certain key principles of my aesthetic that I had explained to her during our first lesson, and after going over that old ground I went on to acquaint her with my favourite parallel, one that I had not yet used, in which my writing is compared to a frontline soldier 's letters to his mother :"," Dovolil jsem si jí vyčítavě připomenout některé klíčové principy své poetiky, s nimiž jsem ji seznámil již během první lekce, a tuto již probranou látku jsem pak doplnil o svou oblíbenou a dosud nepoužitou paralelu, jež přirovnává mé psaní k dopisům frontového vojáka jeho vlastní matce :"
"said","say","řekl","říci","pf"," "" Well, sorry about that then, "" said the other one with a grin."," "" Tak to pardón, "" řekl ten druhý s úsměvem."
"grasp","grasp","Nechápal","chápat","impf"," I did n't grasp his meaning."," Nechápal jsem :"
"exchanged","exchange","Vyměnili","vyměnit","pf"," They briefly exchanged glances."," Vyměnili si krátké pohledy."
"appeared","appear","objevila","objevit","pf"," At last she appeared in the doorway, dressed in a formal costume that betrayed a charming excess of zeal."," Konečně se - v dojemně snaživém slavnostním kostýmku - objevila ve dveřích."
"waved","wave","mávl","mávnout","pf"," She looked about her hesitantly - I waved to her."," Rozpačitě se rozhlížela - mávl jsem na ni rukou."
"whispered","whisper","zašeptala","zašeptat","pf"," "" Je-sus, "" she whispered."," "" Prokrista, "" zašeptala."
"teaches","teach","Učí","učit","impf"," "" She teaches sex education, "" I said, putting Kral in the picture."," "" Učí sexuální výchovu, "" uvedl jsem Krále do obrazu."
"putting","put","uvedl","uvést","pf"," "" She teaches sex education, "" I said, putting Kral in the picture."," "" Učí sexuální výchovu, "" uvedl jsem Krále do obrazu."
"assume","assume","Předpokládám","předpokládat","impf"," "" I assume the parents have just barred her from doing Venus Balls with the kids."," "" Předpokládám, že rodičové jí právě zakázali probírat s dětmi Venušiny kuličky. """
"asked","ask","zeptal","zeptat","pf"," "" So how did you make out with the Principal? "" I asked Kral in the car later."," "" Tak co ředitel? "" zeptal jsem se Krále později v autě."
"want","want","chtěl","chtít","impf"," "" What did he want?"," "" Co chtěl?"
"said","say","říkala","říkat","impf"," "" Not at all, "" Agata said elegantly and flashed me sweetly conspiratorial smiles."," "" Nikoliv, "" říkala Agáta vybraně a vysílala ke mně líbezně spiklenecké úsměvy."
"went","go","šel","jít","impf"," During the next period I went to lunch."," Následující hodinu jsem šel na oběd."
"returning","return","vracel","vracet","impf"," When I was returning to my office, standing all along the corridor in regular intervals were sixth-year girls armed with damp cloths wiping every nook and cranny in the decorative posts of the cast-iron railing."," Když jsem se vracel nazpět do kabinetu, byly po celém schodišti v pravidelných intervalech rozestoupeny dívky z šestých tříd, které s pečlivostí uměleckých restaurátorů otíraly vlhkými hadříky každý sebemenší záhyb ozdobných sloupků litinového zábradlí."
"wiping","wipe","otíraly","otírat","impf"," When I was returning to my office, standing all along the corridor in regular intervals were sixth-year girls armed with damp cloths wiping every nook and cranny in the decorative posts of the cast-iron railing."," Když jsem se vracel nazpět do kabinetu, byly po celém schodišti v pravidelných intervalech rozestoupeny dívky z šestých tříd, které s pečlivostí uměleckých restaurátorů otíraly vlhkými hadříky každý sebemenší záhyb ozdobných sloupků litinového zábradlí."
"Dominating","dominate","dominoval","dominovat","impf"," Dominating the room was the noble curve of an imposing gold table lamp."," Prostoru dominoval vznosný oblouk impozantní zlaté stolní lampy."
"admit","admit","přiznat","přiznat","pf"," I have to admit that ( in spite of a certain lack of originality ) the luxurious elegance of the office impressed me."," Musím přiznat, že pracovna na mě ( navzdory jisté nenápaditosti ) svou luxusní elegancí zapůsobila."
"impressed","impress","zapůsobila","zapůsobit","pf"," I have to admit that ( in spite of a certain lack of originality ) the luxurious elegance of the office impressed me."," Musím přiznat, že pracovna na mě ( navzdory jisté nenápaditosti ) svou luxusní elegancí zapůsobila."
"said","say","řekl","říci","pf"," "" You have a nice place here, "" I said sincerely."," "" Máte to tu hezké, "" řekl jsem upřímně."
"pleased","please","potěšilo","potěšit","pf"," This clearly pleased him."," Viditelně ho to potěšilo."
"poured","pour","Nalil","nalít","pf"," He poured scotch into two glasses and then, a trifle ostentatiously, opened the door of the built-in fridge and brought a glassful of ice cubes."," Nalil do dvou sklenic skotskou a už trochu okázale otevřel dvířka vestavěné ledničky, odkud přinesl plnou sklenici ledových kuliček."
"opened","open","otevřel","otevřít","pf"," He poured scotch into two glasses and then, a trifle ostentatiously, opened the door of the built-in fridge and brought a glassful of ice cubes."," Nalil do dvou sklenic skotskou a už trochu okázale otevřel dvířka vestavěné ledničky, odkud přinesl plnou sklenici ledových kuliček."
"brought","bring","přinesl","přinést","pf"," He poured scotch into two glasses and then, a trifle ostentatiously, opened the door of the built-in fridge and brought a glassful of ice cubes."," Nalil do dvou sklenic skotskou a už trochu okázale otevřel dvířka vestavěné ledničky, odkud přinesl plnou sklenici ledových kuliček."
"sat","sit","Posadil","posadit","pf"," He sat down opposite me."," Posadil se naproti mně."
"Come","come","Pojďte","jít","impf"," Come on! """," Pojďte! """
"called","call","zvolal","zvolat","pf"," "" Ladya! "" I called."," "" Láďo! "" zvolal jsem."
"stood","stand","postavil","postavit","pf"," Ladya came and stood reluctantly behind the two girls."," Láďa se neochotně postavil za obě děvčata."
"say","say","Řeknu","říci","pf"," Were I now to say that the jeep and the trenching tool once formed part of the equipment of the U.S. Army, my statement would run the risk of being regarded as the preposterous invention of an unbridled spinner of yarns - so I had better quote in full an article published under the title "" Good Idea "" in the Zbraslav News ( issue 4, 1992, page 3 ) :"," Řeknu - li nyní, že jeep i lopatka pocházejí z výstroje americké námořní pěchoty, riskuji, že toto mé tvrzení bude bráno jen jako divoký nápad nekontrolujícího se fabulátora - raději proto budu v plném znění citovat článek, který byl pod titulkem DOBRÝ NÁPAD publikován ve Zbraslavských novinách ( 4 / 1992, str. 3 ) :"
"scored","score","zaznamenal","zaznamenat","pf"," Last month the enterprising spirit of the Principal of Zbraslav 's Vladislav Vancura Elementary School scored another success."," Minulý měsíc zaznamenal podnikavý duch ředitele Základní školy Vladislava Vančury ve Zbraslavi další úspěch."
"commented","comment","poznamenal","poznamenat","pf"," "" You do n't much strike me as being on alert, "" I commented."," "" Nepřipadáš mi moc ve střehu, "" poznamenal jsem."
"arrived","arrive","přišel","přijít","pf"," Kral arrived at nine."," Král přišel v devět."
"did","do","šlo","jít","impf"," "" How did it go? "" he asked me immediately."," "" Jak to šlo? "" dotazoval se hned."
"go","go","šlo","jít","impf"," "" How did it go? "" he asked me immediately."," "" Jak to šlo? "" dotazoval se hned."
"took","take","Vzal","vzít","pf"," He took a potato pancake."," Vzal si bramborák."
"wiped","wipe","otřela","otřít","pf"," His wife wiped the oil from his chin with a napkin to stop it dripping on his shirt or tie."," Manželka mu ubrouskem otřela omastek z brady, aby nestekl na košili nebo na kravatu."
"use","use","využila","využít","pf"," Unhappily, even my next piece of advice - that for her next period she should use the textbook Can We Spell It Right? ( fifteen copies of which I willingly lent her from our office ) was as little help to her as Jaromír 's had been."," Bohužel ani svou další radou, aby v příští hodině využila učebnice Píšeme správně česky? ( jejíchž patnáct exemplářů jsem jí ochotně z kabinetu zapůjčil ), jsem Beátě - podobně jako přede mnou Jaromír - příliš neposloužil."
"lent","lend","zapůjčil","zapůjčit","pf"," Unhappily, even my next piece of advice - that for her next period she should use the textbook Can We Spell It Right? ( fifteen copies of which I willingly lent her from our office ) was as little help to her as Jaromír 's had been."," Bohužel ani svou další radou, aby v příští hodině využila učebnice Píšeme správně česky? ( jejíchž patnáct exemplářů jsem jí ochotně z kabinetu zapůjčil ), jsem Beátě - podobně jako přede mnou Jaromír - příliš neposloužil."
"bought","buy","zakoupili","zakoupit","pf"," In the space of those roughly four hours we bought a three-door wardrobe and three black-ash bookshelves, a set of black trolleys, two tubular armchairs with dusty-pink cushions in Thirties style, a dusty-pink long-pile wool rug, and a black Trend waste-paper basket."," V rozmezí oněch zhruba čtyř hodin jsme zakoupili třídveřový šatník a tři regály na knihy z černého jasanu, sadu černých mobilních stolků, dvě trubková křesla se starorůžovým textilním sedákem z roku 1931, starorůžový vlněný kobereček vysoký vlas a černý koš na papír značky Trend."
"say","say","říkat","říkat","impf"," It was still well before eight, so I was a bit concerned at what he would say about this untraditional approach to teaching."," Nebylo ještě zdaleka osm, a měl jsem tudíž trochu obavu, co bude této netradiční formě výuky říkat."
"Do","do","vezmeš","vzít","pf"," "" Do you intend to take it? "" my wife asked."," "" Ty to vezmeš? "" zeptala se žena."
"take","take","vezmeš","vzít","pf"," "" Do you intend to take it? "" my wife asked."," "" Ty to vezmeš? "" zeptala se žena."
"asked","ask","zeptala","zeptat","pf"," "" Do you intend to take it? "" my wife asked."," "" Ty to vezmeš? "" zeptala se žena."
"write","write","psát","psát","impf"," "" You were planning to write a post-modern novel ..., "" she remarked with irony."," "" Chtěl jsi psát postmoderní román ..., "" podotkla ironicky."
"remarked","remark","podotkla","podotknout","pf"," "" You were planning to write a post-modern novel ..., "" she remarked with irony."," "" Chtěl jsi psát postmoderní román ..., "" podotkla ironicky."
"said","say","řekla","říci","pf"," I was glad she said it because she might just as easily have said that we needed every penny we could get."," Byl jsem ale rád, že to řekla, protože stejně tak bývala mohla říct, že potřebujeme každou korunu."
"said","say","řekla","říci","pf"," I was glad she said it because she might just as easily have said that we needed every penny we could get."," Byl jsem ale rád, že to řekla, protože stejně tak bývala mohla říct, že potřebujeme každou korunu."
"said","say","říct","říci","pf"," I was glad she said it because she might just as easily have said that we needed every penny we could get."," Byl jsem ale rád, že to řekla, protože stejně tak bývala mohla říct, že potřebujeme každou korunu."
"said","say","říct","říci","pf"," I was glad she said it because she might just as easily have said that we needed every penny we could get."," Byl jsem ale rád, že to řekla, protože stejně tak bývala mohla říct, že potřebujeme každou korunu."
"needed","need","potřebujeme","potřebovat","impf"," I was glad she said it because she might just as easily have said that we needed every penny we could get."," Byl jsem ale rád, že to řekla, protože stejně tak bývala mohla říct, že potřebujeme každou korunu."
"die","die","neumře","umřít","pf"," If you poison him, doth he not die? """," Když mu namícháš jedu, neumře? """
"said","say","pravila","pravit","pf"," "" All right, then, "" she said."," "" Tak dobře, "" pravila."
"Pour","pour","nalej","nalít","pf"," "" Pour me a drink. """," "" Tak mi teda nalej. """
"checked","check","ověřit","ověřit","pf"," The scrap-metal yard, where Beata 's wrecked car still stands, is situated opposite the end of the street. ( That can easily be checked."," Vrakoviště aut, na němž stojí Beátin havarovaný golf, leží přímo prod jejímu vyústění ( lze si to snadno ověřit )."
"told","tell","sdělil","sdělit","pf"," Only once in my life has God spoken to me personally, and that was in front of the display window at Bata 's shoe store on Wenceslas Square, where, through the mediation of a little Pakistani boy in an orange T-shirt, He told me that He truly loved me ( though at first I thought that this message somehow had something to do with the price of the men 's lace-ups on display )."," Mne osobně oslovil Bůh v životě zatím jen jedenkrát, a to před výlohou obchodního domu Baťa na Václavském náměstí, kde mi prostřednictvím malého snědého Pákistánce v oranžovém tričku sdělil, že mne opravdu miluje ( v první chvíli jsem se ovšem domníval, že toto sdělení nějak souvisí s cenami vystavených polobotek )."
"loved","love","miluje","milovat","impf"," Only once in my life has God spoken to me personally, and that was in front of the display window at Bata 's shoe store on Wenceslas Square, where, through the mediation of a little Pakistani boy in an orange T-shirt, He told me that He truly loved me ( though at first I thought that this message somehow had something to do with the price of the men 's lace-ups on display )."," Mne osobně oslovil Bůh v životě zatím jen jedenkrát, a to před výlohou obchodního domu Baťa na Václavském náměstí, kde mi prostřednictvím malého snědého Pákistánce v oranžovém tričku sdělil, že mne opravdu miluje ( v první chvíli jsem se ovšem domníval, že toto sdělení nějak souvisí s cenami vystavených polobotek )."
"thought","think","domníval","domnívat","impf"," Only once in my life has God spoken to me personally, and that was in front of the display window at Bata 's shoe store on Wenceslas Square, where, through the mediation of a little Pakistani boy in an orange T-shirt, He told me that He truly loved me ( though at first I thought that this message somehow had something to do with the price of the men 's lace-ups on display )."," Mne osobně oslovil Bůh v životě zatím jen jedenkrát, a to před výlohou obchodního domu Baťa na Václavském náměstí, kde mi prostřednictvím malého snědého Pákistánce v oranžovém tričku sdělil, že mne opravdu miluje ( v první chvíli jsem se ovšem domníval, že toto sdělení nějak souvisí s cenami vystavených polobotek )."
"want","want","Chci","chtít","impf"," If I want to get it out whole, I will have to proceed with the utmost caution."," Chci - li ji dostat celou, musím postupovat maximálně opatrně."
"get","get","dostat","dostat","pf"," If I want to get it out whole, I will have to proceed with the utmost caution."," Chci - li ji dostat celou, musím postupovat maximálně opatrně."
"proceed","proceed","postupovat","postupovat","impf"," If I want to get it out whole, I will have to proceed with the utmost caution."," Chci - li ji dostat celou, musím postupovat maximálně opatrně."
"improving","improve","zlepšilo","zlepšit","pf"," It went some way towards improving my mood."," Trochu mi to zlepšilo náladu."
"fear","fear","Obávám","obávat","impf"," "" These new fangled rustic creations, "" Beata proclaimed, after looking around her, "" are going to be terrorising our senses absolutely everywhere from now on, I fear. """," "" Obávám se, "" pronesla Beáta, když se kolem sebe rozhlédla, "" že tyto módní rustikální kreace budou nyní naše smysly terorizovat naprosto všude. """
"do","do","dělat","dělat","impf"," But what can I do here in a chronicle of avowedly real events?"," Co ale dělat zde, v kronice událostí nezakrytě skutečných?"
"does","do","dělá","dělat","impf"," How does that Vaculik do it?"," Jak to ten Vaculík dělá?"
"do","do","dělá","dělat","impf"," How does that Vaculik do it?"," Jak to ten Vaculík dělá?"
"gulp","gulp","polkla","polknout","pf"," She would gulp audibly."," Slyšel jsem, jak polkla."
"say","say","řekla","říci","pf"," "" Walk down to the Strakonice road, "" she would say."," "" Sejdi na Strakonickou, "" řekla."
"arrive","arrive","Přijížděla","přijíždět","impf"," She would arrive in what she was wearing when I called her - a dressing gown, her father 's work shirt, or a T-shirt over her naked body."," Přijížděla v oblečení, v jakém ji zastihl můj telefonát - v županu, v otcově pracovní košili, v tričku na nahém těle."
"want","want","Chceš","chtít","impf"," Do you want to drive? he asks me and I look at the gear stick onto which he 's screwed a varnished lump of natural wood and l say : I 'm supposed to change gear with that?"," Chceš řídit? zeptá se mě, a já se podívám na řadicí páku, na který má našroubovanej nalakovanej samorost, a říkám, Tímhle mám řadit?"
"drive","drive","řídit","řídit","impf"," Do you want to drive? he asks me and I look at the gear stick onto which he 's screwed a varnished lump of natural wood and l say : I 'm supposed to change gear with that?"," Chceš řídit? zeptá se mě, a já se podívám na řadicí páku, na který má našroubovanej nalakovanej samorost, a říkám, Tímhle mám řadit?"
"asks","ask","zeptá","zeptat","pf"," Do you want to drive? he asks me and I look at the gear stick onto which he 's screwed a varnished lump of natural wood and l say : I 'm supposed to change gear with that?"," Chceš řídit? zeptá se mě, a já se podívám na řadicí páku, na který má našroubovanej nalakovanej samorost, a říkám, Tímhle mám řadit?"
"look","look","podívám","podívat","pf"," Do you want to drive? he asks me and I look at the gear stick onto which he 's screwed a varnished lump of natural wood and l say : I 'm supposed to change gear with that?"," Chceš řídit? zeptá se mě, a já se podívám na řadicí páku, na který má našroubovanej nalakovanej samorost, a říkám, Tímhle mám řadit?"
"say","say","říkám","říkat","impf"," Do you want to drive? he asks me and I look at the gear stick onto which he 's screwed a varnished lump of natural wood and l say : I 'm supposed to change gear with that?"," Chceš řídit? zeptá se mě, a já se podívám na řadicí páku, na který má našroubovanej nalakovanej samorost, a říkám, Tímhle mám řadit?"
"spend","spend","prožila","prožít","pf"," It was obvious to me what she was getting at : as a specialist I was naturally aware that the parent 's invariable question How was it at school? is a mistake pedagogically and psychologically speaking, since, to an inadmissible degree, it restricts life 's rich diversity to schooling - but on the other hand I have never made the effort to come up with some variations on the question How did you spend the day, which whilst being pedagogically and psychologically sound had become rather monotonous by dint of constant repetition."," Bylo jasné, na co naráží : jako odborník jsem pochopitelně věděl, že obligátní rodičovská otázka Co bylo ve škole? je pedagogickou i psychologickou chybou, neboť nepřípustně zužuje bohatou pestrost života na školní výuku - ale na druhé straně jsem si až dosud nikdy nedal tu práci, abych pedagogicky i psychologicky sice správnou, leč neustálým opakováním poněkud monotónní otázku Jak jsi prožila den? rozšířil o několik alespoň zdánlivě odlišných variant."
"liked","like","Líbila","líbit","impf"," "" I liked it. """," "" Líbila se mi. """
"assist","assist","pomoct","pomoci","pf"," "" It might assist her self-awareness, "" he remarked pensively."," "" Mohlo by jí to pomoct, aby se líp vyznala sama v sobě, "" prohodil přemýšlivě."
"sang","sing","zazpívali","zazpívat","pf"," The warmest reception was reserved for that traditional favourite, the ' Sorrow of Love Polka ' by Zbraslav-born composer Jaromir Vejvoda, which the members of the choir sang in its world-renowned English version, ' Roll on the Barrels '."," Největší ohlas měla už tradičně oblíbená polka zbraslavského skladatele Jaromíra Vejvody Škoda lásky, kterou členové pěveckého sboru zazpívali ve světoznámé anglické verzi Roll on the barrels."
"believe","believe","myslím","myslet","impf"," I believe our education system is waking up nicely."," Já myslím, že naše školství se pěkně probouzí."
"added","add","dodal","dodat","pf"," "" Because in my view that lying version is his sacred duty, "" I added with a certain fervour."," "" Protože tahle lživá verze je podle mýho jeho svatá povinnost, "" dodal jsem poněkud zapáleně."
"read","read","nečte","číst","impf"," I told her that as a sort of voluntary liaison officer between scorned reading matter that people bought and literature that was respected but read by almost no one, I naturally have to expect being called nasty names by both camps from time to time."," Pravil jsem, že coby dobrovolný styčný důstojník mezi opovrhovaným, avšak kupovaným čtivem a respektovanou literaturou, kterou prakticky nikdo nečte, musím pňrozeně počítat s tírn, že na mne budou občas zlostně pokřikovat z obou táborů."
"relieved","relieve","nezmírnila","zmírnit","pf"," The cheerlessness of the two-foot-high pile of files on the oak desk was not relieved even by that splendid golden lamp."," Bezútěšnost půlmetrové hromady lejster na dubovém psacím stole nezmírnila ani ta nádherná zlatá lampa."
"said","say","řekl","říci","pf"," "" Let 's summarise the situation, "" I said resolutely."," "" Zrekapitulujme si to, "" řekl jsem odhodlaně."
"spent","spend","strávil","strávit","pf"," "" Since yesterday I have spent a total of four hours here. """," "" Včera a dnes jsem tu strávil celkem čtyři hodiny. """
"bided","bide","Vyčkával","vyčkávat","impf"," He bided his time."," Vyčkával."
"matter","matter","Nezáleželo","záležet","impf"," It did n't matter a jot to him that he had summoned me and should therefore be the better informed why I was there. He used to fire that question automatically at every teacher entering, so that it should be understood that the possible departure of the teacher in question would have no effect on the survival or otherwise of his Vladislav Vancura school, since dozens of other ( i.e., better ) teachers were waiting outside the gates."," Nezáleželo ani zbla na tom, že mne sám povolal, a že musel tudíž nejlépe vědět, proč přicházím, - kladl tuto otázku každému vstupujícímu učiteli naprosto automaticky, aby tak dal najevo, že jeho škola Vladislava Vančury s eventuálním odchodem dotyčného učitele nestojí ani nepadá, neboť před jejími vraty stojí desítky jiných a - rozumělo se samo sebou - lepších."
"summoned","summon","povolal","povolat","pf"," It did n't matter a jot to him that he had summoned me and should therefore be the better informed why I was there. He used to fire that question automatically at every teacher entering, so that it should be understood that the possible departure of the teacher in question would have no effect on the survival or otherwise of his Vladislav Vancura school, since dozens of other ( i.e., better ) teachers were waiting outside the gates."," Nezáleželo ani zbla na tom, že mne sám povolal, a že musel tudíž nejlépe vědět, proč přicházím, - kladl tuto otázku každému vstupujícímu učiteli naprosto automaticky, aby tak dal najevo, že jeho škola Vladislava Vančury s eventuálním odchodem dotyčného učitele nestojí ani nepadá, neboť před jejími vraty stojí desítky jiných a - rozumělo se samo sebou - lepších."
"understood","understand","rozumělo","rozumět","impf"," It did n't matter a jot to him that he had summoned me and should therefore be the better informed why I was there. He used to fire that question automatically at every teacher entering, so that it should be understood that the possible departure of the teacher in question would have no effect on the survival or otherwise of his Vladislav Vancura school, since dozens of other ( i.e., better ) teachers were waiting outside the gates."," Nezáleželo ani zbla na tom, že mne sám povolal, a že musel tudíž nejlépe vědět, proč přicházím, - kladl tuto otázku každému vstupujícímu učiteli naprosto automaticky, aby tak dal najevo, že jeho škola Vladislava Vančury s eventuálním odchodem dotyčného učitele nestojí ani nepadá, neboť před jejími vraty stojí desítky jiných a - rozumělo se samo sebou - lepších."
"need","need","nemusel","muset","impf"," Admittedly, in the era of Penthouse, sex columns, and louche songs with nationwide popularity I should n't need to get too worked up about excessive scruples, but I still ca n't entirely rid myself of qualms."," Chápu sice, že v době Penthausů, rubrik o sexu a s celonárodními sympatiemi přijímaných písňových vyznání k jedný z Dejvic, co tam toho má nejvíc bych se nemusel trápit nějakými přílišnými skrupulemi, ale stejně mne to rozpaků beze zbytku nezbavuje."
