"hesitated","hesitate","zaváhal","zaváhat","pf"," Gatsby hesitated, then added coolly :"," Gatsby zaváhal a potom chladně dodal :"
"looked","look","Podíval","podívat","pf"," I looked once more at them and they looked back at me, remotely, possessed by intense life."," Podíval jsem se na ně ještě jednou a oni se duchem vzdáleni podívali na mne, zachváceni intensivním životem."
"looked","look","Podíval","podívat","pf"," I looked once more at them and they looked back at me, remotely, possessed by intense life."," Podíval jsem se na ně ještě jednou a oni se duchem vzdáleni podívali na mne, zachváceni intensivním životem."
"looked","look","podívali","podívat","pf"," I looked once more at them and they looked back at me, remotely, possessed by intense life."," Podíval jsem se na ně ještě jednou a oni se duchem vzdáleni podívali na mne, zachváceni intensivním životem."
"looked","look","podívali","podívat","pf"," I looked once more at them and they looked back at me, remotely, possessed by intense life."," Podíval jsem se na ně ještě jednou a oni se duchem vzdáleni podívali na mne, zachváceni intensivním životem."
"went","go","odešel","odejít","pf"," Then I went out of the room and down the marble steps into the rain, leaving them there together."," Potom jsem odešel z pokoje a kráčel jsem dolů po mramorových schodech do deště a nechal jsem je tam spolu."
"leaving","leave","odešel","odejít","pf"," Then I went out of the room and down the marble steps into the rain, leaving them there together."," Potom jsem odešel z pokoje a kráčel jsem dolů po mramorových schodech do deště a nechal jsem je tam spolu."
"leaving","leave","nechal","nechat","pf"," Then I went out of the room and down the marble steps into the rain, leaving them there together."," Potom jsem odešel z pokoje a kráčel jsem dolů po mramorových schodech do deště a nechal jsem je tam spolu."
"arrived","arrive","přijel","přijet","pf"," ABOUT this time an ambitious young reporter from New York arrived one morning at Gatsby 's door and asked him if he had anything to say."," Asi tou dobou přijel jednou ráno ke Gatsbyho domu ctižádostivý mladý reportér z New Yorku a zeptal se ho, jestli mu Gatsby může něco říct."
"asked","ask","zeptal","zeptat","pf"," ABOUT this time an ambitious young reporter from New York arrived one morning at Gatsby 's door and asked him if he had anything to say."," Asi tou dobou přijel jednou ráno ke Gatsbyho domu ctižádostivý mladý reportér z New Yorku a zeptal se ho, jestli mu Gatsby může něco říct."
"say","say","říct","říci","pf"," ABOUT this time an ambitious young reporter from New York arrived one morning at Gatsby 's door and asked him if he had anything to say."," Asi tou dobou přijel jednou ráno ke Gatsbyho domu ctižádostivý mladý reportér z New Yorku a zeptal se ho, jestli mu Gatsby může něco říct."
"say","say","říct","říci","pf"," ' Anything to say about what? ' inquired Gatsby politely."," "" O čem něco říct? "" zeptal se Gatsby zdvořile."
"inquired","inquire","zeptal","zeptat","pf"," ' Anything to say about what? ' inquired Gatsby politely."," "" O čem něco říct? "" zeptal se Gatsby zdvořile."
"uttered","utter","pronesla","pronést","pf"," ' Absolutely! ' with such suddenness that I started - it was the first word she had uttered since I came into the room."," "" To ano! "" tak náhle, že jsem sebou trhl - byla to první slova, která pronesla od chvíle, co jsem přišel do pokoje."
"came","come","přišel","přijít","pf"," ' Absolutely! ' with such suddenness that I started - it was the first word she had uttered since I came into the room."," "" To ano! "" tak náhle, že jsem sebou trhl - byla to první slova, která pronesla od chvíle, co jsem přišel do pokoje."
"surprised","surprise","překvapilo","překvapit","pf"," Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room."," Zřejmě ji to překvapilo sejně jako mne, neboť zívla a několika rychlými, čilými pohyby se postavila."
"stood","stand","postavila","postavit","pf"," Evidently it surprised her as much as it did me, for she yawned and with a series of rapid, deft movements stood up into the room."," Zřejmě ji to překvapilo sejně jako mne, neboť zívla a několika rychlými, čilými pohyby se postavila."
"remember","remember","nepamatuju","pamatovat","impf"," ' I 'm stiff, ' she complained, ' I 've been lying on that sofa for as long as I can remember. '"," "" Úplně jsem ztuhla, "" stěžovala si, "" ani nepamatuju, jak dlouho už ležím na tom gauči. """
"lying","lie","ležím","ležet","impf"," ' I 'm stiff, ' she complained, ' I 've been lying on that sofa for as long as I can remember. '"," "" Úplně jsem ztuhla, "" stěžovala si, "" ani nepamatuju, jak dlouho už ležím na tom gauči. """
"took","take","vzal","vzít","pf"," His eyes leaked continuously with excitement, and when I took the bag and umbrella from his hands he began to pull so incessandy at his sparse grey beard that I had difficulty in getting off his coat."," Oči mu slzely vzrušením, a když jsem mu vzal z rukou kufr a deštník, začal se potahovat za prořídlou šedou bradku tak vytrvale, že jsem ho nemohl dostat z kabátu."
"began","begin","začal","začít","pf"," His eyes leaked continuously with excitement, and when I took the bag and umbrella from his hands he began to pull so incessandy at his sparse grey beard that I had difficulty in getting off his coat."," Oči mu slzely vzrušením, a když jsem mu vzal z rukou kufr a deštník, začal se potahovat za prořídlou šedou bradku tak vytrvale, že jsem ho nemohl dostat z kabátu."
"took","take","dostat","dostat","pf"," His eyes leaked continuously with excitement, and when I took the bag and umbrella from his hands he began to pull so incessandy at his sparse grey beard that I had difficulty in getting off his coat."," Oči mu slzely vzrušením, a když jsem mu vzal z rukou kufr a deštník, začal se potahovat za prořídlou šedou bradku tak vytrvale, že jsem ho nemohl dostat z kabátu."
"getting","get","dostat","dostat","pf"," His eyes leaked continuously with excitement, and when I took the bag and umbrella from his hands he began to pull so incessandy at his sparse grey beard that I had difficulty in getting off his coat."," Oči mu slzely vzrušením, a když jsem mu vzal z rukou kufr a deštník, začal se potahovat za prořídlou šedou bradku tak vytrvale, že jsem ho nemohl dostat z kabátu."
"made","make","přinutil","přinutit","pf"," He was on the point of collapse, so I took him into the music room and made him sit down while I sent for something to eat."," Byl na pokraji zhroucení, odvedl jsem ho tedy do hudebního pokoje, přinutil jsem ho, aby si sedl, a poslal jsem pro něco k jídlu."
"sit","sit","sedl","sednout","pf"," He was on the point of collapse, so I took him into the music room and made him sit down while I sent for something to eat."," Byl na pokraji zhroucení, odvedl jsem ho tedy do hudebního pokoje, přinutil jsem ho, aby si sedl, a poslal jsem pro něco k jídlu."
"sent","send","poslal","poslat","pf"," He was on the point of collapse, so I took him into the music room and made him sit down while I sent for something to eat."," Byl na pokraji zhroucení, odvedl jsem ho tedy do hudebního pokoje, přinutil jsem ho, aby si sedl, a poslal jsem pro něco k jídlu."
"made","make","Udělalo","udělat","pf"," It made me uneasy, as though the whole evening had been a trick of some sort to exact a contributory emotion from me."," Udělalo se mi z toho nevolno, jako by celý večer byl jakousi léčkou, jak ze mne vymáčknout soucit."
"waited","wait","Počkal","počkat","pf"," I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely-face, as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged."," Počkal jsem a opravdu za chvíli na mne pohlédla a v její hezké tváři se objevil úšklebek podle všech pravidel, jako by byla dokázala, že je členem nějaké značně exklusivní tajné společnosti, do níž patří i Tom."
"looked","look","pohlédla","pohlédnout","pf"," I waited, and sure enough, in a moment she looked at me with an absolute smirk on her lovely-face, as if she had asserted her membership in a rather distinguished secret society to which she and Tom belonged."," Počkal jsem a opravdu za chvíli na mne pohlédla a v její hezké tváři se objevil úšklebek podle všech pravidel, jako by byla dokázala, že je členem nějaké značně exklusivní tajné společnosti, do níž patří i Tom."
"bloomed","bloom","kvetl","kvést","impf"," Inside, the crimson room bloomed with light."," V domě kvetl nachový pokoj světlem."
"went","go","Šel","jít","impf"," He went out to the open vestibule and sat down on a folding-chair, and the station slid away and the backs of unfamiliar buildings moved by."," Šel ven na otevřenou plošinu, sedl si na sklápěcí židli, stanice mizela z dohledu a kolem se míhaly zadní trakty neznámých budov."
"sat","sit","sedl","sednout","pf"," He went out to the open vestibule and sat down on a folding-chair, and the station slid away and the backs of unfamiliar buildings moved by."," Šel ven na otevřenou plošinu, sedl si na sklápěcí židli, stanice mizela z dohledu a kolem se míhaly zadní trakty neznámých budov."
"raced","race","závodila","závodit","impf"," Then out into the spring fields, where a yellow trolley raced them for a minute with people in it who might once have seen the pale magic of her face along the casual street."," Potom vyjeli do jarních polí, kde s nimi chvíli závodila žlutá tramvaj a v ní seděli lidé, kteří snad kdysi náhodou zahlédli na ulici její bledou kouzelnou tvář."
"seen","see","zahlédli","zahlédnout","pf"," Then out into the spring fields, where a yellow trolley raced them for a minute with people in it who might once have seen the pale magic of her face along the casual street."," Potom vyjeli do jarních polí, kde s nimi chvíli závodila žlutá tramvaj a v ní seděli lidé, kteří snad kdysi náhodou zahlédli na ulici její bledou kouzelnou tvář."
"try","try","snaž","snažit","impf"," Come on there, try and sit still a minute and answer my question."," Počkej, snaž se chvilku klidně sedět a odpověz mi na otázku."
"sit","sit","sedět","sedět","impf"," Come on there, try and sit still a minute and answer my question."," Počkej, snaž se chvilku klidně sedět a odpověz mi na otázku."
"answer","answer","odpověz","odpovědět","pf"," Come on there, try and sit still a minute and answer my question."," Počkej, snaž se chvilku klidně sedět a odpověz mi na otázku."
"sit","sit","seď","sedět","impf"," Come on, George, sit still - I asked you a question."," No tak, Jiří, seď klidně - na něco jsem se tě ptal."
"asked","ask","ptal","ptát","impf"," Come on, George, sit still - I asked you a question."," No tak, Jiří, seď klidně - na něco jsem se tě ptal."
"heard","hear","uslyšel","uslyšet","pf"," The hard brown beetles kept thudding against the dull light, and whenever Michaelis heard a car go tearing along the road outside it sounded to him like the car that had n't stopped a few hours before."," Tvrdí hnědí brouci pořád a pořád naráželi na mdlou žárovku, a kdykoliv Michaelis uslyšel, že se venku řítí po silnici auto, zdálo se mu, že to je auto, které tu před několika hodinami nezastavilo."
"making","make","dělal","dělat","impf"," A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding-cake of the ceiling, and then rippled over the wine-coloured rug, making a shadow on it as wind does on the sea."," Pokojem proudil vánek, na jednom konci vháněl záclony jako bledé vlajky dovnitř a na druhém je vyháněl ven, rozechvíval je až nahoru ke stropu, který vypadal jako svatební dort s cukrovou polevou - a potom se převaloval po vínověčerveném koberci a dělal na něm stíny jako vítr na moři."
"does","do","dělal","dělat","impf"," A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding-cake of the ceiling, and then rippled over the wine-coloured rug, making a shadow on it as wind does on the sea."," Pokojem proudil vánek, na jednom konci vháněl záclony jako bledé vlajky dovnitř a na druhém je vyháněl ven, rozechvíval je až nahoru ke stropu, který vypadal jako svatební dort s cukrovou polevou - a potom se převaloval po vínověčerveném koberci a dělal na něm stíny jako vítr na moři."
"educated","educate","vychován","vychovat","pf"," I was brought up in America but educated at Oxford, because all my ancestors have been educated there for many years."," Byl jsem vychován v Americe, ale studoval jsem v Oxfordu, protože tam po dlouhá léta všichni moji předkové studovali."
"educated","educate","vychován","vychovat","pf"," I was brought up in America but educated at Oxford, because all my ancestors have been educated there for many years."," Byl jsem vychován v Americe, ale studoval jsem v Oxfordu, protože tam po dlouhá léta všichni moji předkové studovali."
"looked","look","Podíval","podívat","pf"," He looked at me sideways - and I knew why Jordan Baker had believed he was lying."," Podíval se na mne úkosem - a já věděl, proč Jordan Bakerová věří, že lže."
"believed","believe","věří","věřit","impf"," He looked at me sideways - and I knew why Jordan Baker had believed he was lying."," Podíval se na mne úkosem - a já věděl, proč Jordan Bakerová věří, že lže."
"lying","lie","lže","lhát","impf"," He looked at me sideways - and I knew why Jordan Baker had believed he was lying."," Podíval se na mne úkosem - a já věděl, proč Jordan Bakerová věří, že lže."
"swallowed","swallow","spolkl","spolknout","pf"," He hurried the phrase ' educated at Oxford, ' or swallowed it, or choked on it, as though it had bothered him before."," S frází "" studoval v Oxfordu "" si pospíšil nebo ji spolkl, nebo přiškrtil, jako kdyby mu už předem dělala potíže."
"going","go","jel","jet","impf"," The other car, the one going toward New York, came to rest a hundred yards beyond, and its driver hurried back to where Myrtle Wilson, her life violently extinguished, knelt in the road and mingled her thick dark blood with the dust.,"," Druhý vůz, ten, co jel do New Yorku, zastavil o nějakých sto yardů dál, a řidič přispěchal zpět k místu, kde klečela na silnici Myrtle Wilsonová, jejíž život byl násilně zhašen, a její hustá, tmavá krev se mísila s prachem."
"mingled","mingle","mísila","mísit","impf"," The other car, the one going toward New York, came to rest a hundred yards beyond, and its driver hurried back to where Myrtle Wilson, her life violently extinguished, knelt in the road and mingled her thick dark blood with the dust.,"," Druhý vůz, ten, co jel do New Yorku, zastavil o nějakých sto yardů dál, a řidič přispěchal zpět k místu, kde klečela na silnici Myrtle Wilsonová, jejíž život byl násilně zhašen, a její hustá, tmavá krev se mísila s prachem."
"torn","tear","roztrhli","roztrhnout","pf"," Michaelis and this man reached her first, but when they had torn open her shirtwaist, still damp with perspiration, they saw that her left breast was swinging loose like a flap, and there was no need to listen for the heart beneath."," Michaelis a ten člověk k ní doběhli první, ale když ji roztrhli blůzu, ještě vlhkou od potu, spatřili, že levé ňadro jí visí bezvládně a ochable, a nemělo ani smysl poslouchat, jestli srdce pod ním bije."
"saw","see","spatřili","spatřit","pf"," Michaelis and this man reached her first, but when they had torn open her shirtwaist, still damp with perspiration, they saw that her left breast was swinging loose like a flap, and there was no need to listen for the heart beneath."," Michaelis a ten člověk k ní doběhli první, ale když ji roztrhli blůzu, ještě vlhkou od potu, spatřili, že levé ňadro jí visí bezvládně a ochable, a nemělo ani smysl poslouchat, jestli srdce pod ním bije."
"swinging","swing","visí","viset","impf"," Michaelis and this man reached her first, but when they had torn open her shirtwaist, still damp with perspiration, they saw that her left breast was swinging loose like a flap, and there was no need to listen for the heart beneath."," Michaelis a ten člověk k ní doběhli první, ale když ji roztrhli blůzu, ještě vlhkou od potu, spatřili, že levé ňadro jí visí bezvládně a ochable, a nemělo ani smysl poslouchat, jestli srdce pod ním bije."
"listen","listen","poslouchat","poslouchat","impf"," Michaelis and this man reached her first, but when they had torn open her shirtwaist, still damp with perspiration, they saw that her left breast was swinging loose like a flap, and there was no need to listen for the heart beneath."," Michaelis a ten člověk k ní doběhli první, ale když ji roztrhli blůzu, ještě vlhkou od potu, spatřili, že levé ňadro jí visí bezvládně a ochable, a nemělo ani smysl poslouchat, jestli srdce pod ním bije."
"looked","look","pohlédli","pohlédnout","pf"," ' Daisy and Tom looked at each other for a moment in silence."," Daisy a Tom na sebe na okamžik mlčky pohlédli."
"passed","pass","Strávily","strávit","pf"," Our white girlhood was passed together there."," Strávily jsme tam společně nevinná dívčí léta."
"looked","look","Podívala","podívat","pf"," She looked at me."," Podívala se na mne."
"remember","remember","vzpomenout","vzpomenout","pf"," ' I ca n't seem to > remember, but I think we talked about the Nordic race."," "" Nemohu si vzpomenout, ale myslím, že jsme mluvili o nordické rase."
"think","think","vzpomenout","vzpomenout","pf"," ' I ca n't seem to > remember, but I think we talked about the Nordic race."," "" Nemohu si vzpomenout, ale myslím, že jsme mluvili o nordické rase."
"think","think","myslím","myslet","impf"," ' I ca n't seem to > remember, but I think we talked about the Nordic race."," "" Nemohu si vzpomenout, ale myslím, že jsme mluvili o nordické rase."
"talked","talk","mluvili","mluvit","impf"," ' I ca n't seem to > remember, but I think we talked about the Nordic race."," "" Nemohu si vzpomenout, ale myslím, že jsme mluvili o nordické rase."
"dressed","dress","Oblékala","oblékat","impf"," She dressed in white, and had a little white roadster, and all day long the telephone rang in her house and excited young officers from Camp Taylor demanded the privilege of monopolizing her that night."," Oblékala se do bílého a měla malý bílý roadster a po celý boží den zvonil u nich telefon a vzrušení mladí důstojníci z Camp Tayloru se dožadovali privilegia, aby si ji na ten večer mohli vyhradit pro sebe."
"rang","ring","zvonil","zvonit","impf"," She dressed in white, and had a little white roadster, and all day long the telephone rang in her house and excited young officers from Camp Taylor demanded the privilege of monopolizing her that night."," Oblékala se do bílého a měla malý bílý roadster a po celý boží den zvonil u nich telefon a vzrušení mladí důstojníci z Camp Tayloru se dožadovali privilegia, aby si ji na ten večer mohli vyhradit pro sebe."
"came","come","přišla","přijít","pf"," When I came opposite her house that morning her white roadster was beside the curb, and she was sitting in it with a lieutenant I had never seen before."," Když jsem tenkrát ráno přišla k jejímu domu, bílý roadster stál u chodníku a ona v něm seděla s poručíkem, kterého jsem ještě nikdy neviděla."
"seen","see","přišla","přijít","pf"," When I came opposite her house that morning her white roadster was beside the curb, and she was sitting in it with a lieutenant I had never seen before."," Když jsem tenkrát ráno přišla k jejímu domu, bílý roadster stál u chodníku a ona v něm seděla s poručíkem, kterého jsem ještě nikdy neviděla."
"sitting","sit","seděla","sedět","impf"," When I came opposite her house that morning her white roadster was beside the curb, and she was sitting in it with a lieutenant I had never seen before."," Když jsem tenkrát ráno přišla k jejímu domu, bílý roadster stál u chodníku a ona v něm seděla s poručíkem, kterého jsem ještě nikdy neviděla."
"seen","see","neviděla","vidět","impf"," When I came opposite her house that morning her white roadster was beside the curb, and she was sitting in it with a lieutenant I had never seen before."," Když jsem tenkrát ráno přišla k jejímu domu, bílý roadster stál u chodníku a ona v něm seděla s poručíkem, kterého jsem ještě nikdy neviděla."
"see","see","neviděla","vidět","impf"," They were so engrossed in each other that she did n't see me until I was five feet away."," Byli do sebe tak zabráni, že mě neviděla, až jsem byla pět stop od nich."
"overlooked","overlook","přehlédli","přehlédnout","pf"," My own house was an eyesore, but it was a small eyesore, and it had been overlooked, so I had a view of the water, a partial view of my neighbour 's lawn, and the consoling proximity of millionaires - all for eighty dollars a month."," Můj vlastní dům byl pro ostudu, ale byla to malá ostuda a přehlédli ji, takže jsem měl vyhlídku na vodu, částečnou vyhlídku na sousedův trávník a potěšení z blízkosti milionářů - to vše za osmdesát dolarů měsíčně."
"go","go","Jděte","jít","impf"," ' You go."," "" Jděte vy."
"meet","meet","sejdeme","sejít","pf"," We 'll ride around and meet you after. '"," My se trochu projedeme a sejdeme se potom. """
"argue","argue","hádat","hádat","impf"," ' We ca n't argue about it here, ' Tom said impatiently, as a truck gave out a cursing whistle behind us."," "" Tady se o tom nemůžeme hádat, "" řekl netrpělivě Tom, když se z nákladního auta za námi ozvalo rozhořčené zapískání."
"said","say","řekl","říci","pf"," ' We ca n't argue about it here, ' Tom said impatiently, as a truck gave out a cursing whistle behind us."," "" Tady se o tom nemůžeme hádat, "" řekl netrpělivě Tom, když se z nákladního auta za námi ozvalo rozhořčené zapískání."
"inquired","inquire","zeptala","zeptat","pf"," ' Having a gay time now? ' she inquired."," "" Už se bavíte dobře? "" zeptala se."
"turned","turn","Otočil","otočit","pf"," I turned again to my new acquaintance."," Otočil jsem se zase ke svému novému známému."
"seen","see","neviděl","vidět","impf"," I have n't even seen the host."," Ještě jsem ani neviděl hostitele."
"live","live","Bydlím","bydlet","impf"," I live over there - ' I waved my hand at the invisible hedge in the distance, ' and this man Gatsby sent over his chauffeur with an invitation. '"," Bydlím tamhle naproti - "" mávl jsem rukou do dálky k neviditelnému živému plotu, "" a ten chlápek Gatsby tam poslal šoféra s pozvánkou. """
"waved","wave","mávl","mávnout","pf"," I live over there - ' I waved my hand at the invisible hedge in the distance, ' and this man Gatsby sent over his chauffeur with an invitation. '"," Bydlím tamhle naproti - "" mávl jsem rukou do dálky k neviditelnému živému plotu, "" a ten chlápek Gatsby tam poslal šoféra s pozvánkou. """
"sent","send","poslal","poslat","pf"," I live over there - ' I waved my hand at the invisible hedge in the distance, ' and this man Gatsby sent over his chauffeur with an invitation. '"," Bydlím tamhle naproti - "" mávl jsem rukou do dálky k neviditelnému živému plotu, "" a ten chlápek Gatsby tam poslal šoféra s pozvánkou. """
"understand","understand","neporozuměl","porozumět","pf"," For a moment he looked at me as if he failed to understand."," Na okamžik se na mne zadíval, jako by neporozuměl."
"said","say","řekl","říci","pf"," ' I 'm Gatsby, ' he said suddenly."," "" Já jsem Gatsby, "" řekl najednou."
"supposed","suppose","Předpokládal","předpokládat","impf"," I supposed there 'd be a curious crowd around there all day with little boys searching for dark spots in the dust, and some garrulous man telling over and over what had happened, until it became less and less real even to him and he could tell it no longer, and Myrtle Wilson 's tragic achievement was forgotten."," Předpokládal jsem, že tam bude celý zástup zvědavců, kluci, kteří budou hledat tmavé skvrny v prachu, a nějaký upovídaný člověk, který bude pořád dokola vykládat, co se tu stalo, až to i pro něho bude stále míň pravda a on to už dál nebude moci vyprávět a na tragický výkon Myrtle Wilsonové se zapomene."
"searching","search","hledat","hledat","impf"," I supposed there 'd be a curious crowd around there all day with little boys searching for dark spots in the dust, and some garrulous man telling over and over what had happened, until it became less and less real even to him and he could tell it no longer, and Myrtle Wilson 's tragic achievement was forgotten."," Předpokládal jsem, že tam bude celý zástup zvědavců, kluci, kteří budou hledat tmavé skvrny v prachu, a nějaký upovídaný člověk, který bude pořád dokola vykládat, co se tu stalo, až to i pro něho bude stále míň pravda a on to už dál nebude moci vyprávět a na tragický výkon Myrtle Wilsonové se zapomene."
"telling","tell","vyprávět","vyprávět","impf"," I supposed there 'd be a curious crowd around there all day with little boys searching for dark spots in the dust, and some garrulous man telling over and over what had happened, until it became less and less real even to him and he could tell it no longer, and Myrtle Wilson 's tragic achievement was forgotten."," Předpokládal jsem, že tam bude celý zástup zvědavců, kluci, kteří budou hledat tmavé skvrny v prachu, a nějaký upovídaný člověk, který bude pořád dokola vykládat, co se tu stalo, až to i pro něho bude stále míň pravda a on to už dál nebude moci vyprávět a na tragický výkon Myrtle Wilsonové se zapomene."
"tell","tell","vyprávět","vyprávět","impf"," I supposed there 'd be a curious crowd around there all day with little boys searching for dark spots in the dust, and some garrulous man telling over and over what had happened, until it became less and less real even to him and he could tell it no longer, and Myrtle Wilson 's tragic achievement was forgotten."," Předpokládal jsem, že tam bude celý zástup zvědavců, kluci, kteří budou hledat tmavé skvrny v prachu, a nějaký upovídaný člověk, který bude pořád dokola vykládat, co se tu stalo, až to i pro něho bude stále míň pravda a on to už dál nebude moci vyprávět a na tragický výkon Myrtle Wilsonové se zapomene."
"forgotten","forget","zapomene","zapomenout","pf"," I supposed there 'd be a curious crowd around there all day with little boys searching for dark spots in the dust, and some garrulous man telling over and over what had happened, until it became less and less real even to him and he could tell it no longer, and Myrtle Wilson 's tragic achievement was forgotten."," Předpokládal jsem, že tam bude celý zástup zvědavců, kluci, kteří budou hledat tmavé skvrny v prachu, a nějaký upovídaný člověk, který bude pořád dokola vykládat, co se tu stalo, až to i pro něho bude stále míň pravda a on to už dál nebude moci vyprávět a na tragický výkon Myrtle Wilsonové se zapomene."
"want","want","chci","chtít","impf"," Now I want to go back a little and tell what happened at the garage after we left there the night before."," Teď se chci vrátit trochu nazpět a povědět, co se stalo v správkárně, když jsme odtamtud předešlou noc odjeli."
"tell","tell","povědět","povědět","pf"," Now I want to go back a little and tell what happened at the garage after we left there the night before."," Teď se chci vrátit trochu nazpět a povědět, co se stalo v správkárně, když jsme odtamtud předešlou noc odjeli."
"go","go","odjeli","odjet","pf"," Now I want to go back a little and tell what happened at the garage after we left there the night before."," Teď se chci vrátit trochu nazpět a povědět, co se stalo v správkárně, když jsme odtamtud předešlou noc odjeli."
"left","leave","odjeli","odjet","pf"," Now I want to go back a little and tell what happened at the garage after we left there the night before."," Teď se chci vrátit trochu nazpět a povědět, co se stalo v správkárně, když jsme odtamtud předešlou noc odjeli."
"locating","locate","najít","najít","pf"," They had difficulty in locating the sister, Catherine."," Měli potíž s tím, jak najít sestru Kateřinu."
"came","come","Přijel","přijet","pf"," He came down with a hundred people in four private cars, and hired a whole floor of the Muhlbach Hotel, and the day before the wedding he gave her a string of pearls valued at three hundred and fifty thousand dollars."," Přijel se stovkou lidí ve čtyřech soukromých autokarech a najal si celé poschodí v hotelu Muhlbach a den před svatbou jí dal šňůru perel, které měly cenu tři sta padesát tisíc dolarů."
"hired","hire","najal","najmout","pf"," He came down with a hundred people in four private cars, and hired a whole floor of the Muhlbach Hotel, and the day before the wedding he gave her a string of pearls valued at three hundred and fifty thousand dollars."," Přijel se stovkou lidí ve čtyřech soukromých autokarech a najal si celé poschodí v hotelu Muhlbach a den před svatbou jí dal šňůru perel, které měly cenu tři sta padesát tisíc dolarů."
"gave","give","dal","dát","pf"," He came down with a hundred people in four private cars, and hired a whole floor of the Muhlbach Hotel, and the day before the wedding he gave her a string of pearls valued at three hundred and fifty thousand dollars."," Přijel se stovkou lidí ve čtyřech soukromých autokarech a najal si celé poschodí v hotelu Muhlbach a den před svatbou jí dal šňůru perel, které měly cenu tři sta padesát tisíc dolarů."
"came","come","Přišla","přijít","pf"," I came into her room half an hour before the bridal dinner, and found her lying on her bed as lovely as the June night in her flowered dress - and as drunk as a monkey."," Přišla jsem k ní do pokoje půl hodiny před svatební hostinou a zastihla jsem ji nataženou na posteli, půvabnou v květovaných šatech jako červnová noc a opilou jako švestka."
"looked","look","podívala","podívat","pf"," Daisy looked at Tom frowning, and an indefinable expression, at once definitely unfamiliar and vaguely recognizable, as if I had only heard it described in words, passed over Gatsby 's face."," Daisy se zamračeně podívala na Toma a po Gatsbyho obličeji přelétl nepopsatelný výraz, současně naprosto neznámý i neurčitě povědomý, jako kdyby mi o něm jen někdo vyprávěl."
"Come","come","Pojď","jít","impf"," ' Come on, Daisy, ' said Tom, pressing her with his hand toward Gatsby 's car."," "" Pojď, Daisy, "" řekl Tom a strkal ji ke Gatsbyho autu."
"said","say","řekl","říci","pf"," ' Come on, Daisy, ' said Tom, pressing her with his hand toward Gatsby 's car."," "" Pojď, Daisy, "" řekl Tom a strkal ji ke Gatsbyho autu."
"opened","open","Otevřel","otevřít","pf"," He opened the door, but she moved out from the circle of his arm."," Otevřel dveře, ale ona se mu vymkla z objetí."
"ended","end","skončila","skončit","pf"," In spite of the wives ' agreement that such malevolence was beyond credibility, the dispute ended in a short struggle, and both wives were lifted, kicking, into the night."," Třebaže manželky spolu souhlasily, že taková zlovůle je k neuvěření, hádka skončila krátkou potyčkou a obě ženy byly kopajíce odnešeny do noci."
"kicking","kick","kopajíce","kopat","impf"," In spite of the wives ' agreement that such malevolence was beyond credibility, the dispute ended in a short struggle, and both wives were lifted, kicking, into the night."," Třebaže manželky spolu souhlasily, že taková zlovůle je k neuvěření, hádka skončila krátkou potyčkou a obě ženy byly kopajíce odnešeny do noci."
"waited","wait","čekal","čekat","impf"," As I waited for my hat in the hall the door of the library opened and Jordan Baker and Gatsby came out together."," Když jsem čekal v hale na klobouk, otevřely se dveře knihovny a společně vyšli Jordan Bakerová a Gatsby."
"opened","open","otevřely","otevřít","pf"," As I waited for my hat in the hall the door of the library opened and Jordan Baker and Gatsby came out together."," Když jsem čekal v hale na klobouk, otevřely se dveře knihovny a společně vyšli Jordan Bakerová a Gatsby."
"saying","say","Říkal","říkat","impf"," He was saying some last word to her, but the eagerness in his manner tightened abruptly into formality as several people approached him to say good-bye."," Říkal jí něco na ukončenou, ale když se k němu přiblížilo několik lidí, aby se s ním rozloučili, jeho dychtivé chování strnulo náhle ve formálnost."
"say","say","Říkal","říkat","impf"," He was saying some last word to her, but the eagerness in his manner tightened abruptly into formality as several people approached him to say good-bye."," Říkal jí něco na ukončenou, ale když se k němu přiblížilo několik lidí, aby se s ním rozloučili, jeho dychtivé chování strnulo náhle ve formálnost."
"approached","approach","přiblížilo","přiblížit","pf"," He was saying some last word to her, but the eagerness in his manner tightened abruptly into formality as several people approached him to say good-bye."," Říkal jí něco na ukončenou, ale když se k němu přiblížilo několik lidí, aby se s ním rozloučili, jeho dychtivé chování strnulo náhle ve formálnost."
"toppled","topple","spadl","spadnout","pf"," Once he nearly toppled down a flight of stairs."," Jednou málem spadl se schodů."
"garnished","garnish","zdobila","zdobit","impf"," His bedroom was the simplest room of all - except where the dresser was garnished with a toilet set of pure dull gold."," Jeho ložnice byla nejjednodušší pokoj ze všech - kromě toiletního stolku, který zdobila souprava z čistého matného zlata."
"took","take","vzala","vzít","pf"," Daisy took the brush with delight, and smoothed her hair, whereupon Gatsby sat down and shaded his eyes and began to laugh."," Daisy vzala s potěšením kartáč a uhladila si vlasy, načež si Gatsby sedl, zastínil si oči a začal se smát."
"sat","sit","sedl","sednout","pf"," Daisy took the brush with delight, and smoothed her hair, whereupon Gatsby sat down and shaded his eyes and began to laugh."," Daisy vzala s potěšením kartáč a uhladila si vlasy, načež si Gatsby sedl, zastínil si oči a začal se smát."
