"saw","see","uviděl","uvidět","pf"," Then he saw the corn and the meat and the potatoes."," Potom uviděl kukuřici, maso a brambory."
"use","use","používá","používat","impf"," He pats his bare chest as if looking for his pass, grabs his penis and pretends to use it as a key to let him into the room that is being guarded."," Popleskává se po holých prsou, jako by hledal propustku, popadne svůj penis a předstírá, že ho používá jako klíče, aby se dostal do střežené místnosti."
"opens","open","Otevře","otevřít","pf"," He opens the window and steps out onto the verandah."," Otevře okno a vyleze na verandu."
"dancing","dance","tančilo","tančit","impf"," When I went back into the desert, I took with me the evenings of dancing to the 78 of "" Souvenirs "" in the bars, the women pacing like greyhounds, leaning against you while you muttered into their shoulders during "" My Sweet. """," Když jsem se vrátil na poušť, odnášel jsem si s sebou večery v barech, kde se tančilo k "" Vzpomínkám "" na osmasedmdesátce a kde ženy kráčely ladně jako chrti a tiskly se k vám a člověk přitom šeptal do jejich ramen při melodii "" Miláčku můj ""."
"pacing","pace","kráčely","kráčet","impf"," When I went back into the desert, I took with me the evenings of dancing to the 78 of "" Souvenirs "" in the bars, the women pacing like greyhounds, leaning against you while you muttered into their shoulders during "" My Sweet. """," Když jsem se vrátil na poušť, odnášel jsem si s sebou večery v barech, kde se tančilo k "" Vzpomínkám "" na osmasedmdesátce a kde ženy kráčely ladně jako chrti a tiskly se k vám a člověk přitom šeptal do jejich ramen při melodii "" Miláčku můj ""."
"increase","increase","zvýšil","zvýšit","pf"," One tribe dyed a whole valley floor, blackening it to increase convection and thereby the possibility of rainfall, and built high structures to pierce the belly of a cloud."," Jeden kmen nabarvil dno celého údolí, načernil je, aby zvýšil proudění a tím i možnost deště, a vybudoval vysoké konstrukce, které měly propíchnout břicho mraku."
"built","build","vybudoval","vybudovat","pf"," One tribe dyed a whole valley floor, blackening it to increase convection and thereby the possibility of rainfall, and built high structures to pierce the belly of a cloud."," Jeden kmen nabarvil dno celého údolí, načernil je, aby zvýšil proudění a tím i možnost deště, a vybudoval vysoké konstrukce, které měly propíchnout břicho mraku."
"believed","believe","Věřily","věřit","impf"," Who believed that if this was done at the right moment they could deflect a storm into an adjacent sphere of the desert, towards another, less loved tribe."," Věřily, že pokud tak učiní ve správné chvíli, odvrátí písečnou bouři do sousední pouštní oblasti, směrem k jinému, méně milovanému kmeni."
"done","do","učiní","učinit","pf"," Who believed that if this was done at the right moment they could deflect a storm into an adjacent sphere of the desert, towards another, less loved tribe."," Věřily, že pokud tak učiní ve správné chvíli, odvrátí písečnou bouři do sousední pouštní oblasti, směrem k jinému, méně milovanému kmeni."
"stopped","stop","nepřestala","přestat","pf"," They would carry a severed arm down a hall, or swab at blood that never stopped, as if the wound were a well, and they began to believe in nothing, trusted nothing."," Odnášely chodbou uříznutou paži, anebo vysoušely krev, která vůbec nepřestala téct, jako by ta rána byla nějaká studně, a už pomalu ničemu nevěřily, ničemu nedůvěřovaly."
"believe","believe","nevěřily","věřit","impf"," They would carry a severed arm down a hall, or swab at blood that never stopped, as if the wound were a well, and they began to believe in nothing, trusted nothing."," Odnášely chodbou uříznutou paži, anebo vysoušely krev, která vůbec nepřestala téct, jako by ta rána byla nějaká studně, a už pomalu ničemu nevěřily, ničemu nedůvěřovaly."
"trusted","trust","nevěřily","věřit","impf"," They would carry a severed arm down a hall, or swab at blood that never stopped, as if the wound were a well, and they began to believe in nothing, trusted nothing."," Odnášely chodbou uříznutou paži, anebo vysoušely krev, která vůbec nepřestala téct, jako by ta rána byla nějaká studně, a už pomalu ničemu nevěřily, ničemu nedůvěřovaly."
"believe","believe","nedůvěřovaly","důvěřovat","impf"," They would carry a severed arm down a hall, or swab at blood that never stopped, as if the wound were a well, and they began to believe in nothing, trusted nothing."," Odnášely chodbou uříznutou paži, anebo vysoušely krev, která vůbec nepřestala téct, jako by ta rána byla nějaká studně, a už pomalu ničemu nevěřily, ničemu nedůvěřovaly."
"trusted","trust","nedůvěřovaly","důvěřovat","impf"," They would carry a severed arm down a hall, or swab at blood that never stopped, as if the wound were a well, and they began to believe in nothing, trusted nothing."," Odnášely chodbou uříznutou paži, anebo vysoušely krev, která vůbec nepřestala téct, jako by ta rána byla nějaká studně, a už pomalu ničemu nevěřily, ničemu nedůvěřovaly."
"exploded","explode","vybuchla","vybuchnout","pf"," They broke the way a man dismantling a mine broke the second his geography exploded."," Hroutily se, tak jako se zhroutil člověk zneškodňující minu ve chvíli, kdy mu vybuchla."
"gave","give","dal","dát","pf"," The way Hana broke in Santa Chiara Hospital when an official walked down the space between a hundred beds and gave her a letter that told her of the death of her father."," Tak jako se zhroutila Hana v Nemocnici svaté Kláry, když za ní zašel celou tu dálku mezi stovkou postelí jeden člověk ze správy nemocnice a dal jí dopis oznamující smrt jejího otce."
"need","need","Potřebuju","potřebovat","impf"," I need it with me. """," Potřebuju ho s sebou. """
"excuse","excuse","promiňte","prominout","pf"," "" It was forward of me, excuse me. """," "" Byla to ode mě troufalost, promiňte. """
"return","return","vrátím","vrátit","pf"," "" When I return I shall show it to you."," "" Až se vrátím, ukážu vám ho."
"show","show","ukážu","ukázat","pf"," "" When I return I shall show it to you."," "" Až se vrátím, ukážu vám ho."
"travel","travel","cestovat","cestovat","impf"," It is unusual for me to travel without it. """," Nemám ve zvyku cestovat bez něj. """
"explained","explain","Vysvětlil","vysvětlit","pf"," I explained it was more a commonplace book, and she bowed to that."," Vysvětlil jsem jí, že mně spíš slouží spíš k výpiskům, a ona to vzala na vědomí."
"leave","leave","odejít","odejít","pf"," I was able to leave without feeling in any way selfish."," Mohl jsem odejít, aniž jsem si připadal sebemíň sobecky."
"remember","remember","pamatuje","pamatovat","impf"," ' Most of you, I am sure, remember the tragic circumstances of the death of Geoffrey Clifton at Gilf Kebir, followed later by the disappearance of his wife, Katharine Clifton, which took place during the 1939 desert expedition in search of Zerzura."," "" Většina z vás si jistě pamatuje na tragické okolnosti, za kterých u Gilf Kebíru zemřel Geoffrey Clifton, a jak nato zmizela jeho žena Katharine Cliftonová, což se událo během pouštní výpravy pátrající po Zerzuře roku 1939."
"begin","begin","zahájit","zahájit","pf"," "" I cannot begin this meeting tonight without referring very sympathetically to those tragic occurrences."," Nemohu zahájit dnešní setkání, aniž bych s hlubokou účastí nepřipomněl ony tragické události."
"articulated","articulate","vyjádřila","vyjádřit","pf"," Clara, who had once been an actress, the articulate one, who had articulated fury when they all left for the war."," Od Clary, která kdysi byla herečkou, s darem jasného vyjadřování, a která jasně vyjádřila svůj vztek, když všichni odešli do války."
"left","leave","odešli","odejít","pf"," Clara, who had once been an actress, the articulate one, who had articulated fury when they all left for the war."," Od Clary, která kdysi byla herečkou, s darem jasného vyjadřování, a která jasně vyjádřila svůj vztek, když všichni odešli do války."
"carried","carry","nosí","nosit","impf"," All through the last year in Italy she has carried the letters from Clara."," Po celý poslední rok v Itálii s sebou nosí dopisy od Clary."
"tore","tear","vytrhla","vytrhnout","pf"," Letters she knows were written on a pink rock on an island in Georgian Bay, written with the wind coming over the water and curling the paper of her notebook before she finally tore the pages out and put them in an envelope for Hana."," Dopisy, které, jak ví, byly psané na růžové skále na jednom ostrově v zátoce Georgian Bay, a při psaní vál od vody vítr a zvedal Claře listy papíru z bloku, než nakonec stránky vytrhla a dala je do obálky pro Hanu."
"put","put","dala","dát","pf"," Letters she knows were written on a pink rock on an island in Georgian Bay, written with the wind coming over the water and curling the paper of her notebook before she finally tore the pages out and put them in an envelope for Hana."," Dopisy, které, jak ví, byly psané na růžové skále na jednom ostrově v zátoce Georgian Bay, a při psaní vál od vody vítr a zvedal Claře listy papíru z bloku, než nakonec stránky vytrhla a dala je do obálky pro Hanu."
"need","need","potřebuju","potřebovat","impf"," First, he thought, I need shoes with rubber on the bottom."," Nejdřív potřebuju boty s gumovou podrážkou, říkal si v duchu."
"need","need","Potřebuju","potřebovat","impf"," I need gelato."," Potřebuju gelato, zmrzlinu."
"fall","fall","usnout","usnout","pf"," He found it difficult to fall asleep on the train, shaking from side to side."," Nebylo to snadné, usnout ve vlaku, kde to s ním házelo ze strany na stranu."
"looking","look","dívala","dívat","impf"," How did she hold this story about me, pariah to the group after some scene or other where I had disgraced myself, Bagnold laughing, her husband who was a good man worrying about me, and Madox getting up and walking to a window and looking out towards the south section of the city."," Jak se dívala na tohle vyprávění o mně, páriovi v té skupině po různých událostech, v nichž jsem se shodil, a kdy se Bagnold smál, její manžel, dobrák, si se mnou dělal starosti a Madox se zvedl, šel k oknu a zadíval se směrem k jižní části města."
"laughing","laugh","smál","smát","impf"," How did she hold this story about me, pariah to the group after some scene or other where I had disgraced myself, Bagnold laughing, her husband who was a good man worrying about me, and Madox getting up and walking to a window and looking out towards the south section of the city."," Jak se dívala na tohle vyprávění o mně, páriovi v té skupině po různých událostech, v nichž jsem se shodil, a kdy se Bagnold smál, její manžel, dobrák, si se mnou dělal starosti a Madox se zvedl, šel k oknu a zadíval se směrem k jižní části města."
"did","do","dělal","dělat","impf"," How did she hold this story about me, pariah to the group after some scene or other where I had disgraced myself, Bagnold laughing, her husband who was a good man worrying about me, and Madox getting up and walking to a window and looking out towards the south section of the city."," Jak se dívala na tohle vyprávění o mně, páriovi v té skupině po různých událostech, v nichž jsem se shodil, a kdy se Bagnold smál, její manžel, dobrák, si se mnou dělal starosti a Madox se zvedl, šel k oknu a zadíval se směrem k jižní části města."
"did","do","šel","jít","impf"," How did she hold this story about me, pariah to the group after some scene or other where I had disgraced myself, Bagnold laughing, her husband who was a good man worrying about me, and Madox getting up and walking to a window and looking out towards the south section of the city."," Jak se dívala na tohle vyprávění o mně, páriovi v té skupině po různých událostech, v nichž jsem se shodil, a kdy se Bagnold smál, její manžel, dobrák, si se mnou dělal starosti a Madox se zvedl, šel k oknu a zadíval se směrem k jižní části města."
"walking","walk","šel","jít","impf"," How did she hold this story about me, pariah to the group after some scene or other where I had disgraced myself, Bagnold laughing, her husband who was a good man worrying about me, and Madox getting up and walking to a window and looking out towards the south section of the city."," Jak se dívala na tohle vyprávění o mně, páriovi v té skupině po různých událostech, v nichž jsem se shodil, a kdy se Bagnold smál, její manžel, dobrák, si se mnou dělal starosti a Madox se zvedl, šel k oknu a zadíval se směrem k jižní části města."
"believe","believe","Věřím","věřit","impf"," "" I believe indeed that she is of all women the fairest and I entreat you not to ask of me that which it is not lawful for me to do. """," "" Věřím ti, že je ona ze všech žen nejkrásnější, a prosím tě, abys ode mne nežádal, co se nesluší. """
"ask","ask","prosím","prosit","impf"," "" I believe indeed that she is of all women the fairest and I entreat you not to ask of me that which it is not lawful for me to do. """," "" Věřím ti, že je ona ze všech žen nejkrásnější, a prosím tě, abys ode mne nežádal, co se nesluší. """
"ask","ask","nežádal","žádat","impf"," "" I believe indeed that she is of all women the fairest and I entreat you not to ask of me that which it is not lawful for me to do. """," "" Věřím ti, že je ona ze všech žen nejkrásnější, a prosím tě, abys ode mne nežádal, co se nesluší. """
"arrived","arrive","nastala","nastat","pf"," By the time war arrived, after ten years in the desert, it was easy for me to slip across borders, not to belong to anyone, to any nation."," Když nastala válka, po deseti letech v poušti bylo pro mě snadné proklouznout přes hranice, nepatřit nikomu, žádnému národu."
"travel","travel","cestujeme","cestovat","impf"," By now we travel in A-type Ford cars with box bodies and are using for the first time large balloon tires known as air wheels."," To už cestujeme ve fordech typu A s uzavřenou karosérií a poprvé užíváme velkých balónových pneumatik, známých coby vzduchová kola."
"using","use","užíváme","užívat","impf"," By now we travel in A-type Ford cars with box bodies and are using for the first time large balloon tires known as air wheels."," To už cestujeme ve fordech typu A s uzavřenou karosérií a poprvé užíváme velkých balónových pneumatik, známých coby vzduchová kola."
"thought","think","myslela","myslet","impf"," All through the time we came up the Adriatic behind the troops I thought of it."," Celý čas, co jsme šli za vojskem na sever podél Jadranu jsem na to myslela."
"worked","work","Pracovala","pracovat","impf"," I worked very hard in the hospitals and retreated from everybody around me."," Pracovala jsem v nemocnicích opravdu tvrdě a před všemi kolem jsem se uzavírala."
"shared","share","sdílela","sdílet","impf"," Except the child, who I shared everything with."," S výjimkou dítěte, s kterým jsem sdílela všechno."
"talking","talk","Hovořila","hovořit","impf"," I was talking to him while I bathed and nursed patients."," Hovořila jsem s ním a přitom jsem omývala a ošetřovala pacienty."
"nursed","nurse","ošetřovala","ošetřovat","impf"," I was talking to him while I bathed and nursed patients."," Hovořila jsem s ním a přitom jsem omývala a ošetřovala pacienty."
"died","die","umřel","umřít","pf"," "" And then your father died. """," "" A pak ti umřel táta. """
"did","do","dělat","dělat","impf"," If her husband did n't have to work with him she would prefer not to see him again."," Kdyby s ním její manžel nemusel dělat, radši by ho už víc neviděla."
"work","work","dělat","dělat","impf"," If her husband did n't have to work with him she would prefer not to see him again."," Kdyby s ním její manžel nemusel dělat, radši by ho už víc neviděla."
"see","see","neviděla","vidět","impf"," If her husband did n't have to work with him she would prefer not to see him again."," Kdyby s ním její manžel nemusel dělat, radši by ho už víc neviděla."
"pulled","pull","Vytáhla","vytáhnout","pf"," He pulled her pack out of the rear and was about to carry it into the lobby."," Vytáhla si zezadu svůj tlumok a chystala si ho dát do vestibulu."
"working","work","pracoval","pracovat","impf"," In the early part of the war I was working in Cairo-the Tripoli Axis."," Na začátku války jsem pracoval v Káhiře - Tripolská osa."
"sent","send","poslali","poslat","pf"," "" In 1942 the Germans sent a spy called Eppler into Cairo before the battle of El Alamein."," "" V roce 1942 poslali Němci agenta jménem Eppler do Káhiry před bitvou u El Alameinu."
"used","use","Používal","používat","impf"," He used a copy of Daphne du Maurier 's novel Rebecca as a code book to send messages back to Rommel on troop movements."," Používal výtisk románu Rebeka, či Mrtvá a živá, od Daphne du Maurierové jako kódovací knihu k posílání zpráv Rommelovi o pohybu vojsk."
"read","read","četl","číst","impf"," Even I read it. """," Dokonce i já ji četl. """
"exhausts","exhaust","vyčerpává","vyčerpávat","impf"," He has reached an age when he suddenly realizes that the sun of India exhausts him."," Dospěl do věku, kdy si najednou uvědomuje, že ho indické světlo vyčerpává."
"removes","remove","sundá","sundat","pf"," He glides under the willows by the canal and then stops at a small neighbourhood of houses, removes his cycle clips and carries the bicycle down the steps into the small garden his wife has nurtured."," Jede pod vrbami podél kanálu a pak zastaví u skupinky domků, sundá si klipsy a odnese kolo po schodech do malé zahrádky, o kterou pečuje jeho manželka."
"nurtured","nurture","pečuje","pečovat","impf"," He glides under the willows by the canal and then stops at a small neighbourhood of houses, removes his cycle clips and carries the bicycle down the steps into the small garden his wife has nurtured."," Jede pod vrbami podél kanálu a pak zastaví u skupinky domků, sundá si klipsy a odnese kolo po schodech do malé zahrádky, o kterou pečuje jeho manželka."
"brought","bring","vyneslo","vynést","pf"," And something this evening has brought the stone out of the water and allowed it to move back within the air towards the hill town in Italy."," A dnešního večera vyneslo cosi kámen z vody a nechalo ho unášet vzduchem nazpátek k tomu horskému městečku v Itálii."
"allowed","allow","nechalo","nechat","pf"," And something this evening has brought the stone out of the water and allowed it to move back within the air towards the hill town in Italy."," A dnešního večera vyneslo cosi kámen z vody a nechalo ho unášet vzduchem nazpátek k tomu horskému městečku v Itálii."
"taught","teach","Naučil","naučit","pf"," He had taught her the somersault."," Naučil ji dělat kotrmelce."
"made","make","přiměla","přimět","pf"," Who knew what country the war had made him live in."," Kdo ví, v které zemi ho válka přiměla žít."
"gripped","grip","Popadla","popadnout","pf"," She gripped the front of Roundell 's jacket once in a lobby and shook it, laughing at him as he muttered something, and he followed the innocent government aide for two days to see if there was more between them."," Popadla jednou v hale Roundella na prsou za kazajku a cloumala jím a přitom se na něho smála, jak něco brumlal, a on potom toho nevinného vládního poradce po dva dny sledoval, aby zjistil, zda mezi nimi není něco víc."
"laughing","laugh","smála","smát","impf"," She gripped the front of Roundell 's jacket once in a lobby and shook it, laughing at him as he muttered something, and he followed the innocent government aide for two days to see if there was more between them."," Popadla jednou v hale Roundella na prsou za kazajku a cloumala jím a přitom se na něho smála, jak něco brumlal, a on potom toho nevinného vládního poradce po dva dny sledoval, aby zjistil, zda mezi nimi není něco víc."
"followed","follow","sledoval","sledovat","impf"," She gripped the front of Roundell 's jacket once in a lobby and shook it, laughing at him as he muttered something, and he followed the innocent government aide for two days to see if there was more between them."," Popadla jednou v hale Roundella na prsou za kazajku a cloumala jím a přitom se na něho smála, jak něco brumlal, a on potom toho nevinného vládního poradce po dva dny sledoval, aby zjistil, zda mezi nimi není něco víc."
"see","see","sledoval","sledovat","impf"," She gripped the front of Roundell 's jacket once in a lobby and shook it, laughing at him as he muttered something, and he followed the innocent government aide for two days to see if there was more between them."," Popadla jednou v hale Roundella na prsou za kazajku a cloumala jím a přitom se na něho smála, jak něco brumlal, a on potom toho nevinného vládního poradce po dva dny sledoval, aby zjistil, zda mezi nimi není něco víc."
"trust","trust","nevěřil","věřit","impf"," He did not trust her last endearments to him anymore."," Už nevěřil jejím posledním projevům něhy."
"stand","stand","Nesnášel","snášet","impf"," He could n't stand even her tentative smiles at him."," Nesnášel dokonce, ani když se na něho zkusmo usmála."
"passed","pass","podala","podat","pf"," If she passed him a drink he would not drink it."," Když mu podala skleničku, nevypil ji."
"drink","drink","nevypil","vypít","pf"," If she passed him a drink he would not drink it."," Když mu podala skleničku, nevypil ji."
"drink","drink","nevypil","vypít","pf"," If she passed him a drink he would not drink it."," Když mu podala skleničku, nevypil ji."
"puts","put","Položí","položit","pf"," She puts her hand to his neck, then her mouth to his mouth."," Položí mu ruku na krk a svá ústa na jeho."
"want","want","Chci","chtít","impf"," "" I want to see you. """," "" Chci tě vidět. """
"see","see","vidět","vidět","impf"," "" I want to see you. """," "" Chci tě vidět. """
"save","save","zachránit","zachránit","pf"," Reason was the only thing that might save them, and there was no reason."," Rozum bylo to jediné, co je mohlo zachránit, a rozum neexistoval."
"cared","care","ošetřovala","ošetřovat","impf"," Hana bent closer to the wounds she cared for, her mouth whispering to soldiers."," Hana se skláněla níž k zraněním, která ošetřovala, a šeptem k vojákům promlouvala."
"laughed","laugh","smála","smát","impf"," She called everyone "" Buddy, "" and laughed at the song that had the lines"," Každého oslovovala "" kamaráde "" a smála se písničce s veršíky"
"aiding","aid","pomáhala","pomáhat","impf"," Miss Morden, behind him, was also coming slowly down the hill, a satchel over her shoulder, aiding herself with a rolled umbrella."," Slečna Mordenová za ním také pomalu sestupovala z pahorku, kabelu přes rameno, a pomáhala si zavřeným deštníkem."
"opened","open","otevřela","otevřít","pf"," She stopped ten feet above the horse, un- furled the umbrella and sat within its shade. Then she opened up her notebooks."," Zastavila se tři metry nad koněm, otevřela deštník a posadila se do jeho stínu."
"sat","sit","posadila","posadit","pf"," She stopped ten feet above the horse, un- furled the umbrella and sat within its shade. Then she opened up her notebooks."," Zastavila se tři metry nad koněm, otevřela deštník a posadila se do jeho stínu."
"applauding","applaud","tleskali","tleskat","impf"," They were all laughing and applauding and hugging each other in the officers ' mess."," V důstojnické kantýně všichni tleskali a smáli se a objímali."
"laughing","laugh","smáli","smát","impf"," They were all laughing and applauding and hugging each other in the officers ' mess."," V důstojnické kantýně všichni tleskali a smáli se a objímali."
"hugging","hug","objímali","objímat","impf"," They were all laughing and applauding and hugging each other in the officers ' mess."," V důstojnické kantýně všichni tleskali a smáli se a objímali."
"solved","solve","nevyřeší","vyřešit","pf"," The problem would not be solved by embracing it."," Problém se nevyřeší tím, že si ho uvědomíme."
"seems","seem","Zdá","zdát","impf"," She seems to be in no hurry to go back up the slope, back to safety."," Zdá se, že slečna Mordenová nijak nespěchá, aby se vrátila zpátky na kopec do bezpečí."
"remind","remind","připomínat","připomínat","impf"," And it would seem rude to remind her that she should return."," A vypadalo by to hrubě, připomínat jí, že by se měla vrátit."
"return","return","vrátit","vrátit","pf"," And it would seem rude to remind her that she should return."," A vypadalo by to hrubě, připomínat jí, že by se měla vrátit."
"talks","talk","hovoří","hovořit","impf"," She simply talks about the wretched heat and the fact that at least they have booked rooms in town with baths attached, which they can all look forward to."," Ona jenom hovoří o tom zoufalém vedru, a aspoň že zamluvili pokoje s koupelnami, na což se všichni můžou těšit."
"booked","book","zamluvili","zamluvit","pf"," She simply talks about the wretched heat and the fact that at least they have booked rooms in town with baths attached, which they can all look forward to."," Ona jenom hovoří o tom zoufalém vedru, a aspoň že zamluvili pokoje s koupelnami, na což se všichni můžou těšit."
"begins","begin","Začne","začít","pf"," She begins a rambling story about how she met Lord Suffolk."," Začne nesouvisle líčit, jak se seznámila s lordem Suffolkem."
"tell","tell","pověz","povědět","pf"," Okay, tell me, she thought, take me somewhere."," Dobře, pověz mi to, myslela si, vezmi mě někam."
"thought","think","myslela","myslet","impf"," Okay, tell me, she thought, take me somewhere."," Dobře, pověz mi to, myslela si, vezmi mě někam."
"take","take","vezmi","vzít","pf"," Okay, tell me, she thought, take me somewhere."," Dobře, pověz mi to, myslela si, vezmi mě někam."
"feeding","feed","krmil","krmit","impf"," Caravaggio, who was by now probably feeding the stray dog something from the kitchen of the Villa Bruscoli, if that was what its name was."," Caravaggia, který zatím nejspíš něčím krmil zatoulaného psa v kuchyni Villy Bruscoli, pokud se takhle jmenuje."
"translated","translate","přeložil","přeložit","pf"," Poliziano translated Homer."," Poliziano přeložil Homéra."
"started","start","Začal","začít","pf"," He started collecting various objects around himself, putting them into his satchel."," Začal sbírat různé věci kolem sebe a ukládat je do brašny."
"collecting","collect","sbírat","sbírat","impf"," He started collecting various objects around himself, putting them into his satchel."," Začal sbírat různé věci kolem sebe a ukládat je do brašny."
"putting","put","ukládat","ukládat","impf"," He started collecting various objects around himself, putting them into his satchel."," Začal sbírat různé věci kolem sebe a ukládat je do brašny."
"saw","see","viděla","vidět","impf"," She looked up into the tree and then only by chance looked back down and saw his hands shaking, tense and hard like an epileptic 's, his breathing deep and fast, over in a moment."," Ona se zahleděla nahoru do stromu a potom jenom náhodou zase oči sklopila a viděla, jak se mu ruce třesou, strnulé a ztuhlé jako ruce epileptika, jak zhluboka a rychle oddechuje, ve chvilce vyřízený."
"shaking","shake","třesou","třást","impf"," She looked up into the tree and then only by chance looked back down and saw his hands shaking, tense and hard like an epileptic 's, his breathing deep and fast, over in a moment."," Ona se zahleděla nahoru do stromu a potom jenom náhodou zase oči sklopila a viděla, jak se mu ruce třesou, strnulé a ztuhlé jako ruce epileptika, jak zhluboka a rychle oddechuje, ve chvilce vyřízený."
"hear","hear","Slyšel","slyšet","impf"," "" Did you hear what I said? """," "" Slyšel jste, co jsem říkala? """
"said","say","říkala","říkat","impf"," "" Did you hear what I said? """," "" Slyšel jste, co jsem říkala? """
"thought","think","Myslela","myslet","impf"," "" I thought I was going to die."," "" Myslela jsem, že umřu."
"die","die","umřu","umřít","pf"," "" I thought I was going to die."," "" Myslela jsem, že umřu."
"wanted","want","Chtěla","chtít","impf"," I wanted to die."," Chtěla jsem umřít."
"die","die","umřít","umřít","pf"," I wanted to die."," Chtěla jsem umřít."
"said","say","neříkal","říkat","impf"," He said nothing more, he now had to think as clearly as he could, as if he were alone."," On už nic neříkal, musel teď uvažovat co nejjasněji, jako by tam byl sám."
"think","think","uvažovat","uvažovat","impf"," He said nothing more, he now had to think as clearly as he could, as if he were alone."," On už nic neříkal, musel teď uvažovat co nejjasněji, jako by tam byl sám."
"took","take","vzala","vzít","pf"," She came up to him and took back one of the wires."," Přistoupila k němu a zase mu jeden drát vzala."
"erased","erase","vymazal","vymazat","pf"," He was not conscious of this at all, her presence erased."," Vůbec si to neuvědomoval, úplně ji vymazal z hlavy."
"seeing","see","sledoval","sledovat","impf"," He travelled the path of the bomb fuze again, alongside the mind that had choreographed this, touching all the key points, seeing the X ray of it, the band music filling everything else."," Znovu sledoval vedení k zapalovači bomby a vmýšlel se do uvažování toho, kdo tohle všechno vypracoval, dotýkal se klíčových míst, viděl je jako na rentgenu, a všechno ostatní překrývala taneční hudba."
"touching","touch","dotýkal","dotýkat","impf"," He travelled the path of the bomb fuze again, alongside the mind that had choreographed this, touching all the key points, seeing the X ray of it, the band music filling everything else."," Znovu sledoval vedení k zapalovači bomby a vmýšlel se do uvažování toho, kdo tohle všechno vypracoval, dotýkal se klíčových míst, viděl je jako na rentgenu, a všechno ostatní překrývala taneční hudba."
"seeing","see","viděl","vidět","impf"," He travelled the path of the bomb fuze again, alongside the mind that had choreographed this, touching all the key points, seeing the X ray of it, the band music filling everything else."," Znovu sledoval vedení k zapalovači bomby a vmýšlel se do uvažování toho, kdo tohle všechno vypracoval, dotýkal se klíčových míst, viděl je jako na rentgenu, a všechno ostatní překrývala taneční hudba."
"says","say","řekne","říci","pf"," "" I 'm from Upper America, "" she says."," "" Já jsem ze severních končin Ameriky, "" řekne Hana."
"sleeps","sleep","spí","spát","impf"," He sleeps half in and half out of the tent."," Voják spí napůl ve stanu a napůl mimo něj."
"turns","turn","odvrátí","odvrátit","pf"," Then Hana puts down the glasses and turns away."," Potom Hana odloží dalekohled a odvrátí se."
"looked","look","díval","dívat","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"looked","look","díval","dívat","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"looked","look","hleděl","hledět","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"looked","look","hleděl","hledět","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"faces","face","hleděl","hledět","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"looked","look","hledal","hledat","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"looked","look","hledal","hledat","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"searching","search","hledal","hledat","impf"," The sergeant lit a flare, and the sapper lay on the floor and looked up through the rifle 's telescope, looked at the ochre faces as if he were searching for a brother in the crowd."," Seržant rozsvítil signální světlo a ženista si lehl na podlahu a díval se vzhůru teleskopem pušky, hleděl na ty okrové tváře, jako by v davu hledal bratra."
"caught","catch","Chytli","chytnout","pf"," "" I was caught jumping from a woman 's window."," "" Chytli mě, když jsem vyskakoval z okna jedné ženy."
"told","tell","povídal","povídat","impf"," That woman I told you about, who took the photograph."," Té, o které jsem ti povídal, co fotografovala."
"Let","let","Nech","nechat","pf"," "" Let me do it. """," "" Nech mě, sundám ti je. """
"pulls","pull","Vytáhne","vytáhnout","pf"," She pulls the bandaged hands out of his coat pockets."," Vytáhne mu obvázané ruce z kapes."
