"try","try","snaží","snažit","impf"," All you do is try to help, and people would think you ’ d murdered someone or something. ’"," Jeden se vždycky snaží pomoct, a lidi si nakonec myslí, že jsme někoho zamordovali nebo co. """
"go","go","odejít","odejít","pf"," ... I will not let you go ( let him go ) ..."," ... nenechám tě odejít ( nechte ho odejít ) ..."
"let","let","nechte","nechat","pf"," ... I will not let you go ( let him go ) ..."," ... nenechám tě odejít ( nechte ho odejít ) ..."
"let","let","nechte","nechat","pf"," ... I will not let you go ( let him go ) ..."," ... nenechám tě odejít ( nechte ho odejít ) ..."
"go","go","odejít","odejít","pf"," ... I will not let you go ( let him go ) ..."," ... nenechám tě odejít ( nechte ho odejít ) ..."
"go","go","odejít","odejít","pf"," ... I will not let you go ( let him go ) ..."," ... nenechám tě odejít ( nechte ho odejít ) ..."
"do","do","udělat","udělat","pf"," He ’ d have time to do things."," Ještě má čas udělat pár věcí."
"said","say","řekl","říci","pf"," ‘ Oh, ’ said the angel dismissively."," "" Aha, "" řekl anděl pohrdavě."
"use","use","použilo","použít","pf"," ‘ Do you know, Aziraphale, that probably if a million human beings were asked to describe modern music, they wouldn ’ t use the term “ be-bop ”? ’ said Crowley."," "" Víš, Azirafale, že pravděpodobně milion lidských bytostí by k popisu moderní hudby použilo výraz bíbap? "" nadhodil Crowley."
"doing","do","dělala","dělat","impf"," She ’ d been doing arms for too damn long."," Už v těch zbraních dělala po čertech dlouho."
"wanted","want","Chtěla","chtít","impf"," She wanted a change."," Chtěla nějakou změnu."
"broke","break","strhla","strhnout","pf"," Farther down the train a fight broke out."," O kousek dál ve vlaku se strhla rvačka."
"grinned","grin","usmála","usmát","pf"," Scarlett grinned."," Carmina se usmála."
"decided","decide","rozhodl","rozhodnout","pf"," Sable had black hair, a trim black beard, and he had just decided to go corporate."," Temnis měl černé vlasy, dokonale přistřiženou černou bradku a právě se rozhodl, že bude chvilku společenský."
"start","start","nezačínat","začínat","impf"," Seems to me it ’ d be a lot better not to start fightin ’ and jus ’ see what people do."," Já bych řekl, že by bylo mnohem lepší s tou válkou vůbec nezačínat a počkat si, až co s tím udělají lidi."
"do","do","udělají","udělat","pf"," Seems to me it ’ d be a lot better not to start fightin ’ and jus ’ see what people do."," Já bych řekl, že by bylo mnohem lepší s tou válkou vůbec nezačínat a počkat si, až co s tím udělají lidi."
"stop","stop","přestanete","přestat","pf"," If you stop messin ’ them about they might start thinkin ’ properly an ’ they might stop messin ’ the world around."," Když se jim do toho přestanete míchat, třeba jim to konečně začne myslet normálně, věci jim dojdou a přestanou si ničit vlastní svět."
"stop","stop","přestanete","přestat","pf"," If you stop messin ’ them about they might start thinkin ’ properly an ’ they might stop messin ’ the world around."," Když se jim do toho přestanete míchat, třeba jim to konečně začne myslet normálně, věci jim dojdou a přestanou si ničit vlastní svět."
"start","start","začne","začít","pf"," If you stop messin ’ them about they might start thinkin ’ properly an ’ they might stop messin ’ the world around."," Když se jim do toho přestanete míchat, třeba jim to konečně začne myslet normálně, věci jim dojdou a přestanou si ničit vlastní svět."
"stop","stop","přestanou","přestat","pf"," If you stop messin ’ them about they might start thinkin ’ properly an ’ they might stop messin ’ the world around."," Když se jim do toho přestanete míchat, třeba jim to konečně začne myslet normálně, věci jim dojdou a přestanou si ničit vlastní svět."
"stop","stop","přestanou","přestat","pf"," If you stop messin ’ them about they might start thinkin ’ properly an ’ they might stop messin ’ the world around."," Když se jim do toho přestanete míchat, třeba jim to konečně začne myslet normálně, věci jim dojdou a přestanou si ničit vlastní svět."
"added","add","dodal","dodat","pf"," I ’ m not sayin ’ they would, he added conscientiously, ‘ but they might. ’"," Já neříkám, že to tak určitě bude, "" dodal pro jistotu, "" ale mohlo by. """
"said","say","řekl","říci","pf"," ‘ This makes no sense, ’ said the Metatron."," "" To nedává žádný smysl, "" řekl Metatron."
"go","go","jít","jít","impf"," He had nowhere to go."," Nemá kam jít."
"went","go","šel","jít","impf"," He went anyway."," Ale stejně šel."
"heard","hear","slyšela","slyšet","impf"," Madame Tracy heard Mr Shadwell ’ s slow tread come up the stairs."," Madam Tracy slyšela, jak pan Shadwell pomalu vystupuje po schodišti."
"hated","hate","nenáviděl","nenávidět","impf"," Normally he came up the stairs as if he hated every one of them."," Obvykle vyšel po schodech se silným dupotem, jako kdyby schody jeden vedle druhého nenáviděl."
"began","begin","začal","začít","pf"," ‘ Er, things are not what they seem- ’ Aziraphale began, aware even as he said it that as conversational gambits went it lacked a certain polish."," "" Tedy poslyšte, "" začal Azirafal, "" věci vždycky nejsou to, na co vypadají - "" a už když ta slova vypouštěl z úst, uvědomoval si, že přestože jsou užívána často, nejsou právě tím nejlepším úvodem k pokusu něco vysvětlit."
"went","go","začal","začít","pf"," ‘ Er, things are not what they seem- ’ Aziraphale began, aware even as he said it that as conversational gambits went it lacked a certain polish."," "" Tedy poslyšte, "" začal Azirafal, "" věci vždycky nejsou to, na co vypadají - "" a už když ta slova vypouštěl z úst, uvědomoval si, že přestože jsou užívána často, nejsou právě tím nejlepším úvodem k pokusu něco vysvětlit."
"bet","bet","vsadil","vsadit","pf"," ‘ I bet they ain ’ t! ’ said Shadwell triumphantly."," "" To bych se vsadil, že ne! "" vykřikl Shadwell triumfálně."
"sat","sit","seděl","sedět","impf"," His hair was white, his skin chalk pale, and he sat and stared up and down the river, as if he were admiring the view."," Měl bílé vlasy, křídově bledou pleť a seděl nehybně, s očima upřenýma na řeku, jako by obdivoval výhled."
"admiring","admire","obdivoval","obdivovat","impf"," His hair was white, his skin chalk pale, and he sat and stared up and down the river, as if he were admiring the view."," Měl bílé vlasy, křídově bledou pleť a seděl nehybně, s očima upřenýma na řeku, jako by obdivoval výhled."
"started","start","začaly","začít","pf"," He looked like Victorian Romantic poets looked just before the consumption and drug abuse really started to cut it."," Vypadal tak, jak museli vypadat romantičtí básníci z viktoriánských dob, než na nich začaly hlodat souchotiny a drogy."
"understand","understand","pochopit","pochopit","pf"," The International Express man couldn ’ t understand it."," Muž z International Expressu to nedokázal pochopit."
"subscribed","subscribe","odebíral","odebírat","impf"," Once, one of the electronics magazines to which he subscribed had published a joke circuit which was guaranteed not to work."," Jeden z elektrotechnických časopisů, které odebíral, uveřejnil návod na sestavení zábavného elektroobvodu, který neměl v žádném případě fungovat."
"published","publish","uveřejnil","uveřejnit","pf"," Once, one of the electronics magazines to which he subscribed had published a joke circuit which was guaranteed not to work."," Jeden z elektrotechnických časopisů, které odebíral, uveřejnil návod na sestavení zábavného elektroobvodu, který neměl v žádném případě fungovat."
"work","work","fungovat","fungovat","impf"," Once, one of the electronics magazines to which he subscribed had published a joke circuit which was guaranteed not to work."," Jeden z elektrotechnických časopisů, které odebíral, uveřejnil návod na sestavení zábavného elektroobvodu, který neměl v žádném případě fungovat."
"build","build","postavit","postavit","pf"," At last, they ’ d said in an amusing way, here ’ s something all you ham-fisted hams out there can build in the certain knowledge that if it does nothing, it ’ s working."," Tak to tam alespoň veselým způsobem popisovali, podívejte, tady je návod na něco, co dokáže postavit i to největší nemehlo, a pokud to nebude vůbec nic dělat, tak to funguje!"
"does","do","dělat","dělat","impf"," At last, they ’ d said in an amusing way, here ’ s something all you ham-fisted hams out there can build in the certain knowledge that if it does nothing, it ’ s working."," Tak to tam alespoň veselým způsobem popisovali, podívejte, tady je návod na něco, co dokáže postavit i to největší nemehlo, a pokud to nebude vůbec nic dělat, tak to funguje!"
"working","work","dělat","dělat","impf"," At last, they ’ d said in an amusing way, here ’ s something all you ham-fisted hams out there can build in the certain knowledge that if it does nothing, it ’ s working."," Tak to tam alespoň veselým způsobem popisovali, podívejte, tady je návod na něco, co dokáže postavit i to největší nemehlo, a pokud to nebude vůbec nic dělat, tak to funguje!"
"does","do","funguje","fungovat","impf"," At last, they ’ d said in an amusing way, here ’ s something all you ham-fisted hams out there can build in the certain knowledge that if it does nothing, it ’ s working."," Tak to tam alespoň veselým způsobem popisovali, podívejte, tady je návod na něco, co dokáže postavit i to největší nemehlo, a pokud to nebude vůbec nic dělat, tak to funguje!"
"working","work","funguje","fungovat","impf"," At last, they ’ d said in an amusing way, here ’ s something all you ham-fisted hams out there can build in the certain knowledge that if it does nothing, it ’ s working."," Tak to tam alespoň veselým způsobem popisovali, podívejte, tady je návod na něco, co dokáže postavit i to největší nemehlo, a pokud to nebude vůbec nic dělat, tak to funguje!"
"found","find","zjistil","zjistit","pf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"shout","shout","křičel","křičet","impf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"grown","grow","vyrostl","vyrůst","pf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"liked","like","miloval","milovat","impf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"liked","like","nechtěl","chtít","impf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"want","want","nechtěl","chtít","impf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"do","do","dělat","dělat","impf"," The maintenance supervisor would shout at him if he found out, but Jaime had grown up on a farm and it had been quite a good farm and he had liked trees and he didn ’ t want to have to come into the city, but what could you do?"," Kdyby to zjistil místní šéf pomocného personálu, zase by na něj křičel, ale Jaime vyrostl na farmě - byla to moc hezká farma - a miloval stromy a nechtěl do města, ale co měl dělat?"
"dreamed","dream","nesnilo","snít","impf"," It wasn ’ t a bad job and the money was the kind of money his father hadn ’ t dreamed of."," Nebylo to špatné zaměstnání a o penězích, jaké dostával, se jeho otci ani nesnilo."
"dreamed","dream","nesnilo","snít","impf"," His grandfather hadn ’ t dreamed of any money at all."," A dědečkovi se nesnilo vůbec o žádných penězích."
"looked","look","podívala","podívat","pf"," ‘ Any cows droppin ’ dead after some woman has looked at ’ em? ’"," "" Pochcípaly nějaké krávy, když se na ně podívala místní stařena? """
"pulled","pull","vytáhl","vytáhnout","pf"," He shuffled across to the sticky brown cupboard and pulled out a tin of condensed milk."," Pomalu se došoural k otlučené kredenci a vytáhl z ní plechovku kondenzovaného mléka."
"said","say","řekl","říci","pf"," ‘ Odd things happening, ’ said Newt."," "" Dějí se podivné věci, "" řekl Newt."
"spent","spend","strávil","strávit","pf"," He ’ d spent weeks on this."," Na tomhle strávil tři týdny."
"let","let","nechal","nechat","pf"," Shadwell had really let the papers pile up."," Shadwell si nechal ty noviny málem přerůst přes hlavu."
"thinking","think","myslel","myslet","impf"," ‘ You were thinking “ Nothin ’ wrong with my eyes, they don ’ t need examining, ” weren ’ t you? ’"," "" Že jsi si právě myslel ' naštěstí mám oči úplně v pořádku a žádnou prohlídku nepotřebuju ', nebo ne? """
"thinking","think","mám","mít","impf"," ‘ You were thinking “ Nothin ’ wrong with my eyes, they don ’ t need examining, ” weren ’ t you? ’"," "" Že jsi si právě myslel ' naštěstí mám oči úplně v pořádku a žádnou prohlídku nepotřebuju ', nebo ne? """
"spent","spend","strávil","strávit","pf"," ‘ Provisionatedly classificisioned at this time, ’ said Famine, who had spent years learning how to sell to the Federal government and could feel the language coming back to him."," "" Duoprovizionálně superklasifikovaná, "" dodal Hlad, který strávil dlouhá léta tím, že se učil, jak výhodně obchodovat s federální vládou, a teď cítil, že se mu vracejí slova i celé věty."
"learning","learn","učil","učit","impf"," ‘ Provisionatedly classificisioned at this time, ’ said Famine, who had spent years learning how to sell to the Federal government and could feel the language coming back to him."," "" Duoprovizionálně superklasifikovaná, "" dodal Hlad, který strávil dlouhá léta tím, že se učil, jak výhodně obchodovat s federální vládou, a teď cítil, že se mu vracejí slova i celé věty."
"sell","sell","obchodovat","obchodovat","impf"," ‘ Provisionatedly classificisioned at this time, ’ said Famine, who had spent years learning how to sell to the Federal government and could feel the language coming back to him."," "" Duoprovizionálně superklasifikovaná, "" dodal Hlad, který strávil dlouhá léta tím, že se učil, jak výhodně obchodovat s federální vládou, a teď cítil, že se mu vracejí slova i celé věty."
"feel","feel","cítil","cítit","impf"," ‘ Provisionatedly classificisioned at this time, ’ said Famine, who had spent years learning how to sell to the Federal government and could feel the language coming back to him."," "" Duoprovizionálně superklasifikovaná, "" dodal Hlad, který strávil dlouhá léta tím, že se učil, jak výhodně obchodovat s federální vládou, a teď cítil, že se mu vracejí slova i celé věty."
"said","say","odpověděl","odpovědět","pf"," ‘ Sir, affirmative, sir, ’ said the sergeant."," "" Pane, potvrzeno, pane, "" odpověděl seržant."
"said","say","řekl","říci","pf"," ‘ Good man, ’ said Famine, as the barrier was raised."," "" Tak se mi to líbí, vojáku, "" řekl Hlad, když se závora zvedla."
"raised","raise","zvedla","zvednout","pf"," ‘ Good man, ’ said Famine, as the barrier was raised."," "" Tak se mi to líbí, vojáku, "" řekl Hlad, když se závora zvedla."
"want","want","Nechtějte","chtít","impf"," You don ’ t want to know what could happen to Baby B."," Nechtějte však vědět, co všechno se s dítětem B mohlo stát."
"mean","mean","chci","chtít","impf"," ‘ I mean, you ’ re right about the fire and war, all that."," Tedy chci říct, že co se týče plamenů, válek a utrpení, to máš pravdu."
"add","add","dodal","dodat","pf"," If that ’ s your idea of a morally acceptable time, I might add."," Tedy i v případě, že by to pro vás vůbec bylo morálně a psychicky únosné, dodal bych."
"said","say","neřekl","říci","pf"," How d ’ you know it ’ s goin ’ to be a dog if no one ’ s said?"," Jak víš, že to bude pes, když ti nikdo neřekl, že to bude zrovna pes?"
"complaining","complain","stěžoval","stěžovat","impf"," Your dad ’ d be complaining about the food it eats the whole time. ’"," Tvůj táta by psa nechtěl, stejně by si celou dobu stěžoval, kolik toho sežere a tak. """
"tell","tell","vyprávěl","vyprávět","impf"," ‘ Did I ever tell you how I was recruited to the army? ’ he asked."," "" Už jsem vám vyprávěl, jak jsem se dostal do armády já? "" zeptal se."
"asked","ask","zeptal","zeptat","pf"," ‘ Did I ever tell you how I was recruited to the army? ’ he asked."," "" Už jsem vám vyprávěl, jak jsem se dostal do armády já? "" zeptal se."
"took","take","vzal","vzít","pf"," Newt took this as his cue to sit down."," Tu větu vzal Newt jako záminku k tomu, aby se mohl posadit."
"sit","sit","posadit","posadit","pf"," Newt took this as his cue to sit down."," Tu větu vzal Newt jako záminku k tomu, aby se mohl posadit."
"lit","light","zapálil","zapálit","pf"," Shadwell lit his roll-up with a battered Ronson lighter, and coughed appreciatively."," Shadwell si zapálil neviditelnou cigaretu svým otlučeným ronsonem a spokojeně si odkašlal."
"Burning","burn","Vypálil","vypálit","pf"," Burning a coven in Wimbledon."," Vypálil hnízdo čarodějnic ve Wimbledonu."
"got","get","dostal","dostat","pf"," Would have got them all too, if it wasn ’ t the wrong day."," Byl by je dostal všechny, ale vybral si špatný den."
"handled","handle","zvládl","zvládnout","pf"," He could have handled anything else."," Cokoliv jiného by zvládl."
"sat","sit","Sedl","sednout","pf"," He sat down."," Sedl si."
"lower","lower","nespustil","spustit","pf"," But he didn ’ t lower his hand."," Ruku však nespustil."
"proclaimed","proclaim","oznamovaly","oznamovat","impf"," The swinging overhead signs proclaimed that the southbound carriageway was closed, and a small forest of orange cones had sprung up, redirecting motorists on to a co-opted lane of the northbound carriageway."," Provizorně zavěšené informační tabule oznamovaly, že jižní větev dálnice je uzavřena, a malý prales oranžových jehlanců určoval směr, kterým se byli motoristé nuceni vydat k objížďce."
"closed","close","uzavřena","uzavřít","pf"," The swinging overhead signs proclaimed that the southbound carriageway was closed, and a small forest of orange cones had sprung up, redirecting motorists on to a co-opted lane of the northbound carriageway."," Provizorně zavěšené informační tabule oznamovaly, že jižní větev dálnice je uzavřena, a malý prales oranžových jehlanců určoval směr, kterým se byli motoristé nuceni vydat k objížďce."
"sing","sing","zpívat","zpívat","impf"," The thrush continued to sing."," Drozd nepřestával zpívat."
"began","begin","začal","začít","pf"," Dog gave up on his master, and began to stalk a butterfly in the grass by the garden hedge."," Pes přestal truchlit se svým pánem a začal ve vysoké trávě vedle živého plotu, který ohraničoval zahradu, stopovat motýla."
"found","find","našel","najít","pf"," Crowley found him on the pavement outside, trying to extricate a rather squishy dove from the arm of his frock coat."," Crowley ho našel na chodníku před domem, kde se Azirafal pokoušel vyprostit z rukávu fraku vyděšenou holubici."
"trying","try","pokoušel","pokoušet","impf"," Crowley found him on the pavement outside, trying to extricate a rather squishy dove from the arm of his frock coat."," Crowley ho našel na chodníku před domem, kde se Azirafal pokoušel vyprostit z rukávu fraku vyděšenou holubici."
"extricate","extricate","vyprostit","vyprostit","pf"," Crowley found him on the pavement outside, trying to extricate a rather squishy dove from the arm of his frock coat."," Crowley ho našel na chodníku před domem, kde se Azirafal pokoušel vyprostit z rukávu fraku vyděšenou holubici."
"said","say","řekl","říci","pf"," ‘ It ’ s late, ’ said Aziraphale."," "" Už je pozdě, "" řekl Azirafal."
"see","see","vidím","vidět","impf"," ‘ I can see that, ’ said Crowley."," "" To vidím, "" přikývl Crowley."
"moved","move","hýbala","hýbat","impf"," The soil, which was nothing more than a scree of some sort of artificial chippings, was actually crawling as the roots moved around under the surface."," Zem, což nebylo nic jiného než vrstvička jakési umělé drti, se doslova hýbala, jak se kořeny pod povrchem začaly hýbat a prodlužovat."
"moved","move","hýbat","hýbat","impf"," The soil, which was nothing more than a scree of some sort of artificial chippings, was actually crawling as the roots moved around under the surface."," Zem, což nebylo nic jiného než vrstvička jakési umělé drti, se doslova hýbala, jak se kořeny pod povrchem začaly hýbat a prodlužovat."
"saw","see","viděl","vidět","impf"," Jaime saw a thin white shoot creep down the side of the raised garden area and prod blindly at the concrete of the floor."," Jaime viděl, jak se jeden slabší bílý kořínek spustil po stěně vyvýšené umělé zahrádky dolů a zmateně tápal po povrchu betonové dlažby."
"killing","kill","zabíjet","zabíjet","impf"," ‘ An ’ that ’ d stop people killing them, would it? ’"," "" A to by lidi přinutilo přestat je zabíjet? """
"hesitated","hesitate","Zaváhala","zaváhat","pf"," She hesitated."," Zaváhala."
"say","say","říci","říci","pf"," It would have been nice to say yes."," Bylo by krásné, kdyby mohla říci ano."
"start","start","začali","začít","pf"," ‘ An ’ if people do start killing ’ em, what would you ask me to do about ’ em? ’ said Adam."," "" A kdyby je lidé začali zabíjet znovu, co byste chtěla, abych udělal s těma lidma? "" pokračoval Adam."
"killing","kill","zabíjet","zabíjet","impf"," ‘ An ’ if people do start killing ’ em, what would you ask me to do about ’ em? ’ said Adam."," "" A kdyby je lidé začali zabíjet znovu, co byste chtěla, abych udělal s těma lidma? "" pokračoval Adam."
"do","do","udělal","udělat","pf"," ‘ An ’ if people do start killing ’ em, what would you ask me to do about ’ em? ’ said Adam."," "" A kdyby je lidé začali zabíjet znovu, co byste chtěla, abych udělal s těma lidma? "" pokračoval Adam."
"do","do","udělal","udělat","pf"," ‘ An ’ if people do start killing ’ em, what would you ask me to do about ’ em? ’ said Adam."," "" A kdyby je lidé začali zabíjet znovu, co byste chtěla, abych udělal s těma lidma? "" pokračoval Adam."
"think","think","Myslím","myslet","impf"," ‘ I think, ’ said the Metatron, ‘ that I shall need to seek further instructions. ’"," "" Myslím, že si budu muset opatřit další instrukce. """
"need","need","muset","muset","impf"," ‘ I think, ’ said the Metatron, ‘ that I shall need to seek further instructions. ’"," "" Myslím, že si budu muset opatřit další instrukce. """
"turned","turn","Obrátil","obrátit","pf"," His raging face turned to Crowley."," Obrátil rozzuřenou tvář k Crowleymu."
"say","say","řekne","říci","pf"," ‘ And I do not know what thy Father will say ... ’"," "" A jszzem zzzvědavý, co ti řekne tvůj oteczz ... """
"worked","work","Pracoval","pracovat","impf"," ( He had worked at the Chernobyl Power Station, and at Windscale, and at Three Mile Island, always in minor jobs that weren ’ t very important. )"," ( Pracoval například v černobylské atomové elektrárně, ve Windscale a na ostrově Three Mile, vždycky v malých funkcích, které nebyly nijak důležité. )"
"helped","help","Pomáhal","pomáhat","impf"," ( He had helped to design the petrol engine, and plastics, and the ring-pull can. )"," ( Pomáhal vynalézat benzinový motor, umělé hmoty a plechovku na pivo a limonády s trhacím uzávěrem. )"
"suppose","suppose","Předpokládám","předpokládat","impf"," ‘ I suppose - get off the road you clown - your people wouldn ’ t consider - and the scooter you rode in on! - giving me asylum? ’"," "" Předpokládám - zmiz mi z cesty, ty šašku! -, že by vaši lidé nebyli naklonění myšlence - a ten skútr si strč víš kam! - poskytnout mi azyl? """
"giving","give","poskytnout","poskytnout","pf"," ‘ I suppose - get off the road you clown - your people wouldn ’ t consider - and the scooter you rode in on! - giving me asylum? ’"," "" Předpokládám - zmiz mi z cesty, ty šašku! -, že by vaši lidé nebyli naklonění myšlence - a ten skútr si strč víš kam! - poskytnout mi azyl? """
"wrestling","wrestle","zápasili","zápasit","impf"," All over the world, people who had been wrestling with switches found that they switched."," Lidé, kteří po celém světě zápasili s vypínači, najednou zjistili, že uspěli."
"found","find","zjistili","zjistit","pf"," All over the world, people who had been wrestling with switches found that they switched."," Lidé, kteří po celém světě zápasili s vypínači, najednou zjistili, že uspěli."
"stopped","stop","přestaly","přestat","pf"," Computers stopped planning World War III and went back to idly scanning the stratosphere."," Počítače přestaly plánovat třetí světovou válku a vrátily se ke kontrole a vyhodnocováni jevů v atmosféře."
"planning","plan","plánovat","plánovat","impf"," Computers stopped planning World War III and went back to idly scanning the stratosphere."," Počítače přestaly plánovat třetí světovou válku a vrátily se ke kontrole a vyhodnocováni jevů v atmosféře."
"found","find","zjistili","zjistit","pf"," In bunkers under Novya Zemla men found that the fuses they were frantically trying to pull out came away in their hands at last;"," V podzemních bunkrech Novoj Zemlji zjistili horečnatě pracující muži, že roznětky, které se marně pokoušeli vyjmout z jistých zařízení, jim teď konečně samy vypadly do rukou."
"trying","try","pokoušeli","pokoušet","impf"," In bunkers under Novya Zemla men found that the fuses they were frantically trying to pull out came away in their hands at last;"," V podzemních bunkrech Novoj Zemlji zjistili horečnatě pracující muži, že roznětky, které se marně pokoušeli vyjmout z jistých zařízení, jim teď konečně samy vypadly do rukou."
"put","put","Položila","položit","pf"," She put down the phone."," Položila sluchátko."
"announced","announce","oznámila","oznámit","pf"," ‘ I got another bath, ’ she announced to her fellow telephone salespersons."," "" Měla jsem další koupelnu, "" oznámila svým kolegům."
"said","say","prohlásil","prohlásit","pf"," ‘ Where am I? ’ he said."," "" Kde to jsem? "" prohlásil vzápětí."
"asked","ask","zeptal","zeptat","pf"," ‘ Is that my Gros Bon Ange? ’ he asked himself."," "" To je moje Gros Bon Ange? "" zeptal se sám sebe."
"replied","reply","odpověděl","odpovědět","pf"," ‘ I think that ’ s a rather personal question, he replied."," "" Řekl bych, že to je příliš osobní otázka, "" odpověděl si."
"go","go","chodí","chodit","impf"," ‘ I mean, as these things go."," "" Vždyť víš, jak to chodí."
"tries","try","zkoušet","zkoušet","impf"," But one tries, as it were."," Jenže jeden to zkoušet musí."
"does","do","Dělám","dělat","impf"," One does one ’ s best. ’"," Dělám, co umím. """
"found","find","zjistil","zjistit","pf"," Citron found one of his hands reaching for the cockerel."," Citron zjistil, že jeho ruka se natahuje pro kohouta."
"recall","recall","pamatujete","pamatovat","impf"," ‘ And do you recall an incident involving the switching of new-born babies? ’ said Crowley."," "" A pamatujete si tu záležitost s výměnou novorozeňat? "" pokračoval Crowley."
"hesitated","hesitate","zaváhala","zaváhat","pf"," Mary Hodges hesitated."," Mary Hodgesová zaváhala."
"speak","speak","promluvila","promluvit","pf"," When she did speak, it was as though memories that had been scabbed over were being disturbed for the first time in years."," Když konečně promluvila, bylo to díky vzpomínkám, které musela poprvé po dlouhých letech nejprve najít a pak oprášit."
"said","say","řekl","říci","pf"," ‘ You must have had records, ’ he said."," "" Musely jste mít nějaké záznamy, "" řekl nakonec."
"turned","turn","otočil","otočit","pf"," The tallest and thinnest of the generals strolled a little way from the group, turned his back, and folded his arms."," Nejvyšší a nejhubenější generál se k němu otočil zády a založil si ruce na prsou."
"put","put","položil","položit","pf"," One of the others put a friendly arm around the sergeant ’ s shoulders and leaned forward in a conspiratorial way."," Jeden z těch ostatních položil seržantovi přátelsky ruku kolem ramen a důvěrně se k němu naklonil."
"leaned","lean","naklonil","naklonit","pf"," One of the others put a friendly arm around the sergeant ’ s shoulders and leaned forward in a conspiratorial way."," Jeden z těch ostatních položil seržantovi přátelsky ruku kolem ramen a důvěrně se k němu naklonil."
"feeling","feel","cítil","cítit","impf"," You couldn ’ t actually be rude to them, but you couldn ’ t help feeling about them the same way that, say, a Vietnam veteran would feel about someone who wears combat gear to Neighbourhood Watch meetings."," Nedokázal na ně být hrubý, ale ať dělal co dělal, cítil k ním něco podobného, co by cítil vietnamský veterán k člověku, který na schůze členů pomocné dopravní hlídky chodí v plné polní."
"feel","feel","cítil","cítit","impf"," You couldn ’ t actually be rude to them, but you couldn ’ t help feeling about them the same way that, say, a Vietnam veteran would feel about someone who wears combat gear to Neighbourhood Watch meetings."," Nedokázal na ně být hrubý, ale ať dělal co dělal, cítil k ním něco podobného, co by cítil vietnamský veterán k člověku, který na schůze členů pomocné dopravní hlídky chodí v plné polní."
"feeling","feel","cítil","cítit","impf"," You couldn ’ t actually be rude to them, but you couldn ’ t help feeling about them the same way that, say, a Vietnam veteran would feel about someone who wears combat gear to Neighbourhood Watch meetings."," Nedokázal na ně být hrubý, ale ať dělal co dělal, cítil k ním něco podobného, co by cítil vietnamský veterán k člověku, který na schůze členů pomocné dopravní hlídky chodí v plné polní."
"feel","feel","cítil","cítit","impf"," You couldn ’ t actually be rude to them, but you couldn ’ t help feeling about them the same way that, say, a Vietnam veteran would feel about someone who wears combat gear to Neighbourhood Watch meetings."," Nedokázal na ně být hrubý, ale ať dělal co dělal, cítil k ním něco podobného, co by cítil vietnamský veterán k člověku, který na schůze členů pomocné dopravní hlídky chodí v plné polní."
"wears","wear","chodí","chodit","impf"," You couldn ’ t actually be rude to them, but you couldn ’ t help feeling about them the same way that, say, a Vietnam veteran would feel about someone who wears combat gear to Neighbourhood Watch meetings."," Nedokázal na ně být hrubý, ale ať dělal co dělal, cítil k ním něco podobného, co by cítil vietnamský veterán k člověku, který na schůze členů pomocné dopravní hlídky chodí v plné polní."
"Take","take","Vezměte","vzít","pf"," Take all that stuff with the inverted crosses and pentagrams and cockerels."," Vezměte si jenom všechny ty pitomosti s obrácenými kříži a pentagramy a černými kohouty."
