"broke","break","zlomil","zlomit","pf"," The boy in the house threw a stone at me and broke it. """," Chlapec z domu hodil po mně kamenem a zlomil mi je! """
"said","say","řekl","říci","pf"," "" Would it were so in Afghanistan! "" said the chief;"," "" Chtěl bych, aby tomu tak bylo v Afganistanu! "" řekl náčelník;"
"see","see","viděl","vidět","impf"," They were part of a circle of trees that grew round an irregular space of some three or four acres, and in all that space, as Little Toomai could see, the ground had been trampled down as hard as a brick floor."," Kmeny tvořily část kruhu tyčícího se kolem nepravidelného prostoru zaujímajícího asi tři, čtyři jitra, a malý Tumé viděl, že na celé této prostoře byla půda udupána tak na tvrdo jako cihlová podlaha."
"grew","grow","rostlo","růst","impf"," Some trees grew in the center of the clearing, but their bark was rubbed away, and the white wood beneath showed all shiny and polished in the patches of moonlight."," Uprostřed mýtiny rostlo několik stromů, ale jejich kůra byla odřena a bílé dřevo pod ní svítilo se, uhlazené a lesklé ve svitu měsíce."
"found","find","shledal","shledat","pf"," As I did not want to plowter about any more in the drizzle and the dark, I put my waterproof over the muzzle of one gun, and made a sort of wigwam with two or three rammers that I found, and lay along the tail of another gun, wondering where Vixen had got to, and where I might be."," Necítě žádné potřeby capati dále prškou a tmou, přehodil jsem svůj nepromokavý plášť přes ústí děla, shledal jsem tři nabijáky a udělal si pomocí nich jakýsi vigvam a ulehl jsem pod ním na lafetu předního děla, vzpomínaje, kam asi utekla Vixen a kde asi jsem já sám."
"did","do","udělal","udělat","pf"," As I did not want to plowter about any more in the drizzle and the dark, I put my waterproof over the muzzle of one gun, and made a sort of wigwam with two or three rammers that I found, and lay along the tail of another gun, wondering where Vixen had got to, and where I might be."," Necítě žádné potřeby capati dále prškou a tmou, přehodil jsem svůj nepromokavý plášť přes ústí děla, shledal jsem tři nabijáky a udělal si pomocí nich jakýsi vigvam a ulehl jsem pod ním na lafetu předního děla, vzpomínaje, kam asi utekla Vixen a kde asi jsem já sám."
"made","make","udělal","udělat","pf"," As I did not want to plowter about any more in the drizzle and the dark, I put my waterproof over the muzzle of one gun, and made a sort of wigwam with two or three rammers that I found, and lay along the tail of another gun, wondering where Vixen had got to, and where I might be."," Necítě žádné potřeby capati dále prškou a tmou, přehodil jsem svůj nepromokavý plášť přes ústí děla, shledal jsem tři nabijáky a udělal si pomocí nich jakýsi vigvam a ulehl jsem pod ním na lafetu předního děla, vzpomínaje, kam asi utekla Vixen a kde asi jsem já sám."
"sleep","sleep","usnouti","usnout","pf"," Just as I was getting ready to sleep, I heard a jingle of harness and a grunt, and a mule passed me shaking his wet ears."," Právě když jsem se uvelebil a chystal usnouti, zaslechl jsem klinkání postroje a chrkot a kolem mne kráčel mezek otřásaje své mokré uši."
"heard","hear","zaslechl","zaslechnout","pf"," Just as I was getting ready to sleep, I heard a jingle of harness and a grunt, and a mule passed me shaking his wet ears."," Právě když jsem se uvelebil a chystal usnouti, zaslechl jsem klinkání postroje a chrkot a kolem mne kráčel mezek otřásaje své mokré uši."
"rolled","roll","váleli","válet","impf"," Then they went inland to the holluschickie grounds, and rolled up and down in the new wild wheat, and told stories of what they had done while they had been at sea."," Pak odebrali se na souš, na místa holušíků, a váleli se sem a tam po mladé divoké pšenici a vyprávěli si celé historie o tom, co vykonali, když byli v moři."
"told","tell","vyprávěli","vyprávět","impf"," Then they went inland to the holluschickie grounds, and rolled up and down in the new wild wheat, and told stories of what they had done while they had been at sea."," Pak odebrali se na souš, na místa holušíků, a váleli se sem a tam po mladé divoké pšenici a vyprávěli si celé historie o tom, co vykonali, když byli v moři."
"done","do","vykonali","vykonat","pf"," Then they went inland to the holluschickie grounds, and rolled up and down in the new wild wheat, and told stories of what they had done while they had been at sea."," Pak odebrali se na souš, na místa holušíků, a váleli se sem a tam po mladé divoké pšenici a vyprávěli si celé historie o tom, co vykonali, když byli v moři."
"talked","talk","Mluvili","mluvit","impf"," They talked about the Pacific as boys would talk about a wood that they had been nutting in, and if any one had understood them, he could have gone away and made such a chart of that ocean as never was."," Mluvili o Tichém Okeánu, jako hoši hovoří o lese, v němž byli na ořeší, a kdo by jim byl rozuměl, byl by mohl dle jejich vypravování sestaviti mapu moře, jaké nikdo dosud nenakreslil."
"talk","talk","Mluvili","mluvit","impf"," They talked about the Pacific as boys would talk about a wood that they had been nutting in, and if any one had understood them, he could have gone away and made such a chart of that ocean as never was."," Mluvili o Tichém Okeánu, jako hoši hovoří o lese, v němž byli na ořeší, a kdo by jim byl rozuměl, byl by mohl dle jejich vypravování sestaviti mapu moře, jaké nikdo dosud nenakreslil."
"talked","talk","hovoří","hovořit","impf"," They talked about the Pacific as boys would talk about a wood that they had been nutting in, and if any one had understood them, he could have gone away and made such a chart of that ocean as never was."," Mluvili o Tichém Okeánu, jako hoši hovoří o lese, v němž byli na ořeší, a kdo by jim byl rozuměl, byl by mohl dle jejich vypravování sestaviti mapu moře, jaké nikdo dosud nenakreslil."
"talk","talk","hovoří","hovořit","impf"," They talked about the Pacific as boys would talk about a wood that they had been nutting in, and if any one had understood them, he could have gone away and made such a chart of that ocean as never was."," Mluvili o Tichém Okeánu, jako hoši hovoří o lese, v němž byli na ořeší, a kdo by jim byl rozuměl, byl by mohl dle jejich vypravování sestaviti mapu moře, jaké nikdo dosud nenakreslil."
"understood","understand","rozuměl","rozumět","impf"," They talked about the Pacific as boys would talk about a wood that they had been nutting in, and if any one had understood them, he could have gone away and made such a chart of that ocean as never was."," Mluvili o Tichém Okeánu, jako hoši hovoří o lese, v němž byli na ořeší, a kdo by jim byl rozuměl, byl by mohl dle jejich vypravování sestaviti mapu moře, jaké nikdo dosud nenakreslil."
"made","make","sestaviti","sestavit","pf"," They talked about the Pacific as boys would talk about a wood that they had been nutting in, and if any one had understood them, he could have gone away and made such a chart of that ocean as never was."," Mluvili o Tichém Okeánu, jako hoši hovoří o lese, v němž byli na ořeší, a kdo by jim byl rozuměl, byl by mohl dle jejich vypravování sestaviti mapu moře, jaké nikdo dosud nenakreslil."
"crying","cry","volali","volat","impf"," The three-and four-year-old holluschickie romped down from Hutchinson 's Hill, crying :"," Tříletí a čtyřletí holušíkové řítili se s Hutchinsonského kopce a volali :"
"ringing","ring","zvonit","zvonit","impf"," Before Little Toomai had got the ringing out of his head, before even he had shifted his position, there was not an elephant in sight except Kala Nag, Pudmini, and the elephant with the rope-galls, and there was neither sign nor rustle nor whisper down the hillsides to show where the others had gone."," Nežli malému Tumé přestalo zvonit v hlavě, ano nežli se narovnal ve své poloze, nebylo viděti jediného slona vyjma Kala Naga, Pudmini a onoho slona s rýhami od provazů, a dolů po stráni neozvalo se ani zvuku ani šelestu ani šeptu, který by prozradil, kam zmizeli ostatní."
"show","show","prozradil","prozradit","pf"," Before Little Toomai had got the ringing out of his head, before even he had shifted his position, there was not an elephant in sight except Kala Nag, Pudmini, and the elephant with the rope-galls, and there was neither sign nor rustle nor whisper down the hillsides to show where the others had gone."," Nežli malému Tumé přestalo zvonit v hlavě, ano nežli se narovnal ve své poloze, nebylo viděti jediného slona vyjma Kala Naga, Pudmini a onoho slona s rýhami od provazů, a dolů po stráni neozvalo se ani zvuku ani šelestu ani šeptu, který by prozradil, kam zmizeli ostatní."
"remembered","remember","pamatoval","pamatovat","impf"," The clearing, as he remembered it, had grown in the night."," Mýtina, jak si ji pamatoval, přes noc se zvětšila."
"stayed","stay","pobýval","pobývat","impf"," It was not the fashion for Sea Catch to eat anything during the four months he stayed on the beaches, and so his temper was generally bad."," Nebývalo zvykem Mořského Lupiče pojídati něčeho po ty čtyři měsíce, kdy pobýval na pobřeží, a byl proto obyčejně ve velmi špatném rozmaru."
"answer","answer","odpovídala","odpovídat","impf"," Matkah knew better than to answer back."," Matka byla příliš rozumna, než aby mu odpovídala stejným."
"taken","take","Zabral","zabrat","pf"," You 've taken the old place again. """," Zabral jsi opět naše staré místečko! """
"think","think","myslím","myslet","impf"," "" I should think I had, "" said Sea Catch."," "" To si myslím, že ano! "" odpověděl Mořský Lupič;"
"said","say","odpověděl","odpovědět","pf"," "" I should think I had, "" said Sea Catch."," "" To si myslím, že ano! "" odpověděl Mořský Lupič;"
"Look","look","pohlédni","pohlédnout","pf"," "" Look at me! """," "" pohlédni jen na mne! """
"come","come","přijde","přijít","pf"," When thou art old, Kala Nag, there will come some rich Rajah, and he will buy thee from the Government, on account of thy size and thy manners, and then thou wilt have nothing to do but to carry gold earrings in thy ears, and a gold howdah on thy back and a red cloth covered with gold on thy sides, and walk at the head of the processions of the King."," Až sestárneš, Kala Nagu, přijde bohatý rajah a koupí tě od vlády, protože jsi tak velký a způsobný, a pak nebudeš mít na práci nic jiného, než nosit zlaté kruhy v uších, zlaté sedlo na hřbetě a rudou, zlatem vyšitou pokrývku na plecích a budeš kráčet v čele královského průvodu."
"buy","buy","koupí","koupit","pf"," When thou art old, Kala Nag, there will come some rich Rajah, and he will buy thee from the Government, on account of thy size and thy manners, and then thou wilt have nothing to do but to carry gold earrings in thy ears, and a gold howdah on thy back and a red cloth covered with gold on thy sides, and walk at the head of the processions of the King."," Až sestárneš, Kala Nagu, přijde bohatý rajah a koupí tě od vlády, protože jsi tak velký a způsobný, a pak nebudeš mít na práci nic jiného, než nosit zlaté kruhy v uších, zlaté sedlo na hřbetě a rudou, zlatem vyšitou pokrývku na plecích a budeš kráčet v čele královského průvodu."
"carry","carry","mít","mít","impf"," When thou art old, Kala Nag, there will come some rich Rajah, and he will buy thee from the Government, on account of thy size and thy manners, and then thou wilt have nothing to do but to carry gold earrings in thy ears, and a gold howdah on thy back and a red cloth covered with gold on thy sides, and walk at the head of the processions of the King."," Až sestárneš, Kala Nagu, přijde bohatý rajah a koupí tě od vlády, protože jsi tak velký a způsobný, a pak nebudeš mít na práci nic jiného, než nosit zlaté kruhy v uších, zlaté sedlo na hřbetě a rudou, zlatem vyšitou pokrývku na plecích a budeš kráčet v čele královského průvodu."
"carry","carry","nosit","nosit","impf"," When thou art old, Kala Nag, there will come some rich Rajah, and he will buy thee from the Government, on account of thy size and thy manners, and then thou wilt have nothing to do but to carry gold earrings in thy ears, and a gold howdah on thy back and a red cloth covered with gold on thy sides, and walk at the head of the processions of the King."," Až sestárneš, Kala Nagu, přijde bohatý rajah a koupí tě od vlády, protože jsi tak velký a způsobný, a pak nebudeš mít na práci nic jiného, než nosit zlaté kruhy v uších, zlaté sedlo na hřbetě a rudou, zlatem vyšitou pokrývku na plecích a budeš kráčet v čele královského průvodu."
"walk","walk","kráčet","kráčet","impf"," When thou art old, Kala Nag, there will come some rich Rajah, and he will buy thee from the Government, on account of thy size and thy manners, and then thou wilt have nothing to do but to carry gold earrings in thy ears, and a gold howdah on thy back and a red cloth covered with gold on thy sides, and walk at the head of the processions of the King."," Až sestárneš, Kala Nagu, přijde bohatý rajah a koupí tě od vlády, protože jsi tak velký a způsobný, a pak nebudeš mít na práci nic jiného, než nosit zlaté kruhy v uších, zlaté sedlo na hřbetě a rudou, zlatem vyšitou pokrývku na plecích a budeš kráčet v čele královského průvodu."
"wandered","wander","bloudil","bloudit","impf"," Little Toomai attended to Kala Nag 's supper, and as evening fell, wandered through the camp, unspeakably happy, in search of a tom-tom."," Malý Tumé přihlížel, až se Kala Nag navečeřel, a jakmile nastal večer, bloudil nevýslovně šťasten po ležení, sháněje nějaký tam - tam."
"sang","sing","zpíval","zpívat","impf"," So he sang a very mournful song that he made up all on the spur of the minute, and just as he got to the most touching part the grass quivered again, and Rikki-tikki, covered with dirt, dragged himself out of the hole leg by leg, licking his whiskers."," A tak zpíval Darzy velmi truchlivou píseň, kterou si okamžitě sestavil, a právě když dospěl k nejdojemnějšímu místu, zachvěla se opět tráva a Riki - Tiki, celý zabalený prachem a špínou, vydrápal se úd za údem z díry, olizuje si kníry."
"made","make","sestavil","sestavit","pf"," So he sang a very mournful song that he made up all on the spur of the minute, and just as he got to the most touching part the grass quivered again, and Rikki-tikki, covered with dirt, dragged himself out of the hole leg by leg, licking his whiskers."," A tak zpíval Darzy velmi truchlivou píseň, kterou si okamžitě sestavil, a právě když dospěl k nejdojemnějšímu místu, zachvěla se opět tráva a Riki - Tiki, celý zabalený prachem a špínou, vydrápal se úd za údem z díry, olizuje si kníry."
"stopped","stop","přestal","přestat","pf"," Darzee stopped with a little shout."," Darzy přestal, vykřiknuv překvapením."
"said","say","řekl","říci","pf"," "" It is all over, "" he said."," "" Je po všem! "" řekl;"
"took","take","potřebovalo","potřebovat","impf"," The distance to the killing-grounds was only half a mile, but it took an hour to cover, because if the seals went too fast Kerick knew that they would get heated and then their fur would come off in patches when they were skinned."," Porážky byly vzdáleny sotva půl anglické míle, ale stádo potřebovalo k tomu celou hodinu, protože Kerik věděl, že jdou - li lachtani příliš rychle, zapotí se a kůže se jim pak při stahování trhá na kousky."
"went","go","jdou","jít","impf"," The distance to the killing-grounds was only half a mile, but it took an hour to cover, because if the seals went too fast Kerick knew that they would get heated and then their fur would come off in patches when they were skinned."," Porážky byly vzdáleny sotva půl anglické míle, ale stádo potřebovalo k tomu celou hodinu, protože Kerik věděl, že jdou - li lachtani příliš rychle, zapotí se a kůže se jim pak při stahování trhá na kousky."
"come","come","jdou","jít","impf"," The distance to the killing-grounds was only half a mile, but it took an hour to cover, because if the seals went too fast Kerick knew that they would get heated and then their fur would come off in patches when they were skinned."," Porážky byly vzdáleny sotva půl anglické míle, ale stádo potřebovalo k tomu celou hodinu, protože Kerik věděl, že jdou - li lachtani příliš rychle, zapotí se a kůže se jim pak při stahování trhá na kousky."
"went","go","Šli","jít","impf"," So they went on very slowly, past Sea-Lion 's Neck, past Webster House, till they came to the Salt House just beyond the sight of the seals on the beach."," Šli tedy velmi zvolna kolem Lvouní Šíje a kolem Websterova domu, až přišli k solnici, jež byla právě mimo dohled lachtanů na pobřeží."
"came","come","Šli","jít","impf"," So they went on very slowly, past Sea-Lion 's Neck, past Webster House, till they came to the Salt House just beyond the sight of the seals on the beach."," Šli tedy velmi zvolna kolem Lvouní Šíje a kolem Websterova domu, až přišli k solnici, jež byla právě mimo dohled lachtanů na pobřeží."
"came","come","přišli","přijít","pf"," So they went on very slowly, past Sea-Lion 's Neck, past Webster House, till they came to the Salt House just beyond the sight of the seals on the beach."," Šli tedy velmi zvolna kolem Lvouní Šíje a kolem Websterova domu, až přišli k solnici, jež byla právě mimo dohled lachtanů na pobřeží."
"think","think","pomysli","pomyslet","pf"," "" Just think, he saved all our lives. """," "" pomysli si jen, zachránil nám všem život! """
"saved","save","zachránil","zachránit","pf"," "" Just think, he saved all our lives. """," "" pomysli si jen, zachránil nám všem život! """
"woke","wake","probudil","probudit","pf"," Rikki-tikki woke up with a jump, for all the mongooses are light sleepers."," Riki - Tiki se probudil skokem - jsouť všichni mungové lehcí spáči."
"said","say","řekl","říci","pf"," "" Oh, it 's you, "" said he."," "" Ah, to jste vy? "" řekl."
"seen","see","viděl","vidět","impf"," They were like no walrus, sea-lion, seal, bear, whale, shark, fish, squid, or scallop that Kotick had ever seen before."," Nebyli podobni mrožům, lvounům, tuleňům, medvědům, velrybám, žralokům, sepiím ani měkkýšům, ničemu, co kdy Kotík dřív viděl."
"looked","look","vyhlížel","vyhlížet","impf"," They were between twenty and thirty feet long, and they had no hind flippers, but a shovel-like tail that looked as if it had been whittled out of wet leather."," Byli asi dvacet nebo třicet stop dlouzí a místo zadních ploutvovitých noh měli lopatovitý ocas, který vyhlížel, jako by byl vystřižen z mokré vydělané kůže."
"climb","climb","vylezl","vylézt","pf"," Then Little Toomai would climb up to the top of one of the quivering stockade-posts, his sun-bleached brown hair flying loose all over his shoulders, and he looking like a goblin in the torch-light;"," Tu vylezl malý Tumé na vrchol některého z třesoucích se pilířův ohrady a jeho sluncem vybledlé hnědé vlasy poletovaly mu volně po plecích, takže vyhlížel při svitu pochodní jako šotek;"
"looking","look","vyhlížel","vyhlížet","impf"," Then Little Toomai would climb up to the top of one of the quivering stockade-posts, his sun-bleached brown hair flying loose all over his shoulders, and he looking like a goblin in the torch-light;"," Tu vylezl malý Tumé na vrchol některého z třesoucích se pilířův ohrady a jeho sluncem vybledlé hnědé vlasy poletovaly mu volně po plecích, takže vyhlížel při svitu pochodní jako šotek;"
"hear","hear","slyšet","slyšet","impf"," and as soon as there was a lull you could hear his high-pitched yells of encouragement to Kala Nag, above the trumpeting and crashing, and snapping of ropes, and groans of the tethered elephants."," kdykoliv nastala malá přestávka, bylo slyšet jeho pronikavý vysoký hlásek, jímž pobízel Kala Naga, přehlušující na chvíli troubení, třesk, praskot provazů a sténání přivázaných slonův."
"said","say","pravil","pravit","pf"," "" Well, "" said Rikki-tikki, and his tail began to fluff up again, "" marks or no marks, do you think it is right for you to eat fledglings out of a nest? """," "" Nu, "" pravil Riki - Tiki, a ocas se mu začal zase čepýřit, "" znamení nebo neznamení, ale myslíš, že je v pořádku požírat holátka vypadlá z hnízda? """
"began","begin","začal","začít","pf"," "" Well, "" said Rikki-tikki, and his tail began to fluff up again, "" marks or no marks, do you think it is right for you to eat fledglings out of a nest? """," "" Nu, "" pravil Riki - Tiki, a ocas se mu začal zase čepýřit, "" znamení nebo neznamení, ale myslíš, že je v pořádku požírat holátka vypadlá z hnízda? """
"think","think","myslíš","myslet","impf"," "" Well, "" said Rikki-tikki, and his tail began to fluff up again, "" marks or no marks, do you think it is right for you to eat fledglings out of a nest? """," "" Nu, "" pravil Riki - Tiki, a ocas se mu začal zase čepýřit, "" znamení nebo neznamení, ale myslíš, že je v pořádku požírat holátka vypadlá z hnízda? """
"thinking","think","přemýšlel","přemýšlet","impf"," Nag was thinking to himself, and watching the least little movement in the grass behind Rikki-tikki."," Nag přemýšlel a dával pozor na každý nejmenší pohyb v trávě za Riki - Tikim."
"sits","sit","Usedne","usednout","pf"," He sits down to a sort of revel all by himself."," Usedne jakoby k osamělým hodům."
"found","find","našel","najít","pf"," If he had not found what he wanted I believe he would have burst."," Kdyby nebyl našel, čeho potřeboval, byl by se snad rozstonal."
"wanted","want","potřeboval","potřebovat","impf"," If he had not found what he wanted I believe he would have burst."," Kdyby nebyl našel, čeho potřeboval, byl by se snad rozstonal."
"bathing","bath","koupal","koupat","impf"," I should be a king in the forest, as I used to be, sleeping half the day and bathing when I liked."," Byl bych králem v lese, jako jsem býval, prospal bych půl dne a koupal bych se, kdybych chtěl."
"liked","like","chtěl","chtít","impf"," I should be a king in the forest, as I used to be, sleeping half the day and bathing when I liked."," Byl bych králem v lese, jako jsem býval, prospal bych půl dne a koupal bych se, kdybych chtěl."
"said","say","řekl","říci","pf"," "" That 's all very fine, "" said Billy;"," "" To je vše velmi pěkné, "" řekl Billy;"
"giving","give","dáme","dát","pf"," "" but giving a thing a long name does n't make it any better """," "" ale dáme - li čemu dlouhé jméno, pak jsme to ještě nespravili. """
"said","say","řekl","říci","pf"," "" H'sh! "" said the troop-horse."," "" Huš! "" řekl kůň."
"think","think","Myslím","myslet","impf"," "" I think I understand what Two Tails means. """," "" Myslím. že rozumím, co Dvouohonáč myslí. """
"understand","understand","rozumím","rozumět","impf"," "" I think I understand what Two Tails means. """," "" Myslím. že rozumím, co Dvouohonáč myslí. """
"understand","understand","rozuměti","rozumět","impf"," "" You 'll understand better in a minute, "" said Two Tails angrily."," "" Hned budete rozuměti lépe, "" řekl Dvouohonáč hněvivě."
"said","say","řekl","říci","pf"," "" You 'll understand better in a minute, "" said Two Tails angrily."," "" Hned budete rozuměti lépe, "" řekl Dvouohonáč hněvivě."
"give","give","podal","podat","pf"," One night he slid down from the post and slipped in between the elephants, and threw up the loose end of a rope, which had dropped, to a driver who was trying to get a purchase on the leg of a kicking young calf ( calves always give more trouble than full-grown animals )."," Jedné noci svezl se s pilíře a propletl se mezi slony, aby podal uvolněný konec provazu do rukou honce, který se snažil svázati nohu kopajícího mladého sloňátka ( sloní mláďata dají vždy více práce než dorostlá zvířata )."
"trying","try","snažil","snažit","impf"," One night he slid down from the post and slipped in between the elephants, and threw up the loose end of a rope, which had dropped, to a driver who was trying to get a purchase on the leg of a kicking young calf ( calves always give more trouble than full-grown animals )."," Jedné noci svezl se s pilíře a propletl se mezi slony, aby podal uvolněný konec provazu do rukou honce, který se snažil svázati nohu kopajícího mladého sloňátka ( sloní mláďata dají vždy více práce než dorostlá zvířata )."
"give","give","dají","dát","pf"," One night he slid down from the post and slipped in between the elephants, and threw up the loose end of a rope, which had dropped, to a driver who was trying to get a purchase on the leg of a kicking young calf ( calves always give more trouble than full-grown animals )."," Jedné noci svezl se s pilíře a propletl se mezi slony, aby podal uvolněný konec provazu do rukou honce, který se snažil svázati nohu kopajícího mladého sloňátka ( sloní mláďata dají vždy více práce než dorostlá zvířata )."
"saw","see","viděl","vidět","impf"," Kala Nag saw him, caught him in his trunk, and handed him up to Big Toomai, who slapped him then and there, and put him back on the post."," Kala Nag to viděl, uchopil ho svým chobotem a podal ho velkému Tumé, který dal chlapci několik pohlavků a vysadil ho znovu na pilíř."
"caught","catch","uchopil","uchopit","pf"," Kala Nag saw him, caught him in his trunk, and handed him up to Big Toomai, who slapped him then and there, and put him back on the post."," Kala Nag to viděl, uchopil ho svým chobotem a podal ho velkému Tumé, který dal chlapci několik pohlavků a vysadil ho znovu na pilíř."
"handed","hand","podal","podat","pf"," Kala Nag saw him, caught him in his trunk, and handed him up to Big Toomai, who slapped him then and there, and put him back on the post."," Kala Nag to viděl, uchopil ho svým chobotem a podal ho velkému Tumé, který dal chlapci několik pohlavků a vysadil ho znovu na pilíř."
"handed","hand","dal","dát","pf"," Kala Nag saw him, caught him in his trunk, and handed him up to Big Toomai, who slapped him then and there, and put him back on the post."," Kala Nag to viděl, uchopil ho svým chobotem a podal ho velkému Tumé, který dal chlapci několik pohlavků a vysadil ho znovu na pilíř."
"put","put","dal","dát","pf"," Kala Nag saw him, caught him in his trunk, and handed him up to Big Toomai, who slapped him then and there, and put him back on the post."," Kala Nag to viděl, uchopil ho svým chobotem a podal ho velkému Tumé, který dal chlapci několik pohlavků a vysadil ho znovu na pilíř."
"came","come","přišla","přijít","pf"," Then the big guns came by, and I saw Two Tails and two other elephants harnessed in line to a forty-pounder siege-gun while twenty yoke of oxen walked behind."," Pak přišla těžká děla a viděl jsem Dvouohonáče a jiné dva slony zapřažené za sebou ku čtyřicetilibernímu obléhacímu dělu, za nímž kráčela řada dvaceti párů jhem sepiatých volů."
"saw","see","přišla","přijít","pf"," Then the big guns came by, and I saw Two Tails and two other elephants harnessed in line to a forty-pounder siege-gun while twenty yoke of oxen walked behind."," Pak přišla těžká děla a viděl jsem Dvouohonáče a jiné dva slony zapřažené za sebou ku čtyřicetilibernímu obléhacímu dělu, za nímž kráčela řada dvaceti párů jhem sepiatých volů."
"saw","see","viděl","vidět","impf"," Then the big guns came by, and I saw Two Tails and two other elephants harnessed in line to a forty-pounder siege-gun while twenty yoke of oxen walked behind."," Pak přišla těžká děla a viděl jsem Dvouohonáče a jiné dva slony zapřažené za sebou ku čtyřicetilibernímu obléhacímu dělu, za nímž kráčela řada dvaceti párů jhem sepiatých volů."
"walked","walk","kráčela","kráčet","impf"," Then the big guns came by, and I saw Two Tails and two other elephants harnessed in line to a forty-pounder siege-gun while twenty yoke of oxen walked behind."," Pak přišla těžká děla a viděl jsem Dvouohonáče a jiné dva slony zapřažené za sebou ku čtyřicetilibernímu obléhacímu dělu, za nímž kráčela řada dvaceti párů jhem sepiatých volů."
"came","come","přišla","přijít","pf"," Last came the screw-guns, and Billy the mule carried himself as though he commanded all the troops, and his harness was oiled and polished till it winked."," Naposledy přišla šroubovací děla a mezek Billy se nesl, jako by byl velitelem všeho vojska a jeho postroj byl naolejován a vyleštěn, až se blýskal."
"carried","carry","nesl","nést","impf"," Last came the screw-guns, and Billy the mule carried himself as though he commanded all the troops, and his harness was oiled and polished till it winked."," Naposledy přišla šroubovací děla a mezek Billy se nesl, jako by byl velitelem všeho vojska a jeho postroj byl naolejován a vyleštěn, až se blýskal."
"forgetting","forget","zapomínajíc","zapomínat","impf"," Nagaina spun clear round, forgetting everything for the sake of the one egg;"," Nagaina rozvinula se úplně a obrátila na druhou stranu, zapomínajíc na vše pro toto jediné vejce;"
"saw","see","viděl","vidět","impf"," and Rikki-tikki saw Teddy 's father shoot out a big hand, catch Teddy by the shoulder and drag him across the little table with the tea-cups, safe and out of reach of Nagaina."," a Riki - Tiki viděl, jak Teddyho otec natáhl velkou ruku, chopil Teddyho za rameno a vytáhl jej přes stolek s čajem, do bezpečí a mimo dosah Nagainy."
"helped","help","pomáhal","pomáhat","impf"," Darzee, the tailor-bird, helped him, and Chuchundra, the muskrat, who never comes out into the middle of the floor, but always creeps round by the wall, gave him advice;"," Darzy, pták krejčík, mu pomáhal, a Čučundra, krysa pižmová, která nikdy nevkročí doprostřed síně, nýbrž pobíhá stále kolem zdi, přispěla mu svou radou;"
"did","do","provedl","provést","pf"," but Rikki-tikki did the real fighting."," ale Riki - Tiki provedl skutečnou bitvu."
"pointed","point","ukázal","ukázat","pf"," Machua Appa pointed at Little Toomai, and Petersen Sahib looked, and Little Toomai bowed to the earth."," Machua Appa ukázal na malého Tumé, Sahib Petersen podíval se na něj a malý Tumé poklonil se až k zemi."
"looked","look","podíval","podívat","pf"," Machua Appa pointed at Little Toomai, and Petersen Sahib looked, and Little Toomai bowed to the earth."," Machua Appa ukázal na malého Tumé, Sahib Petersen podíval se na něj a malý Tumé poklonil se až k zemi."
"said","say","říkají","říkat","impf"," Little one, what is thy name? "" said Petersen Sahib."," Jak ti říkají, maličký! "" ptal se Sahib Petersen."
"speak","speak","promluvit","promluvit","pf"," Little Toomai was too frightened to speak, but Kala Nag was behind him, and Toomai made a sign with his hand, and the elephant caught him up in his trunk and held him level with Pudmini 's forehead, in front of the great Petersen Sahib."," Malý Tumé byl příliš ustrašen, aby byl mohl promluvit, ale Kala Nag stál za ním, a Tumé mu dal znamení rukou, a slon ho uchopil svým chobotem a držel ho v stejné výši s Pudmininým čelem, proti vznešenému Sahibu Petersenovi."
"caught","catch","uchopil","uchopit","pf"," Little Toomai was too frightened to speak, but Kala Nag was behind him, and Toomai made a sign with his hand, and the elephant caught him up in his trunk and held him level with Pudmini 's forehead, in front of the great Petersen Sahib."," Malý Tumé byl příliš ustrašen, aby byl mohl promluvit, ale Kala Nag stál za ním, a Tumé mu dal znamení rukou, a slon ho uchopil svým chobotem a držel ho v stejné výši s Pudmininým čelem, proti vznešenému Sahibu Petersenovi."
"held","hold","držel","držet","impf"," Little Toomai was too frightened to speak, but Kala Nag was behind him, and Toomai made a sign with his hand, and the elephant caught him up in his trunk and held him level with Pudmini 's forehead, in front of the great Petersen Sahib."," Malý Tumé byl příliš ustrašen, aby byl mohl promluvit, ale Kala Nag stál za ním, a Tumé mu dal znamení rukou, a slon ho uchopil svým chobotem a držel ho v stejné výši s Pudmininým čelem, proti vznešenému Sahibu Petersenovi."
"told","tell","vyprávěl","vyprávět","impf"," Limmershin, the Winter Wren, told me the tale when he was blown on to the rigging of a steamer going to Japan, and I took him down into my cabin and warmed and fed him for a couple of days till he was fit to fly back to St. Paul 's again."," Limmeršin, střízlík lední, vyprávěl mi tento příběh, když byl zavát do lanoví parníku, jedoucího do Japonska, a když jsem jej vzal dolů do své kajuty a zahřál a nakrmil jej po několik dní, až byl opět schopen odletěti zpět k Sv. Pavlu."
"took","take","vzal","vzít","pf"," Limmershin, the Winter Wren, told me the tale when he was blown on to the rigging of a steamer going to Japan, and I took him down into my cabin and warmed and fed him for a couple of days till he was fit to fly back to St. Paul 's again."," Limmeršin, střízlík lední, vyprávěl mi tento příběh, když byl zavát do lanoví parníku, jedoucího do Japonska, a když jsem jej vzal dolů do své kajuty a zahřál a nakrmil jej po několik dní, až byl opět schopen odletěti zpět k Sv. Pavlu."
