"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"running","run","utíkat","utíkat","impf"," "" And I will carry on jumping on them, "" yelled Arthur, still running, "" until I get blisters, or I can think of anything even more unpleasant to do, and then ... """," "" A budu po nich skákat dál, "" Arthur nepřestával utíkat a řvát, "" až si udělám puchýře, anebo si vymyslím něco ještě nepříjemnějšího, a pak ... """
"yelled","yell","řvát","řvát","impf"," "" And I will carry on jumping on them, "" yelled Arthur, still running, "" until I get blisters, or I can think of anything even more unpleasant to do, and then ... """," "" A budu po nich skákat dál, "" Arthur nepřestával utíkat a řvát, "" až si udělám puchýře, anebo si vymyslím něco ještě nepříjemnějšího, a pak ... """
"do","do","udělám","udělat","pf"," "" And I will carry on jumping on them, "" yelled Arthur, still running, "" until I get blisters, or I can think of anything even more unpleasant to do, and then ... """," "" A budu po nich skákat dál, "" Arthur nepřestával utíkat a řvát, "" až si udělám puchýře, anebo si vymyslím něco ještě nepříjemnějšího, a pak ... """
"thought","think","myslela","myslet","impf"," Zaphod Beeblebrox, adventurer, ex-hippy, good timer, ( crook? quite possibly ), manic self-publicist, terribly bad at personal relationships, often thought to be completely out to lunch."," Zafod Bíblbrox, dobrodruh, bývalý hipík, srandista, ( cvok? patrně ano ), grafoman, packal v mezilidských vztazích, o nemž si většina lidí myslela, že je úplně mimo mísu."
"introduced","introduce","představeno","představit","pf"," But it was not in any way a coincidence that today, the day of culmination of the project, the great day of unveiling, the day that the Heart of Gold was finally to be introduced to a marvelling Galaxy, was also a great day of culmination for Zaphod Beeblebrox."," Ale v žádném případě nebylo náhodnou shodou okolností, že dnešní velký den vyvrcholení a odhalení, den, kdy Srdce ze zlata mělo být konečně představeno žasnoucí Galaxii, byl také vyvrcholením mnoha let úsilí pro Zafoda Bíblbroxe."
"open","open","otvírají","otvírat","impf"," It is their pleasure to open for you, and their satisfaction to close again with the knowledge of a job well done. """," Když vám otvírají, je to pro ně potěšení, a když za vámi zavírají, pociťují uspokojení z dobře vykonané práce. """
"close","close","zavírají","zavírat","impf"," It is their pleasure to open for you, and their satisfaction to close again with the knowledge of a job well done. """," Když vám otvírají, je to pro ně potěšení, a když za vámi zavírají, pociťují uspokojení z dobře vykonané práce. """
"closed","close","zavřely","zavřít","pf"," As the door closed behind them it became apparent that it did indeed have a satisfied sigh-like quality to it."," Dveře se za ním zavřely a ukázalo se, že skutečně vydávají cosi jako spokojené vzdechy."
"said","say","řekly","říci","pf"," "" Hummmmmmmyummmmmmm ah! "" it said."," "" Mmmmmmmmmmmmm, ách! "" řekly."
"finds","find","najde","najít","pf"," Any bloody machine goes and actually finds it and we 're straight out of a job are n't we?"," A teď ji najednou ňáká pitomá mašina jednoduše najde, a my budeme na dlažbě, co?"
"gives","give","dá","dát","pf"," I mean what 's the use of our sitting up half the night arguing that there may or may not be a God if this machine only goes and gives us his bleeding phone number the next morning? """," Má pak vůbec vysedávat po nocích a handrkovat se, zda Bůh je anebo třeba taky není, když tahle zatracená mašina ti hned ráno dá jeho telefonní číslo? """
"demand","demand","Žádáme","žádat","impf"," "" we demand rigidly defined areas of doubt and uncertainty! """," "" Žádáme přesné vymezení oblastí pochyb a nejistot! """
"said","say","odpověděl","odpovědět","pf"," "" In my aircar, "" said the old man motioning Arthur to get into the craft which had settled silently next to them."," "" Do mého aeroauta, "" odpověděl muž a pokynul Arthurovi, aby nastoupil do plavidla, které neslyšně přistálo vedle nich."
"trying","try","snažil","snažit","impf"," Zaphod marched quickly down the passageway, nervous as hell, but trying to hide it by striding purposefully."," Zafod rychle postupoval chodbou a snažil se rostoucí nervozitu maskovat rázným vykračováním."
"tell","tell","říkal","říkat","impf"," "" There, what did I tell you? "" he said."," "" Vidíte, co jsem říkal? "" povzbuzoval své společníky."
"said","say","říkal","říkat","impf"," "" There, what did I tell you? "" he said."," "" Vidíte, co jsem říkal? "" povzbuzoval své společníky."
"reminded","remind","připomnělo","připomenout","pf"," Trillian was reminded unavoidably of the London Underground, though it was less thoroughly squalid."," Trillian to připomnělo londýnskou podzemku, přestože nebývala zaneřáděná tak systematicky."
"talk","talk","promluvit","promluvit","pf"," "" We 've got to talk, "" he said urgently."," "" Musíme si promluvit, "" řekl naléhavě."
"said","say","řekl","říci","pf"," "" We 've got to talk, "" he said urgently."," "" Musíme si promluvit, "" řekl naléhavě."
"said","say","řekl","říci","pf"," "" Fine, "" said Arthur,"," "" Bezva, "" řekl Arthur."
"drink","drink","napít","napít","pf"," "" And drink, "" said Ford."," "" A něčeho se napít, "" naléhal stále víc Ford."
"talk","talk","promluvit","promluvit","pf"," "" It 's vitally important that we talk and drink."," "" Je to strašně důležitý, promluvit si a napít se."
"closed","close","zavíral","zavírat","impf"," "" It 'll all end in tears, I know it, "" shouted Eddie after them and closed the hatchway again."," "" Však vy se vrátíte s brekem, já to vím, "" pokřikoval za nimi Eddie, když zavíral příklop."
"opened","open","otevřel","otevřít","pf"," A few minutes later he opened and closed the hatchway again in response to a command that caught him entirely by surprise."," O několik minut později ho zase otevřel a znovu zavřel na příkaz, který ho zaskočil nepřipraveného."
"closed","close","zavřel","zavřít","pf"," A few minutes later he opened and closed the hatchway again in response to a command that caught him entirely by surprise."," O několik minut později ho zase otevřel a znovu zavřel na příkaz, který ho zaskočil nepřipraveného."
"like","like","líbí","líbit","impf"," "" I 'm sorry, but I happen to like it. """," "" Mně se bohužel zrovna líbí. """
"like","like","líbit","líbit","impf"," "" You 'll like the bypass. """," "" Dálnice se vám bude taky líbit. """
"stand","stand","Nemáš","mít","impf"," You have n't got a leg to stand on and you know it. """," Nemáš nárok a moc dobře to víš. """
"crept","creep","šplhal","šplhat","impf"," It crept up by slight degrees and spread sideways in a thin crescent blade, and within seconds two suns were visible, furnaces of light, searing the black edge of the horizon with white fire."," Zvolna šplhal vzhůru, rozšířil se v tenký srpek a za několik vteřin už to byla dvě slunce, dvě světelné výhně, sežehující černý okraj horizontu bílým ohněm."
"spread","spread","rozšířil","rozšířit","pf"," It crept up by slight degrees and spread sideways in a thin crescent blade, and within seconds two suns were visible, furnaces of light, searing the black edge of the horizon with white fire."," Zvolna šplhal vzhůru, rozšířil se v tenký srpek a za několik vteřin už to byla dvě slunce, dvě světelné výhně, sežehující černý okraj horizontu bílým ohněm."
"thought","think","domníval","domnívat","impf"," "" So your brain was an organic part of the penultimate configuration of the computer programme, "" said Ford, rather lucidly he thought."," "" Takže tvůj mozek je organickou součástí jedné z posledních konfigurací programu tohoto počítače, "" doplnil Ford důvtipně, jak se alespoň domníval."
"felt","feel","necítil","cítit","impf"," He was n't aware of ever having felt an organic part of anything."," Kam jeho poměť sahala, necítil se nikdy organickou součástí ničeho."
"looked","look","očekával","očekávat","impf"," He looked into the sky again, nervous, expectant."," Znovu se nervózně zadíval do nebe, jako by něco očekával."
"understand","understand","nechápeš","chápat","impf"," "" Look, do n't you understand? "" shouted Arthur."," "" Hele, copak to nechápeš? "" teď už ječel Arthur."
"wants","want","chce","chtít","impf"," He pointed at Prosser. "" That man wants to knock my house down! """," "" Tenhle chlap mi chce zbourat barák! "" ukázal na Prossera."
"pointed","point","ukázal","ukázat","pf"," He pointed at Prosser. "" That man wants to knock my house down! """," "" Tenhle chlap mi chce zbourat barák! "" ukázal na Prossera."
"do","do","udělat","udělat","pf"," "" Well he can do it while you 're away ca n't he? "" he asked."," "" Ale to přece může klidně udělat, i když tu nebudeš, ne? """
"want","want","nechci","chtít","impf"," "" But I do n't want him to! """," "" Ale já právě nechci, aby to udělal! """
"do","do","udělal","udělat","pf"," "" But I do n't want him to! """," "" Ale já právě nechci, aby to udělal! """
"turned","turn","obrátil","obrátit","pf"," "" No, "" said Slartibartfast, "" it wo n't be, "" and he turned the aircar round and headed back towards the mind-numbing wall."," "" To asi ne, "" uznal Slartibartfast a obrátil aeroauto zpět k duchamorné stěně."
"say","say","říct","říci","pf"," There was something very slightly odd about him, but it was difficult to say what it was."," Bylo na něm prostě něco divného, ale těžko říct co."
"blink","blink","nemrkaly","mrkat","impf"," Perhaps it was that his eyes did n't blink often enough and when you talked to him for any length of time your eyes began involuntarily to water on his behalf."," Snad to způsobovalo, že jeho oči nemrkaly dost často, a i když jste s ním mluvili třeba jen chviličku, donutil vás k slzám."
"talked","talk","mluvili","mluvit","impf"," Perhaps it was that his eyes did n't blink often enough and when you talked to him for any length of time your eyes began involuntarily to water on his behalf."," Snad to způsobovalo, že jeho oči nemrkaly dost často, a i když jste s ním mluvili třeba jen chviličku, donutil vás k slzám."
"excited","excite","vzrušen","vzrušit","pf"," Ford was wildly excited."," Ford byl krajně vzrušen."
"picked","pick","Sebrala","sebrat","pf"," We 've been picked up by a ship powered by the Infinite Improbability Drive!"," Sebrala nás loď poháněná nekonečnou nepravděpodobností!"
"heard","hear","slyšel","slyšet","impf"," I heard rumors about it before!"," Už dřív jsem o tom slyšel nějaký drby."
"denied","deny","popřela","popřít","pf"," They were all officially denied, but they must have done it!"," Oficiální místa sice všechno popřela, ale tady vidíš, že to dokázali!"
"built","build","Postavili","postavit","pf"," They 've built the Improbability Drive!"," Postavili loď na nekonečnou nepravděpodobnost!"
"shooting","shoot","střílel","střílet","impf"," I do n't go around gratuitously shooting people and then bragging about it afterwards in seedy space-rangers bars, like some cops I could mention!"," Tak třeba o mně nikdo nemůže říct, že bych jen tak nazdařbůh střílel lidi a pak se vytahoval v zaplivanejch kosmickejch putikách!"
"spent","spend","strávil","strávit","pf"," On those criteria Zaphod Beeblebrox is one of the most successful Presidents the Galaxy has ever had - he has already spent two of his ten Presidential years in prison for fraud."," Podle těchto měřítek je Zafod Bíblbrox jeden z nejúspěšnějších prezidentů, jaké kdy Galaxie měla - dva roky z desetiletého funkčního období už strávil ve vězení za podvod."
"believe","believe","věří","věřit","impf"," Most of the others secretly believe that the ultimate decision-making process is handled by a computer."," Většina ostatních věří, že konečný proces rozhodování je řízen počítačem."
"handled","handle","řízen","řídit","impf"," Most of the others secretly believe that the ultimate decision-making process is handled by a computer."," Většina ostatních věří, že konečný proces rozhodování je řízen počítačem."
"hold","hold","udržet","udržet","pf"," Arthur had jammed himself against the door to the cubicle, trying to hold it closed, but it was ill fitting."," Arthur ležel připlácnutý na dveřích krychle a pokošel se je udržet zavřené, ale dveře nedoléhaly."
"want","want","chtějí","chtít","impf"," he said, "" there 's an infinite number of monkeys outside who want to talk to us about this script for Hamlet they 've worked out. """," Venku čeká nekonečný počet opic, které s námi chtějí debatovat o novém nastudování Hamleta. """
"remained","remain","zůstal","zůstat","pf"," Because of this topological awkwardness Damogran has always remained a deserted planet."," Díky této topografické zvláštnosti zůstal Damogran vždycky neobydlenou planetou."
"chose","choose","vybrala","vybrat","pf"," This is why the Imperial Galactic Government chose Damogran for the Heart of Gold project, because it was so deserted and the Heart of Gold was so secret."," Proto se ho také Imperiální galaktická vláda vybrala pro uskutečnění přísně tajného projektu Srdce ze zlata."
"said","say","říkal","říkat","impf"," But if it 's mostly lousy, "" he said, slowly giving the words time to reach their mark, "" then why do you do it? What is it?"," Ale jestli je to taková mizérie, "" říkal pomalu, aby každé slovo mělo čas zapůsobit, "" co v tom tedy je?"
"decides","decide","rozhodl","rozhodnout","pf"," "" One day, young Zaphod here decides to raid one."," Jednoho krásného dne se tady mladý Zafod rozhodl, že se do jednoho z nich vloupá."
"want","want","chtěl","chtít","impf"," I went along for the ride because I 'd got some very safe money on him not doing it, and did n't want him coming back with fake evidence."," Letěl jsem s ním, protože jsem se vsadil o slušné peníze, že to nedokáže, a chtěl jsem mít jistotu, že nezfalšuje důkazy."
"said","say","řekl","říci","pf"," "" Alright, "" said Deep Thought."," "" No dobře, "" řekl klidně Hlubina myšlení."
"spoke","speak","promluvil","promluvit","pf"," It was a long time before anyone spoke."," Trvalo dlouho, než někdo promluvil."
"said","say","řekl","říci","pf"," "" Oh, probably just coincidences, "" said Slartibartfast carelessly."," "" Nejspíš nějaké náhody, "" řekl Slartibartfast lhostejně."
"waiting","wait","čekal","čekat","impf"," He opened the door and stood waiting for Arthur to follow."," Stál v otevřených dveřích a čekal na Arthura."
"did","do","udělalo","udělat","pf"," Another one followed and did the same thing only louder."," Přiletělo další něco a udělalo přesně totéž, jenomže hlasitěji."
"say","say","říct","říci","pf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"doing","do","dělali","dělat","impf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"did","do","dělali","dělat","impf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"doing","do","dělali","dělat","impf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"doing","do","dělají","dělat","impf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"did","do","dělají","dělat","impf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"doing","do","dělají","dělat","impf"," It 's difficult to say exactly what the people on the surface of the planet were doing now, because they did n't really know what they were doing themselves."," Těžko říct, co v tom okamžiku dělali lidé na povrchu planety, protože sami pořádně nevěděli, co to vlastně dělají."
"emphasized","emphasize","zdůraznit","zdůraznit","pf"," This should be emphasized because, as had already been revealed, they escape otherwise completely unharmed and the deadly nuclear missiles do not eventually hit the ship."," Tuto skutečnost je třeba náležitě zdůraznit, neboť, jak už bylo řečeno, jinak všichni uniknou bez nejmenšího zranění a smrtonosné nukleární střely loď nakonec nezasáhnou."
"escape","escape","uniknou","uniknout","pf"," This should be emphasized because, as had already been revealed, they escape otherwise completely unharmed and the deadly nuclear missiles do not eventually hit the ship."," Tuto skutečnost je třeba náležitě zdůraznit, neboť, jak už bylo řečeno, jinak všichni uniknou bez nejmenšího zranění a smrtonosné nukleární střely loď nakonec nezasáhnou."
"hit","hit","nezasáhnou","zasáhnout","pf"," This should be emphasized because, as had already been revealed, they escape otherwise completely unharmed and the deadly nuclear missiles do not eventually hit the ship."," Tuto skutečnost je třeba náležitě zdůraznit, neboť, jak už bylo řečeno, jinak všichni uniknou bez nejmenšího zranění a smrtonosné nukleární střely loď nakonec nezasáhnou."
"assured","assure","zajištěno","zajistit","pf"," The safety of the crew is absolutely assured."," Naprosté bezpečí posádky je zajištěno."
"turn","turn","zapni","zapnout","pf"," "" Then turn the bloody engines back on! "" bawled Zaphod."," "" Tak ksakru zapni ty zatracený motory! "" vyštěkl Zafod."
"do","do","jde","jít","impf"," Not only is it a wholly remarkable book, it is also a highly successful one - more popular than the Celestial Home Care Omnibus, better selling than Fifty More Things to do in Zero Gravity, and[ ]more controversial than Oolon Colluphid 's trilogy of philosophical blockbusters Where God Went Wrong, Some More of God 's Greatest Mistakes and Who is this God Person Anyway?"," Je to kniha nejen pozoruhodná, ale i velmi úspěšná - je úspěšnější než Nebeský rádce hospodyněk, jde na odbyt lépe než Ještě třiapadesátero, co dělat při nulové gravitaci a je diskutabilnější než trilogie filozofických trháků Úlona Kolufida Kde udělal Pámbů chybu, Výběr největších Božích omylů a Co je vlastně ten Pámbů zač?"
"do","do","dělat","dělat","impf"," Not only is it a wholly remarkable book, it is also a highly successful one - more popular than the Celestial Home Care Omnibus, better selling than Fifty More Things to do in Zero Gravity, and[ ]more controversial than Oolon Colluphid 's trilogy of philosophical blockbusters Where God Went Wrong, Some More of God 's Greatest Mistakes and Who is this God Person Anyway?"," Je to kniha nejen pozoruhodná, ale i velmi úspěšná - je úspěšnější než Nebeský rádce hospodyněk, jde na odbyt lépe než Ještě třiapadesátero, co dělat při nulové gravitaci a je diskutabilnější než trilogie filozofických trháků Úlona Kolufida Kde udělal Pámbů chybu, Výběr největších Božích omylů a Co je vlastně ten Pámbů zač?"
"do","do","udělal","udělat","pf"," Not only is it a wholly remarkable book, it is also a highly successful one - more popular than the Celestial Home Care Omnibus, better selling than Fifty More Things to do in Zero Gravity, and[ ]more controversial than Oolon Colluphid 's trilogy of philosophical blockbusters Where God Went Wrong, Some More of God 's Greatest Mistakes and Who is this God Person Anyway?"," Je to kniha nejen pozoruhodná, ale i velmi úspěšná - je úspěšnější než Nebeský rádce hospodyněk, jde na odbyt lépe než Ještě třiapadesátero, co dělat při nulové gravitaci a je diskutabilnější než trilogie filozofických trháků Úlona Kolufida Kde udělal Pámbů chybu, Výběr největších Božích omylů a Co je vlastně ten Pámbů zač?"
"cried","cry","zvolal","zvolat","pf"," "" O people waiting in the Shadow of Deep Thought! "" he cried out."," "" Ó lide, vyčkávající ve stínu Hlubiny myšlení! "" zvolal."
"broke","break","propukl","propuknout","pf"," Wild cheers broke out amongst the crowd."," Dav propukl v bouřlivý jásot."
"going","go","míří","mířit","impf"," He threw away a copy of Joseph and the Amazing Technicolor Dreamcoat, he threw away a copy of Godspell : He would n't need them where he was going."," Odhodil scénář "" Josefa a čarovného televizních pláště "", odhodil i výtisk Bohem zakletého - tam, kam míří, už je nebude potřebovat."
"need","need","potřebovat","potřebovat","impf"," He threw away a copy of Joseph and the Amazing Technicolor Dreamcoat, he threw away a copy of Godspell : He would n't need them where he was going."," Odhodil scénář "" Josefa a čarovného televizních pláště "", odhodil i výtisk Bohem zakletého - tam, kam míří, už je nebude potřebovat."
"hit","hit","zasáhlo","zasáhnout","pf"," A sudden silence hit the Earth."," Zemi zasáhlo náhlé ticho."
"hung","hang","visely","viset","impf"," The great ships hung motionless in the air, over every nation on Earth."," Obrovské lodi nehybně visely na obloze, nad všemi pozemskými státy."
"commissioned","commission","objednaly","objednat","pf"," "" Earthman, the planet you lived on was commissioned, paid for, and run by mice."," "" Milý pozemšťane, planetu, na níž jste žili, objednaly, zaplatily a provozovaly myši."
"paid","pay","zaplatily","zaplatit","pf"," "" Earthman, the planet you lived on was commissioned, paid for, and run by mice."," "" Milý pozemšťane, planetu, na níž jste žili, objednaly, zaplatily a provozovaly myši."
"run","run","provozovaly","provozovat","impf"," "" Earthman, the planet you lived on was commissioned, paid for, and run by mice."," "" Milý pozemšťane, planetu, na níž jste žili, objednaly, zaplatily a provozovaly myši."
"destroyed","destroy","zničena","zničit","pf"," It was destroyed five minutes before the completion of the purpose for which it was built, and we 've got to build another one. """," Byla zničena pět minut před tím, než mohl být dokončen projekt, kvůli němuž byla vybudována, a proto teď musíme postavit novou. """
"built","build","vybudována","vybudovat","pf"," It was destroyed five minutes before the completion of the purpose for which it was built, and we 've got to build another one. """," Byla zničena pět minut před tím, než mohl být dokončen projekt, kvůli němuž byla vybudována, a proto teď musíme postavit novou. """
"build","build","vybudována","vybudovat","pf"," It was destroyed five minutes before the completion of the purpose for which it was built, and we 've got to build another one. """," Byla zničena pět minut před tím, než mohl být dokončen projekt, kvůli němuž byla vybudována, a proto teď musíme postavit novou. """
"built","build","postavit","postavit","pf"," It was destroyed five minutes before the completion of the purpose for which it was built, and we 've got to build another one. """," Byla zničena pět minut před tím, než mohl být dokončen projekt, kvůli němuž byla vybudována, a proto teď musíme postavit novou. """
"build","build","postavit","postavit","pf"," It was destroyed five minutes before the completion of the purpose for which it was built, and we 've got to build another one. """," Byla zničena pět minut před tím, než mohl být dokončen projekt, kvůli němuž byla vybudována, a proto teď musíme postavit novou. """
"talking","talk","nemluvíme","mluvit","impf"," "" Look, sorry - are we talking about the little white furry things with the cheese fixation and women standing on tables screaming in early sixties sit coms? """," "" Pardon - nemluvíme oba o těch malých chlupatých zvířátkách se sýrovou mánií, co před nimi ženské v situačních komediích z šedesátých let vyskakují na stůl? """
"think","think","myslím","myslet","impf"," "" Though I do n't think, "" added Deep Thought, "" that you 're going to like it. """," "" Ačkoli si myslím, že se vám nebude zrovna moc líbít. """
"inquired","inquire","zeptal","zeptat","pf"," "" Now? "" inquired Deep Thought."," "" Teď hned? "" zeptal se Hlubina myšlení."
"said","say","řekl","říci","pf"," "" Alright, "" said the computer and settled into silence again."," "" Dobře, "" řekl počítač a opět umlkl."
"like","like","líbit","líbit","impf"," "" You 're really not going to like it, "" observed Deep Thought."," "" Ale opravdu se vám nebude líbit, "" poznamenal Hlubina myšlení."
"observed","observe","poznamenal","poznamenat","pf"," "" You 're really not going to like it, "" observed Deep Thought."," "" Ale opravdu se vám nebude líbit, "" poznamenal Hlubina myšlení."
"Tell","tell","Mluv","mluvit","impf"," "" Tell us! """," "" Mluv! """
"make","make","připravili","připravit","pf"," "" Well, "" said Zaphod, attacking a boneful of grilled muscle, "" our guests here have been gassing us and zapping our minds and being generally weird and have now given us a rather nice meal to make it up to us."," "" Hostitelé nás nejdřív zaplynovali, pak se nám snažili vypumpovat mozky a vůbec se chovali poněkud zvláštně, tak teď připravili tohle báječné jídlo, aby nám to vynahradili, "" vysvětloval Zafod a útočil přitom na grilovanou kost s přilehlou svalovinou."
"attacking","attack","útočil","útočit","impf"," "" Well, "" said Zaphod, attacking a boneful of grilled muscle, "" our guests here have been gassing us and zapping our minds and being generally weird and have now given us a rather nice meal to make it up to us."," "" Hostitelé nás nejdřív zaplynovali, pak se nám snažili vypumpovat mozky a vůbec se chovali poněkud zvláštně, tak teď připravili tohle báječné jídlo, aby nám to vynahradili, "" vysvětloval Zafod a útočil přitom na grilovanou kost s přilehlou svalovinou."
"shouted","shout","křikl","křiknout","pf"," "" Which would you prefer? "" shouted Ford."," "" Co byste radší? "" křikl Ford."
"continued","continue","trvala","trvat","impf"," The fusillade continued for several seconds at unbearable intensity."," Kanonáda trvala několik nesnesitelných vteřin."
"bothered","bother","neobtěžujete","obtěžovat","impf"," I 'm sorry, but if you ca n't be bothered to take an interest in local affairs that 's your own lookout."," Je mi líto, ale když se neobtěžujete zajímat ani o místní záležitosti, je to vaše chyba."
"chosen","choose","Vybírá","vybírat","impf"," He is apparently chosen by the government, but the qualities he is required to display are not those of leadership but those of finely judged outrage."," Vybírá ho vláda, avšak kvality, jimiž se má vyznačovat, rozhodně nejsou vůdcovské schopnosti, jde tu spíš o schopnost pobuřovat."
"believe","believe","věřit","věřit","impf"," The barman could n't believe the conversation he was having, but he could n't believe the sensation he had just had either."," Barmanovi se nechtělo věřit, že vede takovýhle hovor, ale pocitu, který zakusil před chvílí, přece také nemohl uvěřit."
"believe","believe","věřit","věřit","impf"," The barman could n't believe the conversation he was having, but he could n't believe the sensation he had just had either."," Barmanovi se nechtělo věřit, že vede takovýhle hovor, ale pocitu, který zakusil před chvílí, přece také nemohl uvěřit."
"believe","believe","uvěřit","uvěřit","pf"," The barman could n't believe the conversation he was having, but he could n't believe the sensation he had just had either."," Barmanovi se nechtělo věřit, že vede takovýhle hovor, ale pocitu, který zakusil před chvílí, přece také nemohl uvěřit."
"believe","believe","uvěřit","uvěřit","pf"," The barman could n't believe the conversation he was having, but he could n't believe the sensation he had just had either."," Barmanovi se nechtělo věřit, že vede takovýhle hovor, ale pocitu, který zakusil před chvílí, přece také nemohl uvěřit."
"do","do","udělat","udělat","pf"," "" Is n't there anything we can do about it then? "" he said."," "" A nemůžeme s tím něco udělat? "" zeptal se."
"laughed","laugh","zasmál","zasmát","pf"," Someone in the hushed bar suddenly laughed raucously at how stupid everyone had become."," Kdosi ve ztichlém baru se chraptivě zasmál, co že to všichni blbnou."
"heard","hear","zaslechl","zaslechnout","pf"," The Damogran Frond Crested Eagle had heard of the notion of survival of the species but wanted no truck with it."," Damogranský orel čupřinohlavý sice zaslechl cosi o přirozené selekci, ale nechtěl s tou myšlenkou mít nic společného."
"wanted","want","nechtěl","chtít","impf"," The Damogran Frond Crested Eagle had heard of the notion of survival of the species but wanted no truck with it."," Damogranský orel čupřinohlavý sice zaslechl cosi o přirozené selekci, ale nechtěl s tou myšlenkou mít nic společného."
"needing","need","potřebovat","potřebovat","impf"," Zaphod Beeblebrox would not be needing his set speech and he gently deflected the one being offered him by the spider."," Zafod Bíblbrox věděl, že nebude připravený projev potřebovat, a proto jemně odstrčil lejstra nabízená pavoukem."
"meet","meet","poznat","poznat","pf"," ( Sass : know, be aware of, meet, have sex with;"," ( sasovat = znát, brát na vědomí, seznámit se s, poznat po sexuální stránce;"
"began","begin","začal","začít","pf"," Nestling quietly on top of the towel in Ford Prefect 's satchel, the Sub-Etha Sens-O-Matic began to wink more quickly."," Ve svém hnízdě na ručníku ve Fordově brašně začal senzomatický subéterový přijímač pomrkávat o něco rychleji."
"decided","decide","rozhodli","rozhodnout","pf"," At Jodrell Bank, someone decided it was time for a nice relaxing cup of tea."," V Jordell Banku se právě rozhodli, že je na čase trochu si dáchnout u šálku čaje."
"said","say","řekl","říci","pf"," "" Exactly! "" said Deep Thought."," "" Právě! "" řekl Hlubina myšlení."
"means","mean","znamená","znamenat","impf"," "" So once you do know what the question actually is, you 'll know what the answer means. """," "" Až budete znát přesné znění otázky, pochopíte, co znamená odpověď. """
"occurred","occur","napadlo","napadnout","pf"," Then it occurred to me that the way it seemed was that someone else was using my mind to have good ideas with, without telling me about it."," Pak mě napadlo, že to vypadá, jako by někdo bez mého vědomí používal mého mozku, aby si jím vymýšlel dobré nápady."
"using","use","používal","používat","impf"," Then it occurred to me that the way it seemed was that someone else was using my mind to have good ideas with, without telling me about it."," Pak mě napadlo, že to vypadá, jako by někdo bez mého vědomí používal mého mozku, aby si jím vymýšlel dobré nápady."
"put","put","dal","dát","pf"," I put the two ideas together and decided that maybe that somebody had locked off part of my mind for that purpose, which was why I could n't use it."," Když jsem dal tohle dohromady, došel jsem k závěru, že si někdo pro tenhle účel část mého mozku zablokoval, což je důvod, proč ji nemůžu používat."
"locked","lock","zablokoval","zablokovat","pf"," I put the two ideas together and decided that maybe that somebody had locked off part of my mind for that purpose, which was why I could n't use it."," Když jsem dal tohle dohromady, došel jsem k závěru, že si někdo pro tenhle účel část mého mozku zablokoval, což je důvod, proč ji nemůžu používat."
"use","use","používat","používat","impf"," I put the two ideas together and decided that maybe that somebody had locked off part of my mind for that purpose, which was why I could n't use it."," Když jsem dal tohle dohromady, došel jsem k závěru, že si někdo pro tenhle účel část mého mozku zablokoval, což je důvod, proč ji nemůžu používat."
"check","check","ověřit","ověřit","pf"," I wondered if there was a way I could check."," Zajímalo mě, jestli se to dá nějak ověřit."
"stop","stop","Přestaň","přestat","pf"," "" I wish you 'd stop saying that, "" shouted Ford."," "" Přestaň s tím pořád otravovat, "" houkl na něj Ford."
"Walk","walk","kráčej","kráčet","impf"," "" Walk on through the rain ... "" sang Eddie."," "" Dál kráčej deštěm ..., "" pěl Eddie."
"sang","sing","pěl","pět","impf"," "" Walk on through the rain ... "" sang Eddie."," "" Dál kráčej deštěm ..., "" pěl Eddie."
"reach","reach","dosáhneme","dosáhnout","pf"," "" We could probably reach that. """," "" Na ten snad dosáhneme. """
"stayed","stay","zůstal","zůstat","pf"," Ford stayed, and went to examine the Blagulon ship."," Ford zůstal venku a pustil se do zkoumání Blagulonské lodi."
"exclaimed","exclaim","vykřikl","vykřiknout","pf"," "" Marvin! "" he exclaimed. "" What are you doing? """," "" Marvine! "" vykřikl, "" co to děláš? """
"doing","do","děláš","dělat","impf"," "" Marvin! "" he exclaimed. "" What are you doing? """," "" Marvine! "" vykřikl, "" co to děláš? """
