"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"felt","feel","Pociťoval","pociťovat","impf"," He felt a wave of anger and reproach at the words."," Pociťoval vyčítavý hněv pro taková slova."
"believe","believe","nevěřím","věřit","impf"," “ You know, I don ’ t believe that nonsense."," "" Víš - nevěřím na takové nesmysly."
"look","look","pohledět","pohledět","pf"," He did not dare to look her in the face."," Neodvážil se jí pohledět do tváře."
"trying","try","pokusil","pokusit","pf"," He got up, trying in a breaking voice to drive away the misery pressing in on him."," Vstal, pokusil se přeskakujícím hlasem rozplašit tíseň, která mu svírala hruď."
"pressing","press","svírala","svírat","impf"," He got up, trying in a breaking voice to drive away the misery pressing in on him."," Vstal, pokusil se přeskakujícím hlasem rozplašit tíseň, která mu svírala hruď."
"open","open","Otevřu","otevřít","pf"," “ I ’ ll open the window."," "" Otevřu okno."
"Picking","pick","Sebrala","sebrat","pf"," Picking up the black die from the floor she turned it between her fingers thoughtfully, and then let it fall."," Sebrala se země černou kostku, otáčela jí zamyšleně v prstech a pak hodila."
"turned","turn","otáčela","otáčet","impf"," Picking up the black die from the floor she turned it between her fingers thoughtfully, and then let it fall."," Sebrala se země černou kostku, otáčela jí zamyšleně v prstech a pak hodila."
"get","get","dopadne","dopadnout","pf"," If I get a six, everything ’ ll be alright."," Když padne šest, všechno dobře dopadne."
"throws","throw","házet","házet","impf"," The first time didn ’ t count, you have to have three throws."," Dřív to neplatilo, musí házet třikrát."
"get","get","dostanou","dostat","pf"," “ They ’ re going to get what ’ s coming to them from the Russians in the autumn, lad."," "" Na podzim dostanou od Rusa re, mládenče."
"put","put","položil","položit","pf"," He lay down beside her on his back and put her hand on his chest."," Svalil se podle ní na záda, položil si její ruku na hruď."
"warmed","warm","Hřála","hřát","impf"," It warmed him yet it was so light that it might not have been flesh and blood;"," Hřála a byla lehká, jako by byla zbavena hmotné tíže;"
"wrote","write","píše","psát","impf"," Aunt Bessy wrote to ask whether he wouldn ’ t spend the holidays with them."," Tetka Běta píše, aby přijel na prázdniny."
"say","say","říkáš","říkat","impf"," “ Why do you say such things?"," "" Proč to říkáš?"
"think","think","Myslím","myslet","impf"," Sometimes I think we ’ re mad, Paul."," Myslím si někdy, že blázníme, Pavle."
"go","go","odejít","odejít","pf"," If I had enough common sense and didn ’ t love you so much, I ’ d have to go away. ”"," Kdybych měla dost rozumu, kdybych tě měla míň ráda, musela bych odejít. """
"lit","light","zapálil","zapálit","pf"," He left it as she wanted and went back to the sofa. He lit a cigarette and the tiny red glow moved above them like a buoy on the rocking waters."," Vyhověl jí a vrátil se na pohovku, zapálil si cigaretu a rudé světélko zatěkalo nad nimi jako bóje na rozhoupané hladině."
"tried","try","pokoušeje","pokoušet","impf"," He put his left arm round her shoulder and tried to think of everyday things."," Levičkou ji objal kolem ramenou, pokoušeje se odvést myšlenky k všedním věcem."
"hated","hate","Nenáviděl","nenávidět","impf"," With his whole being he hated these vain thoughts about death, needlessly depressing."," Nenáviděl celou bytostí ty marné, zbytečně skličující úvahy o smrti."
"start","start","začíná","začínat","impf"," Why did she have to start talking about death?"," Proč o tom začíná?"
"heard","hear","Slyšel","slyšet","impf"," After every burst of noisy gun-fire he heard his mother ’ s sustained lament."," Slyšel matčino vytrvalé hořekování po každém závanu práskavého hřmotu."
"save","save","ochraň","ochránit","pf"," Jesus ... save us ..."," Ježíši ... ochraň nás ..."
"jumped","jump","Vyskočil","vyskočit","pf"," He jumped out of his warm bed, chattering with cold."," Vyskočil z vlahého tepla, drkotaje chladem."
"dashed","dash","vrhl","vrhnout","pf"," Naked he dashed to the open window, still unable to understand."," Nahý se vrhl k otevřenému oknu, nic nechápal."
"understand","understand","nechápal","chápat","impf"," Naked he dashed to the open window, still unable to understand."," Nahý se vrhl k otevřenému oknu, nic nechápal."
"Gazing","gaze","hleděl","hledět","impf"," Gazing open-eyed at the ceiling he tried for a long time to imagine her white face with its great dark eyes. Excitement drove sleep away."," Dlouho hleděl otevřenýma očima na strop, snaže si na něm představit bílou tvář s velkýma a temnýma očima, vzrušení plašilo spánek."
"imagine","imagine","představit","představit","pf"," Gazing open-eyed at the ceiling he tried for a long time to imagine her white face with its great dark eyes. Excitement drove sleep away."," Dlouho hleděl otevřenýma očima na strop, snaže si na něm představit bílou tvář s velkýma a temnýma očima, vzrušení plašilo spánek."
"sleep","sleep","Spát","spát","impf"," Sleep, he had to sleep; as soon as the sun rose he would run to her ..."," Spát, musí spát, až vyjde slunce, rozběhne se k ní ..."
"sleep","sleep","spát","spát","impf"," Sleep, he had to sleep; as soon as the sun rose he would run to her ..."," Spát, musí spát, až vyjde slunce, rozběhne se k ní ..."
"rose","rise","vyjde","vyjít","pf"," Sleep, he had to sleep; as soon as the sun rose he would run to her ..."," Spát, musí spát, až vyjde slunce, rozběhne se k ní ..."
"heard","hear","slyšela","slyšet","impf"," There were footsteps belonging to God knows whom. During the daytime she heard the throbbing of sewing machines in the room next door and the well-known voices from the tailor ’ s workshop - she could distinguish them by now."," Kroky, které bůhvíkomu patřily, ve dne slyšela hrkot šicích strojů odvedle, známé hlasy z krejčovny, už je rozeznávala."
"distinguish","distinguish","rozeznávala","rozeznávat","impf"," There were footsteps belonging to God knows whom. During the daytime she heard the throbbing of sewing machines in the room next door and the well-known voices from the tailor ’ s workshop - she could distinguish them by now."," Kroky, které bůhvíkomu patřily, ve dne slyšela hrkot šicích strojů odvedle, známé hlasy z krejčovny, už je rozeznávala."
"answered","answer","odpovídal","odpovídat","impf"," The hoarse whisper always answered the rasping voice, and then there were unknown voices, the voices of strangers."," Tomu skřípavému odpovídal šeplavý a potom neznámé, cizí hlasy."
"embrace","embrace","objímala","objímat","impf"," She would submit to his embrace with half-closed eyes, embracing him in her turn with all the force of her longing and her love."," Vzdávala se jeho pažím s přimhouřenýma očima a objímala ho vší silou svého citu a touhy."
"embracing","embrace","objímala","objímat","impf"," She would submit to his embrace with half-closed eyes, embracing him in her turn with all the force of her longing and her love."," Vzdávala se jeho pažím s přimhouřenýma očima a objímala ho vší silou svého citu a touhy."
"rising","rise","stoupala","stoupat","impf"," Desire was in her too, vague, rising in her bosom with an emotion she had never known before, and confusing her senses."," Touha byla i v ní, nezřetelná, stoupala z hrudi s neznámou něhou, mátla smysly."
"confusing","confuse","mátla","mást","impf"," Desire was in her too, vague, rising in her bosom with an emotion she had never known before, and confusing her senses."," Touha byla i v ní, nezřetelná, stoupala z hrudi s neznámou něhou, mátla smysly."
"hide","hide","Schovat","schovat","pf"," If only she could hide in him, hide it all, not be herself any more, wipe out the painful frontier where he ended and she began."," Schovat se do něho před vším, nebýt, smazat tu bolavou hranici, kde končí on a začíná ona."
"hide","hide","Schovat","schovat","pf"," If only she could hide in him, hide it all, not be herself any more, wipe out the painful frontier where he ended and she began."," Schovat se do něho před vším, nebýt, smazat tu bolavou hranici, kde končí on a začíná ona."
"wipe","wipe","smazat","smazat","pf"," If only she could hide in him, hide it all, not be herself any more, wipe out the painful frontier where he ended and she began."," Schovat se do něho před vším, nebýt, smazat tu bolavou hranici, kde končí on a začíná ona."
"ended","end","končí","končit","impf"," If only she could hide in him, hide it all, not be herself any more, wipe out the painful frontier where he ended and she began."," Schovat se do něho před vším, nebýt, smazat tu bolavou hranici, kde končí on a začíná ona."
"began","begin","začíná","začínat","impf"," If only she could hide in him, hide it all, not be herself any more, wipe out the painful frontier where he ended and she began."," Schovat se do něho před vším, nebýt, smazat tu bolavou hranici, kde končí on a začíná ona."
"go","go","odejít","odejít","pf"," How could she go away?"," Jak by mohla odejít?"
"see","see","Viděla","vidět","impf"," Through the window she could see a narrow strip of sky, and for hours on end she would gaze at it unwearied."," Viděla jím neširoký pruh oblohy a vydržela na ni hledět dlouhé hodiny;"
"see","see","hledět","hledět","impf"," Through the window she could see a narrow strip of sky, and for hours on end she would gaze at it unwearied."," Viděla jím neširoký pruh oblohy a vydržela na ni hledět dlouhé hodiny;"
"gaze","gaze","hledět","hledět","impf"," Through the window she could see a narrow strip of sky, and for hours on end she would gaze at it unwearied."," Viděla jím neširoký pruh oblohy a vydržela na ni hledět dlouhé hodiny;"
"see","see","viděla","vidět","impf"," She could see a roof covered with cracked tiles, sagging with age as if a giant had pressed it down with an invisible hand."," viděla i střechu se zpuchřelými taškami, prohnutou stářím, jako by se na ni položila neviditelná dlaň obra;"
"saw","see","nespatřil","spatřit","pf"," She could not go close to the window in case somebody in the house saw her."," Blízko okna se objevit nesměla, aby ji nikdo z domu nespatřil."
"remembered","remember","vzpomněl","vzpomenout","pf"," He remembered how he had loved playing with that mushroom when he was small."," Co si s tím hříbkem nahrál jako klouček, vzpomněl si."
"avoid","avoid","Vyhýbala","vyhýbat","impf"," She tried to avoid them."," Vyhýbala se jim."
"meet","meet","potkali","potkat","pf"," When they did meet, there were differences between the way they behaved."," Když ji potkali, chovali se rozdílně."
"behaved","behave","chovali","chovat","impf"," When they did meet, there were differences between the way they behaved."," Když ji potkali, chovali se rozdílně."
"whispered","whisper","zašeptali","zašeptat","pf"," Some just whispered “ Hullo! ” and avoided her eyes, not slowing their steps at all."," Někteří jen zašeptali s uhýbavými pohledy své "" Ahoj "" a nezpomalili krok."
"slowing","slow","nezpomalili","zpomalit","pf"," Some just whispered “ Hullo! ” and avoided her eyes, not slowing their steps at all."," Někteří jen zašeptali s uhýbavými pohledy své "" Ahoj "" a nezpomalili krok."
"breathed","breathe","dýchal","dýchat","impf"," Together they lived through the sweet June evenings, alone with the stars and the other ’ s breath, each happy to be with the other; around them breathed the old house."," Tady spolu žili ty sladké červnové večery, sami s hvězdami a dechem druhého, šťastni jeden druhým, a kolem nich dýchal starý dům."
"chattering","chatter","povídali","povídat","impf"," They whispered together, teasing each other, chattering nonsense and laughing softly, for they were young and by the laws of nature there was more joy in them than anything else."," Pošeptmo si povídali, často se škádlili, brebtali pošetilosti a potichu se smáli, protože podle přirozenosti mládí v nich přese všechno přebývala radost."
"laughing","laugh","smáli","smát","impf"," They whispered together, teasing each other, chattering nonsense and laughing softly, for they were young and by the laws of nature there was more joy in them than anything else."," Pošeptmo si povídali, často se škádlili, brebtali pošetilosti a potichu se smáli, protože podle přirozenosti mládí v nich přese všechno přebývala radost."
"nodded","nod","Přikývla","přikývnout","pf"," She nodded almost defiantly."," Přikývla hlavou skoro vzpurně."
"put","put","postavil","postavit","pf"," He picked up her case and put it on the seat, moving slowly to gain time and get over his surprise."," Zdvihl se země kufřík, postavil jej na lavičku, pohybuje se při tom loudavě, aby získal čas vyprostit se z překvapení."
"moving","move","pohybuje","pohybovat","impf"," He picked up her case and put it on the seat, moving slowly to gain time and get over his surprise."," Zdvihl se země kufřík, postavil jej na lavičku, pohybuje se při tom loudavě, aby získal čas vyprostit se z překvapení."
"gain","gain","získal","získat","pf"," He picked up her case and put it on the seat, moving slowly to gain time and get over his surprise."," Zdvihl se země kufřík, postavil jej na lavičku, pohybuje se při tom loudavě, aby získal čas vyprostit se z překvapení."
"get","get","získal","získat","pf"," He picked up her case and put it on the seat, moving slowly to gain time and get over his surprise."," Zdvihl se země kufřík, postavil jej na lavičku, pohybuje se při tom loudavě, aby získal čas vyprostit se z překvapení."
"sat","sit","Sedla","sednout","pf"," She sat down by the case again and put her arm round it."," Sedla si opět vedle kufříku a obemkla jej rukou."
"help","help","Pomůžeš","pomoci","pf"," You can help them with the harvest, look how kind it is of them."," Pomůžeš jim o žních, vidíš, jak se k nám teď pěkně chovají."
"taking","take","nosit","nosit","impf"," Since when have you started taking your supper into your own room, Paulie dear?"," Copak sis to zvykl nosit večeři k sobě do pokoje, Pavlíku?"
"going","go","jdeš","jít","impf"," Where are you going?"," Kam jdeš?"
"turned","turn","otočil","otočit","pf"," A chill ran down his spine and he hurriedly turned the knob, switching it off, and sighed with relief."," Mráz mu projel páteří, spěšně otočil knoflíkem, zhasl a vydechl."
"switching","switch","zhasl","zhasnout","pf"," A chill ran down his spine and he hurriedly turned the knob, switching it off, and sighed with relief."," Mráz mu projel páteří, spěšně otočil knoflíkem, zhasl a vydechl."
"turned","turn","obrátil","obrátit","pf"," When he turned round he couldn ’ t help bursting out laughing."," Když se obrátil, neudržel se smíchem."
"find","find","najít","najít","pf"," “ We must find it. ”"," "" Musíme je najít. """
"look","look","hledat","hledat","impf"," “ Why should we go and look for it?"," "" Proč hledat?"
"gave","give","dala","dát","pf"," Auntie gave me a packet of food for the journey, but I must have left it somewhere by the river."," Teta mi dala na cestu balíček, ale zapomněla jsem ho kdesi na nábřeží."
"left","leave","zapomněla","zapomenout","pf"," Auntie gave me a packet of food for the journey, but I must have left it somewhere by the river."," Teta mi dala na cestu balíček, ale zapomněla jsem ho kdesi na nábřeží."
"lost","lose","ztratila","ztratit","pf"," I completely lost my head. ”"," Dočista jsem ztratila hlavu. """
"eaten","eat","snědla","sníst","pf"," She bit into the slice of bread with animal voracity, washing it down with unsweetened ersatz coffee, and before he realised it she had eaten it all up and was wiping the crumbs from her mouth with her hand."," Zakousla se do krajíců s živočišnou hltavostí, zapíjejíc sousta neslazenou meltou, a než se nadál, všechno snědla a setřela rukou drobečky s pusy."
"watched","watch","Hleděl","hledět","impf"," He watched her with dumb joy and tight pity at the same time."," Hleděl na ni s němou radostí a svíravým smutkem současně."
"felt","feel","ucítila","ucítit","pf"," Then she felt a hand touch her."," A pak ucítila dotek rukou."
"allowed","allow","nesměla","smět","impf"," And then everything came thick and fast, no dancing lessons, she was not allowed to attend school, and then with dumb astonishment she realised that people were trying to persuade her, somehow without words, that she was different from the rest."," A pak se všechno řítilo jedno za druhým, taneční, škola, už do ní nesměla, a pak s němým úžasem zjišťovala, že jí chtějí lidé jaksi beze slova namluvit, že je jiná než ostatní."
"persuade","persuade","namluvit","namluvit","pf"," And then everything came thick and fast, no dancing lessons, she was not allowed to attend school, and then with dumb astonishment she realised that people were trying to persuade her, somehow without words, that she was different from the rest."," A pak se všechno řítilo jedno za druhým, taneční, škola, už do ní nesměla, a pak s němým úžasem zjišťovala, že jí chtějí lidé jaksi beze slova namluvit, že je jiná než ostatní."
"fled","flee","uprchlo","uprchnout","pf"," Several Jewish families fled abroad and unknown strangers moved into their houses, people who were hated by the rest of the inhabitants."," Několik židovských rodin uprchlo do ciziny a do jejich domů se nastěhovali cizí, neznámí lidé, které obyvatelé města nenáviděli."
"hated","hate","nenáviděli","nenávidět","impf"," Several Jewish families fled abroad and unknown strangers moved into their houses, people who were hated by the rest of the inhabitants."," Několik židovských rodin uprchlo do ciziny a do jejich domů se nastěhovali cizí, neznámí lidé, které obyvatelé města nenáviděli."
"run","run","utekli","utéci","pf"," Why had they run away?"," Proč utekli?"
"go","go","odejít","odejít","pf"," Must we go too, Daddy?"," Musíme také odejít, táto?"
"walked","walk","Chodil","chodit","impf"," He walked about the cool corridors, his body obeying the habits of gait and movement, and avoided his friends."," Chodil po chladných chodbách školy, tělo ovládané jen zvykem chůze a pohybu, vyhýbal se známým."
"avoided","avoid","vyhýbal","vyhýbat","impf"," He walked about the cool corridors, his body obeying the habits of gait and movement, and avoided his friends."," Chodil po chladných chodbách školy, tělo ovládané jen zvykem chůze a pohybu, vyhýbal se známým."
"end","end","skončit","skončit","pf"," Everything ’ s bound to end some day and then it ’ ll all be all right again. ”"," Jednou to přece musí všechno skončit a všechno bude zase dobré. """
"stretched","stretch","protáhla","protáhnout","pf"," She put her arms round his neck gratefully and stretched happily."," Ovinula mu vděčně paže kolem krku a šťastně se protáhla."
"tapped","tap","Klepl","klepnout","pf"," He tapped his forehead as a thought struck him - she would need something to eat!"," Klepl se do čela."
"saying","say","říká","říkat","impf"," From cellar to attic the house was occupied by people who had been living there for years and - as the saying goes knew what was cooking in every pot. They knew each other ’ s families unto the third and fourth generation and knew very well whom they could open their hearts to these days, and where it was better to give a wide berth."," Dům byl obydlen od sklepa až po střechu starousedlíky, kteří - jak se trefně říká - vidí jeden druhému pod pokličku, znají se navzájem až do pátého kolena a vědí, s kým je dnes možno porozprávět od plic a komu je lépe se vyhnout obloukem."
"flying","fly","Letěla","letět","impf"," it was a long passage, going through a narrow yard full of barrels and bottles, with stands for beating carpets; there were eyes, horrified eyes watched her, but she ran straight on, her splitting head refusing to think, her hair flying ... she was a machine, one, two ... she stumbled and her hand slipped down the damp, peeling plaster of the wall ... it held her and another sharp whistle brought her to her feet ... bang! rat-tat-tat ... on, go on!"," Letěla po oslizlých kamenech, hmatajíc rukama v čpavém příšeří ... pach záchodů a pivních splašek, průjezd, dlouhý, přerušený úzkým dvorkem, sudy a láhve, stojany na prášení koberců, oči, zahlédla čísi vyjevené oči, ale utíkala vpřed bez cíle, bez myšlenky v třeštící hlavě, s rozevlátými vlasy ... jen stroj, ráz, dva ... zakopla, pod dlaní ujíždí vlhká, oprýskávající omítka, zadržela ji, pronikavý hvizd jí pomohl na nohy ... prásk! dududu ... vpřed!"
"ran","run","utíkala","utíkat","impf"," it was a long passage, going through a narrow yard full of barrels and bottles, with stands for beating carpets; there were eyes, horrified eyes watched her, but she ran straight on, her splitting head refusing to think, her hair flying ... she was a machine, one, two ... she stumbled and her hand slipped down the damp, peeling plaster of the wall ... it held her and another sharp whistle brought her to her feet ... bang! rat-tat-tat ... on, go on!"," Letěla po oslizlých kamenech, hmatajíc rukama v čpavém příšeří ... pach záchodů a pivních splašek, průjezd, dlouhý, přerušený úzkým dvorkem, sudy a láhve, stojany na prášení koberců, oči, zahlédla čísi vyjevené oči, ale utíkala vpřed bez cíle, bez myšlenky v třeštící hlavě, s rozevlátými vlasy ... jen stroj, ráz, dva ... zakopla, pod dlaní ujíždí vlhká, oprýskávající omítka, zadržela ji, pronikavý hvizd jí pomohl na nohy ... prásk! dududu ... vpřed!"
"held","hold","zadržela","zadržet","pf"," it was a long passage, going through a narrow yard full of barrels and bottles, with stands for beating carpets; there were eyes, horrified eyes watched her, but she ran straight on, her splitting head refusing to think, her hair flying ... she was a machine, one, two ... she stumbled and her hand slipped down the damp, peeling plaster of the wall ... it held her and another sharp whistle brought her to her feet ... bang! rat-tat-tat ... on, go on!"," Letěla po oslizlých kamenech, hmatajíc rukama v čpavém příšeří ... pach záchodů a pivních splašek, průjezd, dlouhý, přerušený úzkým dvorkem, sudy a láhve, stojany na prášení koberců, oči, zahlédla čísi vyjevené oči, ale utíkala vpřed bez cíle, bez myšlenky v třeštící hlavě, s rozevlátými vlasy ... jen stroj, ráz, dva ... zakopla, pod dlaní ujíždí vlhká, oprýskávající omítka, zadržela ji, pronikavý hvizd jí pomohl na nohy ... prásk! dududu ... vpřed!"
"listening","listen","Posloucháš","poslouchat","impf"," Are you listening to what I ’ m saying? ”"," Posloucháš mě vůbec? """
"allowed","allow","nesmí","smět","impf"," She ’ s not allowed to go by train, it ’ s true, but they 'll unpick the star and she can dress a bit differently and nobody ’ ll know."," Ona sice nesmí jezdit vlakem, ale když odpárá hvězdu a trochu se přestrojí, nikdo nic nepozná."
"go","go","jezdit","jezdit","impf"," She ’ s not allowed to go by train, it ’ s true, but they 'll unpick the star and she can dress a bit differently and nobody ’ ll know."," Ona sice nesmí jezdit vlakem, ale když odpárá hvězdu a trochu se přestrojí, nikdo nic nepozná."
"reconcile","reconcile","smíří","smířit","pf"," No, he would reconcile himself and in the end he would wilt away behind the chemist ’ s counter in their little town."," Ne, ten se smíří, zplihne nakonec za pultem maloměstské apatyky."
"selling","sell","prodávat","prodávat","impf"," He ’ d end by being glad he was selling aspirins and laxatives."," Ještě rád bude prodávat aspiriny a projímadla."
"saw","see","viděla","vidět","impf"," She was not sorry for him when she saw how he evaded her in their conversations, and how he stammered when she asked him outright whether he wasn ’ t afraid to be keeping company with a Jewess."," Nebylo jí ho líto, když viděla, jak kličkuje v hovoru, jak blekotá, když se ho zpříma zeptá, nemá - li strach chodit se židovkou."
"asked","ask","zeptá","zeptat","pf"," She was not sorry for him when she saw how he evaded her in their conversations, and how he stammered when she asked him outright whether he wasn ’ t afraid to be keeping company with a Jewess."," Nebylo jí ho líto, když viděla, jak kličkuje v hovoru, jak blekotá, když se ho zpříma zeptá, nemá - li strach chodit se židovkou."
"keeping","keep","nemá","mít","impf"," She was not sorry for him when she saw how he evaded her in their conversations, and how he stammered when she asked him outright whether he wasn ’ t afraid to be keeping company with a Jewess."," Nebylo jí ho líto, když viděla, jak kličkuje v hovoru, jak blekotá, když se ho zpříma zeptá, nemá - li strach chodit se židovkou."
"wants","want","chtěla","chtít","impf"," Good heavens, I ’ m going to pieces - and I ’ d like him to find me attractive, terribly attractive - every woman wants to be attractive to the man she loves, only I can ’ t!"," Chátrám, uvažovala, ach bože - a chtěla bych se mu líbit, tolik moc líbit, každá žena se chce přece líbit tomu, koho má ráda, jen já nemohu!"
"loves","love","líbit","líbit","impf"," Good heavens, I ’ m going to pieces - and I ’ d like him to find me attractive, terribly attractive - every woman wants to be attractive to the man she loves, only I can ’ t!"," Chátrám, uvažovala, ach bože - a chtěla bych se mu líbit, tolik moc líbit, každá žena se chce přece líbit tomu, koho má ráda, jen já nemohu!"
"loves","love","líbit","líbit","impf"," Good heavens, I ’ m going to pieces - and I ’ d like him to find me attractive, terribly attractive - every woman wants to be attractive to the man she loves, only I can ’ t!"," Chátrám, uvažovala, ach bože - a chtěla bych se mu líbit, tolik moc líbit, každá žena se chce přece líbit tomu, koho má ráda, jen já nemohu!"
"wants","want","chce","chtít","impf"," Good heavens, I ’ m going to pieces - and I ’ d like him to find me attractive, terribly attractive - every woman wants to be attractive to the man she loves, only I can ’ t!"," Chátrám, uvažovala, ach bože - a chtěla bych se mu líbit, tolik moc líbit, každá žena se chce přece líbit tomu, koho má ráda, jen já nemohu!"
"loves","love","líbit","líbit","impf"," Good heavens, I ’ m going to pieces - and I ’ d like him to find me attractive, terribly attractive - every woman wants to be attractive to the man she loves, only I can ’ t!"," Chátrám, uvažovala, ach bože - a chtěla bych se mu líbit, tolik moc líbit, každá žena se chce přece líbit tomu, koho má ráda, jen já nemohu!"
"propped","prop","Opřela","opřít","pf"," She propped a pocket mirror up against an empty vase and tugged at her tangled hair with a comb."," Opřela kapesní zrcátko o prázdnou vázu a vjela hřebenem do rozcuchaných vlasů."
"admit","admit","nepřiznával","přiznávat","impf"," And the girls - shy, fleeting moments in Petřín park, ending in an awkward kiss before the house-door opens, a whiff of stale scent, curiosity and desire mingled with a humiliating fear of something as yet unknown, as yet undiscovered, but he tried to drive that away, he would not even admit it to himself."," A dívky, plaché, prchavé schůzky na Petříně, zakončené neobratným polibkem před zavřenými vraty domu, mdlá vůně voňavky, zvědavost a touha prostoupená zahanbující bázní před čímsi neznámým, dosud neobjeveným, ale tu zaháněl, tu si nepřiznával."
"thought","think","uvažoval","uvažovat","impf"," Occasionally he thought about the life he was living - hey, you there! That ’ s not the way to be living!"," Ty, uvažoval občas nad sebou, tak to není správné!"
"pressed","press","tiskla","tisknout","impf"," She gazed at him with dilated pupils and half-open mouth, and pressed the towel to her bosom."," Civěla na něho s rozšířenými zorničkami a pootevřenou pusou a tiskla ručník k prsům."
"said","say","řekl","říci","pf"," “ So you ’ re the gnome that wanders about here in the night, are you? ” the man said with a quiet laugh."," "" Tak ty jsi ten skřítek, co nám tu v noci řádí, "" řekl člověk s tichoučkým chichotáním."
"get","get","nedostala","dostat","pf"," She shook her head, but she couldn ’ t get a sound out."," Zavrtěla hlavou, ale nedostala ze sebe ani pípnutí."
"control","control","Neovládl","ovládnout","pf"," He could not control broken hissing sobs, heart-rending groans."," Neovládl přerývaný sykot, vzlykavé steny."
"wait","wait","Čekat","čekat","impf"," He could only wait, wait."," Čekat, čekat!"
"wait","wait","Čekat","čekat","impf"," He could only wait, wait."," Čekat, čekat!"
"wait","wait","čekat","čekat","impf"," He could only wait, wait."," Čekat, čekat!"
"wait","wait","čekat","čekat","impf"," He could only wait, wait."," Čekat, čekat!"
"found","find","najdou","najít","pf"," When they found her they would drag her out of her darkness."," Až ji najdou, vytáhnou ze tmy."
"come","come","přijdou","přijít","pf"," Then they would come and fetch him."," Pak přijdou pro ně."
"pressed","press","Stiskl","stisknout","pf"," He pressed his eyelids down."," Stiskl víčka."
"came","come","vstoupil","vstoupit","pf"," That day the new customer, Rejsek, came into the workshop again, knocking twice."," Toho dne vstoupil opět po dvojím zaklepání do krejčovny zákazník Rejsek."
"come","come","Přišel","přijít","pf"," He had come for the promised fitting, and blinked with surprise to see his roll of cloth still lying on the table uncut."," Přišel na sjednanou zkoušku a překvapeně zamrkal očima, když spatřil svou látku dosud nerozstříhanou ve štůčku na stole."
"see","see","Přišel","přijít","pf"," He had come for the promised fitting, and blinked with surprise to see his roll of cloth still lying on the table uncut."," Přišel na sjednanou zkoušku a překvapeně zamrkal očima, když spatřil svou látku dosud nerozstříhanou ve štůčku na stole."
"see","see","spatřil","spatřit","pf"," He had come for the promised fitting, and blinked with surprise to see his roll of cloth still lying on the table uncut."," Přišel na sjednanou zkoušku a překvapeně zamrkal očima, když spatřil svou látku dosud nerozstříhanou ve štůčku na stole."
"understand","understand","Nechápal","chápat","impf"," He didn ’ t understand."," Nechápal."
"tried","try","Snažila","snažit","impf"," She tried not to think, not to feel; a dull resigned calm came over her and surprised her."," Snažila se nemyslet, necítit, zmocnil se jí tupý klid odevzdanosti, sama jím byla překvapena."
"think","think","nemyslet","myslet","impf"," She tried not to think, not to feel; a dull resigned calm came over her and surprised her."," Snažila se nemyslet, necítit, zmocnil se jí tupý klid odevzdanosti, sama jím byla překvapena."
"feel","feel","necítit","cítit","impf"," She tried not to think, not to feel; a dull resigned calm came over her and surprised her."," Snažila se nemyslet, necítit, zmocnil se jí tupý klid odevzdanosti, sama jím byla překvapena."
"surprised","surprise","překvapena","překvapit","pf"," She tried not to think, not to feel; a dull resigned calm came over her and surprised her."," Snažila se nemyslet, necítit, zmocnil se jí tupý klid odevzdanosti, sama jím byla překvapena."
"rising","rise","vystupoval","vystupovat","impf"," There was a faint hint of dawn; the world was coming out of the shadows as if rising from deep waters; people were moving about in the gallery outside in the pale gloaming, like figures cut out of black paper and stuck on to grey."," Dnilo se slabounce, svět vystupoval z temnot jako z hlubokých vod, v nesmělém šerosvitu se na pavlači komíhaly lidské postavy, obrysy vystřižené z černého papíru a nalepené na šedivý."
"whispered","whisper","zašeptá","zašeptat","pf"," “ Sshh ...! ” the tailor whispered in a fright, and pointed his thumb towards the kitchen where his wife and the chatterbox of a neighbour were still at it."," "" Psst ...! "" zašeptá zlekaně krejčí a ukáže palcem do kuchyně, kde dosud žena rozpráví s brebtavou sousedkou."
"pointed","point","ukáže","ukázat","pf"," “ Sshh ...! ” the tailor whispered in a fright, and pointed his thumb towards the kitchen where his wife and the chatterbox of a neighbour were still at it."," "" Psst ...! "" zašeptá zlekaně krejčí a ukáže palcem do kuchyně, kde dosud žena rozpráví s brebtavou sousedkou."
"Take","take","Vezmi","vzít","pf"," “ Take it with you. ”"," "" Vezmi to s sebou! """
"burning","burn","hořeli","hořet","impf"," He had to bring his pals into the affair, and they bore out his story of his evening outings, burning with curiosity themselves."," Musel do nich zapřáhnout i kamarády, dosvědčovali mu jeho večerní vycházky a sami hořeli zvědavostí."
"following","follow","nesledují","sledovat","impf"," He looked round now and then in the street, to make sure they weren ’ t following him."," Občas se ohlížel na ulici, zdali ho nesledují."
"understood","understand","rozumět","rozumět","impf"," They no longer understood one another, but Paul could feel his father ’ s eyes watching him."," Přestali si rozumět, ale Pavel cítí, jak ho hlídá očima."
"feel","feel","cítí","cítit","impf"," They no longer understood one another, but Paul could feel his father ’ s eyes watching him."," Přestali si rozumět, ale Pavel cítí, jak ho hlídá očima."
"watching","watch","hlídá","hlídat","impf"," They no longer understood one another, but Paul could feel his father ’ s eyes watching him."," Přestali si rozumět, ale Pavel cítí, jak ho hlídá očima."
"waiting","wait","Čeká","čekat","impf"," He was waiting."," Čeká."
