"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"found","find","Našel","najít","pf"," He found strings that he 'd spliced back together after excising faulty segments."," Našel dráty, které kdysi pečlivě pospojoval poté, co odstranil poškozené úseky."
"excising","excise","odstranil","odstranit","pf"," He found strings that he 'd spliced back together after excising faulty segments."," Našel dráty, které kdysi pečlivě pospojoval poté, co odstranil poškozené úseky."
"found","find","Našel","najít","pf"," He found old serial strings whose broken sockets he 'd hot-wired with drops of solder."," Našel staré sériově zapojené řetězy, jejichž rozbité objímky zaletoval kapičkami pájky."
"do","do","dělal","dělat","impf"," He was amazed, in retrospect, that he 'd had time to do all this repair work amid so many other responsibilities."," Zpětně žasl nad tím, že měl při všech svých dalších povinnostech ještě čas na to, aby dělal takové titěrné opravy."
"waiting","wait","počkali","počkat","pf"," "" We 'll be setting up some tables in a couple of minutes, if you do n't mind waiting. """," "" Kdyby vám to nevadilo a chvilinku jste si počkali, hned necháme prostřít další stoly. """
"swallowed","swallow","polkla","polknout","pf"," Finch swallowed with difficulty-maybe self-consciousness, maybe insufficient chewing."," Finchová s obtížemi polkla - možná ji zradilo sebevědomí, možná prostě jen málo rozkousala sousto."
"introduced","introduce","představili","představit","pf"," Denise and Gary introduced themselves and Denise mentioned the letter that Alfred had been sent."," Denisa a Gary se představili a Denisa se zmínila o dopisu, který přišel Alfredovi."
"mentioned","mention","zmínila","zmínit","pf"," Denise and Gary introduced themselves and Denise mentioned the letter that Alfred had been sent."," Denisa a Gary se představili a Denisa se zmínila o dopisu, který přišel Alfredovi."
"eat","eat","sníst","sníst","pf"," "" I had to eat something, "" Finch explained, shoveling up lentils."," "" Musela jsem prostě něco sníst, "" vysvětlovala Finchová a hltala čočku."
"explained","explain","vysvětlovala","vysvětlovat","impf"," "" I had to eat something, "" Finch explained, shoveling up lentils."," "" Musela jsem prostě něco sníst, "" vysvětlovala Finchová a hltala čočku."
"think","think","Myslím","myslet","impf"," "" I think Joe was the one who wrote to your father."," "" Myslím, že vašemu otci psal Joe."
"wrote","write","psal","psát","impf"," "" I think Joe was the one who wrote to your father."," "" Myslím, že vašemu otci psal Joe."
"contained","contain","obsahovala","obsahovat","impf"," The brown envelope contained a meaty stack of fifty- and hundred-dollar bills."," Hnědá obálka obsahovala tučný svazek padesátidolarových a stodolarových bankovek."
"given","give","dal","dát","pf"," None of the young Webheads had reported to work today, and now Gitanas had given him a present, and snow was clinging to the boughs of spruces, and carolers in bulky coats were at the gate ..."," Ani jeden z mladých internetových géniů dnes nenastoupil do práce a teď mu Gitanas dal dárek, na prohnutých větvích smrků se houpal sníh a u brány stáli koledníci v tlustých kabátech ..."
"said","say","prohlásil","prohlásit","pf"," "" Surveillance is not a hobby, "" he said."," "" Odposlouchávání není koníček, "" prohlásil."
"suggested","suggest","navrhla","navrhnout","pf"," Mom was the one who suggested it."," Vlastně mi to celé navrhla máma."
"said","say","Řekla","říci","pf"," She said I could start with the kitchen. """," Řekla, že bych mohl začít v kuchyni. """
"start","start","začít","začít","pf"," She said I could start with the kitchen. """," Řekla, že bych mohl začít v kuchyni. """
"talk","talk","promluvím","promluvit","pf"," "" Better let me talk about this with Mom, all right? """," "" Tak já si o tom nejdřív promluvím s mámou, ano? """
"wait","wait","počkat","počkat","pf"," "" You can wait a few days."," "" Pár dní snad můžeš počkat."
"sensed","sense","cítil","cítit","impf"," "" For God 's sake, Chip, "" he said loudly, because he sensed that this might be his last chance to liberate himself before he lost all contact with that clarity and power and it was therefore crucial that Chip understand exactly what he wanted."," "" Pro boha živého, Chipe, "" ozval se nahlas, jelikož cítil, že je to možná jeho poslední příležitost se vyjádřit, než ztratí poslední spojení s tou schopností myslet a jednat, takže bylo zcela rozhodující, aby Chip přesně pochopil, o co otci jde."
"said","say","vyjádřit","vyjádřit","pf"," "" For God 's sake, Chip, "" he said loudly, because he sensed that this might be his last chance to liberate himself before he lost all contact with that clarity and power and it was therefore crucial that Chip understand exactly what he wanted."," "" Pro boha živého, Chipe, "" ozval se nahlas, jelikož cítil, že je to možná jeho poslední příležitost se vyjádřit, než ztratí poslední spojení s tou schopností myslet a jednat, takže bylo zcela rozhodující, aby Chip přesně pochopil, o co otci jde."
"lost","lose","ztratí","ztratit","pf"," "" For God 's sake, Chip, "" he said loudly, because he sensed that this might be his last chance to liberate himself before he lost all contact with that clarity and power and it was therefore crucial that Chip understand exactly what he wanted."," "" Pro boha živého, Chipe, "" ozval se nahlas, jelikož cítil, že je to možná jeho poslední příležitost se vyjádřit, než ztratí poslední spojení s tou schopností myslet a jednat, takže bylo zcela rozhodující, aby Chip přesně pochopil, o co otci jde."
"sensed","sense","pochopil","pochopit","pf"," "" For God 's sake, Chip, "" he said loudly, because he sensed that this might be his last chance to liberate himself before he lost all contact with that clarity and power and it was therefore crucial that Chip understand exactly what he wanted."," "" Pro boha živého, Chipe, "" ozval se nahlas, jelikož cítil, že je to možná jeho poslední příležitost se vyjádřit, než ztratí poslední spojení s tou schopností myslet a jednat, takže bylo zcela rozhodující, aby Chip přesně pochopil, o co otci jde."
"understand","understand","pochopil","pochopit","pf"," "" For God 's sake, Chip, "" he said loudly, because he sensed that this might be his last chance to liberate himself before he lost all contact with that clarity and power and it was therefore crucial that Chip understand exactly what he wanted."," "" Pro boha živého, Chipe, "" ozval se nahlas, jelikož cítil, že je to možná jeho poslední příležitost se vyjádřit, než ztratí poslední spojení s tou schopností myslet a jednat, takže bylo zcela rozhodující, aby Chip přesně pochopil, o co otci jde."
"asking","ask","Žádám","žádat","impf"," "" I 'm asking for your help!"," "" Žádám tě o pomoc!"
"got","get","dostat","dostat","pf"," You 've got to get me out of this!"," Musíš mě odtud nějak dostat."
"get","get","dostat","dostat","pf"," You 've got to get me out of this!"," Musíš mě odtud nějak dostat."
"hesitated","hesitate","zaváhala","zaváhat","pf"," Denise hesitated before replying with a polite and cordial "" Yes? """," Denisa zaváhala a pak teprve odpověděla zdvořilým a srdečným "" Ano? ""."
"replying","reply","odpověděla","odpovědět","pf"," Denise hesitated before replying with a polite and cordial "" Yes? """," Denisa zaváhala a pak teprve odpověděla zdvořilým a srdečným "" Ano? ""."
"taken","take","udělali","udělat","pf"," This hesitation confirmed Enid 's long-held belief that she and Alfred had taken a wrong turn somewhere in Denise 's upbringing."," To zaváhání utvrdilo Enid v dlouhodobém přesvědčení, že při výchově dcery udělali s Alfredem někde nějakou zcela zásadní chybu."
"want","want","Nechtěly","chtít","impf"," They did n't want the things that she and all her friends and all her friends ' children wanted."," Nechtěly věci, které ona a všichni její přátelé a všechny děti všech jejích přátel chtěli."
"wanted","want","Nechtěly","chtít","impf"," They did n't want the things that she and all her friends and all her friends ' children wanted."," Nechtěly věci, které ona a všichni její přátelé a všechny děti všech jejích přátel chtěli."
"want","want","chtěli","chtít","impf"," They did n't want the things that she and all her friends and all her friends ' children wanted."," Nechtěly věci, které ona a všichni její přátelé a všechny děti všech jejích přátel chtěli."
"wanted","want","chtěli","chtít","impf"," They did n't want the things that she and all her friends and all her friends ' children wanted."," Nechtěly věci, které ona a všichni její přátelé a všechny děti všech jejích přátel chtěli."
"realized","realize","myslela","myslet","impf"," While observing peripherally that the bathroom carpet was more spotted than she 'd realized and ought to be replaced before the holidays, Enid listened to Alfred offering to send Denise a pair of plane tickets."," Koutkem oka zaznamenávala, že kobereček v koupelně je o poznání flekatější, než si myslela, a že ho bude třeba ještě do svátků vyměnit, a současně poslouchala, jak Alfred dceři nabízí, že jí pošle dvě letenky na cestu domů."
"replaced","replace","vyměnit","vyměnit","pf"," While observing peripherally that the bathroom carpet was more spotted than she 'd realized and ought to be replaced before the holidays, Enid listened to Alfred offering to send Denise a pair of plane tickets."," Koutkem oka zaznamenávala, že kobereček v koupelně je o poznání flekatější, než si myslela, a že ho bude třeba ještě do svátků vyměnit, a současně poslouchala, jak Alfred dceři nabízí, že jí pošle dvě letenky na cestu domů."
"listened","listen","poslouchala","poslouchat","impf"," While observing peripherally that the bathroom carpet was more spotted than she 'd realized and ought to be replaced before the holidays, Enid listened to Alfred offering to send Denise a pair of plane tickets."," Koutkem oka zaznamenávala, že kobereček v koupelně je o poznání flekatější, než si myslela, a že ho bude třeba ještě do svátků vyměnit, a současně poslouchala, jak Alfred dceři nabízí, že jí pošle dvě letenky na cestu domů."
"send","send","pošle","poslat","pf"," While observing peripherally that the bathroom carpet was more spotted than she 'd realized and ought to be replaced before the holidays, Enid listened to Alfred offering to send Denise a pair of plane tickets."," Koutkem oka zaznamenávala, že kobereček v koupelně je o poznání flekatější, než si myslela, a že ho bude třeba ještě do svátků vyměnit, a současně poslouchala, jak Alfred dceři nabízí, že jí pošle dvě letenky na cestu domů."
"hate","hate","Nenávidím","nenávidět","impf"," "" I do hate these ads, "" Chip admitted."," "" Nenávidím ty reklamy, "" připustil Chip."
"admitted","admit","připustil","připustit","pf"," "" I do hate these ads, "" Chip admitted."," "" Nenávidím ty reklamy, "" připustil Chip."
"hate","hate","nenávidíte","nenávidět","impf"," "" Why do you hate them? "" Chad called out."," "" Proč je nenávidíte? "" ozval se Chad."
"Tell","tell","Řekněte","říci","pf"," "" Tell us why you hate them, "" the little Hilton yipped."," "" Řekněte nám, proč je nenávidíte, "" odvážila se zapojit do boje drobná Hilton."
"hate","hate","nenávidíte","nenávidět","impf"," "" Tell us why you hate them, "" the little Hilton yipped."," "" Řekněte nám, proč je nenávidíte, "" odvážila se zapojit do boje drobná Hilton."
"looked","look","podíval","podívat","pf"," Chip looked at the wall clock."," Chip se podíval na hodiny na stěně."
"put","put","Uložil","uložit","pf"," He put her to bed, found a pajama top for her, helped her into it."," Uložil ji do postele, našel jí kabátek od pyžama a pomohl jí ho na sebe navléct."
"found","find","našel","najít","pf"," He put her to bed, found a pajama top for her, helped her into it."," Uložil ji do postele, našel jí kabátek od pyžama a pomohl jí ho na sebe navléct."
"helped","help","pomohl","pomoci","pf"," He put her to bed, found a pajama top for her, helped her into it."," Uložil ji do postele, našel jí kabátek od pyžama a pomohl jí ho na sebe navléct."
"sensed","sense","vycítila","vycítit","pf"," Enid sensed immediately that Mrs. Roth would become her great friend on the cruise, or else her great rival, and so with something like coquetry she declined to speak to her or otherwise acknowledge her attention."," Enid okamžitě vycítila, že paní Rothová se na dobu plavby stane její velkou přítelkyní, nebo naopak velkým soupeřem, a tak se s jakýmsi přídechem koketerie rozhodla, že s ženou nebude mluvit ani jí jakkoliv jinak prokazovat pozornost."
"speak","speak","mluvit","mluvit","impf"," Enid sensed immediately that Mrs. Roth would become her great friend on the cruise, or else her great rival, and so with something like coquetry she declined to speak to her or otherwise acknowledge her attention."," Enid okamžitě vycítila, že paní Rothová se na dobu plavby stane její velkou přítelkyní, nebo naopak velkým soupeřem, a tak se s jakýmsi přídechem koketerie rozhodla, že s ženou nebude mluvit ani jí jakkoliv jinak prokazovat pozornost."
"turned","turn","Otočil","otočit","pf"," He turned on his heel and walked into the downpour and marched toward University Place, smiling with rage."," Otočil se na patě, vykročil do provazů padající vody, vydal se směrem k University Place a šklebil se přitom vzteky."
"clutching","clutch","svíral","svírat","impf"," He was clutching Denise 's umbrella in his fist without opening it, and still it seemed unfair to him, it seemed not his fault, that he was getting drenched."," V pěsti svíral Denisin deštník, ale neotevřel ho a pořád měl pocit, že je to nespravedlivé, že to není jeho chyba, když je čím dál tím víc promočený."
"opening","open","neotevřel","otevřít","pf"," He was clutching Denise 's umbrella in his fist without opening it, and still it seemed unfair to him, it seemed not his fault, that he was getting drenched."," V pěsti svíral Denisin deštník, ale neotevřel ho a pořád měl pocit, že je to nespravedlivé, že to není jeho chyba, když je čím dál tím víc promočený."
"see","see","uvidíme","uvidět","pf"," "" We 're both terribly anxious, "" Enid replied, "" to see where you work. """," "" Už se oba nemůžeme dočkat, "" reagovala na to Enid, "" až konečně uvidíme, kde pracuješ. """
"work","work","pracuješ","pracovat","impf"," "" We 're both terribly anxious, "" Enid replied, "" to see where you work. """," "" Už se oba nemůžeme dočkat, "" reagovala na to Enid, "" až konečně uvidíme, kde pracuješ. """
"said","say","odpověděl","odpovědět","pf"," "" I think you 'll see, "" he said, "" that the situation is out of hand."," "" Podle mne sama zjistíš, "" odpověděl, "" že se nám situace vymkla z ruky."
"see","see","uvidíš","uvidět","pf"," I think you 'll see that it 's about time somebody stepped in and ran her life. """," Podle mne sama uvidíš, že je načase, aby se do toho někdo vložil a opravdu jí začal život řídit. """
"ran","run","řídit","řídit","impf"," I think you 'll see that it 's about time somebody stepped in and ran her life. """," Podle mne sama uvidíš, že je načase, aby se do toho někdo vložil a opravdu jí začal život řídit. """
"argue","argue","nepřela","přít","impf"," Denise did n't argue with him."," Denisa se s ním nepřela."
"find","find","najít","najít","pf"," Ca n't you find the pot? """," Nemůžeš najít hrnec? """
"found","find","našla","najít","pf"," "" I found the pot, but can you come down here? """," "" Už jsem ho našla, ale mohla bys sejít sem dolů? """
"holding","hold","držel","držet","impf"," Alfred, in the lab, was holding the Axon documents loosely, not reading them."," Alfred stál v laboratoři a smlouvu s Axonem držel naprosto ochable, aniž by se do ní díval."
"appeared","appear","objevila","objevit","pf"," Enid appeared in the doorway with guilt on her face."," Enid se objevila ve dveřích s výrazem špatného svědomí ve tváři."
"wants","want","chce","chtít","impf"," "" Dad wants to know why this envelope was in the laundry-room closet. """," "" Táta chce vědět, proč ležela tahle obálka v kumbálu vedle prádelny. """
"declared","declare","prohlásil","prohlásit","pf"," After she and Gary were married, she 'd undergone five years of twice-weekly therapy which the therapist, at the final session, had declared "" an unqualified success "" and which had given her a lifelong advantage over Gary in the race for mental health."," Když se s Garym vzali, docházela celých pět let dvakrát týdně na terapii, kterou nakonec terapeut prohlásil za "" obecně úspěšnou "" a jež dala Carolině celoživotní náskok před Garym, pokud jde o boj za vlastní duševní zdraví."
"given","give","dala","dát","pf"," After she and Gary were married, she 'd undergone five years of twice-weekly therapy which the therapist, at the final session, had declared "" an unqualified success "" and which had given her a lifelong advantage over Gary in the race for mental health."," Když se s Garym vzali, docházela celých pět let dvakrát týdně na terapii, kterou nakonec terapeut prohlásil za "" obecně úspěšnou "" a jež dala Carolině celoživotní náskok před Garym, pokud jde o boj za vlastní duševní zdraví."
"think","think","myslíš","myslet","impf"," "" You seem to think everybody except you has a problem, "" she said."," "" Ty si podle všeho myslíš, že všichni mají nějaké problémy, ovšem kromě tebe, "" prohlásila."
"think","think","mají","mít","impf"," "" You seem to think everybody except you has a problem, "" she said."," "" Ty si podle všeho myslíš, že všichni mají nějaké problémy, ovšem kromě tebe, "" prohlásila."
"said","say","prohlásila","prohlásit","pf"," "" You seem to think everybody except you has a problem, "" she said."," "" Ty si podle všeho myslíš, že všichni mají nějaké problémy, ovšem kromě tebe, "" prohlásila."
"thinks","think","uvažuje","uvažovat","impf"," "" Which is what your mother thinks, too."," "" Přesně stejně uvažuje i tvoje matka."
"Answer","answer","Odpověz","odpovědět","pf"," Answer me one question."," Odpověz mi na jednu otázku."
"Look","look","Podívej","podívat","pf"," Look me in the eye and answer me one question."," Podívej se mi do očí a odpověz mi na jednu otázku."
"answer","answer","odpověz","odpovědět","pf"," Look me in the eye and answer me one question."," Podívej se mi do očí a odpověz mi na jednu otázku."
"work","work","dělat","dělat","impf"," Patty could work maybe half days, let the girls have a mother again."," Patty by mohla dělat jen na poloviční úvazek a holky by si zase mohly vzpomenout, že taky mají mámu."
"enjoy","enjoy","bavit","bavit","impf"," We could buy some land in the Ozarks before the girls got too old to enjoy it."," A sotva by vyrostly, aby je to mohlo bavit, zmohli bysme se na kus půdy v Ozarks."
"think","think","myslíte","myslet","impf"," You think anybody 's gonna let that happen to me? """," To si myslíte, že by někdo dovolil, aby se mi něco takovýho splnilo? """
"let","let","dovolil","dovolit","pf"," You think anybody 's gonna let that happen to me? """," To si myslíte, že by někdo dovolil, aby se mi něco takovýho splnilo? """
"hoping","hope","doufal","doufat","impf"," "" Would you look at that, "" he said, hoping to pass off as philosophical amusement his rage with a treacherous modernity."," "" Viděl tohle někdy někdo? "" podivoval se Alfred a doufal, že filozofický úžas zakryje to, jak ho proradnost moderní doby dohání k zuřivosti."
"nodded","nod","přikývl","přikývnout","pf"," Chuck nodded, looking past Alfred at the Lambert house."," Chuck přikývl a podíval se přes Alfreda na dům Lambertových."
"looking","look","podíval","podívat","pf"," Chuck nodded, looking past Alfred at the Lambert house."," Chuck přikývl a podíval se přes Alfreda na dům Lambertových."
"see","see","vidí","vidět","impf"," "" Enid 'll be happy to see you."," "" Enid bude určitě ráda, že tě zase vidí."
"think","think","Mám","mít","impf"," I think she 's had a hard week."," Mám dojem, že si prožila docela těžký týden."
"keep","keep","nech","nechat","pf"," "" You 'll keep that information quiet. """," "" Tu informaci si nech pro sebe. """
"mention","mention","nezmínil","zmínit","pf"," "" I would n't mention it to anyone but you. """," "" Nikomu jinému kromě tebe jsem se o tom nezmínil. """
"stretched","stretch","roztáhla","roztáhnout","pf"," Becky 's lips parted and her eyes fell shut, as if in bliss, as the strangler stretched her legs out on her legs and her arms out on her arms ..."," A když škrtička roztáhla nohy a objala jimi Beckyiny nohy a natáhla paže a objala Beckyiny paže, dívka pootevřela rty a pevně zavřela oči, jako by prožívala pocity neskonalé blaženosti ..."
"stretched","stretch","natáhla","natáhnout","pf"," Becky 's lips parted and her eyes fell shut, as if in bliss, as the strangler stretched her legs out on her legs and her arms out on her arms ..."," A když škrtička roztáhla nohy a objala jimi Beckyiny nohy a natáhla paže a objala Beckyiny paže, dívka pootevřela rty a pevně zavřela oči, jako by prožívala pocity neskonalé blaženosti ..."
"shut","shut","zavřela","zavřít","pf"," Becky 's lips parted and her eyes fell shut, as if in bliss, as the strangler stretched her legs out on her legs and her arms out on her arms ..."," A když škrtička roztáhla nohy a objala jimi Beckyiny nohy a natáhla paže a objala Beckyiny paže, dívka pootevřela rty a pevně zavřela oči, jako by prožívala pocity neskonalé blaženosti ..."
"remember","remember","nevzpomínala","vzpomínat","impf"," Denise could n't remember being sorrier to wake from a dream."," Denisa si nevzpomínala, kdy ji naposledy tak strašně mrzelo, že se probudila a sen skončil."
"surprised","surprise","překvapil","překvapit","pf"," And in the Olmsted Hotel in Cleveland he surprised a porter and a maid lasciviously osculating in a stairwell."," A v hotelu Olmsted v Clevelandu překvapil recepčního a pokojskou ve chvíli, kdy se nenasytně líbali pod schodištěm."
"osculating","osculate","líbali","líbat","impf"," And in the Olmsted Hotel in Cleveland he surprised a porter and a maid lasciviously osculating in a stairwell."," A v hotelu Olmsted v Clevelandu překvapil recepčního a pokojskou ve chvíli, kdy se nenasytně líbali pod schodištěm."
"returned","return","Vrátil","vrátit","pf"," He returned to St. Jude in an executive car appended to an intercity freight run, and from Union Station he took the commuter local to the suburbs."," Vrátil se do Svatého Judy ve služebním vagonu připojeném k meziměstskému nákladnímu vlaku a na nádraží přesedl na lokálku pendlující mezi centrem města a předměstími."
"explain","explain","vysvětlit","vysvětlit","pf"," But moral hair-splitting could not explain her complete, dead absence of remorse."," Mravní obhajoba vlastního počínání ale nemohla vysvětlit, proč necítí ani stopu jakékoliv lítosti."
"speaking","speak","mluvil","mluvit","impf"," She caught the meaning of his words at the last moment, as if he were speaking French."," Význam slov, jež pronášel, jí docházel až na poslední chvíli, jako by mluvil francouzsky."
"slept","sleep","spala","spát","impf"," She had reason to seem strung out, of course-she routinely slept four hours a night, and before long the kitchen was running at full throttle- and Brian, distracted by his film projects, was every bit as easy to deceive as she 'd anticipated."," Měla pochopitelně důvod vypadat ochable - průběžně spala čtyři hodiny denně a kuchyně se teprve před nedávnem rozeběhla na plné obrátky - a Briana zahleděného do svých filmových projektů bylo daleko snazší oklamat, než původně očekávala."
"anticipated","anticipate","očekávala","očekávat","impf"," She had reason to seem strung out, of course-she routinely slept four hours a night, and before long the kitchen was running at full throttle- and Brian, distracted by his film projects, was every bit as easy to deceive as she 'd anticipated."," Měla pochopitelně důvod vypadat ochable - průběžně spala čtyři hodiny denně a kuchyně se teprve před nedávnem rozeběhla na plné obrátky - a Briana zahleděného do svých filmových projektů bylo daleko snazší oklamat, než původně očekávala."
"used","use","použil","použít","pf"," He 'd used the last $220 of credit on his Visa card to buy eight bottles of a rather tasty Fronsac, and on Saturday night he 'd thrown one last dinner party to rally his supporters on the faculty."," Posledních 220 dolarů kreditu na kartě Visa použil na nákup osmi láhví docela chutného Fronsaku a v sobotu večer uspořádal úplně poslední večírek, aby shromáždil své stoupence ze školy."
"rally","rally","shromáždil","shromáždit","pf"," He 'd used the last $220 of credit on his Visa card to buy eight bottles of a rather tasty Fronsac, and on Saturday night he 'd thrown one last dinner party to rally his supporters on the faculty."," Posledních 220 dolarů kreditu na kartě Visa použil na nákup osmi láhví docela chutného Fronsaku a v sobotu večer uspořádal úplně poslední večírek, aby shromáždil své stoupence ze školy."
"nodded","nod","přikývla","přikývnout","pf"," The all-business-all-the-time anchors, for whom financial risk was merely the boon companion of upside potential, nodded sagely in response."," Moderátorka, věčně věcná, věčně soustředěná, pro niž je finanční riziko jen potenciální zdroj nějakého vzruchu, moudře přikývla."
"Remind","remind","Připomeň","připomenout","pf"," "" Remind me to call the district manager at seven, "" he said."," "" Připomeň mi, abych v sedm zavolal řediteli místní pobočky, "" přikázal si nahlas."
"call","call","zavolal","zavolat","pf"," "" Remind me to call the district manager at seven, "" he said."," "" Připomeň mi, abych v sedm zavolal řediteli místní pobočky, "" přikázal si nahlas."
"find","find","sehnal","sehnat","pf"," But then the problem was to find a telephone, and here a curious reluctance to raise his eyes above the level of the toilet made itself felt."," Jenže na to, aby ho sehnal, by musel nejdřív najít telefon, a tady ho k neúspěchu předem odsoudila vlastní podivuhodná nechuť zvednout pohled výše než na úroveň horního okraje záchodové mísy."
"raise","raise","sehnal","sehnat","pf"," But then the problem was to find a telephone, and here a curious reluctance to raise his eyes above the level of the toilet made itself felt."," Jenže na to, aby ho sehnal, by musel nejdřív najít telefon, a tady ho k neúspěchu předem odsoudila vlastní podivuhodná nechuť zvednout pohled výše než na úroveň horního okraje záchodové mísy."
"find","find","najít","najít","pf"," But then the problem was to find a telephone, and here a curious reluctance to raise his eyes above the level of the toilet made itself felt."," Jenže na to, aby ho sehnal, by musel nejdřív najít telefon, a tady ho k neúspěchu předem odsoudila vlastní podivuhodná nechuť zvednout pohled výše než na úroveň horního okraje záchodové mísy."
"raise","raise","zvednout","zvednout","pf"," But then the problem was to find a telephone, and here a curious reluctance to raise his eyes above the level of the toilet made itself felt."," Jenže na to, aby ho sehnal, by musel nejdřív najít telefon, a tady ho k neúspěchu předem odsoudila vlastní podivuhodná nechuť zvednout pohled výše než na úroveň horního okraje záchodové mísy."
"found","find","najít","najít","pf"," It could be midmorning by the time he found a telephone."," Než by se mu podařilo najít telefonní přístroj, bude pomalu čas na svačinu."
"believed","believe","uvěřit","uvěřit","pf"," A low, almost rumbling drone like a dilution of a diesel engine 's blanket alldeafeningness, a sound he 'd never quite believed was real-i.e., unreal-until he 'd retired from the Midpac and lost touch with locomotives."," A pak nízký, téměř rachotivý hukot připomínající zředěný hluk ohlušující dieselové lokomotivy, zvuk, o němž Alfred v podstatě dlouhá léta odmítal uvěřit, že není skutečný - tedy vlastně neskutečný -, dokud neodešel do důchodu, neopustil Midpac a neztratil kontakt s lokomotivami."
"retired","retire","neodešel","odejít","pf"," A low, almost rumbling drone like a dilution of a diesel engine 's blanket alldeafeningness, a sound he 'd never quite believed was real-i.e., unreal-until he 'd retired from the Midpac and lost touch with locomotives."," A pak nízký, téměř rachotivý hukot připomínající zředěný hluk ohlušující dieselové lokomotivy, zvuk, o němž Alfred v podstatě dlouhá léta odmítal uvěřit, že není skutečný - tedy vlastně neskutečný -, dokud neodešel do důchodu, neopustil Midpac a neztratil kontakt s lokomotivami."
"lost","lose","neztratil","ztratit","pf"," A low, almost rumbling drone like a dilution of a diesel engine 's blanket alldeafeningness, a sound he 'd never quite believed was real-i.e., unreal-until he 'd retired from the Midpac and lost touch with locomotives."," A pak nízký, téměř rachotivý hukot připomínající zředěný hluk ohlušující dieselové lokomotivy, zvuk, o němž Alfred v podstatě dlouhá léta odmítal uvěřit, že není skutečný - tedy vlastně neskutečný -, dokud neodešel do důchodu, neopustil Midpac a neztratil kontakt s lokomotivami."
"listened","listen","naslouchal","naslouchat","impf"," These were the sounds his brain both created and listened to, was friendly with."," Tohle byly zvuky, jež jeho mozek současně vyluzoval a současně jim naslouchal, a s těmito zvuky uměl Alfred vycházet docela přátelsky."
"ended","end","skončil","skončit","pf"," Life as she knew it ended with her squeeze through the half-open door."," Život, jaký znala, skončil ve chvíli, kdy se protáhla napůl otevřenými dveřmi dovnitř."
"yielded","yield","ustoupila","ustoupit","pf"," Diurnality yielded to a raw continuum of hours."," Každodennost ustoupila syrovému toku hodin."
"watered","water","zalila","zalít","pf"," After she watered the plants, she sat in Dusinberre 's calfskin chair and listened to New Order."," Dívka zalila rostliny a pak se posadila do profesorova křesla z telecí kůže a zaposlouchala se do New Order."
"sat","sit","posadila","posadit","pf"," After she watered the plants, she sat in Dusinberre 's calfskin chair and listened to New Order."," Dívka zalila rostliny a pak se posadila do profesorova křesla z telecí kůže a zaposlouchala se do New Order."
"existed","exist","existuje","existovat","impf"," the wood definitely existed and had measurable properties."," Dřevo bezesporu existuje a má měřitelné vlastnosti."
"do","do","dělá","dělat","impf"," We do n't yet fully understand the mechanism, but the effect is to make any action the patient is performing easier and more enjoyable to repeat and to sustain."," Celý mechanismus se nám ještě nepodařilo do detailu rozkrýt, ale jsme schopni dosáhnout toho, že pacient dělá veškeré úkony snáze a s větším potěšením si je zapamatuje a zopakuje."
"make","make","dělá","dělat","impf"," We do n't yet fully understand the mechanism, but the effect is to make any action the patient is performing easier and more enjoyable to repeat and to sustain."," Celý mechanismus se nám ještě nepodařilo do detailu rozkrýt, ale jsme schopni dosáhnout toho, že pacient dělá veškeré úkony snáze a s větším potěšením si je zapamatuje a zopakuje."
"performing","perform","dělá","dělat","impf"," We do n't yet fully understand the mechanism, but the effect is to make any action the patient is performing easier and more enjoyable to repeat and to sustain."," Celý mechanismus se nám ještě nepodařilo do detailu rozkrýt, ale jsme schopni dosáhnout toho, že pacient dělá veškeré úkony snáze a s větším potěšením si je zapamatuje a zopakuje."
"repeat","repeat","zopakuje","zopakovat","pf"," We do n't yet fully understand the mechanism, but the effect is to make any action the patient is performing easier and more enjoyable to repeat and to sustain."," Celý mechanismus se nám ještě nepodařilo do detailu rozkrýt, ale jsme schopni dosáhnout toho, že pacient dělá veškeré úkony snáze a s větším potěšením si je zapamatuje a zopakuje."
"watch","watch","dívejte","dívat","impf"," "" Just watch, "" the pitchman purred."," "" Jen se dívejte, "" zapojil se znovu do hovoru nahrávač."
"Thank","thank","Děkuju","děkovat","impf"," "" Thank you, "" she said although Enid had posed the question because she was momentarily confused, not because she wanted to do Sylvia a favor."," "" Děkuju ti, "" vydechla, přestože Enid otázku položila, jelikož byla v tu chvíli trochu zmatená, a ne proto, že by chtěla Sylvii udělat radost."
"posed","pose","položila","položit","pf"," "" Thank you, "" she said although Enid had posed the question because she was momentarily confused, not because she wanted to do Sylvia a favor."," "" Děkuju ti, "" vydechla, přestože Enid otázku položila, jelikož byla v tu chvíli trochu zmatená, a ne proto, že by chtěla Sylvii udělat radost."
"wanted","want","chtěla","chtít","impf"," "" Thank you, "" she said although Enid had posed the question because she was momentarily confused, not because she wanted to do Sylvia a favor."," "" Děkuju ti, "" vydechla, přestože Enid otázku položila, jelikož byla v tu chvíli trochu zmatená, a ne proto, že by chtěla Sylvii udělat radost."
