"draw","draw","nenakreslí","nakreslit","pf"," All right - on House-Tree-Person, look for someone who did n't draw the female figure first."," V testu lidské postavy hledejte toho, který nenakreslí jako první postavu svého rodokmenu ženu."
"help","help","pomůže","pomoci","pf"," Better if Pembry died, but he would help him breathe."," Pro Pembryho by bylo asi lepší, kdyby zemřel, ale dýchat mu pomůže."
"found","find","našel","najít","pf"," But there was a heartbeat, he found it, there was breathing."," Ale tep byl pořád hmatný, našel ho bez problémů, a Pembry i dýchal."
"breathing","breathe","dýchal","dýchat","impf"," It was ragged and gurgling but it was breathing."," Byl potrhaný a chrčel, ale dýchal."
"wanted","want","chtěl","chtít","impf"," A patrol lieutenant set up on the lot outside took command and wanted news."," Nadporučík, který velel jednotce venku, chtěl nové zprávy."
"said","say","řekl","říci","pf"," "" Acherontia styx, "" Pitcher said."," "" Acherontia styx, "" řekl."
"bring","bring","přinesou","přinést","pf"," "" Then they bring you a package from UPS."," "" Pak přinesou balík."
"returned","return","vrátil","vrátit","pf"," Dr. Chilton returned to his desk, looked around at everyone, and began :"," Dr. Chilton se vrátil ke stolku, rozhlédl se kolem sebe a spustil :"
"indicated","indicate","naznačil","naznačit","pf"," "" Dr. Lecter has indicated to me, Senator, that he wants to contribute to the investigation some special knowledge, in return for considerations regarding the conditions of his confinement. """," "" Paní senátorko, doktor Lecter mi naznačil, že by rád přispěl do vyšetřování jednou speciální informací, a to výměnou za zvážení podmínek výkonu jeho trestu. """
"contribute","contribute","přispěl","přispět","pf"," "" Dr. Lecter has indicated to me, Senator, that he wants to contribute to the investigation some special knowledge, in return for considerations regarding the conditions of his confinement. """," "" Paní senátorko, doktor Lecter mi naznačil, že by rád přispěl do vyšetřování jednou speciální informací, a to výměnou za zvážení podmínek výkonu jeho trestu. """
"held","hold","držela","držet","impf"," Senator Martin held up a document."," Senátorka Martinová držela v ruce doklady."
"sign","sign","podepíšu","podepsat","pf"," "" Dr. Lecter, this is an affidavit which I 'll now sign."," "" Doktore Lectere, zde je mé místopřísežné prohlášení, které nyní podepíšu."
"took","take","Brala","brát","impf"," "" You took him the drawings and stuff from his cell. """," "" Brala jste mu tam ty kresby a věci z jeho cely. """
"gave","give","nedala","dát","pf"," "" I never gave it to him."," "" Nic z toho jsem mu nedala."
"gave","give","dal","dát","pf"," He gave me the file."," Naopak, on dal mně spis."
"passed","pass","prošlo","projít","pf"," That 's all that passed between us. """," To jediné mezi námi prošlo. """
"tucked","tuck","zasunul","zasunout","pf"," Crawford tucked the phone under his jowl."," Crawford zasunul telefon pod bradu."
"want","want","Chci","chtít","impf"," I want you to step on that bastard and do it now."," Chci, aby sis toho pacholka podal, a to teď hned."
"See","see","Sleduj","sledovat","impf"," See the hotline 's posted with the rest."," Sleduj na počítači další."
"Finding","find","najít","najít","pf"," Finding this victim so soon after the crime was a lucky break."," Pro celý případ to znamenalo příznivý obrat, najít další oběť tak rychle po spáchání zločinu."
"start","start","zahájit","zahájit","pf"," Crawford was determined to identify her quickly and start a sweep around her home for witnesses to the abduction."," Crawford ji teď potřeboval rychle identifikovat, aby mohl zahájit pátrání po případných svědcích únosu v okolí jejího bydliště."
"carried","carry","nosil","nosit","impf"," Crawford carried a Litton Policefax fingerprint transmitter."," Crawfor s sebou nosil fax značky Litton Policefax."
"want","want","Chtěl","chtít","impf"," What I want is a view."," Chtěl bych se dívat ven."
"want","want","Chci","chtít","impf"," I want a window where I can see a tree, or even water. """," Chci mít okno, ze kterého bych viděl stromy nebo dokonce vodu. """
"see","see","viděl","vidět","impf"," I want a window where I can see a tree, or even water. """," Chci mít okno, ze kterého bych viděl stromy nebo dokonce vodu. """
"put","put","dal","dát","pf"," "" Chilton put that television in the hall, set to a religious channel."," "" Chilton dal do chodby televizi a naladil ji na kanál s náboženským vysíláním."
"set","set","dal","dát","pf"," "" Chilton put that television in the hall, set to a religious channel."," "" Chilton dal do chodby televizi a naladil ji na kanál s náboženským vysíláním."
"walked","walk","Chodila","chodit","impf"," Starling walked up and down."," Chodila sem a tam."
"Hold","hold","Vydrž","vydržet","pf"," "" Hold on, girl, "" she said aloud."," "" Vydrž, děvče, "" řekla nahlas."
"said","say","řekla","říci","pf"," "" Hold on, girl, "" she said aloud."," "" Vydrž, děvče, "" řekla nahlas."
"said","say","říkala","říkat","impf"," She said it to Catherine Martin and she said it to herself."," Myslela tím Kateřinu Martinovou, ale říkala to i sama sobě."
"said","say","říkala","říkat","impf"," She said it to Catherine Martin and she said it to herself."," Myslela tím Kateřinu Martinovou, ale říkala to i sama sobě."
"said","say","řekla","říci","pf"," We 're better than this fucking place, "" she said aloud."," Jsme daleko lepší, než je tenhle hnusnej pokoj, "" řekla nahlas."
"thought","think","vzpomněla","vzpomenout","pf"," She thought for an instant of her late parents."," Na chvilku si vzpomněla na své rodiče."
"kissed","kiss","políbil","políbit","pf"," Crawford took her to him and held her very tight for a moment, just a moment, and then put her away from him and kissed her on the forehead."," Crawford si ji přitáhl k sobě a pevněji k sobě přivinul - jen na malou chvíli, jen vteřinku, potom ji odtáhl a políbil na čelo."
"Go","go","Jeďte","jet","impf"," "" Go home."," "" Jeďte teď domů."
"Sleep","sleep","Spěte","spát","impf"," Sleep in."," Spěte tak dlouho, jak to půjde."
"talk","talk","Promluvíme","promluvit","pf"," I 'll talk to you tomorrow. """," Promluvíme si spolu někdy zítra. """
"drove","drive","jel","jet","impf"," Without Jack Crawford in the van, Jeff drove a little harder."," Jeff jel trochu rázněji, když ve voze nebyl Jack Crawford."
"searching","search","pátrali","pátrat","impf"," The rest of her class were down the hall in the Academy building, searching for hairs in the genuine motel carpet of the "" Sex-Crime Bedroom "" and dusting the "" Anytown Bank "" for fingerprints."," Ostatní z její třídy byli teď v hale budovy Akademie a pátrali po vlasech v koberci z případu ' Sexuální zločin v ložnici ' a sbírali otisky prstů z ' Banky odkudkoli '."
"spent","spend","strávila","strávit","pf"," Starling had spent so many hours on searches and fingerprints as a Forensic Fellow that she was sent instead to this lecture, part of a series for visiting lawmen."," Pátráním a odebíráním otisků prstů strávila Starlingová už spoustu hodin, když studovala soudní ohledávání, takže ji vyslali na tuto přednášku, kterou měl jeden z hostujících lektorů."
"sent","send","vyslali","vyslat","pf"," Starling had spent so many hours on searches and fingerprints as a Forensic Fellow that she was sent instead to this lecture, part of a series for visiting lawmen."," Pátráním a odebíráním otisků prstů strávila Starlingová už spoustu hodin, když studovala soudní ohledávání, takže ji vyslali na tuto přednášku, kterou měl jeden z hostujících lektorů."
"do","do","dělat","dělat","impf"," What to do?"," Co má dělat teď?"
"Let","let","Nechat","nechat","pf"," Let him stiffen up and bleed."," Nechat ho ležet a vykrvácet."
"Wait","wait","Počkat","počkat","pf"," Wait."," Počkat."
"stung","sting","bodalo","bodat","impf"," Starling 's cheek stung."," Starlingovou bodalo ve tváři."
"wait","wait","čekat","čekat","impf"," Starling had to wait."," Starlingová ale musela čekat."
"answer","answer","odpovědět","odpovědět","pf"," She could n't answer Catherine."," Nemohla Kateřině odpovědět."
"say","say","říct","říci","pf"," She could n't say anything or move."," Nemohla nic říct, ani se pohnout."
"tried","try","Pokoušel","pokoušet","impf"," He tried to move it and he could n't, any more than he could move his head."," Pokoušel se ho posunout, ale nemohl, protože nedokázal pohnout hlavou."
"move","move","posunout","posunout","pf"," He tried to move it and he could n't, any more than he could move his head."," Pokoušel se ho posunout, ale nemohl, protože nedokázal pohnout hlavou."
"move","move","posunout","posunout","pf"," He tried to move it and he could n't, any more than he could move his head."," Pokoušel se ho posunout, ale nemohl, protože nedokázal pohnout hlavou."
"move","move","pohnout","pohnout","pf"," He tried to move it and he could n't, any more than he could move his head."," Pokoušel se ho posunout, ale nemohl, protože nedokázal pohnout hlavou."
"move","move","pohnout","pohnout","pf"," He tried to move it and he could n't, any more than he could move his head."," Pokoušel se ho posunout, ale nemohl, protože nedokázal pohnout hlavou."
"surprised","surprise","překvapily","překvapit","pf"," Men were often surprised at her size when she got close to them and some concealed it better than others."," Muže často její proporce překvapily, když byla blízko, a někteří tuto skutečnost přijímali s velkým potěšením."
"said","say","řekl","říci","pf"," "" Good, "" he said."," "" Dobrá, "" řekl."
"lifting","lift","zdvihli","zdvihnout","pf"," It was easy lifting the chair onto the low floor of the truck."," Křeslo celkem bez problémů zdvihli na plošinku dodávky."
"Knocked","knock","Vrazil","vrazit","pf"," "" Knocked the Fotomat booth slap off the blocks and the glass fell out."," "" Vrazil do budky fotoautomatu, rozrazil postranice a vylítlo sklo."
"keep","keep","držet","držet","impf"," Had to keep him out of the road. """," Museli ho držet dál vod silnice. """
"do","do","Udělejte","udělat","pf"," "" Let 's do teeth first, and then Lamar can help us turn her over. """," "" Udělejte napřed zuby a pak nám ji Lamar pomůže převrátit na břicho. """
"help","help","pomůže","pomoci","pf"," "" Let 's do teeth first, and then Lamar can help us turn her over. """," "" Udělejte napřed zuby a pak nám ji Lamar pomůže převrátit na břicho. """
"attached","attach","připevnila","připevnit","pf"," Starling attached the dental kit to the front of the fingerprint camera, privately relieved that all the parts were in the bag."," Starlingová připevnila na fotoaparát dentální zařízení a ulevilo se jí, když zjistila, že všechno, co potřebuje, má s sebou."
"relieved","relieve","ulevilo","ulevit","pf"," Starling attached the dental kit to the front of the fingerprint camera, privately relieved that all the parts were in the bag."," Starlingová připevnila na fotoaparát dentální zařízení a ulevilo se jí, když zjistila, že všechno, co potřebuje, má s sebou."
"said","say","řekl","říci","pf"," "" Just pictures, "" Crawford said."," "" Stačí fotky, "" řekl Crawford."
"looking","look","hledáme","hledat","impf"," "" We 're looking for both names on the entomology magazine subscription lists, Knifemakers Guild, known offenders, the works - nobody stands down until it 's over."," "" Obě ta jména hledáme v seznamech předplatitelů entomologických časopisů, ve Sdružení výrobců nožů, mezi známými zločinci - práce jak na kostele, ale nikdo toho nenechá, dokud to nebude za námi."
"make","make","nechytíme","chytit","pf"," "" Justice says it 's a tricky case to make if we do n't catch him dirty."," "" Ministerstvo spravedlnosti nás informovalo, že jestli ho nechytíme při činu, že ten případ bude dost sporný."
"catch","catch","nechytíme","chytit","pf"," "" Justice says it 's a tricky case to make if we do n't catch him dirty."," "" Ministerstvo spravedlnosti nás informovalo, že jestli ho nechytíme při činu, že ten případ bude dost sporný."
"need","need","Musíme","muset","impf"," We need him with Martin or with something identifiable - something with teeth or fingers, frankly."," Musíme ho dostat s Martinovou nebo s něčím, co by se dalo trochu identifikovat - prostě něco se zuby nebo prsty."
"think","think","uvažují","uvažovat","impf"," Others seemed to think Bill might be watching, too."," I ostatní vypadali na to, že uvažují, zda se Bill dívá."
"watching","watch","dívá","dívat","impf"," Others seemed to think Bill might be watching, too."," I ostatní vypadali na to, že uvažují, zda se Bill dívá."
"hate","hate","nenávidí","nenávidět","impf"," And, my, does he hate us."," A kdybyste jen tušila, jak nás nenávidí."
"thinks","think","myslí","myslet","impf"," He thinks I 'm his nemesis."," O mně si myslí, že jsem jeho prokletí."
"mean","mean","myslíte","myslet","impf"," "" How do you mean, Dr. Chilton? """," "" Jak to myslíte, doktore Chiltone? """
"seen","see","neviděl","vidět","impf"," I do n't believe Lecter 's seen a woman in several years - he may have gotten a glimpse of one of the cleaning people."," Mám takový dojem, že Lecter už neviděl ženu několik let, možná jenom zahlídnul některou uklízečku."
"seen","see","zahlídnul","zahlédnout","pf"," I do n't believe Lecter 's seen a woman in several years - he may have gotten a glimpse of one of the cleaning people."," Mám takový dojem, že Lecter už neviděl ženu několik let, možná jenom zahlídnul některou uklízečku."
"ask","ask","zeptal","zeptat","pf"," "" That 's not a matter of curiosity to me, Dr. Lecter, and it 's the sort of thing Miggs would ask. """," "" Tohle mě zrovna moc nezajímá, doktore Lectere, a takhle nějak by se zeptal Miggs. """
"swallow","swallow","spolknul","spolknout","pf"," "" Did you suggest to him that he swallow his tongue? """," "" Poradil jste mu, aby spolknul vlastní jazyk? """
"cross","cross","projít","projít","pf"," To reach the Insect Zoo from the Constitution Avenue side of the museum, you must take the elevator one level above the great stuffed elephant and cross a vast floor devoted to the study of man."," Do pavilonu hmyzu se jede výtahem ještě o jedno patro výš nad vycpaného slona a musí se projít rozsáhlým oddělením, vyčleněném člověku."
"told","tell","řekl","říci","pf"," "" Drop me at the lab, Jeff, "" Crawford told the driver."," "" HOĎ MĚ DO LABORATOŘE, Jeffe, "" řekl Crawford řidiči."
"drove","drive","řídí","řídit","impf"," The young man at the wheel seemed in awe of Crawford and drove with excessive caution, Starling thought."," Mladík u volantu Crawforda patřičně ctí a řídí s přehnanou pečlivostí, pomyslela si Starlingová."
"thought","think","pomyslela","pomyslet","pf"," The young man at the wheel seemed in awe of Crawford and drove with excessive caution, Starling thought."," Mladík u volantu Crawforda patřičně ctí a řídí s přehnanou pečlivostí, pomyslela si Starlingová."
"saw","see","zahlédnou","zahlédnout","pf"," One cardinal principle : no matter how weak from hunger or faint with fright, they always fought you when they saw the apparatus."," Jedna důležitá věc : jakkoli zesláblé jsou hladem, jakkoli otupělé strachem, jakmile zahlédnou ten přístroj, vždycky se chtějí prát."
"use","use","používal","používat","impf"," He liked to use the pistol."," Pistoli vůbec používal rád."
"lost","lose","ztrácely","ztrácet","impf"," Always they became disoriented, lost their balance, ran into things."," Vždycky byly naprosto dezorientované, ztrácely rovnováhu, vrážely do věcí."
"offer","offer","nabídne","nabídnout","pf"," No, he 'd get his hoisting tackle from the bathroom, offer her a bath, and when she had put herself securely in the hoisting sling he 'd bring her halfway up the shaft of the oubliette and shoot her several times low in the spine."," Ne, vezme si pěkně zvedák z koupelny, nabídne jí koupel, a až se hezky usadí na zvedáku, vyveze ji do poloviny hladomorny a několikrát ji střelí do dolní části páteře."
"shoot","shoot","střelí","střelit","pf"," No, he 'd get his hoisting tackle from the bathroom, offer her a bath, and when she had put herself securely in the hoisting sling he 'd bring her halfway up the shaft of the oubliette and shoot her several times low in the spine."," Ne, vezme si pěkně zvedák z koupelny, nabídne jí koupel, a až se hezky usadí na zvedáku, vyveze ji do poloviny hladomorny a několikrát ji střelí do dolní části páteře."
"lost","lose","ztratí","ztratit","pf"," When she lost consciousness he could do the rest with chloroform."," Až ztratí vědomí, zbytek dodělá chloroformem."
"go","go","půjde","jít","impf"," He 'd go upstairs now and get out of his clothes."," Teď půjde nahoru a svlékne se."
"hides","hide","skrývá","skrývat","impf"," It is widely believed among Baltimore County sheriff 's officers that Split City also hides good and valuable consideration from the bankruptcy courts."," Místní policie má také za to, že skladiště Split City skrývá dost hodnotných věcí z bankrotů."
"said","say","řekl","říci","pf"," "" I guess not, "" Pilcher said."," "" To asi ne, "" řekl Pilcher."
"told","tell","řekl","říci","pf"," "" Roden 's all right, "" he told Starling as soon as Roden left the room."," "" Roden je fajn, "" řekl Starlingové, hned jakmile Roden opustil místnost."
"left","leave","opustil","opustit","pf"," "" Roden 's all right, "" he told Starling as soon as Roden left the room."," "" Roden je fajn, "" řekl Starlingové, hned jakmile Roden opustil místnost."
"sit","sit","sedět","sedět","impf"," He got one where he had to sit down in a coal mine waiting for proton decay."," Ale on si našel práci, kdy musel sedět v uhelném dole a sledovat rozpad protonů."
"considered","consider","uvažovala","uvažovat","impf"," Standing in the dark, wet, with cobwebs on her, she considered what to do."," Ve tmě, zpocená a opředená pavučinami, uvažovala, co má dělat dál."
"Standing","stand","má","mít","impf"," Standing in the dark, wet, with cobwebs on her, she considered what to do."," Ve tmě, zpocená a opředená pavučinami, uvažovala, co má dělat dál."
"do","do","dělat","dělat","impf"," Standing in the dark, wet, with cobwebs on her, she considered what to do."," Ve tmě, zpocená a opředená pavučinami, uvažovala, co má dělat dál."
"decided","decide","rozhodla","rozhodnout","pf"," Once she decided to get in the backseat and take the hood off the thing, she did n't want to think about it very long."," Jakmile se rozhodla, že vleze na zadní sedadlo a stáhne tu černou kápi, nechtěla už o tom víc přemýšlet."
"want","want","nechtěla","chtít","impf"," Once she decided to get in the backseat and take the hood off the thing, she did n't want to think about it very long."," Jakmile se rozhodla, že vleze na zadní sedadlo a stáhne tu černou kápi, nechtěla už o tom víc přemýšlet."
"think","think","přemýšlet","přemýšlet","impf"," Once she decided to get in the backseat and take the hood off the thing, she did n't want to think about it very long."," Jakmile se rozhodla, že vleze na zadní sedadlo a stáhne tu černou kápi, nechtěla už o tom víc přemýšlet."
"used","use","použil","použít","pf"," Dr. Lecter stuck the wire halfway into the little tube and with infinite care used it as a lever to bend down the strip of metal between the two incisions."," Dr. Lecter zasunul drátek zpoloviny do trubičky a s nekonečnou pečlivostí jej použil jako páku k ohnutí proužku kovu mezi dvěma zářezy."
"put","put","dal","dát","pf"," Dr. Lecter put his hands behind him and passed the key back and forth between them fifteen times."," Dr. Lecter dal ruce za záda a patnáctkrát si zkusil předat klíček z jedné ruky do druhé."
"passed","pass","předat","předat","pf"," Dr. Lecter put his hands behind him and passed the key back and forth between them fifteen times."," Dr. Lecter dal ruce za záda a patnáctkrát si zkusil předat klíček z jedné ruky do druhé."
"went","go","Chodily","chodit","impf"," "" We went in every place to look, you know how you do."," "" Chodily jsme se tam jen dívat, tak normálně, jak člověk chodí po krámech."
"look","look","dívat","dívat","impf"," "" We went in every place to look, you know how you do."," "" Chodily jsme se tam jen dívat, tak normálně, jak člověk chodí po krámech."
"went","go","chodí","chodit","impf"," "" We went in every place to look, you know how you do."," "" Chodily jsme se tam jen dívat, tak normálně, jak člověk chodí po krámech."
"look","look","hledala","hledat","impf"," We 'd go in Personality Plus and she 'd look for ideas, you know, flattering patterns for big sizes. """," Byly jsme na různých místech, hledala tam nápady, sbírala střihy pro nadměrné velikosti. """
"like","like","líbila","líbit","impf"," You 'd probably like her. """," Asi by se vám líbila. """
"keep","keep","Nedostane","dostat","pf"," Can we keep it out of the papers? """," Nedostane se to mezitím do novin? """
"trust","trust","důvěřovat","důvěřovat","impf"," "" We ca n't trust Frederick Chilton, or anybody else at the hospital, "" Crawford said."," "" Nemůžeme důvěřovat Fredericku Chiltonovi nebo komukoli jinému v ústavu, "" řekl Crawford."
"said","say","řekl","říci","pf"," "" We ca n't trust Frederick Chilton, or anybody else at the hospital, "" Crawford said."," "" Nemůžeme důvěřovat Fredericku Chiltonovi nebo komukoli jinému v ústavu, "" řekl Crawford."
"judge","judge","posoudit","posoudit","pf"," It was hard to judge scale in a photograph, but with that spectacular 145 pounds on a long frame, the woman had to be Catherine Martin."," Z fotografie lze těžko posoudit proporce, ale soudě podle kilogramů, ta žena na fotce musela být Kateřina Martinová."
"judge","judge","soudě","soudit","impf"," It was hard to judge scale in a photograph, but with that spectacular 145 pounds on a long frame, the woman had to be Catherine Martin."," Z fotografie lze těžko posoudit proporce, ale soudě podle kilogramů, ta žena na fotce musela být Kateřina Martinová."
"wore","wear","měl","mít","impf"," The man wore what appeared to be a carved ivory ring on his penis."," Muž měl na svém penisu něco, co vypadalo jako vyřezávaný kroužek ze slonoviny."
"put","put","uložila","uložit","pf"," Starling bagged the photographs, each in a sandwich bag, and put them in her own brown envelope."," Starlingová uložila snímky do sáčků, každý zvlášť do jednoho, a dala je všechny do jedné hnědé obálky."
"put","put","dala","dát","pf"," Starling bagged the photographs, each in a sandwich bag, and put them in her own brown envelope."," Starlingová uložila snímky do sáčků, každý zvlášť do jednoho, a dala je všechny do jedné hnědé obálky."
"starting","start","spustil","spustit","pf"," Roden responded by starting a fierce argument with Pilcher over whether the specimen 's larval warts were arranged in circles or not."," Roden reagoval tak, že spustil vzrušenou debatu na téma, zda larvální bradavice tohoto vzorku jsou uspořádány kruhovitě nebo ne."
"arranged","arrange","uspořádány","uspořádat","pf"," Roden responded by starting a fierce argument with Pilcher over whether the specimen 's larval warts were arranged in circles or not."," Roden reagoval tak, že spustil vzrušenou debatu na téma, zda larvální bradavice tohoto vzorku jsou uspořádány kruhovitě nebo ne."
"said","say","řekl","říci","pf"," "" Erebus odora, "" Roden said at last."," "" Erebus odora, "" řekl nakonec Roden."
"go","go","Půjdeme","jít","impf"," "" Let 's go look, "" Pilcher said."," "" Půjdeme to zkontrolovat, "" řekl Pilcher."
"said","say","řekl","říci","pf"," "" Let 's go look, "" Pilcher said."," "" Půjdeme to zkontrolovat, "" řekl Pilcher."
"walking","walk","kráčel","kráčet","impf"," Now he was coming back, walking through the notes, parting the air that swarmed with crystal notes."," Nyní se vracel k cele, kráčel mezi notami, rozčesával vzduch plný křišťálových not."
"came","come","přicházel","přicházet","impf"," This time Boyle came back with him."," Tentokrát s ním přicházel i Boyle."
"hear","hear","slyšel","slyšet","impf"," Dr. Lecter could hear the holes they made in the echoes of the music."," Dr. Lecter slyšel díry, které svými kroky dělali do hudební ozvěny."
"made","make","dělali","dělat","impf"," Dr. Lecter could hear the holes they made in the echoes of the music."," Dr. Lecter slyšel díry, které svými kroky dělali do hudební ozvěny."
"checked","check","zkontroloval","zkontrolovat","pf"," Pembry checked the cuffs again."," Pembry znovu zkontroloval pouta."
"smell","smell","cítil","cítit","impf"," Dr. Lecter could smell Petnbry 's breath behind him."," Dr. Lecter cítil jeho dech za svými zády."
"unlocked","unlock","otevřel","otevřít","pf"," Now Pembry unlocked the cell and swung the door open."," Teď otevřel Pembry dveře a nechal je dokořán."
"wore","wear","nosili","nosit","impf"," The loops are made of junk film, fairly innocuous naughty movies from the forties and fifties, and there was nudist camp volleyball and the less explicit parts of thirties sex movies where the male actors wore false noses and still had their socks on."," Smyčky vybírali většinou z podřadných, neškodně necudných filmů čtyřicátých a padesátých let s nudistickým volejbalovým zápasem nebo z dvojsmyslných částí erotických filmů třicátých let, kde herci nosili falešné nosy a nechávali si pořád na nohou ponožky."
"do","do","provést","provést","pf"," There was nothing Mr. Gumb could do about the ads crawling up the screen."," Pan Gumb nemohl provést nic s reklamami křižujícími obrazovku."
"Go","go","Jeďte","jet","impf"," "" Go, Starling."," "" Jeďte, Starlingová."
"Call","call","Volejte","volat","impf"," Call me. """," Volejte. """
"raised","raise","Zvedla","zvednout","pf"," She raised her hand to him."," Zvedla k němu ruku."
"touch","touch","nedotkla","dotknout","pf"," She did n't touch his face or his hand, there did n't seem to be any place to touch, and she turned and ran for the Pinto."," Ale nedotkla se ani jeho obličeje, ani jeho ruky, vypadalo to, že neexistuje místo, kde by se ho dalo dotknout, obrátila se a utíkala ke svému pintu."
"touch","touch","nedotkla","dotknout","pf"," She did n't touch his face or his hand, there did n't seem to be any place to touch, and she turned and ran for the Pinto."," Ale nedotkla se ani jeho obličeje, ani jeho ruky, vypadalo to, že neexistuje místo, kde by se ho dalo dotknout, obrátila se a utíkala ke svému pintu."
"touch","touch","dotknout","dotknout","pf"," She did n't touch his face or his hand, there did n't seem to be any place to touch, and she turned and ran for the Pinto."," Ale nedotkla se ani jeho obličeje, ani jeho ruky, vypadalo to, že neexistuje místo, kde by se ho dalo dotknout, obrátila se a utíkala ke svému pintu."
"touch","touch","dotknout","dotknout","pf"," She did n't touch his face or his hand, there did n't seem to be any place to touch, and she turned and ran for the Pinto."," Ale nedotkla se ani jeho obličeje, ani jeho ruky, vypadalo to, že neexistuje místo, kde by se ho dalo dotknout, obrátila se a utíkala ke svému pintu."
"turned","turn","obrátila","obrátit","pf"," She did n't touch his face or his hand, there did n't seem to be any place to touch, and she turned and ran for the Pinto."," Ale nedotkla se ani jeho obličeje, ani jeho ruky, vypadalo to, že neexistuje místo, kde by se ho dalo dotknout, obrátila se a utíkala ke svému pintu."
"ran","run","utíkala","utíkat","impf"," She did n't touch his face or his hand, there did n't seem to be any place to touch, and she turned and ran for the Pinto."," Ale nedotkla se ani jeho obličeje, ani jeho ruky, vypadalo to, že neexistuje místo, kde by se ho dalo dotknout, obrátila se a utíkala ke svému pintu."
"ran","run","Běžela","běžet","impf"," She ran to a bumper jack at the end of the door and pumped the handle :"," Běžela k heveru na straně vrat, chytla držadlo a zapumpovala."
"touching","touch","dotýkala","dotýkat","impf"," Now the door was touching the man 's chest."," Teď už se vrata dotýkala kameramanovy hrudi."
"threaten","threaten","pohrozit","pohrozit","pf"," We 've got nothing to threaten him with - he 's lost his commode seat and his books already."," Nemáme mu čím pohrozit - už mu vzali i sedátko a knihy."
"offered","offer","nabídli","nabídnout","pf"," "" What would happen if we just told him the situation and offered him something - a cell with a view."," "" Co by se stalo, kdybychom mu prostě vylíčili situaci a něco mu nabídli - třeba celu s výhledem ven."
"asked","ask","žádal","žádat","impf"," That 's what he asked for when he offered to help. """," O to žádal, když nabízel pomoc mně. """
"offered","offer","nabízel","nabízet","impf"," That 's what he asked for when he offered to help. """," O to žádal, když nabízel pomoc mně. """
"offered","offer","Nabízel","nabízet","impf"," "" He offered to help, Starling."," "" Nabízel pomoc, Starlingová."
"Snitching","snitch","prásknout","prásknout","pf"," Snitching would n't give him enough of a chance to show off."," Někoho prásknout by mu neskýtalo dostatečnou příležitost se předvádět."
"show","show","předvádět","předvádět","impf"," Snitching would n't give him enough of a chance to show off."," Někoho prásknout by mu neskýtalo dostatečnou příležitost se předvádět."
"said","say","řekl","říci","pf"," "" I have the good stuff in my pocketbook, "" said a voice behind her."," "" V kabelce nosím pár užitečných věcí, "" řekl hlas za jejími zády."
"looked","look","podívala","podívat","pf"," Starling looked in the mirror."," Starlingová se podívala do zrcadla."
"turned","turn","otočila","otočit","pf"," Starling turned around."," Starlingová se otočila."
"read","read","Přečetl","přečíst","pf"," He 'd read it in the newspaper with everything else you know, you fucking jerk."," Přečetl by si to v novinách, kam bys to poslal spolu se vším ostatním, co víš, ty zatracenej blbečku."
"answer","answer","Neodpověděla","odpovědět","pf"," She did n't answer."," Neodpověděla."
"go","go","povede","vést","impf"," "" If this should go anywhere and he has to depose, you 'd be the first one to see the material and I 'm sure you 'd be invited to serve as expert witness."," "" Jestli to někam povede a on bude vypovídat, budete první, komu poskytneme veškeré materiály, a bezpochyby vás požádáme o vaše vlastní svědectví a předložení expertízy."
"talks","talk","mluví","mluvit","impf"," "" Do you know why he talks to you, Miss Starling? """," "" Můžete mi prozradit, slečno Starlingová, jak je možné, že s vámi mluví? """
"want","want","chcete","chtít","impf"," "" What do you want me to do? """," "" Co chcete vy, abych udělala? """
"do","do","udělala","udělat","pf"," "" What do you want me to do? """," "" Co chcete vy, abych udělala? """
"do","do","udělala","udělat","pf"," "" What do you want me to do? """," "" Co chcete vy, abych udělala? """
"said","say","řekl","říci","pf"," "" Memphis was pretty much of a wipe, "" he said."," "" V Memphisu to byla zabíračka, "" řekl."
"think","think","Myslím","myslet","impf"," "" He got her on the parking lot, I think."," "" Myslím, že ji sebral na parkovišti."
"saw","see","neviděl","vidět","impf"," Nobody saw it."," Nikdo to neviděl."
"mean","mean","nechtěla","chtít","impf"," She did n't mean to stay out long - she left the door ajar and flipped the deadbolt so it would n't lock behind her."," Asi nechtěla být venku moc dlouho, protože nechala dveře dokořán a zasunula zástrčku, aby se dveře nezabouchly."
"left","leave","nechala","nechat","pf"," She did n't mean to stay out long - she left the door ajar and flipped the deadbolt so it would n't lock behind her."," Asi nechtěla být venku moc dlouho, protože nechala dveře dokořán a zasunula zástrčku, aby se dveře nezabouchly."
"lit","light","svítí","svítit","impf"," There, the office that 's lit."," Tak a už jsme tady, v kanceláři se svítí."
"Do","do","půjdete","jít","impf"," Do n't try to come out by yourself."," Až půjdete pryč, nechoďte sama."
"come","come","půjdete","jít","impf"," Do n't try to come out by yourself."," Až půjdete pryč, nechoďte sama."
"come","come","nechoďte","chodit","impf"," Do n't try to come out by yourself."," Až půjdete pryč, nechoďte sama."
"told","tell","neřekne","říci","pf"," How does a criminal 's real name and real background fall under the doctor-patient relationship when he never told it to you, you had to find it out for yourself?"," Jak dalece spadá zločincovo skutečné jméno nebo skutečné zázemí do vztahu pacienta a lékaře, pokud vám to nikdy neřekne a vy si to musíte zjišťovat sám?"
