"hear","hear","zaslechl","zaslechnout","pf"," He could hear, a long way off, the sound of approaching feet and arguing voices."," Kdesi v dálce zaslechl zvuk přibližujících se kroků a rozhádaných hlasů."
"avert","avert","odvrátit","odvrátit","pf"," Cohen pointed to the Luggage, which had trotted over to Twoflower and opened its lid like a dog that knows it 's been bad and is hoping that a quick display of affection may avert the rolled-up newspaper of authority."," Cohen ukázal na Zavazadlo, které přiťapalo k Dvoukvítkovi a otevřelo na něj radostně víko, přesně jako pes, který ví, že zlobil, a snaží se náhlým a upřímným projevem oddané náklonnosti odvrátit srolované noviny nejvyšší autority."
"shouting","shout","křičel","křičet","impf"," But Rincewind advanced on it angrily, shouting, Maybe, but the fact is I do believe it and you 'd better remember whose head you 're in, right?"," Ale vzteklý Mrakoplaš k němu přistoupil ještě blíž a křičel na něj - to si myslíš ty, ale já tomu věřím a uvědom si laskavě, v čí hlavě jsi, ano?"
"believe","believe","myslíš","myslet","impf"," But Rincewind advanced on it angrily, shouting, Maybe, but the fact is I do believe it and you 'd better remember whose head you 're in, right?"," Ale vzteklý Mrakoplaš k němu přistoupil ještě blíž a křičel na něj - to si myslíš ty, ale já tomu věřím a uvědom si laskavě, v čí hlavě jsi, ano?"
"believe","believe","věřím","věřit","impf"," But Rincewind advanced on it angrily, shouting, Maybe, but the fact is I do believe it and you 'd better remember whose head you 're in, right?"," Ale vzteklý Mrakoplaš k němu přistoupil ještě blíž a křičel na něj - to si myslíš ty, ale já tomu věřím a uvědom si laskavě, v čí hlavě jsi, ano?"
"believe","believe","věřit","věřit","impf"," I can believe anything I like in here!"," Tady si můžu věřit, čemu chci!"
"like","like","chci","chtít","impf"," I can believe anything I like in here!"," Tady si můžu věřit, čemu chci!"
"made","make","udělal","udělat","pf"," Trymon grinned, and made another complicated motion with his hands."," Trémon se ušklíbl a udělal rukama další neobyčejně složité gesto."
"used","use","používá","používat","impf"," Every inch of his skin felt as though it was being used as an anvil."," Zdálo se mu, že každý kousek jeho kůže používá někdo jako kovadlinu."
"help","help","Pomohl","pomoci","pf"," ‘ I 'll help you pack. ’"," "" Pomohl bych vám ji zapakovat. """
"agree","agree","připustili","připustit","pf"," This is not a completely accurate description, of course – it was not round and shiny – but even its worst enemies would agree that if you had to liken Ankh-Morpork to anything, then it might as well be a piece of rubbish covered with the diseased secretions of a dying mollusc."," Samozřejmě, že to není zcela přesný popis, město nebylo ani kulaté, ani lesklé, ale i jeho největší nepřátelé by připustili, že když už ho chcete k něčemu přirovnat, pak by to mohla být hromada odpadků, pokrytá nezdravým slizem umírajícího hlemýždě."
"liken","liken","přirovnat","přirovnat","pf"," This is not a completely accurate description, of course – it was not round and shiny – but even its worst enemies would agree that if you had to liken Ankh-Morpork to anything, then it might as well be a piece of rubbish covered with the diseased secretions of a dying mollusc."," Samozřejmě, že to není zcela přesný popis, město nebylo ani kulaté, ani lesklé, ale i jeho největší nepřátelé by připustili, že když už ho chcete k něčemu přirovnat, pak by to mohla být hromada odpadků, pokrytá nezdravým slizem umírajícího hlemýždě."
"rival","rival","konkurovat","konkurovat","impf"," But no city in the multiverse could rival Ankh-Morpork for its smell."," Ale ani jedno z měst mnohovesmíru nemohlo Ankh - Morporku konkurovat co do zápachu."
"grinned","grin","usmál","usmát","pf"," Galder threw the bow aside and grinned."," Galder odhodil luk stranou a spokojeně se usmál."
"take","take","trvat","trvat","impf"," ‘ Of course, it 'll take about an hour to get there, ’ he said."," "" Je jasné, že to teď bude tak hodinku trvat, než tam doletí, "" vysvětloval."
"turned","turn","obrátil","obrátit","pf"," ‘ Roight! ’ said Weems, and turned towards Twoflower with his sword drawn."," "" Dobrý, "" sykl Weems a s taseným mečem se obrátil k Mrakoplašovi."
"hesitate","hesitate","zaváhal","zaváhat","pf"," Rincewind saw him hesitate."," Pak ale najednou zaváhal."
"fixed","fix","připevnil","připevnit","pf"," There was a stack of jars containing deliquescent bath salts, to which someone had fixed a rather sad and jaunty little notice announcing, in the face of all the evidence, that one would make an Ideal Gift."," Celá jedna police byla plná kelímků voňavé koupelové soli, na které někdo připevnil neumělé tabulky s ještě neumělejšími nápisy, že koupelová sůl je dárek nad dárky."
"laughed","laugh","zasmála","zasmát","pf"," Bethan peered at the shelves on the other wall, and laughed."," Bethan prohlížela police na druhé straně místnosti a najednou se zasmála."
"look","look","podívat","podívat","pf"," ‘ Would you look at this! ’ she said."," "" Pojď se podívat na tohle! "" zvolala."
"looked","look","podíval","podívat","pf"," Twoflower looked."," Dvoukvítek se podíval."
"took","take","zabraly","zabrat","pf"," The preparation normally took several hours, but the combined powers of the senior wizards shortened it considerably and, after a mere forty minutes, Galder chanted the final words of the spell."," Přípravy obyčejně zabraly několik hodin, ale spojené sily starších mágů je znatelně zkrátily, takže už po čtyřiceti minutách odříkal Počasvosk závěrečná slova celého obřadu."
"shortened","shorten","zkrátily","zkrátit","pf"," The preparation normally took several hours, but the combined powers of the senior wizards shortened it considerably and, after a mere forty minutes, Galder chanted the final words of the spell."," Přípravy obyčejně zabraly několik hodin, ale spojené sily starších mágů je znatelně zkrátily, takže už po čtyřiceti minutách odříkal Počasvosk závěrečná slova celého obřadu."
"hung","hang","viset","viset","impf"," They hung in front of him for a moment before dissolving."," Ta mu chvíli zůstala viset ve vzduchu před obličejem a pak se pomalu rozplynula."
"dissolving","dissolve","rozplynula","rozplynout","pf"," They hung in front of him for a moment before dissolving."," Ta mu chvíli zůstala viset ve vzduchu před obličejem a pak se pomalu rozplynula."
"hidden","hide","skrýval","skrývat","impf"," Most of it was hidden by a black robe and hood and this was probably just as well."," Skoro celou ji skrýval široký černý plášť s kápí a to bylo pravděpodobně dobře."
"sat","sit","sedl","sednout","pf"," Twoflower sat down heavily on his bed."," Dvoukvítek si těžce sedl na postel."
"exchanged","exchange","vyměnilo","vyměnit","pf"," Swires and Rincewind 's kneecap exchanged glances."," Mrakoplašovo a Vaverkovo koleno si vyměnilo významný pohled."
"think","think","myslím","myslet","impf"," ‘ I think you must be thinking about different elves, ’ the gnome said slowly."," "" Já si myslím, že musíš mluvit o jiných elfech, "" zavrtěl hlavou trpaslík."
"thinking","think","myslím","myslet","impf"," ‘ I think you must be thinking about different elves, ’ the gnome said slowly."," "" Já si myslím, že musíš mluvit o jiných elfech, "" zavrtěl hlavou trpaslík."
"said","say","mluvit","mluvit","impf"," ‘ I think you must be thinking about different elves, ’ the gnome said slowly."," "" Já si myslím, že musíš mluvit o jiných elfech, "" zavrtěl hlavou trpaslík."
"looked","look","podíval","podívat","pf"," Rincewind looked at the lowering sky."," Mrakoplaš se podíval na mračna, která klesala čím dál tím níž."
"lowering","lower","klesala","klesat","impf"," Rincewind looked at the lowering sky."," Mrakoplaš se podíval na mračna, která klesala čím dál tím níž."
"agreed","agree","souhlasil","souhlasit","impf"," ‘ Uh, yes, ’ Rincewind agreed fervently, eyeing the doorway."," "" No, asi ano, "" souhlasil s ní rychle Mrakoplaš a očima visel na dveřích."
"die","die","umírají","umírat","impf"," Anyway, wizards die just like anyone else when you stick a — ’"," Koneckonců, mágové umírají jako kdokoliv jiný, když se člověk trochu snaží a - """
"took","take","trvalo","trvat","impf"," It took a little while for people to realize it."," Lidem chvilku trvalo, než pochopili."
"took","take","pochopili","pochopit","pf"," It took a little while for people to realize it."," Lidem chvilku trvalo, než pochopili."
"realize","realize","pochopili","pochopit","pf"," It took a little while for people to realize it."," Lidem chvilku trvalo, než pochopili."
"waiting","wait","čekali","čekat","impf"," Everyone had ducked instinctively, waiting for the explosion of white light or scintillating fireball or, in the case of Cohen, who had fairly low expectations, a few white pigeons, possibly a slightly crumpled rabbit."," Každý se podvědomě přikrčil, všichni čekali výbuch oslňujícího světla, zářící světelnou kouli nebo, jako třeba Cohen, kterému stačilo málo, párek holubů a mírně pomačkaného králíka."
"caught","catch","dohonil","dohonit","pf"," Twoflower was already several turns up by the time Rincewind caught him."," Dvoukvítek byl už několik otáček nad zemí, když ho Mrakoplaš dohonil."
"manage","manage","podařilo","podařit","pf"," ‘ Hold on, ’ he said, as cheerfully as he could manage."," "" Počkej, "" volal tak veselým hlasem, jaký se mu podařilo z hlasivek vyloudit."
"fly","fly","létat","létat","impf"," Even Twoflower, whose ability to recognize danger was as good as Rincewind 's ability to fly, was looking worried."," Dokonce i Dvoukvítek, který dovedl vycítit nebezpečí asi stejně, jako Mrakoplaš uměl létat, vypadal ustaraně."
"turned","turn","otočil","otočit","pf"," The jeweller turned the gold slowly over the tiny anvil, tapping the last strangely-cut diamond into place."," Zlatník pomalu otočil zlatem na malé kovadlince a doklepl na místo poslední podivně broušený diamant."
"nodded","nod","přikývl","přikývnout","pf"," Rincewind nodded glumly."," Polykající Mrakoplaš přikývl."
"said","say","prohlásil","prohlásit","pf"," ‘ Yeah, the Confectionery School of Architecture, ’ he said."," "" Jo, katedra architektury vysoké školy cukrářské, "" prohlásil."
"caught","catch","dostat","dostat","pf"," ‘ It never caught on. ’"," "" Tam jsem se ani nepokoušel dostat. """
"get","get","neseženete","sehnat","pf"," You just do n't get this sort of place nowadays, you just ca n't get the gingerbread. ’"," Takový dům dneska neseženete, dávno už se totiž nedělá ten správný perník. """
"get","get","neseženete","sehnat","pf"," You just do n't get this sort of place nowadays, you just ca n't get the gingerbread. ’"," Takový dům dneska neseženete, dávno už se totiž nedělá ten správný perník. """
"do","do","nedělá","dělat","impf"," You just do n't get this sort of place nowadays, you just ca n't get the gingerbread. ’"," Takový dům dneska neseženete, dávno už se totiž nedělá ten správný perník. """
"presented","present","poskytovala","poskytovat","impf"," And yet, from far above and by the silver light of the Discworld 's tiny moon, it presented one of the most beautiful sights in the multi verse."," A přece, shora, ve stříbrné záři malého zeměplošského měsíce, poskytovala mračna jeden z nejkrásnějších pohledů v celém mnohočetném vesmíru."
"poured","pour","nalil","nalít","pf"," In the cold crystal silence the huge white spiral glittered frostily under the stars, imperceptibly turning, very much as though God had stirred His coffee and then poured the cream in."," Obrovský sloup se netečně tyčil v mrazivém křišťálovém tichu až ke hvězdám a kolem něj vířila mračna podobná mléku, které si Stvořitel nalil do právě zamíchané kávy."
"disturbed","disturb","nerušilo","rušit","impf"," Nothing disturbed the glowing scene, which —"," Nic nerušilo tu nádhernou scénu, která ..."
"swore","swear","přísahalo","přísahat","impf"," And several of the wizards later swore that the small sad orang outang sitting in the middle of it all looked very much like the head librarian."," Později několik mágů přísahalo, že se malý smutný orangutan, sedící uprostřed té spouště, podobal hlavnímu knihovníkovi."
"kept","keep","udržovala","udržovat","impf"," Residual magic kept it standing and it was shunned by such local wild animals who had n't already died of terminal tooth decay."," Zbytková magie ji udržovala neustále v chodu a ta okolní zvířata, která ještě nepochcípala na vleklé záněty zubů, se jí vyhýbala."
"kept","keep","vyhýbala","vyhýbat","impf"," Residual magic kept it standing and it was shunned by such local wild animals who had n't already died of terminal tooth decay."," Zbytková magie ji udržovala neustále v chodu a ta okolní zvířata, která ještě nepochcípala na vleklé záněty zubů, se jí vyhýbala."
"shunned","shun","vyhýbala","vyhýbat","impf"," Residual magic kept it standing and it was shunned by such local wild animals who had n't already died of terminal tooth decay."," Zbytková magie ji udržovala neustále v chodu a ta okolní zvířata, která ještě nepochcípala na vleklé záněty zubů, se jí vyhýbala."
"burned","burn","hořel","hořet","impf"," A bright fire of liquorice logs burned rather messily in the fireplace;"," Oheň z lékořicových polen hořel v krbu velmi špatně."
"tried","try","pokusil","pokusit","pf"," Rincewind had tried gathering wood outside, but had given up."," Mrakoplaš se pokusil nasbírat venku nějaké suché větve, ale nakonec to vzdal."
"talks","talk","mluví","mluvit","impf"," It 's hard to bum wood that talks to you."," Dřevem, které na vás mluví, se topí velice špatně."
"remember","remember","Vzpomínám","vzpomínat","impf"," I ca n't remember what it was he wanted, but when he asked for it I – I gave one of those sucking-in noises, you know, like whistling only backwards? ’"," Vzpomínám si přesně, co z mého zboží chtěl, ale když o něj požádal, tak já ... já udělal jen takový ten zvuk, jako když chcete písknout, jenže dovnitř. """
"wanted","want","chtěl","chtít","impf"," I ca n't remember what it was he wanted, but when he asked for it I – I gave one of those sucking-in noises, you know, like whistling only backwards? ’"," Vzpomínám si přesně, co z mého zboží chtěl, ale když o něj požádal, tak já ... já udělal jen takový ten zvuk, jako když chcete písknout, jenže dovnitř. """
"asked","ask","požádal","požádat","pf"," I ca n't remember what it was he wanted, but when he asked for it I – I gave one of those sucking-in noises, you know, like whistling only backwards? ’"," Vzpomínám si přesně, co z mého zboží chtěl, ale když o něj požádal, tak já ... já udělal jen takový ten zvuk, jako když chcete písknout, jenže dovnitř. """
"wanted","want","chcete","chtít","impf"," I ca n't remember what it was he wanted, but when he asked for it I – I gave one of those sucking-in noises, you know, like whistling only backwards? ’"," Vzpomínám si přesně, co z mého zboží chtěl, ale když o něj požádal, tak já ... já udělal jen takový ten zvuk, jako když chcete písknout, jenže dovnitř. """
"whistling","whistle","písknout","písknout","pf"," I ca n't remember what it was he wanted, but when he asked for it I – I gave one of those sucking-in noises, you know, like whistling only backwards? ’"," Vzpomínám si přesně, co z mého zboží chtěl, ale když o něj požádal, tak já ... já udělal jen takový ten zvuk, jako když chcete písknout, jenže dovnitř. """
"demonstrated","demonstrate","Předvedl","předvést","pf"," He demonstrated."," Předvedl."
"said","say","řekl","říci","pf"," ‘ I see, ’ he said slowly."," "" Aha, "" řekl pomalu."
"made","make","vyroben","vyrobit","pf"," It must be made of little bits of metal, not very heavy —"," Musí být vyroben z malých kousků kovu, ty nebudou nijak těžké ..."
"keeps","keep","udržuje","udržovat","impf"," She went a long time ago but the magic still keeps the house going. ’"," Už tady dávno nebydlí, ale magie stále udržuje domek v chodu. """
"touched","touch","dotkl","dotknout","pf"," Twoflower touched a wall gingerly."," Dvoukvítek se opatrně dotkl zdi."
"felt","feel","Cítil","cítit","impf"," He felt that the darkness was full of unimaginable horrors – and the trouble with unimaginable horrors was that they were only too easy to imagine ..."," Cítil, že je okolní temno plné nepředstavitelných příšer, a potíž s nepředstavitelnými hrůzami je v tom, že si je každý velmi snadno představí ..."
"imagine","imagine","představí","představit","pf"," He felt that the darkness was full of unimaginable horrors – and the trouble with unimaginable horrors was that they were only too easy to imagine ..."," Cítil, že je okolní temno plné nepředstavitelných příšer, a potíž s nepředstavitelnými hrůzami je v tom, že si je každý velmi snadno představí ..."
"heard","hear","neslyšel","slyšet","impf"," Rincewind had never heard a lizard speak, but if one did it would have a voice like that."," Mrakoplaš nikdy neslyšel mluvit ještěry, ale kdyby mluvili, měli by jistě přesně takový hlas."
"speak","speak","mluvit","mluvit","impf"," Rincewind had never heard a lizard speak, but if one did it would have a voice like that."," Mrakoplaš nikdy neslyšel mluvit ještěry, ale kdyby mluvili, měli by jistě přesně takový hlas."
"speak","speak","mluvili","mluvit","impf"," Rincewind had never heard a lizard speak, but if one did it would have a voice like that."," Mrakoplaš nikdy neslyšel mluvit ještěry, ale kdyby mluvili, měli by jistě přesně takový hlas."
"looked","look","podívala","podívat","pf"," It just appeared out of the sky and looked at me, ’ said the apprentice."," Spadla z nebe a podívala se na mě, "" přisvědčil učedník."
"began","begin","začal","začít","pf"," ‘ N —, ’ began the apprentice and stopped, puzzled."," "" Ne ... "" začal učedník a zmateně se zarazil."
"stopped","stop","zarazil","zarazit","pf"," ‘ N —, ’ began the apprentice and stopped, puzzled."," "" Ne ... "" začal učedník a zmateně se zarazil."
"seen","see","viděli","vidět","impf"," ‘ Many have seen Topaxci, God of the Red Mushroom, and they earn the name of shaman, ’ he said."," "" Mnozí viděli Topaxciho, boha Rudé houby, a tak si vysloužili právo být šamanem, "" řekl nakonec."
"said","say","řekl","říci","pf"," ‘ Many have seen Topaxci, God of the Red Mushroom, and they earn the name of shaman, ’ he said."," "" Mnozí viděli Topaxciho, boha Rudé houby, a tak si vysloužili právo být šamanem, "" řekl nakonec."
"seen","see","viděli","vidět","impf"," ‘ Some have seen Skelde, spirit of the smoke, and they are called sorcerers."," "" Někteří viděli Skelda, boha kouře, a těm se říká čarodějové."
"called","call","říká","říkat","impf"," ‘ Some have seen Skelde, spirit of the smoke, and they are called sorcerers."," "" Někteří viděli Skelda, boha kouře, a těm se říká čarodějové."
"thinking","think","nemyslelo","myslet","impf"," He may be deaf and a little hard of thinking, but elderly wizards have very well-trained survival instincts, and they know that when a tall figure in a black robe and the latest in agricultural handtools starts looking thoughtfully at you it is time to act fast."," Jistě, byl hluchý a nemyslelo mu to už tak rychle jako dřív, ale staří mágové mají vypěstován neobyčejně silný pud sebezáchovy a vědí, že když se na ně začne zamyšleně dívat vysoká postava v černém, s posledním modelem jednoduchého zemědělského nářadí přes rameno, je nutno jednat rychle."
"thinking","think","mají","mít","impf"," He may be deaf and a little hard of thinking, but elderly wizards have very well-trained survival instincts, and they know that when a tall figure in a black robe and the latest in agricultural handtools starts looking thoughtfully at you it is time to act fast."," Jistě, byl hluchý a nemyslelo mu to už tak rychle jako dřív, ale staří mágové mají vypěstován neobyčejně silný pud sebezáchovy a vědí, že když se na ně začne zamyšleně dívat vysoká postava v černém, s posledním modelem jednoduchého zemědělského nářadí přes rameno, je nutno jednat rychle."
"looking","look","dívat","dívat","impf"," He may be deaf and a little hard of thinking, but elderly wizards have very well-trained survival instincts, and they know that when a tall figure in a black robe and the latest in agricultural handtools starts looking thoughtfully at you it is time to act fast."," Jistě, byl hluchý a nemyslelo mu to už tak rychle jako dřív, ale staří mágové mají vypěstován neobyčejně silný pud sebezáchovy a vědí, že když se na ně začne zamyšleně dívat vysoká postava v černém, s posledním modelem jednoduchého zemědělského nářadí přes rameno, je nutno jednat rychle."
"act","act","jednat","jednat","impf"," He may be deaf and a little hard of thinking, but elderly wizards have very well-trained survival instincts, and they know that when a tall figure in a black robe and the latest in agricultural handtools starts looking thoughtfully at you it is time to act fast."," Jistě, byl hluchý a nemyslelo mu to už tak rychle jako dřív, ale staří mágové mají vypěstován neobyčejně silný pud sebezáchovy a vědí, že když se na ně začne zamyšleně dívat vysoká postava v černém, s posledním modelem jednoduchého zemědělského nářadí přes rameno, je nutno jednat rychle."
"watch","watch","dívejte","dívat","impf"," ‘ Just you all watch out — ’"," "" Jen se všichni dobře dívejte, já vám ... """
"said","say","řekl","říci","pf"," ‘ He 's in shock, ’ said Twoflower."," "" Je v šoku, "" řekl Dvoukvítek."
"done","do","neudělal","udělat","pf"," ‘ He 's never done a spell before. ’"," "" Nikdy předtím neudělal ani jediné kouzlo. """
"looked","look","Podíval","podívat","pf"," He looked up."," Podíval se nahoru."
"torture","torture","mučili","mučit","impf"," All the demons in Hell would torture your very soul, but that was precisely because they valued souls very highly;"," Pekelní démoni by rádi mučili vaši duši, ale to bylo přesně to, proč si vaší duše tak cenili."
"try","try","snažit","snažit","impf"," Evil would always try to steal the universe, but at least it considered the universe worth stealing."," Zlo se bude neustále snažit ovládnout vesmír, ale dělá to proto, že pro ně vesmír představuje něco vzácného, vytouženého."
"destroy","destroy","zničí","zničit","pf"," But the grey world behind those empty eyes would trample and destroy without even according its victims the dignity of hatred."," Ale ten nevýrazný, šedý svět za Trémonovýma očima pošlape a zničí cokoliv s naprostou lhostejností, ve které nebude ani tak slušný, aby ke svým obětem cítil nenávist."
"notice","notice","nevšimne","všimnout","pf"," It would n't even notice them."," Ani si jich nevšimne."
"said","say","řekl","říci","pf"," ‘ The eighth spell, ’ he said."," "" To osmé Zaklínadlo, "" řekl."
"seen","see","viděl","vidět","impf"," ‘ I think it 's the most beautiful thing I 've ever seen, ’ he said."," "" Je to ta nejkrásnější věc, kterou jsem v životě viděl. """
"lowered","lower","spouštěla","spouštět","impf"," A big black globe had lowered itself from the darkness of the ceiling."," Z temnoty u stropu se spouštěla černá koule."
"said","say","říkal","říkat","impf"," ‘ I thought you said we 'd given them the slip! ’"," "" Vždyť jsi říkal, že jsme jim uklouzli v bažinách! """
"remembered","remember","Vzpomněl","vzpomenout","pf"," Somewhere there was a path, he remembered."," Vzpomněl si, že tady někde musí být stezka."
"appeared","appear","zdály","zdát","impf"," Anyway, the lifeline appeared to be going in quite the wrong direction."," V každém případě alespoň nitě jejich životů se zdály mířit úplně špatným směrem."
"going","go","mířit","mířit","impf"," Anyway, the lifeline appeared to be going in quite the wrong direction."," V každém případě alespoň nitě jejich životů se zdály mířit úplně špatným směrem."
"mean","mean","chtěl","chtít","impf"," ‘ Well, no, of course not, but – I mean, she 's seventeen and you 're, you 're how can I put it, you 're of the elderly persuasion. ’"," "" No víš, to ne, ale jak bych ti to ... chtěl jsem říct, jí je sedmnáct a ty jsi ... tobě je ..., kruci, jak bych ti to řekl, ty jsi trochu staršího ražení. """
"put","put","říct","říci","pf"," ‘ Well, no, of course not, but – I mean, she 's seventeen and you 're, you 're how can I put it, you 're of the elderly persuasion. ’"," "" No víš, to ne, ale jak bych ti to ... chtěl jsem říct, jí je sedmnáct a ty jsi ... tobě je ..., kruci, jak bych ti to řekl, ty jsi trochu staršího ražení. """
"put","put","řekl","říci","pf"," ‘ Well, no, of course not, but – I mean, she 's seventeen and you 're, you 're how can I put it, you 're of the elderly persuasion. ’"," "" No víš, to ne, ale jak bych ti to ... chtěl jsem říct, jí je sedmnáct a ty jsi ... tobě je ..., kruci, jak bych ti to řekl, ty jsi trochu staršího ražení. """
"seemed","seem","zdálo","zdát","impf"," He seemed to be assisted by a monkey, but Twoflower was in no mood to be surprised at anything."," Jak se zdálo, pomáhala mu v této činnosti opice, ale Dvoukvítek byl ve stavu, kdy ho nemohlo vůbec nic překvapit."
"assisted","assist","pomáhala","pomáhat","impf"," He seemed to be assisted by a monkey, but Twoflower was in no mood to be surprised at anything."," Jak se zdálo, pomáhala mu v této činnosti opice, ale Dvoukvítek byl ve stavu, kdy ho nemohlo vůbec nic překvapit."
"surprised","surprise","překvapit","překvapit","pf"," He seemed to be assisted by a monkey, but Twoflower was in no mood to be surprised at anything."," Jak se zdálo, pomáhala mu v této činnosti opice, ale Dvoukvítek byl ve stavu, kdy ho nemohlo vůbec nic překvapit."
"do","do","udělat","udělat","pf"," ‘ Will you be able to do anything about that? ’"," "" A budeš s tím moci něco udělat? """
"hate","hate","Nenávidím","nenávidět","impf"," I hate shoop! ’"," Nenávidím! """
"levelled","level","Vyrovnal","vyrovnat","pf"," It levelled off a few feet above the clouds, in a cold but bright blue sky."," Vyrovnal se několik metrů nad šedivou hladinou mračen a pokračoval v testě pod chladnou, ale jasně modrou oblohou."
"say","say","Říká","říkat","impf"," One evening, they say, you start to wake up and then you think “ Why bother? ” and you just do n't."," Říká se, že se prostě jednoho rána probudíte a pomyslíte si ' proč bych se unavoval? ' a tak se jednoduše neunavujete."
"wake","wake","probudíte","probudit","pf"," One evening, they say, you start to wake up and then you think “ Why bother? ” and you just do n't."," Říká se, že se prostě jednoho rána probudíte a pomyslíte si ' proč bych se unavoval? ' a tak se jednoduše neunavujete."
"think","think","pomyslíte","pomyslit","pf"," One evening, they say, you start to wake up and then you think “ Why bother? ” and you just do n't."," Říká se, že se prostě jednoho rána probudíte a pomyslíte si ' proč bych se unavoval? ' a tak se jednoduše neunavujete."
"See","see","Vidíte","vidět","impf"," See those boulders over there? ’"," Vidíte támhle ty balvany? """
"saw","see","zahlédl","zahlédnout","pf"," Rincewind saw some huge shapes lying in the grass."," Mrakoplaš letmo zahlédl několik velkých temných tvarů ležících ve vysoké trávě."
"thinking","think","přemýšlí","přemýšlet","impf"," I do n't know what she 's thinking about, but she has n't moved for two hundred years. ’"," Nevím, o čem právě teď přemýšlí, ale posledních dvě stě let už se nepohnula. """
"moved","move","nepohnula","pohnout","pf"," I do n't know what she 's thinking about, but she has n't moved for two hundred years. ’"," Nevím, o čem právě teď přemýšlí, ale posledních dvě stě let už se nepohnula. """
"called","call","říká","říkat","impf"," ‘ Dying, it 's called! ’ screamed Rincewind."," "" Tomu se říká umřííít! "" zalkal Mrakoplaš."
"done","do","udělat","udělat","pf"," They have n't done that, because they 're not here. ’"," Museli to udělat, protože tady nejsou. """
"said","say","řekl","říci","pf"," ‘ Hmm, ’ said Kwartz, and, ‘ Wolves? ’ said Rincewind."," "" Hmm, "" řekl Křemen a "" Vlci? "" řekl Mrakoplaš."
"said","say","řekl","říci","pf"," ‘ Hmm, ’ said Kwartz, and, ‘ Wolves? ’ said Rincewind."," "" Hmm, "" řekl Křemen a "" Vlci? "" řekl Mrakoplaš."
"said","say","řekl","říci","pf"," ‘ Hmm, ’ said Kwartz, and, ‘ Wolves? ’ said Rincewind."," "" Hmm, "" řekl Křemen a "" Vlci? "" řekl Mrakoplaš."
"said","say","řekl","říci","pf"," ‘ Hmm, ’ said Kwartz, and, ‘ Wolves? ’ said Rincewind."," "" Hmm, "" řekl Křemen a "" Vlci? "" řekl Mrakoplaš."
"hit","hit","zasáhla","zasáhnout","pf"," Silence would have been a terrible din compared to the sudden soft implosion of noiselessness that hit the wizards with the force of an exploding dandelion clock."," Ticho by se ovšem zdálo strašlivým hlukem v porovnání s náhlou hebkou implozí nehlučnosti ' která zasáhla mágy silou rozfouknutého pampeliškového chmýří."
"hit","hit","narazil","narazit","pf"," A thick column of spitting light sprang up from the book, hit the ceiling in a splash of flame, and disappeared."," Z knihy se vyřinul silný proud oslepujícího světla, v záplavě jisker narazil na strop a zmizel."
"disappeared","disappear","zmizel","zmizet","pf"," A thick column of spitting light sprang up from the book, hit the ceiling in a splash of flame, and disappeared."," Z knihy se vyřinul silný proud oslepujícího světla, v záplavě jisker narazil na strop a zmizel."
"stared","stare","zíral","zírat","impf"," Galder stared up at the hole, ignoring the smouldering patches in his beard."," Galder zíral na otvor a vůbec nevěnoval pozornost kouřícím oharkům ve vlastních vousech."
"cried","cry","vykřikl","vykřiknout","pf"," ‘ To the upper cellars! ’ he cried, and bounded up the stone stairs."," "" Do horních sklepů! "" vykřikl a kolébavě se rozběhl vzhůru po kamenných schodech."
"rise","rise","zvedají","zvedat","impf"," Great flippers rise and fall ponderously, warping space into strange shapes."," Gigantické ploutve se pomalu zvedají a dopadají a mačkají vesmír do podivných tvarů."
"think","think","myslíš","myslet","impf"," ‘ And how long do you think that 'll keep them occupied? ’"," "" Na jak dlouho by je to mohlo zabavit, co myslíš? """
"said","say","říct","říci","pf"," ‘ I 'm not sure, ’ he said thoughtfully."," "" To je těžko říct, "" zamyslel se."
"try","try","pokoušel","pokoušet","impf"," ‘ Do n't try to buy it, ’ Rincewind advised."," "" Ne aby ses pokoušel je koupit, "" radil mu Mrakoplaš."
"buy","buy","koupit","koupit","pf"," ‘ Do n't try to buy it, ’ Rincewind advised."," "" Ne aby ses pokoušel je koupit, "" radil mu Mrakoplaš."
"advised","advise","radil","radit","impf"," ‘ Do n't try to buy it, ’ Rincewind advised."," "" Ne aby ses pokoušel je koupit, "" radil mu Mrakoplaš."
"think","think","Nemyslím","myslet","impf"," ‘ I do n't think they 'd appreciate it around here. ’"," "" Nemyslím, že by se to tady místním obyvatelům líbilo. """
"fled","flee","prchli","prchnout","pf"," ‘ Where do they all come from? ’ said Twoflower, as they fled yet another mob."," "" Odkud proboha všichni vylezli? "" ptal se Dvoukvítek, když prchli před dalším pomateným zástupem."
"get","get","dostat","dostat","pf"," ‘ Inside every sane person there 's a madman struggling to get out, ’ said the shopkeeper."," "" V každém normálním člověku se ukrývá šílenec, který se občas pokouší dostat ven, "" prohlásil majitel."
"said","say","prohlásil","prohlásit","pf"," ‘ Inside every sane person there 's a madman struggling to get out, ’ said the shopkeeper."," "" V každém normálním člověku se ukrývá šílenec, který se občas pokouší dostat ven, "" prohlásil majitel."
"doing","do","děláte","dělat","impf"," ‘ What are you doing? ’ he said."," "" Co to děláte? "" zeptal se Cohen."
"agreed","agree","souhlasila","souhlasit","impf"," ‘ You did look a bit white, ’ agreed Bethan."," "" Byl jsi trochu bledý, "" souhlasila Bethan."
