"make","make","vydělávají","vydělávat","impf"," ' All these entrepreneurs make fortunes only because others incur expenses '."," "" Všichni podnikatelé vydělávají jenom tehdy, pokud ostatní utrácejí. """
"escape","escape","unikly","uniknout","pf"," Dead substances are borne towards living bodies in order to take up a place and exert an action within them determined by the nature of the combinations into which they have entered, and in order to escape from them again one day so as to fall once more under the laws of inanimate nature."," "" Mrtvé substance jsou neseny do živých těl, "" říkal Cuvier, "" aby zde zaujaly místo a vykonávaly zde činnost určenou povahou kombinací, jichž se účastní, a aby z nich jednou unikly a vrátily se pod zákon mrtvé přírody. """
"proceed","proceed","postupovat","postupovat","impf"," It is therefore a knowledge that can, and must, proceed by the infinite accumulation of confirmations all dependent on one another."," Je to tedy vědění, které bude moci a bude muset postupovat pouze nekonečným hromaděním verifikací, které budou odkazovat jedna na druhou."
"arranged","arrange","uspořádaly","uspořádat","pf"," In what new space, and in accordance with what forms, have words, beings, and objects of need taken their places and arranged themselves in relation to one another?"," Do jakého jiného prostoru a podle jaké figury se slova, jsoucna a předměty potřeby přemístily a uspořádaly se k sobě navzájem?"
"received","receive","přijmout","přijmout","pf"," What new mode of being must they have received in order to make all these changes possible, and to enable to appear, after scarcely more than a few years, those now familiar forms of knowledge that we have called, since the nineteenth century, philology, biology, and economics?"," Jaký nový způsob bytí musely přijmout, aby byly všechny tyto změny možné a aby se sotva v průběhu několika let objevila taková nám již důvěrně známá vědění, která nazýváme filologií, biologií a politickou ekonomií?"
"appear","appear","objevila","objevit","pf"," What new mode of being must they have received in order to make all these changes possible, and to enable to appear, after scarcely more than a few years, those now familiar forms of knowledge that we have called, since the nineteenth century, philology, biology, and economics?"," Jaký nový způsob bytí musely přijmout, aby byly všechny tyto změny možné a aby se sotva v průběhu několika let objevila taková nám již důvěrně známá vědění, která nazýváme filologií, biologií a politickou ekonomií?"
"called","call","nazýváme","nazývat","impf"," What new mode of being must they have received in order to make all these changes possible, and to enable to appear, after scarcely more than a few years, those now familiar forms of knowledge that we have called, since the nineteenth century, philology, biology, and economics?"," Jaký nový způsob bytí musely přijmout, aby byly všechny tyto změny možné a aby se sotva v průběhu několika let objevila taková nám již důvěrně známá vědění, která nazýváme filologií, biologií a politickou ekonomií?"
"replaces","replace","nahrazuje","nahrazovat","impf"," It is to thought and to signs what algebra is to geometry : it replaces the simultaneous comparison of parts ( or magnitudes ) with an order whose degrees must be traversed one after the other."," Má se k myšlení a ke znakům jako algebra ke geometrii : simultánní komparaci částí ( či veličin ) nahrazuje řádem, jenž musíme projít jeden stupeň po druhém."
"called","call","nazývá","nazývat","impf"," It is here that we find that new epistemological domain that the Classical age called ' general grammar '."," Právě sem je situována nová epistemologická oblast, jíž klasický věk nazývá "" obecnou gramatikou ""."
"freed","free","osvobodila","osvobodit","pf"," Things first of all received a historicity proper to them, which freed them from the continuous space that imposed the same chronology upon them as upon men."," Věci nejprve nabyly vlastní dějinnost, jež je osvobodila z kontinuálního prostoru přisuzujícího jim stejnou chronologii jako lidem."
"speaks","speak","mluví","mluvit","impf"," The human being no longer has any history : or rather, since he speaks, works, and lives, he finds himself interwoven in his own being with histories that are neither subordinate to him nor homogeneous with him."," Lidská bytost už nemá dějiny : či spíše proto, že mluví, pracuje a žije, je ve svém bytí naprosto propletena s dějinami, které jí nejsou ani podřízeny, ani s ní nejsou stejnorodé."
"divides","divide","rozděluje","rozdělovat","impf"," The coexistence of Ideology and critical philosophy at the end of the eighteenth century - of Destutt de Tracy and Kant - divides, into two forms of thought, exterior to one another, yet simultaneous, what scientific forms of reflection, on the other hand, hold together in a unity doomed to imminent dissociation."," Koexistence ideologie a kritické filosofie - Destutta de Tracy a Kanta - rozděluje na konci 18. století ve formě dvou druhů myšlení k sobě navzájem vnějších to, co vědecká reflexe udržuje v jednotě, jež se brzy rozpadne."
"hold","hold","udržuje","udržovat","impf"," The coexistence of Ideology and critical philosophy at the end of the eighteenth century - of Destutt de Tracy and Kant - divides, into two forms of thought, exterior to one another, yet simultaneous, what scientific forms of reflection, on the other hand, hold together in a unity doomed to imminent dissociation."," Koexistence ideologie a kritické filosofie - Destutta de Tracy a Kanta - rozděluje na konci 18. století ve formě dvou druhů myšlení k sobě navzájem vnějších to, co vědecká reflexe udržuje v jednotě, jež se brzy rozpadne."
"acquired","acquire","nabýt","nabýt","pf"," A knowledge of each species can be acquired easily upon the basis of this general characterization :"," Poznání každého druhu můžeme jednoduše nabýt na základě této obecné charakteristiky :"
"invent","invent","vymyslet","vymyslet","pf"," There can be only one method; but one can invent and apply a considerable number of systems :"," Může existovat pouze jedna metoda, ale můžeme vymyslet a aplikovat velké množství systémů :"
"modify","modify","pozměnit","pozměnit","pf"," The system is arbitrary throughout its development, but once the system of variables - the character - has been defined at the outset, it is no longer possible to modify it, to add or subtract even one element."," Systém je arbitrární v celém svém průběhu, ale jakmile je na počátku systém proměnných - charakter - jednou definován, není ho možné pozměnit, přidat k němu nebo z něj odebrat byť i jen jeden jediný element."
"add","add","přidat","přidat","pf"," The system is arbitrary throughout its development, but once the system of variables - the character - has been defined at the outset, it is no longer possible to modify it, to add or subtract even one element."," Systém je arbitrární v celém svém průběhu, ale jakmile je na počátku systém proměnných - charakter - jednou definován, není ho možné pozměnit, přidat k němu nebo z něj odebrat byť i jen jeden jediný element."
"makes","make","dělá","dělat","impf"," Natural history can be a well-constructed language only if the amount of play in it is enclosed : if its descriptive exactitude makes every proposition into an invariable pattern of reality ( if one can always attribute to the representation what is articulated in it ) and if the designation of each being indicates clearly the place it occupies in the general arrangement of the whole."," Přírodní historie bude správně utvořený jazyk pouze tehdy, jestliže hra bude uzavřená : pokud přesnost popisu dělá z každé propozice konstantní členění reality ( pokud je vždy možné přisoudit realitě to, co artikulujeme ) a pokud označení každého jsoucna po právu vyznačuje místo, které v obecném rozvrhu celku zaujímá."
"occupies","occupy","zaujímá","zaujímat","impf"," Natural history can be a well-constructed language only if the amount of play in it is enclosed : if its descriptive exactitude makes every proposition into an invariable pattern of reality ( if one can always attribute to the representation what is articulated in it ) and if the designation of each being indicates clearly the place it occupies in the general arrangement of the whole."," Přírodní historie bude správně utvořený jazyk pouze tehdy, jestliže hra bude uzavřená : pokud přesnost popisu dělá z každé propozice konstantní členění reality ( pokud je vždy možné přisoudit realitě to, co artikulujeme ) a pokud označení každého jsoucna po právu vyznačuje místo, které v obecném rozvrhu celku zaujímá."
"dissolve","dissolve","zruší","zrušit","pf"," The nineteenth century was to dissolve that link, and to leave behind it, in confrontation, a knowledge closed in upon itself and a pure language that had become, in nature and function, enigmatic - something that has been called, since that time, Literature."," Později v 19. století se tato sounáležitost zruší a jedno bude postaveno proti druhému, vědění uzavřené v sobě samém a čistá řeč, jež se ve svém bytí i ve své funkci stane enigmatickou - něco, co se bude od této doby nazývat literaturou."
"called","call","nazývat","nazývat","impf"," The nineteenth century was to dissolve that link, and to leave behind it, in confrontation, a knowledge closed in upon itself and a pure language that had become, in nature and function, enigmatic - something that has been called, since that time, Literature."," Později v 19. století se tato sounáležitost zruší a jedno bude postaveno proti druhému, vědění uzavřené v sobě samém a čistá řeč, jež se ve svém bytí i ve své funkci stane enigmatickou - něco, co se bude od této doby nazývat literaturou."
"accept","accept","přijmout","přijmout","pf"," It was this same necessity that obliged knowledge to accept magic and erudition on the same level."," Stejná nutnost přiměla toto vědění přijmout podle stejného schématu zároveň magii a učenost."
"increased","increase","zvětšily","zvětšit","pf"," To us, it seems that sixteenth-century learning was made up of an unstable mixture of rational knowledge, notions derived from magical practices, and a whole cultural heritage whose power and authority had been vastly increased by the rediscovery of Greek and Roman authors."," Připadá nám, že poznání 16. století se skládalo z nestabilní směsice racionálního vědění, pojmů odvozených z magických praktik a z celého kulturního dědictví, jehož autoritu ještě zvětšily znovuobjevené staré texty."
"exist","exist","neexistuje","existovat","impf"," Up to the end of the eighteenth century, in fact, life does not exist : only living beings."," Až do konce 18. století totiž život neexistuje, pouze živé bytosti."
"form","form","tvoří","tvořit","impf"," These beings form one class, or rather several classes, in the series of all the things in the world; and if it is possible to speak of life it is only as of one character - in the taxonomic sense of that word - in the universal distribution of beings."," Ty tvoří jednu anebo spíše mnoho skupin v sérii všech věcí světa : a pokud je možné mluvit o životě, pak jedině jako o charakteru - v taxonomickém smyslu slova - v univerzální distribuci jsoucen."
"speak","speak","mluvit","mluvit","impf"," These beings form one class, or rather several classes, in the series of all the things in the world; and if it is possible to speak of life it is only as of one character - in the taxonomic sense of that word - in the universal distribution of beings."," Ty tvoří jednu anebo spíše mnoho skupin v sérii všech věcí světa : a pokud je možné mluvit o životě, pak jedině jako o charakteru - v taxonomickém smyslu slova - v univerzální distribuci jsoucen."
"exhausts","exhaust","vyčerpá","vyčerpat","pf"," And possibly all Classical literature resides in this space, in this striving to reach a name that remains always formidable because it exhausts, and thereby kills, the possibility of speech."," A možná že celá klasická literatura se noří do tohoto prostoru, do tohoto pohybu, aby zasáhla vždy jedno obávané jméno, protože ničí možnost mluvit tím, že ji vyčerpá."
"carried","carry","nesl","nést","impf"," It is this striving movement that carried the experience of language onwards from the restrained confession of La Princesse de Cleves to the immediate violence of Juliette."," Právě tento pohyb nesl zkušenost řeči od tak rezervovaného doznání Princezny Clèvské až po bezprostřední násilí Julietty."
"resemble","resemble","podobají","podobat","impf"," It is the disorder of nature due to its own history, to its catastrophes, or perhaps merely to its jumbled plurality, which is no longer capable of providing representation with anything but things that resemble one another."," Právě neuspořádanost světa, jež vyplynula z jeho minulosti, katastrof, anebo možná prostě z jeho propletené plurality, už nemůže reprezentaci nabídnout nic jiného než věci, jež se navzájem podobají."
"repeats","repeat","opakuje","opakovat","impf"," So that representation, perpetually bound to contents so very close to one another, repeats itself, recalls itself, duplicates itself quite naturally, causes almost identical impressions to arise again and again, and engenders imagination."," Takže reprezentace, vždy spjatá se sobě si navzájem blízkými obsahy, se opakuje, odkazuje sama na sebe, přirozeně se v sobě zaplétá stále znovu a znovu plodí téměř identické imprese a dráždí imaginaci."
"duplicates","duplicate","opakuje","opakovat","impf"," So that representation, perpetually bound to contents so very close to one another, repeats itself, recalls itself, duplicates itself quite naturally, causes almost identical impressions to arise again and again, and engenders imagination."," Takže reprezentace, vždy spjatá se sobě si navzájem blízkými obsahy, se opakuje, odkazuje sama na sebe, přirozeně se v sobě zaplétá stále znovu a znovu plodí téměř identické imprese a dráždí imaginaci."
"appear","appear","zdají","zdát","impf"," How was the Classical age able to define this realm of ' natural history ', the proofs and even the unity of which now appear to us so distant, and as though already blurred?"," Jak mohl klasický věk definovat oblast "" přírodní historie "", jejíž evidence a jednota se nám nyní zdají tak vzdálené a jakoby již zamlžené?"
"spoken","speak","mluvit","mluvit","impf"," This verb must therefore be treated as a composite entity, at the same time a word among other words, subjected to the same rules of case and agreement as other words, and yet set apart from all other words, in a region which is not that of the spoken, but rather that from which one speaks."," O slovesu je tedy třeba mluvit jako o smíšeném jsoucnu, jako zároveň o slovu mezi ostatními, podléhajícímu stejným pravidlům a stejným zákonům shody, a zároveň jako o slovu odlišném od všech ostatních, přebývajícím v oblasti, která není oblastí mluveného, nýbrž toho, odkud se mluví."
"speaks","speak","mluvit","mluvit","impf"," This verb must therefore be treated as a composite entity, at the same time a word among other words, subjected to the same rules of case and agreement as other words, and yet set apart from all other words, in a region which is not that of the spoken, but rather that from which one speaks."," O slovesu je tedy třeba mluvit jako o smíšeném jsoucnu, jako zároveň o slovu mezi ostatními, podléhajícímu stejným pravidlům a stejným zákonům shody, a zároveň jako o slovu odlišném od všech ostatních, přebývajícím v oblasti, která není oblastí mluveného, nýbrž toho, odkud se mluví."
"spoken","speak","mluví","mluvit","impf"," This verb must therefore be treated as a composite entity, at the same time a word among other words, subjected to the same rules of case and agreement as other words, and yet set apart from all other words, in a region which is not that of the spoken, but rather that from which one speaks."," O slovesu je tedy třeba mluvit jako o smíšeném jsoucnu, jako zároveň o slovu mezi ostatními, podléhajícímu stejným pravidlům a stejným zákonům shody, a zároveň jako o slovu odlišném od všech ostatních, přebývajícím v oblasti, která není oblastí mluveného, nýbrž toho, odkud se mluví."
"speaks","speak","mluví","mluvit","impf"," This verb must therefore be treated as a composite entity, at the same time a word among other words, subjected to the same rules of case and agreement as other words, and yet set apart from all other words, in a region which is not that of the spoken, but rather that from which one speaks."," O slovesu je tedy třeba mluvit jako o smíšeném jsoucnu, jako zároveň o slovu mezi ostatními, podléhajícímu stejným pravidlům a stejným zákonům shody, a zároveň jako o slovu odlišném od všech ostatních, přebývajícím v oblasti, která není oblastí mluveného, nýbrž toho, odkud se mluví."
"said","say","řečeno","říci","pf"," It is on the fringe of discourse, at the connection between what is said and what is saying itself, exactly at that point where signs are in the process of becoming language."," Je na hranici diskurzu, ve švu toho, co je řečeno a co se říká, přesně tam, kde se znaky přetvářejí v řeč."
"saying","say","řečeno","říci","pf"," It is on the fringe of discourse, at the connection between what is said and what is saying itself, exactly at that point where signs are in the process of becoming language."," Je na hranici diskurzu, ve švu toho, co je řečeno a co se říká, přesně tam, kde se znaky přetvářejí v řeč."
"said","say","říká","říkat","impf"," It is on the fringe of discourse, at the connection between what is said and what is saying itself, exactly at that point where signs are in the process of becoming language."," Je na hranici diskurzu, ve švu toho, co je řečeno a co se říká, přesně tam, kde se znaky přetvářejí v řeč."
"saying","say","říká","říkat","impf"," It is on the fringe of discourse, at the connection between what is said and what is saying itself, exactly at that point where signs are in the process of becoming language."," Je na hranici diskurzu, ve švu toho, co je řečeno a co se říká, přesně tam, kde se znaky přetvářejí v řeč."
"leads","lead","vede","vést","impf"," For if exegesis leads us not so much towards a primal discourse as towards the naked existence of something like a language, will it not be obliged to express only the pure forms of language even before it has taken on a meaning?"," Neboť když nás exegeze vede k prvotnímu diskurzu méně než k holé existenci něčeho takového jako řeč, nebude nucena říkat pouze čisté formy řeči ještě předtím, než nabudou jakéhokoli smyslu?"
"taken","take","vede","vést","impf"," For if exegesis leads us not so much towards a primal discourse as towards the naked existence of something like a language, will it not be obliged to express only the pure forms of language even before it has taken on a meaning?"," Neboť když nás exegeze vede k prvotnímu diskurzu méně než k holé existenci něčeho takového jako řeč, nebude nucena říkat pouze čisté formy řeči ještě předtím, než nabudou jakéhokoli smyslu?"
"obliged","oblige","nucena","nutit","impf"," For if exegesis leads us not so much towards a primal discourse as towards the naked existence of something like a language, will it not be obliged to express only the pure forms of language even before it has taken on a meaning?"," Neboť když nás exegeze vede k prvotnímu diskurzu méně než k holé existenci něčeho takového jako řeč, nebude nucena říkat pouze čisté formy řeči ještě předtím, než nabudou jakéhokoli smyslu?"
"disappears","disappear","mizí","mizet","impf"," ' Nature ', too, disappears - it being understood that nature, throughout the Classical age, did not exist in the first place as a ' theme ', as an ' idea ', as an endless source of knowledge, but as a homogeneous space of orderable identities and differences."," Takto mizí "" příroda "" - rozumí se, že po celou dobu klasického věku neexistovala nejdříve jako "" téma "", jako "" idea "", jako nekonečný zdroj vědění, nýbrž jako homogenní prostor pořadatelných identit a diferencí."
"understood","understand","rozumí","rozumět","impf"," ' Nature ', too, disappears - it being understood that nature, throughout the Classical age, did not exist in the first place as a ' theme ', as an ' idea ', as an endless source of knowledge, but as a homogeneous space of orderable identities and differences."," Takto mizí "" příroda "" - rozumí se, že po celou dobu klasického věku neexistovala nejdříve jako "" téma "", jako "" idea "", jako nekonečný zdroj vědění, nýbrž jako homogenní prostor pořadatelných identit a diferencí."
"exist","exist","neexistovala","existovat","impf"," ' Nature ', too, disappears - it being understood that nature, throughout the Classical age, did not exist in the first place as a ' theme ', as an ' idea ', as an endless source of knowledge, but as a homogeneous space of orderable identities and differences."," Takto mizí "" příroda "" - rozumí se, že po celou dobu klasického věku neexistovala nejdříve jako "" téma "", jako "" idea "", jako nekonečný zdroj vědění, nýbrž jako homogenní prostor pořadatelných identit a diferencí."
"opened","open","otevřen","otevřít","pf"," This space has now been dissociated and as it were opened up in depth."," Tento prostor se nyní rozpadá a jakoby byl v celé své šíři otevřen."
"fixed","fix","určit","určit","pf"," The alterations of meaning, on the other hand-since they are so limited as to justify an etymological science, which, if not absolutely exact, is at least ' probable ' - do obey fixed principles."," Změny smyslu naopak, jelikož jsou natolik omezené, že umožňují existenci etymologické vědy, jež pokud není absolutně jistá, je alespoň "" pravděpodobná "" - podléhají zásadám, které je možné určit."
"designating","designate","označovat","označovat","impf"," The art of language was a way of ' making a sign ' - of simultaneously signifying something and arranging signs around that thing; an art of naming, therefore, and then, by means of a reduplication both demonstrative and decorative, of capturing that name, of enclosing and concealing it, of designating it in turn by other names that were the deferred presence of the first name, its secondary sign, its figuration, its rhetorical panoply."," Umění řeči bylo druhem "" označování "", umění zároveň nějakou věc označovat a zároveň disponovat kolem této věci znaky : tedy umění jmenovat a pak zdvojením zároveň demonstrativním a dekorativním zachytit toto jméno, uzavřít ho a utajit ho, označit je samé prostřednictvím jiných jmen, které byly jeho odlišnou přítomností, sekundárním znakem, figurou a rétorickým aparátem."
"capturing","capture","zachytit","zachytit","pf"," The art of language was a way of ' making a sign ' - of simultaneously signifying something and arranging signs around that thing; an art of naming, therefore, and then, by means of a reduplication both demonstrative and decorative, of capturing that name, of enclosing and concealing it, of designating it in turn by other names that were the deferred presence of the first name, its secondary sign, its figuration, its rhetorical panoply."," Umění řeči bylo druhem "" označování "", umění zároveň nějakou věc označovat a zároveň disponovat kolem této věci znaky : tedy umění jmenovat a pak zdvojením zároveň demonstrativním a dekorativním zachytit toto jméno, uzavřít ho a utajit ho, označit je samé prostřednictvím jiných jmen, které byly jeho odlišnou přítomností, sekundárním znakem, figurou a rétorickým aparátem."
"enclosing","enclose","uzavřít","uzavřít","pf"," The art of language was a way of ' making a sign ' - of simultaneously signifying something and arranging signs around that thing; an art of naming, therefore, and then, by means of a reduplication both demonstrative and decorative, of capturing that name, of enclosing and concealing it, of designating it in turn by other names that were the deferred presence of the first name, its secondary sign, its figuration, its rhetorical panoply."," Umění řeči bylo druhem "" označování "", umění zároveň nějakou věc označovat a zároveň disponovat kolem této věci znaky : tedy umění jmenovat a pak zdvojením zároveň demonstrativním a dekorativním zachytit toto jméno, uzavřít ho a utajit ho, označit je samé prostřednictvím jiných jmen, které byly jeho odlišnou přítomností, sekundárním znakem, figurou a rétorickým aparátem."
"concealing","conceal","utajit","utajit","pf"," The art of language was a way of ' making a sign ' - of simultaneously signifying something and arranging signs around that thing; an art of naming, therefore, and then, by means of a reduplication both demonstrative and decorative, of capturing that name, of enclosing and concealing it, of designating it in turn by other names that were the deferred presence of the first name, its secondary sign, its figuration, its rhetorical panoply."," Umění řeči bylo druhem "" označování "", umění zároveň nějakou věc označovat a zároveň disponovat kolem této věci znaky : tedy umění jmenovat a pak zdvojením zároveň demonstrativním a dekorativním zachytit toto jméno, uzavřít ho a utajit ho, označit je samé prostřednictvím jiných jmen, které byly jeho odlišnou přítomností, sekundárním znakem, figurou a rétorickým aparátem."
"signifying","signify","označit","označit","pf"," The art of language was a way of ' making a sign ' - of simultaneously signifying something and arranging signs around that thing; an art of naming, therefore, and then, by means of a reduplication both demonstrative and decorative, of capturing that name, of enclosing and concealing it, of designating it in turn by other names that were the deferred presence of the first name, its secondary sign, its figuration, its rhetorical panoply."," Umění řeči bylo druhem "" označování "", umění zároveň nějakou věc označovat a zároveň disponovat kolem této věci znaky : tedy umění jmenovat a pak zdvojením zároveň demonstrativním a dekorativním zachytit toto jméno, uzavřít ho a utajit ho, označit je samé prostřednictvím jiných jmen, které byly jeho odlišnou přítomností, sekundárním znakem, figurou a rétorickým aparátem."
"designating","designate","označit","označit","pf"," The art of language was a way of ' making a sign ' - of simultaneously signifying something and arranging signs around that thing; an art of naming, therefore, and then, by means of a reduplication both demonstrative and decorative, of capturing that name, of enclosing and concealing it, of designating it in turn by other names that were the deferred presence of the first name, its secondary sign, its figuration, its rhetorical panoply."," Umění řeči bylo druhem "" označování "", umění zároveň nějakou věc označovat a zároveň disponovat kolem této věci znaky : tedy umění jmenovat a pak zdvojením zároveň demonstrativním a dekorativním zachytit toto jméno, uzavřít ho a utajit ho, označit je samé prostřednictvím jiných jmen, které byly jeho odlišnou přítomností, sekundárním znakem, figurou a rétorickým aparátem."
"consists","consist","spočívá","spočívat","impf"," The other, which takes no account of the persons involved, or their history, consists in defining the conditions on the basis of which it was possible to conceive of both ' physiocratic ' and ' utilitarian ' knowledge in interlocking and simultaneous forms."," Druhá spočívá v tom, že definujeme podmínky, na jejichž základě bylo možné koherentně a v téže době myslet "" fyziokraticky "" a "" utilitaristicky "", aniž bychom se zabývali jednotlivými postavami a jejich životními příběhy."
"conceive","conceive","myslet","myslet","impf"," The other, which takes no account of the persons involved, or their history, consists in defining the conditions on the basis of which it was possible to conceive of both ' physiocratic ' and ' utilitarian ' knowledge in interlocking and simultaneous forms."," Druhá spočívá v tom, že definujeme podmínky, na jejichž základě bylo možné koherentně a v téže době myslet "" fyziokraticky "" a "" utilitaristicky "", aniž bychom se zabývali jednotlivými postavami a jejich životními příběhy."
"joined","join","spojila","spojit","pf"," So that all words, of whatever kind, arc dormant names : verbs have joined adjectival names to the verb to be; conjunctions and prepositions are the names of gestures now frozen into immobility; declensions and conjugations are no more than names that have been absorbed."," Takže všechna slova, ať už jakákoli, jsou potenciálně jména : slovesa spojila adjektivní jména se slovesem být, spojky a předložky jsou jména už vyprázdněných gest, skloňování a časování jsou jen pohlcenými jmény."
"open","open","otevřít","otevřít","pf"," Words, now, can open up and restore their freedom of flight to all the names that have been lodged within them."," Nyní se slova mohou otevřít a uvolnit rozlet všech jmen, která se v nich usadila."
"constitutes","constitute","představuje","představovat","impf"," Hence the correlation between the problem of prices and the nature of money, which constitutes the privileged object of all reflection upon wealth from Copernicus to Bodin and Davanzatti."," Odtud korelace mezi problémem cen a povahou peněz, který od Koperníka po Bodina a Davanzattiho představuje privilegovaný předmět každé reflexe o bohatství."
"surrounds","surround","obklopuje","obklopovat","impf"," This is why, in its very possibility, it is linked with rhetoric, that is, with all the space that surrounds the name, causes it to oscillate around what it represents, and reveals the elements, or the adjacency, or the analogies of what it names."," Proto v samé své možnosti je spjatý s rétorikou, tzn. s celým prostorem, který jméno obklopuje, nechává ho kroužit kolem toho, co reprezentuje, ukazuje jeho elementy, blízké věci, nebo analogie toho, co pojmenovává."
"represents","represent","reprezentuje","reprezentovat","impf"," This is why, in its very possibility, it is linked with rhetoric, that is, with all the space that surrounds the name, causes it to oscillate around what it represents, and reveals the elements, or the adjacency, or the analogies of what it names."," Proto v samé své možnosti je spjatý s rétorikou, tzn. s celým prostorem, který jméno obklopuje, nechává ho kroužit kolem toho, co reprezentuje, ukazuje jeho elementy, blízké věci, nebo analogie toho, co pojmenovává."
"arrives","arrive","přichází","přicházet","impf"," The figures through which discourse passes act as a deterrent to the name, which then arrives at the last moment to fulfill and abolish them."," Útvary, kterými diskurz prochází, zajišťují zpoždění jména, jež je na poslední chvíli přichází naplnit a zrušit je."
"fulfill","fulfill","naplnit","naplnit","pf"," The figures through which discourse passes act as a deterrent to the name, which then arrives at the last moment to fulfill and abolish them."," Útvary, kterými diskurz prochází, zajišťují zpoždění jména, jež je na poslední chvíli přichází naplnit a zrušit je."
"abolish","abolish","zrušit","zrušit","pf"," The figures through which discourse passes act as a deterrent to the name, which then arrives at the last moment to fulfill and abolish them."," Útvary, kterými diskurz prochází, zajišťují zpoždění jména, jež je na poslední chvíli přichází naplnit a zrušit je."
"described","describe","popsána","popsat","pf"," And since this magic has been foreseen and described in the books, the illusory difference that it introduces can never be anything but an enchanted similitude, and, therefore, yet another sign that the signs in the books really do resemble the truth."," A protože je tato magie popsána v knihách, nebude nikdy tato iluzorní diference ničím jiným než opěvovanou podobností, a tudíž dalším znakem toho, že znaky se skutečně podobají pravdě."
"resemble","resemble","podobají","podobat","impf"," And since this magic has been foreseen and described in the books, the illusory difference that it introduces can never be anything but an enchanted similitude, and, therefore, yet another sign that the signs in the books really do resemble the truth."," A protože je tato magie popsána v knihách, nebude nikdy tato iluzorní diference ničím jiným než opěvovanou podobností, a tudíž dalším znakem toho, že znaky se skutečně podobají pravdě."
"appeared","appear","objevit","objevit","pf"," One has the impression - and it is often expressed - that the history of nature must have appeared as Cartesian mechanism ebbed."," Máme pocit - a říkáme to docela často - že historie přírody se musela objevit spolu s pádem karteziánského mechanicismu."
"attain","attain","nedosahují","dosahovat","impf"," Other characters are very frequent throughout a family, but do not attain the same degree of constancy; this is because they are formed by less essential organs ( number of petals, presence or absence of the corolla, respective position of the calyx or the pistil ); these are the ' secondary sub-uniform ' characters."," Jiné charaktery jsou v rámci čeledi velmi časté, ale nedosahují stejné úrovně stálosti, protože je tvoří méně důležité orgány ( počet okvětních lístků, přítomnost nebo nepřítomnost koruny, vzájemná situace kalichu a pestíku ) : to jsou charaktery "" sekundární subuniformní ""."
"formed","form","tvoří","tvořit","impf"," Other characters are very frequent throughout a family, but do not attain the same degree of constancy; this is because they are formed by less essential organs ( number of petals, presence or absence of the corolla, respective position of the calyx or the pistil ); these are the ' secondary sub-uniform ' characters."," Jiné charaktery jsou v rámci čeledi velmi časté, ale nedosahují stejné úrovně stálosti, protože je tvoří méně důležité orgány ( počet okvětních lístků, přítomnost nebo nepřítomnost koruny, vzájemná situace kalichu a pestíku ) : to jsou charaktery "" sekundární subuniformní ""."
"come","come","dospějeme","dospět","pf"," From within language experienced and traversed as language, in the play of its possibilities extended to their furthest point, what emerges is that man has ' come to an end ', and that, by reaching the summit of all possible speech, he arrives not at the very heart of himself but at the brink of that which limits him; in that region where death prowls, where thought is extinguished, where the promise of the origin interminably recedes."," Z hloubi řeči zakoušené a pojaté jako řeč se ve hře možností roztažených až do krajnosti ohlašuje to, že člověk je "" konečný "" a že když dospějeme až na vrchol každé možné mluvy, nedorazíme do jeho nitra, nýbrž na hranice toho, co ho omezuje : do oblasti, kde číhá smrt, kde myšlení uhasíná, kde příslib počátku ustupuje až do nekonečna."
"come","come","nedorazíme","dorazit","pf"," From within language experienced and traversed as language, in the play of its possibilities extended to their furthest point, what emerges is that man has ' come to an end ', and that, by reaching the summit of all possible speech, he arrives not at the very heart of himself but at the brink of that which limits him; in that region where death prowls, where thought is extinguished, where the promise of the origin interminably recedes."," Z hloubi řeči zakoušené a pojaté jako řeč se ve hře možností roztažených až do krajnosti ohlašuje to, že člověk je "" konečný "" a že když dospějeme až na vrchol každé možné mluvy, nedorazíme do jeho nitra, nýbrž na hranice toho, co ho omezuje : do oblasti, kde číhá smrt, kde myšlení uhasíná, kde příslib počátku ustupuje až do nekonečna."
"reaching","reach","nedorazíme","dorazit","pf"," From within language experienced and traversed as language, in the play of its possibilities extended to their furthest point, what emerges is that man has ' come to an end ', and that, by reaching the summit of all possible speech, he arrives not at the very heart of himself but at the brink of that which limits him; in that region where death prowls, where thought is extinguished, where the promise of the origin interminably recedes."," Z hloubi řeči zakoušené a pojaté jako řeč se ve hře možností roztažených až do krajnosti ohlašuje to, že člověk je "" konečný "" a že když dospějeme až na vrchol každé možné mluvy, nedorazíme do jeho nitra, nýbrž na hranice toho, co ho omezuje : do oblasti, kde číhá smrt, kde myšlení uhasíná, kde příslib počátku ustupuje až do nekonečna."
"arrives","arrive","nedorazíme","dorazit","pf"," From within language experienced and traversed as language, in the play of its possibilities extended to their furthest point, what emerges is that man has ' come to an end ', and that, by reaching the summit of all possible speech, he arrives not at the very heart of himself but at the brink of that which limits him; in that region where death prowls, where thought is extinguished, where the promise of the origin interminably recedes."," Z hloubi řeči zakoušené a pojaté jako řeč se ve hře možností roztažených až do krajnosti ohlašuje to, že člověk je "" konečný "" a že když dospějeme až na vrchol každé možné mluvy, nedorazíme do jeho nitra, nýbrž na hranice toho, co ho omezuje : do oblasti, kde číhá smrt, kde myšlení uhasíná, kde příslib počátku ustupuje až do nekonečna."
