"assured","assure","ujistil","ujistit","pf"," Luria assured him that I would fit the bill and immediately wrote me the good news."," Luria jej ujistil, že se právě na to budu hodit, a ihned mi tyto dobré zprávy napsal."
"saw","see","pochopil","pochopit","pf"," Immediately he caught on to the complementary relation between the two chains and saw how an equivalence of adenine with thymine and guanine with cytosine was a logical consequence of the regular repeating shape of the sugar-phosphate backbone."," Hned pochopil komplementární vztah mezi oběma řetězci a viděl, že rovnováha adeninu s thyminem a guaninu s cytosinem je logickým důsledkem pravidelně se opakujícího tvaru cukr - fosfátového nosiče."
"saw","see","viděl","vidět","impf"," Immediately he caught on to the complementary relation between the two chains and saw how an equivalence of adenine with thymine and guanine with cytosine was a logical consequence of the regular repeating shape of the sugar-phosphate backbone."," Hned pochopil komplementární vztah mezi oběma řetězci a viděl, že rovnováha adeninu s thyminem a guaninu s cytosinem je logickým důsledkem pravidelně se opakujícího tvaru cukr - fosfátového nosiče."
"write","write","psát","psát","impf"," With my fingers too cold to write legibly I huddled next to the fireplace, daydreaming about how several DNA chains could fold together in a pretty and hopefully scientific way."," S prsty příliš zkřehlými na to, abych mohl psát, uvelebil jsem se blízko krbu a snil o tom, jak by se mohlo několik řetězců DNA poskládat dohromady hezkým a vědecky slibným způsobem."
"daydreaming","daydream","snil","snít","impf"," With my fingers too cold to write legibly I huddled next to the fireplace, daydreaming about how several DNA chains could fold together in a pretty and hopefully scientific way."," S prsty příliš zkřehlými na to, abych mohl psát, uvelebil jsem se blízko krbu a snil o tom, jak by se mohlo několik řetězců DNA poskládat dohromady hezkým a vědecky slibným způsobem."
"abandoned","abandon","zanechal","zanechat","pf"," Soon, however, I abandoned thinking at the molecular level and turned to the much easier job of reading biochemical papers on the interrelations of DNA, RNA, and protein synthesis."," Brzy jsem ale zanechal přemýšlení na molekulární úrovni a začal se zabývat mnohem snadnějším úkolem : čtením biochemických prací o vzájemných vztazích DNA, RNA a syntézy proteinů."
"come","come","přijeli","přijet","pf"," There was only the slightest effort made at a united appearance when Maurice poked his head into our lab to say they had come."," Bylo jen slabounkým pokusem vzbudit zdání, že přijeli společně, když Maurice strčil hlavu do naší laboratoře a řekl, že jsou tady."
"poked","poke","strčil","strčit","pf"," There was only the slightest effort made at a united appearance when Maurice poked his head into our lab to say they had come."," Bylo jen slabounkým pokusem vzbudit zdání, že přijeli společně, když Maurice strčil hlavu do naší laboratoře a řekl, že jsou tady."
"say","say","řekl","říci","pf"," There was only the slightest effort made at a united appearance when Maurice poked his head into our lab to say they had come."," Bylo jen slabounkým pokusem vzbudit zdání, že přijeli společně, když Maurice strčil hlavu do naší laboratoře a řekl, že jsou tady."
"thought","think","domníval","domnívat","impf"," Especially in sticky situations like this, Maurice thought that a few minutes without science was the way to proceed."," Zejména v tak nesnadných situacích, jako byla tato, se Maurice domníval, že jejímu průběhu prospěje několik minut hovoru na nevědecké téma."
"disappoint","disappoint","nezklamal","zklamat","pf"," Maurice, however, did not disappoint me."," Maurice mě však nezklamal."
"make","make","získat","získat","pf"," Too many variables had been ignored to make the calculations possible in a reasonable time."," Když chtěl získat výpočty v přijatelné době, zanedbal příliš mnoho variabilních veličin."
"ignored","ignore","zanedbal","zanedbat","pf"," Too many variables had been ignored to make the calculations possible in a reasonable time."," Když chtěl získat výpočty v přijatelné době, zanedbal příliš mnoho variabilních veličin."
"chosen","choose","vybrána","vybrat","pf"," Moreover, though each base has two flat sides, no explanation existed for why only one side would be chosen."," Navíc, ačkoli každá báze měla dvě ploché strany, chybělo vysvětlení, proč má být vybrána jen jedna strana."
"held","hold","rozhodnout","rozhodnout","pf"," If true, then before serious model building began, a decision would have to be made whether the chains would be held together by hydrogen bonds or by salt linkages involving the negatively charged phosphate groups."," Kdyby to byla pravda, pak před vytvořením seriózního modelu bylo třeba rozhodnout, zda řetězec drží pohromadě vodíkovými vazbami nebo vazbami solnými s negativně nabitými fosfátovými skupinami."
"held","hold","drží","držet","impf"," If true, then before serious model building began, a decision would have to be made whether the chains would be held together by hydrogen bonds or by salt linkages involving the negatively charged phosphate groups."," Kdyby to byla pravda, pak před vytvořením seriózního modelu bylo třeba rozhodnout, zda řetězec drží pohromadě vodíkovými vazbami nebo vazbami solnými s negativně nabitými fosfátovými skupinami."
"contained","contain","obsahuje","obsahovat","impf"," The four nucleotides were not, however, completely different, for each contained the same sugar and phosphate components."," Čtyři nukleotidy nejsou však úplně odlišné, protože každý z nich obsahuje stejné cukerné a fosfátové složky."
"went","go","šli","jít","impf"," Peter and I had both been too young to observe the original showings of Hedy Lamarr 's romps in the nude, and so on the long-awaited night we collected Elizabeth and went up to the Rex."," Peter i já jsme byli příliš mladí na to, abychom mohli shlédnout původní snímek s Hedy Lamarrovou, jak skotačí nahatá, a tak jsme na dlouho očekávané představení vzali sebou Elizabeth a šli do kina Rex."
"exist","exist","neexistovala","existovat","impf"," If the base sequences were always the same, all DNA molecules would be identical and there would not exist the variability that must distinguish one gene from another."," Kdyby bylo pořadí bází vždycky stejné, neexistovala by variabilita odlišující jeden gen od druhého."
"got","get","získal","získat","pf"," Though Pauling had got the α-helix almost without the X-ray evidence, he knew of its existence and to a certain extent had taken it into account."," Ačkoli Pauling získal α - šroubovici téměř bez rentgenových důkazů, věděl o jejich existenci a do jisté míry je bral v úvahu."
"taken","take","získal","získat","pf"," Though Pauling had got the α-helix almost without the X-ray evidence, he knew of its existence and to a certain extent had taken it into account."," Ačkoli Pauling získal α - šroubovici téměř bez rentgenových důkazů, věděl o jejich existenci a do jisté míry je bral v úvahu."
"taken","take","bral","brát","impf"," Though Pauling had got the α-helix almost without the X-ray evidence, he knew of its existence and to a certain extent had taken it into account."," Ačkoli Pauling získal α - šroubovici téměř bez rentgenových důkazů, věděl o jejich existenci a do jisté míry je bral v úvahu."
"discarded","discard","zavržena","zavrhnout","pf"," Given the X-ray data, a large variety of possible three-dimensional configurations for the polypeptide chain were quickly discarded."," Na základě rentgenových údajů byla brzy zavržena velká variabilita možných trojrozměrných sestav polypetidického řetězce."
"go","go","postupovat","postupovat","impf"," The exact X-ray data should help us go ahead much faster with the more subtly constructed DNA molecule."," Přesná rentgenová data nám umožní s mnohem náročněji konstruovanou molekulou DNA postupovat rychleji."
"equaled","equal","rovnal","rovnat","impf"," Conceivably, adenine equaled thymine because of a yet undiscovered role in the ordering of the bases."," Adenin se rovnal thyminu zřejmě v důsledku dosud neobjasněného uspořádání bází."
"said","say","řekl","říci","pf"," There was in addition Roy Markham 's assurance that, if Chargaff said that guanine equaled cytosine, he was equally certain it did not."," Roy Markham však nadále ujišťoval, že když Chargaff řekl, že guanin se rovná cytosinu, byl si on právě tak jistý, že tomu tak není."
"equaled","equal","rovná","rovnat","impf"," There was in addition Roy Markham 's assurance that, if Chargaff said that guanine equaled cytosine, he was equally certain it did not."," Roy Markham však nadále ujišťoval, že když Chargaff řekl, že guanin se rovná cytosinu, byl si on právě tak jistý, že tomu tak není."
"imagine","imagine","představit","představit","pf"," It was all too easy to imagine that the work had direct Nazi support and that his experiments were incorrectly analyzed."," Bylo nasnadě si představit, že výsledky práce, která měla podporu nacistů, byly analyzovány nesprávně."
"analyzed","analyze","analyzovány","analyzovat","impf"," It was all too easy to imagine that the work had direct Nazi support and that his experiments were incorrectly analyzed."," Bylo nasnadě si představit, že výsledky práce, která měla podporu nacistů, byly analyzovány nesprávně."
"read","read","četl","číst","impf"," As I read Bernal 's paper, however, I suddenly became enthusiastic about Schramm, for, if he had misinterpreted his data, by accident he had hit upon the right answer."," Když jsem ale četl Bernalovu publikaci, Schrammova práce mě náhle zaujala, protože i kdyby špatně interpretoval své výsledky, mohl náhodou narazit na správnou odpověď."
"hit","hit","narazit","narazit","pf"," As I read Bernal 's paper, however, I suddenly became enthusiastic about Schramm, for, if he had misinterpreted his data, by accident he had hit upon the right answer."," Když jsem ale četl Bernalovu publikaci, Schrammova práce mě náhle zaujala, protože i kdyby špatně interpretoval své výsledky, mohl náhodou narazit na správnou odpověď."
"arranged","arrange","uspořádány","uspořádat","pf"," Conceivably a few additional X-ray pictures would tell how the protein subunits were arranged."," Jen několik dodatečných rentgenových snímků by mohlo ukázat, jak jsou podjednotky proteinu uspořádány."
"came","come","došel","dojít","pf"," That Pauling was in the know came out in a letter from Delbrück, arriving just after I returned from Paris on March 18."," Z Delbrückova dopisu, který došel právě po mém návratu z Paříže 18. března, jsem se dozvěděl, že Pauling všechno ví."
"arriving","arrive","došel","dojít","pf"," That Pauling was in the know came out in a letter from Delbrück, arriving just after I returned from Paris on March 18."," Z Delbrückova dopisu, který došel právě po mém návratu z Paříže 18. března, jsem se dozvěděl, že Pauling všechno ví."
"analyzed","analyze","analyzoval","analyzovat","impf"," He had just analyzed the DNA from the T2, T4, and T6 group of phages."," Právě analyzoval DNA z fágů skupin T 2, T 4 a T 6."
"made","make","přiměla","přimět","pf"," A talk with its head tutor, however, made me try elsewhere."," Rozmluva s hlavním tutorem koleje mě však přiměla k něčemu jinému."
"related","relate","souvisel","souviset","impf"," Jesus ' possession of only a few research students appeared related to its formidable reputation on the river."," Malý počet postgraduálních studentů v Jesus zřejmě souvisel s její nevalnou pověstí v kolejích na řece."
"live","live","bydlet","bydlet","impf"," No research student could live in, and so the only predictable consequences of being a Jesus man were bills for a Ph. D. that I would never acquire."," Nikdo ze studentů v ní nemohl bydlet a jedinou výhodou členství v Jesus, která se dala předpokládat, byly body pro doktorát, který jsem však stejně nepotřeboval."
"painted","paint","vylíčil","vylíčit","pf"," Nick Hammond, the classicist head tutor at Clare, painted a much rosier outlook for their foreign research students."," Nick Hammond, klasický filolog a hlavní tutor v Clare, mi vylíčil, jaké daleko růžovější vyhlídky mají jeho postgraduální studenti."
"move","move","přemístit","přemístit","pf"," In my second year up, I could move into the college."," Ke studiu druhého ročníku jsem se mohl přemístit do Clare."
"left","leave","opustil","opustit","pf"," Hurriedly he left the building and was out on the street before realizing he had not brought up the agreement between Griffith 's calculations and Chargaff 's data."," Rychle opustil budovu, a teprve na ulici mu došlo, že o shodě mezi Griffithovými výpočty a Chargaffovými údaji neřekl nic."
"rush","rush","běžet","běžet","impf"," Since it would look too silly to rush back in, he went on, returning that evening to Cambridge."," Protože by vypadalo hloupě běžet zpátky, odešel a večer se vrátil do Cambridge."
"went","go","odešel","odejít","pf"," Since it would look too silly to rush back in, he went on, returning that evening to Cambridge."," Protože by vypadalo hloupě běžet zpátky, odešel a večer se vrátil do Cambridge."
"returning","return","vrátil","vrátit","pf"," Since it would look too silly to rush back in, he went on, returning that evening to Cambridge."," Protože by vypadalo hloupě běžet zpátky, odešel a večer se vrátil do Cambridge."
"told","tell","vyprávěl","vyprávět","impf"," The following morning, after I was told about the futility of the lunch, Francis tried to generate enthusiasm for our having a second go at the structure."," Druhý den ráno, když mi Francis vyprávěl o promarněném setkání, snažil se vzkřísit naše nadšení pro druhý pokus o nalezení struktury."
"tried","try","snažil","snažit","impf"," The following morning, after I was told about the futility of the lunch, Francis tried to generate enthusiasm for our having a second go at the structure."," Druhý den ráno, když mi Francis vyprávěl o promarněném setkání, snažil se vzkřísit naše nadšení pro druhý pokus o nalezení struktury."
"determined","determine","určují","určovat","impf"," Instead, DNA would have to provide the key to enable us to find out how the genes determined, among other characteristics, the color of our hair, our eyes, most likely our comparative intelligence, and maybe even our potential to amuse others."," Místo nich by to mohla být DNA, která bude klíčem k poznám, jak geny určují, mimo jiné, barvu našich vlasů, očí, pravděpodobně i stupeň naší inteligence a dokonce i naši schopnost bavit ostatní."
"amuse","amuse","bavit","bavit","impf"," Instead, DNA would have to provide the key to enable us to find out how the genes determined, among other characteristics, the color of our hair, our eyes, most likely our comparative intelligence, and maybe even our potential to amuse others."," Místo nich by to mohla být DNA, která bude klíčem k poznám, jak geny určují, mimo jiné, barvu našich vlasů, očí, pravděpodobně i stupeň naší inteligence a dokonce i naši schopnost bavit ostatní."
"thought","think","domnívali","domnívat","impf"," Of course there were scientists who thought the evidence favoring DNA was inconclusive and preferred to believe that genes were protein molecules."," Samozřejmě byli i tací, kteří se domnívali, že výsledky favorizující DNA jsou neprůkazné, a nadále věřili, že geny jsou složeny z proteinů."
"believe","believe","domnívali","domnívat","impf"," Of course there were scientists who thought the evidence favoring DNA was inconclusive and preferred to believe that genes were protein molecules."," Samozřejmě byli i tací, kteří se domnívali, že výsledky favorizující DNA jsou neprůkazné, a nadále věřili, že geny jsou složeny z proteinů."
"thought","think","věřili","věřit","impf"," Of course there were scientists who thought the evidence favoring DNA was inconclusive and preferred to believe that genes were protein molecules."," Samozřejmě byli i tací, kteří se domnívali, že výsledky favorizující DNA jsou neprůkazné, a nadále věřili, že geny jsou složeny z proteinů."
"believe","believe","věřili","věřit","impf"," Of course there were scientists who thought the evidence favoring DNA was inconclusive and preferred to believe that genes were protein molecules."," Samozřejmě byli i tací, kteří se domnívali, že výsledky favorizující DNA jsou neprůkazné, a nadále věřili, že geny jsou složeny z proteinů."
"worry","worry","netrápil","trápit","impf"," Francis, however, did not worry about these skeptics."," Ale kvůli takovým skeptikům se Francis netrápil."
"denied","deny","popřel","popřít","pf"," Sir Lawrence flatly denied prior knowledge of Francis ' efforts and was thoroughly insulted by the implication that he had underhandedly used another scientist 's ideas."," Sir Lawrence rozhodně popřel, že by kdy slyšel o Francisově úsilí a byl velmi uražen podezřením, že by mohl podvodně využít myšlenky jiného vědce."
"insulted","insult","uražen","urazit","pf"," Sir Lawrence flatly denied prior knowledge of Francis ' efforts and was thoroughly insulted by the implication that he had underhandedly used another scientist 's ideas."," Sir Lawrence rozhodně popřel, že by kdy slyšel o Francisově úsilí a byl velmi uražen podezřením, že by mohl podvodně využít myšlenky jiného vědce."
"used","use","využít","využít","pf"," Sir Lawrence flatly denied prior knowledge of Francis ' efforts and was thoroughly insulted by the implication that he had underhandedly used another scientist 's ideas."," Sir Lawrence rozhodně popřel, že by kdy slyšel o Francisově úsilí a byl velmi uražen podezřením, že by mohl podvodně využít myšlenky jiného vědce."
"believe","believe","uvěřit","uvěřit","pf"," On the other hand, Francis found it impossible to believe that Bragg could have been so dense as to have missed his oft-repeated idea, and he as much as told Bragg this."," Francis však pokládal za nemožné uvěřit, že by Bragg mohl být tak tupý, že by nezaslechl tak často opakovanou myšlenku, a také to Braggovi řekl."
"told","tell","řekl","říci","pf"," On the other hand, Francis found it impossible to believe that Bragg could have been so dense as to have missed his oft-repeated idea, and he as much as told Bragg this."," Francis však pokládal za nemožné uvěřit, že by Bragg mohl být tak tupý, že by nezaslechl tak často opakovanou myšlenku, a také to Braggovi řekl."
"take","take","vzal","vzít","pf"," MAURICE decided to take a cab from the station to the lab."," Maurice si vzal na cestu z nádraží do laboratoře taxík."
"come","come","přijížděl","přijíždět","impf"," Ordinarily he would have come by bus, but now there were four of them to share the cost."," Obvykle přijížděl autobusem, ale tentokrát byli na útratu čtyři."
"waiting","wait","čekat","čekat","impf"," Moreover, there would be no satisfaction in waiting at the bus stop with Rosy."," Nebylo také nijak žádoucí čekat na autobusové zastávce společně s Rosy."
"appreciated","appreciate","oceňovali","oceňovat","impf"," Although some of his closest colleagues realized the value of his quick, penetrating mind and frequently sought his advice, he was often not appreciated, and most people thought he talked too much."," I když někteří z jeho nejbližších kolegů oceňovali, že mu to rychle zapaluje a často jej žádali o radu, ne každý ho snesl a dost lidí si myslelo, že příliš mluví."
"sought","seek","žádali","žádat","impf"," Although some of his closest colleagues realized the value of his quick, penetrating mind and frequently sought his advice, he was often not appreciated, and most people thought he talked too much."," I když někteří z jeho nejbližších kolegů oceňovali, že mu to rychle zapaluje a často jej žádali o radu, ne každý ho snesl a dost lidí si myslelo, že příliš mluví."
"realized","realize","myslelo","myslet","impf"," Although some of his closest colleagues realized the value of his quick, penetrating mind and frequently sought his advice, he was often not appreciated, and most people thought he talked too much."," I když někteří z jeho nejbližších kolegů oceňovali, že mu to rychle zapaluje a často jej žádali o radu, ne každý ho snesl a dost lidí si myslelo, že příliš mluví."
"thought","think","myslelo","myslet","impf"," Although some of his closest colleagues realized the value of his quick, penetrating mind and frequently sought his advice, he was often not appreciated, and most people thought he talked too much."," I když někteří z jeho nejbližších kolegů oceňovali, že mu to rychle zapaluje a často jej žádali o radu, ne každý ho snesl a dost lidí si myslelo, že příliš mluví."
"talked","talk","mluví","mluvit","impf"," Although some of his closest colleagues realized the value of his quick, penetrating mind and frequently sought his advice, he was often not appreciated, and most people thought he talked too much."," I když někteří z jeho nejbližších kolegů oceňovali, že mu to rychle zapaluje a často jej žádali o radu, ne každý ho snesl a dost lidí si myslelo, že příliš mluví."
"came","come","přišel","přijít","pf"," Leading the unit to which Francis belonged was Max Perutz, an Austrian-born chemist who came to England in 1936."," Vedoucím oddělení, do kterého Francis patřil, byl Max Perutz, původem Rakušan, chemik, který přišel do Anglie v roce 1936."
"collecting","collect","Shromažďoval","shromažďovat","impf"," He had been collecting X-ray diffraction data from hemoglobin crystals for over ten years and was just beginning to get somewhere."," Shromažďoval data získaná rentgenovou difrakcí krystalů hemoglobinu po více než deset let a vypadalo to, že by z toho konečně mohlo něco být."
"showed","show","objevil","objevit","pf"," MAX PERUTZ was in his office when I showed up just after lunch."," Když jsem se hned po lanči objevil, byl Max Perutz ve své kanceláři."
"work","work","pracovat","pracovat","impf"," A brief letter from John said that an American biologist might work with him during the following year."," Krátkým dopisem už John oznámil, že jeden americký biolog by s ním mohl příští rok pracovat."
"put","put","řekl","říci","pf"," I explained that I was ignorant of how X-rays diffract, but Max immediately put me at ease."," Na úvod jsem řekl, že o rentgenové difrakci nic nevím, ale Max mě upokojil."
"assured","assure","Ujistil","ujistit","pf"," I was assured that no high-powered mathematics would be required : both he and John had studied chemistry as undergraduates."," Ujistil mě, že nepotřebuji žádnou vysokou matematiku : on i John studovali chemii jen na nižším stupni."
"required","require","nepotřebuji","potřebovat","impf"," I was assured that no high-powered mathematics would be required : both he and John had studied chemistry as undergraduates."," Ujistil mě, že nepotřebuji žádnou vysokou matematiku : on i John studovali chemii jen na nižším stupni."
"studied","study","studovali","studovat","impf"," I was assured that no high-powered mathematics would be required : both he and John had studied chemistry as undergraduates."," Ujistil mě, že nepotřebuji žádnou vysokou matematiku : on i John studovali chemii jen na nižším stupni."
"read","read","přečíst","přečíst","pf"," All I need do was read a crystallographic text;"," Všechno, co potřebuji, je přečíst si učebnici krystalografie."
"believing","believe","nemyslím","myslet","impf"," In fun I went on to trap Francis into believing that I did not think my X-ray picture was in fact very critical."," V žertu jsem chtěl Francise přesvědčit, že si nemyslím, že můj rentgenový snímek je rozhodující."
"think","think","nemyslím","myslet","impf"," In fun I went on to trap Francis into believing that I did not think my X-ray picture was in fact very critical."," V žertu jsem chtěl Francise přesvědčit, že si nemyslím, že můj rentgenový snímek je rozhodující."
"argued","argue","argumentoval","argumentovat","impf"," Instead, I argued that the really important step was the cozy-corner insight."," Proto jsem argumentoval tím, že skutečně významným krokem byla představa vhodných koutů."
"said","say","říkal","říkat","impf"," Francis always said what he meant and assumed that I acted the same way."," Francis vždycky říkal, co si myslel, a předpokládal, že já také."
"meant","mean","myslel","myslet","impf"," Francis always said what he meant and assumed that I acted the same way."," Francis vždycky říkal, co si myslel, a předpokládal, že já také."
"assumed","assume","předpokládal","předpokládat","impf"," Francis always said what he meant and assumed that I acted the same way."," Francis vždycky říkal, co si myslel, a předpokládal, že já také."
"tell","tell","řekl","říci","pf"," I went back to Pop 's to tell Elizabeth and Bertrand that Francis and I had probably beaten Pauling to the gate and that the answer would revolutionize biology."," Vrátil jsem se k Pop a řekl Elizabeth a Bertrandovi, že jsme asi porazili Paulinga na pásce a že náš objev vyvolá v biologii hotovou revoluci."
"beaten","beat","porazili","porazit","pf"," I went back to Pop 's to tell Elizabeth and Bertrand that Francis and I had probably beaten Pauling to the gate and that the answer would revolutionize biology."," Vrátil jsem se k Pop a řekl Elizabeth a Bertrandovi, že jsme asi porazili Paulinga na pásce a že náš objev vyvolá v biologii hotovou revoluci."
"report","report","oznámit","oznámit","pf"," Both were genuinely pleased, Elizabeth with sisterly pride, Bertrand with the idea that he could report back to International Society that he had a friend who would win a Nobel Prize."," Oba se upřímně zaradovali - v Elizabeth se probudila sesterská hrdost a v Bertrandovi myšlenka, že bude moci oznámit Mezinárodní společnosti, že má přítele, který by mohl získat Nobelovu cenu."
"win","win","získat","získat","pf"," Both were genuinely pleased, Elizabeth with sisterly pride, Bertrand with the idea that he could report back to International Society that he had a friend who would win a Nobel Prize."," Oba se upřímně zaradovali - v Elizabeth se probudila sesterská hrdost a v Bertrandovi myšlenka, že bude moci oznámit Mezinárodní společnosti, že má přítele, který by mohl získat Nobelovu cenu."
"awoke","awake","probudil","probudit","pf"," The following morning I felt marvelously alive when I awoke."," Když jsem se příštího dne probudil, cítil jsem se podivuhodně svěže."
"felt","feel","cítil","cítit","impf"," The following morning I felt marvelously alive when I awoke."," Když jsem se příštího dne probudil, cítil jsem se podivuhodně svěže."
"send","send","poslat","poslat","pf"," First, Maaløe 's colleague Nils Jerne must send the phage from Copenhagen."," Nejdřív musí Maaløeův kolega Nils Jerne poslat z Kodaně fágy."
"need","need","musím","muset","impf"," Then I would need to arrange for accurate measurement of both the divalent metals and the DNA content."," Pak je musím připravit pro přesné měření jak dvojmocných kovů, tak obsahu DNA."
"arrived","arrive","přijel","přijet","pf"," Peter Pauling arrived with the inside news that his father was preoccupied with schemes for the supercoiling of α-helices in the hair protein, keratin."," Peter Pauling přijel s důvěrnou zprávou, že jeho otec je plně zaměstnán schématy pro supervinutí α - šroubovice v proteinu vlasů, keratinu."
"said","say","slíbil","slíbit","pf"," Alfred Tissieres, then a Fellow at King 's, had said he would get me to the top of the Rothorn, and even though I panic at voids this did not seem to be the time to be a coward."," Alfred Tissieres, tehdy člen King ' s College, mi slíbil, že mě dostane na vrchol Rothornu, a navzdory tomu, že mám panickou hrůzu z prázdna, nechtěl jsem tehdy vypadat jako zbabělec."
"get","get","dostane","dostat","pf"," Alfred Tissieres, then a Fellow at King 's, had said he would get me to the top of the Rothorn, and even though I panic at voids this did not seem to be the time to be a coward."," Alfred Tissieres, tehdy člen King ' s College, mi slíbil, že mě dostane na vrchol Rothornu, a navzdory tomu, že mám panickou hrůzu z prázdna, nechtěl jsem tehdy vypadat jako zbabělec."
"letting","let","nechal","nechat","pf"," So after getting in shape by letting a guide lead me up the Allinin, I took the two-hour postal bus trip to Zinal, hoping that the driver was not carsick as he lurched the bus around the narrow road twisting above the falling rock slopes."," Abych si vyzkoušel, co to obnáší, nechal jsem se průvodcem vyvést na Allinin a pak jsem jel dvě hodiny poštovním autobusem do Zinalu, doufaje, že řidič netrpí nevolností, když vybírá zatáčky na úzké silnici klikatící se nad skalnatými srázy."
"hoping","hope","doufaje","doufat","impf"," So after getting in shape by letting a guide lead me up the Allinin, I took the two-hour postal bus trip to Zinal, hoping that the driver was not carsick as he lurched the bus around the narrow road twisting above the falling rock slopes."," Abych si vyzkoušel, co to obnáší, nechal jsem se průvodcem vyvést na Allinin a pak jsem jel dvě hodiny poštovním autobusem do Zinalu, doufaje, že řidič netrpí nevolností, když vybírá zatáčky na úzké silnici klikatící se nad skalnatými srázy."
"talking","talk","mluvil","mluvit","impf"," Already for thirty-five years he had not stopped talking and almost nothing of fundamental value had emerged."," Skoro pětatřicet let jenom mluvil a nic hodnotného z toho nevzešlo."
"emerged","emerge","nevzešlo","vzejít","pf"," Already for thirty-five years he had not stopped talking and almost nothing of fundamental value had emerged."," Skoro pětatřicet let jenom mluvil a nic hodnotného z toho nevzešlo."
"sent","send","poslal","poslat","pf"," Several days after the fiasco with Bragg, the crystallographer V. Vand sent Max a letter containing a theory for the diffraction of X-rays by helical molecules."," Několik dní po debaklu s Braggem poslal krystalograf V. Vand Maxovi dopis o teorii rentgenové difrakce šroubovicovými molekulami."
"opening","open","začnu","začít","pf"," It inspired me to compose opening lines of the paper I would write about DNA, if I solved its structure."," Inspiroval mě k tomu, jak začnu svůj článek o DNA, když rozřeším její strukturu."
"distinguish","distinguish","odliší","odlišit","pf"," A sentence like "" Genes are interesting to geneticists "" would distinguish my way of thought from Pauling 's."," Věta jako "" Geny jsou zajímavé pro genetiky "" odliší můj způsob myšlení od Paulingova."
"worrying","worry","Trápilo","trápit","impf"," So I began worrying about where I could learn how to solve X-ray diffraction pictures."," Trápilo mě, kde se naučím luštit obrazy rentgenové difrakce."
"learn","learn","naučím","naučit","pf"," So I began worrying about where I could learn how to solve X-ray diffraction pictures."," Trápilo mě, kde se naučím luštit obrazy rentgenové difrakce."
"wish","wish","Nechtěl","chtít","impf"," Neither did I wish to be further put off by Wilkins."," Nechtěl jsem také být znovu odmítnut Wilkinsem."
"go","go","odejít","odejít","pf"," Clearly Rosy had to go or be put in her place."," Bylo zřejmé, že Rosy by měla buď odejít, nebo být odkázána do patřičných mezí."
"tell","tell","vyprávěli","vyprávět","impf"," I am aware that the other participants in this story would tell parts of it in other ways, sometimes because their memory of what happened differs from mine and, perhaps in even more cases, because no two people ever see the same events in exactly the same light."," Jsem si vědom, že jiní protagonisté tohoto příběhu by jeho některé části vyprávěli jinak, někdy proto, že jejich vzpomínky jsou odlišné, ale hlavně proto, že dva lidé nikdy nevidí stejné události v dokonale stejném světle."
"see","see","nevidí","vidět","impf"," I am aware that the other participants in this story would tell parts of it in other ways, sometimes because their memory of what happened differs from mine and, perhaps in even more cases, because no two people ever see the same events in exactly the same light."," Jsem si vědom, že jiní protagonisté tohoto příběhu by jeho některé části vyprávěli jinak, někdy proto, že jejich vzpomínky jsou odlišné, ale hlavně proto, že dva lidé nikdy nevidí stejné události v dokonale stejném světle."
"write","write","nenapíše","napsat","pf"," In this sense, no one will ever be able to write a definitive history of how the structure was established."," A tak nikdo nikdy nenapíše definitivně objektivní historii objevu struktury DNA."
"announcing","announce","oznámím","oznámit","pf"," If this was DNA, I should create a bombshell by announcing its discovery."," Když je tohle DNA, bude to bomba, až svůj objev oznámím."
"served","serve","slouží","sloužit","impf"," Instead it would strongly suggest that one chain in each molecule had at some earlier stage served as the template for the synthesis of the other chain."," Spíš to naznačuje, že jeden řetězec v každé molekule slouží v nějakém dřívějším stadiu jako templát pro syntézu druhého řetězce."
"coming","come","přišel","přijít","pf"," There was a party at Trinity on Saturday night, and on Sunday Maurice was coming up to the Cricks ' for a social visit arranged weeks before the arrival of the Pauling manuscript."," V sobotu v noci se konala party v Trinity a v neděli přišel na společenskou návštěvu ke Crickovým Maurice, jak bylo domluveno již týdny před příchodem Paulingova rukopisu."
"allowed","allow","dovoleno","dovolit","pf"," Maurice, however, was not allowed to forget DNA."," Mauricovi ale nebylo dovoleno, aby zapomněl na DNA."
"forget","forget","zapomněl","zapomenout","pf"," Maurice, however, was not allowed to forget DNA."," Mauricovi ale nebylo dovoleno, aby zapomněl na DNA."
"arrived","arrive","přišel","přijít","pf"," Almost as soon as he arrived from the station, Francis started to probe him for fuller details of the B pattern."," Sotva přišel z nádraží, už se z něj Francis snažil dostat všechny podrobnosti o uspořádání B."
"sat","sit","seděl","sedět","impf"," While he moved the atoms back and forth, I sat on the top of my desk thinking about the form of the letters that I soon could write, saying that we had found something interesting."," Zatímco posunoval atomy sem a tam, seděl jsem na svém stole a přemýšlel o dopisech, které brzo napíšu o našem objevu."
"thinking","think","přemýšlel","přemýšlet","impf"," While he moved the atoms back and forth, I sat on the top of my desk thinking about the form of the letters that I soon could write, saying that we had found something interesting."," Zatímco posunoval atomy sem a tam, seděl jsem na svém stole a přemýšlel o dopisech, které brzo napíšu o našem objevu."
"write","write","napíšu","napsat","pf"," While he moved the atoms back and forth, I sat on the top of my desk thinking about the form of the letters that I soon could write, saying that we had found something interesting."," Zatímco posunoval atomy sem a tam, seděl jsem na svém stole a přemýšlel o dopisech, které brzo napíšu o našem objevu."
