"say","say","neodpovíš","odpovědět","pf"," ' Why do n't you say something, Niza? ' asked Judas miserably, hastening to keep pace with her."," "" Proč mi neodpovíš, Niso? "" žadonil Jidáš, když ji dohnal."
"asked","ask","zeptali","zeptat","pf"," ' What do you mean? ' they asked, frowning."," "" Jak to? "" zeptali se s přimhouřenýma očima."
"talking","talk","mluvíte","mluvit","impf"," ' Who are you talking about? '"," "" O kom to mluvíte? "" vyptávali se."
"exchange","exchange","vyměnil","vyměnit","pf"," Who 'd exchange a bachelor 's life for a yoke round his neck? '"," Kdo by vyměnil svobodu za těžký chomout! """
"waving","wave","mával","mávat","impf"," Even if it had n't been Stepa talking to him that morning, he had actually seen the man no earlier than the evening before, when Stepa had rushed in from his own office waving that idiotic contract and had so annoyed Rimsky by his irresponsible behaviour."," I kdyby připustil, že to nebyl on, jedno je jisté : ještě včera navečer k němu přiběhl Sťopa ze své kanceláře, mával nesmyslnou smlouvou a dráždil ho svou lehkomyslností."
"annoyed","annoy","dráždil","dráždit","impf"," Even if it had n't been Stepa talking to him that morning, he had actually seen the man no earlier than the evening before, when Stepa had rushed in from his own office waving that idiotic contract and had so annoyed Rimsky by his irresponsible behaviour."," I kdyby připustil, že to nebyl on, jedno je jisté : ještě včera navečer k němu přiběhl Sťopa ze své kanceláře, mával nesmyslnou smlouvou a dráždil ho svou lehkomyslností."
"saying","say","neříct","říci","pf"," How could he have flown out of Moscow without saying a word to the theatre?"," Jak by mohl ujet nebo odletět a neříct ani slovo v divadle?"
"said","say","odpověděl","odpovědět","pf"," ' I 'm afraid I do n't know, ' said Koroviev, ' You 'd better ask Azazello."," "" Vlastně ani sám nevím, "" odpověděl Korovjev, "" na to se musím zeptat Azazela. """
"ask","ask","zeptat","zeptat","pf"," ' I 'm afraid I do n't know, ' said Koroviev, ' You 'd better ask Azazello."," "" Vlastně ani sám nevím, "" odpověděl Korovjev, "" na to se musím zeptat Azazela. """
"tell","tell","povím","povědět","pf"," Some time over a glass or two I 'll tell you a few things that have happened to me - you 'll die with laughter! '"," Někdy při skleničce vám povím několik faktů ze svého životopisu, že puknete smíchy! """
"gone","go","odjel","odjet","pf"," ' He 's already gone, ' cried the interpreter."," "" Už odjel, už odjel! "" vykřikoval tlumočník."
"gone","go","odjel","odjet","pf"," ' He 's already gone, ' cried the interpreter."," "" Už odjel, už odjel! "" vykřikoval tlumočník."
"cried","cry","vykřikoval","vykřikovat","impf"," ' He 's already gone, ' cried the interpreter."," "" Už odjel, už odjel! "" vykřikoval tlumočník."
"decided","decide","rozhodla","rozhodnout","pf"," To give Anna her due she was of an enquiring turn of mind and she decided to wait and see if there were to be any further marvels."," Ke cti Anušky musíme dodat, že byla zvědavá a rozhodla se vyčkat dalších zázraků."
"tell","tell","Řekni","říci","pf"," If you do n't want me to do that, tell me. """," Řekni, třeba si to nepřeješ? '"
"want","want","nepřeješ","přát","impf"," If you do n't want me to do that, tell me. """," Řekni, třeba si to nepřeješ? '"
"allow","allow","Nedovolím","dovolit","pf"," "" I wo n't allow you to do it."," ' Nedovolím, abys to udělala."
"do","do","udělala","udělat","pf"," "" I wo n't allow you to do it."," ' Nedovolím, abys to udělala."
"want","want","nechci","chtít","impf"," It will be hell living with me and I do n't want you to perish here as I shall perish. """," Se mnou to bude čím dál tím horší a nechci, abys umírala společně se mnou. '"
"asked","ask","otázala","otázat","pf"," "" Is that the only reason? "" she asked, putting her eyes close to mine."," ' To je jediný důvod? ' otázala se a přiblížila svoje oči k mým."
"said","say","Povídalo","povídat","impf"," Nikanor Ivanovich, so they said later, had been scarcely recognisable - staggering like a drunkard and muttering to himself."," Povídalo se, že předseda byl bílý jako stěna, opile vrávoral a něco blekotal."
"see","see","doprovoď","doprovodit","pf"," ' Hella, see him out! ' shouted Koroviev."," "" Helo, doprovoď pána! "" poručil Korovjev."
"slipped","slip","sklouzl","sklouznout","pf"," With an effusive volley of farewells he began bowing and walking backwards, until he slipped and fell headlong into the water."," Poroučel se do Markétiny ochrany a přízně a couval pozpátku k řece, až sklouzl a spadl naznak do vody."
"fell","fall","spadl","spadnout","pf"," With an effusive volley of farewells he began bowing and walking backwards, until he slipped and fell headlong into the water."," Poroučel se do Markétiny ochrany a přízně a couval pozpátku k řece, až sklouzl a spadl naznak do vody."
"cast","cast","nevrhala","vrhat","impf"," Then Margarita gave a piercing whistle, mounted the obedient broomstick and flew across to the far bank, which lay in the full moonlight beyond the shadow cast by the chalk cliff."," Markéta pronikavě zahvízdala, aby přivolala svého oře, a přenesla se na protější břeh, zalitý měsíčním světlem - sem křídová hora nevrhala svůj stín."
"decided","decide","usoudil","usoudit","pf"," By nature a suspicious man, he decided that this voluble individual was not only unofficial but had no business to be there."," Jakožto člověk od přírody podezíravý usoudil, že tenhle mnohomluvný občan nejspíš nebude žádný činitel, a tudíž je tu zbytečný."
"playing","play","hráli","hrát","impf"," Then came polar bears playing accordions and dancing a Russian dance on a stage, a salamander doing conjuring tricks unharmed by the flames around it ..."," Viděla lední medvědy, kteří hráli na harmoniky a tancovali na pódiu kamarinskou, kouzelníka salamandra, který kupodivu neshořel v krbu ..."
"dancing","dance","tancovali","tancovat","impf"," Then came polar bears playing accordions and dancing a Russian dance on a stage, a salamander doing conjuring tricks unharmed by the flames around it ..."," Viděla lední medvědy, kteří hráli na harmoniky a tancovali na pódiu kamarinskou, kouzelníka salamandra, který kupodivu neshořel v krbu ..."
"felt","feel","Cítila","cítit","impf"," And for a second time Margarita felt her strength beginning to flag."," Cítila, jak ji znovu opouštějí síly."
"whispered","whisper","zašeptal","zašeptat","pf"," ' The last round, ' whispered Koroviev anxiously, ' and then we 're free. '"," "" Zbývá poslední výstup, "" zašeptal jí starostlivě Korovjev, "" a jsme volní! """
"carrying","carry","Nesla","nést","impf"," ' She was carrying some of those repulsive yellow flowers."," "" Nesla v náručí odporné vyzývavě žluté květy."
"go","go","pojedete","jet","impf"," When you go abroad next summer you must go there specially and have a look at it - you 'll be amazed! '"," Až pojedete napřesrok v létě do zahraničí, jeďte se tam schválně podívat - budete valit oči! """
"go","go","pojedete","jet","impf"," When you go abroad next summer you must go there specially and have a look at it - you 'll be amazed! '"," Až pojedete napřesrok v létě do zahraničí, jeďte se tam schválně podívat - budete valit oči! """
"go","go","jeďte","jet","impf"," When you go abroad next summer you must go there specially and have a look at it - you 'll be amazed! '"," Až pojedete napřesrok v létě do zahraničí, jeďte se tam schválně podívat - budete valit oči! """
"go","go","jeďte","jet","impf"," When you go abroad next summer you must go there specially and have a look at it - you 'll be amazed! '"," Až pojedete napřesrok v létě do zahraničí, jeďte se tam schválně podívat - budete valit oči! """
"stay","stay","bydlet","bydlet","impf"," The bureau appeared to know all about Monsieur Woland 's intention to stay in Likodeyev 's flat and raised no objections."," Ukázalo se, že tam už vědí, že pan Woland hodlá bydlet v Lotrovově bytě, a nemají námitky."
"see","see","vidím","vidět","impf"," So Mark Muribellum, a coldblooded killer, the people who I see ' - the Procurator pointed to Yeshua 's disfigured face - ' beat you for what you preached, the robbers Dismas and Hestas who with their confederates killed four soldiers, and finally this dirty informer Judas - are they all good men? '"," Tak tedy Marek Krysobijce, chladný a zapřisáhlý hrdlořez, lidé, kteří jak vidím, "" a Pilát ukázal na Ješuovu znetvořenou tvář, "" tě bili za tvoje výroky, buřiči Dismas a Gestas, kteří se svými kumpány pobili čtyři vojáky, a konec konců špinavý zrádce Jidáš - ti všichni jsou podle tebe dobří lidé? """
"pointed","point","ukázal","ukázat","pf"," So Mark Muribellum, a coldblooded killer, the people who I see ' - the Procurator pointed to Yeshua 's disfigured face - ' beat you for what you preached, the robbers Dismas and Hestas who with their confederates killed four soldiers, and finally this dirty informer Judas - are they all good men? '"," Tak tedy Marek Krysobijce, chladný a zapřisáhlý hrdlořez, lidé, kteří jak vidím, "" a Pilát ukázal na Ješuovu znetvořenou tvář, "" tě bili za tvoje výroky, buřiči Dismas a Gestas, kteří se svými kumpány pobili čtyři vojáky, a konec konců špinavý zrádce Jidáš - ti všichni jsou podle tebe dobří lidé? """
"beat","beat","bili","bít","impf"," So Mark Muribellum, a coldblooded killer, the people who I see ' - the Procurator pointed to Yeshua 's disfigured face - ' beat you for what you preached, the robbers Dismas and Hestas who with their confederates killed four soldiers, and finally this dirty informer Judas - are they all good men? '"," Tak tedy Marek Krysobijce, chladný a zapřisáhlý hrdlořez, lidé, kteří jak vidím, "" a Pilát ukázal na Ješuovu znetvořenou tvář, "" tě bili za tvoje výroky, buřiči Dismas a Gestas, kteří se svými kumpány pobili čtyři vojáky, a konec konců špinavý zrádce Jidáš - ti všichni jsou podle tebe dobří lidé? """
"wait","wait","čekal","čekat","impf"," However he had to wait longer than he had expected."," Přesto náš Kyjevan čekal déle, než předpokládal."
"expected","expect","čekal","čekat","impf"," However he had to wait longer than he had expected."," Přesto náš Kyjevan čekal déle, než předpokládal."
"expected","expect","předpokládal","předpokládat","impf"," However he had to wait longer than he had expected."," Přesto náš Kyjevan čekal déle, než předpokládal."
"froze","freeze","ztuhl","ztuhnout","pf"," Poplavsky froze."," Napětím ztuhl."
"coming","come","Jde","jít","impf"," ' He 's coming down ... '"," Jde dolů ..."
"passed","pass","míjel","míjet","impf"," As he passed the bench occupied by the editor and the poet, the foreigner gave them a sidelong glance, stopped and suddenly sat down on the next bench a couple of paces away from the two friends."," Když míjel lavičku, kde seděl redaktor s básníkem, pohlédl na ně úkosem, zastavil se a zničehonic usedl na sousední lavičku, vzdálenou dva kroky od našich přátel."
"sat","sit","seděl","sedět","impf"," As he passed the bench occupied by the editor and the poet, the foreigner gave them a sidelong glance, stopped and suddenly sat down on the next bench a couple of paces away from the two friends."," Když míjel lavičku, kde seděl redaktor s básníkem, pohlédl na ně úkosem, zastavil se a zničehonic usedl na sousední lavičku, vzdálenou dva kroky od našich přátel."
"sat","sit","usedl","usednout","pf"," As he passed the bench occupied by the editor and the poet, the foreigner gave them a sidelong glance, stopped and suddenly sat down on the next bench a couple of paces away from the two friends."," Když míjel lavičku, kde seděl redaktor s básníkem, pohlédl na ně úkosem, zastavil se a zničehonic usedl na sousední lavičku, vzdálenou dva kroky od našich přátel."
"follow","follow","následovat","následovat","impf"," Only one woman dared follow Behemoth 's example - the dressmaker - procuress and her escort, a handsome young mulatto."," Jeho příkladu se rozhodla následovat pouze jediná dáma, nápaditá majitelka módního salónu, a její kavalír, neznámý mladý mulat."
"saw","see","zahlédli","zahlédnout","pf"," As soon as the three cab-drivers on the rank saw a fare approaching with a chock-full briefcase under his arm, all three of them instantly drove off empty, scowling back as they went."," Sotva šoféři tří taxíků zahlédli zákazníka, jak spěchá s nabitou aktovkou, všichni tři mu ujeli před nosem s prázdným vozem a ještě se bůhvíproč rozdurděně ohlíželi."
"mean","mean","znamenat","znamenat","impf"," Amazed, the accountant stood for a while wondering what this odd behaviour could mean."," Účetní zůstal stát jako solný sloup a lámal si hlavu, co by to mohlo znamenat."
"saw","see","uviděl","uvidět","pf"," After about three minutes an empty cab drove up the the rank, the driver grimacing with hostility when he saw his fare."," Asi za tři minuty se přihnal prázdný taxík a šofér se zamračil, sotva uviděl pasažéra."
"asked","ask","zeptal","zeptat","pf"," ' Are you free? ' asked Vassily Stepanovich with an anxious cough."," "" Jste volný? "" zeptal se Vasilij Stěpanovič a nechápavě si odkašlal."
"seen","see","vidět","vidět","impf"," ' I should have liked to have seen how they killed him. '"," "" Přál bych si vidět, jak ho vraždili. """
"killed","kill","vraždili","vraždit","impf"," ' I should have liked to have seen how they killed him. '"," "" Přál bych si vidět, jak ho vraždili. """
"replied","reply","odpověděl","odpovědět","pf"," ' He was killed with great artistry, Procurator, ' replied Arthanius, giving Pilate an ironic look."," "" Bylo to mistrovské dílo, prokurátore, "" odpověděl Afranius a poloironicky zahlížel na svého velitele."
"asked","ask","zeptal","zeptat","pf"," The boy glanced slyly to one side and asked :"," Chlapec se šibalsky zahleděl stranou a zeptal se :"
"thought","think","myslel","myslet","impf"," ' I thought so, ' said the little boy."," "" To jsem si hned myslel, "" prohlásil chlapec."
"said","say","prohlásil","prohlásit","pf"," ' I thought so, ' said the little boy."," "" To jsem si hned myslel, "" prohlásil chlapec."
"put","put","dej","dát","pf"," ' Now you lie down, ' said Margarita, ' put your hand under your cheek and I 'll send you to sleep. '"," "" Hezky si hajni, "" nařizovala, "" dej si ruku pod tvářičku a uvidíš, že se ti bude o mně zdát. """
"agreed","agree","souhlasil","souhlasit","impf"," ' All right, ' agreed the boy and lay down at once with his cheek on his palm."," "" Tak jo, "" souhlasil chlapec a poslušně si lehl."
"wrote","write","napsal","napsat","pf"," ' The fact is that a year ago I wrote a novel about Pilate. '"," "" Jde o to, že jsem před rokem napsal o Pilátovi román. """
"threatened","threaten","pohrozil","pohrozit","pf"," The visitor frowned, threatened Ivan with his fist and said :"," Neznámý se zasmušil, pohrozil mu pěstí a pak vysvětloval :"
"help","help","Pomůžeme","pomoci","pf"," We shall help you ... you will be able to relax ... it 's quiet here, everything 's going to be all right ... all right ... we shall help you ... '"," Pomůžeme vám ... uleví se vám ... je tu klid, ticho, pomůžeme vám ... """
"help","help","Pomůžeme","pomoci","pf"," We shall help you ... you will be able to relax ... it 's quiet here, everything 's going to be all right ... all right ... we shall help you ... '"," Pomůžeme vám ... uleví se vám ... je tu klid, ticho, pomůžeme vám ... """
"help","help","pomůžeme","pomoci","pf"," We shall help you ... you will be able to relax ... it 's quiet here, everything 's going to be all right ... all right ... we shall help you ... '"," Pomůžeme vám ... uleví se vám ... je tu klid, ticho, pomůžeme vám ... """
"help","help","pomůžeme","pomoci","pf"," We shall help you ... you will be able to relax ... it 's quiet here, everything 's going to be all right ... all right ... we shall help you ... '"," Pomůžeme vám ... uleví se vám ... je tu klid, ticho, pomůžeme vám ... """
"closing","close","uzavřel","uzavřít","pf"," ' Splendid! ' said Stravinsky, closing the conversation in his no habitual way and getting up."," Obvyklým "" Znamenitě! "" uzavřel Stravinský rozhovor a vstal se slovy :"
"went","go","odcházel","odcházet","impf"," He shook Ivan by the hand and as he went out he turned to the man with the beard and said :"," Stiskl Bezprizornému ruku, a když odcházel, obrátil se k muži s bradkou se slovy :"
"turned","turn","obrátil","obrátit","pf"," He shook Ivan by the hand and as he went out he turned to the man with the beard and said :"," Stiskl Bezprizornému ruku, a když odcházel, obrátil se k muži s bradkou se slovy :"
"regretted","regret","litoval","litovat","impf"," ' I immediately regretted having said it, because she smiled guiltily and threw her flowers into the gutter."," Hned jsem litoval svých slov, protože se provinile usmála a odhodila kytky do škarpy."
"smiled","smile","usmála","usmát","pf"," ' I immediately regretted having said it, because she smiled guiltily and threw her flowers into the gutter."," Hned jsem litoval svých slov, protože se provinile usmála a odhodila kytky do škarpy."
"gave","give","podal","podat","pf"," Slightly embarrassed, I picked them up and gave them to her but she pushed them away with a smile and I had to carry them."," Poněkud rozpačitě jsem je zvedl a podal neznámé, ale ona s úsměvem odmítla, a tak jsem nesl kytici já."
"carry","carry","nesl","nést","impf"," Slightly embarrassed, I picked them up and gave them to her but she pushed them away with a smile and I had to carry them."," Poněkud rozpačitě jsem je zvedl a podal neznámé, ale ona s úsměvem odmítla, a tak jsem nesl kytici já."
"asked","ask","zeptal","zeptat","pf"," ' What are those footsteps on the staircase? ' asked Koroviev, twirling his spoon in a cup of black coffee."," "" Slyším kroky na schodech ... co to? "" zeptal se Korovjev a míchal černou kávu."
"hear","hear","zaslechne","zaslechnout","pf"," He knew that in a moment from the darkness to his right he would hear the quiet whisper of running water from the grotto."," Věděl, že brzy zaslechne ze tmy tiché šumění vody z jeskyně."
"called","call","zavolal","zavolat","pf"," He checked his pace and called :"," Zpomalil krok a zavolal tlumeně :"
"turned","turn","Otočil","otočit","pf"," He turned round and saw a large sparrow hopping about on his desk."," Otočil se a uviděl na svém stole poskakovat velkého vrabce."
"saw","see","uviděl","uvidět","pf"," He turned round and saw a large sparrow hopping about on his desk."," Otočil se a uviděl na svém stole poskakovat velkého vrabce."
"hopping","hop","poskakovat","poskakovat","impf"," He turned round and saw a large sparrow hopping about on his desk."," Otočil se a uviděl na svém stole poskakovat velkého vrabce."
"feeling","feel","tušil","tušit","impf"," I 'm quite all right! ' said the professor to himself severely, feeling that he was all wrong, thanks to this intruding sparrow."," Všecko je v pořádku! ujišťoval se, ačkoliv tušil, že ve skutečnosti nic v pořádku není a vinen tím je především vrabec."
"wrote","write","zapsal","zapsat","pf"," Hopelessly, Matthew now wrote with his sharp stylus :"," Teď Matouš zapsal zaostřeným dřívkem zoufale :"
"heard","hear","zaslechl","zaslechnout","pf"," A couple of girls dodged him and he heard them say ' ... drunk. '"," Jenom dvě neznámé dívky uskočily stranou a básník zaslechl slovo "" opilec ... """
"Make","make","dělat","dělat","impf"," ' Make fun of me, would you?"," "" A ty si ze mě budeš dělat šoufky?"
"picked","pick","sebral","sebrat","pf"," The cat picked up a pair of spectacles in thick black rims from the table under the mirror, put them on its snout, which made it look even more imposing, and took the passport from Poplavsky 's shaking hand."," Kocour sebral ze stolku pod zrcadlem brýle s tlustou černou obroučkou, navlékl si je na nos, takže působil ještě autoritativněji, a vytrhl mu doklad z rozklepané ruky."
"made","make","působil","působit","impf"," The cat picked up a pair of spectacles in thick black rims from the table under the mirror, put them on its snout, which made it look even more imposing, and took the passport from Poplavsky 's shaking hand."," Kocour sebral ze stolku pod zrcadlem brýle s tlustou černou obroučkou, navlékl si je na nos, takže působil ještě autoritativněji, a vytrhl mu doklad z rozklepané ruky."
"issued","issue","vystavilo","vystavit","pf"," ' Which department issued this passport? ' asked the cat."," "" Které oddělení vám vystavilo průkaz? "" vyptával se kocour a brejlil do stránky."
"handed","hand","podával","podávat","impf"," ' What are you doing here, old man? ' said a fat, red-necked cook to Nikanor Ivanovich as he handed him a bowl of soup with a lone cabbage leaf floating in it."," "" Proč ty ses tu vlastně usadil, tatíku? "" vyptával se nenuceně Bosého tlouštík kuchař s brunátným nosem a podával mu misku, kde v řídké tekutině plaval opuštěný kapustový list."
"floating","float","plaval","plavat","impf"," ' What are you doing here, old man? ' said a fat, red-necked cook to Nikanor Ivanovich as he handed him a bowl of soup with a lone cabbage leaf floating in it."," "" Proč ty ses tu vlastně usadil, tatíku? "" vyptával se nenuceně Bosého tlouštík kuchař s brunátným nosem a podával mu misku, kde v řídké tekutině plaval opuštěný kapustový list."
"understood","understand","porozuměly","porozumět","pf"," Strangely enough all the women understood her at once, even those who knew not a word of French."," Bylo zajímavé, že jí všecky ženské okamžitě porozuměly, dokonce i ty, které v životě neuměly francouzsky ani slovo."
"understood","understand","neuměly","umět","impf"," Strangely enough all the women understood her at once, even those who knew not a word of French."," Bylo zajímavé, že jí všecky ženské okamžitě porozuměly, dokonce i ty, které v životě neuměly francouzsky ani slovo."
"show","show","předložit","předložit","pf"," To prove that he was really married he offered to show his passport."," Na důkaz toho, že je skutečně ženatý, byl zmíněný občan ochoten předložit legitimaci."
"greeted","greet","uvítalo","uvítat","pf"," This conscientious husband was greeted with a roar of laughter."," Prohlášení starostlivého manžela uvítalo obecenstvo chechtotem."
"dropped","drop","upustil","upustit","pf"," Maximilian Andreyevich 's head began to spin, his arms and legs gave way so that he dropped his case and sat down in a chair facing the cat."," Berliozovu strýci se zatočila hlava, ruce a nohy mu zdřevěněly, upustil kufřík a dosedl na židli proti kocourovi."
"pulled","pull","vytáhl","vytáhnout","pf"," Completely dumbfounded and blind to everything except the twin sparks in the cat 's eyes, Poplavsky pulled his passport out of his pocket like a dagger."," Dokonale popletený ekonom uviděl před sebou dvě kočičí oči jako dva žhavé uhlíky a vytáhl spěšně z kapsy legitimaci, jako by to byla dýka."
"called","call","vyvolal","vyvolat","pf"," One Monday afternoon a policeman called, invited the second lodger ( the one whose name is no longer known ) into the hall and asked him to come along to the police station for a minute or two to sign a document."," Jednoho svátečního dne se objevil v bytě milicionář, vyvolal do předsíně druhého nájemníka ( jeho jméno se mi vytratilo z paměti ) a prohlásil, že se má dostavit na milici, aby něco podepsal, a že to nebude dlouho trvat."
"invited","invite","vyvolal","vyvolat","pf"," One Monday afternoon a policeman called, invited the second lodger ( the one whose name is no longer known ) into the hall and asked him to come along to the police station for a minute or two to sign a document."," Jednoho svátečního dne se objevil v bytě milicionář, vyvolal do předsíně druhého nájemníka ( jeho jméno se mi vytratilo z paměti ) a prohlásil, že se má dostavit na milici, aby něco podepsal, a že to nebude dlouho trvat."
"sign","sign","podepsal","podepsat","pf"," One Monday afternoon a policeman called, invited the second lodger ( the one whose name is no longer known ) into the hall and asked him to come along to the police station for a minute or two to sign a document."," Jednoho svátečního dne se objevil v bytě milicionář, vyvolal do předsíně druhého nájemníka ( jeho jméno se mi vytratilo z paměti ) a prohlásil, že se má dostavit na milici, aby něco podepsal, a že to nebude dlouho trvat."
"let","let","dovolí","dovolit","pf"," ' Dear Margarita Nikolayevna, ' said Natasha imploringly and fell on her knees, ' ask him, ' she nodded towards Woland, ' to let me stay a witch."," "" Markéto Nikolajevno, drahoušku, "" zaúpěla Nataša a padla na kolena, "" přimluvte se, "" a zašilhala na Wolanda, "" ať mi dovolí zůstat čarodějnicí."
"stay","stay","zůstat","zůstat","pf"," ' Dear Margarita Nikolayevna, ' said Natasha imploringly and fell on her knees, ' ask him, ' she nodded towards Woland, ' to let me stay a witch."," "" Markéto Nikolajevno, drahoušku, "" zaúpěla Nataša a padla na kolena, "" přimluvte se, "" a zašilhala na Wolanda, "" ať mi dovolí zůstat čarodějnicí."
"want","want","Nechci","chtít","impf"," I do n't want to go back to that house!"," Nechci se vrátit zpátky do vily!"
"showed","show","ukazovala","ukazovat","impf"," Natasha unclenched her fist and showed some gold coins."," Rozevřela ruku sevřenou v pěst a ukazovala jakési zlaté mince."
"nodded","nod","kývl","kývnout","pf"," Margarita looked enquiringly at Woland, who nodded."," Markéta vzhlédla tázavě k mágovi a ten kývl hlavou."
"kissed","kiss","políbila","políbit","pf"," Natasha embraced Margarita, kissed her noisily and with a triumphant cry flew out of the window."," Nataša se vrhla své velitelce kolem krku, mlaskavě ji políbila a s vítězoslavným výkřikem vylétla oknem ven."
"stir","stir","Pohnul","pohnout","pf"," The sound caused the Procurator to stir and his expression to liven."," Pohnul se a jeho tvář ožila."
"returning","return","vracela","vracet","impf"," The ala was returning from Mount Golgotha."," Ala se vracela z Golgoty."
"crossing","cross","protínala","protínat","impf"," To judge from the sound, they were just crossing the hippodrome square."," Podle zvuku právě v tu chvíli protínala náměstí, kde byl vyhlášen rozsudek."
"heard","hear","zaslechl","zaslechnout","pf"," At last the Procurator heard the long-awaited footsteps and the slap of shoe-leather on the staircase leading to the upper terrace of the garden in front of the balcony."," Konečně zaslechl dlouho očekávané kroky a dupot na schodišti, které vedlo k horní terase před kolonádou."
"leading","lead","vedlo","vést","impf"," At last the Procurator heard the long-awaited footsteps and the slap of shoe-leather on the staircase leading to the upper terrace of the garden in front of the balcony."," Konečně zaslechl dlouho očekávané kroky a dupot na schodišti, které vedlo k horní terase před kolonádou."
"crossed","cross","přešel","přejít","pf"," Walking straight through the puddles, the cowled man crossed the terrace, crossed the mosaic floor of the balcony, and raising his hand said in a pleasant, high-pitched voice :"," Aniž se vyhýbal loužím, přešel na terasu, vstoupil na mozaikovou podlahu kolonády, zvedl ruku na pozdrav a pronesl jasným, příjemným hlasem :"
"crossed","cross","přešel","přejít","pf"," Walking straight through the puddles, the cowled man crossed the terrace, crossed the mosaic floor of the balcony, and raising his hand said in a pleasant, high-pitched voice :"," Aniž se vyhýbal loužím, přešel na terasu, vstoupil na mozaikovou podlahu kolonády, zvedl ruku na pozdrav a pronesl jasným, příjemným hlasem :"
"raising","raise","zvedl","zvednout","pf"," Walking straight through the puddles, the cowled man crossed the terrace, crossed the mosaic floor of the balcony, and raising his hand said in a pleasant, high-pitched voice :"," Aniž se vyhýbal loužím, přešel na terasu, vstoupil na mozaikovou podlahu kolonády, zvedl ruku na pozdrav a pronesl jasným, příjemným hlasem :"
"said","say","pronesl","pronést","pf"," Walking straight through the puddles, the cowled man crossed the terrace, crossed the mosaic floor of the balcony, and raising his hand said in a pleasant, high-pitched voice :"," Aniž se vyhýbal loužím, přešel na terasu, vstoupil na mozaikovou podlahu kolonády, zvedl ruku na pozdrav a pronesl jasným, příjemným hlasem :"
"spoke","speak","Mluvil","mluvit","impf"," The visitor spoke in Latin."," Mluvil latinsky."
"exclaimed","exclaim","zvolal","zvolat","pf"," ' Gods! ' exclaimed Pilate."," "" Bohové! "" zvolal Pilát."
"put","put","položil","položit","pf"," Andrei Fokich pulled out thirty roubles and put them on the table, then furtively, as though his hands were cat 's paws, put a round, chinking, newspaper-wrapped pile on top of the ten-rouble notes."," Šťávin vysázel na stůl třicet rublů a navrch položil opatrným kočičím pohybem roličku zabalenou v novinovém papíře, která podezřele cinkala."
"put","put","položil","položit","pf"," Andrei Fokich pulled out thirty roubles and put them on the table, then furtively, as though his hands were cat 's paws, put a round, chinking, newspaper-wrapped pile on top of the ten-rouble notes."," Šťávin vysázel na stůl třicet rublů a navrch položil opatrným kočičím pohybem roličku zabalenou v novinovém papíře, která podezřele cinkala."
"asked","ask","zeptal","zeptat","pf"," ' What 's that? ' asked Kuzmin, twirling one end of his moustache."," "" Co je to? "" zeptal se Kuzmin a kroutil si kníry."
"twirling","twirl","kroutil","kroutit","impf"," ' What 's that? ' asked Kuzmin, twirling one end of his moustache."," "" Co je to? "" zeptal se Kuzmin a kroutil si kníry."
"answered","answer","odpovídala","odpovídat","impf"," ' I am delighted, ' Margarita answered her as she gave her hand to the next arrival."," "" Těší mě, "" odpovídala Markétka a podávala ruce dalším."
"want","want","Chceš","chtít","impf"," Do you want to catch malaria?"," Chceš si uhnat horečku?"
"closed","close","zavřelo","zavřít","pf"," Then he gets up from his bench, furtively shakes his fist at the window which has just closed and stumps indoors."," Vstane, nenápadně pohrozí pěstí do okna, které se hřmotně zavřelo, a plouží se domů."
"said","say","řekla","říci","pf"," ' Yes, I like champagne, ' said the woman imploringly, and began to repeat mechanically :"," "" Šampaňské piju, "" řekla žena prosebným hlasem a náhle mechanicky opakovala :"
"repeat","repeat","opakovala","opakovat","impf"," ' Yes, I like champagne, ' said the woman imploringly, and began to repeat mechanically :"," "" Šampaňské piju, "" řekla žena prosebným hlasem a náhle mechanicky opakovala :"
"stretched","stretch","natáhl","natáhnout","pf"," without a glance round, the Procurator sat in it and stretched out his hand to one side."," Prokurátor se neohlížel vpravo ani vlevo, těžce dopadl do křesla a natáhl ruku stranou."
"beg","beg","prosím","prosit","impf"," ' I beg you not to interrupt your game."," "" Snažně vás prosím, dohrajte tu partii."
"wore","wear","měl","mít","impf"," On his small head was a jockey-cap and he wore a short check bum-freezer made of air."," Na malé hlavě měl posazenou žokejskou čapku a byl oblečen do krátkého průsvitného kostkovaného sáčka ..."
"thought","think","pomyslel","pomyslet","pf"," Paling even more, he stared and thought in consternation :"," Zbledl ještě víc, vytřeštil oči a zmateně si pomyslel :"
"Bouncing","bounce","poskakoval","poskakovat","impf"," Bouncing up and down in his seat, Rimsky caught occasional glimpses of the driver 's delighted expression and his own wild look in the mirror."," Zákazník poskakoval na sedadle, jak se vůz otřásal, a ve střepu zrcátka, připevněného nad předním sklem, pozoroval střídavě taxikářovy rozzářené a svoje nepříčetné oči."
"caught","catch","pozoroval","pozorovat","impf"," Bouncing up and down in his seat, Rimsky caught occasional glimpses of the driver 's delighted expression and his own wild look in the mirror."," Zákazník poskakoval na sedadle, jak se vůz otřásal, a ve střepu zrcátka, připevněného nad předním sklem, pozoroval střídavě taxikářovy rozzářené a svoje nepříčetné oči."
"shouted","shout","zavolal","zavolat","pf"," Jumping out of the car at the station, Rimsky shouted to the first man he saw, who was wearing a white apron and a numbered metal disc :"," Před nádražní budovou vyběhl z taxíku a zavolal na prvního muže v bílé zástěře s kovovým štítkem :"
