"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"relayed","relay","předal","předat","pf"," We have been studying the behaviour of the biological robots - the biots - inside Rama, as shown on the films that Commander Norton has relayed, and we have arrived at certain conclusions which we wish to pass on to you. '"," Studovali jsme chování biologických robotů - biotů - uvnitř Rámy, jak je zachycují filmy, které nám předal kapitán Norton, a dospěli jsme k jistým závěrům, které bychom vám rádi předložili."
"pass","pass","předal","předat","pf"," We have been studying the behaviour of the biological robots - the biots - inside Rama, as shown on the films that Commander Norton has relayed, and we have arrived at certain conclusions which we wish to pass on to you. '"," Studovali jsme chování biologických robotů - biotů - uvnitř Rámy, jak je zachycují filmy, které nám předal kapitán Norton, a dospěli jsme k jistým závěrům, které bychom vám rádi předložili."
"shown","show","předložili","předložit","pf"," We have been studying the behaviour of the biological robots - the biots - inside Rama, as shown on the films that Commander Norton has relayed, and we have arrived at certain conclusions which we wish to pass on to you. '"," Studovali jsme chování biologických robotů - biotů - uvnitř Rámy, jak je zachycují filmy, které nám předal kapitán Norton, a dospěli jsme k jistým závěrům, které bychom vám rádi předložili."
"concentrate","concentrate","soustředit","soustředit","pf"," It was hard to concentrate because of the crashing roar that still filled the world and echoed round the sky, but he tried to think of a reason for so dramatic a convulsion."," Bylo těžké se soustředit pro rachot a burácení praskajícího ledu, stále vyplňující prostor a odrážející se kruhem po obloze, ale přesto se snažil přijít na důvod tak dramatické křeče."
"tried","try","snažil","snažit","impf"," It was hard to concentrate because of the crashing roar that still filled the world and echoed round the sky, but he tried to think of a reason for so dramatic a convulsion."," Bylo těžké se soustředit pro rachot a burácení praskajícího ledu, stále vyplňující prostor a odrážející se kruhem po obloze, ale přesto se snažil přijít na důvod tak dramatické křeče."
"save","save","Ušetřilo","ušetřit","pf"," It would save us a lot of trouble if we could get it working ... '"," Ušetřilo by nám spoustu potíží, kdybychom ho dokázali uvést do provozu ..."
"surprised","surprise","překvapeni","překvapit","pf"," And at the end of the tunnel we were'nt surprised to find another of those cylindrical airlocks. '"," Nebudeme ovšem překvapeni, když na konci tunelu zase narazíme na další válcovité přechodové komory."
"protested","protest","protestovala","protestovat","impf"," ' This visit, ' protested Laura rather feebly, ' was purely in a professional capacity. '"," "" Tahle návštěva, "" dost chabě protestovala Laura, "" měla čistě pracovní obsah. """
"replied","reply","odvětil","odvětit","pf"," ' After all these years, ' replied Norton, ' we know each other better than that."," "" Po všech těch letech, "" odvětil Norton, "" už přece jeden druhého známe."
"thinking","think","myslíš","myslet","impf"," ' Now what are you thinking? ' demanded Surgeon-Commander Ernst, very much later."," "" Na co právě teďka myslíš? "" dožadovala se o hodně později šéflékařka Ernstová."
"hope","hope","doufám","doufat","impf"," ' You 're not becoming sentimental, I hope. '"," "" Nestáváš se sentimentálním, doufám. """
"saw","see","spatřil","spatřit","pf"," Norton jockeyed Endeavour gently back into the umbra of the artificial eclipse, and saw the pearly splendour of the corona reappear across a background of the brighter stars."," Norton jemnou rukou zavedl Endeavour nazpátek doprostřed stínu umělého zatmění a spatřil, že na pozadí jasnějších hvězd znovu vzplála perleťová záře sluneční korony."
"wait","wait","čekat","čekat","impf"," So now we have to wait, Norton told himself."," Tak teď nezbývá než čekat, řekl si Norton."
"told","tell","řekl","říci","pf"," So now we have to wait, Norton told himself."," Tak teď nezbývá než čekat, řekl si Norton."
"reach","reach","dosahoval","dosahovat","impf"," On either side rose a complex of terraces and ramps - all geometrically precise and obviously artificial - which extended for as far as the beam could reach."," Na jedné straně vyrůstal celý komplex teras a ramp - všechny dokonale geometrické a zcela zřejmě umělého původu - jež se táhly tak daleko, kam až paprsek dosahoval."
"see","see","viděl","vidět","impf"," Jimmy could see them all, spread out on the great curving map that swept up and away from him on either side."," Jimmy je viděl všechny jako rozprostřené na velikánské zakřivené mapě, která se širokou vlnou táhla směrem k němu i od něj po obou stranách."
"start","start","začít","začít","pf"," he would start with the most interesting scenery, even if it took him off his direct route."," mohl začít s nejzajímavější scenérií, i kdyby ho svedla z přímé cesty."
"called","call","volal","volat","impf"," ' Endeavour! ' he called."," "" Endeavour! "" volal."
"felt","feel","Cítili","cítit","impf"," ' We felt a slight tremor, but nothing that could cause any damage."," "" Cítili jsme slabé zachvění, ale nic, co by mohlo způsobit nějakou škodu."
"cause","cause","způsobit","způsobit","pf"," ' We felt a slight tremor, but nothing that could cause any damage."," "" Cítili jsme slabé zachvění, ale nic, co by mohlo způsobit nějakou škodu."
"says","say","říká","říkat","impf"," There 's been a small change of attitude - the bridge says about point two degrees."," Ráma trochu změnil polohu - můstek říká asi o žádnou celou dvě desetiny stupně."
"detect","detect","odhalit","odhalit","pf"," There might be forces at work here which no human instruments could detect, but that was another unavoidable risk."," Možná tu pracovaly síly, jež neuměl odhalit žádný pozemský přístroj, ale to bylo jen další nevyhnutelné riziko."
"see","see","díváš","dívat","impf"," ' What can you see? ' Hub Control asked anxiously."," "" Na co se díváš? "" vyptávalo se řídící středisko úzkostlivě."
"use","use","používat","používat","impf"," ' Just Big Horn - it 's absolutely smooth - no markings - and the point 's so sharp you could use it as a needle."," "" Teď zrovna na Velký roh - je dočista hladký - bez nějakého značení - a špičku má tak ostrou, že bys ho mohl používat namísto jehly."
"formed","form","tvořil","tvořit","impf"," The whole rudder-elevator assembly, which formed a single unit on an outrigger five metres behind the rudimentary cockpit, began to twist around;"," Celý díl výškového kormidla, jenž tvořil jediný celek posazený na kostru pět metrů za jednoduchou kabinou, se začal otáčet;"
"began","begin","začal","začít","pf"," The whole rudder-elevator assembly, which formed a single unit on an outrigger five metres behind the rudimentary cockpit, began to twist around;"," Celý díl výškového kormidla, jenž tvořil jediný celek posazený na kostru pět metrů za jednoduchou kabinou, se začal otáčet;"
"twist","twist","otáčet","otáčet","impf"," The whole rudder-elevator assembly, which formed a single unit on an outrigger five metres behind the rudimentary cockpit, began to twist around;"," Celý díl výškového kormidla, jenž tvořil jediný celek posazený na kostru pět metrů za jednoduchou kabinou, se začal otáčet;"
"moved","move","pohybovala","pohybovat","impf"," then the flap-shaped ailerons, halfway along the wing, moved alternately up and down."," potom se pohybovala střídavě nahoru a dolů plochá křidélka, dosahující do poloviny délky hlavních křídel."
"want","want","Nechceš","chtít","impf"," ' Do you want me to swing the prop? ' asked Joe Calvert, unable to suppress memories of two-hundred-year-old war movies."," "" Nechceš, abych ti nahodil vrtuli? "" zeptal se Joe Calvert, neschopný potlačit vzpomínky na dvě stě let staré válečné filmy."
"asked","ask","zeptal","zeptat","pf"," ' Do you want me to swing the prop? ' asked Joe Calvert, unable to suppress memories of two-hundred-year-old war movies."," "" Nechceš, abych ti nahodil vrtuli? "" zeptal se Joe Calvert, neschopný potlačit vzpomínky na dvě stě let staré válečné filmy."
"suppress","suppress","potlačit","potlačit","pf"," ' Do you want me to swing the prop? ' asked Joe Calvert, unable to suppress memories of two-hundred-year-old war movies."," "" Nechceš, abych ti nahodil vrtuli? "" zeptal se Joe Calvert, neschopný potlačit vzpomínky na dvě stě let staré válečné filmy."
"talking","talk","mluví","mluvit","impf"," Probably no one except Jimmy knew what he was talking about, but it helped to relieve the tension."," Pravděpodobně nikdo jiný s výjimkou Jimmyho nevěděl, o čem mluví, ale pomohlo to uvolnit napětí."
"helped","help","pomohlo","pomoci","pf"," Probably no one except Jimmy knew what he was talking about, but it helped to relieve the tension."," Pravděpodobně nikdo jiný s výjimkou Jimmyho nevěděl, o čem mluví, ale pomohlo to uvolnit napětí."
"relieve","relieve","pomohlo","pomoci","pf"," Probably no one except Jimmy knew what he was talking about, but it helped to relieve the tension."," Pravděpodobně nikdo jiný s výjimkou Jimmyho nevěděl, o čem mluví, ale pomohlo to uvolnit napětí."
"relieve","relieve","uvolnit","uvolnit","pf"," Probably no one except Jimmy knew what he was talking about, but it helped to relieve the tension."," Pravděpodobně nikdo jiný s výjimkou Jimmyho nevěděl, o čem mluví, ale pomohlo to uvolnit napětí."
"formed","form","utvářely","utvářet","impf"," Narrow lines that could be highways, canals, or well-trained rivers formed a faintly visible geometrical network;"," Úzké linie, jež mohly být dálnicemi, kanály anebo regulovanými říčními toky, utvářely sotva postřehnutelnou síť geometrických tvarů;"
"formed","form","Tvořila","tvořit","impf"," It formed a complete circle, ringing the interior of this world, and Norton suddenly recalled the myth of Oceanus, the sea which, the ancients believed, surrounded the Earth."," Tvořila úplný kruh, obklopující vnitřek tohoto světa, a Nortonovi se náhle vybavil mýtus o Ókeanovi, mohutném veletoku, jenž podle starých řeckých představ obtékal kolem dokola celou Zemi."
"believe","believe","Uvěřím","uvěřit","pf"," ' I 'll believe you, Skipper, ' he said, ' when I 'm down there on the deck."," "" Uvěřím vám, kapitáne, "" řekl, "" až budu dole na palubě."
"said","say","řekl","říci","pf"," ' I 'll believe you, Skipper, ' he said, ' when I 'm down there on the deck."," "" Uvěřím vám, kapitáne, "" řekl, "" až budu dole na palubě."
"tell","tell","Neřekl","říci","pf"," Now will you tell me how I 'm going to make it? '"," Neřekl byste mi teďka laskavě, jak to provedu? """
"make","make","provedu","provést","pf"," Now will you tell me how I 'm going to make it? '"," Neřekl byste mi teďka laskavě, jak to provedu? """
"slowing","slow","zpomalovala","zpomalovat","impf"," Resolution was now slowing down, a hundred metres from the base of the cliff;"," Resolution nyní sto metrů od úpatí srázu zpomalovala;"
"carried","carry","nevezla","vézt","impf"," as far as Jimmy could tell, she carried no unusual equipment - though he was not sure what he had expected to see."," pokud Jimmy mohl posoudit, nevezla žádnou neobvyklou výbavu - ačkoli si zas nebyl tak jistý, co očekával, že uvidí."
"expected","expect","očekával","očekávat","impf"," as far as Jimmy could tell, she carried no unusual equipment - though he was not sure what he had expected to see."," pokud Jimmy mohl posoudit, nevezla žádnou neobvyklou výbavu - ačkoli si zas nebyl tak jistý, co očekával, že uvidí."
"see","see","uvidí","uvidět","pf"," as far as Jimmy could tell, she carried no unusual equipment - though he was not sure what he had expected to see."," pokud Jimmy mohl posoudit, nevezla žádnou neobvyklou výbavu - ačkoli si zas nebyl tak jistý, co očekával, že uvidí."
"robbed","rob","oloupil","oloupit","pf"," Almost immediately, air resistance robbed the can of its initial speed, but then the pseudo-gravity of Rama took over and it started to move downwards at a constant velocity."," Odpor vzduchu plechovku téměř okamžitě oloupil o počáteční rychlost, ale potom ji převzala Rámova pseudogravitace a začala ji unášet konstantní rychlostí dolů."
"took","take","převzala","převzít","pf"," Almost immediately, air resistance robbed the can of its initial speed, but then the pseudo-gravity of Rama took over and it started to move downwards at a constant velocity."," Odpor vzduchu plechovku téměř okamžitě oloupil o počáteční rychlost, ale potom ji převzala Rámova pseudogravitace a začala ji unášet konstantní rychlostí dolů."
"started","start","začala","začít","pf"," Almost immediately, air resistance robbed the can of its initial speed, but then the pseudo-gravity of Rama took over and it started to move downwards at a constant velocity."," Odpor vzduchu plechovku téměř okamžitě oloupil o počáteční rychlost, ale potom ji převzala Rámova pseudogravitace a začala ji unášet konstantní rychlostí dolů."
"hit","hit","narazila","narazit","pf"," It hit once near the base of the ladder, and did a slow-motion bounce which took it clear of the first terrace."," Plechovka narazila nedaleko pod vrcholem na žebřík a přenesla se pomalým obloukem přes první terasu."
"said","say","řekl","říci","pf"," ' It 's OK now, ' said Pieter."," "" Tak, a je to dobré, "" řekl Pieter."
"killed","kill","zabil","zabít","pf"," He had known men he would have killed with far fewer qualms than he would Goldie."," Znal totiž řadu mužů, které by zabil s mnohem menšími výčitkami svědomí než Zlatouše."
"believe","believe","věří","věřit","impf"," But sometimes it is not easy, and there are those who believe that, in the long run, final victory may yet go to the termites ... '"," Ale nebývalo to vždycky snadné a najdou se i takoví, kteří věří, že v dlouhodobé perspektivě připadne konečné vítězství přece jen termitům ..."
"consider","consider","uvažme","uvážit","pf"," ' With this in mind, consider now the appalling threat that Rama may - I do not say must present to human civilization."," Jestliže si tohle všechno uvědomujeme, uvažme teď, jaké úděsné ohrožení může - netvrdím že musí - Ráma představovat pro lidskou civilizaci."
"taken","take","podnikli","podniknout","pf"," What steps have we taken to counter it, if the worst eventuality should occur?"," Jaké kroky jsme podnikli, abychom čelili tomu, že by mohla nastat i ta nejhorší eventualita?"
"counter","counter","čelili","čelit","impf"," What steps have we taken to counter it, if the worst eventuality should occur?"," Jaké kroky jsme podnikli, abychom čelili tomu, že by mohla nastat i ta nejhorší eventualita?"
"occur","occur","nastat","nastat","pf"," What steps have we taken to counter it, if the worst eventuality should occur?"," Jaké kroky jsme podnikli, abychom čelili tomu, že by mohla nastat i ta nejhorší eventualita?"
"speculated","speculate","spekulovali","spekulovat","impf"," None whatsoever; we have merely talked and speculated and written learned papers. '"," Vůbec žádné, jenom jsme řečnili a spekulovali a sepisovali učená pojednání."
"done","do","udělal","udělat","pf"," ' Well, my fellow delegates, Mercury has done more than this."," Nuže, mí kolegové delegáti, Merkur udělal víc než jenom tolik."
"moving","move","nepohybuje","pohybovat","impf"," He still had the impression that he was not moving at all, but that the water below was rushing up towards him."," Pořád se nemohl zbavit dojmu, že se vůbec nepohybuje, ale že se voda žene zezdola nahoru proti němu."
"rushing","rush","žene","hnát","impf"," He still had the impression that he was not moving at all, but that the water below was rushing up towards him."," Pořád se nemohl zbavit dojmu, že se vůbec nepohybuje, ale že se voda žene zezdola nahoru proti němu."
"keeping","keep","udržoval","udržovat","impf"," indeed, he felt a certain indignation against the skipper for keeping him in the dark."," skutečně, trochu se zlobil na kapitána, že ho udržoval v nevědomosti."
"think","think","myslel","myslet","impf"," Did he really think that he would be scared to jump, if he had to brood over it too long?"," Copak si doopravdy myslel, že by se bál skočit, kdyby o tom příliš dlouho hloubal?"
"jump","jump","skočit","skočit","pf"," Did he really think that he would be scared to jump, if he had to brood over it too long?"," Copak si doopravdy myslel, že by se bál skočit, kdyby o tom příliš dlouho hloubal?"
"knocking","knock","srazil","srazit","pf"," Mercer put on the brakes so quickly that Calvert almost bumped into him - and Myron did bump into Calvert, nearly knocking him off the rail."," Mercer zabrzdil tak rychle, že se s ním Calvert téměř srazil - a Myron narazil do Calverta a málem ho smetl ze žebříku."
"bumped","bump","narazil","narazit","pf"," Mercer put on the brakes so quickly that Calvert almost bumped into him - and Myron did bump into Calvert, nearly knocking him off the rail."," Mercer zabrzdil tak rychle, že se s ním Calvert téměř srazil - a Myron narazil do Calverta a málem ho smetl ze žebříku."
"knocking","knock","narazil","narazit","pf"," Mercer put on the brakes so quickly that Calvert almost bumped into him - and Myron did bump into Calvert, nearly knocking him off the rail."," Mercer zabrzdil tak rychle, že se s ním Calvert téměř srazil - a Myron narazil do Calverta a málem ho smetl ze žebříku."
"said","say","řekl","říci","pf"," ' Take it easy, ' said Mercer."," "" A teď pěkně pomalu, "" řekl Mercer."
"glide","glide","klouzali","klouzat","impf"," In eerie silence, they continued to glide, downwards through the fog."," V tajemném tichu opět klouzali dolů mlhou."
"doubted","doubt","pochybovalo","pochybovat","impf"," Although Norton had impressed upon everyone the danger of taking anything for granted in Rama, few doubted that the Sea was really made of ice."," Přestože se Norton snažil všem vštípit, jak je nebezpečné zde uvažovat v zaběhaných schématech, jen málo členů posádky pochybovalo o tom, že Válcové moře je tvořeno ledem."
"made","make","tvořeno","tvořit","impf"," Although Norton had impressed upon everyone the danger of taking anything for granted in Rama, few doubted that the Sea was really made of ice."," Přestože se Norton snažil všem vštípit, jak je nebezpečné zde uvažovat v zaběhaných schématech, jen málo členů posádky pochybovalo o tom, že Válcové moře je tvořeno ledem."
"approaching","approach","blížili","blížit","impf"," It was as if they were approaching the edge of the world;"," Bylo by, jako by se blížili na samý konec světa;"
"believed","believe","neuvěřil","uvěřit","pf"," he had never believed that life played an important role in the scheme of things, and regarded its appearance on Earth, Mars and Jupiter as an accidental aberration."," nikdy neuvěřil, že by život hrál v koncepci světa nějakou důležitou roli, a na to, že se objevil na Zemi, Marsu a na Jupiteru, pohlížel jako na náhodnou aberaci."
"played","play","hrál","hrát","impf"," he had never believed that life played an important role in the scheme of things, and regarded its appearance on Earth, Mars and Jupiter as an accidental aberration."," nikdy neuvěřil, že by život hrál v koncepci světa nějakou důležitou roli, a na to, že se objevil na Zemi, Marsu a na Jupiteru, pohlížel jako na náhodnou aberaci."
"regarded","regard","pohlížel","pohlížet","impf"," he had never believed that life played an important role in the scheme of things, and regarded its appearance on Earth, Mars and Jupiter as an accidental aberration."," nikdy neuvěřil, že by život hrál v koncepci světa nějakou důležitou roli, a na to, že se objevil na Zemi, Marsu a na Jupiteru, pohlížel jako na náhodnou aberaci."
"achieved","achieve","dosáhl","dosáhnout","pf"," But now there was proof that life not only existed outside the solar system, but had scaled heights far beyond anything that man had achieved, or could hope to reach for centuries to come."," Najednou tu však byl důkaz, že se život nejenže nachází i mimo sluneční soustavu, ale že vyšplhal do výšin zdaleka přesahujících všechno, čeho dosáhl člověk - a dokonce přesáhl i úroveň, na niž doufejme dospěje v příštích staletích."
"reach","reach","dosáhl","dosáhnout","pf"," But now there was proof that life not only existed outside the solar system, but had scaled heights far beyond anything that man had achieved, or could hope to reach for centuries to come."," Najednou tu však byl důkaz, že se život nejenže nachází i mimo sluneční soustavu, ale že vyšplhal do výšin zdaleka přesahujících všechno, čeho dosáhl člověk - a dokonce přesáhl i úroveň, na niž doufejme dospěje v příštích staletích."
"hope","hope","doufejme","doufat","impf"," But now there was proof that life not only existed outside the solar system, but had scaled heights far beyond anything that man had achieved, or could hope to reach for centuries to come."," Najednou tu však byl důkaz, že se život nejenže nachází i mimo sluneční soustavu, ale že vyšplhal do výšin zdaleka přesahujících všechno, čeho dosáhl člověk - a dokonce přesáhl i úroveň, na niž doufejme dospěje v příštích staletích."
"come","come","dospěje","dospět","pf"," But now there was proof that life not only existed outside the solar system, but had scaled heights far beyond anything that man had achieved, or could hope to reach for centuries to come."," Najednou tu však byl důkaz, že se život nejenže nachází i mimo sluneční soustavu, ale že vyšplhal do výšin zdaleka přesahujících všechno, čeho dosáhl člověk - a dokonce přesáhl i úroveň, na niž doufejme dospěje v příštích staletích."
"preached","preach","hlásal","hlásat","impf"," Moreover, the discovery of Rama challenged another dogma that Professor Olaf had preached for years."," A co víc, objevení Rámy popřelo i další dogma profesora Davidsona, jež hlásal po celá léta."
"contained","contain","obsahovala","obsahovat","impf"," Every spoonful contained thousands of spherical, single-celled micro-organisms, similar to the earliest forms of plankton that had existed in the oceans of Earth."," Každá polévková lžíce obsahovala tisíce kulovitých jednobuněčných mikroorganismů, podobných prvotním formám planktonu, jaké existovaly v pozemských oceánech."
"existed","exist","existovaly","existovat","impf"," Every spoonful contained thousands of spherical, single-celled micro-organisms, similar to the earliest forms of plankton that had existed in the oceans of Earth."," Každá polévková lžíce obsahovala tisíce kulovitých jednobuněčných mikroorganismů, podobných prvotním formám planktonu, jaké existovaly v pozemských oceánech."
"showed","show","vykazovaly","vykazovat","impf"," Yet they showed puzzling differences;"," A přece vykazovaly záhadné odlišnosti;"
"lacked","lack","postrádaly","postrádat","impf"," they lacked a nucleus, as well as many of the other minimum requirements of even the most primitive terrestrial life-forms."," postrádaly jádro, stejně jako jiné základní vybavení dokonce i těch nejprimitivnějších pozemských forem života."
"proved","prove","prokázala","prokázat","pf"," And although Laura Ernst - now doubling as research scientist as well as ship 's doctor - had proved that they definitely generated oxygen, there were far too few of them to account for the augmentation of Rama 's atmosphere."," Ačkoli Laura Ernstová - nyní v rozdvojené podobě jako výzkumná pracovnice i lodní lékařka - prokázala s konečnou platností, že produkují kyslík, bylo jich stále příliš málo, než aby je mohli považovat za tvůrce příspěvku do Rámova ovzduší."
"make","make","provedl","provést","pf"," In a few days, it will be at perihelion, where it would logically make any major orbit change."," V průběhu několika dní dosáhne perihélia, kde bude logické místo k tomu, aby provedl jakoukoli podstatnější změnu dráhy."
"make","make","provést","provést","pf"," Or it may of course, make additional changes and occupy a final orbit at any distance from the sun."," Ovšemže může provést další korekce a zaujmout výslednou oběžnou dráhu v libovolné vzdálenosti od Slunce."
"occupy","occupy","zaujmout","zaujmout","pf"," Or it may of course, make additional changes and occupy a final orbit at any distance from the sun."," Ovšemže může provést další korekce a zaujmout výslednou oběžnou dráhu v libovolné vzdálenosti od Slunce."
"offered","offer","nabídl","nabídnout","pf"," If the devil had suddenly appeared and offered him the gift of instantaneous teleportation, he would have signed the contract without bothering to look at the small print."," Kdyby se mu teď zjevil sám ďábel a nabídl mu možnost okamžité teleportace, podepsal by smlouvu, aniž by se obtěžoval pohlédnout na text třeba jen jedním okem."
"signed","sign","podepsal","podepsat","pf"," If the devil had suddenly appeared and offered him the gift of instantaneous teleportation, he would have signed the contract without bothering to look at the small print."," Kdyby se mu teď zjevil sám ďábel a nabídl mu možnost okamžité teleportace, podepsal by smlouvu, aniž by se obtěžoval pohlédnout na text třeba jen jedním okem."
"bothering","bother","obtěžoval","obtěžovat","impf"," If the devil had suddenly appeared and offered him the gift of instantaneous teleportation, he would have signed the contract without bothering to look at the small print."," Kdyby se mu teď zjevil sám ďábel a nabídl mu možnost okamžité teleportace, podepsal by smlouvu, aniž by se obtěžoval pohlédnout na text třeba jen jedním okem."
"look","look","pohlédnout","pohlédnout","pf"," If the devil had suddenly appeared and offered him the gift of instantaneous teleportation, he would have signed the contract without bothering to look at the small print."," Kdyby se mu teď zjevil sám ďábel a nabídl mu možnost okamžité teleportace, podepsal by smlouvu, aniž by se obtěžoval pohlédnout na text třeba jen jedním okem."
"think","think","myslím","myslet","impf"," ' Yes, Mr Ambassador, I think I have some information of interest."," "" Ano, pane velvyslanče, myslím, že mám pár zajímavých informací."
"think","think","mám","mít","impf"," ' Yes, Mr Ambassador, I think I have some information of interest."," "" Ano, pane velvyslanče, myslím, že mám pár zajímavých informací."
"reminded","remind","připomínaly","připomínat","impf"," Where it should have had a mouth was a collection of manipulators that reminded Jimmy strongly of the multipurpose knives that are the delight of all red-blooded boys;"," Tam, kde měl mít ústa, se nacházela série manipulátorů, které Jimmymu výrazně připomínaly mnohoúčelové nože, pravé potěšení všech horkokrevných chlapců;"
"think","think","myslíte","myslet","impf"," ' And you think you can keep it up for six hours? '"," "" A vy si myslíte, že to vydržíte šest hodin? """
"keep","keep","vydržíte","vydržet","pf"," ' And you think you can keep it up for six hours? '"," "" A vy si myslíte, že to vydržíte šest hodin? """
"show","show","nepředvede","předvést","pf"," One future at least was decided; Dragonfly would never show her paces on the Moon."," Ale jedna věc byla v budoucnosti jistá - Vážka nikdy svou rychlost na Měsíci nepředvede."
"seemed","seem","zdála","zdát","impf"," his ground speed seemed acceptable, but how fast was he falling?"," jeho současná rychlost se zdála přijatelná, ale jak rychle dopadne?"
"falling","fall","dopadne","dopadnout","pf"," his ground speed seemed acceptable, but how fast was he falling?"," jeho současná rychlost se zdála přijatelná, ale jak rychle dopadne?"
"escape","escape","uniknout","uniknout","pf"," Two men were not enough for an exploring team; long ago it had been found that three was the optimum - for if one man was lost, two might still escape where a single survivor would be doomed."," Dva muži však na vytvoření průzkumného družstva nestačili, už kdysi dávno se přišlo na to, že optimální počet jsou tři - neboť i kdyby o jednoho přišli, dva zbylí mohou stále ještě uniknout i tam, kde by osamělý člověk propadl záhubě."
"chosen","choose","vybral","vybrat","pf"," After a good deal of thought, Norton had chosen Technical Sergeant Willard Myron."," Po dlouhém rozmýšlení vybral Norton technického seržanta Willarda Myrona."
"make","make","vyrobit","vyrobit","pf"," A mechanical genius who could make anything work - or design something better if it would n't - Myron was the ideal man to identify alien pieces of equipment."," Myron, technický génius schopný vyrobit cokoli, anebo navrhnout ještě něco lepší, byl ideální člověk pro identifikaci jednotlivých neznámých zařízení."
"believe","believe","uvěřit","uvěřit","pf"," It was easy to believe that the closing of a single circuit, in some patient, hidden computer, would bring all this maze back to life."," Snadno se dalo uvěřit, že stačí, aby se v jakémsi trpělivě vyčkávajícím, skrytém počítači uzavřel jeden jediný obvod, a celé tohle bludiště opět ožije."
"failed","fail","selže","selhat","pf"," That would not be until the mission was completed - or had failed."," To se nestane dříve, než se akce úspěšně završí - anebo selže."
"wait","wait","počkat","počkat","pf"," He would have to wait it out; there was still plenty of time - a full fifty minutes."," Bude si muset počkat, stále ještě zbývala spousta času - plných padesát minut."
"ignore","ignore","ignorovat","ignorovat","impf"," He would ignore the message completely, and see what the Hermians did next."," Bude ultimátum dočista ignorovat a uvidí, co podniknou Merkuřané."
"see","see","uvidí","uvidět","pf"," He would ignore the message completely, and see what the Hermians did next."," Bude ultimátum dočista ignorovat a uvidí, co podniknou Merkuřané."
"pointed","point","ukazovala","ukazovat","impf"," The sphere was turning into an ellipsoid, its long axis pointed in the direction of Rama 's flight."," Koule se proměnila v elipsoid, jehož delší osa ukazovala ve směru letu Rámy."
"started","start","začaly","začít","pf"," It was then that the first anomalous reports started coming in from the robot observatories, which, for almost two hundred years, had been keeping a permanent watch on the sun."," Hned nato začaly přicházet z automatických observatoří, které už téměř po dvě stě roků permanentně dohlížely na sluneční činnost, prvá hlášení o jeho anomálních projevech."
"coming","come","přicházet","přicházet","impf"," It was then that the first anomalous reports started coming in from the robot observatories, which, for almost two hundred years, had been keeping a permanent watch on the sun."," Hned nato začaly přicházet z automatických observatoří, které už téměř po dvě stě roků permanentně dohlížely na sluneční činnost, prvá hlášení o jeho anomálních projevech."
"take","take","trvat","trvat","impf"," It may take billions of years to poison and wear out a planet - but it will happen in the end."," Než se opotřebuje a kontaminuje celá planeta, může to trvat miliardy roků - ale nakonec k tomu dojde."
"wear","wear","trvat","trvat","impf"," It may take billions of years to poison and wear out a planet - but it will happen in the end."," Než se opotřebuje a kontaminuje celá planeta, může to trvat miliardy roků - ale nakonec k tomu dojde."
"indicate","indicate","naznačují","naznačovat","impf"," My calculations, based on the leakage through its hull, and some reasonable guesses about the rate of biological turnover, indicate that its ecology could only survive for about a thousand years."," Mé výpočty, založené na unikání látek trupem, a některé rozumné odhady o rychlosti biologických přeměn naznačují, že jeho ekologická soustava mohla přežívat jen asi tisíc roků."
"survive","survive","přežívat","přežívat","impf"," My calculations, based on the leakage through its hull, and some reasonable guesses about the rate of biological turnover, indicate that its ecology could only survive for about a thousand years."," Mé výpočty, založené na unikání látek trupem, a některé rozumné odhady o rychlosti biologických přeměn naznačují, že jeho ekologická soustava mohla přežívat jen asi tisíc roků."
"grant","grant","připustím","připustit","pf"," At the most, I 'll grant ten thousand ... '"," Nanejvýš ještě připustím deset tisíc ..."
"required","require","vyžadoval","vyžadovat","impf"," The drop from one rung to the next required more than two seconds; on Earth, in the same time, a man would have fallen thirty metres."," Pád od jednoho příčle k následujícímu vyžadoval víc než dvě sekundy, na Zemi by se za stejnou dobu člověk propadl o třicet metrů."
"fallen","fall","propadl","propadnout","pf"," The drop from one rung to the next required more than two seconds; on Earth, in the same time, a man would have fallen thirty metres."," Pád od jednoho příčle k následujícímu vyžadoval víc než dvě sekundy, na Zemi by se za stejnou dobu člověk propadl o třicet metrů."
"gliding","glide","klouzal","klouzat","impf"," The rate of fall was so painfully slow that he hurried things up a trifle by pushing with his hands, gliding over spans of a dozen rungs at a time, and checking himself with his feet whenever he felt he was travelling too fast."," Rychlost pádu byla palčivě pomalá, a tak trochu urychloval sestup tím, že se odrážel rukama, klouzal najednou přes celé tucty příčlí a brzdil nohama, kdykoli se mu zdálo, že se pohybuje příliš rychle."
"came","come","udělal","udělat","pf"," At rung seven hundred, he came to another halt and swung the beam of his helmet-lamp downwards;"," Další zastávku si udělal na sedmistém příčli a sklonil paprsek reflektoru na přílbě dolů;"
"opened","open","otevřel","otevřít","pf"," He opened his mouth several times, but nothing happened."," Několikrát otevřel ústa, ale nevyšla z nich ani hláska."
"lying","lie","nelhal","lhát","impf"," ' Well, you were n't lying."," "" Dobře, ty bys nelhal."
