"call","call","říká","říkat","impf"," At the moment she 's in my apartment in the neighborhood they call Little Berlin."," Je momentálně v mém bytě ve čtvrti, které se tu říká Malý Berlín."
"proved","prove","dokazoval","dokazovat","impf"," He obeyed and calmly looked on as they frisked him and studied his papers, which proved him to be a member of the Reich 's criminal police force with the rank of chief inspector."," Poslechl a přihlížel ještě klidně, jak ho šacují a zkoumají jeho průkaz, dokazoval přece, že je příslušník Reichskriminalpolizeiamtu v hodnosti vrchního kriminálního rady."
"noticed","notice","všimnout","všimnout","pf"," Before anyone noticed, he raised his submachine gun, took aim so as not to threaten any of the Czechs, and began to squeeze the trigger."," Než si toho kdo stačil všimnout, zvedl automatickou pušku, dobře zalícil, aby neohrozil nikoho z Čechů, a začal mačkat spoušť."
"raised","raise","zvedl","zvednout","pf"," Before anyone noticed, he raised his submachine gun, took aim so as not to threaten any of the Czechs, and began to squeeze the trigger."," Než si toho kdo stačil všimnout, zvedl automatickou pušku, dobře zalícil, aby neohrozil nikoho z Čechů, a začal mačkat spoušť."
"threaten","threaten","neohrozil","ohrozit","pf"," Before anyone noticed, he raised his submachine gun, took aim so as not to threaten any of the Czechs, and began to squeeze the trigger."," Než si toho kdo stačil všimnout, zvedl automatickou pušku, dobře zalícil, aby neohrozil nikoho z Čechů, a začal mačkat spoušť."
"began","begin","začal","začít","pf"," Before anyone noticed, he raised his submachine gun, took aim so as not to threaten any of the Czechs, and began to squeeze the trigger."," Než si toho kdo stačil všimnout, zvedl automatickou pušku, dobře zalícil, aby neohrozil nikoho z Čechů, a začal mačkat spoušť."
"heard","hear","uslyšel","uslyšet","pf"," He heard another rifle at his side - must be Ladislav! - and in the corner of his eye saw Lojza fighting with the policeman."," Vedle sebe uslyšel jinou pušku, určitě Ladislav! a koutkem oka zahlédl Lojzu prát se s policistou."
"saw","see","zahlédl","zahlédnout","pf"," He heard another rifle at his side - must be Ladislav! - and in the corner of his eye saw Lojza fighting with the policeman."," Vedle sebe uslyšel jinou pušku, určitě Ladislav! a koutkem oka zahlédl Lojzu prát se s policistou."
"explained","explain","vysvětlil","vysvětlit","pf"," Of course you explained it."," Ovšem, žes mi vysvětlil."
"see","see","vidím","vidět","impf"," And of course I 'd rather see you than wake up here alone."," A ovšem, že tě radši vidím, než abych se tu probudila do samoty."
"go","go","jdi","jít","impf"," Now go, for real, and leave me alone."," - A teď si teda jdi doopravdy a nech mě tu samotnou!"
"leave","leave","nech","nechat","pf"," Now go, for real, and leave me alone."," - A teď si teda jdi doopravdy a nech mě tu samotnou!"
"want","want","Nechci","chtít","impf"," I do n't want to see you anymore."," Nechci tě už vidět!"
"see","see","vidět","vidět","impf"," I do n't want to see you anymore."," Nechci tě už vidět!"
"stared","stare","zíral","zírat","impf"," Morava stared, dumbfounded, at the man who had just demoted him and then paid him the very compliment he 'd desperately longed for."," Morava ohromeně zíral na muže, který ho napřed degradoval a teď vyznamenával, jak po tom dosud marně toužil."
"longed","long","toužil","toužit","impf"," Morava stared, dumbfounded, at the man who had just demoted him and then paid him the very compliment he 'd desperately longed for."," Morava ohromeně zíral na muže, který ho napřed degradoval a teď vyznamenával, jak po tom dosud marně toužil."
"get","get","dostanete","dostat","pf"," You 'll get that monster!"," Vy tu bestii dostanete!"
"opened","open","otevřely","otevřít","pf"," The upholstered doors opened noiselessly."," Bezhlučně se otevřely čalouněné dveře."
"heard","hear","vyslechnout","vyslechnout","pf"," A couple of times in the past few days he 'd heard HER reproach him sternly for losing his nerve."," Už párkrát v posledních dnech musel vyslechnout JEJÍ přísnou výčitku, že opět ztratil kuráž."
"losing","lose","ztratil","ztratit","pf"," A couple of times in the past few days he 'd heard HER reproach him sternly for losing his nerve."," Už párkrát v posledních dnech musel vyslechnout JEJÍ přísnou výčitku, že opět ztratil kuráž."
"caught","catch","chytit","chytit","pf"," He countered that he had a cold, that he must have caught a draft as the pressure wave ( he 'd remembered it only later ) blew out the window-panes."," Hájil se, že je nastydlý, musel tam chytit průvan, jak tlaková vlna, později si přece jen připomněl, vyrazila okenní tabule."
"remembered","remember","připomněl","připomenout","pf"," He countered that he had a cold, that he must have caught a draft as the pressure wave ( he 'd remembered it only later ) blew out the window-panes."," Hájil se, že je nastydlý, musel tam chytit průvan, jak tlaková vlna, později si přece jen připomněl, vyrazila okenní tabule."
"removed","remove","vyňat","vyjmout","pf"," - ... And because of his German background, Thaler was removed from the Czech office 's files, Morava said, wrapping up his briefing."," - I Thaler byl pak jako Volksdeutsche vyňat z evidence českých úřadů, končil Morava svůj referát."
"found","find","shledán","shledat","pf"," As a seventeen-year-old apprentice Antonín Rypl had been found unfit for service in the Austrian Army, but a year later was accepted as a volunteer for the new Czechoslovak forces."," Sedmnáctiletý učeň Rypl Antonín nebyl shledán schopným služby v rakouské armádě, ale o rok později uznán na vlastní žádost pro nové československé vojsko."
"accepted","accept","uznán","uznat","pf"," As a seventeen-year-old apprentice Antonín Rypl had been found unfit for service in the Austrian Army, but a year later was accepted as a volunteer for the new Czechoslovak forces."," Sedmnáctiletý učeň Rypl Antonín nebyl shledán schopným služby v rakouské armádě, ale o rok později uznán na vlastní žádost pro nové československé vojsko."
"explained","explain","vysvětlil","vysvětlit","pf"," When the doctors ' board questioned the sudden change in his health, he explained that his mother had made him drink a coal brew to keep him off the front."," Obrat ve zdravotním stavu vysvětlil lékařské komisi tím, že mu matka dřív dávala pít odvar z uhlí, aby ho zachránila před frontou."
"drink","drink","pít","pít","impf"," When the doctors ' board questioned the sudden change in his health, he explained that his mother had made him drink a coal brew to keep him off the front."," Obrat ve zdravotním stavu vysvětlil lékařské komisi tím, že mu matka dřív dávala pít odvar z uhlí, aby ho zachránila před frontou."
"appeared","appear","objevila","objevit","pf"," He felt it again that evening, as the girl appeared beneath the blinded lantern in front of her house, on a suburban street his driver had spent ages searching for in the darkened city."," Věděl to zas, sotva se dívka objevila pod osleplou lucernou před domkem v předměstské ulici, kterou při zatemnění dlouho hledali."
"searching","search","hledali","hledat","impf"," He felt it again that evening, as the girl appeared beneath the blinded lantern in front of her house, on a suburban street his driver had spent ages searching for in the darkened city."," Věděl to zas, sotva se dívka objevila pod osleplou lucernou před domkem v předměstské ulici, kterou při zatemnění dlouho hledali."
"exhausted","exhaust","Vyčerpali","vyčerpat","pf"," They exhausted the murder of Baroness von Pommeren, chatted a bit about Moravian wine, which Buback had not drunk since his youth, and called it a night when they caught each other simultaneously yawning."," Vyčerpali, co se dalo říct o vraždě baronky von Pommeren, klábosili pak o moravském víně, které Buback z mládí neznal, a dali si vzájemně pokoj, když se jim podařilo současně zívnout."
"support","support","podporovat","podporovat","impf"," There was only one solution : to support anyone who could promise Germany would not be trampled underfoot, and then wait until they could finally carry out what they 'd failed at the year before."," Zbývalo tedy prakticky jediné : podporovat poslední sílu, slibující, že Německo nebude na hlavu poraženo dřív, než se naplní naděje, jakou právě někteří vysocí důstojníci nabídli tragicky nezdařeným pokusem odstranit zlého ducha."
"supporting","support","Podpořit","podpořit","pf"," And that meant supporting the very army he was now watching and admiring, as it trudged unbroken toward its decisive battle."," Podpořit právě tuto armádu, kterou teď pozoroval a obdivoval, jak nezlomena táhne do možná rozhodující bitvy."
"watching","watch","pozoroval","pozorovat","impf"," And that meant supporting the very army he was now watching and admiring, as it trudged unbroken toward its decisive battle."," Podpořit právě tuto armádu, kterou teď pozoroval a obdivoval, jak nezlomena táhne do možná rozhodující bitvy."
"admiring","admire","obdivoval","obdivovat","impf"," And that meant supporting the very army he was now watching and admiring, as it trudged unbroken toward its decisive battle."," Podpořit právě tuto armádu, kterou teď pozoroval a obdivoval, jak nezlomena táhne do možná rozhodující bitvy."
"withdrawn","withdraw","stáhnou","stáhnout","pf"," All forces and materials will be withdrawn to strategic areas of the center, where the new weapon will be launched."," Veškeré síly a prostředky se stáhnou do strategického prostoru Střed, z něhož má být nasazena nová zbraň."
"defended","defend","hájen","hájit","impf"," This territory will be defended to the last man, and in tactical retreats will be destroyed as the Führer requests."," Ten bude v nezbytí hájen do posledního muže a při taktických ústupech ničen tak, jak si žádá Vůdce."
"destroyed","destroy","ničen","ničit","impf"," This territory will be defended to the last man, and in tactical retreats will be destroyed as the Führer requests."," Ten bude v nezbytí hájen do posledního muže a při taktických ústupech ničen tak, jak si žádá Vůdce."
"tell","tell","pověděla","povědět","pf"," - But you did tell him, he reproached them both."," - A pověděla! vyčetl oběma."
"reproached","reproach","vyčetl","vyčíst","pf"," - But you did tell him, he reproached them both."," - A pověděla! vyčetl oběma."
"heard","hear","Slyšela","slyšet","impf"," - Have you heard anything from next door?"," - Slyšela jste za tu dobu něco od vedle?"
"hurled","hurl","Vrhli","vrhnout","pf"," They hurled themselves to the ground next to the dead man and considered their options."," Vrhli se na zem k mrtvému a zvažovali, co dál."
"considered","consider","zvažovali","zvažovat","impf"," They hurled themselves to the ground next to the dead man and considered their options."," Vrhli se na zem k mrtvému a zvažovali, co dál."
"waving","wave","mával","mávat","impf"," They could see the outline of a man waving at them from the building 's hallway."," V chodbě činžáku se odrážel obrys muže, který na ně mával."
"want","want","chcete","chtít","impf"," - If you want to run out, I can spray them."," - Jestli chcete přeběhnout, pokropím je."
"nodding","nod","kývli","kývnout","pf"," They exchanged glances, nodding to each other and then to him."," Pohlédli na sebe a kývli sobě i jemu."
"saw","see","Viděli","vidět","impf"," Then they saw him raise his gun."," Viděli, jak zvedá zbraň."
"raise","raise","zvedá","zvedat","impf"," Then they saw him raise his gun."," Viděli, jak zvedá zbraň."
"count","count","Počítám","počítat","impf"," - I 'll count to three."," - Počítám do tří."
"affected","affect","zasáhla","zasáhnout","pf"," She was so in love with Martin, though, that this shameful tragedy affected her far less than the sudden change she saw in her relationship with Martin."," To už však byla do Martina zamilovaná tak, že ji ta tragedie, jakkoli se za to styděla, zasáhla míň než náhlá změna, která se udála s ním."
"raise","raise","zvednout","zvednout","pf"," The banal story 's sudden change into drama managed to raise Buback 's weary eyelids."," Banální příběh, jenž se na obrátku proměnil v drama, dokázal zvednout Bubackova unavená víčka."
"find","find","Našel","najít","pf"," Did he find someone else?"," Našel si další?"
"recognize","recognize","poznat","poznat","pf"," How could he recognize him - or any of them - if they managed to escape, put aside their uniforms and become what they had been before?"," Jak ho, jak je všechny poznat, jestli se jim povede uniknout odtud, odložit uniformy a stát se těmi, kdo byli předtím?"
"escape","escape","uniknout","uniknout","pf"," How could he recognize him - or any of them - if they managed to escape, put aside their uniforms and become what they had been before?"," Jak ho, jak je všechny poznat, jestli se jim povede uniknout odtud, odložit uniformy a stát se těmi, kdo byli předtím?"
"sensed","sense","Cítil","cítit","impf"," He sensed that despite all the defeats of the past two years, there was enough destructive strength in those soldiers to turn the Protectorate into a vast wasteland."," Cítil, že v těch vojácích navzdory všem porážkám posledních dvou let vězelo dost ničivé síly, aby proměnili kraj, kterým táhli a kde sami nebyli doma, v jediné pole smrti."
"chosen","choose","nezvolil","zvolit","pf"," In the upcoming conflict of responsibilities, how come he had n't chosen his personal ones?"," Proč si v konfliktu povinností, který Beran předvídal, nezvolil tu osobní?"
"bringing","bring","dovezl","dovézt","pf"," Why was n't he on one of those final trains right now, bringing his mother back here?"," Proč teď nesedí v jednom z posledních vlaků, aby sem matku dovezl?"
"found","find","nenašel","najít","pf"," Why had n't he found her and Jitka 's parents a place to rent long ago, maybe with farmers outside Prague?"," Proč už jí i Jitčiným rodičům dávno nenašel podnájem třebas u sedláků v okolí Prahy?"
"lying","lie","lhal","lhát","impf"," And if he 's lying, put him behind bars!"," A jestli lhal, strčte ho za katr!"
"take","take","vzali","vzít","pf"," - Why not just take him down to the cellar and bump him off? the pasty face said."," - Co kdybysme ho vzali do sklepa a rovnou ho sejmuli? dožadoval se moučný."
"Go","go","Jeďte","jet","impf"," Go have a look at Dresden!"," Jeďte se podívat do Drážďan!"
"sounded","sound","Zněl","znít","impf"," Suddenly he sounded almost insulted."," Zněl najednou skoro ukřivděně."
"using","use","užívali","užívat","impf"," Morava imagined the sinks and toilets hanging from the walls of the corner house, things their owners had been using just a short while ago."," Morava si vybavil umyvadla a klozety trčící ze zdi rohového domu, které ještě před chvílí užívali jeho obyvatelé."
"said","say","řekl","říci","pf"," - Yes, he said, - you 're right, thanks."," - Ano, řekl, - máte pravdu, děkuji."
"seemed","seem","Zdálo","zdát","impf"," In his room, it seemed he barely closed and opened his eyes only to find it was morning."," Zdálo se mu pak, že ve své garsonce jen zavřel a ihned otevřel oči a bylo ráno."
"closed","close","zavřel","zavřít","pf"," In his room, it seemed he barely closed and opened his eyes only to find it was morning."," Zdálo se mu pak, že ve své garsonce jen zavřel a ihned otevřel oči a bylo ráno."
"opened","open","otevřel","otevřít","pf"," In his room, it seemed he barely closed and opened his eyes only to find it was morning."," Zdálo se mu pak, že ve své garsonce jen zavřel a ihned otevřel oči a bylo ráno."
"died","die","umřela","umřít","pf"," He broke through the horrible moment of awakening when she died for him again, and set off on the trail of her murderer."," Překonal tu hroznou vteřinu procitnutí, ve které mu znova umřela, a vydal se hledat dál jejího vraha."
"announced","announce","oznámili","oznámit","pf"," As a good morning, Matlák and Jetel announced that only the German newspapers had published Rypl 's picture."," Na dobré jitro mu Matlák s Jetelem oznámili, že Ryplův snímek uveřejnily jen německé listy."
"published","publish","oznámili","oznámit","pf"," As a good morning, Matlák and Jetel announced that only the German newspapers had published Rypl 's picture."," Na dobré jitro mu Matlák s Jetelem oznámili, že Ryplův snímek uveřejnily jen německé listy."
"published","publish","uveřejnily","uveřejnit","pf"," As a good morning, Matlák and Jetel announced that only the German newspapers had published Rypl 's picture."," Na dobré jitro mu Matlák s Jetelem oznámili, že Ryplův snímek uveřejnily jen německé listy."
"felt","feel","Vnímal","vnímat","impf"," He felt his colleagues gradually take him by the shoulders and try to calm him, but the dam inside him, built with all his strength to fend off precisely this limitless despair, had finally broken."," Vnímal, jak ho kolegové postupně berou kolem ramen a zkoušejí uklidnit, ale v něm prostě pukla hráz, kterou vší silou zbudoval právě proti bezbřehému zoufalství."
"take","take","berou","brát","impf"," He felt his colleagues gradually take him by the shoulders and try to calm him, but the dam inside him, built with all his strength to fend off precisely this limitless despair, had finally broken."," Vnímal, jak ho kolegové postupně berou kolem ramen a zkoušejí uklidnit, ale v něm prostě pukla hráz, kterou vší silou zbudoval právě proti bezbřehému zoufalství."
"try","try","zkoušejí","zkoušet","impf"," He felt his colleagues gradually take him by the shoulders and try to calm him, but the dam inside him, built with all his strength to fend off precisely this limitless despair, had finally broken."," Vnímal, jak ho kolegové postupně berou kolem ramen a zkoušejí uklidnit, ale v něm prostě pukla hráz, kterou vší silou zbudoval právě proti bezbřehému zoufalství."
"calm","calm","uklidnit","uklidnit","pf"," He felt his colleagues gradually take him by the shoulders and try to calm him, but the dam inside him, built with all his strength to fend off precisely this limitless despair, had finally broken."," Vnímal, jak ho kolegové postupně berou kolem ramen a zkoušejí uklidnit, ale v něm prostě pukla hráz, kterou vší silou zbudoval právě proti bezbřehému zoufalství."
"cleaning","clean","čistili","čistit","impf"," In the next cellar, several policemen were unpacking weapons and ammunition from crates, carefully cleaning the rifles and standing them in rows against the walls, and placing the boxed cartridges and hand grenades on boards laid across sawhorses."," Ve sklepě za ní vybalovalo několik policistů z bedniček nejrůznější zbraně a munici, pušky pečlivě čistili a stavěli do řad ke zdem, krabice s náboji a ruční granáty kladli na prkna položená přes kozy."
"placing","place","kladli","klást","impf"," In the next cellar, several policemen were unpacking weapons and ammunition from crates, carefully cleaning the rifles and standing them in rows against the walls, and placing the boxed cartridges and hand grenades on boards laid across sawhorses."," Ve sklepě za ní vybalovalo několik policistů z bedniček nejrůznější zbraně a munici, pušky pečlivě čistili a stavěli do řad ke zdem, krabice s náboji a ruční granáty kladli na prkna položená přes kozy."
"laid","lay","kladli","klást","impf"," In the next cellar, several policemen were unpacking weapons and ammunition from crates, carefully cleaning the rifles and standing them in rows against the walls, and placing the boxed cartridges and hand grenades on boards laid across sawhorses."," Ve sklepě za ní vybalovalo několik policistů z bedniček nejrůznější zbraně a munici, pušky pečlivě čistili a stavěli do řad ke zdem, krabice s náboji a ruční granáty kladli na prkna položená přes kozy."
"grew","grow","rostl","růst","impf"," Morava 's surprise grew."," Moravův údiv rostl."
"mean","mean","myslím","myslet","impf"," - Sir, he ... Karel ... I mean Mr. Malina sometimes talked too much, but he was n't the type to get involved in anything, especially anything political!"," - Pane, on Karel ... myslím pan Malina měl občas různé šplechty, ale jistě se do ničeho nezapletl, už nejmíň do politiky!"
"involved","involve","nezapletl","zaplést","pf"," - Sir, he ... Karel ... I mean Mr. Malina sometimes talked too much, but he was n't the type to get involved in anything, especially anything political!"," - Pane, on Karel ... myslím pan Malina měl občas různé šplechty, ale jistě se do ničeho nezapletl, už nejmíň do politiky!"
"let","let","Nenechal","nechat","pf"," - He would n't have let anyone stay over here, by any chance? Morava asked."," - Nenechal tu třebas někoho přespat? zeptal se Morava."
"asked","ask","zeptal","zeptat","pf"," - He would n't have let anyone stay over here, by any chance? Morava asked."," - Nenechal tu třebas někoho přespat? zeptal se Morava."
"looking","look","Hledáme","hledat","impf"," We 're looking for a man he was seen with the day before yesterday, that evening at the train station."," Hledáme muže, se kterým byl spatřen předevčírem večer u nádraží."
"seen","see","spatřen","spatřit","pf"," We 're looking for a man he was seen with the day before yesterday, that evening at the train station."," Hledáme muže, se kterým byl spatřen předevčírem večer u nádraží."
"chosen","choose","zvolen","zvolit","pf"," They had chosen a time when employees of large firms would be headed homeward for Sunday, and most Czechs would be busy in their gardens."," Byl zvolen čas, kdy se zaměstnanci velkých podniků rozjedou na neděli domů a většina Čechů se beztak věnuje zahrádkaření."
"complicated","complicate","komplikuje","komplikovat","impf"," General Vlasov 's corps of former Russian war prisoners was pressing toward the capital of the Protectorate, and this complicated the situation even further."," Situaci komplikuje nejvíc, že se k hlavnímu městu Protektorátu přitlačil i sbor generála Vlasova, složený z bývalých ruských válečných zajatců."
"managed","manage","podařilo","podařit","pf"," He got up, turned on the light, and managed to open the kitchen door noiselessly."," Vstal, rozsvítil a podařilo se mu bezhlučně otevřít spojovací dveře."
"open","open","otevřít","otevřít","pf"," He got up, turned on the light, and managed to open the kitchen door noiselessly."," Vstal, rozsvítil a podařilo se mu bezhlučně otevřít spojovací dveře."
"searched","search","hledal","hledat","impf"," He left the door ajar, and in the scattered beam of light he searched for the hanger with his dark suit on it."," Přivřel dveře a v rozptýleném paprsku světla hledal ramínko, na něž pověsila jeho tmavý oblek."
"returned","return","vracel","vracet","impf"," As he returned to the kitchen on tiptoes, he looked over at her one last time and found her eyes open."," Když se po špičkách vracel do kuchyně, aby se tam oblékl, pohlédl na ni naposled a našel otevřené oči."
"looked","look","pohlédl","pohlédnout","pf"," As he returned to the kitchen on tiptoes, he looked over at her one last time and found her eyes open."," Když se po špičkách vracel do kuchyně, aby se tam oblékl, pohlédl na ni naposled a našel otevřené oči."
"found","find","našel","najít","pf"," As he returned to the kitchen on tiptoes, he looked over at her one last time and found her eyes open."," Když se po špičkách vracel do kuchyně, aby se tam oblékl, pohlédl na ni naposled a našel otevřené oči."
"sensed","sense","vycítit","vycítit","pf"," She must have sensed it as well."," I ona to musela vycítit!"
"recognized","recognize","uznala","uznat","pf"," The whore in Brno had squirmed and squealed like a crazy woman, even fouled herself - ugh! that was what had repulsed him most afterward - while this woman had immediately recognized his AUTHORITY."," Zatímco ta brněnská děvka škemrala a ječela jak pominutá, dokonce se při tom podělala, fuj! právě to ho pak nejvíc odpuzovalo, tahle okamžitě uznala jeho PRÁVO."
"screamed","scream","nekřičela","křičet","impf"," Maybe she would n't have screamed without the gag, but he could n't have risked it."," Možná, že by byla nekřičela ani bez roubíku, ale to přece jenom nemohl riskovat."
"contradicting","contradict","odporovala","odporovat","impf"," In this dark hour, however, Grete 's character seemed suddenly different, contradicting her own confessions."," V téhle těžké hodině se mu Gretina povaha jevila náhle jinak, odporovala jejím vlastním přiznáním, Meckerleho líčení, ale i jeho osobní představě o ní, než mu oznámila, že schválně propásla poslední šanci úniku z pasti."
"sat","sit","seděli","sedět","impf"," They all sat motionless for several long seconds before Buback sensibly asked,"," Dlouhé vteřiny seděli všichni bez pohnutí, než se Buback opět věcně zeptal."
"asked","ask","zeptal","zeptat","pf"," They all sat motionless for several long seconds before Buback sensibly asked,"," Dlouhé vteřiny seděli všichni bez pohnutí, než se Buback opět věcně zeptal."
"said","say","řekl","říci","pf"," - At least, he said to himself in a low voice, - I 'll be with you sooner, my love."," - Alespoň, řekl snad přímo polohlasem, - budu dřív u tebe, milovaná."
"experienced","experience","zažil","zažít","pf"," When they finally ran up and showered him with praise for his amazing courage, he experienced a remarkable feeling."," K dyž k němu konečně doběhli a zahrnovali ho chválou za tu úžasnou odvahu, zažil nebývalý pocit."
"nodded","nod","Kývl","kývnout","pf"," He nodded, knowing that the majority of men from the Prague criminal police had formally passed the required examination in German, but like Litera could not hold a conversation;"," Kývl, věděl mezitím, že většina mužů z pražské kriminálky složila předepsanou zkoušku z němčiny jen formálně, ale podobně jako Litera neuměli v podstatě žblebtnout;"
"functioning","function","fungovala","fungovat","impf"," for ordinary workers the Reich offices had had to turn a blind eye to keep the Protectorate government functioning at all."," u řadových odborníků přimhuřovaly říšské úřady oči, aby správa Protektorátu vůbec fungovala."
"hiding","hide","skrývá","skrývat","impf"," - Whether he 's hiding there or not, Morava began in Czech, - he has Šebesta 's pistol, and yours were taken in the raid."," - Ať už se tam skrývá nebo ne, promluvil Morava česky, - má Šebestovu pistoli a vám je při razii vzali."
"taken","take","vzali","vzít","pf"," - Whether he 's hiding there or not, Morava began in Czech, - he has Šebesta 's pistol, and yours were taken in the raid."," - Ať už se tam skrývá nebo ne, promluvil Morava česky, - má Šebestovu pistoli a vám je při razii vzali."
"turned","turn","otočil","otočit","pf"," Angular Matlák turned toward the back and waved a powerful paw dismissively."," Hranatý Matlák se otočil dozadu a mávl mohutnou tlapou."
"waved","wave","mávl","mávnout","pf"," Angular Matlák turned toward the back and waved a powerful paw dismissively."," Hranatý Matlák se otočil dozadu a mávl mohutnou tlapou."
"give","give","Nepodáte","podat","pf"," If you do n't give me proof of your innocence, the Germans will be the next to ask."," Nepodáte - li důkaz o své nevině mně, požádají vás o něj Němci."
"ask","ask","požádají","požádat","pf"," If you do n't give me proof of your innocence, the Germans will be the next to ask."," Nepodáte - li důkaz o své nevině mně, požádají vás o něj Němci."
"reading","read","čte","číst","impf"," He 's reading my mind, Buback thought with amazement, and shot Malatínský an icy glare he had perfected."," Ten mládenec čte moje myšlenky, podivil se Buback a přispěl ledovým pohledem, který dobře ovládal."
"turned","turn","obrátil","obrátit","pf"," The interrogator turned to the local keeper of the peace."," Vyslýchající se obrátil k místnímu strážci pořádku."
"continued","continue","pokračoval","pokračovat","impf"," Then he relaxed into his armchair again and continued in an almost casual tone."," Pak se zas pohodlně opřel do křesla a pokračoval dál téměř lhostejným tónem."
"decided","decide","rozhodli","rozhodnout","pf"," - The imperial minister and an overwhelming majority of those present at the following session decided to interpret Plan Nero ( that 's what someone called it ) as a grave warning from the Führer, meant to galvanize the nation 's heroic resistance."," - Říšský ministr a s ním i valná většina z přítomných se na další poradě rozhodli interpretovat Akci Nero, jak ji kdosi nazval, jako Vůdcovu nejvážnější výstrahu, která má národ mobilizovat k heroickému odporu."
"called","call","nazval","nazvat","pf"," - The imperial minister and an overwhelming majority of those present at the following session decided to interpret Plan Nero ( that 's what someone called it ) as a grave warning from the Führer, meant to galvanize the nation 's heroic resistance."," - Říšský ministr a s ním i valná většina z přítomných se na další poradě rozhodli interpretovat Akci Nero, jak ji kdosi nazval, jako Vůdcovu nejvážnější výstrahu, která má národ mobilizovat k heroickému odporu."
"resolved","resolve","rozhodli","rozhodnout","pf"," They resolved unanimously to carry out the order - what else could they decide, of course - but to modify its goals."," Jednomyslně se rozhodli rozkaz provést, jak jinak! jen jej účelně modifikovat."
"decide","decide","rozhodli","rozhodnout","pf"," They resolved unanimously to carry out the order - what else could they decide, of course - but to modify its goals."," Jednomyslně se rozhodli rozkaz provést, jak jinak! jen jej účelně modifikovat."
"met","meet","splnili","splnit","pf"," - Using only our own modest forces we 've met the demands of our political and military leaders : an impassable city, the Germans in it momentarily paralyzed."," S našimi skromnými silami jsme splnili požadavky politického i vojenského vedení : město neprůchodné, Němci v něm zatím paralyzováni."
"saw","see","Viděl","vidět","impf"," He saw that Morava did not understand."," Viděl, že mu Morava nerozumí."
"saw","see","nerozumí","rozumět","impf"," He saw that Morava did not understand."," Viděl, že mu Morava nerozumí."
"understand","understand","nerozumí","rozumět","impf"," He saw that Morava did not understand."," Viděl, že mu Morava nerozumí."
"serve","serve","sloužit","sloužit","impf"," - I think of myself as one of a dying breed of civil servants, who stood apart from factions so they could serve the community."," - Počítám se k vymírajícímu druhu úředníků, kteří nikdy nepatřili partajím, aby mohli sloužit obci."
"welcomed","welcome","přivítal","přivítat","pf"," Those three hours running the show here, where he had been welcomed by the leaderless horde, had given him new ideas."," Tři hodiny, kdy velel zdejšímu cirkusu, který ho přivítal jak bezhlavá smečka, stačily, aby objevil nové možnosti."
"admire","admire","Obdivuju","obdivovat","impf"," I admire it all the more for being incapable of it myself."," Obdivuju to tím víc, čím míň jsem toho sama schopna."
"correct","correct","opravit","opravit","pf"," He remembered the young Czech woman again, but he did not have the strength or at the moment any reason to correct her."," Opět se mu vybavila mladá Češka, ale neměl ani sílu a zatím ani důvod opravit ji."
"talk","talk","vyprávěl","vyprávět","impf"," Instead, he gladly acceded to her next request, and began to talk about his wife and daughter."," Vyhověl naopak rád její prosbě a vyprávěl o své ženě a dceři."
"listened","listen","Naslouchala","naslouchat","impf"," She listened to him attentively, her palms planted firmly on the bench, and he soon noticed the burden of his grief lightening and dispersing slowly into his own words, melding painful facts into comforting memories."," Naslouchala mu pozorně, pevně opřena dlaněmi o lavici, a on už brzo zaznamenal, jak se nános smutku v něm uvolňuje a zvolna rozpouští v jeho vlastních slovech, přetavujících bolestivé děje v útěšnou vzpomínku."
"sent","send","Poslal","poslat","pf"," I sent everything to Pathology."," Poslal jsem všecko na patolku."
"saw","see","zažil","zažít","pf"," For the first time ever, Morava saw his boss shiver."," Morava poprvé zažil, že se šéf otřásl."
"go","go","Jdem","jít","impf"," - We 'll go with you, Beran decided."," - Jdem s váma, rozhodl Beran."
"decided","decide","rozhodl","rozhodnout","pf"," - We 'll go with you, Beran decided."," - Jdem s váma, rozhodl Beran."
"found","find","našli","najít","pf"," However, they found unbelievable riches in the icebox and the pantry : a hunk of Swiss Emmenthal, a slab of bacon, sardines, and nuts."," Zato v lednici a spíži našli dost neuvěřitelné poklady : kus švýcarského ementálu, plát slaniny, sardinky a ořechy."
"let","let","nechal","nechat","pf"," Why did you let me wait and lie for so long?"," Pročs mě nechal tak dlouho čekat a lhát?"
"wait","wait","čekat","čekat","impf"," Why did you let me wait and lie for so long?"," Pročs mě nechal tak dlouho čekat a lhát?"
"lie","lie","lhát","lhát","impf"," Why did you let me wait and lie for so long?"," Pročs mě nechal tak dlouho čekat a lhát?"
"held","hold","Držela","držet","impf"," She held his head in her outstretched arms and then pulled him close, covering his forehead, temples, eyes, and chin with almost childlike kisses."," Držela jeho hlavu v napjatých pažích nad svou a přitahovala se k ní, aby mu pokrývala čelo, spánky, oči i bradu skoro dětskými polibky."
"pulled","pull","přitahovala","přitahovat","impf"," She held his head in her outstretched arms and then pulled him close, covering his forehead, temples, eyes, and chin with almost childlike kisses."," Držela jeho hlavu v napjatých pažích nad svou a přitahovala se k ní, aby mu pokrývala čelo, spánky, oči i bradu skoro dětskými polibky."
"covering","cover","pokrývala","pokrývat","impf"," She held his head in her outstretched arms and then pulled him close, covering his forehead, temples, eyes, and chin with almost childlike kisses."," Držela jeho hlavu v napjatých pažích nad svou a přitahovala se k ní, aby mu pokrývala čelo, spánky, oči i bradu skoro dětskými polibky."
