"dance","dance","tančí","tančit","impf"," One tries to dance, lurching unbalanced, with a white marble statue;"," Jeden člověk tančí se sochou z bílého mramoru."
"deluded","delude","klamal","klamat","impf"," That same desperate site of hope within my mind deluded itself with dreams of you having stolen away from the castle already, not sanguine about my fate – as you seemed – at all, but secretly appalled at what you knew the lieutenant intended for me and determined to make your escape from the castle and her control."," Stejný zoufalý ostrůvek naděje v mé mysli se klamal sny o tom, že už jsi uprchla ( vůbec ne lhostejná k mému údělu, jak se zdálo, nýbrž v skrytu duše zhrozena tím, co pro mě velitelka chystá ) a rozhodla ses uniknout ze zámku i zpod její nadvlády."
"seemed","seem","zdálo","zdát","impf"," That same desperate site of hope within my mind deluded itself with dreams of you having stolen away from the castle already, not sanguine about my fate – as you seemed – at all, but secretly appalled at what you knew the lieutenant intended for me and determined to make your escape from the castle and her control."," Stejný zoufalý ostrůvek naděje v mé mysli se klamal sny o tom, že už jsi uprchla ( vůbec ne lhostejná k mému údělu, jak se zdálo, nýbrž v skrytu duše zhrozena tím, co pro mě velitelka chystá ) a rozhodla ses uniknout ze zámku i zpod její nadvlády."
"determined","determine","rozhodla","rozhodnout","pf"," That same desperate site of hope within my mind deluded itself with dreams of you having stolen away from the castle already, not sanguine about my fate – as you seemed – at all, but secretly appalled at what you knew the lieutenant intended for me and determined to make your escape from the castle and her control."," Stejný zoufalý ostrůvek naděje v mé mysli se klamal sny o tom, že už jsi uprchla ( vůbec ne lhostejná k mému údělu, jak se zdálo, nýbrž v skrytu duše zhrozena tím, co pro mě velitelka chystá ) a rozhodla ses uniknout ze zámku i zpod její nadvlády."
"imagining","imagine","představoval","představovat","impf"," Fantasies, my dear, and me all the more pitiful for imagining that not thinking such thoughts openly would somehow give them a better chance of reflecting the actuality of our circumstances."," Přeludy, drahá, a já jsem natolik k politování, abych si představoval, že když to nevyslovím otevřeně, bude větší naděje, že se mé myšlenky vyplní."
"give","give","nevyslovím","vyslovit","pf"," Fantasies, my dear, and me all the more pitiful for imagining that not thinking such thoughts openly would somehow give them a better chance of reflecting the actuality of our circumstances."," Přeludy, drahá, a já jsem natolik k politování, abych si představoval, že když to nevyslovím otevřeně, bude větší naděje, že se mé myšlenky vyplní."
"act","act","jednat","jednat","impf"," But now is now, now is demand, and I must act."," Ale teď je přítomnost a teď je potřeba jednat."
"try","try","Snažím","snažit","impf"," I try to shrug or scrape the helmet off, but fail."," Snažím se setřást nebo servat si přilbu, ale nedaří se mi to."
"decide","decide","Rozhodnu","rozhodnout","pf"," I decide to free my hands first."," Rozhodnu se nejdřív uvolnit ruce."
"free","free","uvolnit","uvolnit","pf"," I decide to free my hands first."," Rozhodnu se nejdřív uvolnit ruce."
"rest","rest","odpočívat","odpočívat","impf"," I intend only to rest, but fall asleep again, to be woken by the sounds of a key turning and a knock at the door."," Mám v úmyslu jen tak odpočívat, ale znovu usnu, a vzbudí mě až klíč v zámku a klepání na dveře."
"fall","fall","usnu","usnout","pf"," I intend only to rest, but fall asleep again, to be woken by the sounds of a key turning and a knock at the door."," Mám v úmyslu jen tak odpočívat, ale znovu usnu, a vzbudí mě až klíč v zámku a klepání na dveře."
"woken","wake","vzbudí","vzbudit","pf"," I intend only to rest, but fall asleep again, to be woken by the sounds of a key turning and a knock at the door."," Mám v úmyslu jen tak odpočívat, ale znovu usnu, a vzbudí mě až klíč v zámku a klepání na dveře."
"sit","sit","Posadím","posadit","pf"," I sit up, disoriented with the hollowness arising from sleep needlessly resumed and then uncomfortably interrupted."," Posadím se a jsem celý popletený zbytečným přispáváním, teď ještě k tomu nepříjemně přetrženým."
"brought","bring","Nesu","nést","impf"," I ’ ve brought some breakfast. ’"," Nesu vám snídani. """
"looks","look","Dívá","dívat","impf"," He looks apologetically at me."," Dívá se na mě omluvně."
"raising","raise","vytáhneš","vytáhnout","pf"," You buck, doubling, raising your head out, pale body naked, head and hair covered by the long white shroud of the soaked nightdress caught round your neck;"," Vzepřeš se, vytáhneš, vynoříš hlavu, bledé tělo nahé, hlava a vlasy zahalené dlouhým bílým rubášem promáčené noční košile vězící kolem krku;"
"drop","drop","pustí","pustit","pf"," They drop you again."," Znovu tě pustí."
"rise","rise","zvedneš","zvednout","pf"," the nightdress floats around you like a lily, then you rise to the air, gasping."," noční košile se kolem tebe vznáší jako leknín, pak se zvedneš na vzduch, popadáš dech."
"disappear","disappear","zmizíš","zmizet","pf"," The rope ’ s pulled tight once more and you disappear again, head pulled under."," Provaz se opět napne a ty zase zmizíš, hlavu pod vodou."
"expected","expect","Předpokládal","předpokládat","impf"," I expected a night of wild debauchery from our new guests, but the lieutenant – according to the whispers of our servants, as they come, escorted, to deliver and remove our meal – has ordered a double guard, no more than one bottle of wine per man, and decreed that our staff and those camping on the lawns be left unmolested."," Předpokládal jsem, že vypukne noc nevázaného hýření, avšak když nám sloužící v doprovodu vojáků přinášejí jídlo a vracejí se pro nádobí, šeptají nám kradí, že velitelka nařídila zdvojené hlídky, nejvýš jednu láhev vína na osobu a vydala svým mužům rozkaz, aby naše zaměstnance a lidi utábořené na trávnících nechali na pokoji."
"left","leave","nechali","nechat","pf"," I expected a night of wild debauchery from our new guests, but the lieutenant – according to the whispers of our servants, as they come, escorted, to deliver and remove our meal – has ordered a double guard, no more than one bottle of wine per man, and decreed that our staff and those camping on the lawns be left unmolested."," Předpokládal jsem, že vypukne noc nevázaného hýření, avšak když nám sloužící v doprovodu vojáků přinášejí jídlo a vracejí se pro nádobí, šeptají nám kradí, že velitelka nařídila zdvojené hlídky, nejvýš jednu láhev vína na osobu a vydala svým mužům rozkaz, aby naše zaměstnance a lidi utábořené na trávnících nechali na pokoji."
"walk","walk","Kráčím","kráčet","impf"," I walk across the sandy soil towards the mill, crouching and feeling foolish, but still afraid that there is somebody else here, more patient than I, lying watching and waiting with a gun."," Kráčím po písčité půdě k mlýnu, krčím se a připadám si hloupě, avšak stále se obávám, že je tu ještě někdo, trpělivější než já, leží, pozoruje s puškou v ruce a vyčkává."
"lying","lie","leží","ležet","impf"," I walk across the sandy soil towards the mill, crouching and feeling foolish, but still afraid that there is somebody else here, more patient than I, lying watching and waiting with a gun."," Kráčím po písčité půdě k mlýnu, krčím se a připadám si hloupě, avšak stále se obávám, že je tu ještě někdo, trpělivější než já, leží, pozoruje s puškou v ruce a vyčkává."
"watching","watch","pozoruje","pozorovat","impf"," I walk across the sandy soil towards the mill, crouching and feeling foolish, but still afraid that there is somebody else here, more patient than I, lying watching and waiting with a gun."," Kráčím po písčité půdě k mlýnu, krčím se a připadám si hloupě, avšak stále se obávám, že je tu ještě někdo, trpělivější než já, leží, pozoruje s puškou v ruce a vyčkává."
"watching","watch","vyčkává","vyčkávat","impf"," I walk across the sandy soil towards the mill, crouching and feeling foolish, but still afraid that there is somebody else here, more patient than I, lying watching and waiting with a gun."," Kráčím po písčité půdě k mlýnu, krčím se a připadám si hloupě, avšak stále se obávám, že je tu ještě někdo, trpělivější než já, leží, pozoruje s puškou v ruce a vyčkává."
"waiting","wait","vyčkává","vyčkávat","impf"," I walk across the sandy soil towards the mill, crouching and feeling foolish, but still afraid that there is somebody else here, more patient than I, lying watching and waiting with a gun."," Kráčím po písčité půdě k mlýnu, krčím se a připadám si hloupě, avšak stále se obávám, že je tu ještě někdo, trpělivější než já, leží, pozoruje s puškou v ruce a vyčkává."
"gazing","gaze","dívám","dívat","impf"," I stop by a stunted tree, gazing into the darkness of the mill ’ s doorway."," Zastavím se u polámaného stromu a dívám se do tmy mlýnských dveří."
"fall","fall","spadnu","spadnout","pf"," I duck and almost fall, but it is only the branches, moving in a faint breeze."," Ucuknu a málem spadnu, ale to se jenom větve hnuly v mírném vánku."
"moving","move","hnuly","hnout","pf"," I duck and almost fall, but it is only the branches, moving in a faint breeze."," Ucuknu a málem spadnu, ale to se jenom větve hnuly v mírném vánku."
"shouting","shout","řve","řvát","impf"," The fellow climbing the tapestry slips, tearing at it, shouting out as it divides in a great long rend that splits the fabric top to bottom and sends him crashing and laughing into a trolley packed with glasses and plates beneath."," Mládenec se na tapiserii smekne, natrhne ji a řve, padá a páře ji odshora až dolů, pak se s rámusem a smíchem zřítí na vozík naložený sklenicemi a talíři."
"crashing","crash","zřítí","zřítit","pf"," The fellow climbing the tapestry slips, tearing at it, shouting out as it divides in a great long rend that splits the fabric top to bottom and sends him crashing and laughing into a trolley packed with glasses and plates beneath."," Mládenec se na tapiserii smekne, natrhne ji a řve, padá a páře ji odshora až dolů, pak se s rámusem a smíchem zřítí na vozík naložený sklenicemi a talíři."
"asking","ask","Ptala","ptát","impf"," ‘ I was asking about guns, ’ she says."," "" Ptala jsem se na zbraně, "" naváže."
"need","need","potřebovat","potřebovat","impf"," ‘ We may need them for – ’"," "" Budeme je možná potřebovat na - """
"look","look","dívám","dívat","impf"," I stand slowly, and look down at the box beneath the coachman ’ s seat."," Pomalu se zvedám a dívám se dolů na bednu pod kozlíkem."
"expected","expect","čekal","čekat","impf"," The lieutenant ’ s body, one vertical half exposed, looks leaner than I ’ d expected."," Velitelčino tělo je nadélku z poloviny odhalené a vypadá štíhleji, než jsem čekal."
"try","try","snažili","snažit","impf"," all they did was try to unearth some booty in a building abandoned by its owners, not expecting to incur the lieutenant ’ s vengeful wrath."," snažili se všehovšudy dobýt nějakou kořist v domě opuštěném majiteli, a nečekali, že tím k sobě přivolají pomstychtivý hněv velitelky."
"expecting","expect","nečekali","čekat","impf"," all they did was try to unearth some booty in a building abandoned by its owners, not expecting to incur the lieutenant ’ s vengeful wrath."," snažili se všehovšudy dobýt nějakou kořist v domě opuštěném majiteli, a nečekali, že tím k sobě přivolají pomstychtivý hněv velitelky."
"pay","pay","zaplatili","zaplatit","pf"," ‘ And we made them pay quite dearly for such ... despicable desecration. ’"," "" A taky draze zaplatili za takové ... zavrženíhodné znesvěcení. """
"smiles","smile","Usměje","usmát","pf"," She smiles at me."," Usměje se na mě."
"ask","ask","ptám","ptát","impf"," ‘ And us? ’ I ask our lieutenant."," "" A co my? "" ptám se velitelky."
"intend","intend","hodláte","hodlat","impf"," ‘ How do you intend to treat us? ’"," "" Jak hodláte naložit s námi? """
"hope","hope","doufám","doufat","impf"," I display, I hope, no reaction."," Nedávám na sobě, doufám, nic znát."
"feels","feel","vnímáme","vnímat","impf"," in us the right feels and controls the left, the left the right, what we see is all inverted, and we are always in two minds."," pravou stranou vnímáme a ovládáme levou a levou zas pravou, vidíme převráceně a mysl máme rozpolcenou."
"controls","control","ovládáme","ovládat","impf"," in us the right feels and controls the left, the left the right, what we see is all inverted, and we are always in two minds."," pravou stranou vnímáme a ovládáme levou a levou zas pravou, vidíme převráceně a mysl máme rozpolcenou."
"see","see","vidíme","vidět","impf"," in us the right feels and controls the left, the left the right, what we see is all inverted, and we are always in two minds."," pravou stranou vnímáme a ovládáme levou a levou zas pravou, vidíme převráceně a mysl máme rozpolcenou."
"seen","see","viděl","vidět","impf"," Why, I have seen dead beasts, by mountain streams, by gas distended, quite pregnant with productive death."," Jářku, viděl jsem mrtvá zvířata, u horských bystřin, nafouklá plynem, přímo těhotná činnou smrtí."
"checks","check","kontroluje","kontrolovat","impf"," The lieutenant checks the maps with me."," Velitelka se mnou kontroluje mapy."
"opens","open","Otevřou","otevřít","pf"," A man I have not seen before – a farmer from his dress and manner – opens a stable door and leads out a dozen horses."," Otevřou se dveře stáje, vyjde člověk, kterého jsem nikdy neviděl - podle šatů a chování zdejší statkář -, a vyvádí dvanáct koní."
"seen","see","neviděl","vidět","impf"," A man I have not seen before – a farmer from his dress and manner – opens a stable door and leads out a dozen horses."," Otevřou se dveře stáje, vyjde člověk, kterého jsem nikdy neviděl - podle šatů a chování zdejší statkář -, a vyvádí dvanáct koní."
"wishing","wish","touží","toužit","impf"," desire expressed, wishing to impress."," vyjádření touhy, která se touží projevit."
"survives","survive","nepřežije","přežít","pf"," It is my estimation that, unless one ’ s involvement is peripheral, nobody survives a war;"," Moje domněnka je, že pokud nestojí vysloveně stranou, nepřežije válku nikdo;"
"repeat","repeat","zopakuji","zopakovat","pf"," I quietly repeat my excuse."," Tiše zopakuji svou omluvu."
"says","say","říká","říkat","impf"," ‘ But Morgan says you are a virtuoso! ’ she shouts, waving her bottle."," "" Ale Morgan říká, že jste virtuos! "" halasí a máchá láhví."
"think","think","Myslím","myslet","impf"," I do not think you afford the soldiers much sport, or perhaps their women prevail on most of them;"," Myslím, že pro vojáky nepředstavuješ velké povyražení, nebo na většinu zapůsobí jejich ženy;"
"think","think","Myslím","myslet","impf"," I think I see a trickle of blood on your chin, too."," Myslím, že ti na bradě vidím pramínek krve."
"see","see","vidím","vidět","impf"," I think I see a trickle of blood on your chin, too."," Myslím, že ti na bradě vidím pramínek krve."
"see","see","vidím","vidět","impf"," I believe I see you shiver."," Mám dojem, že vidím, jak se třeseš."
"shiver","shiver","třeseš","třást","impf"," I believe I see you shiver."," Mám dojem, že vidím, jak se třeseš."
"shouting","shout","řvou","řvát","impf"," The men are shouting and yelling, calling on me to come out."," Muži řvou a hulákají, volají na mě, ať se ukážu."
"yelling","yell","řvou","řvát","impf"," The men are shouting and yelling, calling on me to come out."," Muži řvou a hulákají, volají na mě, ať se ukážu."
"calling","call","řvou","řvát","impf"," The men are shouting and yelling, calling on me to come out."," Muži řvou a hulákají, volají na mě, ať se ukážu."
"calling","call","volají","volat","impf"," The men are shouting and yelling, calling on me to come out."," Muži řvou a hulákají, volají na mě, ať se ukážu."
"look","look","Pohlédnu","pohlédnout","pf"," I look up, sight constrained by my iron mask."," Pohlédnu vzhůru, zrak stísněný železnou maskou."
"nods","nod","přikývne","přikývnout","pf"," The lieutenant glances at us, nods, then fires."," Velitelka na nás mrkne, přikývne a pak vypálí."
"shouts","shout","křičí","křičet","impf"," ‘ Bad form, eh, Abel? ’ she shouts."," "" Špatná forma, co, Abeli? "" křičí."
"breaks","break","Zlomí","zlomit","pf"," She breaks the gun, and cartridges pop smoking out."," Zlomí pušku a vypadnou kouřící nábojnice."
"wait","wait","Počkám","počkat","pf"," I wait until the birds are in the air, then fire to miss, too low."," Počkám si, až jsou ptáci ve vzduchu, a pak schválně vypálím příliš nízko, abych minul."
"miss","miss","minul","minout","pf"," I wait until the birds are in the air, then fire to miss, too low."," Počkám si, až jsou ptáci ve vzduchu, a pak schválně vypálím příliš nízko, abych minul."
"inspects","inspect","Prohlíží","prohlížet","impf"," She inspects her nails."," Prohlíží si nehty."
"use","use","používat","používat","impf"," ‘ I ’ ll thank you not to use it. ’"," "" Budu vám vděčná, když to nebudete používat. """
"outdoing","outdo","překoná","překonat","pf"," I watch the day die slowly, the sunset ’ s gaudy show dragging clouds down with it and finally outdoing the castle ’ s last weak glow."," Dívám se, jak den zvolna umírá, křiklavá podívaná soumraku stahuje mraky s sebou a nakonec překoná i poslední slabou zář zámku."
"circling","circle","krouží","kroužit","impf"," A bird of prey, returning hunter, is circling and wheeling, rising and falling over the last surrendered warmth our home breathes up, cutting edges through that quiet grey smoke and surfacing beyond and banking back."," Dravý pták, lovec navrátilec, krouží a stáčí se, stoupá a klesá nad posledním teplem, které náš domov vydechuje, prudce zahýbá v tichém šedém dýmu, vynořuje se za ním a stáčí se zpátky."
"wheeling","wheel","krouží","kroužit","impf"," A bird of prey, returning hunter, is circling and wheeling, rising and falling over the last surrendered warmth our home breathes up, cutting edges through that quiet grey smoke and surfacing beyond and banking back."," Dravý pták, lovec navrátilec, krouží a stáčí se, stoupá a klesá nad posledním teplem, které náš domov vydechuje, prudce zahýbá v tichém šedém dýmu, vynořuje se za ním a stáčí se zpátky."
"rising","rise","stoupá","stoupat","impf"," A bird of prey, returning hunter, is circling and wheeling, rising and falling over the last surrendered warmth our home breathes up, cutting edges through that quiet grey smoke and surfacing beyond and banking back."," Dravý pták, lovec navrátilec, krouží a stáčí se, stoupá a klesá nad posledním teplem, které náš domov vydechuje, prudce zahýbá v tichém šedém dýmu, vynořuje se za ním a stáčí se zpátky."
"falling","fall","klesá","klesat","impf"," A bird of prey, returning hunter, is circling and wheeling, rising and falling over the last surrendered warmth our home breathes up, cutting edges through that quiet grey smoke and surfacing beyond and banking back."," Dravý pták, lovec navrátilec, krouží a stáčí se, stoupá a klesá nad posledním teplem, které náš domov vydechuje, prudce zahýbá v tichém šedém dýmu, vynořuje se za ním a stáčí se zpátky."
"breathes","breathe","vydechuje","vydechovat","impf"," A bird of prey, returning hunter, is circling and wheeling, rising and falling over the last surrendered warmth our home breathes up, cutting edges through that quiet grey smoke and surfacing beyond and banking back."," Dravý pták, lovec navrátilec, krouží a stáčí se, stoupá a klesá nad posledním teplem, které náš domov vydechuje, prudce zahýbá v tichém šedém dýmu, vynořuje se za ním a stáčí se zpátky."
"say","say","vyjádřila","vyjádřit","pf"," And you, my dear, you created our most fitting statement – though I could never say this to you, never hint that I even felt this way – by that one bloating of your own, when you gave birth, to death."," A ty, drahá, tys to za nás nejpřiléhavěji vyjádřila ( i když jsem ti své pocity nikdy nemohl sdělit ani naznačit ) vlastním vzdutím, když jsi porodila smrt."
"gave","give","vyjádřila","vyjádřit","pf"," And you, my dear, you created our most fitting statement – though I could never say this to you, never hint that I even felt this way – by that one bloating of your own, when you gave birth, to death."," A ty, drahá, tys to za nás nejpřiléhavěji vyjádřila ( i když jsem ti své pocity nikdy nemohl sdělit ani naznačit ) vlastním vzdutím, když jsi porodila smrt."
"hid","hide","skrývali","skrývat","impf"," ( That we hid, that we did conceal, fearful for the only time of our closeness, threatened by all that we shared."," ( To jsme tutlali, to jsme vskutku skrývali, jedinkrát za dobu našeho těsného vztahu jsme se báli, ohrožováni vším, co mezi námi bylo."
"conceal","conceal","skrývali","skrývat","impf"," ( That we hid, that we did conceal, fearful for the only time of our closeness, threatened by all that we shared."," ( To jsme tutlali, to jsme vskutku skrývali, jedinkrát za dobu našeho těsného vztahu jsme se báli, ohrožováni vším, co mezi námi bylo."
"threatened","threaten","ohrožováni","ohrožovat","impf"," ( That we hid, that we did conceal, fearful for the only time of our closeness, threatened by all that we shared."," ( To jsme tutlali, to jsme vskutku skrývali, jedinkrát za dobu našeho těsného vztahu jsme se báli, ohrožováni vším, co mezi námi bylo."
"see","see","nahlíželi","nahlížet","impf"," Within the transparent cover I can see part of the map we looked at earlier, in the library."," V průhledném obalu poznávám část mapy, do které jsme nahlíželi před chvílí v knihovně."
"rushes","rush","žene","hnát","impf"," Then the wind curls and rushes down again and sweeps my self-made shroud away."," Pak se vítr stočí, žene se zas pryč a můj odpařený rubáš odvane."
"see","see","dívám","dívat","impf"," I scan the castle ’ s windows and battlements for you, my dear, desperate to see your face."," Obhlížím okna a cimbuří a dívám se po tobě, drahá, zoufale chci vidět tvoji tvář."
"see","see","vidět","vidět","impf"," I scan the castle ’ s windows and battlements for you, my dear, desperate to see your face."," Obhlížím okna a cimbuří a dívám se po tobě, drahá, zoufale chci vidět tvoji tvář."
"keeping","keep","mít","mít","impf"," I make a remark about keeping occupied that meets with politeness rather than genuine appreciation."," Utrousím poznámku o tom, jak je dobré mít něco na práci, ale dočkám se spíš zdvořilého přitakání než nějakého skutečného pochopení."
"died","die","umřelo","umřít","pf"," I am told a child died yesterday."," prý tu včera někomu umřelo dítě."
"meet","meet","Setkávám","setkávat","impf"," I meet the wife of the village Factor tending a fire by one of the tents;"," Setkávám se se ženou vesnického správce, která u jednoho stanu udržuje oheň;"
"saw","see","viděli","vidět","impf"," we saw her husband yesterday on the road when the lieutenant intercepted us."," jejího manžela jsme včera viděli na silnici, když nás zadržela podporučice."
"look","look","Podívám","podívat","pf"," I look down at where its wheels passed, expecting ... but the bee, uncrushed, crawls on."," Podívám se dolů, kudy se prohnala kola a čekám, že ... ale včelička si nerušeně pochoduje dál."
"expecting","expect","čekám","čekat","impf"," I look down at where its wheels passed, expecting ... but the bee, uncrushed, crawls on."," Podívám se dolů, kudy se prohnala kola a čekám, že ... ale včelička si nerušeně pochoduje dál."
"leave","leave","odjíždíme","odjíždět","impf"," We leave quickly after that;"," Brzy nato odjíždíme;"
"takes","take","dělat","dělat","impf"," the truck takes the gun, booty and us, while the jeep leads the way, struggling with the weighty ammunition trailer."," náklaďák zvládne dělo, kořist i nás, džíp jede první a má co dělat s těžkým přívěsem naloženým municí."
"share","share","sdílíme","sdílet","impf"," But by being less than tender on occasion, I have made you rare, and what we share is not much shared."," Nebyl jsem dvakrát něžný, zato ty jsi jedinečná, a co společně sdílíme, nemůžeme sdělit společnosti."
"shared","share","sdílíme","sdílet","impf"," But by being less than tender on occasion, I have made you rare, and what we share is not much shared."," Nebyl jsem dvakrát něžný, zato ty jsi jedinečná, a co společně sdílíme, nemůžeme sdělit společnosti."
"watched","watch","Sledoval","sledovat","impf"," I have watched servants, farmhands, mechanics and secretaries make that backward beast, I have observed their palled equality with our own state, and been with that cosy ordinariness, that unthinkingly smug normality, perversely disgusted."," Sledoval jsem sluhy, rolníky, mechaniky a tajemníky, jak obecně obcují, pozoroval jsem jejich blazeovanou rovnost s naším stavem, a byl jsem tou útulnou obyčejností, tou nepředstavitelně ctihodnou normálností, zvráceně znechucen."
"observed","observe","Sledoval","sledovat","impf"," I have watched servants, farmhands, mechanics and secretaries make that backward beast, I have observed their palled equality with our own state, and been with that cosy ordinariness, that unthinkingly smug normality, perversely disgusted."," Sledoval jsem sluhy, rolníky, mechaniky a tajemníky, jak obecně obcují, pozoroval jsem jejich blazeovanou rovnost s naším stavem, a byl jsem tou útulnou obyčejností, tou nepředstavitelně ctihodnou normálností, zvráceně znechucen."
"watched","watch","pozoroval","pozorovat","impf"," I have watched servants, farmhands, mechanics and secretaries make that backward beast, I have observed their palled equality with our own state, and been with that cosy ordinariness, that unthinkingly smug normality, perversely disgusted."," Sledoval jsem sluhy, rolníky, mechaniky a tajemníky, jak obecně obcují, pozoroval jsem jejich blazeovanou rovnost s naším stavem, a byl jsem tou útulnou obyčejností, tou nepředstavitelně ctihodnou normálností, zvráceně znechucen."
"observed","observe","pozoroval","pozorovat","impf"," I have watched servants, farmhands, mechanics and secretaries make that backward beast, I have observed their palled equality with our own state, and been with that cosy ordinariness, that unthinkingly smug normality, perversely disgusted."," Sledoval jsem sluhy, rolníky, mechaniky a tajemníky, jak obecně obcují, pozoroval jsem jejich blazeovanou rovnost s naším stavem, a byl jsem tou útulnou obyčejností, tou nepředstavitelně ctihodnou normálností, zvráceně znechucen."
"disgusted","disgust","znechucen","znechutit","pf"," I have watched servants, farmhands, mechanics and secretaries make that backward beast, I have observed their palled equality with our own state, and been with that cosy ordinariness, that unthinkingly smug normality, perversely disgusted."," Sledoval jsem sluhy, rolníky, mechaniky a tajemníky, jak obecně obcují, pozoroval jsem jejich blazeovanou rovnost s naším stavem, a byl jsem tou útulnou obyčejností, tou nepředstavitelně ctihodnou normálností, zvráceně znechucen."
"admit","admit","uznat","uznat","pf"," Yet there is progress of a sort, I could admit;"," Přesto musím uznat, že existuje jistý pokrok;"
"believed","believe","věřili","věřit","impf"," we once believed in happy hunting grounds, houris, real palaces and places in the sky, and man-shaped gods."," kdysi jsme věřili ve věčná loviště, hurisky, paláce na nebesích, vzdušné zámky a bohy s lidskou podobou."
"says","say","říká","říkat","impf"," This will not go well, something says within me."," Tohle neproběhne hladce, říká mi něco uvnitř."
"forgotten","forget","zapomněla","zapomenout","pf"," ‘ You know I ’ ve forgotten the real name of every man in this squad?"," "" Víte, že jsem zapomněla jména úplně všech v tomhle oddílu?"
"helping","help","vedou","vést","impf"," they fight our fight for now and I pursue our own ends in helping them attempt to capture the gun."," zatím vedou i náš boj a já sleduji naše vlastní zájmy, když jim pomáhám zmocnit se děla."
"pursue","pursue","sleduji","sledovat","impf"," they fight our fight for now and I pursue our own ends in helping them attempt to capture the gun."," zatím vedou i náš boj a já sleduji naše vlastní zájmy, když jim pomáhám zmocnit se děla."
"helping","help","pomáhám","pomáhat","impf"," they fight our fight for now and I pursue our own ends in helping them attempt to capture the gun."," zatím vedou i náš boj a já sleduji naše vlastní zájmy, když jim pomáhám zmocnit se děla."
"destroying","destroy","nezničila","zničit","pf"," That weapon has the measure of us, and only luck prevented it from destroying half the castle – and you and I – with that first round this morning."," Ta zbraň nás má na mušce a jedině šťastná náhoda způsobila, že nezničila polovinu zámku - a tebe a mě - hned první ranou dnešního jitra."
"run","run","utéct","utéci","pf"," If they fail, I should be able to run, retreat with them, or even escape their company altogether."," V případě prohry bych měl mít šanci utéct, stáhnout se s nimi, či dokonce od nich uprchnout."
"escape","escape","utéct","utéci","pf"," If they fail, I should be able to run, retreat with them, or even escape their company altogether."," V případě prohry bych měl mít šanci utéct, stáhnout se s nimi, či dokonce od nich uprchnout."
"escape","escape","uprchnout","uprchnout","pf"," If they fail, I should be able to run, retreat with them, or even escape their company altogether."," V případě prohry bych měl mít šanci utéct, stáhnout se s nimi, či dokonce od nich uprchnout."
"illuminating","illuminate","osvětluje","osvětlovat","impf"," Beyond the short, dark tunnel there is a hint of firelight illuminating the broken balustrade of the moat bridge."," Na konci krátké tmavé chodby je vidět oheň, který osvětluje potlučenou balustrádu na můstku přes vodní příkop."
"infected","infect","nakazil","nakazit","pf"," What dreadful clichés war and social strife reduce us to, and how powerful the effect must be, if even I am so infected."," K jakému strašlivému kýči nás to válka a společenský svár dohánějí a jak mocný musí být ten účinek, když jsem se nakazil i já."
"think","think","měl","mít","impf"," I think I must pull myself together."," Asi bych se měl vzmužit."
"reaching","reach","Sahám","sahat","impf"," I am reaching for my handkerchief when you shrug and use the edge of a sheet, then suck on each finger in turn."," Sahám pro kapesník, ale ty mezitím pokrčíš rameny a posloužíš si cípem prostěradla a pak si ještě prsty jeden po druhém ocucáš."
"see","see","dívám","dívat","impf"," You see me looking at you and smile."," Všimneš si, že se na tebe dívám, a usměješ se."
"looking","look","dívám","dívat","impf"," You see me looking at you and smile."," Všimneš si, že se na tebe dívám, a usměješ se."
"smile","smile","usměješ","usmát","pf"," You see me looking at you and smile."," Všimneš si, že se na tebe dívám, a usměješ se."
"look","look","Dívám","dívat","impf"," I look at my home, as a golden shroud of wind and rain wraps round it, trying to see it as another might;"," Dívám se na svůj domov zahalený ve zlatistém pláštíku větru a deště a snažím se na něj pohlížet jako cizí člověk."
"see","see","Dívám","dívat","impf"," I look at my home, as a golden shroud of wind and rain wraps round it, trying to see it as another might;"," Dívám se na svůj domov zahalený ve zlatistém pláštíku větru a deště a snažím se na něj pohlížet jako cizí člověk."
"trying","try","snažím","snažit","impf"," I look at my home, as a golden shroud of wind and rain wraps round it, trying to see it as another might;"," Dívám se na svůj domov zahalený ve zlatistém pláštíku větru a deště a snažím se na něj pohlížet jako cizí člověk."
"circling","circle","krouží","kroužit","impf"," There is still dust or flour in the air, circling and settling as it backs away from the breeze from the doorway."," Ve vzduchu stále krouží prach nebo mouka a usazuje se mimo dosah průvanu ode dveří."
"think","think","neuvažovali","uvažovat","impf"," Our lieutenant ( though I ’ ll admit we did not think of her as such then ) is of average build, but with an air of gracefulness about her movements."," Naše podporučice ( pravda, tehdy jsme o ní jako o naší ještě neuvažovali ) je střední postavy a má docela půvabné pohyby."
"think","think","má","mít","impf"," Our lieutenant ( though I ’ ll admit we did not think of her as such then ) is of average build, but with an air of gracefulness about her movements."," Naše podporučice ( pravda, tehdy jsme o ní jako o naší ještě neuvažovali ) je střední postavy a má docela půvabné pohyby."
