"allowed","allow","nesměla","smět","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"explained","explain","vysvětlil","vysvětlit","pf"," ' This is a piece of ivory, charred in the fire, ' he explained."," "" Tohle je kousek slonoviny zuhelnatělé v ohni, "" vysvětlil."
"added","add","přidal","přidat","pf"," Dropping it in the bowl of the table, he added a gummy substance that smelled of animal."," Položil ji do důlku ve stole a přidal jakousi pružnou hmotu, z níž čišel zvířecí pach."
"pitied","pity","litovala","litovat","impf"," In fact I almost pitied her - her face was twisted by a cunning that gave a girl her age an ugly look."," Vlastně jsem ji skoro litovala - tvář měla zkřivenou prohnaností, jaká dívce jejího věku dodávala ošklivého vzezření."
"gave","give","dodávala","dodávat","impf"," In fact I almost pitied her - her face was twisted by a cunning that gave a girl her age an ugly look."," Vlastně jsem ji skoro litovala - tvář měla zkřivenou prohnaností, jaká dívce jejího věku dodávala ošklivého vzezření."
"arrange","arrange","zařídit","zařídit","pf"," Despite Tanneke 's confidence in her mistress ' ability to arrange things, it was a big family, with a big debt."," Přes Tannečinu důvěru ve schopnost její paní všechno zařídit, to byla velká rodina s velkými dluhy."
"slowed","slow","Zpomalila","zpomalit","pf"," She slowed down, and though she was clumsy she broke fewer things."," Zpomalila, takže i když byla neohrabaná, rozbila méně věcí."
"broke","break","rozbila","rozbít","pf"," She slowed down, and though she was clumsy she broke fewer things."," Zpomalila, takže i když byla neohrabaná, rozbila méně věcí."
"discovering","discover","objeví","objevit","pf"," I worried about her discovering the painting of me."," Měla jsem obavu, že objeví můj obraz."
"discover","discover","objevila","objevit","pf"," Luckily the stairs to the studio were becoming awkward for her to climb, so that she was unlikely to fling open the studio door and discover me in my chair, him at his easel."," Schody do ateliéru pro ni však naštěstí začínaly být obtížně zdolatelné, takže se nezdálo pravděpodobné, že by rozrazila dveře ateliéru a objevila mě na mé židli a jeho u malířského stojanu."
"took","take","Chopil","chopit","pf"," He took up his pole and pushed off."," Chopil se bidla a odrazil pryč."
"thought","think","zdálo","zdát","impf"," As I climbed the steps back to the street I thought I saw a movement in the middle window on the first floor, the room where he was."," Cestou po schodech nahoru zpátky na ulici se mi zdálo, že jsem zahlédla pohyb za prostředním oknem v prvním patře, v místnosti, kde byl on."
"saw","see","zahlédla","zahlédnout","pf"," As I climbed the steps back to the street I thought I saw a movement in the middle window on the first floor, the room where he was."," Cestou po schodech nahoru zpátky na ulici se mi zdálo, že jsem zahlédla pohyb za prostředním oknem v prvním patře, v místnosti, kde byl on."
"see","see","neviděla","vidět","impf"," I stared but could see nothing except the reflected sky."," Zadívala jsem se tam, neviděla jsem však nic než odraz oblohy."
"returned","return","vrátila","vrátit","pf"," Catharina returned while I was taking down laundry in the courtyard."," Catharina se vrátila, právě když jsem sundávala prádlo na dvorku."
"heard","hear","zaslechla","zaslechnout","pf"," I first heard her keys jangling in the hallway."," Nejprve jsem zaslechla cinkot jejích klíčů v chodbě."
"hung","hang","Visely","viset","impf"," They hung in a great bunch just below her waist, bouncing against her hip."," Visely jí ve velkém svazku těsně pod pasem a narážely jí do boku."
"looked","look","dívala","dívat","impf"," I looked at the painting for some time, trying to discover what was different about it that now made it complete."," Chvíli jsem se dívala na obraz a snažila jsem se objevit, co je na něm jiné a díky čemu je teď dokončený."
"trying","try","snažila","snažit","impf"," I looked at the painting for some time, trying to discover what was different about it that now made it complete."," Chvíli jsem se dívala na obraz a snažila jsem se objevit, co je na něm jiné a díky čemu je teď dokončený."
"discover","discover","objevit","objevit","pf"," I looked at the painting for some time, trying to discover what was different about it that now made it complete."," Chvíli jsem se dívala na obraz a snažila jsem se objevit, co je na něm jiné a díky čemu je teď dokončený."
"seen","see","nespatřila","spatřit","pf"," I had seen no changes in it over the past several days."," Posledních několik dní jsem na něm žádné změny nespatřila."
"entered","enter","vešel","vejít","pf"," I was still pondering when he entered."," Dosud jsem o tom hloubala, když vešel on."
"cleared","clear","neuklidila","uklidit","pf"," ' Griet, you 've not yet cleared up."," "" Griet, ty jsi ještě neuklidila."
"come","come","přišel","přijít","pf"," Be quick about it - I 've come to help you move the table. '"," Pospěš si s tím - přišel jsem ti pomoct přenést stůl. """
"help","help","pomoct","pomoci","pf"," Be quick about it - I 've come to help you move the table. '"," Pospěš si s tím - přišel jsem ti pomoct přenést stůl. """
"think","think","Nemyslela","myslet","impf"," I did not think I would have to see them, and when they came at noon it was Tanneke who took up wine as they gathered in the studio."," Nemyslela jsem, že se s nimi budu muset setkat, a když v poledne přišli, byla to Tanneke, kdo nahoru odnesl víno, jakmile se shromáždili v ateliéru."
"see","see","přišli","přijít","pf"," I did not think I would have to see them, and when they came at noon it was Tanneke who took up wine as they gathered in the studio."," Nemyslela jsem, že se s nimi budu muset setkat, a když v poledne přišli, byla to Tanneke, kdo nahoru odnesl víno, jakmile se shromáždili v ateliéru."
"came","come","přišli","přijít","pf"," I did not think I would have to see them, and when they came at noon it was Tanneke who took up wine as they gathered in the studio."," Nemyslela jsem, že se s nimi budu muset setkat, a když v poledne přišli, byla to Tanneke, kdo nahoru odnesl víno, jakmile se shromáždili v ateliéru."
"gathered","gather","shromáždili","shromáždit","pf"," I did not think I would have to see them, and when they came at noon it was Tanneke who took up wine as they gathered in the studio."," Nemyslela jsem, že se s nimi budu muset setkat, a když v poledne přišli, byla to Tanneke, kdo nahoru odnesl víno, jakmile se shromáždili v ateliéru."
"announced","announce","oznámila","oznámit","pf"," When she returned, however, she announced that I was to help her serve dinner rather than Maertge, who was old enough to join them at the table."," Po návratu mi však oznámila, že s podáváním oběda jí mám pomoci já místo Maertge, která už je dost velká na to, aby se k nim připojila u stolu."
"help","help","pomoci","pomoci","pf"," When she returned, however, she announced that I was to help her serve dinner rather than Maertge, who was old enough to join them at the table."," Po návratu mi však oznámila, že s podáváním oběda jí mám pomoci já místo Maertge, která už je dost velká na to, aby se k nim připojila u stolu."
"serve","serve","pomoci","pomoci","pf"," When she returned, however, she announced that I was to help her serve dinner rather than Maertge, who was old enough to join them at the table."," Po návratu mi však oznámila, že s podáváním oběda jí mám pomoci já místo Maertge, která už je dost velká na to, aby se k nim připojila u stolu."
"join","join","připojila","připojit","pf"," When she returned, however, she announced that I was to help her serve dinner rather than Maertge, who was old enough to join them at the table."," Po návratu mi však oznámila, že s podáváním oběda jí mám pomoci já místo Maertge, která už je dost velká na to, aby se k nim připojila u stolu."
"decided","decide","Rozhodla","rozhodnout","pf"," ' My mistress has decided this, ' she added."," "" Rozhodla o tom moje paní, "" dodala."
"added","add","dodala","dodat","pf"," ' My mistress has decided this, ' she added."," "" Rozhodla o tom moje paní, "" dodala."
"surprised","surprise","Překvapilo","překvapit","pf"," I was surprised - the last time they viewed their painting Maria Thins had tried to keep me away from van Ruijven."," Překvapilo mě to - když si svůj obraz prohlíželi minule, snažila se Maria Thins držet mě od van Ruijvena dál."
"viewed","view","prohlíželi","prohlížet","impf"," I was surprised - the last time they viewed their painting Maria Thins had tried to keep me away from van Ruijven."," Překvapilo mě to - když si svůj obraz prohlíželi minule, snažila se Maria Thins držet mě od van Ruijvena dál."
"tried","try","snažila","snažit","impf"," I was surprised - the last time they viewed their painting Maria Thins had tried to keep me away from van Ruijven."," Překvapilo mě to - když si svůj obraz prohlíželi minule, snažila se Maria Thins držet mě od van Ruijvena dál."
"keep","keep","držet","držet","impf"," I was surprised - the last time they viewed their painting Maria Thins had tried to keep me away from van Ruijven."," Překvapilo mě to - když si svůj obraz prohlíželi minule, snažila se Maria Thins držet mě od van Ruijvena dál."
"seen","see","vidět","vidět","impf"," ' It ca n't be seen in the painting. '"," "" Ta není na obrazu vidět. """
"wear","wear","trval","trvat","impf"," ' You must wear both, ' he insisted."," "" Musíš si vzít obě, "" trval na svém."
"insisted","insist","trval","trvat","impf"," ' You must wear both, ' he insisted."," "" Musíš si vzít obě, "" trval na svém."
"wear","wear","mít","mít","impf"," ' It is a farce to wear only one. '"," "" Je fraška mít jenom jednu. """
"took","take","vzala","vzít","pf"," I reached over and took it."," Natáhla jsem se a vzala si ji."
"did","do","Udělala","udělat","pf"," I did it for him."," Udělala jsem to pro něj."
"Go","go","Jdi","jít","impf"," ' Go to him, ' she whispered, ' and bring him to us. '"," "" Jdi za ním, "" zašeptala, "" a přiveď ho k nám. """
"whispered","whisper","zašeptala","zašeptat","pf"," ' Go to him, ' she whispered, ' and bring him to us. '"," "" Jdi za ním, "" zašeptala, "" a přiveď ho k nám. """
"bring","bring","přiveď","přivést","pf"," ' Go to him, ' she whispered, ' and bring him to us. '"," "" Jdi za ním, "" zašeptala, "" a přiveď ho k nám. """
"obeyed","obey","Poslechla","poslechnout","pf"," I obeyed her and went up to Pieter."," Poslechla jsem ji a šla jsem k Pieterovi."
"went","go","šla","jít","impf"," I obeyed her and went up to Pieter."," Poslechla jsem ji a šla jsem k Pieterovi."
"take","take","potrvá","trvat","impf"," It may take some time. '"," Zřejmě to ještě chvíli potrvá. """
"appeared","appear","objevila","objevit","pf"," Catharina appeared at the door, looking hot and tired, though the sun was not yet at its highest."," Catharina se objevila ve dveřích, rozpálená a unavená, ačkoli slunce ještě nedostoupilo vrcholu."
"wore","wear","neměla","mít","impf"," Her blonde hair was frizzier than ever, especially as she wore no cap to smooth it."," Plavé vlasy sejí kudrnatily víc než jindy, hlavně proto, že neměla čepec, jenž by je přihladil."
"cleaning","clean","uklízela","uklízet","impf"," One morning while I was cleaning he came in and asked me to stand in for the baker 's daughter, who had taken ill and could not come."," Jednoho rána, když jsem uklízela, mě přišel požádat, abych zaskočila za pekařovu dceru, která onemocněla a nemůže se dostavit."
"came","come","přišel","přijít","pf"," One morning while I was cleaning he came in and asked me to stand in for the baker 's daughter, who had taken ill and could not come."," Jednoho rána, když jsem uklízela, mě přišel požádat, abych zaskočila za pekařovu dceru, která onemocněla a nemůže se dostavit."
"come","come","přišel","přijít","pf"," One morning while I was cleaning he came in and asked me to stand in for the baker 's daughter, who had taken ill and could not come."," Jednoho rána, když jsem uklízela, mě přišel požádat, abych zaskočila za pekařovu dceru, která onemocněla a nemůže se dostavit."
"asked","ask","požádat","požádat","pf"," One morning while I was cleaning he came in and asked me to stand in for the baker 's daughter, who had taken ill and could not come."," Jednoho rána, když jsem uklízela, mě přišel požádat, abych zaskočila za pekařovu dceru, která onemocněla a nemůže se dostavit."
"want","want","Chci","chtít","impf"," ' I want to look for a moment, ' he explained."," "" Chci se chvíli dívat, "" vysvětlil."
"look","look","dívat","dívat","impf"," ' I want to look for a moment, ' he explained."," "" Chci se chvíli dívat, "" vysvětlil."
"explained","explain","vysvětlil","vysvětlit","pf"," ' I want to look for a moment, ' he explained."," "" Chci se chvíli dívat, "" vysvětlil."
"took","take","zaujala","zaujmout","pf"," I obediently took her place, one hand on the handle of the water pitcher, the other on the window frame, opened slightly so that a chilly draught brushed my face and chest."," Poslušně jsem zaujala její místo s jednou rukou na uchu džbánu s vodou a s druhou na okenním rámu, který byl lehce pootevřený, takže mi tvář a hrudník ovíval chladný průvan."
"turned","turn","Odvrátila","odvrátit","pf"," I turned my head so that my cap hid my face."," Odvrátila jsem hlavu, aby mi čepec zakryl obličej."
"hid","hide","zakryl","zakrýt","pf"," I turned my head so that my cap hid my face."," Odvrátila jsem hlavu, aby mi čepec zakryl obličej."
"keep","keep","nech","nechat","pf"," You keep your thoughts to yourself here."," Svoje myšlenky si tu nech pro sebe."
"work","work","pracovat","pracovat","impf"," So, you 're to work for my daughter."," Máš u nás pracovat pro mou dceru."
"explain","explain","vysvětlí","vysvětlit","pf"," Tanneke here will show you around and explain your duties. '"," Tady Tanneke tě provede a vysvětlí ti tvé povinnosti. """
"nodded","nod","Přikývla","přikývnout","pf"," I nodded."," Přikývla jsem."
"thought","think","pomyslela","pomyslet","pf"," And I thought again, as I had on my first day :"," A znovu jsem si pomyslela, stejně jako v onen první den :"
"avoided","avoid","vyhýbala","vyhýbat","impf"," Though I did not make a show of it, I avoided Cornelia as I did her mother."," I když jsem to nedávala příliš najevo, vyhýbala jsem se Cornelii stejně jako její matce."
"wish","wish","Nechtěla","chtít","impf"," I did not wish to encourage her."," Nechtěla jsem ji provokovat."
"hid","hide","Schovala","schovat","pf"," I hid the broken tile, my best lace collar which my mother had made for me and my finest embroidered handkerchief, so that she could not use them against me."," Schovala jsem rozbitý kachel, svůj nejlepší krajkový límec, který mi vyrobila matka, i svůj nejkrásnější vyšívaný kapesník, aby tyto věci nemohla použít proti mně."
"made","make","vyrobila","vyrobit","pf"," I hid the broken tile, my best lace collar which my mother had made for me and my finest embroidered handkerchief, so that she could not use them against me."," Schovala jsem rozbitý kachel, svůj nejlepší krajkový límec, který mi vyrobila matka, i svůj nejkrásnější vyšívaný kapesník, aby tyto věci nemohla použít proti mně."
"use","use","použít","použít","pf"," I hid the broken tile, my best lace collar which my mother had made for me and my finest embroidered handkerchief, so that she could not use them against me."," Schovala jsem rozbitý kachel, svůj nejlepší krajkový límec, který mi vyrobila matka, i svůj nejkrásnější vyšívaný kapesník, aby tyto věci nemohla použít proti mně."
"cleared","clear","sklidily","sklidit","pf"," After we had cleared up I went back to the courtyard to finish rinsing the laundry."," Jakmile jsme sklidily, vrátila jsem se na dvorek, abych dokončila máchání prádla."
"finish","finish","dokončila","dokončit","pf"," After we had cleared up I went back to the courtyard to finish rinsing the laundry."," Jakmile jsme sklidily, vrátila jsem se na dvorek, abych dokončila máchání prádla."
"reheat","reheat","ohřát","ohřát","pf"," I had to haul in new water and reheat it."," Musela jsem nanosit novou vodu a znovu ji ohřát."
"worked","work","pracovala","pracovat","impf"," While I worked Catharina slept in the great hall."," Zatímco jsem pracovala, Catharina spala ve velké síni."
"slept","sleep","spala","spát","impf"," While I worked Catharina slept in the great hall."," Zatímco jsem pracovala, Catharina spala ve velké síni."
"smoked","smoke","kouřila","kouřit","impf"," Maria Thins smoked and wrote letters in the Crucifixion room."," Maria Thins kouřila a psala dopisy v síni Ukřižování."
"wrote","write","psala","psát","impf"," Maria Thins smoked and wrote letters in the Crucifixion room."," Maria Thins kouřila a psala dopisy v síni Ukřižování."
"sat","sit","seděla","sedět","impf"," Tanneke sat in the front doorway and sewed."," Tanneke seděla ve vchodových dveřích a šila."
"sewed","sew","šila","šít","impf"," Tanneke sat in the front doorway and sewed."," Tanneke seděla ve vchodových dveřích a šila."
"made","make","vyráběla","vyrábět","impf"," Maertge perched on the bench and made lace."," Maertge trůnila na lavičce a vyráběla krajku."
"sorted","sort","třídily","třídit","impf"," Next to her Aleydis and Lisbeth sorted their shell collection."," Aleydis a Lisbeth vedle ní třídily svou sbírku mušlí."
"see","see","neviděla","vidět","impf"," I did not see Cornelia."," Cornelii jsem neviděla."
"went","go","chodil","chodit","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"coming","come","chodil","chodit","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"coming","come","chodil","chodit","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"going","go","chodil","chodit","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"escape","escape","unikl","uniknout","pf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"went","go","odchází","odcházet","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"leaving","leave","odchází","odcházet","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"going","go","odchází","odcházet","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"looking","look","hledá","hledat","impf"," Although he went out a great deal - in part to escape Franciscus ' crying - I always seemed to be coming in the front door as he was leaving, or coming down the stairs as he was going up, or sweeping the Crucifixion room when he was looking for Maria Thins there."," Ačkoli chodil hodně ven - zčásti proto, aby unikl Franciskovu pláči - vypadalo to, že se vždycky blížím ke vstupním dveřím právě ve chvíli, kdy on odchází, nebo scházím ze schodů, když on kráčí nahoru, případně zametám v síni Ukřižování, zrovna když on tam hledá Marii Thins."
"met","meet","potkala","potkat","pf"," One day on an errand for Catharina I even met him in Market Square."," Jednoho dne jsem ho během pochůzky pro Catharinu dokonce potkala na Tržním náměstí."
"pass","pass","projít","projít","pf"," Each time he nodded politely, then stepped aside to let me pass without looking at me."," Pokaždé zdvořile pokývl hlavou a ustoupil stranou, abych mohla projít, aniž se na mě podíval."
"looking","look","podíval","podívat","pf"," Each time he nodded politely, then stepped aside to let me pass without looking at me."," Pokaždé zdvořile pokývl hlavou a ustoupil stranou, abych mohla projít, aniž se na mě podíval."
"stop","stop","přestat","přestat","pf"," It became as hard to stop looking into the box as it had been to take my eyes from the painting of the woman with the pearl necklace the first time I 'd seen it."," Najednou se ukázalo, že je stejně těžké přestat se do skříňky dívat, jako předtím odtrhnout oči od obrazu ženy s perlovým náhrdelníkem, když jsem jej spatřila poprvé."
"looking","look","dívat","dívat","impf"," It became as hard to stop looking into the box as it had been to take my eyes from the painting of the woman with the pearl necklace the first time I 'd seen it."," Najednou se ukázalo, že je stejně těžké přestat se do skříňky dívat, jako předtím odtrhnout oči od obrazu ženy s perlovým náhrdelníkem, když jsem jej spatřila poprvé."
"seen","see","dívat","dívat","impf"," It became as hard to stop looking into the box as it had been to take my eyes from the painting of the woman with the pearl necklace the first time I 'd seen it."," Najednou se ukázalo, že je stejně těžké přestat se do skříňky dívat, jako předtím odtrhnout oči od obrazu ženy s perlovým náhrdelníkem, když jsem jej spatřila poprvé."
"seen","see","spatřila","spatřit","pf"," It became as hard to stop looking into the box as it had been to take my eyes from the painting of the woman with the pearl necklace the first time I 'd seen it."," Najednou se ukázalo, že je stejně těžké přestat se do skříňky dívat, jako předtím odtrhnout oči od obrazu ženy s perlovým náhrdelníkem, když jsem jej spatřila poprvé."
"heard","hear","zaslechla","zaslechnout","pf"," When I heard the tap on the door I just had time to straighten up and let the robe drop to my shoulders before he walked in."," Jakmile jsem zaslechla klepání na dveře, jen taktak jsem se stačila narovnat a nechat si župan sklouznout na ramena dřív, než vešel dovnitř."
"straighten","straighten","narovnat","narovnat","pf"," When I heard the tap on the door I just had time to straighten up and let the robe drop to my shoulders before he walked in."," Jakmile jsem zaslechla klepání na dveře, jen taktak jsem se stačila narovnat a nechat si župan sklouznout na ramena dřív, než vešel dovnitř."
"let","let","nechat","nechat","pf"," When I heard the tap on the door I just had time to straighten up and let the robe drop to my shoulders before he walked in."," Jakmile jsem zaslechla klepání na dveře, jen taktak jsem se stačila narovnat a nechat si župan sklouznout na ramena dřív, než vešel dovnitř."
"looked","look","Podívala","podívat","pf"," ' Have you looked again, Griet?"," "" Podívala jsi se znovu, Griet?"
"seen","see","viděla","vidět","impf"," ' I have looked, sir, but I am not at all sure of what I have seen. '"," "" Dívala jsem se, pane, ale nejsem si vůbec jistá tím, co jsem viděla. """
"said","say","řekla","říci","pf"," Although I knew it would be easier for everyone if I said I had stolen them, I could not lie about myself."," Ačkoli jsem věděla, že by pro všechny bylo snazší, kdybych řekla, že jsem je ukradla, nedokázala jsem o sobě lhát."
"stolen","steal","ukradla","ukrást","pf"," Although I knew it would be easier for everyone if I said I had stolen them, I could not lie about myself."," Ačkoli jsem věděla, že by pro všechny bylo snazší, kdybych řekla, že jsem je ukradla, nedokázala jsem o sobě lhát."
"lie","lie","lhát","lhát","impf"," Although I knew it would be easier for everyone if I said I had stolen them, I could not lie about myself."," Ačkoli jsem věděla, že by pro všechny bylo snazší, kdybych řekla, že jsem je ukradla, nedokázala jsem o sobě lhát."
"lie","lie","Nelži","lhát","impf"," ' Do n't lie to me."," "" Nelži mi."
"steal","steal","kradou","krást","impf"," Maids steal all the time."," Služky kradou v jednom kuse."
"took","take","Vzala","vzít","pf"," You took my earrings! '"," Vzala jsi moje náušnice! """
"missing","miss","chybí","chybit","pf"," ' Are they missing now, madam? '"," "" Ony vám teď chybí, paní? """
"seeing","see","spatřila","spatřit","pf"," She had obviously not checked her jewellery box since seeing the painting."," Od chvíle, kdy obraz spatřila, zjevně svou šperkovnici nezkontrolovala."
"checked","check","nezkontrolovala","zkontrolovat","pf"," She had obviously not checked her jewellery box since seeing the painting."," Od chvíle, kdy obraz spatřila, zjevně svou šperkovnici nezkontrolovala."
"seeing","see","nezkontrolovala","zkontrolovat","pf"," She had obviously not checked her jewellery box since seeing the painting."," Od chvíle, kdy obraz spatřila, zjevně svou šperkovnici nezkontrolovala."
"said","say","neřekly","říci","pf"," We said nothing in the kitchen, but it was she who made the trips back to the table to bring out the gravy, to refill the wine, to serve more food, while I looked after things in the kitchen."," V kuchyni jsme si nic neřekly, byla to však ona, kdo podnikal cesty zpátky ke stolu s omáčkou, dolít víno či servírovat další jídlo, zatímco já jsem dohlížela na všechno v kuchyni."
"looked","look","dohlížela","dohlížet","impf"," We said nothing in the kitchen, but it was she who made the trips back to the table to bring out the gravy, to refill the wine, to serve more food, while I looked after things in the kitchen."," V kuchyni jsme si nic neřekly, byla to však ona, kdo podnikal cesty zpátky ke stolu s omáčkou, dolít víno či servírovat další jídlo, zatímco já jsem dohlížela na všechno v kuchyni."
"went","go","šla","jít","impf"," Tanneke went directly to van Ruijven 's place while I took up plates at the other end of the table."," Tanneke šla rovnou k van Ruijvenově místu, zatímco já jsem sbírala talíře na druhém konci stolu."
"followed","follow","sledovaly","sledovat","impf"," Van Ruijven 's eyes followed me everywhere."," Van Ruijvenovy oči mě všude sledovaly."
"wiped","wipe","otřela","otřít","pf"," I quickly wiped my hands, removed the apron I wore for attic work and changed into my daily apron before climbing down the ladder to her."," Rychle jsem si otřela ruce, sundala jsem zástěru, kterou jsem nosila při práci na půdě, a převlékla jsem se do své denní zástěry, nežli jsem sestoupila po žebříku dolů k ní."
"removed","remove","sundala","sundat","pf"," I quickly wiped my hands, removed the apron I wore for attic work and changed into my daily apron before climbing down the ladder to her."," Rychle jsem si otřela ruce, sundala jsem zástěru, kterou jsem nosila při práci na půdě, a převlékla jsem se do své denní zástěry, nežli jsem sestoupila po žebříku dolů k ní."
"wore","wear","nosila","nosit","impf"," I quickly wiped my hands, removed the apron I wore for attic work and changed into my daily apron before climbing down the ladder to her."," Rychle jsem si otřela ruce, sundala jsem zástěru, kterou jsem nosila při práci na půdě, a převlékla jsem se do své denní zástěry, nežli jsem sestoupila po žebříku dolů k ní."
"tempted","tempt","lákalo","lákat","impf"," She stood on the threshold of the studio, looking as if she were standing at the edge of a puddle and tempted to step in it."," Stála na prahu ateliéru a vypadala, jako by postávala na okraji kaluže a lákalo ji do ní šlápnout."
"step","step","šlápnout","šlápnout","pf"," She stood on the threshold of the studio, looking as if she were standing at the edge of a puddle and tempted to step in it."," Stála na prahu ateliéru a vypadala, jako by postávala na okraji kaluže a lákalo ji do ní šlápnout."
"wants","want","hledá","hledat","impf"," ' Tanneke wants you. '"," "" Tanneke tě hledá. """
"turned","turn","otočila","otočit","pf"," Cornelia turned and led the way to the stairs."," Cornelia se otočila a zamířila ke schodům."
"turned","turn","zamířila","zamířit","pf"," Cornelia turned and led the way to the stairs."," Cornelia se otočila a zamířila ke schodům."
"hesitated","hesitate","zaváhala","zaváhat","pf"," She hesitated at the top."," Nahoře zaváhala."
"nodded","nod","Přikývla","přikývnout","pf"," I nodded."," Přikývla jsem."
"leaned","lean","Opřela","opřít","pf"," She leaned back in her chair and puffed on her pipe."," Opřela se v židli dozadu a zabafala z dýmky."
"Tell","tell","Pověz","povědět","pf"," ' Tell me, what would you think of being in such a painting? '"," "" Pověz mi, co by sis myslela o tom, že se na takovém obraze ocitneš? """
"think","think","myslela","myslet","impf"," ' Tell me, what would you think of being in such a painting? '"," "" Pověz mi, co by sis myslela o tom, že se na takovém obraze ocitneš? """
"answer","answer","odpovědět","odpovědět","pf"," I did not know what to answer."," Nevěděla jsem co odpovědět."
"ask","ask","ptát","ptát","impf"," ' I would n't bother to ask some people that."," "" Některých lidí bych se na to ptát neobtěžovala."
"bother","bother","neobtěžovala","obtěžovat","impf"," ' I would n't bother to ask some people that."," "" Některých lidí bych se na to ptát neobtěžovala."
"painted","paint","maloval","malovat","impf"," When he painted her she stood there happily pouring milk for months without a thought passing through that head, God love her."," Když maloval ji, spokojeně tam stála a nalévala mléko celé měsíce, aniž jí hlavou prošla jediná myšlenka, Bůh ji uchovej."
"passing","pass","prošla","projít","pf"," When he painted her she stood there happily pouring milk for months without a thought passing through that head, God love her."," Když maloval ji, spokojeně tam stála a nalévala mléko celé měsíce, aniž jí hlavou prošla jediná myšlenka, Bůh ji uchovej."
"saw","see","Viděl","vidět","impf"," He saw things in a way that others did not, so that a city I had lived in all my life seemed a different place, so that a woman became beautiful with the light on her face."," Viděl věci způsobem, jakým je druzí neviděli, takže město, v němž jsem prožila celý svůj život, se náhle zdálo jako nějaké jiné místo a žena díky světlu na své tváři zkrásněla."
