"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"say","say","vyjádřil","vyjádřit","pf"," “ Then you must know, as well as the rest of us, that there was something queer about that gentleman - something that gave a man a turn - I don ’ t know rightly how to say it, sir, beyond this : that you felt in your marrow - kind of cold and thin. ”"," "" Tak musíte vědět, jako to víme my všichni, že byl nějaký divný - člověku se z něho dělalo až nanic - nevím, jak bych to správně vyjádřil, pane Uttersone - asi takhle : člověka z něho mrazilo až do morku kostí - takový studený a vyzáblý. """
"own","own","přiznat","přiznat","pf"," “ I own I felt something of what you describe, ” said Mr Utterson."," "" Musím se přiznat, že jsem také měl podobný pocit, "" řekl pan Utterson."
"own","own","měl","mít","impf"," “ I own I felt something of what you describe, ” said Mr Utterson."," "" Musím se přiznat, že jsem také měl podobný pocit, "" řekl pan Utterson."
"said","say","řekl","říci","pf"," “ I own I felt something of what you describe, ” said Mr Utterson."," "" Musím se přiznat, že jsem také měl podobný pocit, "" řekl pan Utterson."
"start","start","Začneš","začít","pf"," You start a question, and it ’ s like starting a stone."," Začneš s otázkou, a je to, jako když svalíš s kopce kámen."
"starting","start","Začneš","začít","pf"," You start a question, and it ’ s like starting a stone."," Začneš s otázkou, a je to, jako když svalíš s kopce kámen."
"sit","sit","Sedíš","sedět","impf"," You sit quietly on the top of a hill; and away the stone goes, starting others; and presently some bland old bird ( the last you would have thought of ) is knocked on the head in his own back garden, and the family have to change their name."," Sedíš klidně nahoře - a kámen se kulí dolů a strhuje s sebou jiné, a najednou jakýsi milý chlapík, který si hoví v zahrádce za domem ( na kterého by sis ani nevzpomněl ), dostane po hlavě a jeho rodina si musí změnit jméno."
"thought","think","nevzpomněl","vzpomenout","pf"," You sit quietly on the top of a hill; and away the stone goes, starting others; and presently some bland old bird ( the last you would have thought of ) is knocked on the head in his own back garden, and the family have to change their name."," Sedíš klidně nahoře - a kámen se kulí dolů a strhuje s sebou jiné, a najednou jakýsi milý chlapík, který si hoví v zahrádce za domem ( na kterého by sis ani nevzpomněl ), dostane po hlavě a jeho rodina si musí změnit jméno."
"change","change","změnit","změnit","pf"," You sit quietly on the top of a hill; and away the stone goes, starting others; and presently some bland old bird ( the last you would have thought of ) is knocked on the head in his own back garden, and the family have to change their name."," Sedíš klidně nahoře - a kámen se kulí dolů a strhuje s sebou jiné, a najednou jakýsi milý chlapík, který si hoví v zahrádce za domem ( na kterého by sis ani nevzpomněl ), dostane po hlavě a jeho rodina si musí změnit jméno."
"opening","open","otevřel","otevřít","pf"," But this danger was easily eliminated from the future by opening an account at another bank in the name of Edward Hyde himself; and when, by sloping my own hand backwards, I had supplied my double with a signature, I thought I sat beyond the reach of fate."," Ale tomuto nebezpečí jsem se pro příště snadno vyhnul tím, že jsem si v jiné bance otevřel účet na jméno Edwarda Hyda, a jakmile jsem jej svému dvojníkovi zajistil podpisem, jenže písmem skloněným na opačnou stranu, byl jsem přesvědčen, že jsem se vymkl z dosahu osudu."
"supplied","supply","zajistil","zajistit","pf"," But this danger was easily eliminated from the future by opening an account at another bank in the name of Edward Hyde himself; and when, by sloping my own hand backwards, I had supplied my double with a signature, I thought I sat beyond the reach of fate."," Ale tomuto nebezpečí jsem se pro příště snadno vyhnul tím, že jsem si v jiné bance otevřel účet na jméno Edwarda Hyda, a jakmile jsem jej svému dvojníkovi zajistil podpisem, jenže písmem skloněným na opačnou stranu, byl jsem přesvědčen, že jsem se vymkl z dosahu osudu."
"returned","return","vrátil","vrátit","pf"," Some two months before the murder of Sir Danvers, I had been out for one of my adventures, had returned at a late hour, and woke the next day in bed with somewhat odd sensations."," Asi dva měsíce před zavražděním sira Danverse jsem zase byl na jedné ze svých dobrodružných výprav, vrátil jsem se domů hodně pozdě a ráno jsem se v posteli probudil s trochu podivnými pocity."
"woke","wake","probudil","probudit","pf"," Some two months before the murder of Sir Danvers, I had been out for one of my adventures, had returned at a late hour, and woke the next day in bed with somewhat odd sensations."," Asi dva měsíce před zavražděním sira Danverse jsem zase byl na jedné ze svých dobrodružných výprav, vrátil jsem se domů hodně pozdě a ráno jsem se v posteli probudil s trochu podivnými pocity."
"wait","wait","Počkejte","počkat","pf"," Have the kindness to wait while I dress. ”"," Počkejte laskavě, než se ustrojím. """
"carried","carry","dopravili","dopravit","pf"," And with the same grave countenance, he hurried through his breakfast and drove to the police station, whither the body had been carried."," A pořád s tak přísným obličejem se honem nasnídal a odjel na policejní strážnici, kam mrtvého zatím dopravili."
"came","come","vstoupil","vstoupit","pf"," As soon as he came into the cell, he nodded."," Jakmile tam vstoupil, pokývl hlavou."
"said","say","řekl","říci","pf"," “ Yes, ” said he, “ I recognize him."," "" Ano, je to on, "" řekl."
"say","say","říci","říci","pf"," I am sorry to say that this is Sir Danvers Carew."," "" Musím vám s politováním říci, že tohle je sir Danvers Carew. """
"satisfy","satisfy","přesvědčit","přesvědčit","pf"," “ Well, Mr Utterson, you are a hard man to satisfy, but I ’ ll do it yet, ” said Poole."," "" Jo, pane Uttersone, vás je těžko přesvědčit, ale já to nakonec dokážu! "" odpověděl Poole."
"said","say","odpověděl","odpovědět","pf"," “ Well, Mr Utterson, you are a hard man to satisfy, but I ’ ll do it yet, ” said Poole."," "" Jo, pane Uttersone, vás je těžko přesvědčit, ale já to nakonec dokážu! "" odpověděl Poole."
"fear","fear","bojíš","bát","impf"," “ You fear, I suppose, that it might lead to his detection? ” asked the lawyer."," "" Patrně se bojíš, že by je ten dopis mohl přivést na jeho stopu, ne? "" zeptal se advokát."
"lead","lead","přivést","přivést","pf"," “ You fear, I suppose, that it might lead to his detection? ” asked the lawyer."," "" Patrně se bojíš, že by je ten dopis mohl přivést na jeho stopu, ne? "" zeptal se advokát."
"asked","ask","zeptal","zeptat","pf"," “ You fear, I suppose, that it might lead to his detection? ” asked the lawyer."," "" Patrně se bojíš, že by je ten dopis mohl přivést na jeho stopu, ne? "" zeptal se advokát."
"care","care","nezáleží","záležet","impf"," “ I cannot say that I care what becomes of Hyde; I am quite done with him."," Věru mi už moc nezáleží, jak to s Hydem dopadne - jsem s ním úplně vyřízen."
"thinking","think","Myslel","myslet","impf"," I was thinking of my own character, which this hateful business had rather exposed. ”"," Myslel jsem na svou vlastní pověst, která by touhle odpornou věcí mohla hodně utrpět. """
"received","receive","získal","získat","pf"," It was the first time that the lawyer had been received in that part of his friend ’ s quarters; and he eyed the dingy windowless structure with curiosity, and gazed round with a distasteful sense of strangeness as he crossed the theatre, once crowded with eager students and now lying gaunt and silent, the tables laden with chemical apparatus, the floor strewn with crates and littered with packing straw, and the light falling dimly through the foggy cupola."," Bylo to poprvé, co advokát získal přístup do té části přítelova obydlí - zvědavě si prohlížel sešlé stavení bez oken a s pocitem prazvláštního odporu procházel anatomickou posluchárnou, kdysi plnou horlivých studentů - byl to holý, tichý sál s chemickými aparáty na stolech, na podlaze se povalovaly bedny, bylo tam nastláno vybalenou slámou a zamženou kupolí tam dopadalo kalné světlo."
"testify","testify","svědčily","svědčit","impf"," The rosy man had grown pale; his flesh had fallen away; he was visibly balder and older; and yet it was not so much these tokens of a swift physical decay that arrested the lawyer ’ s notice, as a look in the eye and quality of manner that seemed to testify to some deep-seated terror of the mind."," Ten růžolící člověk byl najednou bledý, zhubl, očividně zplešatěl a zestárl, ale advokátovu pozornost ani tolik neupoutaly tyto příznaky rychlého tělesného chřadnutí, jako výraz v očích a zvláštní chování, které možná svědčily o trýznivém pocitu hrůzy."
"suspect","suspect","podezříval","podezřívat","impf"," It was unlikely that the doctor should fear death; and yet that was what Utterson was tempted to suspect."," Bylo dost nepravděpodobné, že by to byl strach ze smrti, ale Utterson ho z toho málem podezříval."
"ran","run","Utíkal","utíkat","impf"," I ran to the house in Soho, and ( to make assurance doubly sure ) destroyed my papers; thence I set out through the lamplit streets, in the same divided ecstasy of mind, gloating on my crime, light-headedly devising others in the future, and yet still hastening and still harkening in my wake for the steps of the avenger."," Utíkal jsem do domu v Soho, abych se dvojnásob pojistil, spálil jsem všechny své papíry a pádil osvětlenými ulicemi, pořád v tom rozdvojeném vytržení - v duchu jsem se dychtivě pásl na svém zločinu, v opojení jsem osnoval příští, a přitom jsem na úprku ostražitě napínal sluch, zda za zády neuslyším kroky mstitele."
"drank","drink","vypil","vypít","pf"," Hyde had a song upon his lips as he compounded the draught, and as he drank it pledged the dead man."," Hyde si připravoval ten nápoj s písničkou na rtech, ale sotva jej vypil, byl odsouzen k smrti."
"sit","sit","sedět","sedět","impf"," Half an hour from now, when I shall again and for ever reindue that hated personality, I know how I shall sit shuddering and weeping in my chair, or continue, with the most strained and fearstruck ecstasy of listening, to pace up and down this room ( my last earthly refuge ) and give ear to every sound of menace."," Vím, že za půl hodiny, až se znovu a provždy převtělím do toho nenáviděného individua, budu roztřesený a ufňukaný sedět v lenošce, nebo s nepříčetně a vyděšeně napjatým sluchem budu bez ustání přecházet sem a tam po pracovně ( posledním svém pozemském útočišti ) a lekat se každého zlověstného šramotu."
"pace","pace","přecházet","přecházet","impf"," Half an hour from now, when I shall again and for ever reindue that hated personality, I know how I shall sit shuddering and weeping in my chair, or continue, with the most strained and fearstruck ecstasy of listening, to pace up and down this room ( my last earthly refuge ) and give ear to every sound of menace."," Vím, že za půl hodiny, až se znovu a provždy převtělím do toho nenáviděného individua, budu roztřesený a ufňukaný sedět v lenošce, nebo s nepříčetně a vyděšeně napjatým sluchem budu bez ustání přecházet sem a tam po pracovně ( posledním svém pozemském útočišti ) a lekat se každého zlověstného šramotu."
"smoking","smoke","kouří","kouřit","impf"," And then there is a chimney, which is generally smoking; so somebody must live there."," A pak je tam komín, z kterého se obyčejně kouří, musí tam tedy někdo bydlet."
"live","live","bydlet","bydlet","impf"," And then there is a chimney, which is generally smoking; so somebody must live there."," A pak je tam komín, z kterého se obyčejně kouří, musí tam tedy někdo bydlet."
"say","say","říci","říci","pf"," And yet it ’ s not so sure; for the buildings are so packed together about that court, that it ’ s hard to say where one ends and another begins. ”"," Ale není to tak docela jisté, kolem dvora je namačkáno tolik domů, že je těžko říci, kde jeden končí a druhý začíná. """
"ends","end","končí","končit","impf"," And yet it ’ s not so sure; for the buildings are so packed together about that court, that it ’ s hard to say where one ends and another begins. ”"," Ale není to tak docela jisté, kolem dvora je namačkáno tolik domů, že je těžko říci, kde jeden končí a druhý začíná. """
"begins","begin","začíná","začínat","impf"," And yet it ’ s not so sure; for the buildings are so packed together about that court, that it ’ s hard to say where one ends and another begins. ”"," Ale není to tak docela jisté, kolem dvora je namačkáno tolik domů, že je těžko říci, kde jeden končí a druhý začíná. """
"think","think","myslím","myslet","impf"," “ Yes, I think it is, ” returned Enfield."," "" Také si to myslím, "" odpověděl Enfield."
"returned","return","odpověděl","odpovědět","pf"," “ Yes, I think it is, ” returned Enfield."," "" Také si to myslím, "" odpověděl Enfield."
"hesitate","hesitate","zaváhal","zaváhat","pf"," Mr Hyde appeared to hesitate; and then, as if upon some sudden reflection, fronted about with an air of defiance; and the pair stared at each other pretty fixedly for a few seconds."," Pan Hyde zřejmě zaváhal, a pak jako by si to byl najednou rozmyslil, vyzývavě se k němu obrátil tváří v tvář a několik vteřin se ti dva na sebe zadívali náramně upřeně."
"said","say","řekl","říci","pf"," “ Now I shall know you again, ” said Mr Utterson."," "" Teď už vás pokaždé poznám, "" řekl pan Utterson."
"passed","pass","prošel","projít","pf"," I had soon dressed, as well as I was able, in clothes of my own size; had soon passed through the house, where Bradshaw stared and drew back at seeing Mr Hyde at such an hour and in such a strange array; and ten minutes later, Dr Jekyll had returned to his own shape and was sitting down, with a darkened brow, to make a feint of breakfasting."," Ve chvíli jsem se ustrojil, jak nejlíp se dalo, do obleku šitého na mne, Jekylla, rychle jsem prošel chodbou, kde Bradshaw vyvalil oči a ucouvl, když spatřil Hyda tak časně a tak podivně přistrojeného, a za deset minut se už doktor Jekyll zase vrátil do své vlastní podoby a se zachmuřeným čelem seděl u snídaně, které se snad ani nedotkl."
"seeing","see","spatřil","spatřit","pf"," I had soon dressed, as well as I was able, in clothes of my own size; had soon passed through the house, where Bradshaw stared and drew back at seeing Mr Hyde at such an hour and in such a strange array; and ten minutes later, Dr Jekyll had returned to his own shape and was sitting down, with a darkened brow, to make a feint of breakfasting."," Ve chvíli jsem se ustrojil, jak nejlíp se dalo, do obleku šitého na mne, Jekylla, rychle jsem prošel chodbou, kde Bradshaw vyvalil oči a ucouvl, když spatřil Hyda tak časně a tak podivně přistrojeného, a za deset minut se už doktor Jekyll zase vrátil do své vlastní podoby a se zachmuřeným čelem seděl u snídaně, které se snad ani nedotkl."
"returned","return","vrátil","vrátit","pf"," I had soon dressed, as well as I was able, in clothes of my own size; had soon passed through the house, where Bradshaw stared and drew back at seeing Mr Hyde at such an hour and in such a strange array; and ten minutes later, Dr Jekyll had returned to his own shape and was sitting down, with a darkened brow, to make a feint of breakfasting."," Ve chvíli jsem se ustrojil, jak nejlíp se dalo, do obleku šitého na mne, Jekylla, rychle jsem prošel chodbou, kde Bradshaw vyvalil oči a ucouvl, když spatřil Hyda tak časně a tak podivně přistrojeného, a za deset minut se už doktor Jekyll zase vrátil do své vlastní podoby a se zachmuřeným čelem seděl u snídaně, které se snad ani nedotkl."
"sitting","sit","seděl","sedět","impf"," I had soon dressed, as well as I was able, in clothes of my own size; had soon passed through the house, where Bradshaw stared and drew back at seeing Mr Hyde at such an hour and in such a strange array; and ten minutes later, Dr Jekyll had returned to his own shape and was sitting down, with a darkened brow, to make a feint of breakfasting."," Ve chvíli jsem se ustrojil, jak nejlíp se dalo, do obleku šitého na mne, Jekylla, rychle jsem prošel chodbou, kde Bradshaw vyvalil oči a ucouvl, když spatřil Hyda tak časně a tak podivně přistrojeného, a za deset minut se už doktor Jekyll zase vrátil do své vlastní podoby a se zachmuřeným čelem seděl u snídaně, které se snad ani nedotkl."
"contain","contain","obsahovala","obsahovat","impf"," The phial, to which I next turned my attention, might have been about half-full of a blood-red liquor, which was highly pungent to the sense of smell, and seemed to me to contain phosphorus and some volatile ether."," Pak jsem si pozorně prohlédl baňku - mohla být asi tak do poloviny naplněná krvavě červenou kapalinou, která nesmírně čpěla, jako by obsahovala fosfor a těkavý éter."
"observed","observe","zpozoroval","zpozorovat","pf"," These covered a period of many years, but I observed that the entries ceased nearly a year ago and quite abruptly."," Vztahovala se na období mnoha let, ale zpozoroval jsem, že zápisy náhle ustaly asi tak před rokem."
"ceased","cease","ustaly","ustat","pf"," These covered a period of many years, but I observed that the entries ceased nearly a year ago and quite abruptly."," Vztahovala se na období mnoha let, ale zpozoroval jsem, že zápisy náhle ustaly asi tak před rokem."
"fled","flee","utekl","utéci","pf"," If your master has fled or is dead, we may at least save his credit."," Jestli doktor utekl, nebo je - li mrtev, můžeme mu aspoň zachránit dobrou pověst."
"save","save","zachránit","zachránit","pf"," If your master has fled or is dead, we may at least save his credit."," Jestli doktor utekl, nebo je - li mrtev, můžeme mu aspoň zachránit dobrou pověst."
"read","read","přečetl","přečíst","pf"," It is now ten; I must go home and read these documents in quiet; but I shall be back before midnight, when we shall send for the police. ”"," Už je deset, musím domů, abych si ty dokumenty v klidu přečetl, ale před půlnocí přijdu zpátky a pak pošleme pro policii. """
"send","send","pošleme","poslat","pf"," It is now ten; I must go home and read these documents in quiet; but I shall be back before midnight, when we shall send for the police. ”"," Už je deset, musím domů, abych si ty dokumenty v klidu přečetl, ale před půlnocí přijdu zpátky a pak pošleme pro policii. """
"let","let","nechá","nechat","pf"," Ay, I must put my shoulder to the wheel - if Jekyll will but let me, ” he added, “ if Jekyll will only let me. ”"," Musím zkrátka přiložit ruku k dílu - jen jestli mě Jekyll nechá, "" dodal, "" jen jestli mě Jekyll nechá! """
"let","let","nechá","nechat","pf"," Ay, I must put my shoulder to the wheel - if Jekyll will but let me, ” he added, “ if Jekyll will only let me. ”"," Musím zkrátka přiložit ruku k dílu - jen jestli mě Jekyll nechá, "" dodal, "" jen jestli mě Jekyll nechá! """
"added","add","dodal","dodat","pf"," Ay, I must put my shoulder to the wheel - if Jekyll will but let me, ” he added, “ if Jekyll will only let me. ”"," Musím zkrátka přiložit ruku k dílu - jen jestli mě Jekyll nechá, "" dodal, "" jen jestli mě Jekyll nechá! """
"let","let","nechá","nechat","pf"," Ay, I must put my shoulder to the wheel - if Jekyll will but let me, ” he added, “ if Jekyll will only let me. ”"," Musím zkrátka přiložit ruku k dílu - jen jestli mě Jekyll nechá, "" dodal, "" jen jestli mě Jekyll nechá! """
"let","let","nechá","nechat","pf"," Ay, I must put my shoulder to the wheel - if Jekyll will but let me, ” he added, “ if Jekyll will only let me. ”"," Musím zkrátka přiložit ruku k dílu - jen jestli mě Jekyll nechá, "" dodal, "" jen jestli mě Jekyll nechá! """
"saw","see","uviděl","uvidět","pf"," For once more he saw before his mind ’ s eye, as clear as a transparency, the strange clauses of the will."," A znovu v duchu uviděl jasně jako světelný obraz podivná ustanovení závěti."
"drove","drive","doháněl","dohánět","impf"," His terror of the gallows drove him continually to commit temporary suicide, and return to his subordinate station of a part instead of a person; but he loathed the necessity, he loathed the despondency into which Jekyll was now fallen, and he resented the dislike with which he was himself regarded."," Strach ze šibenice ho ustavičně doháněl, aby páchal dočasnou sebevraždu a navracel se do svého podřízeného postavení jen částí své bytosti, ale ta nutnost se mu protivila, hnusila se mu malomyslnost, do níž Jekyll upadl, a pohoršovala ho nechuť, jakou mu Jekyll dával najevo."
"fallen","fall","upadl","upadnout","pf"," His terror of the gallows drove him continually to commit temporary suicide, and return to his subordinate station of a part instead of a person; but he loathed the necessity, he loathed the despondency into which Jekyll was now fallen, and he resented the dislike with which he was himself regarded."," Strach ze šibenice ho ustavičně doháněl, aby páchal dočasnou sebevraždu a navracel se do svého podřízeného postavení jen částí své bytosti, ale ta nutnost se mu protivila, hnusila se mu malomyslnost, do níž Jekyll upadl, a pohoršovala ho nechuť, jakou mu Jekyll dával najevo."
"return","return","dával","dávat","impf"," His terror of the gallows drove him continually to commit temporary suicide, and return to his subordinate station of a part instead of a person; but he loathed the necessity, he loathed the despondency into which Jekyll was now fallen, and he resented the dislike with which he was himself regarded."," Strach ze šibenice ho ustavičně doháněl, aby páchal dočasnou sebevraždu a navracel se do svého podřízeného postavení jen částí své bytosti, ale ta nutnost se mu protivila, hnusila se mu malomyslnost, do níž Jekyll upadl, a pohoršovala ho nechuť, jakou mu Jekyll dával najevo."
"Think","think","pomysli","pomyslet","pf"," Think of it - I did not even exist!"," Jen si pomysli - vždyť jsem ani neexistoval!"
"exist","exist","neexistoval","existovat","impf"," Think of it - I did not even exist!"," Jen si pomysli - vždyť jsem ani neexistoval!"
"make","make","uděláme","udělat","pf"," “ This suspense, I know, is telling upon all of you; but it is now our intention to make an end of it."," "" Já vím, tahle nejistota vám jde všem na nervy, ale my jsme si teď umínili, že tomu uděláme konec."
"bear","bear","mám","mít","impf"," If all is well, my shoulders are broad enough to bear the blame."," Je - li tam všecko v pořádku, mám dost statná ramena, abych dovedl vzít vinu na sebe."
"awaiting","await","čekal","čekat","impf"," The butler was awaiting my arrival; he had received by the same post as mine a registered letter of instruction, and had sent at once for a locksmith and a carpenter."," Sluha už na mne čekal - touž poštou jako já dostal doporučeně pokyny a ihned poslal pro zámečníka a tesaře."
"received","receive","dostal","dostat","pf"," The butler was awaiting my arrival; he had received by the same post as mine a registered letter of instruction, and had sent at once for a locksmith and a carpenter."," Sluha už na mne čekal - touž poštou jako já dostal doporučeně pokyny a ihned poslal pro zámečníka a tesaře."
"sent","send","poslal","poslat","pf"," The butler was awaiting my arrival; he had received by the same post as mine a registered letter of instruction, and had sent at once for a locksmith and a carpenter."," Sluha už na mne čekal - touž poštou jako já dostal doporučeně pokyny a ihned poslal pro zámečníka a tesaře."
"entered","enter","vešli","vejít","pf"," The tradesmen came while we were yet speaking; and we moved in a body to old Dr Denman ’ s surgical theatre, from which ( as you are doubtless aware ) Jekyll ’ s private cabinet is most conveniently entered."," Než jsme spolu domluvili, byli řemeslníci už na místě, a všichni vespolek jsme vešli do bývalé anatomické posluchárny doktora Denmana, odkud je přístup do Jekyllovy soukromé pracovny ( jak bezpochyby víš )."
"hesitated","hesitate","váhal","váhat","impf"," I hesitated long before I put this theory to the test of practice."," Dlouho jsem váhal, než jsem si tuto teorii začal ověřovat praktickými pokusy."
"overcame","overcome","zvítězilo","zvítězit","pf"," But the temptation of a discovery so singular and profound at last overcame the suggestions of alarm."," Ale můj zvláštní a závažný objev mě tolik lákal, až pokušení nakonec zvítězilo nad bojácnou předtuchou."
"conquer","conquer","potlačit","potlačit","pf"," It is one thing to mortify curiosity, another to conquer it; and it may be doubted if, from that day forth, Utterson desired the society of his surviving friend with the same eagerness."," Něco jiného je potlačit zvědavost a něco úplně jiného nad ní zvítězit, proto lze být na pochybách, zda od toho dne byl Utterson pořád stejně žádostivý setkání se svým dosud živým přítelem jako dříve."
"conquer","conquer","zvítězit","zvítězit","pf"," It is one thing to mortify curiosity, another to conquer it; and it may be doubted if, from that day forth, Utterson desired the society of his surviving friend with the same eagerness."," Něco jiného je potlačit zvědavost a něco úplně jiného nad ní zvítězit, proto lze být na pochybách, zda od toho dne byl Utterson pořád stejně žádostivý setkání se svým dosud živým přítelem jako dříve."
"goes","go","Jde","jít","impf"," “ My head goes round, ” he said."," "" Jde mi z toho hlava kolem, "" řekl."
"said","say","řekl","říci","pf"," “ My head goes round, ” he said."," "" Jde mi z toho hlava kolem, "" řekl."
"raged","rage","zuřil","zuřit","impf"," “ He has been all these days in possession; he had no cause to like me; he must have raged to see himself displaced; and he has not destroyed this document. ”"," "" Celou tuhle dobu ji měl v moci - jistě neměl proč mít mě rád - jistě zuřil, když se dověděl, že je vyděděný - a přece tu závěť nezničil! """
"destroyed","destroy","nezničil","zničit","pf"," “ He has been all these days in possession; he had no cause to like me; he must have raged to see himself displaced; and he has not destroyed this document. ”"," "" Celou tuhle dobu ji měl v moci - jistě neměl proč mít mě rád - jistě zuřil, když se dověděl, že je vyděděný - a přece tu závěť nezničil! """
"caught","catch","Popadl","popadnout","pf"," He caught the next paper; it was a brief note in the doctor ’ s hand and dated at the top."," Popadl další listinu - byl to stručný doktorův vlastnoruční dopis nahoře s datem."
"said","say","řekl","říci","pf"," “ Come, sir, ” said I."," "" Počkat, pane, "" řekl jsem."
"forget","forget","Zapomínáte","zapomínat","impf"," “ You forget that I have not yet the pleasure of your acquaintance."," "" Zapomínáte, že ještě nemám potěšení vás znát."
"seated","seat","Posaďte","posadit","pf"," Be seated, if you please. ”"," Posaďte se, prosím. """
"sat","sit","posadil","posadit","pf"," And I showed him an example, and sat down myself in my customary seat and with as fair an imitation of my ordinary manner to a patient, as the lateness of the hour, the nature of my preoccupations, and the horror I had of my visitor would suffer me to muster."," Dal jsem mu dobrý příklad - posadil jsem se do křesla, kde jsem byl zvyklý sedávat, a snažil jsem se napodobit své obvyklé chování, když mám co dělat s pacientem - ovšem pokud jsem toho byl schopen v tak pozdní hodinu, při svých obavách a hrůze, jakou ve mně ten člověk budil."
"suffer","suffer","mám","mít","impf"," And I showed him an example, and sat down myself in my customary seat and with as fair an imitation of my ordinary manner to a patient, as the lateness of the hour, the nature of my preoccupations, and the horror I had of my visitor would suffer me to muster."," Dal jsem mu dobrý příklad - posadil jsem se do křesla, kde jsem byl zvyklý sedávat, a snažil jsem se napodobit své obvyklé chování, když mám co dělat s pacientem - ovšem pokud jsem toho byl schopen v tak pozdní hodinu, při svých obavách a hrůze, jakou ve mně ten člověk budil."
"fail","fail","zklameš","zklamat","pf"," Lanyon, my life, my honour, my reason, are all at your mercy; if you fail me to-night, I am lost."," A teď, Lanyone, jsem já tobě vydán na milost a nemilost - teď jde mně o život, o čest, o rozum - jestli mě dnes večer zklameš, je po mně veta."
"surprised","surprise","překvapilo","překvapit","pf"," Presently her eye wandered to the other, and she was surprised to recognize in him a certain Mr Hyde, who had once visited her master and for whom she had conceived a dislike."," Za chvilku zabloudila zrakem k tomu druhému a překvapilo ji, když v něm poznala jistého pana Hyda, který byl jednou na návštěvě u jejího pána a velice se jí tehdy zprotivil."
"recognize","recognize","poznala","poznat","pf"," Presently her eye wandered to the other, and she was surprised to recognize in him a certain Mr Hyde, who had once visited her master and for whom she had conceived a dislike."," Za chvilku zabloudila zrakem k tomu druhému a překvapilo ji, když v něm poznala jistého pana Hyda, který byl jednou na návštěvě u jejího pána a velice se jí tehdy zprotivil."
"answered","answer","neodpověděl","odpovědět","pf"," He had in his hand a heavy cane, with which he was trifling; but he answered never a word, and seemed to listen with an ill-contained impatience."," V ruce měl těžkou hůl, jíž si pohrával, ale staršímu pánovi neodpověděl ani slovem, a poslouchal ho jakoby rozmrzele, což se mu nedařilo utajit."
"listen","listen","poslouchal","poslouchat","impf"," He had in his hand a heavy cane, with which he was trifling; but he answered never a word, and seemed to listen with an ill-contained impatience."," V ruce měl těžkou hůl, jíž si pohrával, ale staršímu pánovi neodpověděl ani slovem, a poslouchal ho jakoby rozmrzele, což se mu nedařilo utajit."
"tear","tear","roztrhal","roztrhat","pf"," Should the throes of change take me in the act of writing it, Hyde will tear it in pieces; but if some time shall have elapsed after I have laid it by, his wonderful selfishness and circumscription to the moment will probably save it once again from the action of his ape-like spite."," Kdybych při psaní upadl do křečí proměny, Hyde by ji roztrhal na kousky, ale uplyne - li nějaký čas od té chvíle, kdy své líčení někde uschovám, má Hyde tak pozoruhodně sobecký smysl jen pro bezprostřední přítomnost, že je přece snad uchráním před jeho opičí zlomyslností."
"elapsed","elapse","uplyne","uplynout","pf"," Should the throes of change take me in the act of writing it, Hyde will tear it in pieces; but if some time shall have elapsed after I have laid it by, his wonderful selfishness and circumscription to the moment will probably save it once again from the action of his ape-like spite."," Kdybych při psaní upadl do křečí proměny, Hyde by ji roztrhal na kousky, ale uplyne - li nějaký čas od té chvíle, kdy své líčení někde uschovám, má Hyde tak pozoruhodně sobecký smysl jen pro bezprostřední přítomnost, že je přece snad uchráním před jeho opičí zlomyslností."
"changed","change","změnil","změnit","pf"," And indeed the doom that is closing on us both has already changed and crushed him."," Ortel, který nám oběma teď každou chvíli hrozí, už ho změnil a zdrtil."
"accosted","accost","oslovil","oslovit","pf"," When they had come within speech ( which was just under the maid ’ s eyes ) the older man bowed and accosted the other with a very pretty manner of politeness."," Když se už navzájem přiblížili natolik, že na sebe mohli promluvit ( bylo to zrovna pod jejím oknem ), starší muž se uklonil a velice pěkně a zdvořile toho druhého oslovil."
"narrated","narrate","vyprávěla","vyprávět","impf"," Never ( she used to say, with streaming tears, when she narrated that experience ), never had she felt more at peace with all men or thought more kindly of the world."," Nikdy ( jak říkávala, když s obličejem zalitým slzami vyprávěla o svém zážitku ), nikdy ještě nebyla tak smírně naladěna vůči všem lidem na světě a nikdy jim nebyla tak vlídně nakloněna."
"sat","sit","seděla","sedět","impf"," And as she so sat she became aware of an aged and beautiful gentleman with white hair drawing near along the lane; and advancing to meet him, another and very small gentleman, to whom at first she paid less attention."," A když tam tak seděla, povšimla si staršího, hezkého bělovlasého pána, který se přibližoval uličkou, a z druhého konce šel proti němu jiný pán, hodně malé postavy, kterému zprvu nevěnovala zvláštní pozornost."
"paid","pay","nevěnovala","věnovat","impf"," And as she so sat she became aware of an aged and beautiful gentleman with white hair drawing near along the lane; and advancing to meet him, another and very small gentleman, to whom at first she paid less attention."," A když tam tak seděla, povšimla si staršího, hezkého bělovlasého pána, který se přibližoval uličkou, a z druhého konce šel proti němu jiný pán, hodně malé postavy, kterému zprvu nevěnovala zvláštní pozornost."
"said","say","řekl","říci","pf"," “ There it is, sir, ” said I, pointing to the drawer where it lay on the floor behind a table, and still covered with the sheet."," "" Tady je, prosím, "" řekl jsem a ukázal jsem na zásuvku, která ležela na podlaze u stolu, znovu zakrytá prostěradlem."
