"breathe","breathe","dýchat","dýchat","impf"," Suddenly he had anonymous eyes on him and he could breathe again!"," Anonymní oči byly náhle všude s ním a on mohl zase dýchat!"
"came","come","neučinili","učinit","pf"," The second type of reaction came from people who themselves ( they or their intimates ) had been persecuted, who had refused to compromise with the occupation powers or were convinced they would refuse to compromise ( to sign a statement ) even though no one had requested it of them ( for instance, because they were too young to be seriously involved )."," Druhý typ reakce se týkal lidí, kteří sami ( oni nebo jejich blízcí ) byli pronásledováni, kteří odmítali přistoupit na jakýkoli "" kompromis s okupační mocí anebo po kterých nikdo žádný kompromis ( žádné prohlášení ) nežádal ( třeba proto, že byli příliš mladí a do ničeho se ještě nenamočili ) a kteří byli přesvědčeni, že by je neučinili."
"dislocated","dislocate","vymkl","vymknout","pf"," Then they told her what had happened. The man had dislocated his shoulder and started bellowing with pain."," Mezitím se dověděla, co se stalo : mladík si při práci vymkl ruku v rameni a řval bolestí;"
"bellowing","bellow","řval","řvát","impf"," Then they told her what had happened. The man had dislocated his shoulder and started bellowing with pain."," Mezitím se dověděla, co se stalo : mladík si při práci vymkl ruku v rameni a řval bolestí;"
"called","call","zavolali","zavolat","pf"," No one knew what to do, so they called Tomas, who with one jerk set it back in its socket."," nikdo nevěděl, co si s ním počít a tak zavolali Tomáše, který mu ji jediným pohybem vrátil zpátky do kloubu."
"said","say","řekl","říci","pf"," ' You idiot, ' said the chairman, ' Tereza is always pretty. '"," "" Hlupáku, "" řekl předseda, "" paní Tereza je vždycky krásná. """
"come","come","přišli","přijít","pf"," The pigs have come! ' Then silence."," "" Pane doktore, přišli čuňáci! "" a pak už bylo ticho."
"entered","enter","vstoupil","vstoupit","pf"," "" When he entered the room, Tereza was on her feet and Karenin was picking himself up."," Když vstoupil do pokoje, Tereza už stála a Karenin se namáhavě zvedal ze země."
"wanted","want","chtěl","chtít","impf"," A man who wanted to master her?"," Který by jí chtěl panovat?"
"follows","follow","plyne","plynout","impf"," From which it follows that no man was right for her."," Z čehož plyne, že se pro ni nehodí žádný muž."
"said","say","řekl","říci","pf"," ' Because love means renouncing strength, ' said Franz softly."," "" Protože láska znamená zřeknout se síly, "" řekl Franz tiše."
"realized","realize","uvědomila","uvědomit","pf"," Sabina realized two things : first, that Franz 's words were noble and just;"," Sabina si uvědomila dvě věci : za prvé, že ta věta je nádherná a pravdivá."
"rest","rest","nespočívají","spočívat","impf"," And no wonder : political movements rest not so much on rational attitudes as on the fantasies, images, words, and archetypes that come together to make up this or that political kitsch."," Není na tom nic divného : politická hnuti nespočívají na racionálních postojích, ale na představách, obrazech, slovech, archetypech, které dohromady vytvářejí ten či onen politický kýč."
"make","make","vytvářejí","vytvářet","impf"," And no wonder : political movements rest not so much on rational attitudes as on the fantasies, images, words, and archetypes that come together to make up this or that political kitsch."," Není na tom nic divného : politická hnuti nespočívají na racionálních postojích, ale na představách, obrazech, slovech, archetypech, které dohromady vytvářejí ten či onen politický kýč."
"joining","join","spojuje","spojovat","impf"," The fantasy of the Grand March that Franz was so intoxicated by is the political kitsch joining leftists of all times and tendencies."," Představa Velikého Pochodu, kterou se nechává opájet Franz, je politickým kýčem, který spojuje levicové lidi všech dob a směrů."
"encounter","encounter","potkat","potkat","pf"," The only way we can encounter it is if its persecutors have overlooked it somewhere."," Můžeme ji potkat jen když ji pronásledovatelé někde omylem zapomněli."
"want","want","Chceme","chtít","impf"," If we want to find it, we must demolish the scenery."," Chceme - li ji najít, musíme roztrhnout plátno dekorace."
"find","find","najít","najít","pf"," If we want to find it, we must demolish the scenery."," Chceme - li ji najít, musíme roztrhnout plátno dekorace."
"said","say","řekl","říci","pf"," ' This is the first time I 've ever been fascinated by a church, ' said Franz."," "" To je poprvé, co mne nějaký kostel fascinuje, "" řekl Franz."
"started","start","začala","začít","pf"," At first I was terribly upset, but then I started enjoying it. The trickle looked like a crack;"," Byla jsem nejdřív nešťastná, ale pak se mi začala ta skvrna líbit, protože vypadala jako prasklina."
"enjoying","enjoy","líbit","líbit","impf"," At first I was terribly upset, but then I started enjoying it. The trickle looked like a crack;"," Byla jsem nejdřív nešťastná, ale pak se mi začala ta skvrna líbit, protože vypadala jako prasklina."
"began","begin","Začala","začít","pf"," I began playing with the crack, filling it out, wondering what might be visible behind it."," Začala jsem si s tou prasklinou hrát, rozšiřovat ji, vymýšlet si, co by bylo možno za ní vidět."
"playing","play","hrát","hrát","impf"," I began playing with the crack, filling it out, wondering what might be visible behind it."," Začala jsem si s tou prasklinou hrát, rozšiřovat ji, vymýšlet si, co by bylo možno za ní vidět."
"called","call","nazvala","nazvat","pf"," And that 's how I began my first cycle of paintings. I called it ' Behind the Scenes '."," Tak jsem namalovala svůj první cyklus obrazů, který jsem nazvala Kulisy."
"went","go","odešel","odejít","pf"," He lived with her until he was eighteen and had finished secondary school; then he went off to Prague and the university."," Žil s ní do osmnácti let a po maturitě odešel studovat do Prahy."
"reminded","remind","připomínal","připomínat","impf"," The only reason he became involved with the big-chinned former editor was that the editor 's fate reminded him of his father 's. The editor had never heard of Tomas."," Přilnul k bývalému redaktorovi s velkou bradou jen proto, že mu připomínal otcův osud."
"meant","mean","myslí","myslet","impf"," He must have kept up with a woman in Prague who meant so much to him that he thought of her even if she could no longer leave the smell of her groin in his hair."," Ale zdá se, že mu zůstala nějaká žena v Praze, na kterou myslí a o kterou stojí přesto, že mu nemůže zanechávat vůni svého klína ve vlasech."
"thought","think","myslí","myslet","impf"," He must have kept up with a woman in Prague who meant so much to him that he thought of her even if she could no longer leave the smell of her groin in his hair."," Ale zdá se, že mu zůstala nějaká žena v Praze, na kterou myslí a o kterou stojí přesto, že mu nemůže zanechávat vůni svého klína ve vlasech."
"believe","believe","Nemyslí","myslet","impf"," Tereza did not believe that Tomas meant to leave her for the woman, but the happiness of their two years in the country now seemed besmirched by lies."," Nemyslí si, že ji snad Tomáš pro tu ženu opustí, ale zdá se jí, že štěstí dvou posledních let, kdy žili na vsi, je zase znehodnoceno lží."
"meant","mean","Nemyslí","myslet","impf"," Tereza did not believe that Tomas meant to leave her for the woman, but the happiness of their two years in the country now seemed besmirched by lies."," Nemyslí si, že ji snad Tomáš pro tu ženu opustí, ale zdá se jí, že štěstí dvou posledních let, kdy žili na vsi, je zase znehodnoceno lží."
"leave","leave","opustí","opustit","pf"," Tereza did not believe that Tomas meant to leave her for the woman, but the happiness of their two years in the country now seemed besmirched by lies."," Nemyslí si, že ji snad Tomáš pro tu ženu opustí, ale zdá se jí, že štěstí dvou posledních let, kdy žili na vsi, je zase znehodnoceno lží."
"seemed","seem","zdá","zdát","impf"," Tereza did not believe that Tomas meant to leave her for the woman, but the happiness of their two years in the country now seemed besmirched by lies."," Nemyslí si, že ji snad Tomáš pro tu ženu opustí, ale zdá se jí, že štěstí dvou posledních let, kdy žili na vsi, je zase znehodnoceno lží."
"wind","wind","natahovat","natahovat","impf"," Who would wind the clock of their days when he was gone?"," Kdo bude natahovat orloj jejich dnů, až on tu nebude?"
"arrested","arrest","zatkli","zatknout","pf"," It was the time when Tereza 's father was arrested on some piddling charge and ten-year-old Tereza was thrown out of their flat."," Tehdy zatkli pro nějakou pitomost Terezina otce a desetileté děvčátko vyhodili z bytu."
"thrown","throw","vyhodili","vyhodit","pf"," It was the time when Tereza 's father was arrested on some piddling charge and ten-year-old Tereza was thrown out of their flat."," Tehdy zatkli pro nějakou pitomost Terezina otce a desetileté děvčátko vyhodili z bytu."
"studying","study","studovala","studovat","impf"," It was also the time when twenty-year-old Sabina was studying at the Academy of Fine Arts."," Ve stejné době studovala dvacetiletá Sabina Akademii výtvarných umění."
"pleased","please","líbilo","líbit","impf"," The analogy so pleased him that he often used it in conversation with friends, and his formulation grew increasingly precise and elegant."," Toto přirovnání se mu tak líbilo, že ho často užíval při rozhovoru s přáteli a časem ho vyjadřoval formulacemi čím dál přesnějšími a elegantnějšími."
"used","use","užíval","užívat","impf"," The analogy so pleased him that he often used it in conversation with friends, and his formulation grew increasingly precise and elegant."," Toto přirovnání se mu tak líbilo, že ho často užíval při rozhovoru s přáteli a časem ho vyjadřoval formulacemi čím dál přesnějšími a elegantnějšími."
"read","read","Četl","číst","impf"," Like all intellectuals at the time, he read a weekly newspaper published in three hundred thousand copies by the Union of Czech Writers. It was a paper that had achieved considerable autonomy within the regime and dealt with issues forbidden to others."," Četl v té době jako všichni intelektuálové týdeník vydávaný v nákladu kolem 300. 000 výtisků Svazem českých spisovatelů, který si vytvořil značnou autonomii uvnitř režimu a mluvil o věcech, o nichž jiní veřejně mluvit nesměli."
"look","look","dívala","dívat","impf"," Even if Tereza were completely unlike Tereza, her soul inside her would be the same and look in amazement at what was happening to her body."," I když by Tereza byla zcela nepodobná Tereze, její duše uvnitř by byla pořád stejná a jen by se s úžasem dívala, co se děje s tělem."
"going","go","chodí","chodit","impf"," ( These are questions that had been going through Tereza 's head since she was a child."," ( Jsou to pořád stejné otázky, které chodí Tereze hlavou už od dětství."
"said","say","řekl","říci","pf"," ' He does n't know who you are, ' said Tomas. ' He does n't recognize you. '"," "" Neví, kdo jsi, "" řekl Tomáš, "" nepoznává tě. """
"phoned","phone","Zatelefonoval","zatelefonovat","pf"," He phoned her and found out that Sabina had given notice two days before."," Zatelefonoval jí a dozvěděl se, že Sabina dala předevčírem výpověď."
"given","give","dala","dát","pf"," He phoned her and found out that Sabina had given notice two days before."," Zatelefonoval jí a dozvěděl se, že Sabina dala předevčírem výpověď."
"find","find","najde","najít","pf"," During the next few days, he returned at regular intervals, still hoping to find her in, but one day he found the door open and three men in overalls loading the furniture and paintings into a parked van outside."," Chodil ještě několik dní zkoušet, zda najde Sabinu doma, až jednoho dne našel byt otevřený a uvnitř tři muže v modrácích, kteří odnášeli nábytek a obrazy do velkého stěhovacího vozu zaparkovaného před domem."
"found","find","najde","najít","pf"," During the next few days, he returned at regular intervals, still hoping to find her in, but one day he found the door open and three men in overalls loading the furniture and paintings into a parked van outside."," Chodil ještě několik dní zkoušet, zda najde Sabinu doma, až jednoho dne našel byt otevřený a uvnitř tři muže v modrácích, kteří odnášeli nábytek a obrazy do velkého stěhovacího vozu zaparkovaného před domem."
"find","find","našel","najít","pf"," During the next few days, he returned at regular intervals, still hoping to find her in, but one day he found the door open and three men in overalls loading the furniture and paintings into a parked van outside."," Chodil ještě několik dní zkoušet, zda najde Sabinu doma, až jednoho dne našel byt otevřený a uvnitř tři muže v modrácích, kteří odnášeli nábytek a obrazy do velkého stěhovacího vozu zaparkovaného před domem."
"found","find","našel","najít","pf"," During the next few days, he returned at regular intervals, still hoping to find her in, but one day he found the door open and three men in overalls loading the furniture and paintings into a parked van outside."," Chodil ještě několik dní zkoušet, zda najde Sabinu doma, až jednoho dne našel byt otevřený a uvnitř tři muže v modrácích, kteří odnášeli nábytek a obrazy do velkého stěhovacího vozu zaparkovaného před domem."
"asked","ask","Ptal","ptát","impf"," He asked them where they were taking the furniture."," Ptal se jich. kam nábytek povezou."
"take","take","nevezmu","vzít","pf"," That 's why I wo n't take the camera. '"," A právě proto nevezmu aparát. """
"walked","walk","Šli","jít","impf"," They walked along in silence."," Šli cestou a nemluvili."
"thinking","think","nemyslit","myslit","impf"," Silence was the only way of not thinking about Karenin in the past tense."," Nemluvit, to byl jediný způsob nemyslit na Karenina v minulém čase."
"waiting","wait","Čekali","čekat","impf"," they were with him constantly, waiting for him to smile."," Čekali, kdy se usměje."
"smile","smile","usměje","usmát","pf"," they were with him constantly, waiting for him to smile."," Čekali, kdy se usměje."
"smile","smile","neusmíval","usmívat","impf"," But he did not smile; he merely walked with them, limping along on his three legs."," Ale on se neusmíval, jen šel, a stále po třech nožkách."
"did","do","šel","jít","impf"," But he did not smile; he merely walked with them, limping along on his three legs."," Ale on se neusmíval, jen šel, a stále po třech nožkách."
"walked","walk","šel","jít","impf"," But he did not smile; he merely walked with them, limping along on his three legs."," Ale on se neusmíval, jen šel, a stále po třech nožkách."
"doing","do","Dělá","dělat","impf"," ' He 's just doing it for us, ' said Tereza."," "" Dělá to jenom pro nás, "" řekla Tereza."
"said","say","řekla","říci","pf"," ' He 's just doing it for us, ' said Tereza."," "" Dělá to jenom pro nás, "" řekla Tereza."
"called","call","vyzvala","vyzvat","pf"," But when she called Karenin for his walk that morning, he barely raised his head."," Ale tentokrát, když vyzvala Karenina, aby šel s ní, sotva zvedl hlavu."
"raised","raise","zvedl","zvednout","pf"," But when she called Karenin for his walk that morning, he barely raised his head."," Ale tentokrát, když vyzvala Karenina, aby šel s ní, sotva zvedl hlavu."
"refused","refuse","odmítl","odmítnout","pf"," It was the first time that he had refused to take part in the ritual he himself had forced upon them."," To bylo poprvé, co se odmítl zúčastnit obřadu, který kdysi sám bezpodmínečně vyžadoval."
"take","take","vyžadoval","vyžadovat","impf"," It was the first time that he had refused to take part in the ritual he himself had forced upon them."," To bylo poprvé, co se odmítl zúčastnit obřadu, který kdysi sám bezpodmínečně vyžadoval."
"went","go","Šla","jít","impf"," She went off without him."," Šla tedy bez něho."
"asked","ask","ptala","ptát","impf"," ' Where 's Karenin? ' asked the woman behind the counter, who had Karenin 's roll ready as usual."," "" Kdepak je Karenin? "" ptala se jí prodavačka, která už měla pro něho přichystaný rohlík."
"pulled","pull","vytáhla","vytáhnout","pf"," Tereza carried it home herself in her bag. She pulled it out and showed it to him while still in the doorway."," Tentokrát si ho odnášela Tereza sama ve své tašce, ve dveřích ho vytáhla a ukazovala mu ho."
"showed","show","ukazovala","ukazovat","impf"," Tereza carried it home herself in her bag. She pulled it out and showed it to him while still in the doorway."," Tentokrát si ho odnášela Tereza sama ve své tašce, ve dveřích ho vytáhla a ukazovala mu ho."
"wanted","want","Chtěla","chtít","impf"," She wanted him to come and fetch it."," Chtěla, aby si pro něho přišel."
"come","come","přišel","přijít","pf"," She wanted him to come and fetch it."," Chtěla, aby si pro něho přišel."
"Gazing","gaze","dívala","dívat","impf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"look","look","dívala","dívat","impf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"reminded","remind","připomnělo","připomenout","pf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"expose","expose","vystavovat","vystavovat","impf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"force","force","nutit","nutit","impf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"Gazing","gaze","díval","dívat","impf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"look","look","díval","dívat","impf"," Gazing at the remains of Old Town Hall, Tereza was suddenly reminded of her mother : that perverse need one has to expose one 's ruins, one 's ugliness, to parade one 's misery, to uncover the stump of one 's amputated arm and force the whole world to look at it."," Tereza se dívala na zbořenou radnici a najednou jí to připomnělo matku : ta perverzní potřeba vystavovat své sutiny, chlubit se svou ošklivostí, ukazovat svou bídu, obnažit pahýl amputované ruky a nutit celý svět, aby se na něj díval."
"reminding","remind","připomíná","připomínat","impf"," Everything had begun reminding her of her mother lately."," Všechno ji v poslední době připomíná matku."
"seemed","seem","Zdá","zdát","impf"," Her mother 's world, which she had fled ten years before, seemed to be coming back to her, surrounding her on all sides."," Zdá se jí, že matčin svět, kterému před deseti lety unikla, se k ní vrací a obkličuje ji ze všech stran."
"fled","flee","unikla","uniknout","pf"," Her mother 's world, which she had fled ten years before, seemed to be coming back to her, surrounding her on all sides."," Zdá se jí, že matčin svět, kterému před deseti lety unikla, se k ní vrací a obkličuje ji ze všech stran."
"tells","tell","říká","říkat","impf"," He leaps out of the window, but she tells him bitterly to stay where he feels happy, making those abrupt, angular movements that so annoyed and displeased him."," Ale ona mu říká trpce, ať jen zůstane tam, kde se cítí být šťasten, a má ta prudká nevyrovnaná gesta, která ho vždycky rušila a nelíbila se mu na ni."
"stay","stay","zůstane","zůstat","pf"," He leaps out of the window, but she tells him bitterly to stay where he feels happy, making those abrupt, angular movements that so annoyed and displeased him."," Ale ona mu říká trpce, ať jen zůstane tam, kde se cítí být šťasten, a má ta prudká nevyrovnaná gesta, která ho vždycky rušila a nelíbila se mu na ni."
"feels","feel","cítí","cítit","impf"," He leaps out of the window, but she tells him bitterly to stay where he feels happy, making those abrupt, angular movements that so annoyed and displeased him."," Ale ona mu říká trpce, ať jen zůstane tam, kde se cítí být šťasten, a má ta prudká nevyrovnaná gesta, která ho vždycky rušila a nelíbila se mu na ni."
"annoyed","annoy","rušila","rušit","impf"," He leaps out of the window, but she tells him bitterly to stay where he feels happy, making those abrupt, angular movements that so annoyed and displeased him."," Ale ona mu říká trpce, ať jen zůstane tam, kde se cítí být šťasten, a má ta prudká nevyrovnaná gesta, která ho vždycky rušila a nelíbila se mu na ni."
"grabs","grab","Uchopí","uchopit","pf"," He grabs her nervous hands and presses them between his own to calm them."," Uchopí ty nervózní ruce, tiskne je ve svých dlaních, aby je uklidnil."
"presses","press","tiskne","tisknout","impf"," He grabs her nervous hands and presses them between his own to calm them."," Uchopí ty nervózní ruce, tiskne je ve svých dlaních, aby je uklidnil."
"calm","calm","uklidnil","uklidnit","pf"," He grabs her nervous hands and presses them between his own to calm them."," Uchopí ty nervózní ruce, tiskne je ve svých dlaních, aby je uklidnil."
"called","call","volala","volat","impf"," Just then the interpreter, at the head of the parade, raised a large megaphone to her lips and called out in Khmer to the other side : These people are doctors; they request permission to enter the territory of Cambodia and offer medical assistance;"," V té chvíli tlumočnice, která šla v čele průvodu, přiložila k ústům širokou rouru a volala kmerským jazykem na druhou stranu řeky : jsou zde lékaři a žádají, aby jim bylo povoleno vstoupit na území Kambodže a vykonávat tam lékařskou pomoc;"
"called","call","žádají","žádat","impf"," Just then the interpreter, at the head of the parade, raised a large megaphone to her lips and called out in Khmer to the other side : These people are doctors; they request permission to enter the territory of Cambodia and offer medical assistance;"," V té chvíli tlumočnice, která šla v čele průvodu, přiložila k ústům širokou rouru a volala kmerským jazykem na druhou stranu řeky : jsou zde lékaři a žádají, aby jim bylo povoleno vstoupit na území Kambodže a vykonávat tam lékařskou pomoc;"
"request","request","žádají","žádat","impf"," Just then the interpreter, at the head of the parade, raised a large megaphone to her lips and called out in Khmer to the other side : These people are doctors; they request permission to enter the territory of Cambodia and offer medical assistance;"," V té chvíli tlumočnice, která šla v čele průvodu, přiložila k ústům širokou rouru a volala kmerským jazykem na druhou stranu řeky : jsou zde lékaři a žádají, aby jim bylo povoleno vstoupit na území Kambodže a vykonávat tam lékařskou pomoc;"
"enter","enter","vstoupit","vstoupit","pf"," Just then the interpreter, at the head of the parade, raised a large megaphone to her lips and called out in Khmer to the other side : These people are doctors; they request permission to enter the territory of Cambodia and offer medical assistance;"," V té chvíli tlumočnice, která šla v čele průvodu, přiložila k ústům širokou rouru a volala kmerským jazykem na druhou stranu řeky : jsou zde lékaři a žádají, aby jim bylo povoleno vstoupit na území Kambodže a vykonávat tam lékařskou pomoc;"
"said","say","řekl","říci","pf"," ' It 's a very simple place I have here, ' said the engineer. ' I hope you do n't find it depressing. '"," "" Můj byt je hrozně prostý, "" řekl inženýr, "" doufám, že vás to nezarazilo. """
"hope","hope","doufám","doufat","impf"," ' It 's a very simple place I have here, ' said the engineer. ' I hope you do n't find it depressing. '"," "" Můj byt je hrozně prostý, "" řekl inženýr, "" doufám, že vás to nezarazilo. """
"said","say","řekla","říci","pf"," ' No, not at all, ' said Tereza, looking at the wall covered with bookshelves."," "" Ne, nezarazilo, "" řekla Tereza a dívala se na stěnu, která byla celá pokryta poličkami a knihami."
"looking","look","dívala","dívat","impf"," ' No, not at all, ' said Tereza, looking at the wall covered with bookshelves."," "" Ne, nezarazilo, "" řekla Tereza a dívala se na stěnu, která byla celá pokryta poličkami a knihami."
"covered","cover","pokryta","pokrýt","pf"," ' No, not at all, ' said Tereza, looking at the wall covered with bookshelves."," "" Ne, nezarazilo, "" řekla Tereza a dívala se na stěnu, která byla celá pokryta poličkami a knihami."
"refused","refuse","odmítl","odmítnout","pf"," When Tomas refused to hand her the slip to sign, she said to him sweetly, as if asking him for a favour,"," Když ji Tomáš odmítl dát k podpisu výkaz, řekla něžně, jako by ho prosila o nějakou službu :"
"hand","hand","dát","dát","pf"," When Tomas refused to hand her the slip to sign, she said to him sweetly, as if asking him for a favour,"," Když ji Tomáš odmítl dát k podpisu výkaz, řekla něžně, jako by ho prosila o nějakou službu :"
"said","say","řekla","říci","pf"," When Tomas refused to hand her the slip to sign, she said to him sweetly, as if asking him for a favour,"," Když ji Tomáš odmítl dát k podpisu výkaz, řekla něžně, jako by ho prosila o nějakou službu :"
"asking","ask","prosila","prosit","impf"," When Tomas refused to hand her the slip to sign, she said to him sweetly, as if asking him for a favour,"," Když ji Tomáš odmítl dát k podpisu výkaz, řekla něžně, jako by ho prosila o nějakou službu :"
"Give","give","dejte","dát","pf"," ' Give it to me. Please? '"," "" Prosím vás, dejte mi to. """
"paid","pay","placen","platit","impf"," And you 're not being paid for it, the state is."," A placen nejste vy, ale státní podnik."
"came","come","přicházel","přicházet","impf"," So it was a desire not for pleasure ( the pleasure came as an extra, a bonus ) but for possession of the world ( slitting open the outstretched body of the world with his scalpel ) that sent him in pursuit of women."," Byla to tedy nikoli touha po požitku ( požitek přicházel jako jakási prémie navíc ), ale touha zmocnit se světa ( otevřít skalpelem ležící tělo světa ), co ho hnalo za ženami."
"seek","seek","hledají","hledat","impf"," Some seek their own subjective and unchanging dream of a woman in all women."," Jedni hledají ve všech ženách svůj vlastní subjektivní a stále stejný sen o ženě."
"thinking","think","nemyslí","myslet","impf"," Or, the other way, through a Tristan, always thinking of his Tereza, I see the beautiful, betrayed world of the libertine. '"," Anebo naopak : skrze postavu Tristana, který nemyslí než na svou Terezu, je vidět krásný, zrazený svět libertina. """
"see","see","vidět","vidět","impf"," Or, the other way, through a Tristan, always thinking of his Tereza, I see the beautiful, betrayed world of the libertine. '"," Anebo naopak : skrze postavu Tristana, který nemyslí než na svou Terezu, je vidět krásný, zrazený svět libertina. """
"listened","listen","poslouchal","poslouchat","impf"," Tomas straightened up and, distractedly, listened to Sabina 's words."," Tomáš se vztyčil a poslouchal roztržitě Sabinina slova."
"looking","look","hledáš","hledat","impf"," ' What are you looking for? ' she asked"," "" Co hledáš? "" zeptala se."
"look","look","díval","dívat","impf"," She searched all over the room with him, and again he got down on all fours to look under the table."," Rozhlížela se po místnosti spolu s ním a on si znovu stoupl na čtyři a díval se pod stůl."
"said","say","řekla","říci","pf"," ' Your sock is n't anywhere to be seen, ' said Sabina."," "" Nikde tu tvoje ponožka není, "" řekla Sabina."
"persists","persist","trvá","trvat","impf"," Sometimes you make up your mind about something without knowing why, and your decision persists by the power of inertia."," Člověk se někdy k něčemu rozhodne, neví ani jak, a to rozhodnutí pak trvá vlastní setrvačností."
"change","change","změnit","změnit","pf"," Every year it gets harder to change. '"," Rok od roku je těžší ho změnit. """
"said","say","řekla","říci","pf"," ' Invite him, ' she said."," "" Pozvi ho, "" řekla."
"heard","hear","slyšela","slyšet","impf"," That afternoon she was on her way back from the cowsheds when she heard voices from the road."," Téhož dne odpoledne se vracela z kravína a slyšela ze silnice hlasy."
"saw","see","viděla","vidět","impf"," Coming closer, she saw Tomas 's pick-up."," Když se přiblížila, viděla Tomášovo nákladní auto."
"stretched","stretch","táhla","táhnout","impf"," The woods cut off the view above the slope, and a crooked line of hills stretched into the distance."," Nad strání les uzavíral obzor a křivka kopců se táhla do dálek."
"forgotten","forget","zapomněli","zapomenout","pf"," The sphere hanging in the not yet darkened sky seemed like a lamp they had forgotten to turn off in the morning, a lamp that had burned all day in the room of the dead."," Luna visící na dosud nesetmělém nebi ji připadala jako lampa, kterou zapomněli ráno zhasnout a která svítila po celý den v pokoji mrtvých."
"burned","burn","svítila","svítit","impf"," The sphere hanging in the not yet darkened sky seemed like a lamp they had forgotten to turn off in the morning, a lamp that had burned all day in the room of the dead."," Luna visící na dosud nesetmělém nebi ji připadala jako lampa, kterou zapomněli ráno zhasnout a která svítila po celý den v pokoji mrtvých."
"answered","answer","Odpověděla","odpovědět","pf"," Embarrassed, she answered that she still had to find a hotel and had left her suitcase at the station."," Odpověděla v rozpacích, že si hotel bude teprve hledat a že má kufr v úschovně na nádraží."
"feared","fear","bál","bát","impf"," Only two days ago, he had feared that if he invited her to Prague she would offer him up her life."," Ještě včera se bál, že kdyby ji pozval k sobě do Prahy, přijela by mu nabídnout celý svůj život."
"invited","invite","pozval","pozvat","pf"," Only two days ago, he had feared that if he invited her to Prague she would offer him up her life."," Ještě včera se bál, že kdyby ji pozval k sobě do Prahy, přijela by mu nabídnout celý svůj život."
"offer","offer","nabídnout","nabídnout","pf"," Only two days ago, he had feared that if he invited her to Prague she would offer him up her life."," Ještě včera se bál, že kdyby ji pozval k sobě do Prahy, přijela by mu nabídnout celý svůj život."
"told","tell","řekla","říci","pf"," When she told him her suitcase was at the station, he immediately realized that the suitcase contained her life and that she had left it at the station only until she could offer it up to him."," Když mu teď řekla, že má kufr v úschovně, blesklo mu hlavou, že v tom kufru je její život a že ho nechala zatím na nádraží, než mu jej nabídne."
"contained","contain","má","mít","impf"," When she told him her suitcase was at the station, he immediately realized that the suitcase contained her life and that she had left it at the station only until she could offer it up to him."," Když mu teď řekla, že má kufr v úschovně, blesklo mu hlavou, že v tom kufru je její život a že ho nechala zatím na nádraží, než mu jej nabídne."
"left","leave","nechala","nechat","pf"," When she told him her suitcase was at the station, he immediately realized that the suitcase contained her life and that she had left it at the station only until she could offer it up to him."," Když mu teď řekla, že má kufr v úschovně, blesklo mu hlavou, že v tom kufru je její život a že ho nechala zatím na nádraží, než mu jej nabídne."
