"say","say","řekl","říci","pf"," What else can I say about them?"," Co bych o nich ještě řekl?"
"went","go","šlo","jít","impf"," His strategy resembled the strategy of trench warfare : wherever he was, he tried to hold out as long as he could without compromise, but he never went on the attack himself."," spíš jako by se přikláněl ke strategii zákopové války : kde byl, tam se snažil setrvat, dokud to šlo, aniž by se musel zpronevěřit sám sobě, sám ale do útoku nevyrážel;"
"perceives","perceive","vnímá","vnímat","impf"," Today it is a firm part of social life here, even though its position is marginal, one that society perceives more as the final horizon of its relationships or the final focus of various values than as an immediate challenge, something to be emulated."," Dnes je to už pevná součást společenského života, byť v něm představuje postavení krajní, které společnost vnímá spíš jako poslední horizont svého vztahování a poslední úběžník různých měřítek než jako bezprostřední výzvu k následování."
"imagine","imagine","představit","představit","pf"," Today it is hard to imagine a time when the Charter did not exist, and when one does try to imagine it, it evokes a feeling of vacuum and moral relativity."," Dnes si už lze těžko představit, že byly doby, kdy tu Charta nebyla - taková představa vyvolává pocit vakua a totální relativity hodnot."
"imagine","imagine","představit","představit","pf"," Today it is hard to imagine a time when the Charter did not exist, and when one does try to imagine it, it evokes a feeling of vacuum and moral relativity."," Dnes si už lze těžko představit, že byly doby, kdy tu Charta nebyla - taková představa vyvolává pocit vakua a totální relativity hodnot."
"evokes","evoke","vyvolává","vyvolávat","impf"," Today it is hard to imagine a time when the Charter did not exist, and when one does try to imagine it, it evokes a feeling of vacuum and moral relativity."," Dnes si už lze těžko představit, že byly doby, kdy tu Charta nebyla - taková představa vyvolává pocit vakua a totální relativity hodnot."
"write","write","Psát","psát","impf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"write","write","Psát","psát","impf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"forbidden","forbid","zakázáno","zakázat","pf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"forbid","forbid","zakázáno","zakázat","pf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"forbidden","forbid","zakázat","zakázat","pf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"forbid","forbid","zakázat","zakázat","pf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"do","do","nešlo","jít","impf"," We were strictly forbidden to write anything of any kind, but he could n't very well forbid us to write letters, because we had a legal right to do so."," Psát cokoli mimo ně jsme měli samozřejmě přísně zakázáno, ty dopisy nám ale zakázat nešlo, měli jsme na ně ze zákona právo."
"began","begin","začal","začít","pf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"began","begin","začal","začít","pf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"began","begin","začal","začít","pf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"lose","lose","ztrácet","ztrácet","impf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"lose","lose","ztrácet","ztrácet","impf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"began","begin","začal","začít","pf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"began","begin","začal","začít","pf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"began","begin","začal","začít","pf"," It is strange but ultimately quite logical : as soon as man began considering himself the source of the highest meaning in the world and the measure of everything, the world began to lose its human dimension, and man began to lose control of it."," Je to zvláštní, ale vposledku docela logické : jakmile člověk udělal sám sebe nejvyšším smyslem světa a měřítkem všeho, začal svět ztrácet lidské dimenze a začal se člověku vymykat z rukou."
"did","do","dělali","dělat","impf"," We did everything together : we chose the actors, the plays, the directors, we sorted out the everyday working problems of the theatre."," Všechno jsme de facto dělali spolu, vybírali herce, hry, režiséry, řešili každodenní provozní problémy divadla."
"working","work","dělali","dělat","impf"," We did everything together : we chose the actors, the plays, the directors, we sorted out the everyday working problems of the theatre."," Všechno jsme de facto dělali spolu, vybírali herce, hry, režiséry, řešili každodenní provozní problémy divadla."
"chose","choose","vybírali","vybírat","impf"," We did everything together : we chose the actors, the plays, the directors, we sorted out the everyday working problems of the theatre."," Všechno jsme de facto dělali spolu, vybírali herce, hry, režiséry, řešili každodenní provozní problémy divadla."
"working","work","řešili","řešit","impf"," We did everything together : we chose the actors, the plays, the directors, we sorted out the everyday working problems of the theatre."," Všechno jsme de facto dělali spolu, vybírali herce, hry, režiséry, řešili každodenní provozní problémy divadla."
"founded","found","založil","založit","pf"," If Ivan Vyskočil founded the Theatre on the Balustrade and established its character, Grossman took that initial investment and turned it into the theatre that left its mark on the era."," Jestli Ivan Vyskočil činohru Divadla Na zábradlí založil a její charakter předurčil, Grossman tento vklad rozvinul v to, čemu se říká divadelní éra."
"established","establish","založil","založit","pf"," If Ivan Vyskočil founded the Theatre on the Balustrade and established its character, Grossman took that initial investment and turned it into the theatre that left its mark on the era."," Jestli Ivan Vyskočil činohru Divadla Na zábradlí založil a její charakter předurčil, Grossman tento vklad rozvinul v to, čemu se říká divadelní éra."
"recall","recall","Vzpomínám","vzpomínat","impf"," I recall that after this meeting Jiří Němec and I visited Hejdánek, who pointed out that our declaration might be based on the recently issued pacts on human rights."," Vzpomínám si, že teprve po té schůzce nás Hejdánek, kterého jsme s Jiřím Němcem navštívili, upozorňoval, že by se to mohlo opřít o nedávno vydané Pakty o lidských právech;"
"visited","visit","navštívili","navštívit","pf"," I recall that after this meeting Jiří Němec and I visited Hejdánek, who pointed out that our declaration might be based on the recently issued pacts on human rights."," Vzpomínám si, že teprve po té schůzce nás Hejdánek, kterého jsme s Jiřím Němcem navštívili, upozorňoval, že by se to mohlo opřít o nedávno vydané Pakty o lidských právech;"
"came","come","přišel","přijít","pf"," Parallel with that, but also after the first meeting, Mlynář came up with the same idea."," s toutéž myšlenkou přišel paralelně, ale také až po té první schůzce, Mlynář."
"came","come","Vznikl","vzniknout","pf"," That was how the first draft of the declaration came about."," Vznikl tedy první návrh textu;"
"say","say","říct","říci","pf"," Perhaps I might say only this, that the name “ Charter 77 ” was Pavel Kohout 's idea."," Snad jen to bych mohl říct, že název Charta 77 vymyslel Pavel Kohout."
"devote","devote","věnovat","věnovat","impf"," Yes, that period was extremely important for me, not only because those eight years in the Theatre on the Balustrade were in fact the only period when I was able to devote myself fully to theatre, to the only kind of theatre that interested me, but also because it formed me as a playwright."," Ano, byla to doba pro mne velmi důležitá, nejen tím, že těch osm let v Divadle Na zábradlí bylo vlastně jedinou dobou, kdy jsem se mohl plně věnovat divadlu, navíc takovému, jaké mne jedině bavilo, ale i tím, že tato doba mne zformovala i jako divadelního autora."
"remember","remember","vzpomínám","vzpomínat","impf"," I remember Jan Beneš getting ready to read to Ivan Skála and the rest of Skála 's article For Dogs, a Dog 's Death, in which Skála had demanded the death sentence for Slánský ( whether Beneš actually read it I do n't know )."," vzpomínám si, jak se Jan Beneš chystal přečíst na jedné schůzi Ivanu Skálovi a všem ostatním jeho článek Psovi psí smrt, v němž žádal smrt pro Slánského ( zda to skutečně Beneš přečetl, už nevím );"
"read","read","přečíst","přečíst","pf"," I remember Jan Beneš getting ready to read to Ivan Skála and the rest of Skála 's article For Dogs, a Dog 's Death, in which Skála had demanded the death sentence for Slánský ( whether Beneš actually read it I do n't know )."," vzpomínám si, jak se Jan Beneš chystal přečíst na jedné schůzi Ivanu Skálovi a všem ostatním jeho článek Psovi psí smrt, v němž žádal smrt pro Slánského ( zda to skutečně Beneš přečetl, už nevím );"
"read","read","přečíst","přečíst","pf"," I remember Jan Beneš getting ready to read to Ivan Skála and the rest of Skála 's article For Dogs, a Dog 's Death, in which Skála had demanded the death sentence for Slánský ( whether Beneš actually read it I do n't know )."," vzpomínám si, jak se Jan Beneš chystal přečíst na jedné schůzi Ivanu Skálovi a všem ostatním jeho článek Psovi psí smrt, v němž žádal smrt pro Slánského ( zda to skutečně Beneš přečetl, už nevím );"
"demanded","demand","žádal","žádat","impf"," I remember Jan Beneš getting ready to read to Ivan Skála and the rest of Skála 's article For Dogs, a Dog 's Death, in which Skála had demanded the death sentence for Slánský ( whether Beneš actually read it I do n't know )."," vzpomínám si, jak se Jan Beneš chystal přečíst na jedné schůzi Ivanu Skálovi a všem ostatním jeho článek Psovi psí smrt, v němž žádal smrt pro Slánského ( zda to skutečně Beneš přečetl, už nevím );"
"read","read","přečetl","přečíst","pf"," I remember Jan Beneš getting ready to read to Ivan Skála and the rest of Skála 's article For Dogs, a Dog 's Death, in which Skála had demanded the death sentence for Slánský ( whether Beneš actually read it I do n't know )."," vzpomínám si, jak se Jan Beneš chystal přečíst na jedné schůzi Ivanu Skálovi a všem ostatním jeho článek Psovi psí smrt, v němž žádal smrt pro Slánského ( zda to skutečně Beneš přečetl, už nevím );"
"read","read","přečetl","přečíst","pf"," I remember Jan Beneš getting ready to read to Ivan Skála and the rest of Skála 's article For Dogs, a Dog 's Death, in which Skála had demanded the death sentence for Slánský ( whether Beneš actually read it I do n't know )."," vzpomínám si, jak se Jan Beneš chystal přečíst na jedné schůzi Ivanu Skálovi a všem ostatním jeho článek Psovi psí smrt, v němž žádal smrt pro Slánského ( zda to skutečně Beneš přečetl, už nevím );"
"recall","recall","vzpomínám","vzpomínat","impf"," I recall the heartrending public confession of Jarmila Glazarová, who had also said some rather unfortunate things during the monster trials of the 1950s."," vzpomínám na srdceryvné pokání Jarmily Glazarové, která si při procesech taky osolila."
"began","begin","začali","začít","pf"," So Jiří and I began to “ direct ” the campaign for the Plastics, at least for as long as it was still necessary."," S Jiřím jsme tedy pak začali "" režírovat "", aspoň v době, kdy to ještě bylo zapotřebí, kampaň za Plastiky."
"gave","give","dala","dát","pf"," But, except for a few interesting lectures ( by Vostrý, Stříbrný, and Hornát ), I ca n't honestly say the school gave me much."," Že by mi však - mimo několika zajímavých přednášek ( Vostrý, Stříbrný, Hornát ) - něco dala, říct nemůžu."
"say","say","říct","říci","pf"," But, except for a few interesting lectures ( by Vostrý, Stříbrný, and Hornát ), I ca n't honestly say the school gave me much."," Že by mi však - mimo několika zajímavých přednášek ( Vostrý, Stříbrný, Hornát ) - něco dala, říct nemůžu."
"written","write","napsal","napsat","pf"," How many plays have you written by now?"," Kolik her jste už vlastně napsal?"
"counting","count","Nepočítám","počítat","impf"," Not counting The Life Ahead, which I 've already mentioned, my first play, still juvenilia really, was a one-acter called An Evening with the Family, from 1959."," Nepočítám - li už zmíněný Život před sebou, byla mou první - ovšem zcela juvenilní - divadelní hrou jednoaktovka Rodinný večer z roku 1959."
"see","see","nerozuměl","rozumět","impf"," On the other hand, of course, there were matters in which Peroutka and I did not see eye to eye."," Na druhé straně byly ovšem věci, v nichž jsem si s Peroutkou nerozuměl."
"feel","feel","necítil","cítit","impf"," He did n't feel at home there; he did n't understand America, as he admitted himself, and he did n't like it very much."," Tam se necítil dobře, Americe, jak sám přiznával, nerozuměl, neměl ji moc rád."
"admitted","admit","přiznával","přiznávat","impf"," He did n't feel at home there; he did n't understand America, as he admitted himself, and he did n't like it very much."," Tam se necítil dobře, Americe, jak sám přiznával, nerozuměl, neměl ji moc rád."
"understand","understand","nerozuměl","rozumět","impf"," He did n't feel at home there; he did n't understand America, as he admitted himself, and he did n't like it very much."," Tam se necítil dobře, Americe, jak sám přiznával, nerozuměl, neměl ji moc rád."
"works","work","funguje","fungovat","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"does","do","funguje","fungovat","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"working","work","funguje","fungovat","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"alter","alter","nemění","měnit","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"lost","lose","ztratily","ztratit","pf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"does","do","udělaly","udělat","pf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"works","work","dělá","dělat","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"does","do","dělá","dělat","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"working","work","dělá","dělat","impf"," IBM certainly works better than the Škoda plant, but that does n't alter the fact that both companies have long since lost their human dimension and have turned man into a little cog in their machinery, utterly separated from what, and for whom, that machinery is working, and what the impact of its product is on the world."," IBM zajisté funguje lépe než Škodovka, ale to nemění nic na tom, že oba podniky už dávno ztratily lidské dimenze a z člověka udělaly šroubek ve svém soustrojí, zcela odříznutý od toho, co vlastně, proč a pro koho toto soustrojí dělá a co tím ve světě způsobuje."
"say","say","řekl","říci","pf"," I would even say that, from a certain point of view, IBM is worse than Škoda."," Dokonce bych řekl, že IBM je na tom v jistém ohledu ještě hůř než Škodovka;"
"add","add","dodat","dodat","pf"," To that I should add that in prison of the first correctional category, where I was, work is generally considered by the prisoners as a psychological rest, and they all look forward to it : the remainder of the day provides better opportunities for general harassment, which is the main instrument of “ rehabilitation ”."," K tomu bych měl ovšem dodat, že v první nápravně výchovné skupině, kde jsem byl, je navzdory tomu všemu práce pro vězně většinou psychickým odpočinkem a vězňové se do ní vesměs těší : zbývající čas dává totiž lepší podmínky k všestranné buzeraci, tomuto centrálnímu nástroji "" převýchovy ""."
"provides","provide","dodat","dodat","pf"," To that I should add that in prison of the first correctional category, where I was, work is generally considered by the prisoners as a psychological rest, and they all look forward to it : the remainder of the day provides better opportunities for general harassment, which is the main instrument of “ rehabilitation ”."," K tomu bych měl ovšem dodat, že v první nápravně výchovné skupině, kde jsem byl, je navzdory tomu všemu práce pro vězně většinou psychickým odpočinkem a vězňové se do ní vesměs těší : zbývající čas dává totiž lepší podmínky k všestranné buzeraci, tomuto centrálnímu nástroji "" převýchovy ""."
"saw","see","viděl","vidět","impf"," When he saw bare-footed boys and girls walking around New York with chains around their necks like some aboriginal Christians, he interpreted it as a sad expression of moral degeneration which should probably have been suppressed."," A když viděl, jak kluci a holky chodí po New Yorku s řetězy kolem krku a bosí jako nějací prvotní křesťané, považoval to jen za smutný projev mravní degenerace, který by měl být zřejmě nějak potlačen."
"walking","walk","chodí","chodit","impf"," When he saw bare-footed boys and girls walking around New York with chains around their necks like some aboriginal Christians, he interpreted it as a sad expression of moral degeneration which should probably have been suppressed."," A když viděl, jak kluci a holky chodí po New Yorku s řetězy kolem krku a bosí jako nějací prvotní křesťané, považoval to jen za smutný projev mravní degenerace, který by měl být zřejmě nějak potlačen."
"saw","see","považoval","považovat","impf"," When he saw bare-footed boys and girls walking around New York with chains around their necks like some aboriginal Christians, he interpreted it as a sad expression of moral degeneration which should probably have been suppressed."," A když viděl, jak kluci a holky chodí po New Yorku s řetězy kolem krku a bosí jako nějací prvotní křesťané, považoval to jen za smutný projev mravní degenerace, který by měl být zřejmě nějak potlačen."
"suppressed","suppress","potlačen","potlačit","pf"," When he saw bare-footed boys and girls walking around New York with chains around their necks like some aboriginal Christians, he interpreted it as a sad expression of moral degeneration which should probably have been suppressed."," A když viděl, jak kluci a holky chodí po New Yorku s řetězy kolem krku a bosí jako nějací prvotní křesťané, považoval to jen za smutný projev mravní degenerace, který by měl být zřejmě nějak potlačen."
"understand","understand","nechápu","chápat","impf"," I do n't understand it, but of course I 'm glad : it 's another four thousand little stones to shore up my conviction that the Lord did n't send me to prison in vain."," Já to nechápu, ale jsem samozřejmě rád : je to dalších čtyři tisíce kamínků, z nichž je složena má jistota, že mne Pánbůh neposlal do vězení zbytečně."
"send","send","neposlal","poslat","pf"," I do n't understand it, but of course I 'm glad : it 's another four thousand little stones to shore up my conviction that the Lord did n't send me to prison in vain."," Já to nechápu, ale jsem samozřejmě rád : je to dalších čtyři tisíce kamínků, z nichž je složena má jistota, že mne Pánbůh neposlal do vězení zbytečně."
"think","think","Myslíte","myslet","impf"," Do you think you fulfilled the goals you set for yourself after you were sentenced?"," Myslíte, že jste splnil úkoly, které jste si po svém odsouzení uložil?"
"fulfilled","fulfill","splnil","splnit","pf"," Do you think you fulfilled the goals you set for yourself after you were sentenced?"," Myslíte, že jste splnil úkoly, které jste si po svém odsouzení uložil?"
"set","set","uložil","uložit","pf"," Do you think you fulfilled the goals you set for yourself after you were sentenced?"," Myslíte, že jste splnil úkoly, které jste si po svém odsouzení uložil?"
"planned","plan","naplánoval","naplánovat","pf"," Did you reconstitute yourself psychically and mentally, as you 'd planned in letter 14?"," Rekonstituoval jste se psychicky a mentálně, jak jste si to naplánoval v dopise číslo 14?"
"play","play","hrála","hrát","impf"," Not only did it play - along with the subsequent Vaněk one-acters - in theatres of all sorts in the rest of the world; what was, understandably, more important for me was that the play entered people 's awareness at home - first of all as a written text, and later as performed by my friend Pavel Landovský and me on a tape that was later released as a record by Šafrán in Sweden."," nejen, že ji hrála - spolu s dalšími "" vaňkovskými "" aktovkami - všechna možná divadla ve světě, ale - což bylo pro mne pochopitelně důležitější - vstoupila do obecného povědomí doma, nejprve jako text, později namluvena přítelem Pavlem Landovským a mnou na magnetofonový pásek ( Šafrán to pak vydal i jako desku )."
"performed","perform","hrála","hrát","impf"," Not only did it play - along with the subsequent Vaněk one-acters - in theatres of all sorts in the rest of the world; what was, understandably, more important for me was that the play entered people 's awareness at home - first of all as a written text, and later as performed by my friend Pavel Landovský and me on a tape that was later released as a record by Šafrán in Sweden."," nejen, že ji hrála - spolu s dalšími "" vaňkovskými "" aktovkami - všechna možná divadla ve světě, ale - což bylo pro mne pochopitelně důležitější - vstoupila do obecného povědomí doma, nejprve jako text, později namluvena přítelem Pavlem Landovským a mnou na magnetofonový pásek ( Šafrán to pak vydal i jako desku )."
"entered","enter","vstoupila","vstoupit","pf"," Not only did it play - along with the subsequent Vaněk one-acters - in theatres of all sorts in the rest of the world; what was, understandably, more important for me was that the play entered people 's awareness at home - first of all as a written text, and later as performed by my friend Pavel Landovský and me on a tape that was later released as a record by Šafrán in Sweden."," nejen, že ji hrála - spolu s dalšími "" vaňkovskými "" aktovkami - všechna možná divadla ve světě, ale - což bylo pro mne pochopitelně důležitější - vstoupila do obecného povědomí doma, nejprve jako text, později namluvena přítelem Pavlem Landovským a mnou na magnetofonový pásek ( Šafrán to pak vydal i jako desku )."
"released","release","vydal","vydat","pf"," Not only did it play - along with the subsequent Vaněk one-acters - in theatres of all sorts in the rest of the world; what was, understandably, more important for me was that the play entered people 's awareness at home - first of all as a written text, and later as performed by my friend Pavel Landovský and me on a tape that was later released as a record by Šafrán in Sweden."," nejen, že ji hrála - spolu s dalšími "" vaňkovskými "" aktovkami - všechna možná divadla ve světě, ale - což bylo pro mne pochopitelně důležitější - vstoupila do obecného povědomí doma, nejprve jako text, později namluvena přítelem Pavlem Landovským a mnou na magnetofonový pásek ( Šafrán to pak vydal i jako desku )."
"consider","consider","nepovažují","považovat","impf"," “ No threat of a ban should hang over the heads of people and magazines that do not consider themselves Marxist in the strict and limited sense of the word, if they clearly and precisely state their positions ... ”"," "" Nad lidmi a časopisy, které se nepovažují za marxistické v přísném a vymezeném smyslu slova, by neměla viset hrozba odstavení a zastavení, když jasně a přesně vysloví své názory ... """
"hang","hang","viset","viset","impf"," “ No threat of a ban should hang over the heads of people and magazines that do not consider themselves Marxist in the strict and limited sense of the word, if they clearly and precisely state their positions ... ”"," "" Nad lidmi a časopisy, které se nepovažují za marxistické v přísném a vymezeném smyslu slova, by neměla viset hrozba odstavení a zastavení, když jasně a přesně vysloví své názory ... """
"state","state","vysloví","vyslovit","pf"," “ No threat of a ban should hang over the heads of people and magazines that do not consider themselves Marxist in the strict and limited sense of the word, if they clearly and precisely state their positions ... ”"," "" Nad lidmi a časopisy, které se nepovažují za marxistické v přísném a vymezeném smyslu slova, by neměla viset hrozba odstavení a zastavení, když jasně a přesně vysloví své názory ... """
"see","see","Vidíte","vidět","impf"," You see, that 's a perfect example of why antidogmatic thinking seemed incredibly naive to us."," Vidíte, na tom citátu můžu hned demonstrovat, v čem nám připadalo antidogmatické myšlení neuvěřitelně naivní :"
"relates","relate","souvisí","souviset","impf"," The second reason is deeper and clearly relates to a subtle shift in the human sensibility, a shift that reaches far beyond the borders of Czechoslovakia."," Druhá příčina je hlubší a souvisí zřejmě s nějakým nenápadným a hranice Československa přesahujícím posunem v lidské senzibilitě."
"add","add","dodávám","dodávat","impf"," ( To be fair, I should add that, when I was in prison after the Charter came out, the Tvář people issued a collective position paper in my support. )"," ( Pro pořádek dodávám, že když jsem byl po Chartě ve vězení, vydali tvářisté kolektivní stanovisko na mou podporu. )"
"issued","issue","vydali","vydat","pf"," ( To be fair, I should add that, when I was in prison after the Charter came out, the Tvář people issued a collective position paper in my support. )"," ( Pro pořádek dodávám, že když jsem byl po Chartě ve vězení, vydali tvářisté kolektivní stanovisko na mou podporu. )"
"hoped","hope","Doufali","doufat","impf"," The authorities obviously hoped that with my arrest the Charter would be crippled."," Doufali, že mým zavřením Chartu organizačně či pracovně ochromí."
"crippled","cripple","ochromí","ochromit","pf"," The authorities obviously hoped that with my arrest the Charter would be crippled."," Doufali, že mým zavřením Chartu organizačně či pracovně ochromí."
"forget","forget","nezapomenu","zapomenout","pf"," Thanks to the cognac, I behaved rather impertinently, and much of what I told him was no doubt nonsense, but there is one thing I will never forget : for the entire time, Dubček listened very intently, and he even asked a few supplementary questions."," Zkrátka počínal jsem si dík tomu koňaku asi dost neomaleně, napovídal jsem asi dost hloupostí, nicméně nikdy nezapomenu na to, že mne Dubček pozorně po celou dobu poslouchal, ba i doplňující otázky mi kladl."
"listened","listen","poslouchal","poslouchat","impf"," Thanks to the cognac, I behaved rather impertinently, and much of what I told him was no doubt nonsense, but there is one thing I will never forget : for the entire time, Dubček listened very intently, and he even asked a few supplementary questions."," Zkrátka počínal jsem si dík tomu koňaku asi dost neomaleně, napovídal jsem asi dost hloupostí, nicméně nikdy nezapomenu na to, že mne Dubček pozorně po celou dobu poslouchal, ba i doplňující otázky mi kladl."
"did","do","nevzal","vzít","pf"," Of course he did n't follow much of my advice, but the fact that he talked to me at all won me over."," Z mých rad si, pravda, moc nevzal, ale tím, že se se mnou vůbec bavil, si mne zcela získal."
"won","win","získal","získat","pf"," Of course he did n't follow much of my advice, but the fact that he talked to me at all won me over."," Z mých rad si, pravda, moc nevzal, ale tím, že se se mnou vůbec bavil, si mne zcela získal."
