"trying","try","pokusila","pokusit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"looking","look","hleděl","hledět","impf"," Still, I was n't too worried, and, being an optimist, I was already looking past the solution of this immediate problem."," Přesto jsem se snažil obavy si příliš nepřipouštět, a jako rozený optimista jsem od první chvíle hleděl najít pro onen bezodkladný problém řešení."
"understand","understand","pochopit","pochopit","pf"," One of my long-term goals was to observe LG when she had her own cubs so I 'd be in a position to understand exactly how bears discipline their young."," Jedním z mých dlouhodobých cílů bylo pozorování MD, až bude mát vlastní potomky, neboť jedině tak jsem mohl pořádně pochopit, jak medvědi vychovávají svá mláďata."
"got","get","přijdu","přijít","pf"," LB was growing dangerously larger every day, and it was only a matter of time before I got hurt in one of these fracases."," MH nabýval každým nebezpečnějších rozměrů, a bylo jen otázkou času, kdy při některé z rozepří přijdu ke zranění."
"decided","decide","rozhodl","rozhodnout","pf"," So I decided it was time to wean LB from the milk supplement."," A tak jsem rozhodl, že je čas odstavit MH od mléčného přídavku."
"wean","wean","odstavit","odstavit","pf"," So I decided it was time to wean LB from the milk supplement."," A tak jsem rozhodl, že je čas odstavit MH od mléčného přídavku."
"arrived","arrive","přišel","přijít","pf"," The next morning, I arrived without it."," Příštího rána jsem přišel bez něj."
"turned","turn","otočil","otočit","pf"," First he thoroughly checked out the pail full of apples and then turned, standing on his hind legs and emitting the "" hungry moan, "" to mug me for the formula."," Medvídek nejdříve důkladně prohlédl kbelík plný jablek a pak se otočil, postavil se na zadní, spustil ´hladové škemrání´ a pokoušel se se mnou mazlit podle osvědčeného návodu."
"standing","stand","postavil","postavit","pf"," First he thoroughly checked out the pail full of apples and then turned, standing on his hind legs and emitting the "" hungry moan, "" to mug me for the formula."," Medvídek nejdříve důkladně prohlédl kbelík plný jablek a pak se otočil, postavil se na zadní, spustil ´hladové škemrání´ a pokoušel se se mnou mazlit podle osvědčeného návodu."
"appeared","appear","zdálo","zdát","impf"," In spite of this, the cubs ' ability to flee appeared to be unaffected by this winter condition."," Pohyby a směr hlavy doprovázely pomalé promyšlené pohyby končetin, to jak se tělo soustředěně snažilo ´držet krok´. Navzdory tomu se zdálo, že jejich schopnost dát se na útěk zimní stav nijak nepoznamenal."
"leave","leave","nechat","nechat","pf"," I finally felt secure enough to leave them alone."," Konečně jsem si byl jist, že je mohu nechat o samotě."
"turned","turn","točí","točit","impf"," It turned out he was making a solo television documentary, which he called "" Home Waters, "" about paddling alone from the headwaters of the Connecticut River, 180 river miles north of Lyme, all the way to the sea, another 230 miles."," Ukázalo se, že točí sólo televizní dokument, který sám nazval ´Domácí vody´. Film se týkal Robertovy plavby na kanoi, vydal se sám od pramene řeky Connecticut, stoosmdesát námořních mil severně od Lyme, a dál k moři, dalších 230 mil."
"called","call","nazval","nazvat","pf"," It turned out he was making a solo television documentary, which he called "" Home Waters, "" about paddling alone from the headwaters of the Connecticut River, 180 river miles north of Lyme, all the way to the sea, another 230 miles."," Ukázalo se, že točí sólo televizní dokument, který sám nazval ´Domácí vody´. Film se týkal Robertovy plavby na kanoi, vydal se sám od pramene řeky Connecticut, stoosmdesát námořních mil severně od Lyme, a dál k moři, dalších 230 mil."
"accepted","accept","vezmeme","vzít","pf"," He was very excited to hear about my bear project and readily accepted an invitation to go out with me to feed and walk with them."," Překvapila ho zmínka o mém medvědím projektu a s radostí se přidal, když jsem ho pozval, ať se mnou zajde nakrmit medvíďata, že je pak vezmeme na vycházku."
"Pulling","pull","vytáhl","vytáhnout","pf"," Pulling out his small video camera, Rob started interviewing me as soon as we got into the truck."," Jakmile jsme nasedli do auta, Robert vytáhl malou videokameru a začal se mnou natáčet rozhovor."
"started","start","začal","začít","pf"," Pulling out his small video camera, Rob started interviewing me as soon as we got into the truck."," Jakmile jsme nasedli do auta, Robert vytáhl malou videokameru a začal se mnou natáčet rozhovor."
"interrupted","interrupt","přerušil","přerušit","pf"," She had been in the middle of a confrontation which I had just interrupted."," Jak se zdálo, přerušil jsem hádku právě v nejlepším."
"left","leave","Nechal","nechat","pf"," At that point, I left her a bag of food and departed."," Nechal jsem pod stromem pytel s jídlem a odešel."
"left","leave","odešel","odejít","pf"," At that point, I left her a bag of food and departed."," Nechal jsem pod stromem pytel s jídlem a odešel."
"departed","depart","odešel","odejít","pf"," At that point, I left her a bag of food and departed."," Nechal jsem pod stromem pytel s jídlem a odešel."
"greeted","greet","Uvítala","uvítat","pf"," She greeted me with chomping, then came down and ate three-quarters of the food, leaving some for the cubs-a first."," Uvítala mne hlasitým ´cvakáním´, pak slezla ze stromu a snědla třičtvrtiny jídla, zbytek nechala pro medvíďata - poprvé."
"ate","eat","snědla","sníst","pf"," She greeted me with chomping, then came down and ate three-quarters of the food, leaving some for the cubs-a first."," Uvítala mne hlasitým ´cvakáním´, pak slezla ze stromu a snědla třičtvrtiny jídla, zbytek nechala pro medvíďata - poprvé."
"leaving","leave","nechala","nechat","pf"," She greeted me with chomping, then came down and ate three-quarters of the food, leaving some for the cubs-a first."," Uvítala mne hlasitým ´cvakáním´, pak slezla ze stromu a snědla třičtvrtiny jídla, zbytek nechala pro medvíďata - poprvé."
"returned","return","vrátil","vrátit","pf"," I was surprised to find LB still in the cage when I returned in the morning."," Když jse se druhého dne ráno vrátil, MH byl stále v kleci, což mne překvapilo."
"surprised","surprise","překvapilo","překvapit","pf"," I was surprised to find LB still in the cage when I returned in the morning."," Když jse se druhého dne ráno vrátil, MH byl stále v kleci, což mne překvapilo."
"leaped","leap","vyskočil","vyskočit","pf"," On our approach, the cubs ran wild in the low spruce thicket that surrounded this mark tree. LB ran up and leaped, hanging momentarily on the tree before losing interest, dropping off, and running down to the small wallow pond for a drink and a bath."," Mláďata nejdříve dováděla v houštině kolem stromu, pak se MH rozběhl, vyskočil a pár vteřin se držel zavěšený, vzápětí ale ztratil zájem, hupnul dolů a namířil k malému rybníčku v bažině, aby se napil a dal si koupel."
"losing","lose","ztratil","ztratit","pf"," On our approach, the cubs ran wild in the low spruce thicket that surrounded this mark tree. LB ran up and leaped, hanging momentarily on the tree before losing interest, dropping off, and running down to the small wallow pond for a drink and a bath."," Mláďata nejdříve dováděla v houštině kolem stromu, pak se MH rozběhl, vyskočil a pár vteřin se držel zavěšený, vzápětí ale ztratil zájem, hupnul dolů a namířil k malému rybníčku v bažině, aby se napil a dal si koupel."
"appeared","appear","objevili","objevit","pf"," Almost as soon as the three wild bears were out of sight, two other bears appeared from down the hill."," Téměř ve stejné chvíli, kdy tři volně žijící medvědi zmizeli z dohledu, objevili se dole pod svahem další dva."
"lengthened","lengthen","prodlužovaly","prodlužovat","impf"," By the end of April, my efforts to make contact with wild bears had paid off in spades for the cubs, but the result was a growing independence and wanderlust in each of them as the spring days lengthened toward June, the natural month for dispersal. And the prime month for mating."," Koncem dubna se mé snahy navázat kontakt s cizími medvědy u medvídků skutečně zúročily, jenomže výsledkem bylo, že jak se jarní dny prodlužovaly a pomalu se blížil červen, měsíc, kdy medvědi ´vyrážejí do světa ( a nastává nejpříhodnější doba k páření ), moji medvídci se stávali stále samostatnějšími a začínali nacházet zálibu v toulání."
"restrict","restrict","omezují","omezovat","impf"," Why did the cubs restrict themselves to only one spot?"," A proč se mláďata omezují pouze na jedno určité místo?"
"proceeded","proceed","postupovali","postupovat","impf"," I proceeded as usual with the cubs running from tree to tree, and along fallen logs, while staying within thirty yards to the rear of me and fifteen yards to either side."," Jako obvykle jsme postupovali tak, že medvíďata pobíhala od stromu ke stromu a kličkovala mezi spadanými kmeny, přitom však se držela nejdál tři sta yardů za mnou a tak do patnácti yardů přede mnou."
"picked","pick","zvolili","zvolit","pf"," Eventually, we picked up the game trail that led to the beaver ponds at Moose Bog."," Vlastně se dá říci, že jsme zvolili jakýsi herní postup, který vedl k bobřím rybníkům na Losím močálu."
"led","lead","vedl","vést","impf"," Eventually, we picked up the game trail that led to the beaver ponds at Moose Bog."," Vlastně se dá říci, že jsme zvolili jakýsi herní postup, který vedl k bobřím rybníkům na Losím močálu."
"seen","see","vidět","vidět","impf"," He was careful to stay in cover, but he always positioned himself to be as close to her as possible without being seen."," Opatrně postával v houští, ale pořád se snažil, aby jí stál co nejblíž a přitom nebyl vidět."
"tried","try","Pokusil","pokusit","pf"," I tried to bring him out by placing some food for Squirty out in the center of the opening in the trees."," Pokusil jsem se vylákat ho z úkrytu a položil trochu jídla pro Drobnou na volný plácek mezi stromy."
"placing","place","položil","položit","pf"," I tried to bring him out by placing some food for Squirty out in the center of the opening in the trees."," Pokusil jsem se vylákat ho z úkrytu a položil trochu jídla pro Drobnou na volný plácek mezi stromy."
"sit","sit","usadil","usadit","pf"," Instead he circled around to sit on the bank above her."," Obr se ale nedal, a místo toho obešel obloukem okolo a usadil se na náspu nad ní."
"hoped","hope","Doufal","doufat","impf"," I had hoped to get some clear pictures of him, but it was obvious that he was n't going to cooperate."," Doufal jsem, že se mi ho podaří zahlédnout v ´plné parádě´, ale obr očividně nehodlal spolupracovat."
"cooperate","cooperate","spolupracovat","spolupracovat","impf"," I had hoped to get some clear pictures of him, but it was obvious that he was n't going to cooperate."," Doufal jsem, že se mi ho podaří zahlédnout v ´plné parádě´, ale obr očividně nehodlal spolupracovat."
"thought","think","pomyslel","pomyslet","pf"," Tomorrow, I thought."," Zítra, pomyslel jsem si."
"answered","answer","odpovídal","odpovídat","impf"," For thirty minutes I answered LG 's "" WOW! "" s with "" Come on! "" s. Finally, at a quarter past ten, an hour and a half after dark, she finally gave up and returned to the cage."," Následující půlhodinu jsme na MD naříkavé ´Uá! ´ odpovídal ´Pojď sem! ´. Ve čtvrt na jedenáct, hodinu a půl po setmění, si konečně dala říct a vrátila se do klece."
"gave","give","dala","dát","pf"," For thirty minutes I answered LG 's "" WOW! "" s with "" Come on! "" s. Finally, at a quarter past ten, an hour and a half after dark, she finally gave up and returned to the cage."," Následující půlhodinu jsme na MD naříkavé ´Uá! ´ odpovídal ´Pojď sem! ´. Ve čtvrt na jedenáct, hodinu a půl po setmění, si konečně dala říct a vrátila se do klece."
"returned","return","vrátila","vrátit","pf"," For thirty minutes I answered LG 's "" WOW! "" s with "" Come on! "" s. Finally, at a quarter past ten, an hour and a half after dark, she finally gave up and returned to the cage."," Následující půlhodinu jsme na MD naříkavé ´Uá! ´ odpovídal ´Pojď sem! ´. Ve čtvrt na jedenáct, hodinu a půl po setmění, si konečně dala říct a vrátila se do klece."
"go","go","pracovat","pracovat","impf"," The fact that the cubs lacked the energy to go on long walks in this heat gave me time to work on projects around the cage."," V letním parnu neměla medvíďata příliš energie na dlouhé procházky, takže jsme měl víc času pracovat na různých věcech kolem klece."
"work","work","pracovat","pracovat","impf"," The fact that the cubs lacked the energy to go on long walks in this heat gave me time to work on projects around the cage."," V letním parnu neměla medvíďata příliš energie na dlouhé procházky, takže jsme měl víc času pracovat na různých věcech kolem klece."
"continued","continue","Pokračoval","pokračovat","impf"," I also continued to experiment with their diet."," Pokračoval jsem také s experimentováním týkajícím se jejich stravy."
"took","take","podnikli","podniknout","pf"," Toward the end of the month, the cubs and I took an afternoon walk to Merle Wilmot 's lower log landing, and on the way back, just as we were about to cross the Grafton Turnpike, a motorcycle came racing by on the dirt road, sending the cubs up two large pine trees."," Koncem měsíce jsme s medvíďaty podnikli odpolední výlet ke skládce dříví Merleho Vilmota a cestou zpátky, právě když jsme se chystali přejít Graftonskou silnici, vyhoupl se před námi motocykl jedoucí závodní rychlostí a medvídci se otočili jako na obrtlíku, vyrazili ke dvěma urostlým borovicím, a v mžiku byli nahoře."
"cross","cross","přejít","přejít","pf"," Toward the end of the month, the cubs and I took an afternoon walk to Merle Wilmot 's lower log landing, and on the way back, just as we were about to cross the Grafton Turnpike, a motorcycle came racing by on the dirt road, sending the cubs up two large pine trees."," Koncem měsíce jsme s medvíďaty podnikli odpolední výlet ke skládce dříví Merleho Vilmota a cestou zpátky, právě když jsme se chystali přejít Graftonskou silnici, vyhoupl se před námi motocykl jedoucí závodní rychlostí a medvídci se otočili jako na obrtlíku, vyrazili ke dvěma urostlým borovicím, a v mžiku byli nahoře."
"came","come","přejít","přejít","pf"," Toward the end of the month, the cubs and I took an afternoon walk to Merle Wilmot 's lower log landing, and on the way back, just as we were about to cross the Grafton Turnpike, a motorcycle came racing by on the dirt road, sending the cubs up two large pine trees."," Koncem měsíce jsme s medvíďaty podnikli odpolední výlet ke skládce dříví Merleho Vilmota a cestou zpátky, právě když jsme se chystali přejít Graftonskou silnici, vyhoupl se před námi motocykl jedoucí závodní rychlostí a medvídci se otočili jako na obrtlíku, vyrazili ke dvěma urostlým borovicím, a v mžiku byli nahoře."
"further","further","podporují","podporovat","impf"," As for hunters as a whole, they further the goals of the wildlife manager, who seeks to protect populations of animals from becoming either so small that they are no longer viable or so large that starvation and disease can threaten the population as a whole."," A co se týče lovců obecně, ti podporují cíle správce pro lovnou zvěř, který se snaží udržet stavy zvířat na takové úrovni aby nedošlo ani k přílišnému snížení, to když druh vymírá a není dále životaschopný, ani k nežádoucímu přemnožení, kdy hrozí, že vyhladovění a nemoc ohrožuje stav daného druhu jako celku."
"seeks","seek","snaží","snažit","impf"," As for hunters as a whole, they further the goals of the wildlife manager, who seeks to protect populations of animals from becoming either so small that they are no longer viable or so large that starvation and disease can threaten the population as a whole."," A co se týče lovců obecně, ti podporují cíle správce pro lovnou zvěř, který se snaží udržet stavy zvířat na takové úrovni aby nedošlo ani k přílišnému snížení, to když druh vymírá a není dále životaschopný, ani k nežádoucímu přemnožení, kdy hrozí, že vyhladovění a nemoc ohrožuje stav daného druhu jako celku."
"threaten","threaten","hrozí","hrozit","impf"," As for hunters as a whole, they further the goals of the wildlife manager, who seeks to protect populations of animals from becoming either so small that they are no longer viable or so large that starvation and disease can threaten the population as a whole."," A co se týče lovců obecně, ti podporují cíle správce pro lovnou zvěř, který se snaží udržet stavy zvířat na takové úrovni aby nedošlo ani k přílišnému snížení, to když druh vymírá a není dále životaschopný, ani k nežádoucímu přemnožení, kdy hrozí, že vyhladovění a nemoc ohrožuje stav daného druhu jako celku."
"threaten","threaten","ohrožuje","ohrožovat","impf"," As for hunters as a whole, they further the goals of the wildlife manager, who seeks to protect populations of animals from becoming either so small that they are no longer viable or so large that starvation and disease can threaten the population as a whole."," A co se týče lovců obecně, ti podporují cíle správce pro lovnou zvěř, který se snaží udržet stavy zvířat na takové úrovni aby nedošlo ani k přílišnému snížení, to když druh vymírá a není dále životaschopný, ani k nežádoucímu přemnožení, kdy hrozí, že vyhladovění a nemoc ohrožuje stav daného druhu jako celku."
"think","think","pomyslel","pomyslet","pf"," I did n't think so."," Ne, pomyslel jsem si, žádný strach."
"seen","see","potkal","potkat","pf"," I 've tramped the New Hampshire forests since I was a boy and have seen maybe a dozen wild bears;"," Po lesích v okolí New Hampshire jsem brouzdal už jako malý kluk, a za ta léta jsem potkal dobrý tucet medvědů;"
"came","come","Došel","dojít","pf"," Their reputation for being unpredictable, I suspected, came from a general lack of knowledge about bear behavior."," Došel jsem k názoru, že pověst nepředvídatelných tvorů má původ v obecném nedostatku znalostí o jejich chování."
"did","do","nečinil","činit","impf"," LB did none of this, nor did he respond to either tree, even though he did spend ten minutes following the scent up and down the ledge."," MH nic takového nečinil a nevšímal si ani stromů, přestože se předtím deset minut honil za pachem nahoru a dolů terasou."
"did","do","nečinil","činit","impf"," LB did none of this, nor did he respond to either tree, even though he did spend ten minutes following the scent up and down the ledge."," MH nic takového nečinil a nevšímal si ani stromů, přestože se předtím deset minut honil za pachem nahoru a dolů terasou."
"did","do","nečinil","činit","impf"," LB did none of this, nor did he respond to either tree, even though he did spend ten minutes following the scent up and down the ledge."," MH nic takového nečinil a nevšímal si ani stromů, přestože se předtím deset minut honil za pachem nahoru a dolů terasou."
"did","do","prováděl","provádět","impf"," At one point, he lay down on a small patch of thick moss and did a genital drag, a recurring action since the emergence of his testicles."," V jedné chvíli si lehl na malý ostrůvek hustého mechu a pohrával si s genitáliemi, což prováděl opakovaně od té doby, co se mu objevila varlata."
"warm","warm","zahřál","zahřát","pf"," At the door of the shop, I 'd grab the lock in my hands to warm it a bit before dialing the numbers of the combination."," U dveří obchodu jsem se zastavil, sáhl po zámku a na chvíli jej sevřel v dlaních, aby se trochu zahřál - teprve pak jsem nastavil číselný kód a vzal za kliku."
"surprised","surprise","nepřekvapilo","překvapit","pf"," I was not surprised by the lack of interest in the frog, as we encounter them routinely on our walks and I 've never seen the cubs respond to the movement or smell of any reptile or amphibian."," Nijak mne nepřekvapilo, že ani jeden z nich nejeví o žábu zájem - na našich společných vycházkách jsme je potkávali každou chvíli, a nikdy jsem si nevšiml, že by některé z medvíďat reagovalo na pohyb nebo zápach plaza nebo obojživelníka."
"encounter","encounter","potkávali","potkávat","impf"," I was not surprised by the lack of interest in the frog, as we encounter them routinely on our walks and I 've never seen the cubs respond to the movement or smell of any reptile or amphibian."," Nijak mne nepřekvapilo, že ani jeden z nich nejeví o žábu zájem - na našich společných vycházkách jsme je potkávali každou chvíli, a nikdy jsem si nevšiml, že by některé z medvíďat reagovalo na pohyb nebo zápach plaza nebo obojživelníka."
"chasing","chase","honil","honit","impf"," With LB chasing LG, they would go on a wild run from tree to tree."," MH honil MD a oba divoce pobíhali od stromu ke stromu."
"dropping","drop","spadla","spadnout","pf"," At the trees LG would either climb partway up before dropping out and taking off again or take a stand behind the tree and reach around to fight LB off."," Mezi stromy MD buď vyšplhala kousek po kmeni vzhůru, nato spadla a vzápětí to zas zkoušela znovu, nebo zaujala stanoviště za stromem, mávala kolem sebe tlapami a snažila se tak odrazit bratrův útok."
"taking","take","zaujala","zaujmout","pf"," At the trees LG would either climb partway up before dropping out and taking off again or take a stand behind the tree and reach around to fight LB off."," Mezi stromy MD buď vyšplhala kousek po kmeni vzhůru, nato spadla a vzápětí to zas zkoušela znovu, nebo zaujala stanoviště za stromem, mávala kolem sebe tlapami a snažila se tak odrazit bratrův útok."
"take","take","zaujala","zaujmout","pf"," At the trees LG would either climb partway up before dropping out and taking off again or take a stand behind the tree and reach around to fight LB off."," Mezi stromy MD buď vyšplhala kousek po kmeni vzhůru, nato spadla a vzápětí to zas zkoušela znovu, nebo zaujala stanoviště za stromem, mávala kolem sebe tlapami a snažila se tak odrazit bratrův útok."
"tried","try","Pokusila","pokusit","pf"," Next she tried to figure out what she was seeing but not smelling : she looked behind the mirror from the side;"," Pokusila se tedy rozluštit, cože to vidí, ale necítí : nahlížela z boku za zrcadlo;"
"seeing","see","vidí","vidět","impf"," Next she tried to figure out what she was seeing but not smelling : she looked behind the mirror from the side;"," Pokusila se tedy rozluštit, cože to vidí, ale necítí : nahlížela z boku za zrcadlo;"
"smelling","smell","necítí","cítit","impf"," Next she tried to figure out what she was seeing but not smelling : she looked behind the mirror from the side;"," Pokusila se tedy rozluštit, cože to vidí, ale necítí : nahlížela z boku za zrcadlo;"
"seeing","see","nahlížela","nahlížet","impf"," Next she tried to figure out what she was seeing but not smelling : she looked behind the mirror from the side;"," Pokusila se tedy rozluštit, cože to vidí, ale necítí : nahlížela z boku za zrcadlo;"
"looked","look","podívala","podívat","pf"," she stood up and looked behind it from the top;"," napřímila se a podívala se za zrcadlo shora;"
"pulled","pull","vytáhla","vytáhnout","pf"," and finally she pulled the mirror over and walked on the back of it."," nakonec jej vytáhla z úchytek, povalila a prošla po jeho zadní straně."
"approached","approach","přiblížil","přiblížit","pf"," He approached it cautiously, just as Curls had done, repeating her sequence right through the slow-lick."," Stejně jako Kudrlinka, i on se nejdříve opatrně přiblížil, a opakoval všechny reakce až po olizování."
"repeating","repeat","opakoval","opakovat","impf"," He approached it cautiously, just as Curls had done, repeating her sequence right through the slow-lick."," Stejně jako Kudrlinka, i on se nejdříve opatrně přiblížil, a opakoval všechny reakce až po olizování."
"wanted","want","chce","chtít","impf"," These were the abnormal actions of a needy creature in search of something she desperately wanted."," Výpady malé medvědice se rovnaly nepřirozenému chování strádajícího tvora, který pátrá po čemsi, co zoufale chce."
"delivered","deliver","dodával","dodávat","impf"," It might have been food, but food was everywhere in the woods and delivered daily by me."," Mohlo to být jídlo, ale dlužno podotknout, že jídla bylo o okolních lesích k mání dostatek, a navíc jsem je medvíďatům denně dodával."
"running","run","provozovala","provozovat","impf"," These melees of running, biting, and wrestling would usually come full circle with the cubs making running passes by or through my legs."," Tyto šarvátky sestávající z honění, kousání a praní medvíďata většinou provozovala v mé blízkosti, pohybovala se okolo mne v jakýchsi okruzích nebo se mi přímo motala pod nohama."
"running","run","provozovala","provozovat","impf"," These melees of running, biting, and wrestling would usually come full circle with the cubs making running passes by or through my legs."," Tyto šarvátky sestávající z honění, kousání a praní medvíďata většinou provozovala v mé blízkosti, pohybovala se okolo mne v jakýchsi okruzích nebo se mi přímo motala pod nohama."
"bored","bore","nudit","nudit","impf"," When they became bored with each other, I would become a victim of their onslaughts."," A když se jeden druhého dost nabažili a hra je začala nudit, stával jsem se obětí jejich útoků já sám."
"trying","try","snažili","snažit","impf"," Running tackles of my ankles were always accompanied by biting my boot tops and leaping at me while trying to grab on to my clothing with their teeth, though they usually got a little more than clothing."," Vrhali se mi po kotníkách, chňapali po botách a vyskakovali na mne a přitom se snažili zachytit zuby o oděv, přičemž se jim často povedlo zachytit poněkud víc než jen látku."
"grab","grab","zachytit","zachytit","pf"," Running tackles of my ankles were always accompanied by biting my boot tops and leaping at me while trying to grab on to my clothing with their teeth, though they usually got a little more than clothing."," Vrhali se mi po kotníkách, chňapali po botách a vyskakovali na mne a přitom se snažili zachytit zuby o oděv, přičemž se jim často povedlo zachytit poněkud víc než jen látku."
"grab","grab","zachytit","zachytit","pf"," Running tackles of my ankles were always accompanied by biting my boot tops and leaping at me while trying to grab on to my clothing with their teeth, though they usually got a little more than clothing."," Vrhali se mi po kotníkách, chňapali po botách a vyskakovali na mne a přitom se snažili zachytit zuby o oděv, přičemž se jim často povedlo zachytit poněkud víc než jen látku."
"followed","follow","následoval","následovat","impf"," Houdini followed him north instead of fleeing to the south the way he had done all the other times."," Místo aby Houdini jako vždycky honem uháněl k jihu, následoval medvěda na sever."
"try","try","pokusil","pokusit","pf"," When I would try to remove her prematurely from my neck, her temper would flare and she would strike out with a rapid bite, causing more bruising of my already tender skin."," Když jsem se jí pokusil sundat z krku ještě předtím než se stačila přisát, rozohnila se a začala mne zuřivě kousat, čímž mi způsobila další modřiny na beztak už dost zkoušené kůži."
"remove","remove","sundat","sundat","pf"," When I would try to remove her prematurely from my neck, her temper would flare and she would strike out with a rapid bite, causing more bruising of my already tender skin."," Když jsem se jí pokusil sundat z krku ještě předtím než se stačila přisát, rozohnila se a začala mne zuřivě kousat, čímž mi způsobila další modřiny na beztak už dost zkoušené kůži."
"causing","cause","způsobila","způsobit","pf"," When I would try to remove her prematurely from my neck, her temper would flare and she would strike out with a rapid bite, causing more bruising of my already tender skin."," Když jsem se jí pokusil sundat z krku ještě předtím než se stačila přisát, rozohnila se a začala mne zuřivě kousat, čímž mi způsobila další modřiny na beztak už dost zkoušené kůži."
"check","check","zkontroloval","zkontrolovat","pf"," When I hiked in on May 29 to check it out for myself, I found that it was only seventy-five yards away from a spot Squirty had thought about using for a den in the fall of 1998."," Když jsem se sem devětadvacátého května vydal, abych strom jen tak sám pro sebe zkontroloval, zjistil jsem, že leží pouhých pětasedmdesát metrů od místa, které Drobná zamýšlela jako brloh v roce 1998."
"found","find","zjistil","zjistit","pf"," When I hiked in on May 29 to check it out for myself, I found that it was only seventy-five yards away from a spot Squirty had thought about using for a den in the fall of 1998."," Když jsem se sem devětadvacátého května vydal, abych strom jen tak sám pro sebe zkontroloval, zjistil jsem, že leží pouhých pětasedmdesát metrů od místa, které Drobná zamýšlela jako brloh v roce 1998."
"thought","think","zamýšlela","zamýšlet","impf"," When I hiked in on May 29 to check it out for myself, I found that it was only seventy-five yards away from a spot Squirty had thought about using for a den in the fall of 1998."," Když jsem se sem devětadvacátého května vydal, abych strom jen tak sám pro sebe zkontroloval, zjistil jsem, že leží pouhých pětasedmdesát metrů od místa, které Drobná zamýšlela jako brloh v roce 1998."
"share","share","podělit","podělit","pf"," In fact, when they bobbed to the surface and scrambled to shore, their coats covered with a thick layer of peat, they ran over to me to share their wealth."," Vlastně se dá říct, že když se medvíďatům s kožíšky plnými rašeliny podařilo dohrabat se ke břehu, pustili se ke mně a honem se chtěli podělit o svůj blahobyt."
"recovered","recover","vzpamatovala","vzpamatovat","pf"," There was plenty of the wet, foul-smelling muck to go around, and once they had recovered from my mean trick and sorted out the visiting bear smells around the wallow, the cubs ran wild, scampering up and down the game trails, chasing and ambushing each other, and climbing scattered trees."," Všude kolem se táhla spousta mazlavého, odporně zapáchajícího bahna a jakmile se mláďata vzpamatovala z mého lstivého činu a rozeznala kolem bahniště pach medvědů, kteří místo navštěvují, začala divoce pobíhat kolem, poskakovala nahoru dolů zvířecími stezkami, honila se, číhala jedno na druhé v úkrytu a pak prováděla nečekané výpady ze zálohy a šplhala po osamocených stromech."
"visiting","visit","navštěvují","navštěvovat","impf"," There was plenty of the wet, foul-smelling muck to go around, and once they had recovered from my mean trick and sorted out the visiting bear smells around the wallow, the cubs ran wild, scampering up and down the game trails, chasing and ambushing each other, and climbing scattered trees."," Všude kolem se táhla spousta mazlavého, odporně zapáchajícího bahna a jakmile se mláďata vzpamatovala z mého lstivého činu a rozeznala kolem bahniště pach medvědů, kteří místo navštěvují, začala divoce pobíhat kolem, poskakovala nahoru dolů zvířecími stezkami, honila se, číhala jedno na druhé v úkrytu a pak prováděla nečekané výpady ze zálohy a šplhala po osamocených stromech."
"go","go","začala","začít","pf"," There was plenty of the wet, foul-smelling muck to go around, and once they had recovered from my mean trick and sorted out the visiting bear smells around the wallow, the cubs ran wild, scampering up and down the game trails, chasing and ambushing each other, and climbing scattered trees."," Všude kolem se táhla spousta mazlavého, odporně zapáchajícího bahna a jakmile se mláďata vzpamatovala z mého lstivého činu a rozeznala kolem bahniště pach medvědů, kteří místo navštěvují, začala divoce pobíhat kolem, poskakovala nahoru dolů zvířecími stezkami, honila se, číhala jedno na druhé v úkrytu a pak prováděla nečekané výpady ze zálohy a šplhala po osamocených stromech."
"chasing","chase","honila","honit","impf"," There was plenty of the wet, foul-smelling muck to go around, and once they had recovered from my mean trick and sorted out the visiting bear smells around the wallow, the cubs ran wild, scampering up and down the game trails, chasing and ambushing each other, and climbing scattered trees."," Všude kolem se táhla spousta mazlavého, odporně zapáchajícího bahna a jakmile se mláďata vzpamatovala z mého lstivého činu a rozeznala kolem bahniště pach medvědů, kteří místo navštěvují, začala divoce pobíhat kolem, poskakovala nahoru dolů zvířecími stezkami, honila se, číhala jedno na druhé v úkrytu a pak prováděla nečekané výpady ze zálohy a šplhala po osamocených stromech."
"climbing","climb","šplhala","šplhat","impf"," There was plenty of the wet, foul-smelling muck to go around, and once they had recovered from my mean trick and sorted out the visiting bear smells around the wallow, the cubs ran wild, scampering up and down the game trails, chasing and ambushing each other, and climbing scattered trees."," Všude kolem se táhla spousta mazlavého, odporně zapáchajícího bahna a jakmile se mláďata vzpamatovala z mého lstivého činu a rozeznala kolem bahniště pach medvědů, kteří místo navštěvují, začala divoce pobíhat kolem, poskakovala nahoru dolů zvířecími stezkami, honila se, číhala jedno na druhé v úkrytu a pak prováděla nečekané výpady ze zálohy a šplhala po osamocených stromech."
"Continuing","continue","pokračoval","pokračovat","impf"," Continuing these experiments sporadically over the next several years, I saw a number of additional examples that I thought to be self-directed behavior."," Během příštích několika let jsem v těchto experimentech příležitostně pokračoval, a byl svědkem mnoha dodatečných situací, které považuji za příklady chování zaměřeného na vlastní bytost."
