"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"seen","see","viděl","vidět","impf"," Everyone had seen the camerlegno get in the helicopter."," Každý ho přece viděl, jak nasedá do vrtulníku."
"witnessed","witness","viděli","vidět","impf"," They had all witnessed the ball of light in the sky."," A všichni také viděli ohnivou kouli na obloze."
"Transported","transport","dopravili","dopravit","pf"," Transported by angels?"," Cožpak ho tam dopravili andělé?"
"wanted","want","nepřálo","přát","impf"," Mortati 's heart wanted nothing more than to believe, but his mind cried out for reason."," Mortatiho srdce si nic nepřálo víc, než aby smělo věřit, mozek ho však nabádal k rozumu."
"believe","believe","věřit","věřit","impf"," Mortati 's heart wanted nothing more than to believe, but his mind cried out for reason."," Mortatiho srdce si nic nepřálo víc, než aby smělo věřit, mozek ho však nabádal k rozumu."
"stared","stare","zírali","zírat","impf"," And yet all around him, the cardinals stared up, obviously seeing what he was seeing, paralyzed with wonder."," Přesto všichni kolem něj, včetně kardinálů, zírali vzhůru a celí ztuhlí údivem zřejmě viděli totéž, co on."
"seeing","see","viděli","vidět","impf"," And yet all around him, the cardinals stared up, obviously seeing what he was seeing, paralyzed with wonder."," Přesto všichni kolem něj, včetně kardinálů, zírali vzhůru a celí ztuhlí údivem zřejmě viděli totéž, co on."
"seeing","see","viděli","vidět","impf"," And yet all around him, the cardinals stared up, obviously seeing what he was seeing, paralyzed with wonder."," Přesto všichni kolem něj, včetně kardinálů, zírali vzhůru a celí ztuhlí údivem zřejmě viděli totéž, co on."
"reply","reply","neodpověděl","odpovědět","pf"," The commander did not reply."," Velitel neodpověděl."
"took","take","Vzal","vzít","pf"," He took his guard aside and spoke in hushed tones."," Vzal vojáka stranou a cosi mu tiše vykládal."
"nodded","nod","přikývl","přikývnout","pf"," The guard seemed uncertain but nodded obediently."," Mladý muž vypadal nejistě, ale poslušně přikývl."
"turned","turn","obrátil","obrátit","pf"," When Olivetti was finished talking, the guard turned to Langdon."," Když Olivetti domluvil, voják se obrátil k Langdonovi."
"headed","head","mířil","mířit","impf"," Langdon and the guard headed for the door."," Langdon mířil s gardistou ke dveřím."
"started","start","vyrazila","vyrazit","pf"," Vittoria started after them."," Vittoria vyrazila za nimi."
"help","help","pomůžu","pomoci","pf"," “ I 'll help. ”"," "" Já vám pomůžu. """
"caught","catch","chytil","chytit","pf"," Olivetti caught her by the arm."," Olivetti ji však chytil za paži."
"felt","feel","cítil","cítit","impf"," But instead, he felt a new compulsion rising within him."," A přece cítil, že v něm začíná klíčit jakési nové nutkání."
"FIND","find","Najít","najít","pf"," FIND THE ILLUMINATI LAIR."," Najít iluminátské doupě."
"found","find","zjistil","zjistit","pf"," He could have found out who knew about the antimatter project and has come to share information. ”"," Třeba zjistil, kdo o tom projektu s antihmotou něco ví, a přijel sem s nějakými informacemi. """
"come","come","přijel","přijet","pf"," He could have found out who knew about the antimatter project and has come to share information. ”"," Třeba zjistil, kdo o tom projektu s antihmotou něco ví, a přijel sem s nějakými informacemi. """
"said","say","povídal","povídat","impf"," “ The killer said he was coming to brand the camerlegno. ”"," "" Ten vrahoun ovšem povídal, že přichází, aby vypálil cejch camerlengovi. """
"coming","come","přichází","přicházet","impf"," “ The killer said he was coming to brand the camerlegno. ”"," "" Ten vrahoun ovšem povídal, že přichází, aby vypálil cejch camerlengovi. """
"brand","brand","vypálil","vypálit","pf"," “ The killer said he was coming to brand the camerlegno. ”"," "" Ten vrahoun ovšem povídal, že přichází, aby vypálil cejch camerlengovi. """
"get","get","nedostal","dostat","pf"," Max would never get out alive. ”"," Odtud by se Max nikdy živý nedostal. """
"said","say","pronesl","pronést","pf"," “ Santi DESIGNED the tomb, ” Langdon said."," "" Santi ten hrob navrhl, "" pronesl Langdon."
"turned","turn","otočila","otočit","pf"," Vittoria turned."," Vittoria se otočila."
"DESIGNED","design","navrhl","navrhnout","pf"," “ It 's not a reference to where Raphael is buried, it 's referring to a tomb he DESIGNED. ”"," "" Hrob, o kterém se v básni hovoří, není ten, ve kterém Rafael leží, nýbrž ten, který jako architekt navrhl. """
"interrupted","interrupt","přerušil","přerušit","pf"," “ Please, ” the camerlegno interrupted."," "" Dobrá, "" přerušil jej camerlengo."
"believe","believe","myslí","myslet","impf"," Most scholars believe it is through the secret door behind St. Peter 's Throne. ”"," Většina badatelů si myslí, že se tam jde tajnými dveřmi za trůnem svatého Petra. """
"heard","hear","Neslyšela","slyšet","impf"," “ You have n't heard of GRAVITY? ”"," "" Neslyšela jsi o gravitaci? """
"answers","answer","odpovídá","odpovídat","impf"," Gravity answers a LOT of questions. ”"," Gravitace odpovídá na mnoho otázek. """
"sat","sit","posadila","posadit","pf"," Vittoria sat up."," Vittoria se posadila."
"say","say","Povím","povědět","pf"," “ What do you say I tell you over dinner. ”"," "" Povím ti to až po večeři, co říkáš? """
"tell","tell","Povím","povědět","pf"," “ What do you say I tell you over dinner. ”"," "" Povím ti to až po večeři, co říkáš? """
"say","say","říkáš","říkat","impf"," “ What do you say I tell you over dinner. ”"," "" Povím ti to až po večeři, co říkáš? """
"tell","tell","říkáš","říkat","impf"," “ What do you say I tell you over dinner. ”"," "" Povím ti to až po večeři, co říkáš? """
"said","say","říkal","říkat","impf"," I'M SURE YOU'VE HEARD ABOUT THE SIXTH BRAND, the killer had said."," Určitě jste už o tom šestém znamení slyšel, říkal ten zabiják."
"seems","seem","zdá","zdát","impf"," Math just seems logical. ”"," Logicky se z toho tedy zdá vyplývat matematika. """
"agree","agree","Souhlasím","souhlasit","impf"," “ I agree. ”"," "" Souhlasím ""."
"read","read","přečtu","přečíst","pf"," “ It 'll take some time to read all the pages. ”"," "" Já tomu tedy věnuji ještě trochu času a přečtu stránku od stránky. """
"split","split","rozdělit","rozdělit","pf"," We 'll have to split the work. ”"," Musíme si úkoly rozdělit. """
"nodded","nod","přikývl","přikývnout","pf"," Langdon nodded."," Langdon přikývl."
"agreed","agree","souhlasil","souhlasit","impf"," “ Yesterday, I would have agreed with you. ”"," "" Ještě včera bych s vámi souhlasil. """
"believe","believe","Domnívám","domnívat","impf"," I believe the Illuminati have resurfaced to make good on an ancient pact. ”"," Domnívám se, že ilumináti byli znovu vzkříšeni, aby realizovali pradávný záměr, k němuž se zavázali. """
"telling","tell","neřekl","říci","pf"," Either her father had taken someone into his confidence without telling her, which made no sense because it was her FATHER who had sworn them both to secrecy, or she and her father had been monitored."," Buď se s tím otec někomu svěřil, a jí o tom nic neřekl - což ale vypadalo nesmyslně, protože to byl právě jeho nápad, zavázat oba k naprostému mlčení - anebo je oba odposlouchávali."
"spoken","speak","hovořili","hovořit","impf"," She knew they had spoken a few times while Vittoria was traveling."," Věděla, že spolu několikrát hovořili, když byla Vittoria na cestách."
"said","say","Řekli","říci","pf"," Had they said too much?"," Řekli toho snad příliš?"
"monitored","monitor","kontroloval","kontrolovat","impf"," Had they been monitored somehow without their knowledge?"," Někdo je kontroloval, aniž si toho všimli?"
"smelled","smell","páchl","páchnout","impf"," The air smelled dank."," Vzduch tam zatuchle páchl."
"living","live","bydlela","bydlet","impf"," She was eight years old, living where she always had, ORFANOTROFIO DI SIENA, a Catholic orphanage near Florence, deserted by parents she never knew."," Bylo jí tenkrát osm let a bydlela tam, kde odjakživa - v Orfanotrofio di Siena, katolickém sirotčinci nedaleko Florencie, opuštěná rodiči, které nikdy nepoznala."
"raining","rain","pršelo","pršet","impf"," It was raining that day."," Toho dne pršelo."
"called","call","volaly","volat","impf"," The nuns had called for her twice to come to dinner, but as always she pretended not to hear."," Jeptišky ji dvakrát volaly k večeři, ale ona jako vždy předstírala, že neslyší."
"pretended","pretend","předstírala","předstírat","impf"," The nuns had called for her twice to come to dinner, but as always she pretended not to hear."," Jeptišky ji dvakrát volaly k večeři, ale ona jako vždy předstírala, že neslyší."
"hear","hear","neslyší","slyšet","impf"," The nuns had called for her twice to come to dinner, but as always she pretended not to hear."," Jeptišky ji dvakrát volaly k večeři, ale ona jako vždy předstírala, že neslyší."
"lay","lie","Ležela","ležet","impf"," She lay outside in the courtyard, staring up at the raindrops ... feeling them hit her body ... trying to guess where one would land next."," Ležela venku na dvoře, pozorovala dešťové kapky ... cítila, jak dopadají na její tělo ... a snažila se uhodnout, kam dopadne ta příští."
"trying","try","snažila","snažit","impf"," She lay outside in the courtyard, staring up at the raindrops ... feeling them hit her body ... trying to guess where one would land next."," Ležela venku na dvoře, pozorovala dešťové kapky ... cítila, jak dopadají na její tělo ... a snažila se uhodnout, kam dopadne ta příští."
"guess","guess","uhodnout","uhodnout","pf"," She lay outside in the courtyard, staring up at the raindrops ... feeling them hit her body ... trying to guess where one would land next."," Ležela venku na dvoře, pozorovala dešťové kapky ... cítila, jak dopadají na její tělo ... a snažila se uhodnout, kam dopadne ta příští."
"served","serve","Sloužil","sloužit","impf"," I have served your Pope for twelve years!"," Sloužil jsem vašemu papeži dvanáct let!"
"snatched","snatch","popadl","popadnout","pf"," Olivetti snatched it up and pressed the transmitter."," Olivetti ji popadl a stiskl knoflík."
"pressed","press","stiskl","stisknout","pf"," Olivetti snatched it up and pressed the transmitter."," Olivetti ji popadl a stiskl knoflík."
"possess","possess","mají","mít","impf"," They were even rumored to possess the single most valuable gem on earth - the Illuminati Diamond, a flawless diamond of enormous proportions."," Proslýchalo se také, že mají nejcennější drahokam na světě - iluminátský briliant, čirý diamant enormní velikosti."
"said","say","prohlásil","prohlásit","pf"," “ Money, ” Langdon said."," "" Finanční zisk, "" prohlásil Langdon."
"stolen","steal","ukrást","ukrást","pf"," “ The antimatter could have been stolen for financial gain. ”"," "" Antihmotu mohli ukrást pro peníze. """
"stole","steal","ukradl","ukrást","pf"," Maybe someone stole the specimen to do analysis and R and D. ”"," Možná, že někdo ten vzorek ukradl, aby ve výzkumu a vývoji pokračoval sám. """
"hear","hear","neslyšela","slyšet","impf"," Vittoria did not seem to hear."," Jako by ho neslyšela."
"hurried","hurry","spěchal","spěchat","impf"," Langdon hurried up the stairs behind her."," Langdon spěchal po schodech nahoru za ní."
"going","go","půjde","jít","impf"," Dr. Jacobus decided, when his shift got off at 8 A.M., he was going straight to church."," Doktor Jacobus si řekl, že jakmile mu ráno v osm skončí služba, půjde odtud rovnou do kostela."
"seen","see","viděl","vidět","impf"," He knew he had seen Vittoria unconscious on the floor."," Vzpomněl si, že Vittorii viděl ležet v bezvědomí na podlaze."
"see","see","neviděl","vidět","impf"," The man had his back to Langdon, and Langdon could not see his face, but he DID indeed seem to be standing."," Muž byl sice k Langdonovi obrácený zády, takže mu neviděl do tváře, v každém případě se však zdálo, že opravdu stojí."
"seem","seem","zdálo","zdát","impf"," The man had his back to Langdon, and Langdon could not see his face, but he DID indeed seem to be standing."," Muž byl sice k Langdonovi obrácený zády, takže mu neviděl do tváře, v každém případě se však zdálo, že opravdu stojí."
"answer","answer","neodpověděl","odpovědět","pf"," Langdon did not answer."," Langdon neodpověděl."
"see","see","viděl","vidět","impf"," He was now close enough to see it all."," Byl už nyní dostatečně blízko, aby viděl, jak se věci ve skutečnosti mají."
"swam","swim","plaval","plavat","impf"," Taking an acrid breath from the tube, Langdon let go and swam across the bottom of the fountain until he found the smooth swell of the central core."," Když už však cítil, že se skutečně začíná dusit, nadechl se ještě jednou páchnoucího vzduchu z trubice, riskl to a plaval při dnu fontány, až ucítil jeho pozvolné stoupání k vyvýšenině uprostřed."
"needed","need","potřeboval","potřebovat","impf"," That was all Langdon needed to see."," To bylo všechno, co potřeboval vědět."
"released","release","pustila","pustit","pf"," The hand released Langdon 's neck, twisting and jerking away into the dark."," Ruka pustila Langdonův krk, kroutila se a škubala sebou."
"twisting","twist","kroutila","kroutit","impf"," The hand released Langdon 's neck, twisting and jerking away into the dark."," Ruka pustila Langdonův krk, kroutila se a škubala sebou."
"fell","fall","dopadla","dopadnout","pf"," When the killer finally pulled his arm free, the casket fell with a conclusive thud against the flat marble floor."," Nakonec se zabijákovi podařilo celou paži zpod rakve vytrhnout a rakev konečně s rachotem dopadla na mramorovou podlahu."
"get","get","dostat","dostat","pf"," No prying to get in."," Žádné páčení ve snaze se na něj dostat."
"deserve","deserve","nezaslouží","zasloužit","pf"," A man like your father does not deserve to be remembered as the creator of a weapon of mass destruction. ”"," Člověk, jako byl on, si nezaslouží, aby se na něj vzpomínalo jako na tvůrce zbraně hromadného ničení. """
"remembered","remember","vzpomínalo","vzpomínat","impf"," A man like your father does not deserve to be remembered as the creator of a weapon of mass destruction. ”"," Člověk, jako byl on, si nezaslouží, aby se na něj vzpomínalo jako na tvůrce zbraně hromadného ničení. """
"felt","feel","cítila","cítit","impf"," Vittoria felt his spear hit home."," Vittoria cítila, že tkl do živého."
"opened","open","otevřely","otevřít","pf"," When the door opened, Kohler was still talking."," Když se dveře otevřely, Kohler stále ještě hovořil."
"talking","talk","hovořil","hovořit","impf"," When the door opened, Kohler was still talking."," Když se dveře otevřely, Kohler stále ještě hovořil."
"tried","try","zkusila","zkusit","pf"," Vittoria stepped out of the elevator, pulled out her phone, and tried again."," Vittoria vystoupila z výtahu, vzala telefon a zkusila to znovu."
"said","say","prohlásil","prohlásit","pf"," “ There 's GOT to be something, ” he said, the hoarse desperation in his voice surprising him."," "" Něco tu být musí, "" prohlásil a sám se podivil drsné odhodlanosti vlastního hlasu."
"turned","turn","otočil","otočit","pf"," Langdon turned and stared at her."," Langdon se otočil a vyčítavě se na ni podíval."
"believed","believe","domnívají","domnívat","impf"," Historians believed he had also written an obscure booklet called DIAGRAMMA."," Historikové se domnívají, že od něho rovněž pochází neznámá knížečka nazvaná Diagrammna."
"heard","hear","neslyšela","slyšet","impf"," “ Never heard of it. ”"," "" O tom jsem nikdy neslyšela. """
"held","hold","mělo","mít","impf"," DIAGRAMMA was Galileo 's most secretive work - supposedly some sort of treatise on scientific facts he held to be true but was not allowed to share."," Diagramma bylo Galileovo nejskrytější dílo - mělo to být jakési pojednání o vědeckých skutečnostech, které pokládal za prokázané, avšak nesměl je zveřejnit."
"allowed","allow","nesměl","smět","impf"," DIAGRAMMA was Galileo 's most secretive work - supposedly some sort of treatise on scientific facts he held to be true but was not allowed to share."," Diagramma bylo Galileovo nejskrytější dílo - mělo to být jakési pojednání o vědeckých skutečnostech, které pokládal za prokázané, avšak nesměl je zveřejnit."
"published","publish","uveřejněn","uveřejnit","pf"," Like some of Galileo 's previous manuscripts, DIAGRAMMA was smuggled out of Rome by a friend and quietly published in Holland."," Podobně jako některé předcházející Galileovy rukopisy byl i tento propašován z Říma a potom klidně uveřejněn v Holandsku."
"lead","lead","Vedl","vést","impf"," You would lead us well. ”"," Vedl byste nás dobře. """
"lead","lead","Vedl","vést","impf"," I would lead you briefly. ”"," Vedl bych vás jen krátce. """
"laughed","laugh","zasmáli","zasmát","pf"," They both laughed."," Oba se zasmáli."
"reached","reach","došli","dojít","pf"," As they reached the end of the Borgia Courtyard, the cardinal hesitated."," Když došli na konec Borgiovského nádvoří, kardinál zaváhal."
"hesitated","hesitate","zaváhal","zaváhat","pf"," As they reached the end of the Borgia Courtyard, the cardinal hesitated."," Když došli na konec Borgiovského nádvoří, kardinál zaváhal."
"turned","turn","obrátil","obrátit","pf"," He turned to Mortati with a troubled mystification, as if the precarious awe of the night before had slipped back into his heart."," S ustaraným výrazem se obrátil k Mortatimu, jako kdyby si v duchu znovu vybavil celou tu hrůzu včerejší noci."
"forced","force","Přinutila","přinutit","pf"," She forced herself to hold on and assess the situation logically."," Přinutila se vydržet a logicky posoudit celou situaci."
"hold","hold","vydržet","vydržet","pf"," She forced herself to hold on and assess the situation logically."," Přinutila se vydržet a logicky posoudit celou situaci."
"assess","assess","posoudit","posoudit","pf"," She forced herself to hold on and assess the situation logically."," Přinutila se vydržet a logicky posoudit celou situaci."
"understood","understand","rozuměla","rozumět","impf"," But the harder she focused, the less she understood."," Čím víc o tom ale přemýšlela, tím méně tomu rozuměla."
"murdered","murder","zavražděn","zavraždit","pf"," Her father had been murdered."," Její otec byl zavražděn."
"help","help","pomohl","pomoci","pf"," And the director had nominated an art teacher to help them find a mythical fraternity of Satanists."," Ředitel povolal profesora umění, aby jim pomohl najít mytické bratrstvo satanistů."
"find","find","najít","najít","pf"," And the director had nominated an art teacher to help them find a mythical fraternity of Satanists."," Ředitel povolal profesora umění, aby jim pomohl najít mytické bratrstvo satanistů."
"felt","feel","cítila","cítit","impf"," Vittoria felt suddenly all alone."," Vittoria se náhle cítila úplně osamělá."
"turned","turn","Obrátila","obrátit","pf"," She turned to go, but Kohler cut her off."," Obrátila se k odchodu, ale Kohler ji zadržel."
"hurried","hurry","spěchal","spěchat","impf"," Chartrand hurried down the second corridor, turned another corner, and rushed to the library door."," Chartrand spěchal druhou chodbou, odbočil za další roh a řítil se ke dveřím knihovny."
"rushed","rush","spěchal","spěchat","impf"," Chartrand hurried down the second corridor, turned another corner, and rushed to the library door."," Chartrand spěchal druhou chodbou, odbočil za další roh a řítil se ke dveřím knihovny."
"rushed","rush","řítil","řítit","impf"," Chartrand hurried down the second corridor, turned another corner, and rushed to the library door."," Chartrand spěchal druhou chodbou, odbočil za další roh a řítil se ke dveřím knihovny."
"hesitated","hesitate","váhal","váhat","impf"," Chartrand hesitated."," Chartrand váhal."
"appearing","appear","přišlo","přijít","pf"," The inspiration had been God 's own - appearing like a beacon in the camerlegno 's night of agony."," Vnuknutí přišlo od samotného Boha - jako maják zazářivší v camerlengově noci hrůz."
"SHOW","show","Ukaž","ukázat","pf"," SHOW THEM THE OLD DEMONS."," Ukaž jim ty staré démony."
"REMIND","remind","Připomeň","připomenout","pf"," REMIND THEM OF THEIR FEAR."," Připomeň jim, čeho se odjakživa mají bát."
"broken","break","neporušil","porušit","pf"," He had broken no vow."," Žádnou přísahu neporušil."
"explain","explain","nevysvětlil","vysvětlit","pf"," He did n't explain it to you? ”"," Copak ti to nevysvětlil? """
"remembered","remember","vzpomněl","vzpomenout","pf"," The camerlegno remembered running out of the Pope 's office while the Pope was calling to him."," Camerlengo si vzpomněl, že když prchal z papežovy pracovny, papež za ním volal :"
"running","run","prchal","prchat","impf"," The camerlegno remembered running out of the Pope 's office while the Pope was calling to him."," Camerlengo si vzpomněl, že když prchal z papežovy pracovny, papež za ním volal :"
"calling","call","volal","volat","impf"," The camerlegno remembered running out of the Pope 's office while the Pope was calling to him."," Camerlengo si vzpomněl, že když prchal z papežovy pracovny, papež za ním volal :"
"listened","listen","naslouchal","naslouchat","impf"," Sitting there in his paper gown, Langdon listened in amazement to the conversation."," Na sobě papírovou košili, Langdon ohromeně naslouchal, o čem spolu ti dva muži hovořili."
"see","see","vidět","vidět","impf"," Although he could n't see what was happening, when he heard the shocking finale, he was thankful he had been spared the visual."," Přestože nemohl vidět, co se dělo, ve chvíli, kdy uslyšel závěr jejich rozhovoru, byl z duše rád, že to neviděl."
"heard","hear","uslyšel","uslyšet","pf"," Although he could n't see what was happening, when he heard the shocking finale, he was thankful he had been spared the visual."," Přestože nemohl vidět, co se dělo, ve chvíli, kdy uslyšel závěr jejich rozhovoru, byl z duše rád, že to neviděl."
"see","see","neviděl","vidět","impf"," Although he could n't see what was happening, when he heard the shocking finale, he was thankful he had been spared the visual."," Přestože nemohl vidět, co se dělo, ve chvíli, kdy uslyšel závěr jejich rozhovoru, byl z duše rád, že to neviděl."
"began","begin","začal","začít","pf"," As the conversation began playing again from the beginning, Langdon lowered the camcorder from his ear and sat in appalled mystification."," Když celý záznam začal znovu od začátku, Langdon oddálil kameru od ucha a zůstal celý zkoprnělý."
"wanted","want","Chtělo","chtít","impf"," He wanted to vomit again."," Chtělo se mu zase zvracet."
"vomit","vomit","zvracet","zvracet","impf"," He wanted to vomit again."," Chtělo se mu zase zvracet."
"started","start","začal","začít","pf"," A crowd had started to gather now around them."," Kolem nich se začal shromažďovat hlouček lidí."
"gather","gather","shromažďovat","shromažďovat","impf"," A crowd had started to gather now around them."," Kolem nich se začal shromažďovat hlouček lidí."
"suggest","suggest","Navrhuji","navrhovat","impf"," I suggest you - ”"," Navrhuji vám - """
"ended","end","ukončili","ukončit","pf"," The guards ended it."," Vojáci to ukončili."
"understood","understand","rozuměl","rozumět","impf"," But the camerlegno understood."," Camerlengo však rozuměl."
"felt","feel","cítil","cítit","impf"," As the guards unbolted the door of the Sistine Chapel, Camerlegno Carlo Ventresca felt the power moving in his veins ... exactly as it had when he was a boy."," Když stráž odemkla dveře Sixtinské kaple, camerlengo Carlo Ventresca cítil sílu proudící jeho žilami, tak jako kdysi, jako když byl malý chlapec."
"chosen","choose","vybral","vybrat","pf"," God had chosen him."," Bůh si jej vybral."
"felt","feel","cítil","cítit","impf"," The camerlegno felt reborn."," Náhle se cítil jako znovuzrozený."
"dressed","dress","oblékli","obléknout","pf"," The Swiss Guard had bandaged his chest, bathed him, and dressed him in a fresh white linen robe."," Vojáci Švýcarské gardy mu ovázali hruď, vykoupali ho a oblékli jej do čisté bílé řízy."
"placed","place","umístěna","umístit","pf"," What had caught Langdon 's eye was that the work had apparently been placed in one of the five churches on his list."," Langdon si ale všiml spíš toho, že socha byla zřejmě umístěna v jednom z pěti kostelů, které měl na svém seznamu."
"boarded","board","nasedl","nasednout","pf"," With the camcorder in hand, he boarded the same golf cart he had ridden earlier that day."," S videokamerou v ruce nasedl do stejného golfového vozítka, kterého použil už předtím téhož dne."
"see","see","neviděl","vidět","impf"," He also preferred no one see him coming."," I bez toho by byl raději, kdyby ho nikdo neviděl přicházet."
"coming","come","přicházet","přicházet","impf"," He also preferred no one see him coming."," I bez toho by byl raději, kdyby ho nikdo neviděl přicházet."
"accelerated","accelerate","urychlil","urychlit","pf"," “ He accelerated the particle beam through a jet of xenon, stripping away the electrons."," "" Otec urychlil paprsek částic pomocí xenonu a elektrony tím odstranil."
"keeping","keep","udržoval","udržovat","impf"," He insisted on keeping the exact procedure a secret, but it involved simultaneously injecting raw electrons into the accelerator. ”"," Podrobnosti celého postupu udržoval v tajnosti, ale soudím, že do urychlovače se při tom současně vstřikovaly holé elektrony. """
"felt","feel","cítil","cítit","impf"," Langdon felt lost, wondering if their conversation was still in English."," Langdon cítil, že je úplně mimo, a pochyboval, zda jejich rozhovor vůbec ještě probíhá v angličtině."
"realized","realize","uvědomil","uvědomit","pf"," A stark foreboding set in as he realized he was currently sitting at ground zero."," Zmocnilo se jej neblahé tušení, když si uvědomil, že právě sedí rovnou v epicentru."
"sitting","sit","sedí","sedět","impf"," A stark foreboding set in as he realized he was currently sitting at ground zero."," Zmocnilo se jej neblahé tušení, když si uvědomil, že právě sedí rovnou v epicentru."
"sounded","sound","zněl","znít","impf"," Olivetti 's whisper now sounded more like a hiss."," Olivettiho šepot nyní zněl spíš jako syčení."
"nodded","nod","přikývla","přikývnout","pf"," Vittoria nodded."," Vittoria přikývla."
"stolen","steal","Ukradli","ukrást","pf"," It was stolen from us."," Ukradli nám ho."
"contains","contain","Obsahuje","obsahovat","impf"," It contains an extremely combustible substance called antimatter. ”"," Obsahuje vysoce výbušnou látku, která se nazývá antihmota. """
"called","call","nazývá","nazývat","impf"," It contains an extremely combustible substance called antimatter. ”"," Obsahuje vysoce výbušnou látku, která se nazývá antihmota. """
"feel","feel","cítil","cítit","impf"," The camerlegno began to feel the fog of wonder and adrenaline dissipating."," Camerlengo cítil, že opar úžasu a vzrušení se začíná rozptylovat."
"began","begin","začíná","začínat","impf"," The camerlegno began to feel the fog of wonder and adrenaline dissipating."," Camerlengo cítil, že opar úžasu a vzrušení se začíná rozptylovat."
"dissipating","dissipate","rozptylovat","rozptylovat","impf"," The camerlegno began to feel the fog of wonder and adrenaline dissipating."," Camerlengo cítil, že opar úžasu a vzrušení se začíná rozptylovat."
"prayed","pray","Modlil","modlit","impf"," He had prayed for strength, and God had given it to him."," Modlil se k Bohu, aby mu dal sílu, a Bůh mu ji dal."
"given","give","dal","dát","pf"," He had prayed for strength, and God had given it to him."," Modlil se k Bohu, aby mu dal sílu, a Bůh mu ji dal."
"given","give","dal","dát","pf"," He had prayed for strength, and God had given it to him."," Modlil se k Bohu, aby mu dal sílu, a Bůh mu ji dal."
"doubted","doubt","pochybovat","pochybovat","impf"," At moments when he had doubted, God had spoken."," Ve chvílích, kdy už začal pochybovat, Bůh k němu promluvil."
"spoken","speak","promluvil","promluvit","pf"," At moments when he had doubted, God had spoken."," Ve chvílích, kdy už začal pochybovat, Bůh k němu promluvil."
"dominated","dominate","vládla","vládnout","impf"," For two millennia your church has dominated the quest for truth."," Po dva tisíce let vaše církev vládla nad hledáním pravdy."
"crushed","crush","Rozdrtili","rozdrtit","pf"," You have crushed your opposition with lies and prophesies of doom."," Rozdrtili jste ty, kteří se stavěli proti vám, lžemi a výhrůžkami, zatracením."
"serve","serve","sloužila","sloužit","impf"," You have manipulated the truth to serve your needs, murdering those whose discoveries did not serve your politics."," Zmanipulovali jste pravdu, aby sloužila vašim potřebám, a zabíjeli jste ty, jejichž objevy nesloužily vašim zájmům."
"serve","serve","sloužila","sloužit","impf"," You have manipulated the truth to serve your needs, murdering those whose discoveries did not serve your politics."," Zmanipulovali jste pravdu, aby sloužila vašim potřebám, a zabíjeli jste ty, jejichž objevy nesloužily vašim zájmům."
"serve","serve","nesloužily","sloužit","impf"," You have manipulated the truth to serve your needs, murdering those whose discoveries did not serve your politics."," Zmanipulovali jste pravdu, aby sloužila vašim potřebám, a zabíjeli jste ty, jejichž objevy nesloužily vašim zájmům."
"serve","serve","nesloužily","sloužit","impf"," You have manipulated the truth to serve your needs, murdering those whose discoveries did not serve your politics."," Zmanipulovali jste pravdu, aby sloužila vašim potřebám, a zabíjeli jste ty, jejichž objevy nesloužily vašim zájmům."
"laughed","laugh","zasmál","zasmát","pf"," The caller laughed."," Volající se zasmál."
"appeared","appear","objevil","objevit","pf"," High above Vatican City, a pinpoint of light appeared in the sky."," Vysoko nad Vatikánem se na obloze objevil zářící bod."
"born","bear","zrodilo","zrodit","pf"," For a fleeting instant, a new heavenly body had been born ... a speck of light as pure and white as anyone had ever seen."," Na okamžik to vypadalo, jako kdyby se zrodilo nové nebeské těleso - světlá tečka, naprosto čistá a bílá."
"realized","realize","uvědomil","uvědomit","pf"," This, Langdon realized to his amazement, was the hub of the world 's most listened-to radio programming - RADIO VATICANA - spreading the word of God to millions of listeners around the globe."," Langdon si ke svému překvapení uvědomil, že zde je jádro světově nejposlouchanějšího programu Rádia Vatikán, který tlumočí slovo Boží milionům posluchačů na celém světě."
"believe","believe","uvěřit","uvěřit","pf"," As the cart wound round, Langdon could barely believe the sight now coming into view."," Když se vozík otáčel, Langdon stěží mohl uvěřit pohledu, který se před ním otevřel."
"thought","think","pomyslel","pomyslet","pf"," GIARDINI VATICANI, he thought."," Giardini Vaticani, Vatikánské zahrady, pomyslel si."
"ask","ask","Prosil","prosit","impf"," “ I ask only this ... ”"," "" Prosil bych vás jen o jedno ... """
"go","go","Půjdu","jít","impf"," I will go into the square right now and find a way."," Půjdu teď rovnou na náměstí a něco mě napadne."
"tell","tell","povím","povědět","pf"," I will tell them."," Něco jim povím."
"find","find","najdu","najít","pf"," I do n't know how ... but I will find a way."," Nevím ještě co, ale nějaké východisko už najdu."
"turned","turn","obrátil","obrátit","pf"," Mortati turned sadly back toward the altar."," Mortati se obrátil pln smutku zpátky k oltáři."
"need","need","Musím","muset","impf"," “ I need to see what direction that sculpture is pointing! ”"," "" Musím se podívat, kterým směrem to sousoší ukazuje! """
"see","see","podívat","podívat","pf"," “ I need to see what direction that sculpture is pointing! ”"," "" Musím se podívat, kterým směrem to sousoší ukazuje! """
"pointing","point","ukazuje","ukazovat","impf"," “ I need to see what direction that sculpture is pointing! ”"," "" Musím se podívat, kterým směrem to sousoší ukazuje! """
