"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"stayed","stay","zůstaly","zůstat","pf"," The other two-thirds stayed firmly at home and lived full, rich and happy lives until they were all suddenly wiped out by a virulent disease contracted from a dirty telephone."," Zbývající dvě třetiny pochopitelně zůstaly pěkně doma a žily plným, bohatým a šťastným životem, dokud je v mžiku nevyhladila infekční choroba, která se roznesla nakaženými telefony."
"fought","fight","bojoval","bojovat","impf"," In the hours preceding the crash Ford Prefect had fought furiously but in vain to unlock the controls of the ship from their pre-ordained flight path."," Celých několik hodin před nuceným přistáním Ford Prefect zuřivě, leč marně bojoval, aby odblokoval přístroje a odvrátil loď z předurčené dráhy letu."
"try","try","zkuste","zkusit","pf"," And try to concentrate this time. ”"," A zkuste se konečně soustředit. """
"concentrate","concentrate","soustředit","soustředit","pf"," And try to concentrate this time. ”"," A zkuste se konečně soustředit. """
"leaned","lean","opřel","opřít","pf"," Ford leaned his elbow against the tree and his hand against his head."," Ford se opřel o strom."
"visit","visit","navštívit","navštívit","pf"," You can visit it as many times as you like ( mayan on-visit re-onvisiting ... and so on - for further tense-corrections consult Dr Streetmentioner ’ s book ) and be sure of never meeting yourself, because of the embarrassment this usually causes."," Restaurant můžete navštívit kolikrát chcete ( mocníte hojně bylouce navštěvováše - atd., další slovesné tvary si můžete sami vyhledat v knize dr. Dryáčníka ) a můžete si být jisti, že nikdy nepotkáte sami sebe, protože vedení podniku se snaží zabránit trapným scénkám, k jakým v takových případech obvykle dochází."
"like","like","chcete","chtít","impf"," You can visit it as many times as you like ( mayan on-visit re-onvisiting ... and so on - for further tense-corrections consult Dr Streetmentioner ’ s book ) and be sure of never meeting yourself, because of the embarrassment this usually causes."," Restaurant můžete navštívit kolikrát chcete ( mocníte hojně bylouce navštěvováše - atd., další slovesné tvary si můžete sami vyhledat v knize dr. Dryáčníka ) a můžete si být jisti, že nikdy nepotkáte sami sebe, protože vedení podniku se snaží zabránit trapným scénkám, k jakým v takových případech obvykle dochází."
"meeting","meet","nepotkáte","potkat","pf"," You can visit it as many times as you like ( mayan on-visit re-onvisiting ... and so on - for further tense-corrections consult Dr Streetmentioner ’ s book ) and be sure of never meeting yourself, because of the embarrassment this usually causes."," Restaurant můžete navštívit kolikrát chcete ( mocníte hojně bylouce navštěvováše - atd., další slovesné tvary si můžete sami vyhledat v knize dr. Dryáčníka ) a můžete si být jisti, že nikdy nepotkáte sami sebe, protože vedení podniku se snaží zabránit trapným scénkám, k jakým v takových případech obvykle dochází."
"spoke","speak","mluvil","mluvit","impf"," I sort of spoke to him, yeah. ”"," Jo vlastně jsem s ním mluvil. """
"say","say","povídal","povídat","impf"," “ What ’ d he say? ”"," "" Co povídal? """
"stay","stay","zůstanu","zůstat","pf"," I ’ ll stay right here in bed."," zůstanu doma, což je nejsnazší."
"hear","hear","Slyšíš","slyšet","impf"," “ Can you hear a dull stomping throb? ” said Ford Prefect."," "" Slyšíš taky to tupé bušení? "" zeptal se Ford."
"said","say","řekl","říci","pf"," “ Yes, ” said Zarniwoop."," "" Ano, "" řekl Zarniwúp."
"said","say","řekl","říci","pf"," “ Weird, ” said Zaphod."," "" Divné, "" řekl Zafod."
"think","think","Myslím","myslet","impf"," “ I think so, ” said the man."," "" Myslím, že ano. """
"handed","hand","podal","podat","pf"," He handed the bottle to Trillian."," Muž podal láhev Trillian."
"ask","ask","ptal","ptát","impf"," “ And they ask you, ” said Zarniwoop, “ to take decisions for them?"," "" A chtějí po vás, abyste za ně rozhodoval? "" ptal se Zarniwúp."
"breathed","breathe","vydechl","vydechnout","pf"," “ Oh, I hope not, ” breathed Ford."," "" Snad ne, "" vydechl Ford."
"suggest","suggest","navrhoval","navrhovat","impf"," “ It is not unusual for our customers to be a little disoriented by the time journey, ” he said, “ so if I might suggest ... ”"," "" Naši hosté jsou obvykle poněkud dezorientováni cestou v čase, proto bych navrhoval ... """
"enjoying","enjoy","baví","bavit","impf"," Oh, I don ’ t know though, why stop just when I ’ m enjoying it? ”"," Ale tak mě napadá - proč bych vlastně měl nechávat něčeho, co mě zrovna baví? """
"continued","continue","pokračovala","pokračovat","impf"," The baleful turmoil of the skies continued."," Děsivá vřava na obloze pokračovala."
"began","begin","začalo","začít","pf"," Hesitantly the audience began to clap and after a moment or so normal conversation resumed."," Publikum začalo váhavě tleskat a po chvíli se vrátilo k všední konverzaci."
"clap","clap","tleskat","tleskat","impf"," Hesitantly the audience began to clap and after a moment or so normal conversation resumed."," Publikum začalo váhavě tleskat a po chvíli se vrátilo k všední konverzaci."
"arrived","arrive","přišel","přijít","pf"," Quite how Zaphod Beeblebrox arrived at the idea of holding a seance at this point is something he was never quite clear on."," Jak v tuto chvíli Zafod Bíblbrox přišel na nápad uspořádat seanci, už nikdy přesně nevysvětlil."
"seen","see","viděl","vidět","impf"," The things which looked like raspberries and strawberries were fatter and riper than any Arthur had ever seen, even in ice cream commercials."," Bobule podobné malinám a jahodám byly daleko větší a šťavnatější, než Arthur kdy viděl - včetně reklam na zmrzlinu."
"want","want","chtějí","chtít","impf"," “ Maybe that ’ s what they want us to do. ”"," "" Možná že chtějí, abychom právě tohle udělali ... """
"do","do","udělali","udělat","pf"," “ Maybe that ’ s what they want us to do. ”"," "" Možná že chtějí, abychom právě tohle udělali ... """
"sat","sit","seděla","sedět","impf"," The party of Zarquon ’ s followers sat rigid, refusing to be buffeted by the waves of uncharitable laughter which swept over them."," Skupina Zarquonových stoupenců seděla s přísným výrazem a nedala se zkrušit salvami zlomyslného smíchu."
"hanging","hang","visíte","viset","impf"," There is, however, nothing soothing about being addressed by a disembodied voice out of nowhere, particularly if you are, like Zaphod Beeblebrox, not at your best and hanging from a ledge eight storeys up a crashed building."," Jenomže když k vám odnikud promlouvá netělesný hlas, zvlášť když zrovna nejste ve své kůži a visíte přitom z osmého patra rozbořeného domu, není na tom konejšivého vůbec nic."
"inquired","inquire","ptal","ptát","impf"," “ Shall I tell you their story? ” inquired the voice quietly."," "" Zajímá vás jejich příběh? "" ptal se hlas tiše."
"roared","roar","zařval","zařvat","pf"," “ Nothing? ” roared the battle machine."," "" Nic! "" zařval tank."
"think","think","nemyslej","myslet","impf"," Just don ’ t think, do they? ”"," Copak vůbec nemyslej? """
"heard","hear","slyšel","slyšet","impf"," Zaphod was sure he ’ d heard someone talk about them when he was President, but he never paid much attention to official matters."," Vzpomínal si, že o nich určitě slyšel někoho mluvit, když byl ještě prezidentem, jenže úřední záležitosti ho nikdy moc nezajímaly."
"danced","dance","tancovaly","tancovat","impf"," Through a large window the brilliant sun of Ursa Minor Beta threw blocks of light in which danced small specks of dust."," Zářivé slunce Bety Malého medvěda sem velkými okny vsunovalo kvádry světla, v nichž tancovaly drobné částečky prachu."
"imagine","imagine","představit","představit","pf"," “ More that you can possibly imagine. ”"," "" Vím víc, než si umíš představit. """
"admitted","admit","připustil","připustit","pf"," “ Nothing particularly exciting, ” it admitted, “ but they are alternatives. ”"," "" Nic převratného, "" připustil, "" ale jsou i jiné alternativy. """
"carried","carry","měli","mít","impf"," About half of them still carried Kill-O-Zap guns, the rest now carried spears which they struck together as they marched."," Zhruba polovina byla dosud ozbrojena vraždomatickými pistolemi, ostatní měli v rukou kopí, jimiž bušili do kroku."
"carried","carry","měli","mít","impf"," About half of them still carried Kill-O-Zap guns, the rest now carried spears which they struck together as they marched."," Zhruba polovina byla dosud ozbrojena vraždomatickými pistolemi, ostatní měli v rukou kopí, jimiž bušili do kroku."
"moved","move","nepohnul","pohnout","pf"," One of them fell over and never moved again."," Jeden z nich se zhroutil a už se nepohnul."
"stated","state","prohlásil","prohlásit","pf"," “ Ugh, ” he stated."," "" Brrr, "" prohlásil."
"mean","mean","chtěl","chtít","impf"," “ Yeah, but I did mean to send them, ” he said."," "" Nojo, ale chtěl jsem je poslat, "" bránil se."
"send","send","poslat","poslat","pf"," “ Yeah, but I did mean to send them, ” he said."," "" Nojo, ale chtěl jsem je poslat, "" bránil se."
"write","write","napíšu","napsat","pf"," “ And I ’ ll write to my great grandmother as well, just as soon as we get out of this ... ”"," "" A taky napíšu prababičce, hned jak se dostaneme z téhle ... """
"get","get","dostaneme","dostat","pf"," “ And I ’ ll write to my great grandmother as well, just as soon as we get out of this ... ”"," "" A taky napíšu prababičce, hned jak se dostaneme z téhle ... """
"stay","stay","zůstat","zůstat","pf"," Someone would have to stay and operate it. ’"," Někdo musí zůstat a zmáčknout to. """
"feel","feel","cítím","cítit","impf"," Judging by the way I feel I should think we ’ ve travelled a very long way indeed. ”"," Podle toho, jak se cítím, bych řekl, že jsme cestovali hodně dlouho. """
"travelled","travel","cestovali","cestovat","impf"," Judging by the way I feel I should think we ’ ve travelled a very long way indeed. ”"," Podle toho, jak se cítím, bych řekl, že jsme cestovali hodně dlouho. """
"sat","sit","seděli","sedět","impf"," He sat a while in silence."," Chvíli mlčky seděli."
"seemed","seem","zdálo","zdát","impf"," After a while this seemed to require comment."," Po chvíli se zdálo, že je k tomu třeba něco podotknout."
"mean","mean","myslíš","myslet","impf"," “ Er, when you say you ’ re off, what do you mean exactly? ” said Arthur."," "" Jak to přesně myslíš, když říkáš, že mizíš? "" ozval se Arthur."
"say","say","říkáš","říkat","impf"," “ Er, when you say you ’ re off, what do you mean exactly? ” said Arthur."," "" Jak to přesně myslíš, když říkáš, že mizíš? "" ozval se Arthur."
"said","say","říkáš","říkat","impf"," “ Er, when you say you ’ re off, what do you mean exactly? ” said Arthur."," "" Jak to přesně myslíš, když říkáš, že mizíš? "" ozval se Arthur."
"saw","see","viděl","vidět","impf"," Looking over his shoulder Arthur saw that he was twiddling with knobs on a small box."," Když mu Arthur nakoukl přes rameno, viděl, že si hraje s knoflíky malé černé skříňky."
"watch","watch","pozorovalo","pozorovat","impf"," After a while an animal - a deer perhaps - would appear from out of the trees and watch him cautiously."," Po chvíli vyjuklo mezi stromy zvíře - například sob - a opatrně ho pozorovalo."
"descend","descend","sestoupil","sestoupit","pf"," A wonderful quietness would descend on the surrounding countryside, peaceful and serene, emanating from this transfigured man."," Na okolní krajinu sestoupil nádherný klid a mír, pramenící z tohoto zcela proměněného muže."
"leaned","lean","naklonil","naklonit","pf"," The bodyguard leaned forward over the table."," Strážce se naklonil přes stůl."
"deemed","deem","považoval","považovat","impf"," Had Hotblack Desiato been alive, he probably would have deemed this a good moment to lean back, or even go for a short walk."," Kdyby byl Cikorka Desiato naživu, jistě by to považoval za vhodnou chvíli, aby si odsedl, nebo se dokonce vydal na menší procházku."
"say","say","říct","říci","pf"," Whatever it was they had to say, they had already said it."," Ať už chtěli říct cokoliv, řekli to, a dost."
"said","say","říct","říci","pf"," Whatever it was they had to say, they had already said it."," Ať už chtěli říct cokoliv, řekli to, a dost."
"say","say","řekli","říci","pf"," Whatever it was they had to say, they had already said it."," Ať už chtěli říct cokoliv, řekli to, a dost."
"said","say","řekli","říci","pf"," Whatever it was they had to say, they had already said it."," Ať už chtěli říct cokoliv, řekli to, a dost."
"said","say","řekl","říci","pf"," “ You know what this means, ” said Ford."," "" Však víš, co to znamená, "" řekl Ford."
"designed","design","navrhl","navrhnout","pf"," “ And the Earth is the computer Deep Thought designed and built to calculate the Question to the Ultimate Answer. ”"," "" A Země je počítač, který Hlubina myšlení navrhl a postavil, aby vypočítal Otázku k Definitivní odpovědi. """
"built","build","postavil","postavit","pf"," “ And the Earth is the computer Deep Thought designed and built to calculate the Question to the Ultimate Answer. ”"," "" A Země je počítač, který Hlubina myšlení navrhl a postavil, aby vypočítal Otázku k Definitivní odpovědi. """
"calculate","calculate","vypočítal","vypočítat","pf"," “ And the Earth is the computer Deep Thought designed and built to calculate the Question to the Ultimate Answer. ”"," "" A Země je počítač, který Hlubina myšlení navrhl a postavil, aby vypočítal Otázku k Definitivní odpovědi. """
"believe","believe","myslet","myslet","impf"," “ So we are led to believe. ”"," "" Máme všechny důvody si to myslet. """
"say","say","říkáš","říkat","impf"," “ If you say so. ”"," "" Když to říkáš. """
"do","do","nedělat","dělat","impf"," We were just about to do nothing at all for a while but it can wait. ”"," Právě jsme se chystali nedělat vůbec nic, ale to může počkat. """
"wait","wait","počkat","počkat","pf"," We were just about to do nothing at all for a while but it can wait. ”"," Právě jsme se chystali nedělat vůbec nic, ale to může počkat. """
"summarize","summarize","shrnuli","shrnout","pf"," To summarize : it is a well known fact, that those people who most want to rule people are, ipso facto, those least suited to do it."," Abychom to shrnuli : je známo, že lidé, kteří nejvíc chtějí vládnout, se na to ipso facto nejmíň hodí."
"want","want","chtějí","chtít","impf"," To summarize : it is a well known fact, that those people who most want to rule people are, ipso facto, those least suited to do it."," Abychom to shrnuli : je známo, že lidé, kteří nejvíc chtějí vládnout, se na to ipso facto nejmíň hodí."
"rule","rule","vládnout","vládnout","impf"," To summarize : it is a well known fact, that those people who most want to rule people are, ipso facto, those least suited to do it."," Abychom to shrnuli : je známo, že lidé, kteří nejvíc chtějí vládnout, se na to ipso facto nejmíň hodí."
"broadcasting","broadcast","vysílat","vysílat","impf"," Consequently, in order to prevent themselves broadcasting every slightest thought that crossed their minds to anyone within a five mile radius, they now have to talk very loudly and continuously about the weather, their little aches and pains, the match this afternoon and what a noisy place Kakrafoon had suddenly become."," A tak Belcereboňané, pokud nechtějí vysílat každou maličkost, která jim prolétne myslí, komukoli v okruhu desíti kilometrů, musí hlasitě a bez přestání hovořit o počasí, o svých zdravotních potížích a o tom, jak je najednou na Kakrafúnu hlučno."
"talk","talk","hovořit","hovořit","impf"," Consequently, in order to prevent themselves broadcasting every slightest thought that crossed their minds to anyone within a five mile radius, they now have to talk very loudly and continuously about the weather, their little aches and pains, the match this afternoon and what a noisy place Kakrafoon had suddenly become."," A tak Belcereboňané, pokud nechtějí vysílat každou maličkost, která jim prolétne myslí, komukoli v okruhu desíti kilometrů, musí hlasitě a bez přestání hovořit o počasí, o svých zdravotních potížích a o tom, jak je najednou na Kakrafúnu hlučno."
"gaped","gape","zírat","zírat","impf"," Zaphod looked, and gaped."," Zafod vyhlédl a zůstal zírat."
"held","hold","držely","držet","impf"," A network of force beams radiated in from them and held the tower in a firm grip."," Z plavidel tryskaly svazky silových paprsků, které držely budovu v pevném sevření."
"shouted","shout","křičeli","křičet","impf"," “ No! ” shouted others happily."," "" Ne! "" křičeli vesele jiní."
"sounds","sound","Zní","znít","impf"," It sounds a terribly interesting project. ”"," Zní to jako děsně zajímavý projekt. """
"mean","mean","myslíte","myslet","impf"," What do you mean, difficulty?"," Co tím myslíte?"
"said","say","řekl","říci","pf"," “ Wowee, ” said Zaphod."," "" Žjova, "" řekl Zafod."
"said","say","řekl","říci","pf"," “ Zappo, ” said Ford."," "" Páni, "" řekl Ford."
"Remind","remind","Připomeň","připomenout","pf"," Remind me to be nice to it one day. ”"," Připomeň mi, abych na něj byl semtam hodný. """
"rule","rule","vládnout","vládnout","impf"," Who can possibly rule if no one who wants to do it can be allowed to?"," Kdo asi může vládnout, když nikdo, kdo by vládnout chtěl, to dělat nesmí?"
"rule","rule","vládnout","vládnout","impf"," Who can possibly rule if no one who wants to do it can be allowed to?"," Kdo asi může vládnout, když nikdo, kdo by vládnout chtěl, to dělat nesmí?"
"wants","want","chtěl","chtít","impf"," Who can possibly rule if no one who wants to do it can be allowed to?"," Kdo asi může vládnout, když nikdo, kdo by vládnout chtěl, to dělat nesmí?"
"do","do","dělat","dělat","impf"," Who can possibly rule if no one who wants to do it can be allowed to?"," Kdo asi může vládnout, když nikdo, kdo by vládnout chtěl, to dělat nesmí?"
"allowed","allow","nesmí","smět","impf"," Who can possibly rule if no one who wants to do it can be allowed to?"," Kdo asi může vládnout, když nikdo, kdo by vládnout chtěl, to dělat nesmí?"
"found","find","najít","najít","pf"," On a small obscure world somewhere in the middle of nowhere in particular - nowhere, that is, that could ever be found, since it is protected by a vast field of unprobability to which only six men in this galaxy have a key - it was raining."," Na jednom malém zapomenutém světě kdesi uprostřed Nikdezvlášť - což v tomto případě znamená místo, které nelze najít, protože je chráněno rozsáhlým polem mimopravděpodobnosti, k němuž má klíč jen šest mužů v Galaxii - pršelo."
"protected","protect","chráněno","chránit","impf"," On a small obscure world somewhere in the middle of nowhere in particular - nowhere, that is, that could ever be found, since it is protected by a vast field of unprobability to which only six men in this galaxy have a key - it was raining."," Na jednom malém zapomenutém světě kdesi uprostřed Nikdezvlášť - což v tomto případě znamená místo, které nelze najít, protože je chráněno rozsáhlým polem mimopravděpodobnosti, k němuž má klíč jen šest mužů v Galaxii - pršelo."
"raining","rain","pršelo","pršet","impf"," On a small obscure world somewhere in the middle of nowhere in particular - nowhere, that is, that could ever be found, since it is protected by a vast field of unprobability to which only six men in this galaxy have a key - it was raining."," Na jednom malém zapomenutém světě kdesi uprostřed Nikdezvlášť - což v tomto případě znamená místo, které nelze najít, protože je chráněno rozsáhlým polem mimopravděpodobnosti, k němuž má klíč jen šest mužů v Galaxii - pršelo."
"sat","sit","seděl","sedět","impf"," Roosta sat on the edge of the desk doing some routine towel maintenance."," Rústa seděl na psacím stole a zabýval se rutinní údržbou ručníku."
"flying","fly","letí","letět","impf"," “ Hey, where did you say this building was flying to? ” demanded Zaphod."," "" Kam že tenhle barák letí? "" otázal se Zafod."
"follows","follow","vyplývá","vyplývat","impf"," From this it follows that the population of the whole Universe is also zero, and that any people you may meet from time to time are merely the products of a deranged imagination."," Z toho vyplývá, že i populace celého vesmíru je nulová, a pokud se čas od času setkáte s nějakými lidmi, jsou pouhým výplodem chorobné představivosti."
"meet","meet","setkáte","setkat","pf"," From this it follows that the population of the whole Universe is also zero, and that any people you may meet from time to time are merely the products of a deranged imagination."," Z toho vyplývá, že i populace celého vesmíru je nulová, a pokud se čas od času setkáte s nějakými lidmi, jsou pouhým výplodem chorobné představivosti."
"settled","settle","usadily","usadit","pf"," Number Two ’ s eyes darted feverishly about the room again and then settled back on the mirror, like a pair of flies briefly distracted from their favourite prey of months old meat."," Dvojkovy oči zatékaly po místnosti a opět se usadily na zrcadle jako párek much na chvíli vyrušených z vyhlídnutého kusu zasmrádlého masa."
"reveals","reveal","ukázalo","ukázat","pf"," Anatomical analysis of the Vogon reveals that its brain was originally a badly deformed, misplaced and dyspeptic liver."," Zkoumání vogonské anatomie ukázalo, že jejich mozek vznikl z těžce deformovaných, nesprávně umístěných dyspeptických jater."
"say","say","říct","říci","pf"," The fairest thing you can say about them, then, is that they know what they like, and what they like generally involves hurting people and, wherever possible, getting very angry."," Přinejmenším lze o Vogonech říct, že vědí, co mají rádi, a to, co mají rádi, obvykle znamená, že přitom někomu ublíží a příšerně se rozvzteklí."
"involves","involve","znamená","znamenat","impf"," The fairest thing you can say about them, then, is that they know what they like, and what they like generally involves hurting people and, wherever possible, getting very angry."," Přinejmenším lze o Vogonech říct, že vědí, co mají rádi, a to, co mají rádi, obvykle znamená, že přitom někomu ublíží a příšerně se rozvzteklí."
"hurting","hurt","ublíží","ublížit","pf"," The fairest thing you can say about them, then, is that they know what they like, and what they like generally involves hurting people and, wherever possible, getting very angry."," Přinejmenším lze o Vogonech říct, že vědí, co mají rádi, a to, co mají rádi, obvykle znamená, že přitom někomu ublíží a příšerně se rozvzteklí."
"seen","see","viděl","vidět","impf"," “ I ’ ve seen it."," "" Už jsem to viděl."
"eaten","eat","nesnědli","sníst","pf"," It wouldn ’ t have made any difference if they hadn ’ t eaten it. ”"," Kdyby to jabko nesnědli, vyšlo by to nastejno. """
"leaving","leave","nenechá","nechat","pf"," “ Because if you ’ re dealing with somebody who has the sort of mentality which likes leaving hats on the pavement with bricks under them you know perfectly well they won ’ t give up."," "" Protože když máš co do činění s někým, kdo si libuje v pohazování klobouků na chodník s šutrákama vespod, můžeš na to vzít jed, že tě nenechá na pokoji."
"get","get","dostane","dostat","pf"," They ’ ll get you in the end. ”"," Nakonec tě stejně dostane. """
"talking","talk","mluvíš","mluvit","impf"," “ What are you talking about? ”"," "" O čem to mluvíš? """
"picked","pick","Sebral","sebrat","pf"," He picked up another piece of paper from the table."," Sebral ze stolu jiný kus papíru."
"sat","sit","sedl","sednout","pf"," Arthur sat on the ground and started pulling up bits of grass, but found that it wasn ’ t an occupation he could get deeply engrossed in."," Arthur si sedl na zem a škubal trávu, po chvíli však zjistil, že podobná činnost ho nemůže plně uspokojit."
"found","find","zjistil","zjistit","pf"," Arthur sat on the ground and started pulling up bits of grass, but found that it wasn ’ t an occupation he could get deeply engrossed in."," Arthur si sedl na zem a škubal trávu, po chvíli však zjistil, že podobná činnost ho nemůže plně uspokojit."
"picked","pick","vybral","vybrat","pf"," Arthur picked up one of the letter stones from his home-made Scrabble set."," Arthur vybral jedno kamenné písmeno ze svého podomácku vyrobeného souboru."
"think","think","myslíš","myslet","impf"," What do you think they would leave me with? ”"," Co myslíš, že mi tu nechají? """
"leave","leave","nechají","nechat","pf"," What do you think they would leave me with? ”"," Co myslíš, že mi tu nechají? """
"said","say","řekl","říci","pf"," “ Expect! ” said Marvin, “ oh yes, expect."," "" Jo, to bys řekl ty, "" rozhořčil se Marvin."
"protect","protect","bránit","bránit","impf"," I ’ ll tell you what they gave me to protect myself with shall I? ”"," "" Víš, co mi tu nechali, abych se mohl bránit? """
"come","come","přišel","přijít","pf"," After a few months of observation he had come up with a second theory, which was this - “ If human beings don ’ t keep exercising their lips, their brains start working. ”"," Po několika měsících pozorování přišel s novou teorií - kdyby lidé neprocvičovali mluvidla, uvedli by tím do chodu mozek."
"cause","cause","vyvolávali","vyvolávat","impf"," The Belcebron people used to cause great resentment and insecurity amongst neighbouring races by being one of the most enlightened, accomplished, and above all quiet civilizations in the Galaxy."," Belcereboňané svého času vyvolávali značnou nelibost a napětí mezi sousedními rasami, protože jejich civilizace patřila k nejosvícenějším, nejdokonalejším a především nejpoklidnějším v celé Galaxii."
"began","begin","začal","začít","pf"," “ We have a thing on Earth ... ” began Arthur."," "" U nás na Zemi máme něco ..., "" začal Arthur."
"corrected","correct","opravil","opravit","pf"," “ Had, ” corrected Zaphod."," "" Měli jste, "" opravil ho Zafod."
"called","call","říká","říkat","impf"," “ ... called tact."," "" ... čemu se říká takt."
"examined","examine","zkoumat","zkoumat","impf"," The tank examined him with a probe."," Tank ho začal zkoumat sondou."
"withdrew","withdraw","stáhla","stáhnout","pf"," It withdrew again."," Opět se stáhla."
"said","say","řekl","říci","pf"," “ No, really I have, ” said Marvin simply."," "" Vážně, budu muset, "" řekl prostě Marvin."
"agreed","agree","souhlasil","souhlasit","impf"," “ Yes, ” agreed Marvin with feeling."," "" To jo, "" souhlasil Marvin upřímně."
"go","go","Jezdím","jezdit","impf"," “ I go up, ” said the elevator, “ or down. ”"," "" Jezdím nahoru, nebo dolů. """
"reminded","remind","připomněl","připomenout","pf"," “ Or down, ” the elevator reminded him."," "" Nebo dolů, "" připomněl výtah."
"returned","return","vrátil","vrátit","pf"," High in a tree on the edge of the clearing squatted Ford Prefect, lately returned from foreign climes."," Na vysokém stromě na pokraji mýtiny seděl Ford Prefect, který se nedávno vrátil z cizích krajů."
"moved","move","nepohnulo","pohnout","pf"," No life moved across its surface."," Nic živého se tu nepohnulo."
"stopped","stop","nepřestal","přestat","pf"," “ Yeah, that ’ s right, ” said Zaphod, “ I just haven ’ t stopped moving yet."," "" Taky že jsem, "" ujistil ji Zafod, "" jen jsem se ještě nepřestal hejbat."
"passed","pass","přejel","přejet","pf"," His eyes passed over the solid shapes of the instruments and computers that lined the bridge."," Očima přejel přístroje a počítače, lemující velitelský můstek."
"went","go","začali","začít","pf"," Behind him, the band went into a frenzy of percussion and rolling synthochords."," Hudebníci v pozadí začali zuřivě bušit do bicích nástrojů a chrlit dunivé syntakordy."
"begin","begin","začíná","začínat","impf"," “ The skies begin to boil! ” he cried."," "" Obloha začíná vřít! "" vykřikoval."
"cried","cry","vykřikoval","vykřikovat","impf"," “ The skies begin to boil! ” he cried."," "" Obloha začíná vřít! "" vykřikoval."
"collapses","collapse","hroutí","hroutit","impf"," “ Nature collapses into the screaming void!"," "" Příroda se hroutí do ječící prázdnoty!"
"asked","ask","zeptal","zeptat","pf"," If he was asked at this moment where he would like to be he would probably have said he would like to be lying on the beach with at least fifty beautiful women and a small team of experts working out new ways they could be nice to him, which was his usual reply."," Kdyby se ho někdo zeptal, kde by v tuto chvíli být chtěl, patrně by odpověděl jako obvykle, že by si přál ležet na pláži obklopen nejméně padesáti kráskami a týmem expertů, horečně vymýšlejících nové způsoby, jak by na něho mohly být ještě milejší."
"like","like","chtěl","chtít","impf"," If he was asked at this moment where he would like to be he would probably have said he would like to be lying on the beach with at least fifty beautiful women and a small team of experts working out new ways they could be nice to him, which was his usual reply."," Kdyby se ho někdo zeptal, kde by v tuto chvíli být chtěl, patrně by odpověděl jako obvykle, že by si přál ležet na pláži obklopen nejméně padesáti kráskami a týmem expertů, horečně vymýšlejících nové způsoby, jak by na něho mohly být ještě milejší."
"like","like","chtěl","chtít","impf"," If he was asked at this moment where he would like to be he would probably have said he would like to be lying on the beach with at least fifty beautiful women and a small team of experts working out new ways they could be nice to him, which was his usual reply."," Kdyby se ho někdo zeptal, kde by v tuto chvíli být chtěl, patrně by odpověděl jako obvykle, že by si přál ležet na pláži obklopen nejméně padesáti kráskami a týmem expertů, horečně vymýšlejících nové způsoby, jak by na něho mohly být ještě milejší."
"said","say","odpověděl","odpovědět","pf"," If he was asked at this moment where he would like to be he would probably have said he would like to be lying on the beach with at least fifty beautiful women and a small team of experts working out new ways they could be nice to him, which was his usual reply."," Kdyby se ho někdo zeptal, kde by v tuto chvíli být chtěl, patrně by odpověděl jako obvykle, že by si přál ležet na pláži obklopen nejméně padesáti kráskami a týmem expertů, horečně vymýšlejících nové způsoby, jak by na něho mohly být ještě milejší."
"lying","lie","ležet","ležet","impf"," If he was asked at this moment where he would like to be he would probably have said he would like to be lying on the beach with at least fifty beautiful women and a small team of experts working out new ways they could be nice to him, which was his usual reply."," Kdyby se ho někdo zeptal, kde by v tuto chvíli být chtěl, patrně by odpověděl jako obvykle, že by si přál ležet na pláži obklopen nejméně padesáti kráskami a týmem expertů, horečně vymýšlejících nové způsoby, jak by na něho mohly být ještě milejší."
"said","say","říká","říkat","impf"," “ Well, here we are now, ” said Trillian, felling - quite correctly in Marvin ’ s view - that it was a slightly foolish thing to say."," "" Tak jsme tady, "" usmála se Trillian, ale měla pocit - podle Marvina zcela oprávněný -, že říká pěknou nejapnost."
"say","say","říká","říkat","impf"," “ Well, here we are now, ” said Trillian, felling - quite correctly in Marvin ’ s view - that it was a slightly foolish thing to say."," "" Tak jsme tady, "" usmála se Trillian, ale měla pocit - podle Marvina zcela oprávněný -, že říká pěknou nejapnost."
"believe","believe","nevěříte","věřit","impf"," “ But don ’ t you believe in anything? ”"," "" Copak v nic nevěříte? """
"understand","understand","Nechápu","chápat","impf"," “ I don ’ t understand what you mean, ” he said."," "" Nechápu, co tím myslíte. """
"mean","mean","myslíte","myslet","impf"," “ I don ’ t understand what you mean, ” he said."," "" Nechápu, co tím myslíte. """
"understand","understand","Nechápete","chápat","impf"," “ You don ’ t understand that what you decide in this shack of yours affects the lives and fates of millions of people?"," "" Nechápete, že to, co rozhodnete tady v tom vašem přístřešku, má vliv na životy a osudy miliónů lidí?"
"decide","decide","rozhodnete","rozhodnout","pf"," “ You don ’ t understand that what you decide in this shack of yours affects the lives and fates of millions of people?"," "" Nechápete, že to, co rozhodnete tady v tom vašem přístřešku, má vliv na životy a osudy miliónů lidí?"
"speak","speak","mluvíte","mluvit","impf"," I ’ ve never met all these people you speak of."," Nikdy jsem neviděl všechny ty lidi, o kterých mluvíte."
