"loved","love","miluji","milovat","impf"," I had n't known I loved her."," Nevěděl jsem, že ji miluji."
"ordered","order","Objednali","objednat","pf"," They had ordered me for noon but they were already in the bar when I landed at eleven-forty."," Objednali si mne na poledne, ale když jsem ve tři čtvrti na dvanáct přistál, čekali už v baru."
"landed","land","přistál","přistát","pf"," They had ordered me for noon but they were already in the bar when I landed at eleven-forty."," Objednali si mne na poledne, ale když jsem ve tři čtvrti na dvanáct přistál, čekali už v baru."
"change","change","změnit","změnit","pf"," You ca n't change that sort of policy. """," Tenhle druh pojistky nelze změnit. """
"see","see","Navštívili","navštívit","pf"," "" We went to see her in the course of our inquiries. """," Navštívili jsme ji v rámci šetření. """
"said","say","mluvil","mluvit","impf"," "" Like you said before."," O tom jste mluvil minule."
"see","see","vidíte","vidět","impf"," You see things in fragments. """," Říkal jste, že vidíte věci v částečkách, ve zlomcích. """
"counted","count","počítat","počítat","impf"," "" No one could have counted on the aircraft being left unlocked. """," "" Nikdo nemohl počítat s tím, že letadlo bude odemčené. """
"Trying","try","Snažíte","snažit","impf"," "" Trying to wriggle out? """," "" Snažíte se z toho vykroutit? """
"think","think","myslíte","myslet","impf"," "" Do you think so? """," "" Vy si myslíte že ano? """
"said","say","Neodpověděl","odpovědět","pf"," He dodged an answer : said :"," Neodpověděl přímo."
"waiting","wait","čekal","čekat","impf"," He was still outside on the grass, waiting for me to climb through to the left hand seat."," Stál ještě venku na trávníku a čekal, až nastoupím."
"told","tell","řekla","říci","pf"," "" Anyway, she told Mrs. Williams she would be coming home on Saturday."," "" Zato ještě řekla paní Williamsové, že se v sobotu vrátí domů."
"flying","fly","nepoletím","letět","impf"," She said if I would drive to Warwick races instead of flying, she would come home with me in the car. """," Jestli prý do Warwicku nepoletím, ale pojedu vozem, svezla by se se mnou zpátky. """
"drive","drive","pojedu","jet","impf"," She said if I would drive to Warwick races instead of flying, she would come home with me in the car. """," Jestli prý do Warwicku nepoletím, ale pojedu vozem, svezla by se se mnou zpátky. """
"drive","drive","svezla","svézt","pf"," She said if I would drive to Warwick races instead of flying, she would come home with me in the car. """," Jestli prý do Warwicku nepoletím, ale pojedu vozem, svezla by se se mnou zpátky. """
"said","say","řekl","říci","pf"," "" If for nothing else, "" he said aridly."," "" Lepší něco než nic, "" řekl trpce."
"parked","park","zaparkoval","zaparkovat","pf"," I flew the customers from Wiltshire to Newmarket and parked the Six as far as possible from the Polyplane."," Doletěl jsem z Wiltshiru do Newmarketu a zaparkoval co nejdál od konkurence."
"leave","leave","přenechala","přenechat","pf"," "" The police have been happy to leave the investigations with us, but frankly in these cases it is almost impossible to find the identity of the perpetrator."," "" Policie nám případ velmi ochotně přenechala, "" říkal, "" ale upřímně řečeno, tohle je nevděčný případ, tady budeme těžko hledat pachatele."
"brought","bring","Přinesly","přinést","pf"," They had also brought swimming trunks for Colin and a pair of his for me."," Přinesly také plavky pro Colina i pro mě."
"paid","pay","vyrovnal","vyrovnat","pf"," I had three pounds in my pocket and sixteen in the bank, but I had finally paid all my debts."," V kapse jsem měl tři libry a v bance jen šestnáct, zato jsem konečně vyrovnal dluhy."
"wished","wish","Přál","přát","impf"," He wished to remain unseen, anonymous, unrecognizable, just as he 'd been all along."," Přál si zůstat neznámý, neviditelný, anonymní jako až dosud."
"remain","remain","zůstat","zůstat","pf"," He wished to remain unseen, anonymous, unrecognizable, just as he 'd been all along."," Přál si zůstat neznámý, neviditelný, anonymní jako až dosud."
"say","say","nepovídejte","povídat","impf"," "" You do n't say. """," "" Ale nepovídejte! """
"sat","sit","sednout","sednout","pf"," The passengers had sorted themselves out so that Annie and the Duke sat in the centre seats, with the Major waiting for me to get in before him into the first two."," Cestující se rozsadili, Annie s vévodou na středních sedadlech, major čekal, až nastoupím, aby si mohl sednout vpředu vedle mě."
"nodded","nod","Kývl","kývnout","pf"," He nodded his stiff little nod as I stepped up on to the wing, and pushed at his moustache."," Kývl na mě, když jsem vylézal na křídlo, a popotahoval se za knír."
"looked","look","Prohlédl","prohlédnout","pf"," I picked up the cast and looked at it."," Prohlédl jsem si ji."
"Let","let","nechal","nechat","pf"," "" Let them frighten themselves silly, "" he 'd say, "" then he 'll fly with us all the time, with none of this do-it-yourself nonsense "". """," Určitě si myslí, že by bylo lepší, kdybys nás nechal, abychom zažili pořádný strach, dali si napříště s touhle samoobsluhou pokoj a vrátili se kajícně pod vaše zkušená křídla. """
"got","get","pošlete","poslat","pf"," "" ... And do n't you think, sport, that you can set your guerrillas on me and expect me to do you favours afterwards, because if you think that you 've got another think coming. """," "" ... A jestli si myslite, vážený, že když na mě napřed pošlete ty svý gorily, že pak vode mě můžete chtít nějaký ochoty, tak jste teda na omylu. """
"come","come","jděte","jít","impf"," "" Oh come off it."," "" Ale jděte, jděte, však vy dobře víte."
"come","come","jděte","jít","impf"," "" Oh come off it."," "" Ale jděte, jděte, však vy dobře víte."
"introduced","introduce","Představila","představit","pf"," She introduced me to several people whose interest collapsed like a soufflé in a draught when they found I did n't understand their opening bids."," Představila mě několika lidem, jejichž zájem o mě ochladl jako čaj na mrazu, když zjistili, že neumím ocenit jejich sázky."
"found","find","zjistili","zjistit","pf"," She introduced me to several people whose interest collapsed like a soufflé in a draught when they found I did n't understand their opening bids."," Představila mě několika lidem, jejichž zájem o mě ochladl jako čaj na mrazu, když zjistili, že neumím ocenit jejich sázky."
"understand","understand","neumím","umět","impf"," She introduced me to several people whose interest collapsed like a soufflé in a draught when they found I did n't understand their opening bids."," Představila mě několika lidem, jejichž zájem o mě ochladl jako čaj na mrazu, když zjistili, že neumím ocenit jejich sázky."
"paying","pay","platil","platit","impf"," Harley was paying me forty-five pounds a week, which was more than he could afford and less than I was worth."," Harley mi platil čtyřicet pět liber týdně, což bylo podstatně víc, než si mohl dovolit, a podstatně míň, než kolik bych si vzhledem ke své kvalifikaci zasloužil."
"afford","afford","dovolit","dovolit","pf"," Harley was paying me forty-five pounds a week, which was more than he could afford and less than I was worth."," Harley mi platil čtyřicet pět liber týdně, což bylo podstatně víc, než si mohl dovolit, a podstatně míň, než kolik bych si vzhledem ke své kvalifikaci zasloužil."
"began","begin","začalo","začít","pf"," When the light began to fade I had a visitor."," Když se začalo stmívat, přišla návštěva."
"began","begin","přišla","přijít","pf"," When the light began to fade I had a visitor."," Když se začalo stmívat, přišla návštěva."
"took","take","zabrala","zabrat","pf"," I had four hours to do it in and it took me ten minutes."," Měl jsem čtyři hodiny času a tahle práce mi zabrala tak dvě minuty."
"saw","see","zahlédl","zahlédnout","pf"," I twisted my head and saw her start snipping."," Otočil jsem se a zahlédl, jak začala pilně vystřihovat."
"making","make","Vyrobila","vyrobit","pf"," She was making them full page size and as bold as possible."," Vyrobila každé písmeno z celé stránky, aby bylo co nejzřetelnější."
"scanning","scan","pátral","pátrat","impf"," Satisfied, I looked forward again, scanning the sunny waste, searching for a small black cigarette shape moving ahead."," Spokojeně jsem se obrátil zpět a pátral jsem v prázdnotě dole před námi po malém tmavém stínu."
"searching","search","pátral","pátrat","impf"," Satisfied, I looked forward again, scanning the sunny waste, searching for a small black cigarette shape moving ahead."," Spokojeně jsem se obrátil zpět a pátral jsem v prázdnotě dole před námi po malém tmavém stínu."
"Turn","turn","Točte","točit","impf"," "" Turn on to one zero five, "" Wytton said."," "" Točte na jedna nula pět, "" hlásil Wytton."
"looked","look","Díval","dívat","impf"," I looked down over to the right of the aircraft 's nose."," Díval jsem se dopředu dolů, vpravo od letadla."
"help","help","pomohl","pomoci","pf"," He stepped down from the wing and went round to help Annie Villars put on her coat."," Sestoupil dolů a pomohl Annii Villarsové do kabátu."
"sat","sit","Seděl","sedět","impf"," I sat with my belt still fastened, feeling too rough to be bothered to move."," Seděl jsem ale ještě připoutaný, bylo mi nanic a neměl jsem chuť se hnout."
"move","move","hnout","hnout","pf"," I sat with my belt still fastened, feeling too rough to be bothered to move."," Seděl jsem ale ještě připoutaný, bylo mi nanic a neměl jsem chuť se hnout."
"help","help","pomáhat","pomáhat","impf"," I did n't relish the thought of the final hop back to Buckingham, up into the clouds again and with no easy well-placed transmitter to help me down at the other end."," Vůbec mě netěšila představa, že se musím odlepit a letět domů do Buckinghamu, že musím znovu nahoru do mraků a že už mi nebudou pomáhat šikovně rozmístěné radiomajáky."
"said","say","řekli","říci","pf"," Cottesmore said they were in the picture, and looking."," V Cottesmoru řekli, že už jsou informováni a že letadlo hledají."
"looking","look","hledají","hledat","impf"," Cottesmore said they were in the picture, and looking."," V Cottesmoru řekli, že už jsou informováni a že letadlo hledají."
"let","let","nechal","nechat","pf"," I drank my coffee and let the stratosphere do its stuff."," Upíjel jsem kávu a nechal jsem mráz působit dál."
"want","want","chtěl","chtít","impf"," "" Do you want him to be? """," "" Vy byste chtěl, aby přišel? """
"called","call","Zavolal","zavolat","pf"," Harley called me into his office."," Zavolal si mě k sobě Harley."
"finished","finish","skončili","skončit","pf"," "" Have they finished? """," "" Už jste skončili? """
"gone","go","Šli","jít","impf"," "" They 've gone to ask Joe if he put the bomb in the Cherokee. """," "" Šli se zeptat Joea, jestli tam tu bombu nedal on. """
"ask","ask","zeptat","zeptat","pf"," "" They 've gone to ask Joe if he put the bomb in the Cherokee. """," "" Šli se zeptat Joea, jestli tam tu bombu nedal on. """
"put","put","nedal","dát","pf"," "" They 've gone to ask Joe if he put the bomb in the Cherokee. """," "" Šli se zeptat Joea, jestli tam tu bombu nedal on. """
"leave","leave","odešel","odejít","pf"," "" Why did he leave? """," "" Proč vůbec odešel? """
"meant","mean","znamenal","znamenat","impf"," Quicker journeys meant smaller bills."," Rychlejší, kratší let znamenal menší účet."
"depends","depend","záležet","záležet","impf"," "" It depends on how many customers he pinches from Polyplanes through being fast. """," "" No, bude záležet na tom, kolik zákazníků odláká od firmy Polyplane, protože je rychlejší. """
"went","go","Odcházeli","odcházet","impf"," They went off laughing about it to the waiting taxi."," Odcházeli rozesmátí k čekajícímu taxíku."
"look","look","Podívám","podívat","pf"," "" I 'm going to look for that one, "" I said."," "" Podívám se na to letadlo."
"estimate","estimate","odhaduji","odhadovat","impf"," I estimate your ground speed at one fifty knots."," Vaši rychlost odhaduji na sto padesát uzlů."
"admit","admit","přiznat","přiznat","pf"," If he wanted to admit to his bitterest rivals that his standards were down to one of their third hand clapped out old buggies, that was his business."," Když byl ochoten přiznat svým největším konkurentům, že je na tom tak špatně, že se nezmůže na nic lepšího než na jejich vyřazenou řehtačku z třetí ruky, tak je to jeho věc."
"win","win","vyhrává","vyhrávat","impf"," We watched Colin win the first race."," Přihlíželi jsme, jak Colin vyhrává první dostih."
"looking","look","dívala","dívat","impf"," She stood glumly looking at its heaving sides while Kenny 's successor made the best of explaining away his own poor showing."," Zasmušile se dívala, jak je zpocený a namáhavě dýchá, zatímco jí Kennyho nástupce vykládal, jak to bylo a snažil se omluvit svůj slabý výkon."
"kept","keep","měla","mít","impf"," "" Annie should have kept Kenny Bayst, "" Nancy said."," "" Annie si měla nechat Kennyho Baysta. """
"kept","keep","nechat","nechat","pf"," "" Annie should have kept Kenny Bayst, "" Nancy said."," "" Annie si měla nechat Kennyho Baysta. """
"wanted","want","nechtěl","chtít","impf"," "" He wanted out. """," "" Jenže on u ní nechtěl být. """
"carried","carry","přinesl","přinést","pf"," "" They all agreed that the bomb must have been in the gift wrapped parcel which you yourself carried on board. """," "" Všichni cestující souhlasně vypovídají, že bomba musela být pravděpodobně v baličku, který jste přinesl do letadla vy. """
"bought","buy","koupila","koupit","pf"," "" His sister bought it, that morning. """," "" Balíček koupila týž den ráno sestra Colina Rosse. """
"followed","follow","následovat","následovat","impf"," If ever there was a stone cold certainty, it was that Charles Carthy-Todd was the least surprised on earth that cash had followed combustion."," Bylo nad slunce jasné, že Charles byl první, kterého napadlo, že po výbuchu bomby bude následovat výbuch zájmu o pojistku a přiliv peněz."
"reckoned","reckon","Počítal","počítat","impf"," He had reckoned it would."," Počítal s tím."
"reckoned","reckon","Počítal","počítat","impf"," He had reckoned right."," Počítal správně."
"flew","fly","letěla","letět","impf"," The second of the passengers, the woman on the Major 's left, said flatly, "" The last time I flew to the races, the pilot got lost. """," "" Když jsem naposledy letěla na dostihy, tak jsme se opravdu ztratili, "" poznamenala suše dáma, která stála vlevo od majora."
"lost","lose","ztratili","ztratit","pf"," The second of the passengers, the woman on the Major 's left, said flatly, "" The last time I flew to the races, the pilot got lost. """," "" Když jsem naposledy letěla na dostihy, tak jsme se opravdu ztratili, "" poznamenala suše dáma, která stála vlevo od majora."
"looked","look","Podíval","podívat","pf"," I looked at her, giving her my best approximation to a confidence-boosting smile."," Podíval jsem se na ni a vyloudil na tváři úsměv budící důvěru."
"leaving","leave","odcházíš","odcházet","impf"," I came after you now, though, because you looked as though you were leaving. """," Běžel jsem za tebou, protože jsem měl strach, že odcházíš. """
"turned","turn","Otočil","otočit","pf"," I turned and walked along with him towards the weighing room."," Otočil jsem se a vyprovázel ho k vážnici."
"tell","tell","říct","říci","pf"," "" Colin ... I ought to tell someone ... you never know ... """," "" Coline ... snad bych ti to měl říct ... člověk nikdy neví ... """
"told","tell","řekl","říci","pf"," He gave me a puzzled glance and in three brief sentences I told him why the Accident Fund was a fraud, how he and the bomb had been used to drum up business, and in what way Carthy-Todd was a fake."," Tázavě se na mě podíval a já mu stručně řekl, o co jde, jak je to s tím novým pojištěním, proč je to podvod, proč došlo k té explozi, že to byla "" náborová "" akce, a jak to je s Carthy - Toddem."
"brought","bring","přinesla","přinést","pf"," The girls had brought cold chicken and long crisp cots lettuce leaves with a tangy sauce to dip them in."," Děvčata přinesla studené kuře a chřupavé listy salátu, které jsme namáčeli do pálivé tatarské omáčky."
"dip","dip","namáčeli","namáčet","impf"," The girls had brought cold chicken and long crisp cots lettuce leaves with a tangy sauce to dip them in."," Děvčata přinesla studené kuře a chřupavé listy salátu, které jsme namáčeli do pálivé tatarské omáčky."
"overcame","overcome","přemohla","přemoci","pf"," Chanter 's curiosity overcame his disinclination to show himself at a loss."," Obyčejná zvědavost přemohla Chanterovu povznesenost."
"said","say","řekněte","říci","pf"," "" Who, "" he said crossly, "" is going to give that schmo a thousand quid for breaking his ankle? """," "" To mi prosím vás řekněte, kdo mohl tomu troubovi dát tisíc liber za zlomený kotník? """
"give","give","dát","dát","pf"," "" Who, "" he said crossly, "" is going to give that schmo a thousand quid for breaking his ankle? """," "" To mi prosím vás řekněte, kdo mohl tomu troubovi dát tisíc liber za zlomený kotník? """
"smiled","smile","usmála","usmát","pf"," Nancy smiled."," Nancy se usmála."
"laying","lay","položil","položit","pf"," "" Insurance is immoral, "" Chanter said dogmatically, sliding round behind her and laying his hand flat on her stomach."," "" Pojistky jsou nemorální, "" kázal Chanter a přitom vklouzl za Nancy, jednou rukou ji objal a položil jí dlaň na břicho."
"said","say","říkala","říkat","impf"," "" When you are married to Matt, "" Midge said."," Midge říkala ' až si vezmeš Matta '."
"heard","hear","Slyšel","slyšet","impf"," I heard her distinctly."," Slyšel jsem ji docela zřetelně."
"washing","wash","myly","mýt","impf"," They were in the kitchen, washing up."," Byly obě v kuchyni a myly nádobí."
"notice","notice","nevšiml","všimnout","pf"," "" You did n't notice anyone, yourself? """," "" Vy jste si sám ničeho nevšiml? """
"shouted","shout","zavolat","zavolat","pf"," I shouted, and my voice came out hopelessly weak."," Snažil jsem se zavolat, ale podařilo se mi jen zasípět."
"looked","look","podívali","podívat","pf"," The others looked at him sharply."," Popuzeně se na něj podívali."
"asked","ask","zeptala","zeptat","pf"," "" Where 's Colin? "" asked Fenella."," "" Kde je Colin? "" zeptala se Fenella."
"stamp","stamp","vtisknout","vtisknout","pf"," I had n't done anything to improve the caravan, to stamp anything of myself upon it."," Maringotku jsem se vůbec nesnažil zútulnit, nechtěl jsem jí vtisknout svou osobnost."
"want","want","Nechtěl","chtít","impf"," I did n't want to get involved, not even with a caravan."," Nechtěl jsem se vázat na nic, dokonce ani na starou maringotku."
"got","get","dostal","dostat","pf"," I got clearance from the tower and lifted the little aeroplane away for the twenty-mile hop across Berkshire."," Jakmile jsem dostal pokyn z věže, odstartoval jsem a zdvihl malé letadlo ke krátkému přeletu přes Berkshire."
"lifted","lift","zdvihl","zdvihnout","pf"," I got clearance from the tower and lifted the little aeroplane away for the twenty-mile hop across Berkshire."," Jakmile jsem dostal pokyn z věže, odstartoval jsem a zdvihl malé letadlo ke krátkému přeletu přes Berkshire."
"read","read","Četl","číst","impf"," I read down the page."," Četl jsem :"
"afford","afford","dovolit","dovolit","pf"," The insurance everyone can afford."," Pojištění, které si může dovolit každý."
"Do","do","neprovedl","provést","pf"," "" Do my best not to, "" I murmured."," "" Vynasnažím se, abych nic neprovedl, "" zamumlal jsem."
"murmured","murmur","zamumlal","zamumlat","pf"," "" Do my best not to, "" I murmured."," "" Vynasnažím se, abych nic neprovedl, "" zamumlal jsem."
"Looked","look","Podíval","podívat","pf"," Looked at the clock."," Podíval jsem se na hodiny."
"Tried","try","pokoušel","pokoušet","impf"," Tried turning on the television."," Chvíli jsem se pokoušel dívat na televizi."
"Stood","stand","Vydržel","vydržet","pf"," Stood five minutes of it, and found the silence afterwards almost as bad."," Vydržel jsem se dívat pět minut, pak jsem to vypnul, ale nebylo mi o nic líp."
"raining","rain","padali","padat","impf"," "" Otherwise we would all have been raining down on Nottingham in little bits. """," "" Jinak bychom byli padali na Nottingham po malých kousíčcích jako červené kroupy. """
"recovered","recover","vzpamatovali","vzpamatovat","pf"," That was after they had recovered, of course."," Takhle ovšem hovořili, teprve až se vzpamatovali."
"shaking","shake","třásla","třást","impf"," Annie Villars ' mouth had dropped open and she was shaking from head to foot."," Annie Villarsová měla pootevřená ústa a třásla se od hlavy k patě."
"said","say","řekl","říci","pf"," "" Roger, "" I said flatly."," "" Rozumím, "" řekl jsem suše."
"smiled","smile","usmál","usmát","pf"," The Duke smiled happily."," Vévoda se blaženě usmál."
"admits","admit","přiznává","přiznávat","impf"," "" Mr. Shore admits the contraventions, "" the Board of Trade said."," "" Pan Shore přestupky přiznává, "" řekl pán z ministerstva."
"said","say","řekl","říci","pf"," "" Mr. Shore admits the contraventions, "" the Board of Trade said."," "" Pan Shore přestupky přiznává, "" řekl pán z ministerstva."
"repeated","repeat","opakoval","opakovat","impf"," "" Charles Carthy-Todd, "" he repeated patiently."," "" S Charlesem Carthy - Toddem, "" opakoval trpělivě."
"driving","drive","jezdily","jezdit","impf"," "" And we kept driving round that shopping centre there and getting lost in the one way streets ... """," "" Nebo jak jsme jezdily z jednoho nákupního střediska do druhého a vždycky jsme se ztratily v jednosměrkách? """
"lost","lose","ztratily","ztratit","pf"," "" And we kept driving round that shopping centre there and getting lost in the one way streets ... """," "" Nebo jak jsme jezdily z jednoho nákupního střediska do druhého a vždycky jsme se ztratily v jednosměrkách? """
"go","go","jela","jet","impf"," "" Wish we could go again ... """," "" Hned bych tam jela znova ... """
"sat","sit","posadila","posadit","pf"," Nancy sat up with a jerk and slapped her leg."," Nancy se najednou zprudka posadila a plácla se přes lýtko."
"drove","drive","řídil","řídit","impf"," Colin drove."," Colin řídil."
"said","say","řekl","říci","pf"," "" Any time about then, "" said Harley irritably."," "" Myslel jsem přibližně, "" řekl Harley podrážděně."
"said","say","řekl","říci","pf"," "" I wonder what the bomb was in, "" said the tall man reflectively."," "" Stejně by mě zajímalo, do čeho tu bombu uložili, "" řekl ten vysoký člověk zamyšleně."
"look","look","Díval","dívat","impf"," "" Did you look inside the first-aid tin? """," "" Díval jste se do skříňky pro první pomoc? """
"asked","ask","požádal","požádat","pf"," The Duke asked the Major if he minded changing places on the way home so that he, the Duke, could sit in front."," Vévoda požádal majora, aby si s ním vyměnil místo, protože chtěl sedět vpředu."
"changing","change","vyměnil","vyměnit","pf"," The Duke asked the Major if he minded changing places on the way home so that he, the Duke, could sit in front."," Vévoda požádal majora, aby si s ním vyměnil místo, protože chtěl sedět vpředu."
"sit","sit","sedět","sedět","impf"," The Duke asked the Major if he minded changing places on the way home so that he, the Duke, could sit in front."," Vévoda požádal majora, aby si s ním vyměnil místo, protože chtěl sedět vpředu."
"see","see","díval","dívat","impf"," "" I like to see the dials go round, "" he explained."," "" Rád bych se díval na ty ciferníky, "" vysvětloval."
"explained","explain","vysvětloval","vysvětlovat","impf"," "" I like to see the dials go round, "" he explained."," "" Rád bych se díval na ty ciferníky, "" vysvětloval."
"agreed","agree","souhlasil","souhlasit","impf"," The Major, full of ducal champagne, gracefully agreed."," Major, naplněný až po okraj vévodovým šampaňským, milostivě souhlasil."
"chosen","choose","vybral","vybrat","pf"," The office had been chosen with genius to convince, to reassure, to charm."," Místnost vybral nesmírně chytře, působila hezky a důstojně."
"charm","charm","okouzlen","okouzlit","pf"," And as clients of insurance companies seldom if ever visited its office, this one must have been designed to convince, to reassure, to charm only the Duke himself."," Efekt jistě nebyl vypočítaný na klienty, ti sem přicházeli jen výjimečně, prostředím měl být okouzlen sám vévoda."
"say","say","Říkal","říkat","impf"," "" Did I hear you say that Colin Ross is lost?"," "" Říkal jste, že se Rossovi ztratili?"
"lost","lose","ztratili","ztratit","pf"," "" Did I hear you say that Colin Ross is lost?"," "" Říkal jste, že se Rossovi ztratili?"
"said","say","odpověděl","odpovědět","pf"," "" Yes, "" I said briefly."," "" Ano, "" odpověděl jsem stručně."
"regarded","regard","Dívaly","dívat","impf"," The thrusting pairs of heavily tinged nipples regarded me sorrowfully, like spaniels ' eyes."," Dívaly se na mě vyzývavě i vyčítavě."
"folded","fold","složil","složit","pf"," Smiling, I folded them decently over and dropped them in the rubbish bin."," Usmál jsem se, decentně jsem je složil a zahodil do smetí."
"dropped","drop","zahodil","zahodit","pf"," Smiling, I folded them decently over and dropped them in the rubbish bin."," Usmál jsem se, decentně jsem je složil a zahodil do smetí."
"won","win","vyhrál","vyhrát","pf"," "" The first time Rudiments won, they 'd both collected a lot of money."," "" Poprvé, když Rudiments vyhrál, vydělali na tom oba spoustu peněz."
"told","tell","Řekla","říci","pf"," I had told them the horse would win."," Řekla jsem jim tehdy, že určitě vyhraje."
"win","win","vyhraje","vyhrát","pf"," I had told them the horse would win."," Řekla jsem jim tehdy, že určitě vyhraje."
"killed","kill","zabil","zabít","pf"," If he killed the Duke immediately, this afternoon, and somehow made it look like an accident."," Kdyby zabil vévodu ještě týž den, během dopoledne, kdyby se mu podařilo to zařídit tak, aby to vypadalo jako nehoda ..."
"think","think","myslí","myslet","impf"," He would think he could still do it."," Jistě si myslí, že to ještě může zachránit."
"went","go","jel","jet","impf"," "" But then you went to Africa and took them, "" he protested."," "" Pak jste přece jel do Afriky, tam jste riskoval až dost. """
"went","go","začal","začít","pf"," Slid a sidelong glance at Ambrose and went unhurriedly about checking our own height, speed, direction."," Ohlédl jsem se nenápadně na Ambrose a pak jsem začal kontrolovat naši výšku, rychlost a kurs."
"checking","check","kontrolovat","kontrolovat","impf"," Slid a sidelong glance at Ambrose and went unhurriedly about checking our own height, speed, direction."," Ohlédl jsem se nenápadně na Ambrose a pak jsem začal kontrolovat naši výšku, rychlost a kurs."
"hesitated","hesitate","váhal","váhat","impf"," He hesitated."," Chvíli váhal."
"read","read","Přečetl","přečíst","pf"," "" I have now read the whole of the transcript of your trial. """," "" Přečetl jsem si nedávno podrobný zápis z vašeho disciplinárního řízení. """
"watched","watch","Pozoroval","pozorovat","impf"," He watched me."," Pozoroval mě."
"waiting","wait","čekal","čekat","impf"," He was a tall man, with inward looking eyes as if they were consulting a computer in his head, feeding in every answer he was given and waiting for the circuits to click out a conclusion."," Dlouhý, hubený ministerský pán měl zasněné oči a vypadal, jako by se ustavičně radil s kybernetickým strojem, který mu tikal v mozku, jako by do stroje vkládal každou odpověď, kterou získal, a jako by čekal, až ze stroje vypadne řešení."
"coming","come","Půjdete","jít","impf"," Colin said to me, "" Are you coming into the paddock? """," "" Půjdete se podívat k padoku? "" obrátil se ke mně Colin."
"stay","stay","zůstanu","zůstat","pf"," "" Better stay with the aeroplane, this time. """," "" Ne, tentokrát zůstanu raději tady. """
"develop","develop","dostat","dostat","pf"," They say there 's no reason why Nancy should develop it any more than me or you or the postman."," Prý pravděpodobnost, že by Nancy mohla dostat tuhle nemoc, je asi stejná, jako že by ji mohl dostat náš pošťák."
"develop","develop","dostat","dostat","pf"," They say there 's no reason why Nancy should develop it any more than me or you or the postman."," Prý pravděpodobnost, že by Nancy mohla dostat tuhle nemoc, je asi stejná, jako že by ji mohl dostat náš pošťák."
"cleared","clear","vyjasnilo","vyjasnit","pf"," I stayed until the sky cleared up at five o'clock."," Počkal jsem až do odpoledne, kdy se nebe vyjasnilo."
"offer","offer","nabídnout","nabídnout","pf"," "" Look, I really am sorry ... all I can offer you is black coffee ... or water. """," "" Obávám se, že tu nic nemám ... je mi líto, nezlobte se, můžu vám nabídnout jedině kafe nebo obyčejnou vodu. """
"went","go","odešla","odejít","pf"," Then she stood up, went into the tiny kitchen, and opened all the cupboards."," Pak vstala, odešla do kuchyňky a zotvírala všechny šuplíky."
"thought","think","myslel","myslet","impf"," I thought it was because she thought I was lying, but I 'd done her an injustice."," Nejdřív jsem si myslel, že si jde ověřit, jestli mluvím pravdu, ale křivdil jsem jí."
"thought","think","myslel","myslet","impf"," I thought it was because she thought I was lying, but I 'd done her an injustice."," Nejdřív jsem si myslel, že si jde ověřit, jestli mluvím pravdu, ale křivdil jsem jí."
"done","do","jde","jít","impf"," I thought it was because she thought I was lying, but I 'd done her an injustice."," Nejdřív jsem si myslel, že si jde ověřit, jestli mluvím pravdu, ale křivdil jsem jí."
"telephoned","telephone","zatelefonoval","zatelefonovat","pf"," Someone from Polyplanes, it appeared, had telephoned at once to inform him with acid sweetness that his so highly qualified chief pilot had broken every law in sight and put Derrydowns thoroughly in the cart."," Ukázalo se, že mu zatelefonoval někdo od firmy Polyplane a sladce mu sdělil, že jeho vysoce kvalifikovaný pilot právě překročil všechna možná pravidla a zákony a že to firmu určitě zničí."
"inform","inform","sdělil","sdělit","pf"," Someone from Polyplanes, it appeared, had telephoned at once to inform him with acid sweetness that his so highly qualified chief pilot had broken every law in sight and put Derrydowns thoroughly in the cart."," Ukázalo se, že mu zatelefonoval někdo od firmy Polyplane a sladce mu sdělil, že jeho vysoce kvalifikovaný pilot právě překročil všechna možná pravidla a zákony a že to firmu určitě zničí."
"got","get","zůstal","zůstat","pf"," The fact that his best customer was still alive to pay another day did n't seem to have got through to Harley at all."," To, že díky tomu zůstal jeho nejlepší zákazník naživu a mohl dál platit účty, Harleymu asi nedošlo."
"pay","pay","platit","platit","impf"," The fact that his best customer was still alive to pay another day did n't seem to have got through to Harley at all."," To, že díky tomu zůstal jeho nejlepší zákazník naživu a mohl dál platit účty, Harleymu asi nedošlo."
"think","think","myslím","myslet","impf"," "" And then this year, back in February or March, I think, he turned up one day and said he would n't need to borrow any more from me, he 'd got a good thing going which would make him rich. """," "" Letos se zase vynořil, myslím, že to bylo tak asi v únoru nebo v březnu, a prohlásil, že už si ode mne půjčovat nemusí, že přišel na něco, z čeho zaručeně zbohatne. """
"said","say","prohlásil","prohlásit","pf"," "" And then this year, back in February or March, I think, he turned up one day and said he would n't need to borrow any more from me, he 'd got a good thing going which would make him rich. """," "" Letos se zase vynořil, myslím, že to bylo tak asi v únoru nebo v březnu, a prohlásil, že už si ode mne půjčovat nemusí, že přišel na něco, z čeho zaručeně zbohatne. """
"borrow","borrow","půjčovat","půjčovat","impf"," "" And then this year, back in February or March, I think, he turned up one day and said he would n't need to borrow any more from me, he 'd got a good thing going which would make him rich. """," "" Letos se zase vynořil, myslím, že to bylo tak asi v únoru nebo v březnu, a prohlásil, že už si ode mne půjčovat nemusí, že přišel na něco, z čeho zaručeně zbohatne. """
