"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"watched","watch","pozoroval","pozorovat","impf"," Behold the fruit of pensive nights and laborious days when I watched the little working gangs as once I watched the criminal world of London. ”"," Je to plod nocí věnovaných úvahám a dnů věnovaných pilné práci, kdy jsem pozoroval, co se děje v úle, se stejným zaujetím, jako jsem kdysi pozoroval, co se děje v londýnském podsvětí. """
"watched","watch","pozoroval","pozorovat","impf"," Behold the fruit of pensive nights and laborious days when I watched the little working gangs as once I watched the criminal world of London. ”"," Je to plod nocí věnovaných úvahám a dnů věnovaných pilné práci, kdy jsem pozoroval, co se děje v úle, se stejným zaujetím, jako jsem kdysi pozoroval, co se děje v londýnském podsvětí. """
"watched","watch","pozoroval","pozorovat","impf"," Behold the fruit of pensive nights and laborious days when I watched the little working gangs as once I watched the criminal world of London. ”"," Je to plod nocí věnovaných úvahám a dnů věnovaných pilné práci, kdy jsem pozoroval, co se děje v úle, se stejným zaujetím, jako jsem kdysi pozoroval, co se děje v londýnském podsvětí. """
"watched","watch","pozoroval","pozorovat","impf"," Behold the fruit of pensive nights and laborious days when I watched the little working gangs as once I watched the criminal world of London. ”"," Je to plod nocí věnovaných úvahám a dnů věnovaných pilné práci, kdy jsem pozoroval, co se děje v úle, se stejným zaujetím, jako jsem kdysi pozoroval, co se děje v londýnském podsvětí. """
"act","act","jednáte","jednat","impf"," Possibly you mean well, though I learn that you are a paid agent who would have been equally willing to act for the Baron as against him."," Snad jednáte v dobrém úmyslu, ačkoli mi bylo řečeno, že jste za své služby placen, a hájil byste patrně stejně ochotně baronovy zájmy jako vystupoval proti němu."
"paid","pay","placen","platit","impf"," Possibly you mean well, though I learn that you are a paid agent who would have been equally willing to act for the Baron as against him."," Snad jednáte v dobrém úmyslu, ačkoli mi bylo řečeno, že jste za své služby placen, a hájil byste patrně stejně ochotně baronovy zájmy jako vystupoval proti němu."
"describes","describe","popisuje","popisovat","impf"," “ But if these injuries are as terrible as Dr. Watson describes, then surely our purpose of thwarting the marriage is sufficiently gained without the use of this horrible book. ”"," "" Je - - li však jeho poranění tak strašlivé, jak je doktor Watson popisuje, jistě dosáhneme bezpečně svého cíle a odvrátíme ten sňatek, aniž bychom museli použít jeho odporného deníku. """
"gained","gain","dosáhneme","dosáhnout","pf"," “ But if these injuries are as terrible as Dr. Watson describes, then surely our purpose of thwarting the marriage is sufficiently gained without the use of this horrible book. ”"," "" Je - - li však jeho poranění tak strašlivé, jak je doktor Watson popisuje, jistě dosáhneme bezpečně svého cíle a odvrátíme ten sňatek, aniž bychom museli použít jeho odporného deníku. """
"love","love","milovala","milovat","impf"," She would love him the more as a disfigured martyr."," Znetvořeného mučedníka by milovala ještě vroucněji."
"destroy","destroy","zničit","zničit","pf"," It is his moral side, not his physical, which we have to destroy."," Je třeba ho zničit po morální stránce, ne po fyzické."
"left","leave","opustil","opustit","pf"," Then I left that house of gloom and terror."," Poté jsem opustil ten dům hrůzy a beznaděje."
"learn","learn","naučit","naučit","pf"," “ They have strange limits and one must learn to observe them."," "" Mají takové zvláštní hranice a člověk se musí naučit je respektovat."
"observe","observe","respektovat","respektovat","impf"," “ They have strange limits and one must learn to observe them."," "" Mají takové zvláštní hranice a člověk se musí naučit je respektovat."
"adapt","adapt","přizpůsobit","přizpůsobit","pf"," Then one comes suddenly upon something very hard, and you know that you have reached the limit and must adapt yourself to the fact."," Pak nečekaně narazí na tvrdou hradbu a ví, že se dál nedostane ani o krok, a musí se tomu faktu přizpůsobit."
"observed","observe","zachovávat","zachovávat","impf"," They have, for example, their insular conventions which simply MUST be observed. ”"," Kupříkladu některé jejich osobité ostrovní zvyklosti je bezpodmínečně nutné zachovávat. """
"shutting","shut","zavírám","zavírat","impf"," Here it is, and I ’ m shutting down to-morrow morning. ”"," Naše chvíle nadešla a já to tu zítra ráno zavírám. """
"see","see","Koukám","koukat","impf"," In a week or less, from what I see, John Bull will be on his hind legs and fair ramping."," Koukám, že do tejdna anebo ještě dřív pomele John Bull z posledního."
"watch","watch","koukat","koukat","impf"," I ’ d rather watch him from over the water. ”"," Budu se na to radši koukat přes tu velkou louži. """
"marry","marry","provdat","provdat","pf"," To sum up, she proposes to marry him next month."," Zkrátka : hodlá se za něho příští měsíc provdat."
"prevent","prevent","zabránit","zabránit","pf"," As she is of age and has a will of iron, it is hard to know how to prevent her. ”"," A jelikož je plnoletá a tvrdohlavě prosazuje svou vůli, je těžké najít způsob, jak jí v tom zabránit. """
"told","tell","vyprávěl","vyprávět","impf"," “ The cunning devil has told her every unsavoury public scandal of his past life, but always in such a way as to make himself out to be an innocent martyr."," "" Ten úskočný ďábel jí vyprávěl o všech nechutných veřejných skandálech ze své minulosti, avšak vylíčil je vždy tak, aby se jevil jako nevinný mučedník."
"listen","listen","slyšet","slyšet","impf"," She absolutely accepts his version and will listen to no other. ”"," A ona bezvýhradně věří jeho verzi a o jiné nechce ani slyšet. """
"say","say","Říkáte","říkat","impf"," “ You say he was affable? ”"," "" Říkáte, že vás přijal vlídně? """
"purring","purr","Předl","příst","impf"," “ A purring cat who thinks he sees prospective mice."," "" Předl spokojeně jako kocour, který spatří myš a považuje ji za svou kořist."
"sees","see","spatří","spatřit","pf"," “ A purring cat who thinks he sees prospective mice."," "" Předl spokojeně jako kocour, který spatří myš a považuje ji za svou kořist."
"thinks","think","považuje","považovat","impf"," “ A purring cat who thinks he sees prospective mice."," "" Předl spokojeně jako kocour, který spatří myš a považuje ji za svou kořist."
"sees","see","považuje","považovat","impf"," “ A purring cat who thinks he sees prospective mice."," "" Předl spokojeně jako kocour, který spatří myš a považuje ji za svou kořist."
"endeavouring","endeavour","snažíme","snažit","impf"," It is this daughter, this lovely, innocent girl, whom we are endeavouring to save from the clutches of a fiend. ”"," A právě tuto dceru, toto půvabné nevinné stvoření se snažíme zachránit ze spárů netvora. """
"save","save","zachránit","zachránit","pf"," It is this daughter, this lovely, innocent girl, whom we are endeavouring to save from the clutches of a fiend. ”"," A právě tuto dceru, toto půvabné nevinné stvoření se snažíme zachránit ze spárů netvora. """
"said","say","řekl","říci","pf"," “ Those are the lights of Harwich, I suppose, ” said the secretary, pulling on his dust coat."," "" To jsou světla z Harwiche, nemýlím - li se, "" řekl rada, zatímco si navlékal ochranný plášť."
"say","say","říci","říci","pf"," I have nothing more to say, sir, save that I have no wish ever to see you again. ’"," Nemám k tomu už co říci, pane, leda snad to, že vás už nikdy nechci spatřit. '"
"see","see","spatřit","spatřit","pf"," I have nothing more to say, sir, save that I have no wish ever to see you again. ’"," Nemám k tomu už co říci, pane, leda snad to, že vás už nikdy nechci spatřit. '"
"lost","lose","ztratil","ztratit","pf"," At this I lost my temper, Mr. Holmes, and I spoke with some warmth."," Nato jsem ztratil hlavu a řekl jsem mu to pěkně od plic."
"spoke","speak","řekl","říci","pf"," At this I lost my temper, Mr. Holmes, and I spoke with some warmth."," Nato jsem ztratil hlavu a řekl jsem mu to pěkně od plic."
"seen","see","Viděl","vidět","impf"," ‘ I have seen your son, and I am convinced that for some reason of your own you are concealing him from the world."," ' Viděl jsem vašeho syna a jsem přesvědčen, že ho z nějakých osobních důvodů skrýváte před světem."
"convinced","convince","přesvědčen","přesvědčit","pf"," ‘ I have seen your son, and I am convinced that for some reason of your own you are concealing him from the world."," ' Viděl jsem vašeho syna a jsem přesvědčen, že ho z nějakých osobních důvodů skrýváte před světem."
"concealing","conceal","skrýváte","skrývat","impf"," ‘ I have seen your son, and I am convinced that for some reason of your own you are concealing him from the world."," ' Viděl jsem vašeho syna a jsem přesvědčen, že ho z nějakých osobních důvodů skrýváte před světem."
"hit","hit","zasáhla","zasáhnout","pf"," Then he was hit with a bullet from an elephant gun in the action near Diamond Hill outside-Pretoria."," A pak zasáhla Godfreye střela z kulovnice na slony při bojích u Diamantové hory nedaleko Pretorie."
"wrote","write","napsal","napsat","pf"," Well, when the war was over, and we all got back, I wrote to his father and asked where Godfrey was."," Nu a pak válka skončila, všichni jsme se vrátili a já napsal jeho otci, kde je Godfrey."
"waited","wait","vyčkával","vyčkávat","impf"," I waited a bit and then I wrote again."," Nějaký čas jsem vyčkával a pak jsem napsal znovu."
"wrote","write","napsal","napsat","pf"," I waited a bit and then I wrote again."," Nějaký čas jsem vyčkával a pak jsem napsal znovu."
"got","get","dostat","dostat","pf"," On the other hand, this constraint could not be severe or the young man could not have got loose and come down to have a look at his friend."," Na druhou stranu ovšem tato opatření nemohla být příliš důsledná, jinak by se mladý muž nebyl mohl dostat ven a přijít se podívat na přítele."
"got","get","přijít","přijít","pf"," On the other hand, this constraint could not be severe or the young man could not have got loose and come down to have a look at his friend."," Na druhou stranu ovšem tato opatření nemohla být příliš důsledná, jinak by se mladý muž nebyl mohl dostat ven a přijít se podívat na přítele."
"come","come","přijít","přijít","pf"," On the other hand, this constraint could not be severe or the young man could not have got loose and come down to have a look at his friend."," Na druhou stranu ovšem tato opatření nemohla být příliš důsledná, jinak by se mladý muž nebyl mohl dostat ven a přijít se podívat na přítele."
"remember","remember","vzpomenete","vzpomenout","pf"," You will remember, Mr. Dodd, that I felt round for points, asking you, for example, about the paper which Mr. Kent was reading."," Snad si vzpomenete, pane Dodde, že jsem hledal opěrné body a ptal se vás například, jaký časopis pan Kent četl."
"asking","ask","ptal","ptát","impf"," You will remember, Mr. Dodd, that I felt round for points, asking you, for example, about the paper which Mr. Kent was reading."," Snad si vzpomenete, pane Dodde, že jsem hledal opěrné body a ptal se vás například, jaký časopis pan Kent četl."
"reading","read","četl","číst","impf"," You will remember, Mr. Dodd, that I felt round for points, asking you, for example, about the paper which Mr. Kent was reading."," Snad si vzpomenete, pane Dodde, že jsem hledal opěrné body a ptal se vás například, jaký časopis pan Kent četl."
"helped","help","pomohlo","pomoci","pf"," Had it been the Lancet or the British Medical Journal it would have helped me."," Kdyby to byl býval Skalpel nebo Časopis britských lékařů, bylo by mi to pomohlo."
"hit","hit","zasáhla","zasáhnout","pf"," Holmes listened to the news with a cold, concentrated look upon his pale face, which told me that it hit him hard."," Holmes vyslechl tu novinu s chladným, soustředěným pohledem v bledé tváři, z čehož jsem vytušil, jak tvrdě ho zasáhla."
"cried","cry","zvolal","zvolat","pf"," “ Friday! ” he cried."," "" V pátek! "" zvolal."
"want","want","Potřeboval","potřebovat","impf"," Now, Watson, I want you to do something for me. ”"," Potřeboval bych, abyste pro mne něco udělal, Watsone. """
"do","do","udělal","udělat","pf"," Now, Watson, I want you to do something for me. ”"," Potřeboval bych, abyste pro mne něco udělal, Watsone. """
"coming","come","jít","jít","impf"," For my part, I took the appointed train in the morning, with the full intention of coming straight to you and asking for your advice and assistance at the appointment for which I had already written. ”"," Já jsem pak ráno odjel určeným vlakem s úmyslem jít přímo za vámi a na té schůzce, kterou jsem si už písemně vyžádal, vás poprosit o radu a pomoc. """
"asking","ask","poprosit","poprosit","pf"," For my part, I took the appointed train in the morning, with the full intention of coming straight to you and asking for your advice and assistance at the appointment for which I had already written. ”"," Já jsem pak ráno odjel určeným vlakem s úmyslem jít přímo za vámi a na té schůzce, kterou jsem si už písemně vyžádal, vás poprosit o radu a pomoc. """
"Come","come","Pojďte","jít","impf"," “ Come in, ” he said."," "" Pojďte dál, "" řekl."
"said","say","řekl","říci","pf"," “ Come in, ” he said."," "" Pojďte dál, "" řekl."
"waiting","wait","Čekám","čekat","impf"," I was only waiting for this."," Čekám už pouze na tohle."
"missing","miss","chyběl","chybět","impf"," If an original were missing they would change the whole thing."," Kdyby chyběl originál, všechno by to změnili."
"change","change","změnili","změnit","pf"," If an original were missing they would change the whole thing."," Kdyby chyběl originál, všechno by to změnili."
"think","think","Myslíte","myslet","impf"," You think it ’ s all safe about the copy? ”"," Myslíte, že to s tou kopií bude v pořádku? """
"said","say","řekl","říci","pf"," “ And so it was, ” said I."," "" Rozhodl jste se moudře, "" řekl jsem."
"come","come","nevzejde","vzejít","pf"," “ Who knows but good may come of it?"," "" Kdoví, nevzejde - li z toho ještě něco dobrého?"
"ask","ask","zeptat","zeptat","pf"," May I ask, sir, if you are an authority on such complaints, which are, I understand, tropical or semi-tropical in their nature? ”"," Smím se zeptat, pane, jste - li odborníkem na takové choroby, které jsou, pokud je mi známo, převážně tropické nebo subtropické povahy? """
"perceive","perceive","Vidím","vidět","impf"," “ From South Africa, sir, I perceive. ”"," "" Vidím, že přijíždíte z Jižní Afriky, pane Dodde. """
"smiled","smile","usmát","usmát","pf"," I smiled at his bewildered expression."," Musel jsem se usmát nad jeho úžasem."
"carried","carry","dopraven","dopravit","pf"," He was carried to Charing Cross Hospital and afterwards insisted upon being taken to his rooms in Baker Street."," Byl dopraven do nemocnice na Charing Cross, odkud byl později na vlastní přání převezen do svého bytu na Baker Street."
"fear","fear","Obávám","obávat","impf"," I fear, Sir James, that I must decline to act. ”"," Obávám se, sire Jamesi, že musím odmítnout se do tohoto případu vložit. """
"decline","decline","odmítnout","odmítnout","pf"," I fear, Sir James, that I must decline to act. ”"," Obávám se, sire Jamesi, že musím odmítnout se do tohoto případu vložit. """
"said","say","pravil","pravit","pf"," “ You hardly realize the effect of your own action, Mr. Holmes, ” said he."," "" Sotva si uvědomujete dosah vlastního počínání, pane Holmesi, "" pravil."
"handed","hand","podal","podat","pf"," I carefully unpacked it and handed it to him."," Opatrně jsem ji rozbalil a podal mu ji."
"pulled","pull","přitáhl","přitáhnout","pf"," He seated himself at his desk, pulled over the lamp, for it was growing dark, and set himself to examine it."," Usedl k psacímu stolu, přitáhl si lampu, neboť se již zešeřilo, a jal se ji zkoumat."
"examine","examine","zkoumat","zkoumat","impf"," He seated himself at his desk, pulled over the lamp, for it was growing dark, and set himself to examine it."," Usedl k psacímu stolu, přitáhl si lampu, neboť se již zešeřilo, a jal se ji zkoumat."
"study","study","prostudovat","prostudovat","pf"," As he did so the yellow light beat upon his own features, and I was able to study them at my ease."," Přitom mu žluté světlo zalévalo tvář a mně se tak naskytla příležitost v klidu si ji prostudovat."
"said","say","řekl","říci","pf"," “ You can do business or not, ” said I with indifference."," "" Můžete koupit, nebo nemusíte, "" řekl jsem lhostejně."
"written","write","napsal","napsat","pf"," “ I was aware that you had written a book upon the subject. ”"," "" Je mi známo, že jste na toto téma napsal knihu. """
"read","read","Četl","číst","impf"," “ Have you read the book? ”"," "" Četl jste mou knihu? """
"injected","inject","Píchl","píchnout","pf"," Morphine has been injected and quiet is essential, but an interview of a few minutes would not be absolutely forbidden. ”"," Píchl jsem mu morfium a nařídil naprostý klid, ale kratičkou rozmluvu vám mohu povolit. """
"heard","hear","zaslechl","zaslechnout","pf"," The sufferer was wide awake, and I heard my name in a hoarse whisper."," Pacient měl oči doširoka rozevřené a já ho zaslechl chraptivě zašeptat mé jméno."
"see","see","Nevidím","vidět","impf"," “ I see no more than you, but I have trained myself to notice what I see."," "" Nevidím o nic víc než vy, ale naučil jsem se vnímat, co vidím."
"see","see","Nevidím","vidět","impf"," “ I see no more than you, but I have trained myself to notice what I see."," "" Nevidím o nic víc než vy, ale naučil jsem se vnímat, co vidím."
"notice","notice","vnímat","vnímat","impf"," “ I see no more than you, but I have trained myself to notice what I see."," "" Nevidím o nic víc než vy, ale naučil jsem se vnímat, co vidím."
"see","see","vidím","vidět","impf"," “ I see no more than you, but I have trained myself to notice what I see."," "" Nevidím o nic víc než vy, ale naučil jsem se vnímat, co vidím."
"see","see","vidím","vidět","impf"," “ I see no more than you, but I have trained myself to notice what I see."," "" Nevidím o nic víc než vy, ale naučil jsem se vnímat, co vidím."
"called","call","Nepřišel","přijít","pf"," However, Mr. Dodd, it was not to discuss the science of observation that you called upon me this morning."," Nepřišel jste mne však dnes dopoledne navštívit proto, abychom si podebatovali o pozorovacích schopnostech."
"called","call","navštívit","navštívit","pf"," However, Mr. Dodd, it was not to discuss the science of observation that you called upon me this morning."," Nepřišel jste mne však dnes dopoledne navštívit proto, abychom si podebatovali o pozorovacích schopnostech."
"pretend","pretend","předstírat","předstírat","impf"," I could only pretend to accept the situation and register a vow inwardly that I would never rest until my friend ’ s fate had been cleared up."," Mohl jsem pouze předstírat, že se smiřuji s daným stavem věcí, ale v duchu jsem si přísahal, že neustanu, dokud se nevysvětlí, jaký osud potkal mého přítele."
"questioned","question","vyptávala","vyptávat","impf"," The lady questioned me eagerly about her son, but the old man seemed morose and depressed."," Paní domu se dychtivě vyptávala na syna, ale starý pán se tvářil zamračeně a melancholicky."
"take","take","odebrat","odebrat","pf"," I am familiar with your ignoble profession, but you must take your reputed talents to some other field."," Jsem informován o vašem nedůstojném povolání, ale musíte se odebrat se svými proslulými schopnostmi někam jinam."
"leave","leave","odejít","odejít","pf"," “ I cannot leave here, ” said my client firmly, “ until I hear from Godfrey ’ s own lips that he is under no restraint. ”"," "" Nemohu odtud odejít, "" pravil můj klient pevně, "" dokud neuslyším z Godfreyho vlastních úst, že není nijak omezován. """
"said","say","pravil","pravit","pf"," “ I cannot leave here, ” said my client firmly, “ until I hear from Godfrey ’ s own lips that he is under no restraint. ”"," "" Nemohu odtud odejít, "" pravil můj klient pevně, "" dokud neuslyším z Godfreyho vlastních úst, že není nijak omezován. """
"hear","hear","neuslyším","uslyšet","pf"," “ I cannot leave here, ” said my client firmly, “ until I hear from Godfrey ’ s own lips that he is under no restraint. ”"," "" Nemohu odtud odejít, "" pravil můj klient pevně, "" dokud neuslyším z Godfreyho vlastních úst, že není nijak omezován. """
"rang","ring","zazvonil","zazvonit","pf"," Our involuntary host rang the bell."," Náš nedobrovolný hostitel zazvonil."
"send","send","poslal","poslat","pf"," “ Ralph, ” he said, “ telephone down to the county police and ask the inspector to send up two constables."," "" Ralphe, "" přikázal, "" zatelefonuj na okresní policejní stanici a vyřiď inspektorovi, aby sem poslal dva konstábly."
"Tell","tell","Řekni","říci","pf"," Tell him there are burglars in the house. ”"," Řekni mu, že máme v domě lupiče. """
"hung","hang","visí","viset","impf"," One might have thought already that God ’ s curse hung heavy over a degenerate world, for there was an awesome hush and a feeling of vague expectancy in the sultry and stagnant air."," Mnozí snad začínali chápat, že nad hříšným světem visí hrozba božího prokletí, neboť dusnou atmosféru jako by prostupovalo zaražené mlčení a předtucha, že se cosi stane."
"set","set","zapadlo","zapadnout","pf"," The sun had long set, but one blood-red gash like an open wound lay low in the distant west."," Slunce dávno zapadlo, jen v dáli na obzoru se táhla jediná krvavě rudá šmouha jako otevřená rána."
"need","need","Nemusíme","muset","impf"," “ We need not hurry ourselves, Watson."," "" Nemusíme pospíchat, Watsone."
"hurry","hurry","pospíchat","pospíchat","impf"," “ We need not hurry ourselves, Watson."," "" Nemusíme pospíchat, Watsone."
"played","play","sehrála","sehrát","pf"," There is no one in the house except old Martha, who has played her part to admiration."," V domě není nikdo krom staré Marty, která sehrála svou roli obdivuhodně."
"got","get","Obstaral","obstarat","pf"," I got her the situation here when first I took the matter up."," Obstaral jsem jí tu místo, když jsem se ujal tohoto případu."
"hear","hear","uslyšíte","uslyšet","pf"," Ah, Martha, you will be glad to hear that all is well. ”"," Dobrý večer, Marto, jistě ráda uslyšíte, že všechno dobře dopadlo. """
"appeared","appear","objevila","objevit","pf"," The pleasant old lady had appeared in the doorway."," Milá stará paní se objevila na prahu."
"said","say","řekl","říci","pf"," “ Very fine - very fine indeed! ” he said at last."," "" Překrásná - vskutku překrásná! "" řekl posléze."
"heard","hear","neslyšel","slyšet","impf"," What puzzles me is that I should not have heard of such magnificent specimens."," Udivuje mne, že jsem o těchto skvostných exemplářích dosud neslyšel."
"match","match","vyrovnala","vyrovnat","pf"," I only know of one in England to match this, and it is certainly not likely to be in the market."," Vím o jedné soupravě v Anglii, která by se tomuhle vyrovnala, ale ta by sotva byla na prodej."
"ask","ask","zeptal","zeptat","pf"," Would it be indiscreet if I were to ask you, Dr. Hill Barton, how you obtained this? ”"," Bylo by ode mne příliš nediskrétní, pane doktore, kdybych se vás zeptal, jak jste ji získal? """
"obtained","obtain","získal","získat","pf"," Would it be indiscreet if I were to ask you, Dr. Hill Barton, how you obtained this? ”"," Bylo by ode mne příliš nediskrétní, pane doktore, kdybych se vás zeptal, jak jste ji získal? """
"heard","hear","slyšel","slyšet","impf"," But the door which I had heard close was certainly not in the house."," Avšak dveře, které jsem slyšel přibouchnout, určitě nebyly v hlavní obytné budově."
"find","find","objevit","objevit","pf"," I must explore the garden and see what I could find."," Usoudil jsem tedy, že musím pátrat v parku, chci - li něco objevit."
"left","leave","nechali","nechat","pf"," There was no difficulty in the way, for the old people were busy in their own fashion and left me to my own devices."," Tady jsem neměl žádné těžkosti, protože staří se zaměstnávali po svém způsobu a nechali mne, ať se zabavím, jak umím."
"say","say","říct","říci","pf"," His worst enemy couldn ’ t say that of him."," To by vo něm nemoh říct ani nejhorší nepřítel."
"do","do","udělej","udělat","pf"," “ Ralph, do what I have told you."," "" Ralphe, udělej, co jsem ti přikázal."
"told","tell","přikázal","přikázat","pf"," “ Ralph, do what I have told you."," "" Ralphe, udělej, co jsem ti přikázal."
"waiting","wait","čekáš","čekat","impf"," What the devil are you waiting for?"," Nač čekáš, u všech čertů?"
"Ring","ring","Zatelefonuj","zatelefonovat","pf"," Ring up the police! ”"," Zatelefonuj na policii! """
"said","say","řekl","říci","pf"," “ Nothing of the sort, ” I said, putting my back to the door."," "" Nic takového, "" řekl jsem a opřel jsem se zády o dveře."
"putting","put","řekl","říci","pf"," “ Nothing of the sort, ” I said, putting my back to the door."," "" Nic takového, "" řekl jsem a opřel jsem se zády o dveře."
"dread","dread","obáváte","obávat","impf"," “ Any police interference would bring about the very catastrophe which you dread. ”"," "" Zasáhne - li policie, dojde právě ke katastrofě, jíž se obáváte. """
"took","take","Vyňal","vyjmout","pf"," I took out my notebook and scribbled one word upon a loose sheet."," Vyňal jsem zápisník a načrtl na volný list jediné slovo."
"said","say","řekl","říci","pf"," “ That, ” said I as I handed it to Colonel Emsworth, “ is what has brought us here. ”"," "" Kvůli tomuhle jsme přijeli, "" řekl jsem, když jsem je podával plukovníkovi Emsworthovi."
"handed","hand","podával","podávat","impf"," “ That, ” said I as I handed it to Colonel Emsworth, “ is what has brought us here. ”"," "" Kvůli tomuhle jsme přijeli, "" řekl jsem, když jsem je podával plukovníkovi Emsworthovi."
"said","say","prohlásil","prohlásit","pf"," “ I shall get level with you, Altamont, ” he said, speaking with slow deliberation."," "" Tohle vám oplatím, Altamonte, "" prohlásil zvolna a důrazně."
"takes","take","trvat","trvat","impf"," “ If it takes me all my life I shall get level with you! ”"," "" Tohle vám oplatím, i kdyby mi to mělo trvat celý život! """
"give","give","dáváte","dávat","impf"," “ By the way, what do you give him? ”"," "" Mimochodem - co mu dáváte? """
"pay","pay","Platím","platit","impf"," If I pay him well, at least he delivers the goods, to use his own phrase."," Platím ho dobře, ale on aspoň přesně dodává zboží, abych užil jeho vlastního obratu."
"delivers","deliver","dodává","dodávat","impf"," If I pay him well, at least he delivers the goods, to use his own phrase."," Platím ho dobře, ale on aspoň přesně dodává zboží, abych užil jeho vlastního obratu."
"use","use","užil","užít","pf"," If I pay him well, at least he delivers the goods, to use his own phrase."," Platím ho dobře, ale on aspoň přesně dodává zboží, abych užil jeho vlastního obratu."
"waited","wait","čekala","čekat","impf"," One of these was his present companion, Baron Von Herling, the chief secretary of the legation, whose huge 100-horse-power Benz car was blocking the country lane as it waited to waft its owner back to London."," Jedním z nich byl jeho momentální společník baron von Herling, vrchní vyslanecký rada, jehož obrovitá limuzína Benz s motorem o sto koňských silách téměř přehradila venkovskou silnici, kde čekala, aby svého pána přenesla zpátky do Londýna."
"saying","say","říkal","říkat","impf"," “ So far as I can judge the trend of events, you will probably be back in Berlin within the week, ” the secretary was saying."," "" Pokud mohu předvídat vývoj událostí, vrátíte se pravděpodobně během týdne nazpět do Berlína, "" říkal vyslanecký rada."
"think","think","myslím","myslet","impf"," “ When you get there, my dear Von Bork, I think you will be surprised at the welcome you will receive."," "" Až se navrátíte, myslím, že se vám dostane tak vřelého přijetí, jakého byste se ani sám nenadál, drahý von Borku."
"get","get","dostane","dostat","pf"," “ When you get there, my dear Von Bork, I think you will be surprised at the welcome you will receive."," "" Až se navrátíte, myslím, že se vám dostane tak vřelého přijetí, jakého byste se ani sám nenadál, drahý von Borku."
"receive","receive","dostane","dostat","pf"," “ When you get there, my dear Von Bork, I think you will be surprised at the welcome you will receive."," "" Až se navrátíte, myslím, že se vám dostane tak vřelého přijetí, jakého byste se ani sám nenadál, drahý von Borku."
"decided","decide","rozhodoval","rozhodovat","impf"," He looked up at last with the expression of one who has seen his adversary make a dangerous move at chess, and has decided how to meet it."," Nakonec ke mně vzhlédl, jako by při šachu zpozoroval soupeřův nebezpečný tah a rozhodoval se, jakým způsobem mu čelit."
"meet","meet","čelit","čelit","impf"," He looked up at last with the expression of one who has seen his adversary make a dangerous move at chess, and has decided how to meet it."," Nakonec ke mně vzhlédl, jako by při šachu zpozoroval soupeřův nebezpečný tah a rozhodoval se, jakým způsobem mu čelit."
"said","say","pravil","pravit","pf"," ‘ Many people, Mr. Dodd, ’ said he, ‘ would take offence at your infernal pertinacity and would think that this insistence had reached the point of damned impertinence. ’"," ' Pane Dodde, ' pravil, ' mnozí lidé by vaši pekelnou tvrdošíjnost považovali za urážlivou a měli by dojem, že takové naléhání přechází v zatracenou drzost. '"
"think","think","považovali","považovat","impf"," ‘ Many people, Mr. Dodd, ’ said he, ‘ would take offence at your infernal pertinacity and would think that this insistence had reached the point of damned impertinence. ’"," ' Pane Dodde, ' pravil, ' mnozí lidé by vaši pekelnou tvrdošíjnost považovali za urážlivou a měli by dojem, že takové naléhání přechází v zatracenou drzost. '"
"think","think","měli","mít","impf"," ‘ Many people, Mr. Dodd, ’ said he, ‘ would take offence at your infernal pertinacity and would think that this insistence had reached the point of damned impertinence. ’"," ' Pane Dodde, ' pravil, ' mnozí lidé by vaši pekelnou tvrdošíjnost považovali za urážlivou a měli by dojem, že takové naléhání přechází v zatracenou drzost. '"
"retired","retire","odešel","odejít","pf"," “ But you have retired, Holmes."," "" Ale vždyť jste odešel na odpočinek, Holmesi."
"heard","hear","Slyšeli","slyšet","impf"," We heard of you as living the life of a hermit among your bees and your books in a small farm upon the South Downs. ”"," Slyšeli jsme, že poustevničíte mezi svými včelami a knihami na malé farmě v jižní Anglii. """
"announced","announce","ohlásit","ohlásit","pf"," Sharp to the half-hour, Colonel Sir James Damery was announced."," Přesně v půl páté se dal ohlásit plukovník sir James Damery."
"describe","describe","popisoval","popisovat","impf"," It is hardly necessary to describe him, for many will remember that large, bluff, honest personality, that broad, cleanshaven face, and, above all, that pleasant, mellow voice."," Sotva bude nutno, abych ho čtenářům popisoval, neboť mnozí se ještě dobře rozpomenou na toho starého, přímočarého poctivce, na jeho široký, hladce vyholený obličej, a především na příjemný, lahodně zbarvený hlas."
"shone","shine","zářila","zářit","impf"," Frankness shone from his gray Irish eyes, and good humour played round his mobile, smiling lips."," Z šedých irských očí mu zářila upřímnost a veselá mysl se zračila kolem živých, usměvavých rtů."
"find","find","zjistí","zjistit","pf"," Your admiral may find the new guns rather larger than he expects, and the cruisers perhaps a trifle faster. ”"," Váš admirál patrně zjistí, že nová děla jsou poněkud mocnější, než předpokládal, a křižníky snad trošinku rychlejší. """
"expects","expect","předpokládal","předpokládat","impf"," Your admiral may find the new guns rather larger than he expects, and the cruisers perhaps a trifle faster. ”"," Váš admirál patrně zjistí, že nová děla jsou poněkud mocnější, než předpokládal, a křižníky snad trošinku rychlejší. """
"clutched","clutch","sevřel","sevřít","pf"," Von Bork clutched at his own throat in despair."," Von Bork si v zoufalství sevřel rukama vlastní hrdlo."
"say","say","nemluvíc","mluvit","impf"," You will have barren work, to say nothing of incurring some danger."," Vaše úsilí vyzní naplano, nemluvíc o tom, že se vystavujete jistému nebezpečí."
