"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"went","go","odešli","odejít","pf"," The two men went."," Ti dva odešli."
"found","find","našly","najít","pf"," Hours later, on the spit of rocks that broke the long expanse of sand and shingle, the women they left behind found a sandal among the shrimp pools."," Za pár hodin na úzkém výběžku skal narušujících dlouhou plochu písku a oblázků našly ženy, které tam muži zanechali, mezi jezírky s garnáty jeden sandál."
"left","leave","zanechali","zanechat","pf"," Hours later, on the spit of rocks that broke the long expanse of sand and shingle, the women they left behind found a sandal among the shrimp pools."," Za pár hodin na úzkém výběžku skal narušujících dlouhou plochu písku a oblázků našly ženy, které tam muži zanechali, mezi jezírky s garnáty jeden sandál."
"learnt","learn","dozvěděli","dozvědět","pf"," The fishermen at Kilauran learnt of the loss when they rowed in at dawn from their fishing."," Rybáři z Kilauranu se o té ztrátě dozvěděli, když za rozbřesku přiveslovali z rybaření."
"seen","see","neviděli","vidět","impf"," They reported that all night they ’ d seen nothing from their boats, but the superstition that long ago had enriched their fishermen ’ s talk was muttered again among them."," Nechali se slyšet, že celou noc ze člunů nic neviděli, ale pověra, která už před lety obohatila rybářské řeči, mezi nimi zase začala kolovat."
"enriched","enrich","obohatila","obohatit","pf"," They reported that all night they ’ d seen nothing from their boats, but the superstition that long ago had enriched their fishermen ’ s talk was muttered again among them."," Nechali se slyšet, že celou noc ze člunů nic neviděli, ale pověra, která už před lety obohatila rybářské řeči, mezi nimi zase začala kolovat."
"played","play","hráli","hrát","impf"," She had to stand on a footstool when they played bagatelle, but she knew these were the marbles he ’ d been given then because once he ’ d told her."," Když hráli tivoli, musela stát na stoličce, věděla ale, že tyhle kuličky dostal, protože jí to kdysi řekl."
"told","tell","řekl","říci","pf"," She had to stand on a footstool when they played bagatelle, but she knew these were the marbles he ’ d been given then because once he ’ d told her."," Když hráli tivoli, musela stát na stoličce, věděla ale, že tyhle kuličky dostal, protože jí to kdysi řekl."
"forgotten","forget","zapomněl","zapomenout","pf"," He ’ d forgotten that."," Na to už zapomněl."
"forgot","forget","zapomínal","zapomínat","impf"," Sometimes he forgot things."," Někdy zapomínal."
"speak","speak","mluvit","mluvit","impf"," ‘ There ’ s a fisherman in Kilauran can ’ t speak at all, ’ she said."," "" Jeden rybář v Kilauranu neumí vůbec mluvit, "" nadhodila."
"said","say","mluvit","mluvit","impf"," ‘ There ’ s a fisherman in Kilauran can ’ t speak at all, ’ she said."," "" Jeden rybář v Kilauranu neumí vůbec mluvit, "" nadhodila."
"see","see","zahlédne","zahlédnout","pf"," ‘ You see him doing it."," "" Občas ho při tom člověk zahlédne."
"understand","understand","rozumějí","rozumět","impf"," The other fishermen understand him. ’"," Ostatní rybáři mu rozumějí. """
"risen","rise","Nepovstali","povstat","pf"," For had not, after all, the people risen up, and was not that the beginning of the hell which had so swiftly been completed in this small corner?"," Nepovstali snad nakonec lidé a nebyl v tom počátek pekla, které se v tomhle malém koutě tak rychle završilo?"
"sat","sit","sedla","sednout","pf"," Bridget sat down, to steady the weakness in her knees."," Bridget si sedla, aby se jí nepodlomila kolena."
"tried","try","Zkusila","zkusit","pf"," She tried to count the days, but they kept slipping about."," Zkusila spočítat, kolik to je dní, ale pořád se jí to nedařilo."
"count","count","spočítat","spočítat","pf"," She tried to count the days, but they kept slipping about."," Zkusila spočítat, kolik to je dní, ale pořád se jí to nedařilo."
"came","come","přišli","přijít","pf"," When they came to the schoolroom he lifted her up to see in at the window."," Když přišli ke školní třídě, zvedl ji, aby si ji skrz okno mohla prohlédnout."
"see","see","přišli","přijít","pf"," When they came to the schoolroom he lifted her up to see in at the window."," Když přišli ke školní třídě, zvedl ji, aby si ji skrz okno mohla prohlédnout."
"lifted","lift","zvedl","zvednout","pf"," When they came to the schoolroom he lifted her up to see in at the window."," Když přišli ke školní třídě, zvedl ji, aby si ji skrz okno mohla prohlédnout."
"made","make","vyrábět","vyrábět","impf"," Bayonets were first made in Bayonne."," Bajonety se začaly vyrábět v Bayonne."
"abandoned","abandon","opustili","opustit","pf"," In this manner, on Thursday the twenty-second of September 1921, Captain Gault and his wife abandoned their house and unknowingly their child."," Takto, ve čtvrtek dvaadvacátého září 1921 kapitán Gault a jeho manželka opustili svůj dům a nevědomky své dítě."
"came","come","přišla","přijít","pf"," France when it came was just another country, although nights were spent there."," Francie, když přišla, byla jen další země, ačkoli tam strávili pár nocí."
"spent","spend","strávili","strávit","pf"," France when it came was just another country, although nights were spent there."," Francie, když přišla, byla jen další země, ačkoli tam strávili pár nocí."
"came","come","přišla","přijít","pf"," Sister Antony came to the convent from a farm, Sister Mary Bartholomew from an institution."," Sestra Antony přišla do kláštera ze statku, sestra Mary Bartholomew z ústavu."
"talk","talk","mluví","mluvit","impf"," Sometimes they talk about that, recollecting the neighbourhoods they knew in their childhood, reminiscing about people she might have heard of."," Někdy o tom mluví, vzpomínají na čtvrti, které v dětství znaly, vzpomínají na lidi, o nichž mohla slyšet."
"reminiscing","reminisce","vzpomínají","vzpomínat","impf"," Sometimes they talk about that, recollecting the neighbourhoods they knew in their childhood, reminiscing about people she might have heard of."," Někdy o tom mluví, vzpomínají na čtvrti, které v dětství znaly, vzpomínají na lidi, o nichž mohla slyšet."
"reminiscing","reminisce","vzpomínají","vzpomínat","impf"," Sometimes they talk about that, recollecting the neighbourhoods they knew in their childhood, reminiscing about people she might have heard of."," Někdy o tom mluví, vzpomínají na čtvrti, které v dětství znaly, vzpomínají na lidi, o nichž mohla slyšet."
"heard","hear","slyšet","slyšet","impf"," Sometimes they talk about that, recollecting the neighbourhoods they knew in their childhood, reminiscing about people she might have heard of."," Někdy o tom mluví, vzpomínají na čtvrti, které v dětství znaly, vzpomínají na lidi, o nichž mohla slyšet."
"listen","listen","poslouchat","poslouchat","impf"," Late afternoon has a sunlit haze about it, the sea as calm as she has ever seen it, waves lapping so gently you could listen to the sound for ever."," Pozdní odpoledne je zahalené prosluněným oparem, moře je nesmírně klidné, vlny narážejí na břeh tak jemně, že by to člověk mohl poslouchat donekonečna."
"hurry","hurry","Nespěchá","spěchat","impf"," She does not hurry;"," Nespěchá;"
"hurry","hurry","spěchat","spěchat","impf"," there is no need to hurry."," není třeba spěchat."
"came","come","přišel","přijít","pf"," When the mid-morning tray came and the boys had run away there was the letter to peruse again with luxurious slowness, the taking of it from the pocket, the slow unfolding, the dappled shadows on white paper and blue ink."," Když přišel tác s dopolední svačinkou a kluci odběhli pryč, mohl si ten dopis znovu prostudovat rozkošnicky pomalu, vytáhnout ho z kapsy, pomalu ho rozbalit, vnímat i polostín na bílém papíře a modrém inkoustu."
"peruse","peruse","prostudovat","prostudovat","pf"," When the mid-morning tray came and the boys had run away there was the letter to peruse again with luxurious slowness, the taking of it from the pocket, the slow unfolding, the dappled shadows on white paper and blue ink."," Když přišel tác s dopolední svačinkou a kluci odběhli pryč, mohl si ten dopis znovu prostudovat rozkošnicky pomalu, vytáhnout ho z kapsy, pomalu ho rozbalit, vnímat i polostín na bílém papíře a modrém inkoustu."
"kept","keep","měl","mít","impf"," The envelope was kept separately;"," Obálku měl schovanou zvlášť;"
"examined","examine","prozkoumal","prozkoumat","pf"," it, too, was examined now."," i tu teď prozkoumal."
"nodded","nod","přikývl","přikývnout","pf"," Henry nodded slowly."," Henry pomalu přikývl."
"said","say","řekl","říci","pf"," They were down on the strand, he said."," Byli na pobřeží, řekl."
"found","find","Našel","najít","pf"," ‘ He found her clothes."," "" Našel její šaty."
"going","go","šel","jít","impf"," The tide was going out and he walking over from Kilauran."," Byl odliv a on šel z Kilauranu."
"walking","walk","šel","jít","impf"," The tide was going out and he walking over from Kilauran."," Byl odliv a on šel z Kilauranu."
"said","say","neřek","říci","pf"," That ’ s all was said. ’"," Nic víc neřek. """
"whispered","whisper","zašeptala","zašeptat","pf"," It couldn ’ t be that, Bridget whispered."," Tak to nemůže být, zašeptala Bridget."
"saying","say","říká","říkat","impf"," It couldn ’ t be what he was saying."," Nemůže to být tak, jak on říká."
"take","take","vezme","vzít","pf"," ‘ The tide would take anything with it."," "" Odliv s sebou vezme cokoli."
"do","do","děláme","dělat","impf"," Not that it ’ ll matter, since we do it for ourselves, don ’ t you think? ’"," Ne že by na tom záleželo, protože to stejně děláme pro sebe, nemyslíš? """
"think","think","nemyslíš","myslet","impf"," Not that it ’ ll matter, since we do it for ourselves, don ’ t you think? ’"," Ne že by na tom záleželo, protože to stejně děláme pro sebe, nemyslíš? """
"nodded","nod","Přikývla","přikývnout","pf"," She nodded, digging out another root."," Přikývla a vykopala další kořen."
"end","end","skončí","skončit","pf"," Their people would end when they did, all duty to them finished, all memory of them dead."," Jejich předci skončí s nimi, veškeré povinnosti k nim budou naplněny, veškeré vzpomínky na ně mrtvé."
"finished","finish","skončí","skončit","pf"," Their people would end when they did, all duty to them finished, all memory of them dead."," Jejich předci skončí s nimi, veškeré povinnosti k nim budou naplněny, veškeré vzpomínky na ně mrtvé."
"hear","hear","slyšela","slyšet","impf"," She could hear a clattering outside and guessed that Henry had put a ladder up and was removing the window boards from Lucy ’ s bedroom before he went for Dr Carney."," Zvenčí slyšela rachot a odhadla, že Henry vytáhl žebřík a teď odstraňuje bednění z oken Lucyina pokoje, než vyrazí za doktorem Carneym."
"guessed","guess","odhadla","odhadnout","pf"," She could hear a clattering outside and guessed that Henry had put a ladder up and was removing the window boards from Lucy ’ s bedroom before he went for Dr Carney."," Zvenčí slyšela rachot a odhadla, že Henry vytáhl žebřík a teď odstraňuje bednění z oken Lucyina pokoje, než vyrazí za doktorem Carneym."
"removing","remove","vytáhl","vytáhnout","pf"," She could hear a clattering outside and guessed that Henry had put a ladder up and was removing the window boards from Lucy ’ s bedroom before he went for Dr Carney."," Zvenčí slyšela rachot a odhadla, že Henry vytáhl žebřík a teď odstraňuje bednění z oken Lucyina pokoje, než vyrazí za doktorem Carneym."
"removing","remove","odstraňuje","odstraňovat","impf"," She could hear a clattering outside and guessed that Henry had put a ladder up and was removing the window boards from Lucy ’ s bedroom before he went for Dr Carney."," Zvenčí slyšela rachot a odhadla, že Henry vytáhl žebřík a teď odstraňuje bednění z oken Lucyina pokoje, než vyrazí za doktorem Carneym."
"think","think","myslel","myslet","impf"," You ’ d think he ’ d know better than to waste time over that."," Jeden by si myslel, že bude mít dost rozumu a nebude takhle marnit čas."
"think","think","mít","mít","impf"," You ’ d think he ’ d know better than to waste time over that."," Jeden by si myslel, že bude mít dost rozumu a nebude takhle marnit čas."
"boil","boil","uvařit","uvařit","pf"," ‘ Would I boil you an egg when we have you washed?"," "" Mám ti uvařit vajíčko, až se vykoupeme?"
"caught","catch","zachytilo","zachytit","pf"," Except what was caught up in the stones."," Až na to, co se zachytilo mezi kameny."
"going","go","nechodí","chodit","impf"," ‘ A while back I wondered was she going bathing on her own."," "" Nedávno mě napadlo, jestli nechodí plavat sama."
"seen","see","zahlíd","zahlédnout","pf"," If I ’ d have seen her at it I ’ d have said. ’"," Kdybych ji při tom zahlíd, tak bych si to nenechal pro sebe. """
"say","say","neřekl","říci","pf"," Henry didn ’ t say anything, and then Bridget shook her head."," Henry nic neřekl a pak Bridget zavrtěla hlavou."
"remained","remain","zůstalo","zůstat","pf"," Henry had wrenched off several of the boards, but some remained."," Henry vypáčil několik prken, pár jich ale zůstalo."
"said","say","pronesla","pronést","pf"," ‘ Dr Carney won ’ t be long, ’ she said, not knowing what else to say."," "" Doktor Carney už tu bude za chvilku, "" pronesla, protože nevěděla, co jiného by mohla říct."
"say","say","pronesla","pronést","pf"," ‘ Dr Carney won ’ t be long, ’ she said, not knowing what else to say."," "" Doktor Carney už tu bude za chvilku, "" pronesla, protože nevěděla, co jiného by mohla říct."
"said","say","říct","říci","pf"," ‘ Dr Carney won ’ t be long, ’ she said, not knowing what else to say."," "" Doktor Carney už tu bude za chvilku, "" pronesla, protože nevěděla, co jiného by mohla říct."
"say","say","říct","říci","pf"," ‘ Dr Carney won ’ t be long, ’ she said, not knowing what else to say."," "" Doktor Carney už tu bude za chvilku, "" pronesla, protože nevěděla, co jiného by mohla říct."
"tell","tell","řekne","říci","pf"," ‘ There ’ s nothing else only what she ’ ll tell you. ’"," "" Není tam nic jiného, jen to, co vám řekne. """
"remembering","remember","vzpomínala","vzpomínat","impf"," He had smiled through this acceptance of nature ’ s strict economy and she had too, keeping company with him in his dismissal of morbid anticipation, remembering him as he had been while she made the slow journey of loving him again, forgiven for her unspoken reproaches."," S touto strohou úsporností přírody se smířil s úsměvem a ona taky, stejně jako on odmítla chorobné očekávání smrti, vzpomínala na něj, jaký byl, zatímco si ho znovu pomalu zamilovávala, když on jí nevyřčené výčitky odpustil."
"kept","keep","nechala","nechat","pf"," Some of his belongings she kept : his sets of cufflinks;"," Některé jeho věci si nechala : jeho sadu manžetových knoflíčků;"
"worn","wear","nosil","nosit","impf"," the wedding ring he ’ d worn."," snubní prsten, který nosil."
"thinking","think","myslel","myslet","impf"," He recalled, too, idling one day on a seat in a park and thinking of the caretakers he had left behind in Ireland."," Vybavil si i to, jak jednoho dne lenošil na lavičce v parku a myslel na správce, které zanechal v Irsku."
"left","leave","zanechal","zanechat","pf"," He recalled, too, idling one day on a seat in a park and thinking of the caretakers he had left behind in Ireland."," Vybavil si i to, jak jednoho dne lenošil na lavičce v parku a myslel na správce, které zanechal v Irsku."
"Smoking","smoke","Kouřil","kouřit","impf"," Smoking one of his slim cigarillos, he had found himself reflecting that they would have become as old as he was, had worried that the herd might not still support them, and about their circumstances if it did not."," Kouřil tenký doutníček a přistihl se při myšlence, že oni zestárli stejně jako on, a zmocnila se ho obava, že už třeba z toho stáda nevyžijí, a jakpak se jim v takovém případě asi daří."
"wondered","wonder","Přemýšlel","přemýšlet","impf"," He had wondered – but did not say it now – if they were still alive."," Přemýšlel - ale to už teď neřekl -, jestli jsou ještě naživu."
"say","say","neřekl","říci","pf"," He had wondered – but did not say it now – if they were still alive."," Přemýšlel - ale to už teď neřekl -, jestli jsou ještě naživu."
"fix","fix","spravit","spravit","pf"," ‘ We could fix the gate-lodge up, ’ he offered Bridget."," "" Mohli bychom spravit strážní domek, "" nabídl Bridget."
"offered","offer","nabídl","nabídnout","pf"," ‘ We could fix the gate-lodge up, ’ he offered Bridget."," "" Mohli bychom spravit strážní domek, "" nabídl Bridget."
"apologized","apologize","omluvil","omluvit","pf"," The boy apologized for being early and was told it didn ’ t matter."," Chlapec se omluvil, že přijíždí brzy, a dostalo se mu odpovědi, že to nevadí."
"thought","think","Myslela","myslet","impf"," ‘ I thought maybe you ’ d have gone away already, ’ Lucy said."," "" Myslela jsem, že už jste třeba odjel, "" řekla Lucy."
"gone","go","odjel","odjet","pf"," ‘ I thought maybe you ’ d have gone away already, ’ Lucy said."," "" Myslela jsem, že už jste třeba odjel, "" řekla Lucy."
"said","say","řekla","říci","pf"," ‘ I thought maybe you ’ d have gone away already, ’ Lucy said."," "" Myslela jsem, že už jste třeba odjel, "" řekla Lucy."
"thought","think","Myslela","myslet","impf"," ‘ I thought maybe my note would have missed you. ’"," "" Myslela jsem, že vás můj vzkaz možná nezastihl. """
"realized","realize","uvědomil","uvědomit","pf"," When the Captain realized that since his wife ’ s death he had lost something of his military bearing – that with an old man ’ s carelessness he had let himself go, that he shambled when he was tired – he made up for these lapses in the care he took, for his daughter ’ s sake, with his dress and his appearance."," Když si kapitán uvědomil, že od manželčiny smrti přišel o něco ze svého vojenského vzezření - že o sebe se stařeckou nedbalostí přestal dbát, že se šoural, když byl unavený - vynahradil si kvůli dceři tyto poklesky péčí o své šaty a svůj zjev."
"says","say","řekl","říci","pf"," “ Wait till we see what have we in the petrol line, ” he says, and the tins were out the back, down a drain that ’ d gone dry."," ' Počkejte, koukneme se, co tu je za benzín, ' řekl a kanystry byly vzadu za barákem, ve vyschlým příkopě."
"rouse","rouse","nevzbudil","vzbudit","pf"," Failing to rouse her from sleep, her father ’ s single shot became, in a dream, the crack of a branch giving way to the wind;"," Jediný otcův výstřel ji nevzbudil ze spaní, a tak se z něj stalo prasknutí větve, která nevydržela nápor větru;"
"said","say","řekl","říci","pf"," and Henry had said that the sheepdogs must have gone on to poisoned land."," a Henry už předtím řekl, že ovčáčtí psi se nejspíš zatoulali na otrávenou zem."
"went","go","začalo","začít","pf"," But as the weeks went on, the summer began to feel different, and eavesdropping became the source of her information."," Ale jak plynul jeden týden za druhým, to léto začalo mít jiný přídech a ona se k informacím dostala, když poslouchala za dveřmi."
"began","begin","začalo","začít","pf"," But as the weeks went on, the summer began to feel different, and eavesdropping became the source of her information."," Ale jak plynul jeden týden za druhým, to léto začalo mít jiný přídech a ona se k informacím dostala, když poslouchala za dveřmi."
"quieten","quieten","uklidní","uklidnit","pf"," ‘ It ’ ll quieten, ’ her papa said."," "" Ono se to uklidní, "" tvrdil její otec."
"come","come","přijde","přijít","pf"," Old Hannah would come to the gate-lodge the odd time and one day even Kitty Teresa might, although she was a fair enough distance away."," Stará Hannah za nimi jednou za uherský měsíc přijde do strážního domku a jednou by mohla přijít i Kitty Teresa, ačkoli ta to má hodně daleko."
"come","come","přijít","přijít","pf"," Old Hannah would come to the gate-lodge the odd time and one day even Kitty Teresa might, although she was a fair enough distance away."," Stará Hannah za nimi jednou za uherský měsíc přijde do strážního domku a jednou by mohla přijít i Kitty Teresa, ačkoli ta to má hodně daleko."
"want","want","chtít","chtít","impf"," More likely, though, Kitty Teresa wouldn ’ t want to come visiting."," Je ovšem mnohem pravděpodobnější, že Kitty Terese se sem na návštěvu nebude chtít."
"leave","leave","odejít","odejít","pf"," After the carry-on there ’ d been with her when she had to leave, that would maybe be too much for her."," Když musela odejít, bylo kolem toho tolik cavyků, takže nejspíš by toho na ni bylo příliš."
"miss","miss","chybět","chybět","impf"," Most of all you ’ d miss this big old kitchen, Bridget thought when she entered it again."," Ze všeho nejvíc ti bude chybět tahle stará velká kuchyně, pomyslela si Bridget, když do ní znovu vešla."
"thought","think","pomyslela","pomyslet","pf"," Most of all you ’ d miss this big old kitchen, Bridget thought when she entered it again."," Ze všeho nejvíc ti bude chybět tahle stará velká kuchyně, pomyslela si Bridget, když do ní znovu vešla."
"entered","enter","vešla","vejít","pf"," Most of all you ’ d miss this big old kitchen, Bridget thought when she entered it again."," Ze všeho nejvíc ti bude chybět tahle stará velká kuchyně, pomyslela si Bridget, když do ní znovu vešla."
"lost","lose","neztratil","ztratit","pf"," They would not have met if he had not lost his way :"," Nikdy by se neseznámili, kdyby se neztratil :"
"tried","try","snažila","snažit","impf"," Lucy tried to think of that, of their never meeting, of not knowing that Ralph existed."," Lucy se o tom snažila přemýšlet, o tom, že by se nikdy nepotkali a ona by ani netušila, že Ralph existuje."
"think","think","přemýšlet","přemýšlet","impf"," Lucy tried to think of that, of their never meeting, of not knowing that Ralph existed."," Lucy se o tom snažila přemýšlet, o tom, že by se nikdy nepotkali a ona by ani netušila, že Ralph existuje."
"existed","exist","existuje","existovat","impf"," Lucy tried to think of that, of their never meeting, of not knowing that Ralph existed."," Lucy se o tom snažila přemýšlet, o tom, že by se nikdy nepotkali a ona by ani netušila, že Ralph existuje."
"come","come","přišel","přijít","pf"," It seemed to her that he had come out of nowhere, and she wondered if when he left Lahardane he would return to nowhere and not come back."," Připadalo jí, že přišel odnikud, a lámala si hlavu, zda se tam po odchodu z Lahardanu vrátí a už se neobjeví."
"come","come","přišel","přijít","pf"," It seemed to her that he had come out of nowhere, and she wondered if when he left Lahardane he would return to nowhere and not come back."," Připadalo jí, že přišel odnikud, a lámala si hlavu, zda se tam po odchodu z Lahardanu vrátí a už se neobjeví."
"return","return","vrátí","vrátit","pf"," It seemed to her that he had come out of nowhere, and she wondered if when he left Lahardane he would return to nowhere and not come back."," Připadalo jí, že přišel odnikud, a lámala si hlavu, zda se tam po odchodu z Lahardanu vrátí a už se neobjeví."
"forget","forget","nezapomene","zapomenout","pf"," She would never forget him."," Nikdy na něj nezapomene."
"remember","remember","pamatovat","pamatovat","impf"," All her life she would remember the Wednesday afternoons there had been, and the time that was passing now."," Celý život si bude pamatovat jejich středeční odpoledne a ten čas, který prožívají společně právě teď."
"left","leave","zanechal","zanechat","pf"," ‘ Not for too long, ’ he left his silent promise behind, and felt a falsehood compounded here too."," "" Ne na dlouho, "" zanechal tu tichý slib a připadalo mu, že i tady vrší lež na lež."
"grew","grow","rostla","růst","impf"," He stood for a while on the rocks where sea-pinks grew in clumps."," Chvíli postál na skalách, kde v trsech rostla trávnička přímořská."
"came","come","přicházely","přicházet","impf"," Its waves came softly, hardly touched with foam."," Vlny přicházely tiše, prakticky nedotčené pěnou."
"begun","begin","začal","začít","pf"," Had he been right not to reveal to Heloise, or to his child, the finality he had begun to sense in this departure?"," Udělal dobře, když se Heloise ani svému dítěti nesvěřil s tím, jak definitivní mu začal připadat tenhle odjezd?"
"mattered","matter","záleželo","záležet","impf"," Yet Montemarmoreo was all the difference that mattered : she might have said that too."," Ovšem Montemarmoreo byla jediná změna, na které záleželo : to také bývala mohla říct."
"said","say","říct","říci","pf"," Yet Montemarmoreo was all the difference that mattered : she might have said that too."," Ovšem Montemarmoreo byla jediná změna, na které záleželo : to také bývala mohla říct."
"begin","begin","začnou","začít","pf"," Their small appartamento above the shoemaker ’ s shop, their own possessions increasing, the walks that would begin again now : there was a kind of peace."," Jejich malé appartamento nad ševcovskou dílnou, jejich rostoucí majetek, procházky, které teď zase začnou : v tom svým způsobem nacházela pokoj."
"raised","raise","zvedly","zvednout","pf"," The pale hands of the magician were raised again, the butterfly appeared, was banished and then returned."," Bledé kouzelníkovy ruce se znovu zvedly, objevil se motýl, byl zapuzen a pak se vrátil."
"appeared","appear","objevil","objevit","pf"," The pale hands of the magician were raised again, the butterfly appeared, was banished and then returned."," Bledé kouzelníkovy ruce se znovu zvedly, objevil se motýl, byl zapuzen a pak se vrátil."
"returned","return","vrátil","vrátit","pf"," The pale hands of the magician were raised again, the butterfly appeared, was banished and then returned."," Bledé kouzelníkovy ruce se znovu zvedly, objevil se motýl, byl zapuzen a pak se vrátil."
"perused","peruse","Prohlédli","prohlédnout","pf"," The details copied from the timetables at the railway station – convenient trains, a choice of cities – were perused."," Prohlédli si výpisky z jízdních řádů na železniční stanici - příhodné vlaky, výběr měst."
"raised","raise","Zvedl","zvednout","pf"," He raised his eyes to look around the room that hadn ’ t been repaired in any way, not even to put new panes in the windows, not even to clean the blackened walls."," Zvedl oči a rozhlédl se po místnosti, která nebyla nijak opravena, dokonce ani okna nenechali znovu zasklít a neomyli zčernalé zdi."
"repaired","repair","opravena","opravit","pf"," He raised his eyes to look around the room that hadn ’ t been repaired in any way, not even to put new panes in the windows, not even to clean the blackened walls."," Zvedl oči a rozhlédl se po místnosti, která nebyla nijak opravena, dokonce ani okna nenechali znovu zasklít a neomyli zčernalé zdi."
"hanging","hang","visely","viset","impf"," Charred nearly to nothing, the furniture was there, and splinters of glass all over the floor, the rags of the curtains hanging down."," Zůstal tu i zcela ohořelý nábytek, na podlaze se válely skleněné střepy a dál tu visely cáry záclon."
"think","think","myslíte","myslet","impf"," ‘ You ’ re good to think of us, sir. ’"," "" Jste moc hodný, že na nás myslíte, pane. """
"done","do","neudělal","udělat","pf"," Mr Sullivan shook Bridget ’ s hand, something he had never done before and, in fact, never did again."," Pan Sullivan potřásl Bridget rukou, což předtím nikdy neudělal a což také již nikdy neudělá."
"did","do","neudělal","udělat","pf"," Mr Sullivan shook Bridget ’ s hand, something he had never done before and, in fact, never did again."," Pan Sullivan potřásl Bridget rukou, což předtím nikdy neudělal a což také již nikdy neudělá."
"done","do","neudělá","udělat","pf"," Mr Sullivan shook Bridget ’ s hand, something he had never done before and, in fact, never did again."," Pan Sullivan potřásl Bridget rukou, což předtím nikdy neudělal a což také již nikdy neudělá."
"did","do","neudělá","udělat","pf"," Mr Sullivan shook Bridget ’ s hand, something he had never done before and, in fact, never did again."," Pan Sullivan potřásl Bridget rukou, což předtím nikdy neudělal a což také již nikdy neudělá."
"promised","promise","Slíbil","slíbit","pf"," He wouldn ’ t desert them, he promised."," Slíbil jim, že je neopustí."
"read","read","četla","číst","impf"," The bees never stung her, but once a wasp had been in her shoe when she put it on and her mother had rubbed something cold on the place and read to her for the whole morning from the green Grimms ’ book."," Včely ji nikdy neštíply, ale jednou měla včelu v botičce, když si ji nasadila, a máma jí na to namazala něco studeného a celé dopoledne jí četla z té zelené knihy bratří Grimmů."
"found","find","našel","najít","pf"," And a long time later, when her mother wasn ’ t there any more, Henry had found a hornets ’ nest in a crack on the pear-tree wall."," A mnoho let později, když už tady její matka nebyla, Henry našel v prasklině zídky za hrušní sršní hnízdo."
"mentioning","mention","nezmínila","zmínit","pf"," Wasn ’ t she to blame for not mentioning the bathing?"," Nebyla to její vina, že se nezmínila o tom plavání?"
"playing","play","nehrálo","hrát","impf"," Wasn ’ t the child forever playing her games in the glen and above it in the woods – why wouldn ’ t she have reminded them of that?"," Copak si to dítě nehrálo pořád v údolí a v lesích nad ním - proč na to rodiče neupozornila?"
"said","say","neřekla","říci","pf"," Why wouldn ’ t she have said it was all fancy, what the fishermen believed?"," Proč neřekla, že to, čemu věřili rybáři, je jen výplod jejich obrazotvornosti?"
"believed","believe","věřili","věřit","impf"," Why wouldn ’ t she have said it was all fancy, what the fishermen believed?"," Proč neřekla, že to, čemu věřili rybáři, je jen výplod jejich obrazotvornosti?"
"sought","seek","hledalo","hledat","impf"," The journey the stricken parents had set out upon became a pilgrimage, absolution sought for sins that varied in the telling."," Z cesty, na niž se vydali sklíčení rodiče, se stala pouť, na níž se hledalo rozhřešení za hříchy, které se v rozmanitých podáních různily."
"sang","sing","zpívaly","zpívat","impf"," ‘ The Grand Old Duke of York, ’ sang the children at the Christmas party in Mr Aylward ’ s schoolroom, ‘ he had ten thousand men ... ’"," "" Velkovévoda yorský, "" zpívaly děti na vánočním večírku ve školní třídě pana Aylwarda, "" měl deset tisíc mužů ... """
"decorated","decorate","zdobily","zdobit","impf"," Balloons decorated the spelling charts and the blackboard, holly cheered the maps and Mr Aylward ’ s own portraits of kings and queens."," Balónky zdobily hláskovací tabulky i tabuli, cesmína rozveselovala mapy a portréty králů a královen přímo od pana Aylwarda."
"wounded","wound","zraněn","zranit","pf"," The son who had been wounded sat at the table, disdainful of the visit, not speaking either, his arm in a sling."," Syn, který byl zraněn, seděl u stolu, k návštěvě se stavěl nevraživě, rovněž nemluvil a ruku měl v pásce."
"sat","sit","seděl","sedět","impf"," The son who had been wounded sat at the table, disdainful of the visit, not speaking either, his arm in a sling."," Syn, který byl zraněn, seděl u stolu, k návštěvě se stavěl nevraživě, rovněž nemluvil a ruku měl v pásce."
"speaking","speak","nemluvil","mluvit","impf"," The son who had been wounded sat at the table, disdainful of the visit, not speaking either, his arm in a sling."," Syn, který byl zraněn, seděl u stolu, k návštěvě se stavěl nevraživě, rovněž nemluvil a ruku měl v pásce."
"said","say","řekl","říci","pf"," In the end, Captain Gault said – and was embarrassed and felt awkward saying it – that Daniel O ’ Connell in his day had stayed at Lahardane."," Kapitán Gault nakonec řekl - a bylo mu to trapné -, že v Lahardanu kdysi dávno přenocoval Daniel O ' Connell."
"saying","say","řekl","říci","pf"," In the end, Captain Gault said – and was embarrassed and felt awkward saying it – that Daniel O ’ Connell in his day had stayed at Lahardane."," Kapitán Gault nakonec řekl - a bylo mu to trapné -, že v Lahardanu kdysi dávno přenocoval Daniel O ' Connell."
"talked","talk","mluvit","mluvit","impf"," The images she might herself have conjured up were too fragile to be talked away in dinner-time conversation over plates and dishes on a table, too precious to be offered as a triviality."," Obrazy, které by vyvolala ona, by byly příliš křehké na to, aby se o nich dalo mluvit u večeře nad talíři s jídlem, příliš drahé, než aby je nabídla jako nějakou banalitu."
