"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"point","point","poukazují","poukazovat","impf"," Some philosophers point out that we[ ]don ’ t have a science of behaviour for the same reason we don ’ t have a science of furniture."," Někteří filosofové poukazují na to, že vědu o chování nemáme ze stejného důvodu, z jakého nemáme vědu o nábytku."
"answer","answer","odpovědět","odpovědět","pf"," My overall objective in this investigation is to try to answer some of the most puzzling questions about how human beings fit into the rest of the universe."," Globálním cílem mého zkoumání byl pokus odpovědět na některé z nejproblematičtějších otázek souvisejících se začleněním lidských bytostí do ostatního univerza."
"tried","try","pokoušel","pokoušet","impf"," In the first chapter I tried to solve the ‘ mind-body problem ’."," V první kapitole jsem se pokoušel vyřešit problém mysli a těla."
"solve","solve","vyřešit","vyřešit","pf"," In the first chapter I tried to solve the ‘ mind-body problem ’."," V první kapitole jsem se pokoušel vyřešit problém mysli a těla."
"match","match","neodpovídají","odpovídat","impf"," We have a[ ]science of the weather, meteorology, but it is not a strict science because the things that interest us about the weather don ’ t match the natural categories we have for physics."," A opravdu, máme vědu o počasí zvanou meteorologie, jenže to není věda v pravém slova smyslu, neboť na počasí nás zajímají věci, které neodpovídají přirozeným kategoriím fyziky."
"believe","believe","myslím","myslet","impf"," The upshot of this discussion I believe is to remind us of[ ]something that we have known all along : namely, mental states are biological phenomena."," Výsledkem tohoto výkladu je, myslím, skutečnost, že jsme si připomněli něco, co dávno víme : totiž že mentální stavy jsou biologické fenomény."
"remind","remind","připomněli","připomenout","pf"," The upshot of this discussion I believe is to remind us of[ ]something that we have known all along : namely, mental states are biological phenomena."," Výsledkem tohoto výkladu je, myslím, skutečnost, že jsme si připomněli něco, co dávno víme : totiž že mentální stavy jsou biologické fenomény."
"take","take","Vezmeme","vzít","pf"," But now if we take the example seriously, it looks as if it proves to be an argument for the freedom of the will and not against it."," Vezmeme - li však tento příklad vážně, vyklube se z něho argument ve prospěch svobody vůle, a nikoli proti ní."
"thought","think","myslí","myslet","impf"," The agent thought he was acting freely, though in fact his behaviour was determined."," Jednající osoba si myslí, že jedná svobodně, zatímco její chování je ve skutečnosti determinováno."
"acting","act","jedná","jednat","impf"," The agent thought he was acting freely, though in fact his behaviour was determined."," Jednající osoba si myslí, že jedná svobodně, zatímco její chování je ve skutečnosti determinováno."
"believe","believe","myslet","myslet","impf"," Many people outside of the field of artificial intelligence are quite amazed to discover that anybody could believe such a view as this."," Lidi nezasvěcené do umělé inteligence zpravidla zaráží, že si někdo něco takového může vůbec myslet."
"examining","examine","vyšetří","vyšetřit","pf"," But when he is actually examining a patient, and[ ]he is actually describing the nature of some patient ’ s neurosis, it is surprising how much the explanations he gives are commonsense explanations."," Když pak ale nějakého pacienta skutečně vyšetří a popisuje podstatu jeho neurózy, překvapí nás, do jaké míry je jeho vysvětlení vysvětlením z pozic zdravého rozumu."
"describing","describe","popisuje","popisovat","impf"," But when he is actually examining a patient, and[ ]he is actually describing the nature of some patient ’ s neurosis, it is surprising how much the explanations he gives are commonsense explanations."," Když pak ale nějakého pacienta skutečně vyšetří a popisuje podstatu jeho neurózy, překvapí nás, do jaké míry je jeho vysvětlení vysvětlením z pozic zdravého rozumu."
"behaves","behave","chová","chovat","impf"," Dora behaves the way she does because she is in love with Herr K, or because she ’ s imitating[ ]her cousin who has gone off to Mariazell."," Například Dora se chová jistým způsobem, protože je zamilovaná do pana K., nebo protože napodobuje svou sestřenici, která odcestovala do Mariazellu."
"follows","follow","vyplývá","vyplývat","impf"," But now, from our first conclusion, that[ ]programs are not enough, and our third conclusion, that any other system would have to have causal powers equal to the brain, conclusion four follows immediately :"," Z našeho prvního závěru, že je mimo možnosti jakéhokoli programu dát nějakému systému mysl, a z našeho třetího závěru, že jiný systém by musel mít kauzální síly ekvivalentní kauzálním silám mozku, bezprostředně vyplývá :"
"began","begin","začal","začít","pf"," What I have done so far is give a basis to the sense that those[ ]citations I began this talk with are really as preposterous as they seem."," Až do tohoto okamžiku jsem se snažil vyložit, že citáty, kterými jsem začal tuto přednášku, jsou opravdu tak groteskní, jak se to na první pohled jeví."
"expect","expect","očekávat","očekávat","impf"," Technological progress[ ]is always grossly exaggerated, but even subtracting the exaggeration, the development of computers has been quite remarkable, and we can reasonably expect that even more remarkable progress will be made in the future."," Technický pokrok se obvykle přeceňuje, ale i když zůstaneme nestranní, dosáhl rozvoj počítačů opravdu pozoruhodných výsledků a máme veškeré důvody očekávat obdobný vývoj i v budoucnosti."
"expect","expect","očekávat","očekávat","impf"," Why is it that the social sciences have suffered failures and achieved the successes that they have, and what can we reasonably expect to learn from them?"," Především otázce, jak vysvětlit selhání a úspěchy sociálních věd a jaké poučení od nich můžeme očekávat?"
"used","use","užit","užít","pf"," The notion of information-processing is being used to mask[ ]this confusion, because one expression is being used to cover two quite distinct phenomena."," Užitím obratu ' zpracování informací ' se tato záměna zastírá : jeden a týž výraz je užit, aby pokryl dva naprosto odlišné fenomény."
"used","use","užit","užít","pf"," The notion of information-processing is being used to mask[ ]this confusion, because one expression is being used to cover two quite distinct phenomena."," Užitím obratu ' zpracování informací ' se tato záměna zastírá : jeden a týž výraz je užit, aby pokryl dva naprosto odlišné fenomény."
"cover","cover","pokryl","pokrýt","pf"," The notion of information-processing is being used to mask[ ]this confusion, because one expression is being used to cover two quite distinct phenomena."," Užitím obratu ' zpracování informací ' se tato záměna zastírá : jeden a týž výraz je užit, aby pokryl dva naprosto odlišné fenomény."
"described","describe","popsat","popsat","pf"," Notice that in the ‘ as if ’ sense of information-processing, any system whatever can be described as if it were doing information-processing, and indeed, we might even use it for gathering information."," Všimněte si, že ve smyslu ' jakoby zpracování informací ' se vlastně kterýkoli systém dá popsat tak, jako by zpracovával informace, jelikož ho můžeme použít k získávání informací."
"use","use","použít","použít","pf"," Notice that in the ‘ as if ’ sense of information-processing, any system whatever can be described as if it were doing information-processing, and indeed, we might even use it for gathering information."," Všimněte si, že ve smyslu ' jakoby zpracování informací ' se vlastně kterýkoli systém dá popsat tak, jako by zpracovával informace, jelikož ho můžeme použít k získávání informací."
"divided","divide","dělil","dělit","impf"," Descartes divided the world into two kinds of substances : mental substances and physical substances."," Descartes dělil svět na dva druhy substancí, mentální a fyzikální."
"involve","involve","zahrnují","zahrnovat","impf"," If it really is a computer, its[ ]operations have to be defined syntactically, whereas consciousness, thoughts, feelings, emotions, and all the rest of it involve more than a syntax."," Jde - li opravdu o počítač, pak jsou jeho operace definovány syntakticky, zatímco vědomí, myšlenky, pocity, city a všechno, co k tomu patři, zahrnují víc než syntax."
"consist","consist","nespočívá","spočívat","impf"," But the ability to drive[ ]doesn ’ t itself consist in a whole lot of other intentional states."," Schopnost řídit nicméně nespočívá v řadě dalších intencionálních stavů."
"saying","say","Neříkáme","říkat","impf"," Aren ’ t we just saying, once again, that yes, all behaviour is determined, but what we call free behaviour is the sort determined by rational thought processes?"," Neříkáme tím jen, že veškeré chování je determinované, zatímco takzvané svobodné chování je druh chování determinovaný racionálními myšlenkovými procesy?"
"call","call","Neříkáme","říkat","impf"," Aren ’ t we just saying, once again, that yes, all behaviour is determined, but what we call free behaviour is the sort determined by rational thought processes?"," Neříkáme tím jen, že veškeré chování je determinované, zatímco takzvané svobodné chování je druh chování determinovaný racionálními myšlenkovými procesy?"
"raise","raise","zvednout","zvednout","pf"," At the higher level of description, the intention to raise my arm causes the movement of the arm."," Záměr zvednout ruku má ve vyšší rovině popisu za následek fakt, že se ruka skutečně zvedá."
"raise","raise","zvedá","zvedat","impf"," At the higher level of description, the intention to raise my arm causes the movement of the arm."," Záměr zvednout ruku má ve vyšší rovině popisu za následek fakt, že se ruka skutečně zvedá."
"done","do","udělat","udělat","pf"," But this form of cause and effect is not deterministic. We might have had exactly those mental states and still not have done what we did."," V naprosto stejném mentálním stavu bychom totiž mohli udělat také něco jiného."
"did","do","udělat","udělat","pf"," But this form of cause and effect is not deterministic. We might have had exactly those mental states and still not have done what we did."," V naprosto stejném mentálním stavu bychom totiž mohli udělat také něco jiného."
"done","do","jde","jít","impf"," As far as psychological causes are concerned, we could have done otherwise."," Pokud jde o psychické příčiny, mohli bychom jednat také jinak."
"done","do","jednat","jednat","impf"," As far as psychological causes are concerned, we could have done otherwise."," Pokud jde o psychické příčiny, mohli bychom jednat také jinak."
"explain","explain","vysvětlujeme","vysvětlovat","impf"," That is to say, we explain the behaviour of surface features of a phenomenon such as the transparency of glass or the liquidity of water, in terms of the behaviour of microparticles such as molecules."," To znamená, že chování povrchových vlastností nějakého fenoménu - například průsvitnost skla nebo tekutost vody - vysvětlujeme chováním částic - například molekul."
"worry","worry","netrápí","trápit","impf"," But the economist does not have to worry about such questions as : ‘ What is money really?"," Ekonom se nicméně netrápí otázkou, co jsou peníze nebo co je přání."
"start","start","spustit","spustit","pf"," In order for a revolution to start on such and such a day, the relevant molecules would have to be blowing in the right direction."," Aby se toho kterého dne mohla spustit revoluce, musely by veškeré molekuly letět správným směrem."
"predict","predict","předvídat","předvídat","impf"," But if that is so, then the laws that predict the revolution will have to make the same predictions at the level of the revolutions and their participants that the laws of molecule movements make at the level of the physical particles."," Je - li to pravda, pak by zákony předvídající revoluce musely v rovině revolucí a jejich účastníků předvídat totéž, co zákony pohybů molekul v rovině fyzikálních částic."
"agree","agree","souhlasí","souhlasit","impf"," That is, even most of the hardcore[ ]enthusiasts for artificial intelligence agree that in fact, as a matter of biology, brain processes cause mental states, and they agree that programs are defined purely formally."," Dokonce i většina zarytých zastánců umělé inteligence souhlasí s tím, že mentální stavy jsou způsobovány biologickými procesy v mozku a že programy jsou definovány ryze formálně."
"agree","agree","souhlasí","souhlasit","impf"," That is, even most of the hardcore[ ]enthusiasts for artificial intelligence agree that in fact, as a matter of biology, brain processes cause mental states, and they agree that programs are defined purely formally."," Dokonce i většina zarytých zastánců umělé inteligence souhlasí s tím, že mentální stavy jsou způsobovány biologickými procesy v mozku a že programy jsou definovány ryze formálně."
"put","put","Dáme","dát","pf"," But if[ ]you put these conclusions together with certain other things that we know, then it follows immediately that the project of strong AI is incapable of fulfilment."," Dáme - li však tyto závěry do souvislosti s jinými známými skutečnostmi, vyplývá z toho, že projekt silné UI je neproveditelný."
"follows","follow","vyplývá","vyplývat","impf"," But if[ ]you put these conclusions together with certain other things that we know, then it follows immediately that the project of strong AI is incapable of fulfilment."," Dáme - li však tyto závěry do souvislosti s jinými známými skutečnostmi, vyplývá z toho, že projekt silné UI je neproveditelný."
"derive","derive","vyvodit","vyvodit","pf"," However, once we have got these axioms, let ’ s see what else[ ]we can derive."," Když už tu tyto axiómy jednou máme, podívejme se, co z nich lze ještě vyvodit."
"doing","do","dělají","dělat","impf"," To summarise what I have said so far : There is more to types of action than types of physical movements, actions have preferred descriptions, people know what they are doing without observation, and the principles by which we identify and explain action are themselves part of the actions, that is, they are partly constitutive of actions."," Abych to shrnul : typy jednání nejsou prostě jen typy fyzických pohybů, jednání má navíc i preferovaný způsob popisu a lidé vědí, co dělají, aniž by se museli pozorovat, a principy, s jejichž pomocí lidé jednání identifikují a vysvětlují, jsou součástí jednání."
"explain","explain","vysvětlují","vysvětlovat","impf"," To summarise what I have said so far : There is more to types of action than types of physical movements, actions have preferred descriptions, people know what they are doing without observation, and the principles by which we identify and explain action are themselves part of the actions, that is, they are partly constitutive of actions."," Abych to shrnul : typy jednání nejsou prostě jen typy fyzických pohybů, jednání má navíc i preferovaný způsob popisu a lidé vědí, co dělají, aniž by se museli pozorovat, a principy, s jejichž pomocí lidé jednání identifikují a vysvětlují, jsou součástí jednání."
"say","say","říci","říci","pf"," And we are now in a position to say what was wrong with[ ]the linguistic evidence for cognitivism."," A teď tedy můžeme také říci, v čem spočívá omyl lingvistických evidenci kognitivismu."
"follow","follow","Řídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","Řídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","Řídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"show","show","nedokazuje","dokazovat","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"behave","behave","chovají","chovat","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","neřídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","neřídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","neřídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","řídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","řídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"follow","follow","řídí","řídit","impf"," If it is indeed true that[ ]people follow rules of syntax when they talk, that doesn ’ t show that they behave like digital computers because, in the sense in which they follow rules of syntax, the computer doesn ’ t follow rules at all."," Řídí - li se lidé při mluvení skutečně podle syntaktických pravidel, pak to nedokazuje, že se chovají jako digitální počítač, protože počítač se podle syntaktických pravidel neřídí v tom smyslu, v jakém se podle nich řídí lidé."
"accept","accept","Přijmeme","přijmout","pf"," As long as we accept this conception of how nature works, then it doesn ’ t seem that there is any scope for the freedom of the will because on this conception the mind can only affect nature in so far as it is a part of nature."," Přijmeme - li tuto koncepci, nezbude nám pro svobodu vůle mnoho místa, neboť podle této koncepce může mysl na přírodu působit, pouze je - li její částí."
"affect","affect","působit","působit","impf"," As long as we accept this conception of how nature works, then it doesn ’ t seem that there is any scope for the freedom of the will because on this conception the mind can only affect nature in so far as it is a part of nature."," Přijmeme - li tuto koncepci, nezbude nám pro svobodu vůle mnoho místa, neboť podle této koncepce může mysl na přírodu působit, pouze je - li její částí."
"repeat","repeat","zopakoval","zopakovat","pf"," This is an absolutely fundamental point in this chapter, so let me repeat it."," To je naprosto zásadní bod této kapitoly, a proto bych ho rád zopakoval."
"function","function","funguje","fungovat","impf"," against[ ]which intentional states function ‘ the background of intentionality ’. And to the thesis of the network, namely that any intentional state only functions as a part of a network, we will add the thesis of the background - call it"," K tezi o síti - tedy že každý intencionální stav funguje pouze jako část nějaké sítě - přiberme ještě tezi o pozadí, kterou formuluje"
"said","say","Řekl","říci","pf"," I said that many supposedly scientific accounts of behaviour[ ]try to escape from or surpass this commonsense model that I have been sketching."," Řekl jsem, že mnoho zdánlivě vědeckých teorií chování se pokouši obejít nebo překonat model zdravého rozumu, který jsem tady nastínil."
"surpass","surpass","překonat","překonat","pf"," I said that many supposedly scientific accounts of behaviour[ ]try to escape from or surpass this commonsense model that I have been sketching."," Řekl jsem, že mnoho zdánlivě vědeckých teorií chování se pokouši obejít nebo překonat model zdravého rozumu, který jsem tady nastínil."
"make","make","neprovádějí","provádět","impf"," Notice that when[ ]we step in wet sand and make a footprint, neither our feet nor the sand does any computing."," Vždyť vstoupíme - li do mokrého písku a zanecháme v něm stopu, ani chodidlo ani písek neprovádějí žádný výpočet."
"does","do","neprovádějí","provádět","impf"," Notice that when[ ]we step in wet sand and make a footprint, neither our feet nor the sand does any computing."," Vždyť vstoupíme - li do mokrého písku a zanecháme v něm stopu, ani chodidlo ani písek neprovádějí žádný výpočet."
"calculate","calculate","vypočítat","vypočítat","pf"," But if we were going to[ ]design a program that would calculate the topology of a footprint from information about differential pressures on the sand, it would be a fairly complex computational task."," Jakmile bychom však chtěli vyvinout program schopný vypočítat na základě informací o rozložení tlaku na písek topologii stopy, byl by to značně komplikovaný početní úkol."
"involves","involve","zahrnuje","zahrnovat","impf"," The[ ]fact that a computational simulation of a natural phenomenon involves complex information-processing does not show that the phenomenon itself involves such processing."," I když počítačová simulace přirozeného fenoménu zahrnuje i komplexní zpracování informací, neznamená to, že totéž platí pro samotný fenomén."
"involves","involve","zahrnuje","zahrnovat","impf"," The[ ]fact that a computational simulation of a natural phenomenon involves complex information-processing does not show that the phenomenon itself involves such processing."," I když počítačová simulace přirozeného fenoménu zahrnuje i komplexní zpracování informací, neznamená to, že totéž platí pro samotný fenomén."
"involves","involve","neznamená","znamenat","impf"," The[ ]fact that a computational simulation of a natural phenomenon involves complex information-processing does not show that the phenomenon itself involves such processing."," I když počítačová simulace přirozeného fenoménu zahrnuje i komplexní zpracování informací, neznamená to, že totéž platí pro samotný fenomén."
"involves","involve","neznamená","znamenat","impf"," The[ ]fact that a computational simulation of a natural phenomenon involves complex information-processing does not show that the phenomenon itself involves such processing."," I když počítačová simulace přirozeného fenoménu zahrnuje i komplexní zpracování informací, neznamená to, že totéž platí pro samotný fenomén."
"Thinking","think","měl","mít","impf"," If one had to summarise the research program of cognitivism it would look like this : Thinking is processing information, but information processing is just symbol manipulation."," Kdyby měl někdo shrnout výzkumný program kognitivismu, asi by řekl, že myšlení v tomto pojetí znamená zpracování informací a zpracování informací že je pouhou manipulací se symboly."
"study","study","zkoumat","zkoumat","impf"," So the best way to study thinking ( or as they prefer to call it, ‘ cognition ’ ) is to study computational symbol-manipulating programs, whether they are in computers or in brains."," Nejlepší způsob, jak zkoumat myšlení ( nebo jak se dnes s oblibou říká ' kognici ' ), je prý tudíž zkoumání počítačových programů manipulujících se symboly, ať už jsou v počítačích nebo v mozcích."
"study","study","zkoumat","zkoumat","impf"," So the best way to study thinking ( or as they prefer to call it, ‘ cognition ’ ) is to study computational symbol-manipulating programs, whether they are in computers or in brains."," Nejlepší způsob, jak zkoumat myšlení ( nebo jak se dnes s oblibou říká ' kognici ' ), je prý tudíž zkoumání počítačových programů manipulujících se symboly, ať už jsou v počítačích nebo v mozcích."
"call","call","říká","říkat","impf"," So the best way to study thinking ( or as they prefer to call it, ‘ cognition ’ ) is to study computational symbol-manipulating programs, whether they are in computers or in brains."," Nejlepší způsob, jak zkoumat myšlení ( nebo jak se dnes s oblibou říká ' kognici ' ), je prý tudíž zkoumání počítačových programů manipulujících se symboly, ať už jsou v počítačích nebo v mozcích."
"tell","tell","říká","říkat","impf"," I believe it is, by the way, something of a scandal that contemporary discussions in philosophy and psychology have so little of interest to tell us about consciousness."," Ostatně, považuji téměř za skandál, jak málo zajímavého nám toho o vědomí říká současná filosofie a psychologie."
"say","say","říkám","říkat","impf"," If I am right, what I say should seem obviously right."," Pokud se nemýlím, bude se to, co říkám, jevit jako samozřejmě pravdivé."
"think","think","nezdál","zdát","impf"," But historically what I think of as the commonsense account has not seemed obvious."," Avšak v historické retrospektivě se způsob mého výkladu nezdál vždy samozřejmý."
"seemed","seem","nezdál","zdát","impf"," But historically what I think of as the commonsense account has not seemed obvious."," Avšak v historické retrospektivě se způsob mého výkladu nezdál vždy samozřejmý."
"led","lead","vedla","vést","impf"," For one thing, the behaviourist tradition in philosophy and psychology has led many people to neglect the mental component of actions."," Například behavioristická tradice ve filosofii a psychologii vedla k zanedbání mentálního komponentu jednání."
"wanted","want","chtěli","chtít","impf"," Behaviourists wanted to define actions, and indeed all of our mental life, in terms of sheer physical movements."," Jednání, a vlastně veškerý psychický život, chtěli totiž behavioristé definovat výhradně prostřednictvím tělesného pohybu."
"represents","represent","reprezentuje","reprezentovat","impf"," If successful, the mental component causes the physical component and it represents the physical component."," V případě úspěchu mentální komponent způsobuje a reprezentuje komponent fyzický."
"call","call","říkám","říkat","impf"," This form of causation I call ‘ intentional causation ’."," Této formě kauzality říkám ' intencionální kauzalita '."
"examine","examine","zkoumat","zkoumat","impf"," The best way to see the nature of the different components of an action is to carve each component off and examine it separately."," Nejlepší způsob, jak určit charakter různých komponentů jednání, je vzít každý komponent zvlášť a stejně je i zkoumat."
"do","do","jde","jít","impf"," And in fact, in a laboratory, it ’ s easy enough to do that."," V laboratoři to jde skutečně snadno."
"demonstrated","demonstrate","neprokázal","prokázat","pf"," Well I have certainly not demonstrated that it is false."," Samozřejmě že jsem neprokázal, že je špatný."
"think","think","Myslím","myslet","impf"," I think its chances of success are about as great as the chances of success of behaviourism fifty years ago."," Myslím však, že jeho naděje na úspěch odpovídají přibližně nadějím behaviorismu před padesáti lety."
"works","work","fungují","fungovat","impf"," The trouble is that the first of these sorts of explanations works well enough in practice, but is not scientific; whereas the second is certainly scientific, but we have no idea how to make it work in practice."," Problém je v tom, že vysvětlení prvního typu fungují dobře v praxi, nejsou však vědecká, naproti tomu vysvětlení druhého typu j sou sice vědecká, není však jasné, co s nimi, aby fungovala v praxi."
"work","work","fungují","fungovat","impf"," The trouble is that the first of these sorts of explanations works well enough in practice, but is not scientific; whereas the second is certainly scientific, but we have no idea how to make it work in practice."," Problém je v tom, že vysvětlení prvního typu fungují dobře v praxi, nejsou však vědecká, naproti tomu vysvětlení druhého typu j sou sice vědecká, není však jasné, co s nimi, aby fungovala v praxi."
"works","work","fungovala","fungovat","impf"," The trouble is that the first of these sorts of explanations works well enough in practice, but is not scientific; whereas the second is certainly scientific, but we have no idea how to make it work in practice."," Problém je v tom, že vysvětlení prvního typu fungují dobře v praxi, nejsou však vědecká, naproti tomu vysvětlení druhého typu j sou sice vědecká, není však jasné, co s nimi, aby fungovala v praxi."
"work","work","fungovala","fungovat","impf"," The trouble is that the first of these sorts of explanations works well enough in practice, but is not scientific; whereas the second is certainly scientific, but we have no idea how to make it work in practice."," Problém je v tom, že vysvětlení prvního typu fungují dobře v praxi, nejsou však vědecká, naproti tomu vysvětlení druhého typu j sou sice vědecká, není však jasné, co s nimi, aby fungovala v praxi."
"wish","wish","Chci","chtít","impf"," So, for example, suppose I wish to cause the release of the neurotransmitter acetylcholine at the axon end-plates of my motorneurons, I can do it by simply deciding to raise my arm and then raising it."," Chci - li tedy například, aby neurotransmiter na axonálních zakončeních mých motorických nervových buněk uvolnil acetylcholin, docílím toho prostým rozhodnutím, že zvednu paži, kterou pak také skutečně zvedám."
"raise","raise","zvednu","zvednout","pf"," So, for example, suppose I wish to cause the release of the neurotransmitter acetylcholine at the axon end-plates of my motorneurons, I can do it by simply deciding to raise my arm and then raising it."," Chci - li tedy například, aby neurotransmiter na axonálních zakončeních mých motorických nervových buněk uvolnil acetylcholin, docílím toho prostým rozhodnutím, že zvednu paži, kterou pak také skutečně zvedám."
"raising","raise","zvednu","zvednout","pf"," So, for example, suppose I wish to cause the release of the neurotransmitter acetylcholine at the axon end-plates of my motorneurons, I can do it by simply deciding to raise my arm and then raising it."," Chci - li tedy například, aby neurotransmiter na axonálních zakončeních mých motorických nervových buněk uvolnil acetylcholin, docílím toho prostým rozhodnutím, že zvednu paži, kterou pak také skutečně zvedám."
"raise","raise","zvedám","zvedat","impf"," So, for example, suppose I wish to cause the release of the neurotransmitter acetylcholine at the axon end-plates of my motorneurons, I can do it by simply deciding to raise my arm and then raising it."," Chci - li tedy například, aby neurotransmiter na axonálních zakončeních mých motorických nervových buněk uvolnil acetylcholin, docílím toho prostým rozhodnutím, že zvednu paži, kterou pak také skutečně zvedám."
"raising","raise","zvedám","zvedat","impf"," So, for example, suppose I wish to cause the release of the neurotransmitter acetylcholine at the axon end-plates of my motorneurons, I can do it by simply deciding to raise my arm and then raising it."," Chci - li tedy například, aby neurotransmiter na axonálních zakončeních mých motorických nervových buněk uvolnil acetylcholin, docílím toho prostým rozhodnutím, že zvednu paži, kterou pak také skutečně zvedám."
"works","work","působí","působit","impf"," But the top-down causation works only because the mental events are grounded in the neurophysiology to start with."," Shora dolů však působí jen proto, že se mentální události zakládají na neurofyziologii."
"engage","engage","jednat","jednat","impf"," Reflect very carefully on the character of the experiences you have as you engage in normal, everyday ordinary human actions. You will sense the possibility of alternative courses of action built into these experiences."," Uvědomte si, jakou zkušenost máte při zcela normálním, obvyklém všedním jednání, a uvidíte, že možnost jednat jinak je částí této zkušenosti."
"Raise","raise","Zvedněte","zvednout","pf"," Raise your arm or walk across the room or take a drink of water, and you will see that at any point in the experience you have a sense of alternative courses of action open to you."," Zvedněte ruku, přejděte na druhou stranu pokoje, dejte si hlt vody, a uvidíte, že budete mít zkušenost, že jste v kterémkoli okamžiku svého jednání mohli jednat i jinak."
"see","see","uvidíte","uvidět","pf"," Raise your arm or walk across the room or take a drink of water, and you will see that at any point in the experience you have a sense of alternative courses of action open to you."," Zvedněte ruku, přejděte na druhou stranu pokoje, dejte si hlt vody, a uvidíte, že budete mít zkušenost, že jste v kterémkoli okamžiku svého jednání mohli jednat i jinak."
"let","let","dovolte","dovolit","pf"," So, before criticising it, let me give you a few examples of the things that people in this field have actually said."," A tak než začnu s kritikou, dovolte mi několik příkladů na to, co vlastně lidé z tohoto oboru tvrdí."
"says","say","říká","říkat","impf"," Herbert Simon of Carnegie-Mellon University says that we already have machines that can literally think."," Herbet Simon z univerzity Carnegie - Mellon říká, že už máme stroje, které mohou - doslova - myslet."
