"explain","explain","nevysvětluje","vysvětlovat","impf"," It 's just a word, it does n't explain anything."," Je to jen slovo a nevysvětluje nic."
"awakes","awake","probudí","probudit","pf"," He felt on the sudden like a cramped and zoo-born animal who awakes one morning to find the door to his cage hanging quietly open and the savannah stretching grey and pink to the distant rising sun, while all around new sounds are waking."," Náhle si připadal jako zvíře narozené v zoo a chované v těsné kleci, které se jednoho rána probudí a zjistí, že dvířka jeho klece tiše zejí dokořán, a do dálky, až ke vzdálenému vycházejícímu slunci, se táhne šedavá a růžová savana, zatímco všude kolem se probouzejí nové zvuky."
"waking","wake","probudí","probudit","pf"," He felt on the sudden like a cramped and zoo-born animal who awakes one morning to find the door to his cage hanging quietly open and the savannah stretching grey and pink to the distant rising sun, while all around new sounds are waking."," Náhle si připadal jako zvíře narozené v zoo a chované v těsné kleci, které se jednoho rána probudí a zjistí, že dvířka jeho klece tiše zejí dokořán, a do dálky, až ke vzdálenému vycházejícímu slunci, se táhne šedavá a růžová savana, zatímco všude kolem se probouzejí nové zvuky."
"find","find","zjistí","zjistit","pf"," He felt on the sudden like a cramped and zoo-born animal who awakes one morning to find the door to his cage hanging quietly open and the savannah stretching grey and pink to the distant rising sun, while all around new sounds are waking."," Náhle si připadal jako zvíře narozené v zoo a chované v těsné kleci, které se jednoho rána probudí a zjistí, že dvířka jeho klece tiše zejí dokořán, a do dálky, až ke vzdálenému vycházejícímu slunci, se táhne šedavá a růžová savana, zatímco všude kolem se probouzejí nové zvuky."
"stretching","stretch","táhne","táhnout","impf"," He felt on the sudden like a cramped and zoo-born animal who awakes one morning to find the door to his cage hanging quietly open and the savannah stretching grey and pink to the distant rising sun, while all around new sounds are waking."," Náhle si připadal jako zvíře narozené v zoo a chované v těsné kleci, které se jednoho rána probudí a zjistí, že dvířka jeho klece tiše zejí dokořán, a do dálky, až ke vzdálenému vycházejícímu slunci, se táhne šedavá a růžová savana, zatímco všude kolem se probouzejí nové zvuky."
"meant","mean","myslím","myslet","impf"," "" He was meant to pick me up - my brother - but phoned to say he could n't make it."," "" Měl mě vyzvednout - můj bratr myslím - jenže zavolal, že to nestihne."
"phoned","phone","zavolal","zavolat","pf"," "" He was meant to pick me up - my brother - but phoned to say he could n't make it."," "" Měl mě vyzvednout - můj bratr myslím - jenže zavolal, že to nestihne."
"asked","ask","Ptala","ptát","impf"," I asked about buses but the man started to look at the calendar rather than a timetable, so I decided to hitch."," Ptala jsem se na nějaký autobus, jenže ten člověk se díval spíš na kalendář než na jízdní řád, a tak jsem si řekla, že pojedu stopem."
"look","look","díval","dívat","impf"," I asked about buses but the man started to look at the calendar rather than a timetable, so I decided to hitch."," Ptala jsem se na nějaký autobus, jenže ten člověk se díval spíš na kalendář než na jízdní řád, a tak jsem si řekla, že pojedu stopem."
"listen","listen","poslyš","slyšet","impf"," But listen, "" he added after a moment, "" most people make out, you know."," Ale poslyš, "" dodal po chvíli, "" většina lidí se vypracuje."
"added","add","dodal","dodat","pf"," But listen, "" he added after a moment, "" most people make out, you know."," Ale poslyš, "" dodal po chvíli, "" většina lidí se vypracuje."
"trying","try","zkoušela","zkoušet","impf"," Nervously, hesitantly, almost, she told herself, as if she was trying to step on the hand of someone who was floating in front of her in midair, she stepped on to his hand."," Nervózně, váhavě - skoro jako by si zkoušela stoupnout na ruku někomu, kdo se před ní vznáší ve vzduchu, pomyslela si - si mu stoupla na ruku."
"step","step","stoupnout","stoupnout","pf"," Nervously, hesitantly, almost, she told herself, as if she was trying to step on the hand of someone who was floating in front of her in midair, she stepped on to his hand."," Nervózně, váhavě - skoro jako by si zkoušela stoupnout na ruku někomu, kdo se před ní vznáší ve vzduchu, pomyslela si - si mu stoupla na ruku."
"stepped","step","stoupnout","stoupnout","pf"," Nervously, hesitantly, almost, she told herself, as if she was trying to step on the hand of someone who was floating in front of her in midair, she stepped on to his hand."," Nervózně, váhavě - skoro jako by si zkoušela stoupnout na ruku někomu, kdo se před ní vznáší ve vzduchu, pomyslela si - si mu stoupla na ruku."
"step","step","stoupla","stoupnout","pf"," Nervously, hesitantly, almost, she told herself, as if she was trying to step on the hand of someone who was floating in front of her in midair, she stepped on to his hand."," Nervózně, váhavě - skoro jako by si zkoušela stoupnout na ruku někomu, kdo se před ní vznáší ve vzduchu, pomyslela si - si mu stoupla na ruku."
"stepped","step","stoupla","stoupnout","pf"," Nervously, hesitantly, almost, she told herself, as if she was trying to step on the hand of someone who was floating in front of her in midair, she stepped on to his hand."," Nervózně, váhavě - skoro jako by si zkoušela stoupnout na ruku někomu, kdo se před ní vznáší ve vzduchu, pomyslela si - si mu stoupla na ruku."
"Try","try","Zkus","zkusit","pf"," "" Try it. """," "" Zkus to. """
"felt","feel","Vnímal","vnímat","impf"," It felt the presence of other minds, hundreds of them, thousands in a web, some sleepy, some sleeping, some terribly excited, one fractured."," Vnímal přítomnost jiných myslí, stovek a tisíců, propojených v jednu síť, některé ospalé, některé spící, jiné strašně vzrušené a jedna nalomená."
"passed","pass","přešel","přejít","pf"," He passed it fleetingly and tried to feel for it again, but it eluded him like the other card with an apple on it in Pelmanism."," Letmo ji přešel a teď se ji znovu pokoušel najít, ale unikala mu jako druhá kartička v Pexesu."
"tried","try","pokoušel","pokoušet","impf"," He passed it fleetingly and tried to feel for it again, but it eluded him like the other card with an apple on it in Pelmanism."," Letmo ji přešel a teď se ji znovu pokoušel najít, ale unikala mu jako druhá kartička v Pexesu."
"eluded","elude","unikala","unikat","impf"," He passed it fleetingly and tried to feel for it again, but it eluded him like the other card with an apple on it in Pelmanism."," Letmo ji přešel a teď se ji znovu pokoušel najít, ale unikala mu jako druhá kartička v Pexesu."
"say","say","říkat","říkat","impf"," "" Stupid to say it rains all the time ... "" he said."," "" To je pitomost, říkat, že prší pořád ... "" namítl."
"said","say","říkat","říkat","impf"," "" Stupid to say it rains all the time ... "" he said."," "" To je pitomost, říkat, že prší pořád ... "" namítl."
"rains","rain","prší","pršet","impf"," "" Stupid to say it rains all the time ... "" he said."," "" To je pitomost, říkat, že prší pořád ... "" namítl."
"say","say","říkat","říkat","impf"," Why 's it stupid to say it rains all the time if it rains the whole time? """," Proč by měla bejt pitomost říkat, že prší pořád, když prší pořád? """
"rains","rain","prší","pršet","impf"," Why 's it stupid to say it rains all the time if it rains the whole time? """," Proč by měla bejt pitomost říkat, že prší pořád, když prší pořád? """
"rains","rain","prší","pršet","impf"," Why 's it stupid to say it rains all the time if it rains the whole time? """," Proč by měla bejt pitomost říkat, že prší pořád, když prší pořád? """
"rains","rain","prší","pršet","impf"," Why 's it stupid to say it rains all the time if it rains the whole time? """," Proč by měla bejt pitomost říkat, že prší pořád, když prší pořád? """
"rains","rain","prší","pršet","impf"," Why 's it stupid to say it rains all the time if it rains the whole time? """," Proč by měla bejt pitomost říkat, že prší pořád, když prší pořád? """
"rain","rain","nepršelo","pršet","impf"," "" Did n't rain yesterday. """," "" Včera nepršelo. """
"enjoyed","enjoy","užil","užít","pf"," When it had enjoyed its little spin and had calmed down a bit, Arthur reached out for the bedside light, not expecting it to come on."," Když si svět pěkně užil točení a trochu se zklidnil, Arthur se natáhl po lampičce na nočním stolku, ale nečekal, že by fungovala."
"expecting","expect","nečekal","čekat","impf"," When it had enjoyed its little spin and had calmed down a bit, Arthur reached out for the bedside light, not expecting it to come on."," Když si svět pěkně užil točení a trochu se zklidnil, Arthur se natáhl po lampičce na nočním stolku, ale nečekal, že by fungovala."
"paid","pay","zaplatil","zaplatit","pf"," Since the Electricity Board cut him off without fail every time he paid his bill, it seemed only reasonable that they should leave him connected when he did n't."," Protože mu Elektrické podniky odpojily proud pokaždé, když zaplatil účet, přišlo mu jen logické, že ho neodpojí, když neplatí."
"paid","pay","neplatí","platit","impf"," Since the Electricity Board cut him off without fail every time he paid his bill, it seemed only reasonable that they should leave him connected when he did n't."," Protože mu Elektrické podniky odpojily proud pokaždé, když zaplatil účet, přišlo mu jen logické, že ho neodpojí, když neplatí."
"Sending","send","posílá","posílat","impf"," Sending them money obviously only drew attention to yourself."," Když jim člověk posílá peníze, jen na sebe zbytečně upozorňuje."
"spoke","speak","promluvil","promluvit","pf"," When he spoke, you were glad that he used the smile that made you feel like that pretty often."," Když promluvil, byli jste rádi, že užíval úsměvu, který ve vás vyvolával tyhle pocity, dost často."
"used","use","užíval","užívat","impf"," When he spoke, you were glad that he used the smile that made you feel like that pretty often."," Když promluvil, byli jste rádi, že užíval úsměvu, který ve vás vyvolával tyhle pocity, dost často."
"see","see","navštěvují","navštěvovat","impf"," "" Oh yes, "" he said, "" they come and see me."," "" Ano, jistě, "" kývl, "" navštěvují mě."
"sit","sit","sedíte","sedět","impf"," They sit right where you 're sitting. """," Tam, co zrovna sedíte. """
"sitting","sit","sedíte","sedět","impf"," They sit right where you 're sitting. """," Tam, co zrovna sedíte. """
"say","say","říct","říci","pf"," "" Nothing to say, just pub talk. """," "" Nemám k tomu co říct, to jsou jenom hospodské řeči. """
"denying","deny","popírat","popírat","impf"," Plus it would fit like a whats it in one of those other things with the other stories of the week, so it could be just to have you denying it."," Plus by to zapadlo jako jánevímco do něčeho jinýho do ostatních historek týdne, takže stačí, když to budeš popírat."
"Excuse","excuse","Promiň","prominout","pf"," Excuse me, something has just fallen out of my ear. """," Promiň, zrovna mi něco vypadlo z ucha. """
"sounding","sound","zněl","znít","impf"," There was a slight pause, at the end of which Murray Bost Henson came back on the line sounding genuinely shaken."," Následovala krátká pomlka, na jejímž konci se Murray Bost Henson znovu ozval, a jeho hlas zněl jako po skutečném otřesu."
"realize","realize","neuvědomíte","uvědomit","pf"," Where you would be wrong would be in failing to realize that the editor, like all the editors of the Guide has ever had, has no real grasp of the meanings of the words "" scrupulous "", "" conscientious "" or "" diligent "", and tends to get his nightmares through a straw."," Váš omyl bude spočívat v tom, že si neuvědomíte, že šéfredaktor, stejně jako všichni šéfredaktoři, které Průvodce kdy měl, nechápe skutečný význam slov "" zásadový "", "" svědomitý "" nebo "" pilný "" a má sklon vypořádat se s nočními můrami nejjednodušším možným způsobem."
"realize","realize","nechápe","chápat","impf"," Where you would be wrong would be in failing to realize that the editor, like all the editors of the Guide has ever had, has no real grasp of the meanings of the words "" scrupulous "", "" conscientious "" or "" diligent "", and tends to get his nightmares through a straw."," Váš omyl bude spočívat v tom, že si neuvědomíte, že šéfredaktor, stejně jako všichni šéfredaktoři, které Průvodce kdy měl, nechápe skutečný význam slov "" zásadový "", "" svědomitý "" nebo "" pilný "" a má sklon vypořádat se s nočními můrami nejjednodušším možným způsobem."
"read","read","čtou","číst","impf"," Entries tend to get updated or not across the Sub-Etha Net according to if they read good."," Hesla se revidují, nebo případně nerevidují, prostřednictvím sub - eta sítě podle toho, jestli se dobře čtou."
"tell","tell","říct","říci","pf"," But I am here to tell you, "" said Arthur, "" that there was a little electricity in the air."," Ale můžu ti říct, "" vyprávěl pohnutě Arthur, "" že ve vzduchu bylo trochu elektřiny."
"said","say","říct","říci","pf"," But I am here to tell you, "" said Arthur, "" that there was a little electricity in the air."," Ale můžu ti říct, "" vyprávěl pohnutě Arthur, "" že ve vzduchu bylo trochu elektřiny."
"tell","tell","vyprávěl","vyprávět","impf"," But I am here to tell you, "" said Arthur, "" that there was a little electricity in the air."," Ale můžu ti říct, "" vyprávěl pohnutě Arthur, "" že ve vzduchu bylo trochu elektřiny."
"imagine","imagine","představit","představit","pf"," "" I can imagine. """," "" To si dovedu představit. """
"enjoying","enjoy","vychutnával","vychutnávat","impf"," He stopped off at the service station shop, then walked back through the car park, making a point of enjoying the fine play of rain on his face."," Zastavil se ještě v místním obchůdku a pak prošel parkovištěm a cestou vychutnával jemné prstíky deště na tváři."
"said","say","povídat","povídat","impf"," "" Not only talk, "" said Arthur, "" but print, in big bold letters under the bingo prizes."," "" A nejen povídat, "" opravil ji Arthur, "" ale i tisknout, velkými tučnými písmeny přímo pod kolonkou výher v bingu."
"thought","think","měl","mít","impf"," Which is why I thought I 'd better get these. """," Což je důvod, proč jsem si říkal, že bych měl raději obstarat tohle. """
"get","get","obstarat","obstarat","pf"," Which is why I thought I 'd better get these. """," Což je důvod, proč jsem si říkal, že bych měl raději obstarat tohle. """
"showed","show","Ukázal","ukázat","pf"," He showed her the long narrow booklets of airline tickets."," Ukázal jí dlouhé úzké knížečky s letenkami."
"hugging","hug","objala","obejmout","pf"," "" Arthur! "" she said, hugging him."," "" Arthure! "" zajásala a objala ho."
"talk","talk","mluvil","mluvit","impf"," "" Does that mean you managed to talk to him? """," "" Znamená to, že jsi s ním mluvil? """
"mean","mean","Chci","chtít","impf"," I mean if we just let you go around calling him a Rain God, then that suggests that you know something we do n't, and I 'm afraid we could n't have that."," Chci říci, že když vás necháme pobíhat po světě a říkat mu Bůh deště, naznačuje to jaksi, že víte něco, co my nevíme, což, jak se obávám, nemůžeme připustit."
"let","let","necháme","nechat","pf"," I mean if we just let you go around calling him a Rain God, then that suggests that you know something we do n't, and I 'm afraid we could n't have that."," Chci říci, že když vás necháme pobíhat po světě a říkat mu Bůh deště, naznačuje to jaksi, že víte něco, co my nevíme, což, jak se obávám, nemůžeme připustit."
"calling","call","říkat","říkat","impf"," I mean if we just let you go around calling him a Rain God, then that suggests that you know something we do n't, and I 'm afraid we could n't have that."," Chci říci, že když vás necháme pobíhat po světě a říkat mu Bůh deště, naznačuje to jaksi, že víte něco, co my nevíme, což, jak se obávám, nemůžeme připustit."
"set","set","dát","dát","pf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"call","call","říká","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"says","say","říká","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"said","say","říká","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"say","say","říká","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"proving","prove","prokázat","prokázat","pf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"call","call","říkáte","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"says","say","říkáte","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"said","say","říkáte","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"say","say","říkáte","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"call","call","říkáme","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"says","say","říkáme","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"said","say","říkáme","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"say","say","říkáme","říkat","impf"," "" No, first we have to call it something which says it 's ours, not yours, then we set about finding some way of proving it 's not what you said it is, but something we say it is."," Ne, nejprve tomu musíme dát nějaký název, který říká, že je to naše, nikoli vaše, a pak začít hledat nějaký způsob, jak prokázat, že to není to, co říkáte vy, ale to, co říkáme my."
"say","say","Říkáte","říkat","impf"," "" You say her name is Fenny? """," "" Říkáte, že se jmenuje Fenny? """
"said","say","říkal","říkat","impf"," Take your pick, I said."," Vyber si, říkal jsem jí."
"prescribed","prescribe","předepsat","předepsat","pf"," The proper drugs can be prescribed."," Na všechno se dají předepsat léky."
"going","go","pokračoval","pokračovat","impf"," "" And I am certain, "" said the frizzy ginger-haired youth with the long thin nose who was epostulating from his deckchair by the side of the Serpentine, "" that if one worked the argument through, one would find that it flowed with perfect naturalness and logic from everything, "" he insisted to his thin dark-haired companion who was slumped in the next door deckchair feeling dejected about his spots, "" that Darwin was going on about."," "" A jsem si jist, "" pokračoval kudrnatý zrzavý mladík s dlouhým tenkým nosem, deklamující ze svého lehátka na břehu jezírka Serpentine v Hyde Parku, "" že kdyby člověk tuhle teorii rozvedl, zjistil by, že naprosto přirozeně a logicky vyplývá ze všeho, "" obrátil se naléhavě k hubenému tmavovlasému kamarádovi povalujícímu se na vedlejším lehátku a deprimovaně dumajícímu o svých pupíncích, "" o čem mluvil Darwin."
"find","find","zjistil","zjistit","pf"," "" And I am certain, "" said the frizzy ginger-haired youth with the long thin nose who was epostulating from his deckchair by the side of the Serpentine, "" that if one worked the argument through, one would find that it flowed with perfect naturalness and logic from everything, "" he insisted to his thin dark-haired companion who was slumped in the next door deckchair feeling dejected about his spots, "" that Darwin was going on about."," "" A jsem si jist, "" pokračoval kudrnatý zrzavý mladík s dlouhým tenkým nosem, deklamující ze svého lehátka na břehu jezírka Serpentine v Hyde Parku, "" že kdyby člověk tuhle teorii rozvedl, zjistil by, že naprosto přirozeně a logicky vyplývá ze všeho, "" obrátil se naléhavě k hubenému tmavovlasému kamarádovi povalujícímu se na vedlejším lehátku a deprimovaně dumajícímu o svých pupíncích, "" o čem mluvil Darwin."
"flowed","flow","vyplývá","vyplývat","impf"," "" And I am certain, "" said the frizzy ginger-haired youth with the long thin nose who was epostulating from his deckchair by the side of the Serpentine, "" that if one worked the argument through, one would find that it flowed with perfect naturalness and logic from everything, "" he insisted to his thin dark-haired companion who was slumped in the next door deckchair feeling dejected about his spots, "" that Darwin was going on about."," "" A jsem si jist, "" pokračoval kudrnatý zrzavý mladík s dlouhým tenkým nosem, deklamující ze svého lehátka na břehu jezírka Serpentine v Hyde Parku, "" že kdyby člověk tuhle teorii rozvedl, zjistil by, že naprosto přirozeně a logicky vyplývá ze všeho, "" obrátil se naléhavě k hubenému tmavovlasému kamarádovi povalujícímu se na vedlejším lehátku a deprimovaně dumajícímu o svých pupíncích, "" o čem mluvil Darwin."
"said","say","mluvil","mluvit","impf"," "" And I am certain, "" said the frizzy ginger-haired youth with the long thin nose who was epostulating from his deckchair by the side of the Serpentine, "" that if one worked the argument through, one would find that it flowed with perfect naturalness and logic from everything, "" he insisted to his thin dark-haired companion who was slumped in the next door deckchair feeling dejected about his spots, "" that Darwin was going on about."," "" A jsem si jist, "" pokračoval kudrnatý zrzavý mladík s dlouhým tenkým nosem, deklamující ze svého lehátka na břehu jezírka Serpentine v Hyde Parku, "" že kdyby člověk tuhle teorii rozvedl, zjistil by, že naprosto přirozeně a logicky vyplývá ze všeho, "" obrátil se naléhavě k hubenému tmavovlasému kamarádovi povalujícímu se na vedlejším lehátku a deprimovaně dumajícímu o svých pupíncích, "" o čem mluvil Darwin."
"drew","draw","natáhla","natáhnout","pf"," Fenchurch leaned across him and drew over her canvas bag."," Fenchurch se přes něj natáhla a přitáhla si plátěnou tašku."
"drew","draw","přitáhla","přitáhnout","pf"," Fenchurch leaned across him and drew over her canvas bag."," Fenchurch se přes něj natáhla a přitáhla si plátěnou tašku."
"get","get","přišla","přijít","pf"," "" Where did you get this? "" said Arthur, startled, taking it from her."," "" Kdes k tomu přišla? "" zeptal se Arthur vyjeveně a vzal jí předmět z ruky."
"did","do","vzal","vzít","pf"," "" Where did you get this? "" said Arthur, startled, taking it from her."," "" Kdes k tomu přišla? "" zeptal se Arthur vyjeveně a vzal jí předmět z ruky."
"taking","take","vzal","vzít","pf"," "" Where did you get this? "" said Arthur, startled, taking it from her."," "" Kdes k tomu přišla? "" zeptal se Arthur vyjeveně a vzal jí předmět z ruky."
"thought","think","myslela","myslet","impf"," "" Ah, "" she said, "" I thought it was yours."," "" Ále, myslela jsem si, že to bude tvoje."
"said","say","pravila","pravit","pf"," "" Then you must turn back now, "" said the little lady severely, and when they demurred, sold them a couple of Final Message sunhats and a photograph of themselves with their arms tight around each other on the Great Red Plain of Rars."," "" V tom případě se musíte hned vrátit, "" pravila dáma přísně, a když zaprotestovali, prodala jim dva klobouky proti slunci s reklamou na Boží poselství a jejich vlastní fotografii, jak se objímají na Velké Rudé Planině Rars."
"sold","sell","prodala","prodat","pf"," "" Then you must turn back now, "" said the little lady severely, and when they demurred, sold them a couple of Final Message sunhats and a photograph of themselves with their arms tight around each other on the Great Red Plain of Rars."," "" V tom případě se musíte hned vrátit, "" pravila dáma přísně, a když zaprotestovali, prodala jim dva klobouky proti slunci s reklamou na Boží poselství a jejich vlastní fotografii, jak se objímají na Velké Rudé Planině Rars."
"talk","talk","promluvíme","promluvit","pf"," "" Do n't worry, "" said Fenchurch, looking at him steadily from over the top of her glass, "" we will talk again. """," "" Nebojte se, "" Fenchurch ho sledovala pohledem přes okraj své sklenice a ani nemrkla, "" ještě si promluvíme. """
"added","add","dodala","dodat","pf"," "" Perhaps, "" she added, "" it would n't have gone so well if it was n't for her. """," "" Možná, "" dodala, "" že by to neproběhlo tak dobře, kdyby jí nebylo. """
"think","think","Myslím","myslet","impf"," "" I do n't think he 's been there at all, "" muttered another."," "" Myslím, že tam vůbec nebyl, "" uvažoval polohlasem jiný kamarád."
"think","think","uvažoval","uvažovat","impf"," "" I do n't think he 's been there at all, "" muttered another."," "" Myslím, že tam vůbec nebyl, "" uvažoval polohlasem jiný kamarád."
"undressed","undress","Svlékl","svléknout","pf"," He undressed and toppled into bed."," Svlékl se a zřítil se do postele."
"toppled","topple","zřítil","zřítit","pf"," He undressed and toppled into bed."," Svlékl se a zřítil se do postele."
"rang","ring","zvonit","zvonit","impf"," While he was asleep the phone rang again."," Když usnul, telefon začal znovu zvonit."
"stood","stand","Neměl","mít","impf"," It never, however, stood a chance of waking him up."," Neměl však nejmenší šanci ho probudit."
"waking","wake","probudit","probudit","pf"," It never, however, stood a chance of waking him up."," Neměl však nejmenší šanci ho probudit."
"awoke","awake","probudil","probudit","pf"," Arthur awoke feeling wonderful, absolutely fabulous, refreshed, overjoyed to be home, bouncing with energy, hardly disappointed at all to discover it was the middle of February."," Arthur se probudil a cítil se skvěle, naprosto pohádkově, byl odpočinutý a přešťastný, že je doma, překypoval energií a téměř ani nebyl zklamán, když zjistil, že je polovina února."
"feeling","feel","cítil","cítit","impf"," Arthur awoke feeling wonderful, absolutely fabulous, refreshed, overjoyed to be home, bouncing with energy, hardly disappointed at all to discover it was the middle of February."," Arthur se probudil a cítil se skvěle, naprosto pohádkově, byl odpočinutý a přešťastný, že je doma, překypoval energií a téměř ani nebyl zklamán, když zjistil, že je polovina února."
"disappointed","disappoint","zklamán","zklamat","pf"," Arthur awoke feeling wonderful, absolutely fabulous, refreshed, overjoyed to be home, bouncing with energy, hardly disappointed at all to discover it was the middle of February."," Arthur se probudil a cítil se skvěle, naprosto pohádkově, byl odpočinutý a přešťastný, že je doma, překypoval energií a téměř ani nebyl zklamán, když zjistil, že je polovina února."
"discover","discover","zjistil","zjistit","pf"," Arthur awoke feeling wonderful, absolutely fabulous, refreshed, overjoyed to be home, bouncing with energy, hardly disappointed at all to discover it was the middle of February."," Arthur se probudil a cítil se skvěle, naprosto pohádkově, byl odpočinutý a přešťastný, že je doma, překypoval energií a téměř ani nebyl zklamán, když zjistil, že je polovina února."
"took","take","vzal","vzít","pf"," He held out two more ten pence pieces to her, and took the tickets."," Podal jí další dvě desetipence a vzal si lístky."
"strike","strike","napadla","napadnout","pf"," A thought seemed to strike the woman."," Ženu teď zřejmě napadla nová myšlenka."
"watch","watch","sledovat","sledovat","impf"," You could watch it coming in like a long wave on a sandy beach."," Mohli jste přímo sledovat, jak přichází, jako dlouhá vlna na písečné pláži."
"coming","come","přichází","přicházet","impf"," You could watch it coming in like a long wave on a sandy beach."," Mohli jste přímo sledovat, jak přichází, jako dlouhá vlna na písečné pláži."
"announced","announce","oznámil","oznámit","pf"," Eventually the robot announced to the world that despite the full, frank and wide-ranging exchange of views the high level talks had broken down, the lizards had been retired, and that it, the robot would take a short holiday somewhere, and for some reason selected Bournemouth."," Nakonec oznámil světu, že přes rozsáhlou a otevřenou výměnu názorů na nejrůznější problémy rozhovory na nejvyšší úrovni zkrachovaly, ještěři byli dopraveni zpět a on, robot, se míní odebrat na kratší dovolenou, a z nějakého záhadného důvodu si k tomu vybral Bournemouth."
"take","take","odebrat","odebrat","pf"," Eventually the robot announced to the world that despite the full, frank and wide-ranging exchange of views the high level talks had broken down, the lizards had been retired, and that it, the robot would take a short holiday somewhere, and for some reason selected Bournemouth."," Nakonec oznámil světu, že přes rozsáhlou a otevřenou výměnu názorů na nejrůznější problémy rozhovory na nejvyšší úrovni zkrachovaly, ještěři byli dopraveni zpět a on, robot, se míní odebrat na kratší dovolenou, a z nějakého záhadného důvodu si k tomu vybral Bournemouth."
"selected","select","vybral","vybrat","pf"," Eventually the robot announced to the world that despite the full, frank and wide-ranging exchange of views the high level talks had broken down, the lizards had been retired, and that it, the robot would take a short holiday somewhere, and for some reason selected Bournemouth."," Nakonec oznámil světu, že přes rozsáhlou a otevřenou výměnu názorů na nejrůznější problémy rozhovory na nejvyšší úrovni zkrachovaly, ještěři byli dopraveni zpět a on, robot, se míní odebrat na kratší dovolenou, a z nějakého záhadného důvodu si k tomu vybral Bournemouth."
"watching","watch","sledoval","sledovat","impf"," Ford Prefect, watching it on TV, nodded, laughed, and had another beer."," Ford Prefect, který vše sledoval v televizi, pokýval hlavou, zachechtal se a dal si další pivo."
