"close","close","zavřít","zavřít","pf"," I have to close the hatch behind us. '"," Musím za námi zavřít příklop. """
"functioning","function","pracuje","pracovat","impf"," This satellite, after three successive reconstructions at roughly ten-year intervals, is still functioning today."," Tento sateloid, který byl, vždy po několika desetiletích, už třikrát rekonstruován, pracuje dodnes."
"confirmed","confirm","potvrdily","potvrdit","pf"," The data it supplied confirmed beyond doubt the findings of the Ottenskjöld expedition concerning the active character of the ocean 's movements."," Údaje, které nashromáždil, potvrdily definitivně domněnky Ottenskjoldovy expedice, že totiž pohyby oceánu na Solaris mají aktivní charakter."
"remained","remain","zůstala","zůstat","pf"," One of Shannahan 's ships remained in orbit, while the two others, after some preliminary attempts, landed in the southern hemisphere, in a rocky area about 600 miles square."," Jedna Shannahanova loď zůstala na vysoké oběžné dráze, zbylé dvě pak přistály na skalnatém kousku souše rozkládající se na ploše asi šesti set čtverečních mil poblíž jižního pólu Solaris."
"landed","land","přistály","přistát","pf"," One of Shannahan 's ships remained in orbit, while the two others, after some preliminary attempts, landed in the southern hemisphere, in a rocky area about 600 miles square."," Jedna Shannahanova loď zůstala na vysoké oběžné dráze, zbylé dvě pak přistály na skalnatém kousku souše rozkládající se na ploše asi šesti set čtverečních mil poblíž jižního pólu Solaris."
"hear","hear","Neslyšel","slyšet","impf"," ' Did n't you hear me?"," "" Neslyšel jsi, co jsem ti povídal?"
"warn","warn","Varoval","varovat","impf"," I came to warn you. '"," Varoval jsem tě! """
"trust","trust","spolehnout","spolehnout","pf"," You ca n't trust anyone. '"," Nemůžeš se teď spolehnout na nikoho. """
"trust","trust","spolehnout","spolehnout","pf"," ' I can trust Rheya. '"," "" Mohu se spolehnout na Harey, "" řekl jsem."
"believe","believe","myslíš","myslet","impf"," Maybe you believe this is all an act?"," Ty si snad myslíš, že to hraju?"
"held","hold","držel","držet","impf"," In my hand I held a test-tube containing some blood."," V ruce jsem něco držel : zkumavku s krví."
"lying","lie","leží","ležet","impf"," And now she was lying across the bed, looking at me attentively, as though she did not know that it was I who had killed her."," A teď tady leží napříč postele a hledí na mne tak soustředěně, jako by nevěděla, že jsem ji zabil."
"looking","look","hledí","hledět","impf"," And now she was lying across the bed, looking at me attentively, as though she did not know that it was I who had killed her."," A teď tady leží napříč postele a hledí na mne tak soustředěně, jako by nevěděla, že jsem ji zabil."
"killed","kill","zabil","zabít","pf"," And now she was lying across the bed, looking at me attentively, as though she did not know that it was I who had killed her."," A teď tady leží napříč postele a hledí na mne tak soustředěně, jako by nevěděla, že jsem ji zabil."
"asked","ask","zeptala","zeptat","pf"," ' Well? ' she asked."," "" Na nic víc se nevzmůžeš? "" zeptala se."
"feigned","feign","Předstíral","předstírat","impf"," I put on a feigned composure, and Rheya played the same game."," Předstíral jsem klid a Harey ho předstírala také;"
"feigned","feign","předstírala","předstírat","impf"," I put on a feigned composure, and Rheya played the same game."," Předstíral jsem klid a Harey ho předstírala také;"
"believe","believe","neuvěřím","uvěřit","pf"," I 'll never believe that."," Tomu nikdy neuvěřím."
"received","receive","přijal","přijmout","pf"," ' I 'm sorry to have received you like that."," "" Mrzí mě, že jsem tě přijal takhle."
"produce","produce","vytváří","vytvářet","impf"," The mimoid can produce ' primitive ' simplifications, but is just as likely to indulge in ' baroque ' deviations, paroxysms of extravagant brilliance."," Někdy se v činnosti mimoidu projevují příznaky přímo dětinského zjednodušování, jindy zase upadá do "" barokní úchylky "", kde má vše, co vytváří, charakter baculatě zaoblené slonoviny."
"tightened","tighten","dotáhl","dotáhnout","pf"," I tightened the final screw with a trembling hand, threw down the spanner and jumped off the ladder."," Třesoucíma se rukama jsem dotáhl poslední šroub, odhodil klíč a seskočil z žebříčku."
"retreated","retreat","ustupoval","ustupovat","impf"," As I slowly retreated, I noticed that the shock-absorbers, designed to resist a continuous pressure, were vibrating furiously."," Když jsem pozpátku zvolna ustupoval, viděl jsem, jak kónusy amortizátorů, propočtených jen na stálý tlak, tančí v ložiscích."
"lifted","lift","zvedl","zvednout","pf"," Frenziedly, I rushed to the control-panel and with both hands lifted the starting lever."," Jako šílený jsem přiskočil k pultu dálkového ovládání, oběma rukama jsem zvedl spouštěcí páku reaktoru a zapjal rádiové spojení."
"starting","start","zapjal","zapnout","pf"," Frenziedly, I rushed to the control-panel and with both hands lifted the starting lever."," Jako šílený jsem přiskočil k pultu dálkového ovládání, oběma rukama jsem zvedl spouštěcí páku reaktoru a zapjal rádiové spojení."
"pressed","press","stiskl","stisknout","pf"," As I pressed down the door handle, I heard a harsh voice :"," Když jsem stiskl kliku, uslyšel jsem ostře znějící hlas :"
"heard","hear","uslyšel","uslyšet","pf"," As I pressed down the door handle, I heard a harsh voice :"," Když jsem stiskl kliku, uslyšel jsem ostře znějící hlas :"
"see","see","Rozumíš","rozumět","impf"," You see? '"," Rozumíš? """
"see","see","Rozumím","rozumět","impf"," ' I see. '"," "" Rozumím. """
"wiped","wipe","Otřel","otřít","pf"," I wiped my forehead."," Otřel jsem si dlaní čelo."
"waited","wait","Počkal","počkat","pf"," I waited a moment in silence before trying once more to make contact."," Počkal jsem několik desítek vteřin a pak jsem opakoval výzvu."
"do","do","jít","jít","impf"," Perhaps I would do better to tackle Sartorius."," Neměl bych jít nahoru za Sartoriem?"
"remembered","remember","Vzpomněl","vzpomenout","pf"," Then I remembered the letter and, as I thought of it, realized how important it was."," Vzpomněl jsem si pojednou na lístek, a to mi připadalo v tomto okamžiku nejdůležitější."
"thought","think","Vzpomněl","vzpomenout","pf"," Then I remembered the letter and, as I thought of it, realized how important it was."," Vzpomněl jsem si pojednou na lístek, a to mi připadalo v tomto okamžiku nejdůležitější."
"nodded","nod","Přikývl","přikývnout","pf"," I merely nodded."," Přikývl jsem jen."
"resting","rest","spočívala","spočívat","impf"," Her head, covered in frizzy hair twisted up into little tufts, was resting in the hollow of one massive arm."," Hlava pokrytá vlasy zkroucenými do malých, modře se lesknoucích kudrlinek spočívala v ohybu stejně černé, masivní paže."
"seen","see","Viděls","vidět","impf"," ' You 've seen it! '"," "" Viděls?! """
"warned","warn","varoval","varovat","impf"," ' You warned me."," "" Sám jsi mě přece varoval."
"see","see","viděl","vidět","impf"," ' What did you see? '"," "" Co jsi viděl? """
"appeared","appear","Objevil","objevit","pf"," Just as they were about to raise the alarm, the aircraft appeared."," Objevil se nad základnou téměř hodinu poté, co nastala tma, když o něho měli už všichni vážné obavy."
"want","want","Chceš","chtít","impf"," ' Do you want to come over here? '"," "" Chceš přijít ke mně? "" pochopil jsem."
"come","come","přijít","přijít","pf"," ' Do you want to come over here? '"," "" Chceš přijít ke mně? "" pochopil jsem."
"asked","ask","zeptala","zeptat","pf"," ' Who was it? ' asked Rheya indifferently."," "" Kdo to byl? "" zeptala se lhostejně Harey."
"accompanied","accompany","doprovázela","doprovázet","impf"," Rheya, who had so often accompanied me on my space-flights, was familiar with the preliminary routine."," Harey, která mě tolikrát doprovázela na mých cestách, se v tom trochu vyznala."
"divorced","divorce","Rozvedl","rozvést","pf"," ' I 'm divorced, ' he whispered."," "" Rozvedl jsem se, "" odpověděl stejným, jenže sykavějším šepotem."
"locked","lock","Zamkl","zamknout","pf"," He locked himself in his cabin and refused to talk to us except through the door."," "" Zamkl se ve své kabině a mluvil s námi jenom skrz dveře."
"talk","talk","mluvil","mluvit","impf"," He locked himself in his cabin and refused to talk to us except through the door."," "" Zamkl se ve své kabině a mluvil s námi jenom skrz dveře."
"remarked","remark","poznamenal","poznamenat","pf"," He went on fidgeting with them for a moment, then he remarked :"," Chvíli si tak hrál, až konečně poznamenal, aniž ke mně otočil hlavu :"
"remove","remove","sundal","sundat","pf"," Groping, I helped Rheya remove her glasses and put both pairs down under the bed."," Popaměti jsem jí brýle zase sundal a spolu se svými je položil pod postel."
"put","put","položil","položit","pf"," Groping, I helped Rheya remove her glasses and put both pairs down under the bed."," Popaměti jsem jí brýle zase sundal a spolu se svými je položil pod postel."
"do","do","dělat","dělat","impf"," ' What shall we do now? ' she asked."," "" Co budeme dělat? "" zeptala se."
"sleeps","sleep","spát","spát","impf"," ' At night-time, one sleeps! '"," "" To, co se dělá v noci : spát. """
"Do","do","udělat","udělat","pf"," ' Do you want a compress for your forehead? '"," "" Neměla bych ti udělat nový obklad? """
"saying","say","řekla","říci","pf"," I could hear Rheya 's voice, but without taking in what she was saying."," Harey něco řekla, ale nevnímal jsem to."
"behave","behave","chovají","chovat","impf"," Within the prescribed limits, the Phi-creatures behave in the same way as the real ... the ... er ... '"," Až po určitou mez se chovají tak, jak by se chovaly ... skutečné ... skutečné ... """
"behave","behave","chovaly","chovat","impf"," Within the prescribed limits, the Phi-creatures behave in the same way as the real ... the ... er ... '"," Až po určitou mez se chovají tak, jak by se chovaly ... skutečné ... skutečné ... """
"begins","begin","začíná","začínat","impf"," The symmetriad now begins to display its most exotic characteristic - the property of ' illustrating ', sometimes contradicting, various laws of physics."," Od tohoto okamžiku začíná symetriáda projevovat svou nejzvláštnější vlastnost - schopnost přizpůsobovat anebo docela rušit některé fyzikální zákony."
"display","display","projevovat","projevovat","impf"," The symmetriad now begins to display its most exotic characteristic - the property of ' illustrating ', sometimes contradicting, various laws of physics."," Od tohoto okamžiku začíná symetriáda projevovat svou nejzvláštnější vlastnost - schopnost přizpůsobovat anebo docela rušit některé fyzikální zákony."
"stared","stare","zíraly","zírat","impf"," His glazed eyes stared up at the vault, a tear of opaque ice hanging from the corner of each lid."," Vyschlé oči zíraly kolmo vzhůru, v koutku víček se vytvořila kalná kapka ledu."
"prevent","prevent","bránil","bránit","impf"," The cold was so intense that I had to clench my teeth to prevent them from chattering."," Chlad mnou pronikal tak, že jsem se jen s námahou bránil drkotání zubů."
"touched","touch","dotkl","dotknout","pf"," I touched Gibarian 's cheek;"," Druhou rukou jsem se dotkl jeho tváře."
"reflected","reflect","odrážel","odrážet","impf"," The concave window reflected a row of red suns."," Červený sluneční kotouč se mnohokrát odrážel v okenních tabulích."
"sat","sit","Posadil","posadit","pf"," I sat on the hoops of a rolled-up parachute and put my head in my hands."," Posadil jsem se na svinutý prstencový padák a opřel si hlavu do dlaní."
"put","put","Posadil","posadit","pf"," I sat on the hoops of a rolled-up parachute and put my head in my hands."," Posadil jsem se na svinutý prstencový padák a opřel si hlavu do dlaní."
"crying","cry","pláčeš","plakat","impf"," You 're crying. '"," "" Ty pláčeš? """
"saw","see","viděl","vidět","impf"," Are you absolutely sure that what you saw resembled a garden - there was no other possible interpretation?"," Jsi si tím naprosto jist, že to, cos viděl, připomínalo zahradu - a nic jiného?"
"resembled","resemble","připomínalo","připomínat","impf"," Are you absolutely sure that what you saw resembled a garden - there was no other possible interpretation?"," Jsi si tím naprosto jist, že to, cos viděl, připomínalo zahradu - a nic jiného?"
"remember","remember","vzpomínám","vzpomínat","impf"," For example, I remember seeing a place where there were some boxes in a row."," vzpomínám si například, že na jednom místě stály v řadě jakési krychličky."
"presiding","preside","předsedá","předsedat","impf"," I had not known him previously and was therefore unaware of his inveterate habit, when presiding over meetings at the Institute, of letting sessions drag on indefinitely."," Ani já jsem ho do té doby neznal a nevěděl jsem, že vždycky když předsedá na schůzích Institutu, má nesnesitelný zvyk protahovat zasedání donekonečna."
"drag","drag","protahovat","protahovat","impf"," I had not known him previously and was therefore unaware of his inveterate habit, when presiding over meetings at the Institute, of letting sessions drag on indefinitely."," Ani já jsem ho do té doby neznal a nevěděl jsem, že vždycky když předsedá na schůzích Institutu, má nesnesitelný zvyk protahovat zasedání donekonečna."
"leant","lean","opřela","opřít","pf"," Rheya leant her elbows on my knees and looked me in the eyes."," Harey se opřela lokty o má kolena a hleděla mi do obličeje."
"looked","look","hleděla","hledět","impf"," Rheya leant her elbows on my knees and looked me in the eyes."," Harey se opřela lokty o má kolena a hleděla mi do obličeje."
"say","say","říkám","říkat","impf"," ' If you 're going to take what I say literally ... '"," "" Jestliže chceš to, co říkám, brát tak doslovně ... """
"take","take","brát","brát","impf"," ' If you 're going to take what I say literally ... '"," "" Jestliže chceš to, co říkám, brát tak doslovně ... """
"sleeping","sleep","spi","spát","impf"," But that must n't stop you from sleeping ..."," Ale ty spi."
"looking","look","díváš","dívat","impf"," Why are you looking at me like that? '"," Proč se na mne tak díváš? """
"beating","beat","bušilo","bušit","impf"," Her heart was beating against mine."," Cítil jsem drobný, pravidelný tlukot jejího srdce v místech, kde o něco pomaleji bušilo moje."
"rub","rub","otřel","otřít","pf"," Wings of foam planed all around me, only a few yards from the window, and one swooped to rub against the window pane like a silken scarf."," Některé z těchto útvarů plachtily vzhůru docela blízko stanice, těsně kolem oken, sotva pár metrů od nich, ba jednou se jeden takový oblak otřel svým napohled hedvábným povrchem o sklo;"
"saw","see","viděl","vidět","impf"," But not at the time, not at the moment when you actually saw them?"," Ne tedy v okamžiku, kdys to viděl?"
"saw","see","viděl","vidět","impf"," But I saw something else."," A viděl jsem ještě jiné věci."
"put","put","říci","říci","pf"," I saw things which I ca n't put a name to, because I did n't have time to examine them carefully."," Nedovedu říci jaké, protože jsem si je nestačil důkladně prohlédnout."
"examine","examine","prohlédnout","prohlédnout","pf"," I saw things which I ca n't put a name to, because I did n't have time to examine them carefully."," Nedovedu říci jaké, protože jsem si je nestačil důkladně prohlédnout."
"smiled","smile","usmála","usmát","pf"," Rheya smiled, embarrassed."," Harey se rozpačitě usmála."
"going","go","Dělal","dělat","impf"," As though it were the most normal way of going about it, I picked up some kind of scalpel from the floor and slit the dress down the back from neck to waist, so that she could pull it over her head."," Dělal jsem, jako by to byla ta nejobvyklejší věc na světě, zvedl jsem s podlahy skalpel a šaty jsem vzadu nařízl."
"touched","touch","Dotkl","dotknout","pf"," I touched the steel, feeling it grow warm beneath my fingers, and rapped the metal plating with my knuckles."," Dotkl jsem se oceli, chvíli jsem ji zahříval dlaní, ťukl jsem do zaobleného kraje ochranného plechu;"
"attain","attain","dosáhnout","dosáhnout","pf"," Could madness attain such a degree of reality?"," mohou halucinace dosáhnout takového stupně reálnosti?"
"answered","answer","odpověděl","odpovědět","pf"," Yes, I answered myself."," Snad - odpověděl jsem si;"
"registering","register","zapsal","zapsat","pf"," The ocean has "" read "" us by this means, registering the minutest details, with the result that ... well, you know the result."," A tak si to z nás vytáhl, zapsal a potom - však víš, co bylo potom."
"destroying","destroy","zničil","zničit","pf"," At any rate, not for the purpose of destroying us."," Rozhodně ne proto, aby nás zničil."
"feel","feel","pocítil","pocítit","pf"," Now I was high enough to feel the swaying of the mimoid."," Byl jsem už tak vysoko, že jsem pocítil jeho pohyb;"
"retained","retain","zachoval","zachovat","pf"," The mimoid had acquired its swinging motion long before, probably at its birth, and even while it grew and broke up it had retained its initial pattern."," Do tohoto kolébavého pohybu byl uveden už kdysi dávno, snad při svém zrodu, a zachoval si jej díky své obrovské hmotě."
"concentrated","concentrate","soustředili","soustředit","pf"," This point of view was now overwhelmingly repudiated, and the ground was cleared for the team headed by Holden, Ionides and Stoliva, whose lucid, analytically based speculations concentrated on scrupulous examination of a growing body of data."," Publicistická horlivost ve vyvracení jejich tvrzení připravila půdu střízlivým, analyticky zaměřeným výzkumům Holdenovým, Eonidesovým a Stolivovým, kteří se v nich soustředili na pečlivé shromažďování faktů."
"spoke","speak","Neřekl","říci","pf"," He was leaning forward, and as I spoke his body almost imperceptibly relaxed."," Neřekl nic, ale celé jeho skrčené a předkloněné tělo se sotva znatelně uvolnilo."
"relaxed","relax","uvolnilo","uvolnit","pf"," He was leaning forward, and as I spoke his body almost imperceptibly relaxed."," Neřekl nic, ale celé jeho skrčené a předkloněné tělo se sotva znatelně uvolnilo."
"warned","warn","varovat","varovat","impf"," ' You might have warned me. '"," "" Taky jsi mě mohl varovat, "" začal jsem, ale už ne tak přesvědčeně."
"warn","warn","varoval","varovat","impf"," ' I did warn you."," "" Přece jsem tě varoval. """
"spoken","speak","nepromluví","promluvit","pf"," Moreover, although our interlocutors are in fact the creations of our own psychic activity, evolved by a pseudo-independent process, until they have spoken to us we do not know what words will emerge from their lips."," přitom - ačkoliv tito lidé jsou v podstatě jen plody naší vlastní psýchy, jakýmisi jejími pseudosamostatnými částicemi přechodně se od ní oddělivšími - nevíme, jakými slovy odpovědí, dokud ( ve snu ) sami nepromluví."
"exists","exist","neexistovalo","existovat","impf"," The beat of our hearts combines, and all at once, out of the surrounding void where nothing exists or can exist, steals a presence of indefinable, unimaginable cruelty."," A tu se pojednou do pomalosti této scény, mimo niž jako by nic neexistovalo a existovat nemohlo, začalo vkrádat něco nevýslovně krutého, nepředstavitelného, něco, co bylo v rozporu s přírodou."
"exist","exist","neexistovalo","existovat","impf"," The beat of our hearts combines, and all at once, out of the surrounding void where nothing exists or can exist, steals a presence of indefinable, unimaginable cruelty."," A tu se pojednou do pomalosti této scény, mimo niž jako by nic neexistovalo a existovat nemohlo, začalo vkrádat něco nevýslovně krutého, nepředstavitelného, něco, co bylo v rozporu s přírodou."
"exists","exist","existovat","existovat","impf"," The beat of our hearts combines, and all at once, out of the surrounding void where nothing exists or can exist, steals a presence of indefinable, unimaginable cruelty."," A tu se pojednou do pomalosti této scény, mimo niž jako by nic neexistovalo a existovat nemohlo, začalo vkrádat něco nevýslovně krutého, nepředstavitelného, něco, co bylo v rozporu s přírodou."
"exist","exist","existovat","existovat","impf"," The beat of our hearts combines, and all at once, out of the surrounding void where nothing exists or can exist, steals a presence of indefinable, unimaginable cruelty."," A tu se pojednou do pomalosti této scény, mimo niž jako by nic neexistovalo a existovat nemohlo, začalo vkrádat něco nevýslovně krutého, nepředstavitelného, něco, co bylo v rozporu s přírodou."
"created","create","stvořil","stvořit","pf"," The caress that created us and which wrapped us in a golden cloak becomes the crawling of innumerable fingers."," Týž dotek, který nás stvořil a neviditelným zlatým pláštěm přilnul k našim tělům, začal pojednou vyvolávat pocit mravenčení."
"see","see","viděl","vidět","impf"," It was no guarantee, of course, but I could see no other way out."," Po pravdě řečeno, ani ona nic nezaručovala, bylo to však prostě jediné východisko, které jsem v tomto okamžiku viděl."
"see","see","neviděl","vidět","impf"," ' Did ... did anyone see you? '"," "" A ... a neviděl tě nikdo? """
"got","get","Přišla","přijít","pf"," I got here without any trouble."," Přišla jsem docela normálně."
"wearing","wear","Měl","mít","impf"," He was wearing a mesh shirt which allowed the grey hairs of his sunken chest to poke through here and there, and canvas trousers with a great many pockets, mechanic 's trousers, which had once been white but now were stained at the knees and covered with holes from chemical burns."," Měl na sobě síťovou košili, jejímiž očky se tu a tam prodíraly šedivé chlupy, pokrývající jeho plochou hruď, a kalhoty se spoustou kapes, jaké nosívají montéři, kdysi zřejmě bílé, teď však na kolenou potřísněné a na mnoha místech propálené chemikáliemi."
"holding","hold","držel","držet","impf"," He was holding one of those pear-shaped plastic flasks which are used in spaceships not equipped with internal gravitational systems."," V ruce držel hrušku z plastické hmoty, z jakých se pije v kosmických lodích bez umělé gravitace."
"looked","look","Hleděl","hledět","impf"," Snow 's eyes widened in amazement as he looked up and saw me."," Hleděl na mne jakoby oslněn prudkým světlem."
"saw","see","Hleděl","hledět","impf"," Snow 's eyes widened in amazement as he looked up and saw me."," Hleděl na mne jakoby oslněn prudkým světlem."
"closed","close","sevřel","sevřít","pf"," Fortunately my face was not too swollen and my eyes, which I had closed instinctively, did not seem to be inflamed."," Naštěstí jsem příliš neotekl, a protože jsem pevně sevřel vička, očím se nestalo nic."
"said","say","říkal","říkat","impf"," ' But ... you said he was dead, Kris. '"," Krisi ... vždyť on je ... sám jsi přece říkal, že je mrtev ... """
"think","think","zdá","zdát","impf"," I think that the ... er ... delicate or shocking aspect of our present situation is completely beyond its comprehension. '"," Mně se zdá, vážení kolegové, že pro nás ... hm ... nejbolestnější, nejvíc nás šokující stránka experimentu mu zcela uniká, že leží mimo hranice jeho chápání. """
"think","think","myslíte","myslet","impf"," ' You think its activities are unpremeditated? '"," "" Vy tedy myslíte, že to není úmyslné? ... "" zeptal jsem se."
"bewildered","bewilder","ohromilo","ohromit","pf"," I was somewhat bewildered by Sartorius 's point of view, but on second thought, I realized that it could not be dismissed."," Toto tvrzení mě trochu ohromilo, ale když jsem je uvážil, uznal jsem, že vyloučit je nelze."
"rises","rise","zvedá","zvedat","impf"," The submerged base of the symmetriad is compressed, and the colossus rises as if on the point of being shot out of the planet 's gravitational pull."," Podmořská část symetriády je jimi stlačena, kolos se zvolna zvedá, jako by měl být vyvržen mimo planetu;"
"established","establish","prokázaly","prokázat","pf"," Their studies established an analogy between the charted electrical activity of the brain and certain discharges occurring deep in the plasma before the appearance, for example, of elementary polymorphs or twin solarids."," Tyto výzkumy prokázaly jistou podobnost mezi elementy elektronického obrazu práce mozku a některými výboji, k nimž docházelo v oceánické plazmě vždy před vznikem některých útvarů, jako jsou například předstadiální polymorpha a jim velmi blízké solaridy."
"saw","see","rozumí","rozumět","impf"," Uyvens, on the other hand, saw this final stage as constituting a degeneration or necrosis : according to him, the appearance of the ' copies ' corresponded to a localized dissipation of the life energies of the ocean, which was no longer in control of the original forms it created."," To se rozumí, že ihned přispěchal jiný solarista, jmenoval se Uyvens, který právě tuto poslední fázi považoval za zrůdnou, za degenerační, za příznak odumírání, a v lese vznikajících tvarů viděl zřejmý projev snahy oddělivších se útvarů vymknout se z mateřské nadvlády."
"saw","see","považoval","považovat","impf"," Uyvens, on the other hand, saw this final stage as constituting a degeneration or necrosis : according to him, the appearance of the ' copies ' corresponded to a localized dissipation of the life energies of the ocean, which was no longer in control of the original forms it created."," To se rozumí, že ihned přispěchal jiný solarista, jmenoval se Uyvens, který právě tuto poslední fázi považoval za zrůdnou, za degenerační, za příznak odumírání, a v lese vznikajících tvarů viděl zřejmý projev snahy oddělivších se útvarů vymknout se z mateřské nadvlády."
"saw","see","viděl","vidět","impf"," Uyvens, on the other hand, saw this final stage as constituting a degeneration or necrosis : according to him, the appearance of the ' copies ' corresponded to a localized dissipation of the life energies of the ocean, which was no longer in control of the original forms it created."," To se rozumí, že ihned přispěchal jiný solarista, jmenoval se Uyvens, který právě tuto poslední fázi považoval za zrůdnou, za degenerační, za příznak odumírání, a v lese vznikajících tvarů viděl zřejmý projev snahy oddělivších se útvarů vymknout se z mateřské nadvlády."
"Watching","watch","díval","dívat","impf"," Watching the ocean like this one had the illusion - it was surely an illusion - that the Station was moving imperceptibly, as though teetering on an invisible base;"," Když se na to člověk díval, měl pocit, že se stanice nepozorovaně sesouvá na stranu, jako by sklouzávala po neviditelné základně."
"gathered","gather","shromažďovaly","shromažďovat","impf"," Thick foam, the colour of blood, gathered in the troughs of the waves."," V údolích mezi vlnami se shromažďovaly cáry hlenovité pěny, která měla barvu krve."
"waiting","wait","čekal","čekat","impf"," On the surface, I was calm : in secret, without really admitting it, I was waiting for something."," Navenek jsem byl klidný, ale v nitru, aniž jsem si to jasně uvědomoval, jsem na něco čekal."
"begins","begin","začne","začít","pf"," About an hour beforehand, an area of tens of square miles of ocean vitrifies and begins to shine."," Asi hodinu předtím se oceán začne intenzívně lesknout, jako by na ploše několika desítek čtverečních kilometrů zesklovatěl."
"shine","shine","lesknout","lesknout","impf"," About an hour beforehand, an area of tens of square miles of ocean vitrifies and begins to shine."," Asi hodinu předtím se oceán začne intenzívně lesknout, jako by na ploše několika desítek čtverečních kilometrů zesklovatěl."
"creates","create","vytváří","vytvářet","impf"," This energy creates a rotating stabilization field."," Ta energie vytváří vírové stabilizační pole."
"see","see","Chápeš","chápat","impf"," You see the difference? '"," Chápeš ten rozdíl? """
"turned","turn","odvrátil","odvrátit","pf"," I turned my back and bit my knuckles."," Pokradmu jsem se od ní odvrátil a kousl se do pěsti, až vytryskla krev."
"running","run","tekla","téci","impf"," The basin tap was running noisily."," Z kohoutku tekla voda a dělala hluk."
"opened","open","Otevřel","otevřít","pf"," I opened the door and, slipping out of the room, cautiously closed it behind me."," Otevřel jsem dveře, vyklouzl potichu na chodbu a opatrně jsem za sebou zavřel."
"closed","close","zavřel","zavřít","pf"," I opened the door and, slipping out of the room, cautiously closed it behind me."," Otevřel jsem dveře, vyklouzl potichu na chodbu a opatrně jsem za sebou zavřel."
"flying","fly","nepoletí","letět","impf"," And he wo n't be flying."," A nepoletí."
"mean","mean","znamenat","znamenat","impf"," What do you mean?"," "" Co to má znamenat?"
"experienced","experience","Neměl","mít","impf"," Useless to go and find Snow or Sartorius : no one could fully understand what I had just experienced, what I had seen, what I had touched with my own hands."," Neměl jsem důvod jít za Snautem nebo za Sartoriem, nedovedl jsem si představit, že by kdokoli byl schopen uspořádat v logický celek to, co jsem dosud prožil, co jsem viděl, čeho jsem se dotýkal vlastníma rukama."
"go","go","jít","jít","impf"," Useless to go and find Snow or Sartorius : no one could fully understand what I had just experienced, what I had seen, what I had touched with my own hands."," Neměl jsem důvod jít za Snautem nebo za Sartoriem, nedovedl jsem si představit, že by kdokoli byl schopen uspořádat v logický celek to, co jsem dosud prožil, co jsem viděl, čeho jsem se dotýkal vlastníma rukama."
"experienced","experience","prožil","prožít","pf"," Useless to go and find Snow or Sartorius : no one could fully understand what I had just experienced, what I had seen, what I had touched with my own hands."," Neměl jsem důvod jít za Snautem nebo za Sartoriem, nedovedl jsem si představit, že by kdokoli byl schopen uspořádat v logický celek to, co jsem dosud prožil, co jsem viděl, čeho jsem se dotýkal vlastníma rukama."
"seen","see","viděl","vidět","impf"," Useless to go and find Snow or Sartorius : no one could fully understand what I had just experienced, what I had seen, what I had touched with my own hands."," Neměl jsem důvod jít za Snautem nebo za Sartoriem, nedovedl jsem si představit, že by kdokoli byl schopen uspořádat v logický celek to, co jsem dosud prožil, co jsem viděl, čeho jsem se dotýkal vlastníma rukama."
"touched","touch","dotýkal","dotýkat","impf"," Useless to go and find Snow or Sartorius : no one could fully understand what I had just experienced, what I had seen, what I had touched with my own hands."," Neměl jsem důvod jít za Snautem nebo za Sartoriem, nedovedl jsem si představit, že by kdokoli byl schopen uspořádat v logický celek to, co jsem dosud prožil, co jsem viděl, čeho jsem se dotýkal vlastníma rukama."
"leaving","leave","odejdeš","odejít","pf"," ' You 'll be leaving again? '"," "" Ty zase odejdeš? """
"revealed","reveal","ukázala","ukázat","pf"," A broad smile revealed her teeth."," V úsměvu - měla tak tmavé rty, že když jedla višně, nebylo to na nich znát - ukázala konečky zubů."
"came","come","přišla","přijít","pf"," When I came in you were asleep."," Když jsem přišla, spal jsi, ale nevzbudila jsem tě."
"wake","wake","vzbudit","vzbudit","pf"," I did n't wake you up because you get cross so easily."," Nechtěla jsem tě vzbudit, protože jsi vztekloun."
"said","say","řekla","říci","pf"," ' What a sleep! ' she said, laying another compress on my forehead."," "" Ty máš ale spánek, "" řekla a znova mi přiložila na obličej gázu."
"felt","feel","Cítil","cítit","impf"," I felt my face turn pale."," Cítil jsem, jak blednu."
"smiled","smile","usmála","usmát","pf"," She smiled wanly."," Lehounce se usmála."
"Wait","wait","Počkáš","počkat","pf"," Wait here for me. '"," "" Počkáš tady na mne, ano?"
"remember","remember","pamatuju","pamatovat","impf"," I could well remember how, when I was a student, these attempts were the subject of endless anecdotes, jokes and witticisms."," Toto navazování kontaktu bylo v dobách, kdy jsem studoval - moc dobře se na to pamatuju - zdrojem stále nových a nových anekdot, vtipů a posměšků."
"seemed","seem","zdála","zdát","impf"," Compared with the proliferation of speculative ideas which were triggered off by this problem, medieval scholasticism seemed a model of scientific enlightenment."," Ve srovnání s názorovou džunglí, kterou vyvolal tento problém, zdála se středověká scholastika něčím naprosto jasným a samozřejmým."
"began","begin","začaly","začít","pf"," Shutters slid over the hatch, and the automatic ventilators began to suck in the acrid smoke which billowed round the room."," Poklop se okamžitě znovu zavřel a kompresory začaly automaticky proplachovat čerstvým vzduchem halu, v níž se válel štiplavý dým."
"sit","sit","sedíš","sedět","impf"," You sit there like a baby in a slaughterhouse, and you let your beard grow ..."," Ty si tady sedíš, dítě na jatkách, vlasy ti rostou ..."
