"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"pulled","pull","tahal","tahat","impf"," It jumped again and again in the acrobatics of its fear and he worked his way back to the stern and crouching and holding the big line with his right hand and arm, he pulled the dolphin in with his left hand, stepping on the gained line each time with his bare left foot."," Vyskakovala znovu a znovu v akrobatických přemetech strachu a stařec se namáhavě dostal na záď, skrčil se, podržel si velkou šňůru pravičkou a tahal dorádu levičkou, přidržuje vytaženou šňůru po každé přišlápnutím bosé levé nohy."
"plunging","plunge","ponořit","ponořit","pf"," When the fish was at the stern, plunging and cutting from side to side in desperation, the old man leaned over the stern and lifted the burnished gold fish with its purple spots over the stern."," Když ji dostal až k zádi člunu, přesto jak se snažila prudce se ponořit a jak se zoufale zmítala sem a tam, naklonil se stařec přes pažení a hodil zlatělesklou rybu s nachovými skvrnami do člunu."
"leaned","lean","naklonil","naklonit","pf"," When the fish was at the stern, plunging and cutting from side to side in desperation, the old man leaned over the stern and lifted the burnished gold fish with its purple spots over the stern."," Když ji dostal až k zádi člunu, přesto jak se snažila prudce se ponořit a jak se zoufale zmítala sem a tam, naklonil se stařec přes pažení a hodil zlatělesklou rybu s nachovými skvrnami do člunu."
"asked","ask","otázal","otázat","pf"," "" How did you sleep old man? "" the boy asked."," "" Jak jste se vyspal, dědo? "" otázal se chlapec."
"said","say","odpověděl","odpovědět","pf"," "" Very well, Manolin, "" the old man said."," "" Výborně, Manoline, "" odpověděl mu stařec."
"wake","wake","vzbudím","vzbudit","pf"," I will wake you in the morning. """," Ráno tě vzbudím. """
"said","say","řekl","říci","pf"," "" You 're my alarm clock, "" the boy said."," "" Vy jste můj budíček, "" řekl mu chlapec."
"said","say","odpověděl","odpovědět","pf"," "" Age is my alarm clock, "" the old man said."," "" Stáří je můj budíček, "" odpověděl mu stařec."
"sleep","sleep","spí","spát","impf"," "" All I know is that young boys sleep late and hard. """," "" Vím jen, že mladí chlapci spí dlouho a tvrdě. """
"rises","rise","zvedá","zvedat","impf"," But now they were freshening as when the breeze rises."," Teď však v něm ožívaly, jako když se zvedá svěží vánek."
"agreed","agree","souhlasil","souhlasit","impf"," "" Two, "" the old man agreed."," "" Tak dvě, "" souhlasil stařec."
"steal","steal","neukradl","ukrást","pf"," "" You did n't steal them? """," "" Ale neukradl jsi je? """
"bought","buy","koupil","koupit","pf"," "" But I bought these. """," "" Ale tyhle jsem koupil. """
"Thank","thank","Děkuji","děkovat","impf"," "" Thank you, "" the old man said."," "" Děkuji ti, "" řekl mu stařec."
"said","say","řekl","říci","pf"," "" Thank you, "" the old man said."," "" Děkuji ti, "" řekl mu stařec."
"wonder","wonder","uvažoval","uvažovat","impf"," He was too simple to wonder when he had attained humility."," Byl příliš prostý na to, aby uvažoval, kdy dospěl k pokoře."
"kill","kill","zabít","zabít","pf"," "" It was the only way to kill him, "" the old man said."," "" Byl to jediný způsob, jak ji zabít, "" prohlásil stařec."
"said","say","prohlásil","prohlásit","pf"," "" It was the only way to kill him, "" the old man said."," "" Byl to jediný způsob, jak ji zabít, "" prohlásil stařec."
"thought","think","uvažoval","uvažovat","impf"," He 's over fifteen hundred pounds the way he is, he thought."," Váží takhle dobrých sedm set kilo, uvažoval."
"brings","bring","nosí","nosit","impf"," He brings our gear himself."," On si nosí výstroj sám."
"wants","want","nechce","chtít","impf"," He never wants anyone to carry anything. """," Nikdy nechce, aby mu něco nesl někdo druhý. """
"carry","carry","nesl","nést","impf"," He never wants anyone to carry anything. """," Nikdy nechce, aby mu něco nesl někdo druhý. """
"said","say","řekl","říci","pf"," "" We 're different, "" the old man said."," "" To my dva jsme jiní, "" řekl stařec."
"let","let","Nechal","nechat","pf"," "" I let you carry things when you were five years old. """," "" Nechal jsem tě nosit věci, když ti bylo pět let. """
"carry","carry","nosit","nosit","impf"," "" I let you carry things when you were five years old. """," "" Nechal jsem tě nosit věci, když ti bylo pět let. """
"cutting","cut","řezal","řezat","impf"," He had pushed his straw hat hard down on his head before he hooked the fish and it was cutting his forehead."," Předtím než ryba zabrala, narazil si slaměný klobouk pevně na hlavu, a teď ho řezal do čela."
"reached","reach","sáhl","sáhnout","pf"," He was thirsty too and he got down on his knees and, being careful not to jerk on the line, moved as far into the bow as he could get and reached the water bottle with one hand."," Měl taky žízeň, spustil se na kolena a opatrně, aby neškubl šňůrou, dolezl jak jen mohl daleko na příď a sáhl jednou rukou po láhvi s vodou."
"opened","open","Otevřel","otevřít","pf"," He opened it and drank a little."," Otevřel ji a trochu se napil."
"drank","drink","napil","napít","pf"," He opened it and drank a little."," Otevřel ji a trochu se napil."
"rested","rest","opřel","opřít","pf"," Then he rested against the bow."," Pak se opřel o příď a odpočíval."
"rested","rest","odpočíval","odpočívat","impf"," Then he rested against the bow."," Pak se opřel o příď a odpočíval."
"rested","rest","Odpočíval","odpočívat","impf"," He rested sitting on the un-stepped mast and sail and tried not to think but only to endure."," Odpočíval vsedě na nevztyčeném stěžni s plachtou a snažil se nemyslet, jen to vydržet."
"tried","try","snažil","snažit","impf"," He rested sitting on the un-stepped mast and sail and tried not to think but only to endure."," Odpočíval vsedě na nevztyčeném stěžni s plachtou a snažil se nemyslet, jen to vydržet."
"think","think","nemyslet","myslet","impf"," He rested sitting on the un-stepped mast and sail and tried not to think but only to endure."," Odpočíval vsedě na nevztyčeném stěžni s plachtou a snažil se nemyslet, jen to vydržet."
"endure","endure","vydržet","vydržet","pf"," He rested sitting on the un-stepped mast and sail and tried not to think but only to endure."," Odpočíval vsedě na nevztyčeném stěžni s plachtou a snažil se nemyslet, jen to vydržet."
"thought","think","zdá","zdát","impf"," At one time when he was feeling so badly toward the end, he had thought perhaps it was a dream."," Jednu chvíli před koncem, když mu bylo tak špatně, ho napadlo, že se mu to možná zdá."
"seen","see","viděl","vidět","impf"," Then when he had seen the fish come out of the water and hang motionless in the sky before he fell, he was sure there was some great strangeness and he could not believe it."," A když potom viděl, jak se ryba vyhoupla z vody a utkvěla nehnutě na obloze, nežli dopadla zpátky, byl si jist, že se děje něco krajně podivného, a nemohl tomu uvěřit."
"fell","fall","dopadla","dopadnout","pf"," Then when he had seen the fish come out of the water and hang motionless in the sky before he fell, he was sure there was some great strangeness and he could not believe it."," A když potom viděl, jak se ryba vyhoupla z vody a utkvěla nehnutě na obloze, nežli dopadla zpátky, byl si jist, že se děje něco krajně podivného, a nemohl tomu uvěřit."
"believe","believe","uvěřit","uvěřit","pf"," Then when he had seen the fish come out of the water and hang motionless in the sky before he fell, he was sure there was some great strangeness and he could not believe it."," A když potom viděl, jak se ryba vyhoupla z vody a utkvěla nehnutě na obloze, nežli dopadla zpátky, byl si jist, že se děje něco krajně podivného, a nemohl tomu uvěřit."
"see","see","neviděl","vidět","impf"," Then he could not see well, although now he saw as well as ever."," A pak nějaký čas pořádně neviděl, třebaže teď viděl zase tak dobře jako kdy jindy."
"saw","see","neviděl","vidět","impf"," Then he could not see well, although now he saw as well as ever."," A pak nějaký čas pořádně neviděl, třebaže teď viděl zase tak dobře jako kdy jindy."
"see","see","viděl","vidět","impf"," Then he could not see well, although now he saw as well as ever."," A pak nějaký čas pořádně neviděl, třebaže teď viděl zase tak dobře jako kdy jindy."
"saw","see","viděl","vidět","impf"," Then he could not see well, although now he saw as well as ever."," A pak nějaký čas pořádně neviděl, třebaže teď viděl zase tak dobře jako kdy jindy."
"thought","think","Myslel","myslet","impf"," He thought of the Big Leagues, to him they were the Gran Ligas, and he knew that the Yankees of New York were playing the Tigres of Detroit."," Myslel na velkou baseballovou ligu - pro něho to byla GRAN LIGA, a věděl, že Yankeeové z New Yorku hráli s Tygry z Detroitu."
"playing","play","hráli","hrát","impf"," He thought of the Big Leagues, to him they were the Gran Ligas, and he knew that the Yankees of New York were playing the Tigres of Detroit."," Myslel na velkou baseballovou ligu - pro něho to byla GRAN LIGA, a věděl, že Yankeeové z New Yorku hráli s Tygry z Detroitu."
"thought","think","pomyslel","pomyslet","pf"," This is the second day now that I do not know the result of the juegos, he thought."," Už druhý den nevím, jak dopadly JUEGOS, pomyslel si."
"come","come","přišli","přijít","pf"," "" If sharks come, God pity him and me. """," "" Kdyby přišli žraloci, smiluj se, Bože, nad ní i nade mnou! """
"believe","believe","Myslíš","myslet","impf"," Do you believe the great DiMaggio would stay with a fish as long as I will stay with this one? he thought."," Myslíš, že by velký DiMaggio vydržel s rybou tak dlouho jako já s touhletou?"
"thought","think","Myslíš","myslet","impf"," Do you believe the great DiMaggio would stay with a fish as long as I will stay with this one? he thought."," Myslíš, že by velký DiMaggio vydržel s rybou tak dlouho jako já s touhletou?"
"hurt","hurt","nebolela","bolet","impf"," But would the bone spur hurt him too much?"," Ale nebolela by ho moc ta kostní ostruha?"
"said","say","řekl","říci","pf"," "" I do not know, "" he said aloud."," "" To nevím, "" řekl nahlas."
"see","see","viděl","vidět","impf"," On this circle the old man could see the fish 's eye and the two gray sucking fish that swam around him."," Při tomto okruhu viděl stařec její oko a dva šedivé příssavné štítonoše, kteří plavali kolem ní."
"swam","swim","plavali","plavat","impf"," On this circle the old man could see the fish 's eye and the two gray sucking fish that swam around him."," Při tomto okruhu viděl stařec její oko a dva šedivé příssavné štítonoše, kteří plavali kolem ní."
"swam","swim","plavali","plavat","impf"," They were each over three feet long and when they swam fast they lashed their whole bodies like eels."," Oba byli přes metr dlouzí, a když plavali, svíjelo se jim celé tělo jako úhořům."
"turn","turn","obrátí","obrátit","pf"," Then he will turn and swallow it, he thought."," Pak se obrátí a spolkne ho, pomyslel si."
"swallow","swallow","spolkne","spolknout","pf"," Then he will turn and swallow it, he thought."," Pak se obrátí a spolkne ho, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," Then he will turn and swallow it, he thought."," Pak se obrátí a spolkne ho, pomyslel si."
"say","say","nevyslovil","vyslovit","pf"," He did not say that because he knew that if you said a good thing it might not happen."," To nahlas nevyslovil, protože věděl, že když člověk vysloví něco dobrého, může to tím překazit."
"said","say","nevyslovil","vyslovit","pf"," He did not say that because he knew that if you said a good thing it might not happen."," To nahlas nevyslovil, protože věděl, že když člověk vysloví něco dobrého, může to tím překazit."
"say","say","vysloví","vyslovit","pf"," He did not say that because he knew that if you said a good thing it might not happen."," To nahlas nevyslovil, protože věděl, že když člověk vysloví něco dobrého, může to tím překazit."
"said","say","vysloví","vyslovit","pf"," He did not say that because he knew that if you said a good thing it might not happen."," To nahlas nevyslovil, protože věděl, že když člověk vysloví něco dobrého, může to tím překazit."
"thought","think","myslel","myslet","impf"," He knew what a huge fish this was and he thought of him moving away in the darkness with the tuna held crosswise in his mouth."," Poznal, jak ohromná ta ryba je, a myslel na ni, jak odplouvá temnotou s tuňákem křížem v hubě."
"felt","feel","ucítil","ucítit","pf"," At that moment he felt him stop moving but the weight was still there."," V tom okamžiku ucítil, že ryba ustala v pohybu, ale její tíhu cítil stále."
"stop","stop","ustala","ustat","pf"," At that moment he felt him stop moving but the weight was still there."," V tom okamžiku ucítil, že ryba ustala v pohybu, ale její tíhu cítil stále."
"felt","feel","cítil","cítit","impf"," At that moment he felt him stop moving but the weight was still there."," V tom okamžiku ucítil, že ryba ustala v pohybu, ale její tíhu cítil stále."
"increased","increase","vzrostla","vzrůst","pf"," Then the weight increased and he gave more line."," Pak ta tíha vzrostla a on popustil šňůru."
"go","go","dělej","dělat","impf"," "" Then go in and take your chance like any man or bird or fish. """," "" A pak leť a dělej, co umíš, jako každý člověk či pták či ryba. """
"take","take","dělej","dělat","impf"," "" Then go in and take your chance like any man or bird or fish. """," "" A pak leť a dělej, co umíš, jako každý člověk či pták či ryba. """
"stiffened","stiffen","ztuhla","ztuhnout","pf"," It encouraged him to talk because his back had stiffened in the night and it hurt truly now."," Hlasitý hovor mu dodával kuráže, protože mu v noci ztuhla záda a teď ho bolela doopravdy."
"hurt","hurt","bolela","bolet","impf"," It encouraged him to talk because his back had stiffened in the night and it hurt truly now."," Hlasitý hovor mu dodával kuráže, protože mu v noci ztuhla záda a teď ho bolela doopravdy."
"Stay","stay","Zůstaň","zůstat","pf"," "" Stay at my house if you like, bird, "" he said."," "" Zůstaň u mne doma, jestli chceš, ptáčku, "" promlouval k němu."
"like","like","chceš","chtít","impf"," "" Stay at my house if you like, bird, "" he said."," "" Zůstaň u mne doma, jestli chceš, ptáčku, "" promlouval k němu."
"hoist","hoist","vztyčit","vztyčit","pf"," "" I am sorry I cannot hoist the sail and take you in with the small breeze that is rising."," "" Mrzí mě, že nemůžu vztyčit plachtu a vzít tě na břeh s tím větříkem, co se zdvíhá."
"take","take","vzít","vzít","pf"," "" I am sorry I cannot hoist the sail and take you in with the small breeze that is rising."," "" Mrzí mě, že nemůžu vztyčit plachtu a vzít tě na břeh s tím větříkem, co se zdvíhá."
"asked","ask","zeptal","zeptat","pf"," "" What do you have to eat? "" the boy asked."," "" Co máte k jídlu? "" zeptal se chlapec."
"Come","come","pojďte","jít","impf"," Come on galanos. """," Tak pojďte, GALANOS! """
"came","come","přišli","přijít","pf"," They came."," Žraloci přišli."
"showed","show","neukázal","ukázat","pf"," The old man watched for him to come again but neither shark showed."," Stařec vyhlížel, jestli se nevynoří znovu, ale ani jeden ze žraloků se neukázal."
"saw","see","spatřil","spatřit","pf"," Then he saw one on the surface swimming in circles."," Pak spatřil, jak jeden z nich plove v kruzích při hladině."
"see","see","neviděl","vidět","impf"," He did not see the fin of the other."," Ploutev druhého neviděl."
"expect","expect","čekat","čekat","impf"," I could not expect to kill them, he thought."," Nedalo se čekat, že je zabiju, pomyslel si."
"kill","kill","zabiju","zabít","pf"," I could not expect to kill them, he thought."," Nedalo se čekat, že je zabiju, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," I could not expect to kill them, he thought."," Nedalo se čekat, že je zabiju, pomyslel si."
"feel","feel","necítí","cítit","impf"," But I have hurt them both badly and neither one can feel very good."," Ale pošramotil jsem je oba pořádně a žádný z nich se asi necítí zvlášť dobře."
"killed","kill","zabil","zabít","pf"," If I could have used a bat with two hands I could have killed the first one surely."," Kdybych je byl mohl napálit oběma rukama, byl bych toho prvního určitě zabil."
"want","want","nechci","chtít","impf"," But I do not want him to rest."," Ale já nechci, aby si odpočala."
"pull","pull","táhnout","táhnout","impf"," He must pull until he dies."," Musí táhnout, až dodělá."
"turned","turn","otočil","otočit","pf"," Back in the stem he turned so that his left hand held the strain of the line across his shoulders and drew his knife from its sheath with his right hand."," Když dolezl na záď, otočil se tak, že levičkou držel přes ramena napjatou šňůru, a pravačkou vytáhl z pochvy nůž."
"held","hold","držel","držet","impf"," Back in the stem he turned so that his left hand held the strain of the line across his shoulders and drew his knife from its sheath with his right hand."," Když dolezl na záď, otočil se tak, že levičkou držel přes ramena napjatou šňůru, a pravačkou vytáhl z pochvy nůž."
"drew","draw","vytáhl","vytáhnout","pf"," Back in the stem he turned so that his left hand held the strain of the line across his shoulders and drew his knife from its sheath with his right hand."," Když dolezl na záď, otočil se tak, že levičkou držel přes ramena napjatou šňůru, a pravačkou vytáhl z pochvy nůž."
"Stay","stay","Zůstaň","zůstat","pf"," Stay with them. """," Zůstaň s nimi! """
"remember","remember","vzpomeňte","vzpomenout","pf"," "" But remember how you went eighty-seven days without fish and then we caught big ones every day for three weeks. """," "" Ale vzpomeňte si, jakjste jednou nezavadil o rybu sedmaosmdesát dní a pak jsme tři neděle chytali kapitální kusy den co den! """
"caught","catch","chytali","chytat","impf"," "" But remember how you went eighty-seven days without fish and then we caught big ones every day for three weeks. """," "" Ale vzpomeňte si, jakjste jednou nezavadil o rybu sedmaosmdesát dní a pak jsme tři neděle chytali kapitální kusy den co den! """
"remember","remember","Vzpomínám","vzpomínat","impf"," "" I remember, "" the old man said."," "" Vzpomínám, "" přisvědčil stařec."
"leave","leave","neodešel","odejít","pf"," "" I know you did not leave me because you doubted. """," "" Já vím, že jsi ode mne neodešel proto, že bys pochyboval. """
"doubted","doubt","pochyboval","pochybovat","impf"," "" I know you did not leave me because you doubted. """," "" Já vím, že jsi ode mne neodešel proto, že bys pochyboval. """
"obey","obey","poslouchat","poslouchat","impf"," I am a boy and I must obey him. """," Jsem ještě kluk a musím ho poslouchat. """
"said","say","odpověděl","odpovědět","pf"," "" I know, "" the old man said."," "" Já vím, "" odpověděl stařec."
"looked","look","dívali","dívat","impf"," Others, of the older fishermen, looked at him and were sad."," Jiní, z těch starších, se na něho dívali a bylo jim smutno."
"spoke","speak","hovořili","hovořit","impf"," But they did not show it and they spoke politely about the current and the depths they had drifted their lines at and the steady good weather and of what they had seen."," Ale nedávali to najevo a hovořili zdvořile o proudu, o tom, v jaké hloubce za sebou dnes vláčeli šňůry, o stále pěkném počasí a o tom, co viděli."
"seen","see","viděli","vidět","impf"," But they did not show it and they spoke politely about the current and the depths they had drifted their lines at and the steady good weather and of what they had seen."," Ale nedávali to najevo a hovořili zdvořile o proudu, o tom, v jaké hloubce za sebou dnes vláčeli šňůry, o stále pěkném počasí a o tom, co viděli."
"dreamed","dream","Zdálo","zdát","impf"," He only dreamed of places now and of the lions on the beach."," Zdálo se mu teď jenom o různých místech a o lvech na pobřeží."
"played","play","Hráli","hrát","impf"," They played like young cats in the dusk and he loved them as he loved the boy."," Hráli si v soumraku jako koťata a on je miloval právě tak, jako miloval chlapce."
"loved","love","miloval","milovat","impf"," They played like young cats in the dusk and he loved them as he loved the boy."," Hráli si v soumraku jako koťata a on je miloval právě tak, jako miloval chlapce."
"loved","love","miloval","milovat","impf"," They played like young cats in the dusk and he loved them as he loved the boy."," Hráli si v soumraku jako koťata a on je miloval právě tak, jako miloval chlapce."
"loved","love","miloval","milovat","impf"," They played like young cats in the dusk and he loved them as he loved the boy."," Hráli si v soumraku jako koťata a on je miloval právě tak, jako miloval chlapce."
"loved","love","miloval","milovat","impf"," They played like young cats in the dusk and he loved them as he loved the boy."," Hráli si v soumraku jako koťata a on je miloval právě tak, jako miloval chlapce."
"dreamed","dream","nezdálo","zdát","impf"," He never dreamed about the boy."," O chlapci se mu nezdálo nikdy."
"looked","look","podíval","podívat","pf"," He simply woke, looked out the open door at the moon and unrolled his trousers and put them on."," Probral se jakoby nic, podíval se otevřenými dveřmi na měsíc, rozbalil si kalhoty a oblekl si je."
"let","let","nechává","nechávat","impf"," The male fish always let the female fish feed first and the hooked fish, the female, made a wild, panic-stricken, despairing fight that soon exhausted her, and all the time the male had stayed with her, crossing the line and circling with her on the surface."," Samec nechává samici vždycky nažrat první a chycená samice se pustila do divokého, zděšeného a zoufalého zápasu, který ji brzy vyčerpal, a samec celou tu dobu zůstal při ní, plul přes šňůru a kroužil se samicí na hladině."
"exhausted","exhaust","vyčerpal","vyčerpat","pf"," The male fish always let the female fish feed first and the hooked fish, the female, made a wild, panic-stricken, despairing fight that soon exhausted her, and all the time the male had stayed with her, crossing the line and circling with her on the surface."," Samec nechává samici vždycky nažrat první a chycená samice se pustila do divokého, zděšeného a zoufalého zápasu, který ji brzy vyčerpal, a samec celou tu dobu zůstal při ní, plul přes šňůru a kroužil se samicí na hladině."
"stayed","stay","zůstal","zůstat","pf"," The male fish always let the female fish feed first and the hooked fish, the female, made a wild, panic-stricken, despairing fight that soon exhausted her, and all the time the male had stayed with her, crossing the line and circling with her on the surface."," Samec nechává samici vždycky nažrat první a chycená samice se pustila do divokého, zděšeného a zoufalého zápasu, který ji brzy vyčerpal, a samec celou tu dobu zůstal při ní, plul přes šňůru a kroužil se samicí na hladině."
"circling","circle","kroužil","kroužit","impf"," The male fish always let the female fish feed first and the hooked fish, the female, made a wild, panic-stricken, despairing fight that soon exhausted her, and all the time the male had stayed with her, crossing the line and circling with her on the surface."," Samec nechává samici vždycky nažrat první a chycená samice se pustila do divokého, zděšeného a zoufalého zápasu, který ji brzy vyčerpal, a samec celou tu dobu zůstal při ní, plul přes šňůru a kroužil se samicí na hladině."
"rising","rise","vycházelo","vycházet","impf"," The sun was rising for the third time since he had put to sea when the fish started to circle."," Slunce vycházelo po třetí od chvíle, co vyplul na moře, když se ryba dala do kroužení v obloucích před člunem."
"put","put","dala","dát","pf"," The sun was rising for the third time since he had put to sea when the fish started to circle."," Slunce vycházelo po třetí od chvíle, co vyplul na moře, když se ryba dala do kroužení v obloucích před člunem."
"see","see","vidět","vidět","impf"," He could not see by the slant of the line that the fish was circling."," Podle sklonu šňůry její kroužení vidět nemohl."
"felt","feel","Ucítil","ucítit","pf"," He just felt a faint slackening of the pressure of the line and be commenced to pull on it gently with his right hand."," Ucítil pouze, že se napětí šňůry trošičku zmírnilo, a začal ji pravičkou nenásilně přitahovat k sobě."
"slackening","slacken","zmírnilo","zmírnit","pf"," He just felt a faint slackening of the pressure of the line and be commenced to pull on it gently with his right hand."," Ucítil pouze, že se napětí šňůry trošičku zmírnilo, a začal ji pravičkou nenásilně přitahovat k sobě."
"commenced","commence","začal","začít","pf"," He just felt a faint slackening of the pressure of the line and be commenced to pull on it gently with his right hand."," Ucítil pouze, že se napětí šňůry trošičku zmírnilo, a začal ji pravičkou nenásilně přitahovat k sobě."
"pull","pull","přitahovat","přitahovat","impf"," He just felt a faint slackening of the pressure of the line and be commenced to pull on it gently with his right hand."," Ucítil pouze, že se napětí šňůry trošičku zmírnilo, a začal ji pravičkou nenásilně přitahovat k sobě."
"killed","kill","zabili","zabít","pf"," And make a dream you 've killed a man. """," A nechte si zdát, že jste zabili člověka! """
"sailed","sail","Plulo","plout","impf"," He sailed lightly now and he had no thoughts nor any feelings of any kind."," Plulo se mu teď lehce a byl prost jakýchkoli myšlenek i pocitů."
"lay","lie","ležely","ležet","impf"," The newspaper lay across his knees and the weight of his arm held it there in the evening breeze."," Noviny mu ležely na kolenou a tíha jeho paže je tam přidržovala ve večerním větříku."
"left","leave","nechal","nechat","pf"," The boy left him there and when he came back the old man was still asleep."," Chlapec ho tak nechal, a když přišel znovu, stařec spal ještě."
"came","come","přišel","přijít","pf"," The boy left him there and when he came back the old man was still asleep."," Chlapec ho tak nechal, a když přišel znovu, stařec spal ještě."
"put","put","položil","položit","pf"," "" Wake up old man, "" the boy said and put his hand on one of the old man 's knees."," "" Probuďte se, dědo! "" promluvil na něho chlapec a položil mu ruku na koleno."
"slept","sleep","usnul","usnout","pf"," He pulled the blanket over his shoulders and then over his back and legs and he slept face down on the newspapers with his arms out straight and the palms of his hands up."," Přetáhl si pokrývku přes ramena a potom přes záda a přes nohy a usnul s tváří dolů na novinách a s rukama nataženýma dlaněmi vzhůru."
"looked","look","nahlédl","nahlédnout","pf"," He was asleep when the boy looked in the door in the morning."," Když chlapec ráno nahlédl do dveří, zastihl jej ve spánku."
"sleeping","sleep","Spal","spát","impf"," He was still sleeping on his face and the boy was sitting by him watching him."," Spal opět tváří dolů a chlapec seděl vedle a díval se na něho."
"sitting","sit","seděl","sedět","impf"," He was still sleeping on his face and the boy was sitting by him watching him."," Spal opět tváří dolů a chlapec seděl vedle a díval se na něho."
"watching","watch","díval","dívat","impf"," He was still sleeping on his face and the boy was sitting by him watching him."," Spal opět tváří dolů a chlapec seděl vedle a díval se na něho."
"dreaming","dream","zdálo","zdát","impf"," The old man was dreaming about the lions."," Starému se zdálo o lvech."
"wiped","wipe","otřel","otřít","pf"," When he had cut six strips he spread them out on the wood of the bow, wiped his knife on his trousers, and lifted the carcass of the bonito by the tail and dropped it overboard."," Když jich nařezal šest, rozprostřel je na přední paloubce, otřel si nůž o kalhoty, zvedl zbytky tuňáka za ocas a hodil je přes palubu."
"lifted","lift","zvedl","zvednout","pf"," When he had cut six strips he spread them out on the wood of the bow, wiped his knife on his trousers, and lifted the carcass of the bonito by the tail and dropped it overboard."," Když jich nařezal šest, rozprostřel je na přední paloubce, otřel si nůž o kalhoty, zvedl zbytky tuňáka za ocas a hodil je přes palubu."
"said","say","odpověděl","odpovědět","pf"," "" Yes, "" the old man said."," "" Copak? "" odpověděl stařec."
"holding","hold","Držel","držet","impf"," He was holding his glass and thinking of many years ago."," Držel v ruce sklenici a myslel na dobu před mnoha lety."
"thinking","think","myslel","myslet","impf"," He was holding his glass and thinking of many years ago."," Držel v ruce sklenici a myslel na dobu před mnoha lety."
"go","go","jet","jet","impf"," "" Can I go out to get sardines for you for tomorrow? """," "" Můžu vám jet opatřit na zítra sardinky? """
"get","get","opatřit","opatřit","pf"," "" Can I go out to get sardines for you for tomorrow? """," "" Můžu vám jet opatřit na zítra sardinky? """
"measuring","measure","měřil","měřit","impf"," Many fishermen were around the skiff looking at what was lashed beside it and one was in the water, his trousers rolled up, measuring the skeleton with a length of line."," Mnoho rybářů stálo kolem loďky a dívalo se, co je to k ní přivázáno, a jeden stál ve vodě s vyhrnutými nohavicemi a měřil kostru provazovou mírou."
"Sleeping","sleep","Spí","spát","impf"," "" Sleeping, "" the boy called."," "" Spí, "" zavolal chlapec."
"called","call","zavolal","zavolat","pf"," "" Sleeping, "" the boy called."," "" Spí, "" zavolal chlapec."
"care","care","Nestaral","starat","impf"," He did not care that they saw him crying."," Nestaral se o to, že ho všichni vidí plakat."
"saw","see","Nestaral","starat","impf"," He did not care that they saw him crying."," Nestaral se o to, že ho všichni vidí plakat."
"saw","see","vidí","vidět","impf"," He did not care that they saw him crying."," Nestaral se o to, že ho všichni vidí plakat."
"crying","cry","plakat","plakat","impf"," He did not care that they saw him crying."," Nestaral se o to, že ho všichni vidí plakat."
"disturb","disturb","neruší","rušit","impf"," "" Let no one disturb him. """," "" Ať ho nikdo neruší! """
"bearing","bear","snášel","snášet","impf"," He was still bearing the pull of the fish across his shoulders but he placed his left hand on the gunwale of the bow and confided more and more of the resistance to the fish to the skiff itself."," Stále ještě snášel na ramenou tlak šňůry, ale opřel se teď levičkou o pažení přídě a svěřoval odpor proti tahu ryby čím dál víc loďce samé."
"confided","confide","svěřoval","svěřovat","impf"," He was still bearing the pull of the fish across his shoulders but he placed his left hand on the gunwale of the bow and confided more and more of the resistance to the fish to the skiff itself."," Stále ještě snášel na ramenou tlak šňůry, ale opřel se teď levičkou o pažení přídě a svěřoval odpor proti tahu ryby čím dál víc loďce samé."
"thought","think","pomyslel","pomyslet","pf"," How simple it would be if I could make the line fast, he thought."," Jak by to bylo jednoduché, kdybych mohl šňůru uvázat k člunu, pomyslel si."
"think","think","Nemysli","myslet","impf"," Do n't think of that."," Nemysli na to!"
"defend","defend","bránit","bránit","impf"," Just rest and try to get your hands in shape to defend what is left of him."," Prostě odpočívej a snaž si dát ruce do pořádku, abys mohl bránit, co z ní zbylo."
"means","mean","neznamená","znamenat","impf"," The blood smell from my hands means nothing now with all that scent in the water."," Čpění krve na mých rukou teď nic neznamená ve srovnání se vším tím pachem ve vodě."
"think","think","přemýšlet","přemýšlet","impf"," What can I think of now? he thought."," O čem teď mohu přemýšlet?"
"thought","think","přemýšlet","přemýšlet","impf"," What can I think of now? he thought."," O čem teď mohu přemýšlet?"
"kill","kill","dostanu","dostat","pf"," "" I 'll kill him though, "" he said."," "" Ale stejně ji dostanu, "" pokračoval."
"thought","think","pomyslel","pomyslet","pf"," Although it is unjust, he thought."," Třebaže to není spravedlivé, pomyslel si."
"show","show","ukážu","ukázat","pf"," But I will show him what a man can do and what a man endures."," Ale já jí ukážu, co dokáže a co snese člověk."
"endures","endure","snese","snést","pf"," But I will show him what a man can do and what a man endures."," Ale já jí ukážu, co dokáže a co snese člověk."
"told","tell","Povídal","povídat","impf"," "" I told the boy I was a strange old man, "" he said."," "" Povídal jsem chlapci, že jsem zvláštní staroch, "" řekl nahlas."
"said","say","Povídal","povídat","impf"," "" I told the boy I was a strange old man, "" he said."," "" Povídal jsem chlapci, že jsem zvláštní staroch, "" řekl nahlas."
"told","tell","řekl","říci","pf"," "" I told the boy I was a strange old man, "" he said."," "" Povídal jsem chlapci, že jsem zvláštní staroch, "" řekl nahlas."
